ObjectId,ID,PERMITNUMBER,PERMITTYPE,PERMITTYPEKEY,STATUS,CONTRACTOR,CATEGORYNAME,WORKTYPE,ZONING,SQUAREFEET,PERMITFEE,PROJECTCOSTS,ADDRESS,CITY,STATE,ZIPCODE,GPSX,GPSY,DISTRICT,NEIGHBORHOOD,ISSUEDATE,Latitude,Longitude
35,9290,EL1088835,Electrical Permit,ELECTRICAL,Issued,ONLINE ELECTRIC NET LLC,Single Family,Rewire Repair Add Wiring,R6,0,75,300,121   WILLIAM ST,LOUISVILLE,KY,40206-0000,1218878,278708,9,CLIFTON,2019-02-06 11:08:26,38.2561167886,-85.7180725956
36,9291,EL1088759,Electrical Permit,ELECTRICAL,Issued,LONG ELECTRIC LLC,Multi Family,Rewire Repair Add Wiring,TNZD,0,75,300,610 W OAK ST,LOUISVILLE,KY,40203-0000,1205478,271314,6,OLD LOUISVILLE,2019-02-08 15:26:27,38.2352197613,-85.7643085235
37,9292,EL1088843,Electrical Permit,ELECTRICAL,Issued,STANDARD ELECTRIC COMPANY,Single Family,Rewire Repair Add Wiring,R5,0,75,2000,1480   BELMAR DR,LOUISVILLE,KY,40213-0000,1218324,257434,10,CAMP TAYLOR,2019-02-06 11:49:10,38.1976812951,-85.7188202338
38,9293,EL1089136,Electrical Permit,ELECTRICAL,Issued,STANSBURY ELECTRIC CO,Single Family,Rewire Repair Add Wiring,R4,0,75,1800,9100   TRENTHAM CT,WESTWOOD,KY,40242-0000,1257399,287310,17,,2019-02-08 13:45:25,38.2813443308,-85.5843710362
39,9294,EL1088924,Electrical Permit,ELECTRICAL,Issued,DOUBLE D ELECTRIC,Multi Family,Rewire Repair Add Wiring,R7,0,355,5000,662   LINDELL AVE,LOUISVILLE,KY,40211-0000,1191785,277446,5,SHAWNEE,2019-02-06 16:09:53,38.2514279586,-85.8123359963
40,9298,FD1079331,Fire Detection Permit,FIRE DET,Issued,KOORSEN FIRE & SECURITY,Commercial,New,(C3),193000,510,207000,101 W MAIN ST,LOUISVILLE,KY,40202-0000,1209213,278930,4,CENTRAL BUSINESS DISTRICT,2018-11-06 07:53:13,38.256298466,-85.7517391363
41,9300,FD1083378,Fire Detection Permit,FIRE DET,Issued,DELTA SERVICES LLC - FD,Multi Family,New,R6,30000,170,4364,1253   MCCAWLEY RD,LOUISVILLE,KY,40219-0000,1229144,238700,24,,2018-12-17 11:25:11,38.1467111851,-85.6801621881
42,9301,FD1085753,Fire Detection Permit,FIRE DET,Issued,SIMPLEX GRINNELL LP,Commercial,Modify,EZ1,5000,150,3500,3400   FERN VALLEY RD,LOUISVILLE,KY,40213-0000,1223049,242035,21,,2019-01-09 08:34:09,38.1556062609,-85.7015362471
43,9302,FD1085743,Fire Detection Permit,FIRE DET,Issued,EXCEL SERVICES INC,Commercial,New,PEC,71500,270,9000,12415   OLD LA GRANGE RD,LOUISVILLE,KY,40245-0000,1278093,290557,17,,2019-01-08 12:27:43,38.2910607327,-85.5124408418
44,9310,FD1081548,Fire Detection Permit,FIRE DET,Issued,KOORSEN FIRE & SECURITY,Commercial,New,R4,7250,150,5000,10600   LOWER RIVER RD,LOUISVILLE,KY,40272-0000,1168035,223878,14,,2018-12-10 08:21:10,38.1032168838,-85.8917022974
45,9311,FD1081155,Fire Detection Permit,FIRE DET,Issued,JOHNSON CONTROLS SECURITY SOLUTIONS LLC,Commercial,New,M2,22500,170,1,1200   AVOCA STATION CT,LOUISVILLE,KY,40245-0000,1281377,278518,19,,2018-11-20 10:01:49,38.2581277432,-85.5004303998
46,9312,FD1079041,Fire Detection Permit,FIRE DET,Issued,SIMPLEX GRINNELL LP,Commercial,Modify,C2,4300,150,3200,909 E BROADWAY  ,LOUISVILLE,KY,40204-0000,1213445,274701,4,PHOENIX HILL,2018-11-06 20:38:40,38.2448756598,-85.7367653374
47,9313,FP1079445,Fireplace Permit,FIREPLACE,Issued,FIREPLACE DISTRIBUTORS,Single Family,Gas,R6,0,100,2000,3159   BUSHMILL PARK,LOUISVILLE,KY,40241-0000,1264647,290965,17,,2018-10-30 22:23:18,38.2916655333,-85.5593046181
48,9314,FP1079450,Fireplace Permit,FIREPLACE,Issued,FIREPLACE DISTRIBUTORS,Single Family,Gas,PVD,0,50,1000,6436   PASSIONFLOWER DR,LOUISVILLE,KY,40059-0000,1263736,306941,16,,2018-10-30 22:23:33,38.3354953437,-85.5632720575
49,9315,FP1077742,Fireplace Permit,FIREPLACE,Issued,FIREPLACE DISTRIBUTORS,Single Family,Solid,R4,0,50,1000,2605   GRANGER RD,LOUISVILLE,KY,40118-0000,1217329,223360,13,,2018-10-16 07:32:48,38.1040813811,-85.7203893452
50,9316,FP1080528,Fireplace Permit,FIREPLACE,Issued,FIREPLACE DISTRIBUTORS,Single Family,Gas,R5A,0,50,1000,8606   OAKS WAY,LOUISVILLE,KY,40299-0000,1252517,252341,11,,2018-11-08 17:31:39,38.185133968,-85.5995917512
51,10887,HV1077250,HVAC Permit,HVAC,Issued,DFH COMPANY,Single Family,Replacement,R3,0,105,5900,3742   DEEP DALE LN,ROLLING FIELDS,KY,40207-0000,1233781,283403,7,,2018-10-10 11:51:14,38.2696484739,-85.6664303923
52,10888,HV1080790,HVAC Permit,HVAC,Issued,WEBER HEATING & A/C INC,Single Family,Replacement,EZ1,0,105,3500,6305   STRAWBERRY LN,LOUISVILLE,KY,40214-0000,1207444,245623,21,SOUTHLAND PARK,2018-11-13 07:23:38,38.1647697782,-85.7560023945
53,10889,HV1078456,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R4,0,105,500,8205   BROOKHOLLOW CT,LOUISVILLE,KY,40220-0000,1250468,255950,11,,2018-10-22 14:18:19,38.1949606256,-85.6069046333
54,10890,HV1073897,HVAC Permit,HVAC,Issued,PRODUCTION HEATING & COOLING,Single Family,Replacement,R4,0,105,5000,6008   GREEN MANOR DR,LOUISVILLE,KY,40219-0000,1238480,239035,24,,2018-09-07 13:57:12,38.1480245429,-85.6477198409
55,10891,HV1076334,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R5,0,155,500,12922   WILLOW FOREST DR,LOUISVILLE,KY,40245-0000,1277374,295087,17,,2018-10-02 11:22:19,38.3034718126,-85.5151625253
56,10892,HV1074822,HVAC Permit,HVAC,Issued,KLM MECHANICAL SERVICES INC,Multi Family,Replacement,R6,0,105,500,926   GLENRIDGE DR,LYNDON,KY,40242-0000,1255009,280197,18,,2018-09-17 16:03:11,38.2617187378,-85.5923351072
57,10893,HV1079943,HVAC Permit,HVAC,Issued,PROJECT HEATING,Multi Family,Alteration,CR,0,105,6700,1741   FRANKFORT AVE,LOUISVILLE,KY,40206-0000,1219031,279131,9,CLIFTON,2018-11-05 09:57:38,38.2572848959,-85.7175633106
58,10895,HV1077290,HVAC Permit,HVAC,Issued,ACCU-TEMP HEATING & AIR CONDIT,Single Family,Replacement,R5A,0,155,6800,16705   TAUNTON VALE RD,LOUISVILLE,KY,40245-0000,1296735,277607,19,,2018-10-10 14:42:03,38.25618663,-85.4469078956
59,10896,HV1074465,HVAC Permit,HVAC,Issued,BEST CHOICE HEATING & AIR LLC,Single Family,Replacement,R6,0,105,3000,974   GOSS AVE,LOUISVILLE,KY,40217-0000,1213133,268659,10,SCHNITZELBURG,2018-09-13 10:31:28,38.2282725991,-85.7375118175
60,10898,HV1079187,HVAC Permit,HVAC,Issued,Allstate Mechanical LLC,Single Family,Replacement,R4,0,105,2200,10907   MARBADO CT,LOUISVILLE,KY,40229-0000,1236638,217388,13,,2018-10-29 10:30:15,38.0885110587,-85.6529777905
61,10899,HV1076352,HVAC Permit,HVAC,Issued,THERMAL EQUIPMENT SERVICE,Commercial,Replacement,(C3),0,330,29581,500 S 4TH ST,LOUISVILLE,KY,40202-0000,1207430,276968,4,CENTRAL BUSINESS DISTRICT,2018-10-02 11:45:54,38.2508315357,-85.7578357745
62,10900,HV1077608,HVAC Permit,HVAC,Issued,C & L HEATING AC INC,Single Family,Replacement,R4,0,105,2000,10207   SEATONVILLE RD,LOUISVILLE,KY,40291-0000,1260541,238480,22,,2018-10-15 10:47:46,38.1473947118,-85.5709866793
63,10912,HV1076330,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R5,0,155,500,2368   VALLEY VISTA RD,LOUISVILLE,KY,40205-0000,1223901,264420,8,BELKNAP,2018-10-02 11:22:25,38.2171051973,-85.6997989497
64,10942,RH997752,Range Hood Permit,RANGEHOOD,Issued,HUSSUNG MECHANICAL CONTRACTORS,Commercial,Suppressed,EZ1,0,75,40000,600   TERMINAL DR,LOUISVILLE,KY,40209-0000,1211700,253345,21,REMAINDER OF CITY,2016-08-25 09:00:10,38.1861619505,-85.7416363586
65,11030,HV1076088,HVAC Permit,HVAC,Issued,ELDER HEATING AC,Multi Family,Alteration,OR2,0,105,145,230 E KENTUCKY ST,LOUISVILLE,KY,40203-0000,1209092,272170,6,OLD LOUISVILLE,2018-09-28 12:20:40,38.2377325103,-85.7517766332
66,11032,HV1076418,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R7,0,105,1000,740   ZORN AVE,LOUISVILLE,KY,40206-0000,1225997,283482,9,BROWNSBORO ZORN,2018-10-02 15:34:49,38.2695335386,-85.6935442444
67,11033,HV1079536,HVAC Permit,HVAC,Issued,DON LEBER & SONS INC,Single Family,Replacement,R4,0,105,7000,7802   BRYNWOOD LN,LOUISVILLE,KY,40291-0000,1247996,239067,23,,2018-10-31 13:21:31,38.1485042451,-85.6146348538
68,11034,HV1079675,HVAC Permit,HVAC,Issued,BIRKHEAD CO INC,Single Family,Replacement,R5,0,105,6500,1608   LINDA WAY,LOUISVILLE,KY,40216-0000,1191345,249581,15,CLOVERLEAF,2018-11-01 12:29:12,38.1749007425,-85.8122222459
69,11035,HV1074877,HVAC Permit,HVAC,Issued,STIVERS HEATING AC,Single Family,Replacement,R5,0,105,9054,2820   CONROY PL,LOUISVILLE,KY,40218-0000,1241907,257789,10,KLONDIKE,2018-09-18 09:43:50,38.1996598641,-85.6367862391
70,11036,HV1079742,HVAC Permit,HVAC,Issued,KLM MECHANICAL SERVICES INC,Multi Family,Replacement,OR2,0,105,1000,618   SHERBURN LN,ST MATTHEWS,KY,40207-0000,1245754,273218,26,,2018-11-02 09:04:28,38.242181682,-85.6242019554
71,11037,HV1082385,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R4,0,105,1000,4432   CANE RUN RD,LOUISVILLE,KY,40216-0000,1182888,257458,1,,2018-11-27 19:51:46,38.1961303519,-85.8421101203
72,11038,HV1082386,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R6,0,105,1000,7817   APPLEVIEW LN,LOUISVILLE,KY,40228-0000,1246744,233146,23,,2018-11-27 19:51:42,38.1321957647,-85.6186820721
73,11039,HV1082452,HVAC Permit,HVAC,Issued,3 HB INC,Single Family,Replacement,R7,0,105,1300,1725 W OAK ST,LOUISVILLE,KY,40210-0000,1199574,272238,6,CALIFORNIA,2018-11-28 11:21:55,38.2374883762,-85.7849140701
74,11040,HV1079410,HVAC Permit,HVAC,Issued,METRO 1 HEATING & COOLING,Single Family,Replacement,R7,0,105,2100,3004   KOZY KREEK DR,LOUISVILLE,KY,40220-0000,1241263,261806,26,,2018-10-30 15:39:14,38.210662717,-85.6392378045
75,11043,HV1076565,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R4,0,155,2000,3432   HARDWOOD FOREST DR,LOUISVILLE,KY,40214-0000,1186039,234344,25,,2018-10-03 15:05:34,38.1328170649,-85.8297680012
76,11044,HV1077966,HVAC Permit,HVAC,Issued,ELITE HEATING & AIR,Single Family,Replacement,R4,0,105,100,1125   BLACKTHORN RD,MIDDLETOWN,KY,40299-0000,1274647,267001,20,,2018-11-13 14:52:42,38.2262517533,-85.5233115959
77,11045,HV1078017,HVAC Permit,HVAC,Issued,PRUDENTIAL HVAC,Single Family,Replacement,R5,0,105,6610,2303   BOULEVARD NAPOLEON  ,LOUISVILLE,KY,40205-0000,1225507,266065,8,BELKNAP,2018-10-17 16:46:14,38.2216911167,-85.6942995167
78,11046,HV1078018,HVAC Permit,HVAC,Issued,PRUDENTIAL HVAC,Single Family,Replacement,R5,0,105,5750,5700   REVERE DR,LOUISVILLE,KY,40218-0000,1232902,245909,2,,2018-10-17 16:46:15,38.1666644644,-85.6674819373
79,11047,HV1082539,HVAC Permit,HVAC,Issued,BAKERS HEATING AC,Single Family,Replacement,R4,0,105,4000,2702   WINDSOR FOREST DR,LOUISVILLE,KY,40272-0000,1191632,230858,25,,2018-11-28 14:40:07,38.1235075532,-85.8101208782
80,11049,HV1076642,HVAC Permit,HVAC,Issued,BIRKHEAD CO INC,Single Family,Replacement,R4,0,105,7340,605   ARMADALE PL,DOUGLASS HILLS,KY,40243-0000,1265092,270662,19,,2018-10-04 09:34:00,38.2359364346,-85.556750708
81,11050,HV1078101,HVAC Permit,HVAC,Issued,FOUR SEASONS HVAC,Single Family,Replacement,R5,0,155,6500,1043   OAKWOOD AVE,LOUISVILLE,KY,40215-0000,1200270,250356,21,BEECHMONT,2018-10-18 12:00:11,38.177440159,-85.7812247154
82,11051,HV1081715,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R5,0,105,500,1707   BACHMANN DR,SHIVELY,KY,40216-0000,1195217,258670,3,,2018-11-20 10:41:03,38.2000353659,-85.799286755
83,11052,HV1080938,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R4,0,105,1000,10008   NORTHRIDGE DR,LOUISVILLE,KY,40272-0000,1185275,225499,25,,2018-11-13 16:03:09,38.1084959453,-85.8318956242
84,11053,HV1080258,HVAC Permit,HVAC,Issued,HAVENS HEATING & COOLING,Single Family,Replacement,R4,0,105,5000,14306   WILLOW GROVE CIR,LOUISVILLE,KY,40245-0000,1283383,276321,19,,2018-11-07 10:26:12,38.2521698936,-85.4933416559
85,11054,HV1080972,HVAC Permit,HVAC,Issued,WEBER HEATING & A/C INC,Single Family,Replacement,R5A,0,105,5500,103   FOREST PARK RD,LOUISVILLE,KY,40223-0000,1263424,274983,18,,2018-11-14 07:22:38,38.2477356052,-85.5627717323
86,11055,HV1079220,HVAC Permit,HVAC,Issued,Allstate Mechanical LLC,Single Family,Replacement,R5,0,105,2200,12013   ROCK SPRING DR,COLDSTREAM,KY,40245-0000,1273125,300034,16,,2018-10-29 11:35:58,38.3168936982,-85.5302075188
87,11056,HV1081877,HVAC Permit,HVAC,Issued,PRUDENTIAL HVAC,Single Family,Replacement,R4,0,105,5550,408   BRECKENRIDGE LN,ST MATTHEWS,KY,40207-0000,1238247,274849,9,,2018-11-26 08:47:54,38.2463494272,-85.6504234244
88,11057,HV1081900,HVAC Permit,HVAC,Issued,PAT WEBER CO,Single Family,Replacement,R5,0,105,2500,1018   BLUEGRASS AVE,LOUISVILLE,KY,40215-0000,1200653,251167,21,BEECHMONT,2018-11-21 09:32:33,38.1796843539,-85.7799394042
89,11059,HV1083196,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,,0,105,500,7620   WOODRIDGE DR,NOT IN JEFF CO,KY,40056-0000,1281565,295415,0,,2018-12-04 13:45:40,38.304529577,-85.5005746898
90,11060,HV1080951,HVAC Permit,HVAC,Issued,KLM MECHANICAL SERVICES INC,Single Family,Replacement,R4,0,105,1000,403   BEAU BRUMMELL CT,LOUISVILLE,KY,40118-0000,1206665,222261,13,,2018-11-13 15:55:42,38.1005905262,-85.7573817315
91,11061,HV1083235,HVAC Permit,HVAC,Issued,LARRY ALLEN HEATING AIR,Single Family,Replacement,R4,0,105,1,5514   BRINSON DR,LOUISVILLE,KY,40216-0000,1190062,248206,12,,2018-12-04 15:10:41,38.1710656639,-85.8166033123
92,11062,HV1083608,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R7,0,105,500,3831   WASHINGTON SQ,ST MATTHEWS,KY,40207-0000,1235087,279344,9,,2018-12-07 10:34:54,38.2585588223,-85.6616652466
93,11063,HV1083657,HVAC Permit,HVAC,Issued,BRYANT HEATING & AC,Single Family,Replacement,R4,0,155,2000,9322   FERN BLUFF LN,LOUISVILLE,KY,40229-0000,1241337,225497,23,,2018-12-07 16:39:16,38.1109715727,-85.6370773138
94,11064,HV1082684,HVAC Permit,HVAC,Issued,PRODUCTION HEATING & COOLING,Multi Family,New,R6,0,555,40000,6615   ADAM RIDGE PL,LOUISVILLE,KY,40228-0000,1243477,244490,2,,2018-11-29 10:02:54,38.1632093818,-85.6306299036
95,11065,HV1083201,HVAC Permit,HVAC,Issued,LEGACY HEATING & AIR,Single Family,Replacement,R5,0,155,1500,5529   BRUCE AVE,LOUISVILLE,KY,40214-0000,1199636,238947,25,AUBURNDALE,2018-12-04 13:30:16,38.1460861015,-85.7827694779
96,11066,HV1083501,HVAC Permit,HVAC,Issued,A L LINDSEY & ASSOCIATES,Single Family,Replacement,R6,0,105,1195,6624   STRAWBERRY LN,LOUISVILLE,KY,40214-0000,1205815,244154,21,SOUTHLAND PARK,2018-12-06 13:25:19,38.1606631303,-85.7615836571
97,11067,HV1083193,HVAC Permit,HVAC,Issued,TOM DREXLER PLUMBING,Single Family,Replacement,R6,0,105,500,1324   HEMLOCK ST,LOUISVILLE,KY,40211-0000,1194275,271816,1,PARKLAND,2018-12-04 13:45:41,38.2360857888,-85.8033357303
