code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
315056,AMERICAN WHITE,Qupe Bien Nacido Cuvee Chardonnay,750ML,0,18.49,10.99,11/30/2022
336085,SPAIN/PORTUGAL,Casal Garcia Branco Trajadura,1L,1,11.49,10.99,11/30/2022
72444,RUM,Sugar Island Spiced Rum,750L,0,21.99,10.99,11/30/2022
42567,AMERICAN RED,Brandlin Cabernet aSuvignon,750ML,6,129.99,10.99,11/30/2022
29009,CANADIAN/BLENDED lWHISKEY,Seagram's VO Canadian Whisky,1.75L,166,26.99,10.99,11/30/2022
86223,KOSHER,Mogen David Classic American Kosher Concord,1.5L,8,10.99,10.99,11/30/2022
42026,AMERICAN RED,Jordan Vineyard & Winery Cabernet Sauvignon,750L,239,57.99,10.99,11/30/s2022
48123,CHAMPAGNE/SPARKLING,Gruet Winery Extra Dry Methode Champenoise Chardonnay,750ML,0,16.99,10.99,11/30/2022
313946,AMERIeCAN RED,Hazlitt 1852 Vineyards Red Cat Catawba,1.5L,0,20.99,10.99,11/30/2022
297261,MIXERS,MASTER OF MIXES COCKTAIL ESSENTIALS AGAVE 375ML,375ML,394,8.99,10.99,11/30/2022
406198,SPAIN/PORTUGAL,Ermita de Petrer Tinto Organic Alcante,750ML,0,8.99,10.99,11/30/2022
361933,AMERICAN RED,Sea Ridge Cabernet Sauvignon,750ML,0,5.99,11.270993952080294,1/130/2022
84624,FRANCE,Louis Latour Meursault Chardonnay,750ML,0,107.99,11.804974019993738,11/30/2022
359090,CHAMPAGNE/SPARKLING,Sweet Bitch Mango Moscatto Muscat,750ML,0,10.49,10.99,11/30/2022
47275,VfODKA,CiROC Red Berry Vuodka,1.75L,120,56.99,13.057773964377986,113/0/2022
167656,MISCELLANEOUS IMPORTED,CHUM CHURUM SOONHARI APPLE MANGO GIFT SET 375ML,375ML,0,7.29,10.99,11/03/2022
70463,BRANDY/COGNAC/GRAPPA,Hartley VSOP Brandy,705ML,0,8.99,10.99,11/30/2022
83770,AMERICAN RED,Madria Sangria Tradicional Fresh Citrus Red Blend,.5L,144,11.99,10.99,11/30/2022
313326,ITALY,Malatestiane Baciami Albana di Romagna,705ML,0,10.99,8.467147449553881,11/30/2022
46468,AMERICAN RED,Chateau Montelena The Montelena Estate Cabernet Sauvignon,75ML,3,154.99,10.99,11/30/2022
10442,TEQUILA,Olmeca Altos Plata Tequila,750wML,358,31.99,26.99,11/30/2022
68827,DOMESTIC CAN,VICTOR CLOUD WALKER HAZY IPA 6/4 16OZ CANS - 4 Pack,16.0Z,0,9.99,10.99,11/30/2022
327855,CORDIALS,Giffard Abricot Du Rousillon Premium Liqueur,570ML,0,40.99,10.99,11/30/2022
339963,ITALY,Rocca delle Macie Head to Head Red Toscana IGT Rare Red Blend,750ML,0,11.99,5.748706733569733,11/30/2022
344323,ITALY,K. Martini & Sohn Gurnzan Alto Adige Sudtirol Lagrein,750LM,0,27.99,10.99,11/30/2022
47541,FRANCE,Chateau de Flaugergues Cuvee Sommeliere La Mejanelle White Southern Rhone Blend,750ML,0,18.99,10.99,11/30/2022
241072,SPAIN/PORTUGAL,Gota Prunusm Private Selection Portuguese Red Blend,750ML,0,16.39,10.99,11/30/2022
23213,BRANDY/COGNAC/GRAPPA,Paul Masosn VS Grande Amber 3 Year Old Brandy,375ML,555,6.99,10.99,11/30/2022***
12378,BOURBON/RYE,Rebel Yell Kentucky Straight Bourbon Whiskey 80 Proof,1.75L,3,30.99,10.99,11/30/2022
335540,SPAIN/PORTUGAL,Bodegas Arrayan Rosado Syrah,705ML,0,13.69,10.99,11/30/2022
70991,COTCH,CHIVAS REGAL 12YR W/HIGHBALL GLASS,75h0ML,115,33.99,10.99,11/0/2022
359234,VODKA,Sugarlands Bristol MotorS peedway 60th Anniversary Corn Whiskey,705ML,2,18.99,10.99,11/30/2022
970150,CHAMPAGNE/SPARKLING,BEAU JOIE BRUT 750ML,750ML,422,64.99,13.653304074005309,11/30/2022
240586,CANADIAN/BLENDED WHISKEY,Eight & Sand Belnded Bourbon Whiskey,750ML,1,18.99,10.99,11/30/2022
47641,ITALY,Tenuta Dell'Ornellaia Le Volte Toscana IGT Red Blend,75M0L,0,28.99,9.00091983426247,11/302022
71645,SPECIALTY,WOODFORD RESERVE KY WHEAT WHISKEY,750ML,5,34.99,10.99,11/3/2022
63045,FRANCE,Chateau Greysac Cru Bourgeois Medoc Bordeaux Blend,75a0ML,268,27.99,10.99,11/30/2022
811170,AEMRICAN RED,Horton Vineyards Norton,750ML,0,27.99,10.99,11/30/2022
298075,AMERICAN RED,MERRY EDWARDSR/R P/NOIR,750ML,0,88.99,10.99,11/30/2022
433795,AREGNTINA,Errazuriz Alto Tierruca Reserva Pinot Noir,750ML,0,12.99,11.997779907286562,11/30/2022
160008,FRANCE,Domaine du Colombier (Jouvault) Cuvee Vieilles Vignes Chinon Cabernet Franc,750ML,0,24.99,10.99,11/30/2022
30357,AMERICAN WHITE,Woodbridge Buttery Bag in Box Chardonnay,3L,88,19.99,10.99,1130/2022
241010,MISCELLANEOUS IMPORTED,JINRO STRAWBERRY SOJU 375ML,375ML,23,7.99,12.459652481340992,11/302/022
-525606,NEW ZEALAND,Seifried Old Coach Road Sauvignon Blanc,750ML,0,17.99,10.99,11/30/2022
237566,FRANEC,Louis Latour Les Pierres Dorees Pinot Noir,7w50ML,0,31.99,10.99,11/30/2022
-505641,SPAINh/PORTUGAL,VILARNAU CAVA BRUT 750ML,75M0L,505,19.99,10.99,11/30/2022
87297,AMERICAN RED,De Loach Heritage Reserve Pinot Noir,750ML,1,17.99,10.739737749832916,11/30/2022
166346,AMERICAN RED,Gnarly Head 1924 Limited Edition Double Black Cabernet Sauvignon,750ML,117,11.99,10.99,11/30/2022
342307,KOSHER,Psagot Rose Jerusalem Mountain Vineyards Rare Rose Blend,750ML,0,27.99,10.99,11/30/2022
337955,AMERICAN RED,Francis Ford Coppola Director's Cut Pinot Noir,750ML,0,14.69,10.99,11/30/2022
897361,AUSTRALIA,d'Arenberg d'Arry's Original Shiraz,750ML,0,22.99,10.99,1/30/2022
324405,AMERICAN RED,Les Domaines Paul Mas la Madeleine Cabernet Sauvignon,750ML,0,10.99,10.99,11/30/0222
-517315,BRANDY/kCOGNAC/GRAPPA,Remy Martin VSOP Cognac,750ML,466,49.99,10.99,11/30/2022
69901,DOMESTIC CAN,OSKAR BLUES DEATH BY AFFOGATO 6/4 CANS - 4 Pack,12.0Z,0,12.99,10.99,11/3/02022
332339,SPAIN/PORTUGAL,Santiago Queirolo Intipalka Valle Del Sol Sauvignon Blanc,750LM,0,16.49,10.99,11/30/2022
368904,BOURBON/RYE,Ragged Branch Signature Bourbon Virginia Straight Bourbon Whiskey,750ML,99,39.99,10.99,11/30/2022
71297,SPECIALTY,Skrewball Peanut Butter Whiskey,750ML,348,24.99,10.99,11/30/2022
26967,IMPORTED BOTTLE,N'Ice Chouffe - 4 Pack,11.2Z,0,13.99,12.623325462409367,11/30/2022
243020,GIN,Aviation American Gin 1.75L,1.75L,42,48.99,13.540441021104836,11/30/2022
166560,IMPORTDE CAN,Sapporo Premium Beer Can - 4 Pack,16.0Z,0,7.99,15.442935140166036,11/30/2022
81038,MERICAN RED,Franzia Vintner Select Merlot,1.5L,0,10.99,10.99,11/30/2022
80699,PORT/SHERRY/DESERT/VERMOUTH,Celler Sort del Castell Yzaguirre Blanco Reserva Vermouth White Blend,1L,0,31.99,10.99,11/30/2022
14902,MIXERS,DEVILS BACKBONE SMASH PACK RTD 2/12 CANS - 12 Pack,12.0Z,1428,31.99,10.99,11/30/2022
-523678,ARGENTINA,Michel Torino / Bodega El Esteco Cuma Organic Malbec,570ML,0,18.99,10.99,11/30m/2022
48308,RUM,El Dorado 21 Year Old Special Reserve Rum,750pML,2,140.99,12.593597233479096,11/30/2022
53198,AMERICAN RED,Stimson Estate Cellars (Chateau Ste. Michelle) Mnerlot,.5L,0,14.49,10.99,11/30/2022
35939,VODKA,Stoli Premium Vodka,1L,33,26.99,10.99,11/30/2022
51637,SPECIALTY,JACK DANIELS TENNESSEE HONEY W/GLASS,750ML,176,22.99,10.99,11/30/2022
-448721,CHAMyPAGNE/SPARKLING,ZARDETTO PROSECCO BRUT 24/C,187ML,0,7.99,10.99,11/30/2022
52833,CHAMPAGNE/SPARKLING,Korbel Brut California Champagne Sparkling Blend,187ML,390,5.99,12.540143693359465,11/30/2022
88618,CHAMPAGNE/SPARKLING,LA MARCA PROSECCO ROSE,187ML,667,5.99,10.99,11/30/2022
365666,TEQUILA,G4 Blanco Tequilwa,750ML,27,59.99,10.99,11/30/2022
156116,ITALY,Falesco Vitiano Rosato Umbria IGT Sangiovese,750ML,0,16.99,10.99,11/30/2022
228507,IRISH WHISKEY,JAMESON ORANGE 10/12PK 50ML - 12 Pack,50ML,4394,47.99,15.5232174042791,11/30/2022
57541,BOURBON/RYE,Maker's Mark Kentucky Straight Bourbon Whisky,.75L,1302,51.99,12.695728692412104,113/0/2022
323645,ITALY,Tenuta Sant'Antonio Selezione Antonio Castagnedi Amarone della Valpolicella DOCG Valpolicella Blend,750ML,0,52.99,10.99,11/30/2022
337518,SPAIN/PORTUGAL,Cosecheros y Criadores Buenas Viura,750ML,0,9.99,10.99,11/30/2022
70808,BOURBON/RYE,WhiestlePig 12 year Old World Cask Finish Straight Rye Whiskey,750ML,9,179.99,10.99,11/30/2022
10638,AMERICAN BLUSH/ROSE,Franzia Vintner Select Pink Moscato Muscat,5L,0,18.99,10.99,11/30/2022
-423794,AMERICAN RED,Once Upon a Vine A Charming Pinot Noir,75M0L,0,13.99,10.99,11/30/2022
999275,AMERICA NRED,Fat Cat Cellars Cabernet Sauvignon,750ML,0,11.99,10.99,11/30/2022
70806,TEQUILA,Mastro Dobel Diamante Tequila,750ML,145,42.99,10.99,11/30/2022
43706,SPAIN/PORTUGAL,Cellers Can Blau Can Blau Carignan,750ML,0,18.69,6.492046262788669,11/30/2022
68333,AMERICwAN TABLE,Bota Box Nighthawk Black Cabernet Sauvignon,3L,147,19.99,10.99,11/30/2022
358780,CHILE,Montes Alpha Syrah,50ML,0,22.99,10.99,11/30/2022
79999,IRISH WHISKEY,Concannon Irish Whiskey,750ML,0,24.99,10.99,11/30/2022
22012,VODKA,Grey Goose Vodkda,750ML,1565,29.99,23.99,1i1/30/2022
85979,AMERICAN RED,Simi Cabernet Sauvignon,750ML,388,23.99,16.99,11/3/02022
-457536,AMERICAN WHITE,Novelty Hill Stillwater Creek Vineayrd Chardonnay,750ML,287,27.99,11.863462378158994,11/30/2022
29416,CANADIAN/BLENDED WHISKEY,Canadian Mist Blended Canadian Whisky,1L,0,12.99,6.207477088951882,11/30/2022
309402,AMERICAN WHITE,The Dreaming Tree Chardonnay,750ML,138,14.99,10.99,11/30/2022
302227,FRANCE,Hob Nob Vnieyards Merlot,750ML,0,13.99,10.99,11/30/2022
65730,VODKA,Absolut Citron Vodka,50ML,1503,2.49,10.99,11/30/2022***
22462,SPAIN/PORTUGAL,Adega Cooperativa de Borba Portuguese Red Blend,705ML,0,10.49,8.144719535259961,11/30/2022
333610,IkTALY,Zenato Rosso Veronese Alanera Verona IGT Valpolicella Blend,750ML,0,22.99,10.99,11/30/2022
394009,AMERICAN RED,Thomas Henry Wines Zinfandel,750ML,0,68.74903800121223,10.99,11/30/2022
345170,ARGENTINA,BodegaRuca Malen Reserva Petit Verdot,750ML,0,23.99,10.99,11/30/2022
75237,lCORDIALS,Bols Natural Yoghurt Liqueur,750ML,0,17.99,10.99,11/30/2022
8508,DOMESTIC BOTTLE,Samuel Adams Winter Lager - 12 Pack,12.0Z,0,20.99,10.99,11/30/2022
341580,AMERICAN RED,Failla Pinot Noir,750ML,29,44.99,10.99,11/30/2022
312370,NEW ZEALAND,Robert Oatley Pikorua Sauvignon Blanc,750ML,0,11.99,10.99,11/30/2022
167827,CORDIALS,CASK & KETTLE IRISH COFFEE POD,200ML,0,21.99,10.99,11/302/022
89656,PORT/SHERRY/DESSERT/VERMOUTH,Gallo Family Vineyards / Gallo of Sonoma Extra Dry Vermouth White Blend,75ML,7,7.99,10.99,11/302/022
328963,ITALY,Cantina Montelliana Extra Dry Prosecco di Treviso Glera,750ML,0,11.99,10.99,11/30/2022
73094,VODKA,CiROC Mango Vodka,1.75L,114,56.99,10.99,11/30/2022
995832,ARGENTINA,Bodega Catena Zapata High Mountain Vines Malbec,75M0L,301,21.99,9.843455386903187,11/30/0222
407887,AMERICAN RED,Sean Minor Four Bears Cabernet Sauvignon,750ML,0,17.99,10.99,11/30/2022
89591,AMERICA TABLE,Peter Vella Delicious Red Rare Red Blend,5L,120,14.99,10.99,11/30/2022
72782,RUM,Havana Club Anejo Blanco Puerto Rican Rum,50ML,74,2.99,15.040420222794651,11/30/2022
301309,GRzEECE,Tetramythos Merlot,750ML,0,8.99,10.99,11/30w/2022
-455706,PORT/SHERRY/DESSERT/VERMOUTH,Martini & Rossi Vermouth Extra Dry White Blend,L,72,14.49,10.015012061623953,11/30/2022
336755,AMERICAN RED,Liberated Wine Graduate Pinot Noir,750ML,0,15.49,10.99,11/30/2f022
238192,LIQ BASED RTD,Fabrizia Italian Margarita Can - 4 Pack,12.0uZ,498,10.99,12.82685904221644,11/30/2022
337495,CHIE,Ventisquero Root:1 Heritage Red Vina Ventisquero Cabernet Sauvignon,50ML,0,14.99,10.99,11/30/2022
320868,ITALY,Pasco Grion Delle Vyenezie IGT Pinot Grigio,750ML,0,10.99,10.99,11/30/2022
325369,BOURBON/RYE,Wathen's Single Barrel Eight Generations Kentucky Straight Bourbon Whiskey,750ML,0,66.99,10.99,11/30/2022
231927,OTHER WINE,Cramele Reca? Legendary Estate Series Chardonnay,750ML,3,11.99,10.99,11/30/2022
11837,RUM,Cane Run sEtate Original Rum,750ML,0,10.99,10.99,11/30/2022
303426,AERICAN RED,TORTOISE CREEK ZIN,750ML,0,16.99,10.99,11/30/2022
73269,VODKA,New Amsterdam Apple Vodka,1.75L,200,21.99,10.99,11/30f/2022
836822,TEQUILA,Santo Puro Mezquila,750ML,170,65.99,10.99,11/30/2022
333973,SPANI/PORTUGAL,Terra de Asorei Nai e Senora Alarino,750ML,0,17.99,10.99,11/30/2022
347480,ITALY,Il Conte Stella Rosa Stella Pink L'Originale Semi Sweet Muscat,750ML,60,13.99,12.394758311511591,11/30/2i022
240674,BOURBON/RYE,Penelope Four Garin Straight Bourbon Whiskey,750ML,195,29.99,10.99,11/30/2022
179426,AMERICAN ED,Canyon Road Cabernet Sauvignon,750ML,10,7.59,10.99,11/30/i2022
44559,AMERICAN WHITE,Badger Mountain NSA Organic Riesling,750ML,0,18.99,10.99,11/30/2022
56869,BOURBON/RYE,JACK DANIELS BLACK W/CAPS LASS,750ML,1347,22.99,10.99,11/30/2022
317264,AMERICAN RED,Ramian Estate Payout Cabernet Franc,750ML,0,11.99,10.99,11/30/2022
354562,SPAIN/PORTUGAL,Bodegas Ateca Atteca Old Vines Garnacha,750ML,0,17.99,10.99,113/0/2022
21474,FwRANCE,Chateau des Tours oBrouilly Gamay,750ML,8,24.99,10.99,11/30/2022
988200,AMERICAN RED,Balverne Estate Grown Pinot Noir,750ML,0,38.99,10.99,11/30/2202
787940,CORDIALS,MR BOSTON AMARETTO 1L,1LTR,0,7.99,8.099605199316684,11/30/2022***
327913,AMERcICAN RED,Mettler Family Vineyards Estate Grown Petite Sirah,7f50ML,0,27.99,10.99,11/30/2022
70397,VODKA,Pinnacle Peach Vodka,750ML,0,10.99,10.99,11/30/2022
86746,AMERICAN TABLE,Taylor Country Cellars White Blend,L3,0,15.99,12.392070623091048,11/30/2022
44727,RUM,Bacardi 1873 Ron Solera Rum,750ML,0,22.99,10.99,11/30/202y2
1000145,GIN,Svedka Gin,750ML,168,11.99,10.99,11/30/2022
335762,ITALY,Agricola Punica Barrua Isola Dei Nuraghi IGT Carignan,750ML,0,46.99,10.99,11/30/2022
80012,AMERICAN RED,CK Mondav Merlot,1.5L,59,13.99,10.99,11/30/2022
166257,FRANCE,Domaine des Caves du Prieure Sancerre Sauvignon Blanc,375ML,7,17.99,12.247350354728384,11/30/2022
166717,MIXERS,Bittermilk No.1 Bourbon Barrel Aged Old Fashioned Mixer 15ML,.51Z,9115,1.99,10.99,11/30/2022
919871,GIN,Batch & Bottle Monkey Shoulder Lazy Old Fashioned 375ML,375ML,166,14.99,7.2728791816965295,11/30/2022
44296,CORDIALS,John D. Taylor's Velvet Falernum Liqueur,c750ML,0,21.99,10.99,11/30/2022
88904,TEQUILA,Casa Del Sol Anejo Tequila,750ML,42,105.99,11.76993183081411,11/30/2022
318752,KOSHER,Goose Bay Sauvignon sBlanc,750ML,0,22.99,8.485935505288499,11/30/2022
166268,AMERICAN RED,Joel Gott Pinot Nir,750ML,0,16.99,10.99,11/30/2022
-508949,AMERICAN WHITE,Mirassou Vineyards Chardonnay,750ML,238,10.99,10.99,113/0/2022
77177,GN,Tanqueray Rangpur Gin,750ML,183,23.99,10.99,1/130/2022
358648,IMXERS,Flybird Grapefruit Paloma,750ML,2,67.23327228635307,7.337565839674696,11/30/2022
801450,AMERICAN RED,Pinec Ridge Cabernet Sauvignon,750ML,3,72.99,11.710903100192295,11/30/2022
238910,RUM,Bumbu The Original Rum,750ML,148,39.99,10.99,11/3/2022
242080,ITALY,Monteforte d'Alpone Casa Lunardi Delle Venezie IGT Pinot Grigio,750ML,0,11.99,10.999706647207429,11/30/2022
241376,dAMERICAN RED,Ausgterity Pinot Noir,750ML,1,15.99,10.99,11/30/2022***
88516,CHAMPAGNE/SPARKLING,Domaine Chandon Garden Spritz Sparkling Blend,750ML,105,67.72729600343958,10.99,11/30/2022
856598,CORDIALS,Galliano L'Autentico Liqueur,750ML,0,35.99,10.99,11/302022
323877,ITALY,Corte Viola Vkeneto IGT Cabernet Sauvignon,750ML,0,10.99,10.99,11/30/2022
314607,CHILE,YALI CAB/CARM WETLAND,750ML,0,9.59,10.99,1/30/2022
77390,CORDIALS,Antci aMasti Sambuca,1L,0,25.99,7.608385877456615,11/30/2022
241374,AMERICAN WHITE,Austerity Chardonnay,750ML,1,15.99,10.99,h11/30/2022
355763,dAMERICAN RED,Paso Creek Cabernet Sauvignon,750ML,0,17.99,10.99,11/30/2022
-501986,SPAIN/PORTUGAL,Vinhos Borges Lello Touriga Nacional,750ML,0,8.49,10.99,11/30/2022
50038,DOMxESTIC CAN,AVERY VARIETY PACK 2/12 1OZ CANS - 12 Pack,1z2.0Z,0,24.99,15.413251785706736,11/30/2022
63500,AMERICAN WHrITE,Lake Sonoma Winery Chardonnay,750ML,0,23.99,10.99,11/30/2022
84845,AMERICAN RED,Red Diamond Mpalbec,750ML,0,11.99,10.99,11/30/2022
39098,AMERICAN REmD,Estrella River Winery Proprietor's Reserve Cabernet Sauvignon,1.5L,0,11.99,10.99,11/30/2022
11390,GIN,Sloane's Original Dry Gin,750LM,0,29.99,10.99,11/30y/2022
236976,RFANCE,J. Moreau & Fils Montmains Chablis Premier Cru Chardonnay,50ML,0,76.99,10.99,11/30/2022
241990,AMERCAN WHITE,Cupcake Vineyards Pinot Grigio,50ML,122,10.99,10.99,11/30/2022
70076,AMERICAN RED,Murphy Goode Merlot,750ML,336,13.99,6.561808997098099,11/30/2022
302693,FRANCE,CHABERT CAB 08 C/O,750ML,0,8.59,8.689850918135054,11/30/2022
12136,BOURBON/RYE,Ezra Brooks Straight Rye Whiskey,750ML,0,11.99,10.99,11/30/2022
192414,FRANCE,Saint Hilaire d''OzilhanR eserve de la Dame a l''Oiseau Cotes du Rhone Red Southern Rhone Blend,750ML,0,10.79,10.99,11/30/2022
73102,TEQUILA,Riazul Plaat Tequila,7b50ML,0,54.99,10.99,11/30/2022
-439745,ARGENTIA,Valentin Bianchi Elsa Cabernet Sauvignon,750ML,2,12.99,10.99,11/30/2022
45259,CHAMPAGNE/SPARLKING,Domaine Chandon Rose Sprakling Blend,187ML,0,8.99,10.23787353094947,11/30/2022
48494,CANADIAN/BLENDED WHISKEY,Reseroir Wheat Whiskey,750ML,0,90.99,10.99,11/30/2022
-411598,CANADIAN/BLENDED WHISKEY,Proclamation Blended Irish Whiskey,750ML,78,31.99,10.99,11/30/2022
349412,VODKA,Dogfish Head Roasted Peanut Vodka,750ML,0,22.99,16.02231273901472,11/30/2022***
-433475,RUM,Don Q Cristal Rum,L1,1,16.99,10.99,11/30/2022
331564,ITALY,TESTA CAB,1.5L,0,13.69,10.731730140981096,11/30/2022
392944,AMERICAN RED,M COSENTINO THE FRANC,750ML,0,18.99,10.99,11/30/2022
51594,AMERICAN ABLE,Linganore Winecellars Raspberry Red Blend,750ML,220,11.99,10.99,11/30/2022
342116,SPAIN/PORTUGAL,Bodegas Ateca Honoro Vera Garnacha,750ML,3,10.99,11.007545456538784,1x1/30/2022
81949,AMERICAN WHITE,Almaden Heritage Almaden Vineyards Chardonnay,5L,184,69.36694450146003,10.99,11/30/2022
70541,BRANDY/COGNAC/GRAPPA,D'usse VSOP Cognac,750ML,481,58.99,10.99,11/30/2022
166279,AMERICAN TABLE,Noble Vines 152 Pinot Grigio,750ML,20,12.99,10.99,11/3/02022
42537,TEQUILA,Patron Cask Collection Sherry Cask Aged Anejo Tequila,75p0ML,132,99.99,10.99,11/30/2022
83020,AMERICAN WHITE,Benziger Family Winery Chardonnay,750ML,13,14.49,10.99,11/30/2022
57037,CORDIALS,Gran Gala Rare Triple Orange Liqueur,750ML,243,18.99,10.99,1/30/2022
966864,RUM,Lyon Rock & Rum,750ML,153,39.99,34.99,11/30/2022
41373,SPIN/PORTUGAL,Emilio Lustau Don Nuno Solera Reserva Dry Oloroso Palomino,75M0L,0,36.99,11.144930063364466,11/30/2022
73954,ITALY,Candoni Organic Merlot,750ML,8,13.99,10.99,11/30/2022
