communityareaname,communityareanumber(long),propertytype,propertyname,address,zipcode(long),phonenumber,managementcompany,units(long),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
Logan Square,22,ARO,2501 Armitage,2501 W. Armitage Ave.,60647,312-255-1153,Tandem Property Management,8,1159374.119,2562870.361246376,41.91744385,-87.68988362,"(41.9174438522713, -87.6898836190418)"
Albany Park,14,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",97,1145674.754,1333995.2155563915,52.05138847315786,-87.73974749,"(41.9682242320605, -87.7397474865535)"
Woodlawn,42,Multifamily,Renaissance Apts.,6200 S. University Ave.,60637,773-752-9400,AIMCO,64,1184799.335,1864093.117,41.782231,-87.59801573,"(41.7822309984892, -87.5980157269828)"
Englewood,68,Supportive Housing,Englewood Apts.,901 W. 63rd Street,60621,773-994-3199,Mercy Housing,45,806579.3023661727,1863023.368,41.77959999,-87.64726896,"(41.7795999913491, -87.647268959761)"
Washington Park,40,Multifamily,St. Edmund's Oasis,6100-24 S. Prairie Ave.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,27,666932.7965343234,1864591.098,22.202266732268523,-87.61908972,"(41.7837305569286, -87.6190897249257)"
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,48,1156574.009,2337108.586039992,25.730999093755678,-87.70066623,"(41.8673696100651, -87.7006662254259)"
Rogers Park,1,Supportive Housing,Wayne Street Apts.,6808 N. Wayne Ave.,60626,773-572-5272,The Thresholds,217,1165865.348,1945401.689,42.00577097,-87.66511109,"(42.0057709728472, -87.6651110903791)"
Hunboldt Paek,23,Multifamily,Harold Washington Unity Coop,3100-36 W. Huron St.,53711,773-227-6332.,Bickerdike Apts.,43,1155567.271,1904540.247,41.89385878,-57.31614614808209,"(41.89385877539872, -87.70410250285862)"
West Town,24,Senior,North & Talman Elderly Apts.,1600 N. Talman Ave.,60647,773-486-7410,Hispanic Housing Dev. Corp.,24,1158416.973,2707820.981391304,41.91034383,-87.69347132,"(41.9103438336904, -87.6934713168643)"
Grand Boulevard,38,Senior HUD 202,Margaret Ford Manor Independent Living,4500 S. Wabash Ave.,60653,773-924-9171,"HSR Property Services, LLC",257,1177427.156,1875236.623,41.81297966,-87.62470713,"(41.812979659555, -87.6247071273336)"
Lincoln Square,4,ARO,The Westner,4618 N. Western Ave.,60625,773-975-7234,Kass Management,2,1159495.407,1930676.176,41.96549759,-87.68895433,"(41.9654975931691, -87.6889543312091)"
Near North Side,8,ARO,AMLI 808,808 N. Wells St.,75920,312-279-0880,AMLI Realty Co.,32,1174546.412,1905796.728,41.89690353,-87.63436122,"(41.8969035333416, -87.6343612178957)"
Near West Side,28,ARO,The Mason,180 N. Ada St.,60607,312-809-0240,Marquette Management Inc.,276,1267503.0729495725,1901500.005,41.88527083,-87.66091,"(41.8852708263977, -87.6609099980396)"
Auburn Gresham,71,Supportive/Veterans,Veteran's New Beginnings,8132-44 S. Racine Ave.,60620,773-488-2317,"HSR Property Services, LLC",54,1169700.307,1850714.778,41.74586011,-128.9557695470329,"(41.7458601099296, -87.6537601722189)"
Uptown,3,ARO,Somerset Place Apts.,5009 N. Sheridan Road,60640,317-596-2168,Zidan Management Group,16,1168763.559,1933706.921,41.97361773,-87.65478924,"(41.9736177253694, -87.6547892430962)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,636 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,5,1181481.554,2777954.813614784,31.092987709177947,-87.60993412,"(41.8041330240218, -87.6099341196123)"
Logan Square,22,ARO,1955 Richmond Place,1955 N. Richmond St.,60647,847-542-0442,@properties,3,1156536.742,1913073.871,34.64491655892202,-89.35438607630762,"(41.9172562068666, -87.7003106604857)"
North Park,13,Senior,North Park Village Apts.,5801 N. Pulaski Road,60646,773-478-6890,Elderly Housing Devp. & Operations Corp.,-139,1148723.501,1613999.6655894313,41.98593151,-130.54240442449986,"(41.9859315141827, -87.7283692100341)"
Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,60613,866-227-0438,Holsten Real Estate Dev. Corp.,13,1168438.959,1929421.65,41.96186585,-87.65610743,"(41.9618658532981, -87.656107428372)"
West Town,24,ARO,Nevele 22 Apts.,1122 W. Chicago Ave.,60642,773-227-1202,Nevelle 22,19,1168610.474,1905551.686,41.89636176,-84.75044151846109,"(41.8963617568158, -87.6561699480868)"
Lower West Side,31,Senior,Casa Maravilla,2021 S. Morgan St.,60608,312-666-1323,The Resurrection Project,5,1170051.208,1890349.587,41.85461476,-87.65132209,"(41.8546147585411, -87.651322092184)"
Lake View,6,Senior Supportive Living,Renaissance St. Luke Greenview Place,1501 W. Melrose St.,60657,773-525-1501,"RRG Development, Inc.",97,1555692.457430638,1921625.294,38.13292450133797,-55.58551744842074,"(41.9405311557355, -87.6663826052792)"
Auburn Gresham,71,Senior,Senior Suites of Auburn-Gresham,1050 W. 79th St.,60620,773-723-0333,Senior Lifestyle Corp.,85,1170460.901,1852465.795,26.911904499594755,-87.65092232,"(41.7506486193345, -87.6509223206213)"
Oakland,36,Multifamily,Lakefront Phase II,1060 E. 41st St.,60653,773-548-8795,"Urban Property Advisors, LLC",81,1184020.764,1877980.711,41.82035789,-87.60043601,"(41.8203578869792, -87.6004360121251)"
Oakland,36,Multifamily,Lakefront Phase II,1137 E. Bowen Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",-120,1184548.967,1877442.503,48.6000734679416,-87.59851524,"(41.8188686278145, -87.598515237893)"
Douglas,35,ARO,Unity Hall,3138-40 S. Indiana Ave.,60616,773-572-0880,Westward 360,254,1178081.304,1884060.021,41.83717695,-85.87979005507286,"(41.8371769457261, -87.6220397684404)"
West Town,24,ARO,1447 N. Washtenaw,1447 N. Washtenaw Ave.,60622,847-757-7766,Scheck Investments LLC,3,1158185.871,1909709.708,41.90799111,-125.97592837867911,"(41.907991114807, -87.6943438113739)"
Woodlawn,42,Multifamily,The Grant at Woodlawn Pk Phase I,6227-29 S. Cottage Grove Ave.,60637,312-283-0030,Preservation Housing Management LLC,67,1592016.157370376,1863775.147,29.332979876285883,-87.60580712,"(41.7814080036687, -87.6058071227519)"
Humboldt Park,23,Multifamily,Spaulding Apartments,1750 N. Spaulding Ave.,60647,773-381-7400,G&A Management,111,1153823.719,1911621.628,55.1533839571875,-87.71031714,"(41.9133256466417, -87.7103171383554)"
West Pullman,53,Senior,All Saints Senior Residence,11701 S. State St.,60628,312-655-7440,Catholic Charities Housing Devp.,42,1178389.496,2522505.264837442,35.67242189783425,-87.62262763,"(41.6815900985845, -87.6226276337339)"
Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,83266,773-233-1333,Senior Lifestyle Corp.,82,1172263.727,1836577.477,41.70700943,-87.64478166,"(41.7070094273739, -87.6447816603137)"
North Center,5,ARO,1911-21 W. Irving Park Rd.,1911-21 W. Irving Park Rd.,84645,312-285-3749,Campell Street Asset Management Inc.,2,1162826.371,1926537.708,41.95407205,-87.67682369,"(41.95407204874, -87.6768236930826)"
West Town,24,ARO,Homer Townhomes,1623 N. Talman Ave.,55705,773-975-7234,Kass Management,5,1158490.609,1910798.294,56.35499250689482,-57.25300852257397,"(41.9109720465448, -87.6931945157287)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3114 W. Franklin Blvd.,69339,773-227-6332,Bickerdike Apts.,6,1155445.176,1715541.4372091491,41.8902013,-87.70458681,"(41.8902013034932, -87.7045868112095)"
Humboldt Park,23,Multifamily,Harold Washington Unity Coop,718-20 N. Troy St.,60612,773-227-6332,Bickerdike Apts.,4,586001.7680208666,1904711.76,41.89433675,-87.70543577,"(41.89433674506332, -87.70543577020683)"
Pullman,50,Multifamily,Pullman Wheelworks,901 E. 104th St.,60628,773-785-1300,Mercy Housing,210,1184202.937,1836150.183,41.70556659,-87.60107403,"(41.7055665941817, -87.6010740303264)"
Irving Park,16,Senior,Senior Residence at Kedzie,4054 N. Kedzie Ave.,73072,773-381-7400,G&A Management,51,1154285.687,1927005.643,51.86573176586492,-87.70820786,"(41.9555313337016, -87.7082078564992)"
Chicago Lawn,66,Senior,Churchview Supportive Assisted Living,2626 W. 63rd St.,60629,773-471-4444,Greater Southwest Dev. Corp.,86,1159807.028,1862817.69,41.77928099,-87.68967949,"(41.779280990198, -87.689679486435)"
Roseland,49,Supportive Housing,Holland Apartments,240 W. 107th Place,60628,773-568-3031,Mercy Housing,40,1393769.7444119104,1833690.986,41.69899564,-87.62954345,"(41.6989956380033, -87.6295434504419)"
Avalon Park,45,Senior,Montclare Senior Residences of Avalon Park,1200 E. 78th St.,60619,773-933-9000,Pacific Management Inc.,102,1185587.742,1853564.459,41.75332086,-87.5954564,"(41.75332086089, -87.5954564008654)"
Near North Side,8,Multifamily,Clybourn 1200,1200 N. Clybourn Ave.,60622,312-477-7442,Interstate Realty Management Co.,52,1679013.3073976294,1908293.946,39.54847126144352,-88.79555295471829,"(41.9037895846684, -87.639820773757)"
Near South Side,33,Senior,Hilliard Homes Phase I,30 W. Cermak Road,60616,312-326-1455,Holsten Real Estate Dev. Corp.,151,1176346.441,2257423.5018953546,41.85301339,-87.62823221,"(41.8530133902049, -87.6282322110359)"
Near West Side,28,Multifamily,Westhaven Park Phase IIC,1939 W. Lake St.,60612,312-455-0009,Interstate Realty Management Co.,42,1163284.257,1901334.737,27.623402909911484,-87.67585077,"(41.8849038014928, -87.675850768228)"
South Shore,43,Artists & Families,Dorchester Art + Housing Collaborative,1450 E. 70th St.,60637,773-324-2270,Leasing & Management Co. Inc.,32,1187273.42,1858913.338,41.76795883,-83.40405676764274,"(41.767958834450795, -87.58910952643669)"
Bridgeport,60,Senior,Senior Suites of Bridgeport,2825 S. Halsted St.,60608,312-326-0333,Senior Lifestyle Corp.,85,1171468.409,1886029.528,41.84272915,-87.64624727,"(41.8427291511758, -87.6462472700624)"
Avondale,21,Supportive Housing,Milwaukee Ave. Apts.,3060 N. Milwaukee Ave.,60618,312-967-7300,Full Circle Management,32,1151100.782,1920108.203,41.93666739,-87.72009772,"(41.936667386198, -87.7200977199175)"
Lower West Side,31,Multifamily,Resurrection Homes,2124 W. 19th St.,60608,312-666-1323,The Resurrection Project,5,1162389.313,1890761.089,41.85590751,-129.44756240875117,"(41.8559075140985, -87.6794329233162)"
Oakland,36,Multifamily,Lakefront Phase II,1106 E. 42nd Pl,67812,773-548-8795,"Urban Property Advisors, LLC",3,1184320.237,2036996.189870323,41.81813912,-87.59936268,"(41.8181391196842, -87.5993626833323)"
Douglas,35,Mutifamily,Park Boulevard IIB,15 W. 37th St.,60609,773-548-8792,"Urban Property Advisors, LLC",-156,1176697.68,1880416.049,41.82720892,-65.56442199674959,"(41.8272089226053, -87.62722672192)"
Austin,25,Supportive Housing,Menard Apartments,334 N. Menard Ave.,60644,773-572-5272,The Thresholds,57,1137606.415,1901816.665,41.88672742,-87.77013329,"(41.8867274206876, -87.7701332901046)"
Hyde Park,41,ARO,Vue53,1330 E. 53rd St.,60615,773-355-4972,Peak Campus,27,1185905.32,1870431.452,41.79959787,-87.59376104,"(41.7995978693895, -87.5937610368807)"
North Lawndale,29,Multifamily,Park Douglas,1255 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,5,1158274.683,1894003.779,41.86489079,-87.69444711,"(41.8648907888264, -87.6944471100166)"
West Ridge,92,ARO,"5822 North Western, LLC",5822 N. Western Ave.,60659,773-572-2755,Chicago Apartment Finders,2,1159227.225,1093092.9151727064,41.98752226,-87.68971871,"(41.9875222634019, -87.6897187054826)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase V,400 E. 41st St.,83431,773-924-2100,Paul G. Stewart Assoc.,-152,1179638.248,1877940.683,41.8203495,-87.61651411,"(41.820349500309, -87.6165141094717)"
Grand Boulevard,38,Multifamily,Indiana Manor Town Homes,4427-33 S. Indiana Ave.,60653,773-268-5326,Indiana Manor Townhomes,87,1178382.513,1875605.784,41.813971,-87.62119166,"(41.8139709971034, -87.6211916565333)"
North Lawndale,29,Multifamily,Park Douglas,1310-14 S. Washtenaw Ave.,60608,773-893-4800,Interstate Realty Management Co.,10,1158535.345,1893803.561,41.86433604,-130.13402083552063,"(41.8643360428425, -87.6934956949133)"
North Lawndale,29,Senior,Roosevelt Towers,3440 W. Roosevelt Road,69961,773-265-6961,"East Lake Management Group, Inc.",104,1153440.124,1894532.775,41.86643977,-87.71218086,"(41.8664397712922, -87.7121808603313)"
Lake View,6,ARO,3220 Lincoln,3220 N. Lincoln Ave.,60657,312-214-3563,3220 Lincoln LLC,2,1721845.5174476963,1921523.945,41.94026958,-87.66923761,"(41.9402695807229, -87.6692376073269)"
West Town,22,ARO,St. Paul Western Lofts,1741 N. Western Ave.,60647,773-327-4975,33 Realty,3,1160128.527,2777931.873102884,41.91332611,-57.31481239242448,"(41.9133261116844, -87.68715328833)"
Uptown,3,Multifamily,Uptown Preservation Apts.,927 W. Wilson Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,257,1169143.773,1930693.074,41.96533937,-87.65347906,"(41.9653393681499, -87.6534790570047)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,541 N. Homan Ave.,60624,773-227-6332,Bickerdike Apts.,27,1153649.603,1451528.5261818678,41.89148035,-87.71116895,"(41.8914803509781, -87.7111689514043)"
Woodlawn,42,Senior,Butler Apts.,6146 S. Kenwood Ave.,60637,773-955-9290,Woodlawn Comm. Dev. Corp.,17,1433025.1901067193,1864312.843,41.78280346,-87.59326131,"(41.782803460278, -87.5932613147048)"
Kenwood,39,Multifamily,Drexel Preservation,837 E. 47th St.,33289,773-624-4901,The Habitat Co.,-142,1520590.194568056,1873991.948,25.96704081605944,-87.60503342,"(41.8094408764944, -87.6050334227459)"
Austin,25,Senior HUD 202,Elois McCoy Village Apts.,4650 W. Van Buren St.,60644,773-626-5320,"Prairie Management & Development, Inc.",60,1339482.8571909475,2807724.9361011726,41.87516675,-87.74216784,"(41.8751667549585, -87.7421678377562)"
Roseland,49,Inter-generational,Roseland Village Grand-Family Apts.,63 E. 104th St.,60628,773-468-1901,Mercy Housing,10,1642726.0521577778,2089431.9075112825,41.70526978,-90.4481600742112,"(41.7052697846438, -87.6209818376544)"
Douglas,35,Senior,Pioneer Gardens Supportive Living,3800 S. King Dr.,82022,773-420-4100,Pioneer Gardens Senior Housing,120,1772251.5461852688,2627662.792523418,41.825556,-87.61717842,"(41.8255559976103, -87.6171784180992)"
Englewood,68,Supportive Housing,Branch of Hope Apts.,5628-30 S. Halsted St.,60621,773-488-7205,Evergreen Real Estate LLC,99,1171893.839,2063914.521336708,41.79162782,-87.64523321,"(41.791627817593, -87.6452332086618)"
Near North Side,8,Multifamily,Parkside of Old Town IIB,459 W. Division St.,60622,312=944-8500,Holsten Real Estate Dev. Corp.,94,1172865.271,1908241.237,41.90364882,-87.64046322,"(41.9036488171287, -87.6404632192771)"
Rogers Park,1,Senior,Levy House,1221 W. Sherwin Ave.,60626,773-508-1000,Preservation Housing Management LLC,57,1166287.128,1241392.9781045525,39.17076101590315,-70.45309368749675,"(42.01493175019485, -87.66346311838282)"
Near West Side,28,ARO,The Duncan,1515 W. Monroe St.,60607,217-779-5697,FLATS Leasing,52,1702669.2991764557,2767811.921653378,41.88008567,-87.66505442,"(41.8800856665928, -87.6650544156673)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3525 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,676284.451737527,1903731.702,41.89169871,-87.71492195,"(41.8916987069965, -87.7149219479465)"
Logan Square,22,Multifamily,1879 N. Milwaukee,1879 N. Milwaukee Ave.,35258,773-697-5276,Peak Properties,2,1160606.222,1912516.637,41.91564372,-82.97708332363575,"(41.9156437180312, -87.6853747958015)"
Near North Side,8,SRO,The Mark Twain,111 W. Division St.,60610,312-913-7400,Realty & Mortgage Co.,148,1175171.338,1908308.392,26.860385301715336,-87.63199057,"(41.9037816711229, -87.6319905715935)"
Uptown,3,Supportive Housing,Harold Washington Apts.,4946 N. Sheridan Road,60640,312-447-4621,Mercy Housing,100,1168689.933,1933461.587,41.97294612,-87.65506712,"(41.9729461220532, -87.6550671246698)"
Douglas,35,Senior,Pioneer Village Apts.,340 E. 38th St.,60653,773-536-0463,Pioneer Affordable Housing Preservation,152,790985.4677677467,1879907.496,41.82575322,-87.61751743,"(41.8257532207213, -87.6175174281735)"
Near West Side,28,Supportive,Harvest Commons,1519 W. Warren Blvd.,60607,312-660-1354,Heartland Houisng Inc.,-149,1165979.3,1347358.8359084332,41.88227183,-87.66598098,"(41.8822718276684, -87.6659809766924)"
Edgewater,77,ARO,Glenlake LLC,1544 W. Glenlake Ave.,56699,773-404-9904,TMG Management,3,1164726.018,1940637.401,41.99272198,-87.66943869,"(41.9927219787073, -87.6694386889022)"
Lower West Side,31,Multifamily,Casa Guerrero,963 W Cullerton St.,60608,312-666-1323,The Resurrection Project,52,1170238.806,1890555.169,22.43611315121534,-87.65062753,"(41.8551748018435, -87.6506275348033)"
Belmont Cragin,19,ARO,2917-39 N. Central,2917-39 N. Central Ave.,60634,847-653-6922,Zitella Development,3,1289643.623913781,1918921.633,41.93364805,-87.7661803,"(41.9336480471609, -87.7661803002324)"
Lincoln Square,4,ARO,Ravenswood Terrace,1801-15 W. Argyle St.,60640,773-457-3239,Kass Management,15,1163292.382,1933204.703,41.97235677,-87.67492225,"(41.9723567700552, -87.6749222533142)"
Washington Park,40,Multifamily,St. Edmund's Commons,110 E. 60th St.,60637,773-420-3328,St. Edmund's Redevelopment Corp.,54,1449191.9206777192,1865303.085,30.859163022351687,-52.147082152495045,"(41.7857009548336, -87.6217485015409)"
West Englewood,67,Multifamily,Clara Temple Hampton Residence,1656 W. 63rd St.,60636,773-778-2884,West Englewood Dev. Org.,71,1166121.345,1862956.686,41.77953039,-87.66652651,"(41.7795303859505, -87.6665265091554)"
Humboldt Park,23,Multifamily,Bloomingdale Apts.,1745 N. Keystone Ave.,60639,773-276-2965,Village Green Management Co.,48,1149146.636,2889773.7684884574,41.91299036,-87.72750391,"(41.9129903622841, -87.727503905539)"
Humboldt Park,23,Senior,Senior Suites of West Humboldt Park,3656 W. Huron St.,65383,773-638-0333,Senior Lifestyle Corp.,88,1151632.751,1904458.203,41.89371191,-87.71855494,"(41.89371190813259, -87.71855493962825)"
Uptown,3,Multifamily,Uptown Preservation Apts.,900 W. Windsor Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,160,1169410.724,1930422.942,41.9645923,-87.65250544,"(41.9645923008648, -87.6525054365529)"
Near West Side,28,Senior,Roosevelt Place,1401 W. Roosevelt Road,39604,312-733-2436,"East Lake Management Group, Inc.",181,1167191.396,1894769.797,41.86680605,-110.23616037530871,"(41.8668060489591, -87.6616918421459)"
North Lawndale,29,Multifamily,Keeler Roosevelt Apts.,4200-10 W. Roosevelt Road,49896,773-522-9035,Safeway I.C. Management Inc.,26,1148552.235,1645609.7200807713,41.86621064,-87.73012799,"(41.86621063540905, -87.73012798528492)"
Lincoln Park,7,ARO,Southport Lofts,2065 N. Southport Ave.,60614,312-858-6212,RL Accelerated,1,1166685.433,1913998.316,41.91958133,-87.66299779,"(41.9195813280804, -87.6629977907605)"
Loop,32,Multifamily,Randolph Tower City Apts. (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16,1174747.572,1901307.252,30.63580687634419,-87.63375683,"(41.8845796629736, -87.6337568335385)"
Washington Park,40,Multifamily,St. Edmund's Manor,5947 S. Indiana Ave.,84511,773-548-8924,St. Edmund's Manor Ltd.,226,1178662.056,1865432.916,41.78604936,-101.08218147500476,"(41.786049356749, -87.6204757368767)"
Grand Boulevard,38,Senior,Bronzeville Senior Apts.,460 E. 41st St.,60024,773-924-2100,Peoples Co-Op Management Service,97,1180219.199,1877957.214,41.82038154,-87.61438244,"(41.8203815434508, -87.6143824353862)"
Logan Square,22,ARO,Motif on Belden,2845 W. Belden Ave.,61974,773-327-6617,33 Realty,10,1156843.581,1915231.888,41.92317175,-87.69912469,"(41.9231717544125, -87.6991246890431)"
Grand Boulevard,38,Multifamily,Hearts United III-The Leontyne (scattered sites),4340-2 S. Champlain St.,60653,773-924-2100,Bonheur Realty Services Corp.,53,1181273.656,1876588.698,39.93299087514434,-87.61055648,"(41.8166019546134, -87.6105564793175)"
West Town,24,ARO,East Village Lofts,1100 N. Ashland Ave.,60622,773-278-8078,Wicker Park Apartments Inc.,1,1755717.5647060897,1907421.224,41.901559,-87.66759184,"(41.9015589972665, -87.6675918419615)"
North Lawndale,29,Multifamily,Park Douglas,1224 S. Washtenaw Ave.,59787,773-893-4800,Interstate Realty Management Co.,31,643886.1277617747,1894293.849,41.86568173,-64.98722413078232,"(41.8656817278004, -87.6935330427604)"
Edgewater,77,Senior,Hollywood House Apts.,5700 N. Sheridan Road,60660,773-728-2600,Heartland Housing,-150,1168565.916,1938087.01,28.500039746107788,-89.63305091731773,"(41.9856410954285, -87.6553885441269)"
North Lawndale,29,Multifamily,Renaissance Place Apts.,3128 W. Douglas Blvd.,60623,773-762-3389,Lawndale Christian Residential Svcs.,-158,1155600.26,1893326.92,41.86308761,-90.42801522224543,"(41.8630876114313, -87.7042831894435)"
Washington Park,40,Multifamily,St. Edmund's Oasis,300-10 E. 61st St.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,12,1464864.348229066,2787536.5311304824,31.082160317448185,-87.61886624,"(41.7839382763516, -87.6188662442677)"
Humboldt Park,23,Multifamily,Madres Unidas (scattered sites),3541 W. North Ave.,37179,773-276-5338,LUCHA,80,1152271.525,1910359.241,41.90989234,-110.55906176935656,"(41.9098923381712, -87.7160529794187)"
Oakland,36,Multifamily,Lakefront Phase II,1120 E. Bowen Ave.,30835,773-548-8795,"Urban Property Advisors, LLC",6,1184352.47,1877438.04,30.584305825928794,-87.59923619,"(41.8188609892833, -87.5992361922266)"
Near North Side,8,Supportive Housing,The Midwest/Carroll Park Apts.,1333 N. Kingsbury St.,60622,312-337-5339,Holsten Real Estate Dev. Corp.,40,1170359.454,1908979.929,41.905731,-87.64964597,"(41.9057310022859, -87.6496459663701)"
Douglas,35,Multifamily,Davis Apts.,3632 S. Indiana Ave.,60653,773-285-5955,Capital Realty Group,81,1178156.714,1880953.421,35.22289509335558,-87.62185747,"(41.82865048399134, -87.62185747240224)"
Logan Square,22,ARO,The Western,1920 N. Milwaukee Ave.,60647,312-883-7331,Golub Realty Services,1,1160209.209,1912752.486,41.91629912,-94.80014539253256,"(41.9162991247465, -87.6868268599609)"
Near North Side,8,SRO,The Marshall Apts.,1232 N. LaSalle Drive,60610,877-969-2102,Interstate Realty Management Co.,90,1174865.866,1908692.107,41.90484145,-87.63310113,"(41.904841451218275, -87.63310112695247)"
Uptown,3,Multifamily,Sunnyside Kenmore Apts.,847-49 W. Sunnyside Ave.,60640,773-769-3116,"Metroplex, Inc.",83,1304633.622478237,1930039.336,41.9635354,-87.65179619,"(41.9635353994208, -87.651796190778)"
Hegewisch,55,Senior,Senior Suites of Hegewisch,13550 S. Avenue O,60633,773-646-1333,Senior Lifestyle Corp.,116,1201038.059,1815487.733,41.64845741,-87.54012317,"(41.648457411436, -87.5401231660406)"
Oakland,36,Multifamily,Lakefront Phase II,4116 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184335.357,1877697.183,41.8195725,-117.4400336476893,"(41.8195724963981, -87.599290845931)"
Englewood,68,Supportive/Veterans,Hope Manor II Apts.,6002 S. Halsted St.,44439,773-874-3610,Voluinteers of America Illinois,73,1171959.565,1864993.894,41.78499449,-69.87757438791232,"(41.7849944939049, -87.6450631448593)"
Humboldt Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338,LUCHA,69,1153731.441,1907707.148,39.1903351962422,-87.71076053,"(41.902585798904, -87.710760528276)"
Rogers Park,1,Senior,Wayne Senior Housing,6928 N. Wayne Ave.,60626,773-274-0177,CIG Management,119,1165843.898,1946058.513,42.00757377,-87.66517114,"(42.0075737709331, -87.6651711448293)"
Grand Boulevard,38,Multifamily,Legends South - Mahalia Place,116 E. 43rd St.,60653,773-285-9500,Interstate Realty Management Co.,110,918828.3199944064,2636816.050579295,41.81666256,-87.62226472,"(41.8166625649533, -87.622264717481)"
Logan Square,22,Multifamily,Rev. Daniel Alvarez Apts.,2451-57 N. Sacramento Ave.,60612,773-772-4063,Hispanic Housing Dev. Corp.,96,1155995.815,1916357.844,41.92627863,-87.70220924,"(41.9262786289595, -87.7022092386702)"
South Lawndale,30,Multifamily,Resurrection Homes,2243 S. Central Park Ave.,60623,312-248-8355,The Resurrection Project,249,1152765.059,1888679.589,41.85039133,-87.7148139,"(41.8503913261082, -87.7148138990107)"
Albany Park,14,Senior,Senior Suites of Ravenswood Manor,2800 W. Montrose Ave.,60618,773-509-9333,Senior Lifestyle Corp.,80,1156898.514,1147872.8613537585,41.96135865,-87.69854417,"(41.9613586524698, -87.6985441743698)"
Lower West Side,31,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,63,1168646.297,1890365.991,41.85469028,-87.65647821,"(41.8546902787307, -87.6564782084317)"
