OBJECTID,SUBJ_FIRE1940,SHAPE_Length,SHAPE_Area
87,100_199,0.110728232729013,0.000463429739492809
88,50_99,0.12539855349717,0.000588667761417842
89,100_199,0.217776830876715,0.00127480721773624
90,50_99,0.0855995495573968,0.000393107827204662
91,0_49,0.119939454749511,0.00062250391173914
92,50_99,0.174234834084807,0.0010002397396084
93,0_49,0.574678021959044,0.00590099061110406
94,100_199,0.205667433795689,0.00115109278124648
95,50_99,0.343008405374389,0.00246438259504535
96,0_49,0.0842448946983158,0.000400254477091376
97,50_99,0.137892857077962,0.000873400752159342
98,0_49,0.0552419556705657,0.000191226482913869
99,100_199,0.0312473347263257,6.68530633222025e-05
100,50_99,0.38590919453152,0.00174782165844731
101,50_99,0.112073820669844,0.000592500311126205
102,0_49,0.0575182850716635,0.000146783575746903
103,50_99,0.528516184294841,0.00344893414742192
104,0_49,0.296108452534846,0.00201292656573266
105,100_199,0.195912293809637,0.00176847555158946
106,100_199,0.185903212532885,0.000889292923643888
107,50_99,0.271822769348733,0.00248570488264795
108,100_199,0.0476108642232467,0.000134870281917029
109,200+,4.47438132033779,0.0818584151580671
110,0_49,0.325686832386997,0.00260847167559981
111,100_199,0.0738764796476136,0.000292886134382795
112,100_199,1.2683928673568,0.018732410287413
113,0_49,0.446073651480028,0.0058667485213643
114,100_199,0.176632803516116,0.00174177072976121
115,100_199,0.161938944913464,0.00110032410311721
116,100_199,0.061062096157861,0.00024435783478589
117,100_199,0.780815638890542,0.0143793774799657
118,50_99,0.247729251386181,0.00166002231701994
119,50_99,0.0603123593148239,0.000244069194759117
120,0_49,1.13442954324053,0.0397188841614238
121,0_49,0.332992347545046,0.00437335967294026
122,50_99,0.504635282013555,0.00339345434072338
123,100_199,0.236613205323526,0.00272392854272402
124,0_49,2.48112792119083,0.0399197574796015
125,100_199,0.439236779572908,0.00393333774322836
126,100_199,0.178554985061677,0.000933484345478821
127,100_199,0.0503371531196351,0.000126564621877569
128,0_49,0.892830633883747,0.0113903814077049
129,100_199,0.116854201460483,0.00059209212226433
130,0_49,0.163391398075111,0.00122731564495644
131,0_49,0.130798082530473,0.000708425527730571
132,100_199,0.548251440177401,0.0048249000118797
133,100_199,0.0821489632322049,0.000374667629540427
134,100_199,0.200882596589622,0.00126431398205984
135,100_199,0.254378765951472,0.00293146547312496
136,100_199,0.186956451351598,0.00161973055195554
137,100_199,0.971476233026938,0.0113933188839661
138,50_99,0.0751319991773886,0.000312517788353082
139,100_199,0.0894604641385415,0.00042960999707702
140,100_199,0.11921778258259,0.000742257714087483
141,100_199,0.0890559730514196,0.000580631137386448
142,100_199,0.0921929673015213,0.000562002855745505
143,0_49,0.0558220477788672,0.00021550228695101
144,0_49,0.0862484352405614,0.000344985335672558
145,100_199,0.416438427414313,0.00290825362719106
146,0_49,0.0483693879353229,0.000132628338521148
147,100_199,6.57020759107448,0.203317975417505
148,100_199,0.289183185106183,0.00239451011207053
149,100_199,0.0701869453645353,0.000277240454186857
150,100_199,0.153306819925747,0.00077433031211792
151,0_49,0.0707557017259487,0.000365060776146898
152,200+,0.147213671432442,0.000846848892203102
153,100_199,0.142737663914656,0.000706721283835247
154,0_49,0.160722160704898,0.000842003331867607
155,100_199,0.101929121702448,0.000447400981036544
156,0_49,0.452062778992558,0.00243275815692406
157,0_49,0.932336360981276,0.0117763365695131
158,100_199,0.102532825317308,0.000475785226882159
159,50_99,0.484284071018854,0.0033044933946336
160,100_199,0.116651242410909,0.000697682190914263
161,200+,0.306832041209762,0.00265719889231861
162,100_199,0.187117345286663,0.000988536686467477
163,100_199,0.0912971560450962,0.000362491583842228
164,50_99,0.11272383051381,0.000558097747378842
165,0_49,0.0935470285905319,0.000396501440669667
166,0_49,0.396726474272561,0.00364775403463572
167,200+,0.881063852268294,0.00857288690290767
168,0_49,0.140496704003586,0.000907288089789425
169,100_199,0.218506231525718,0.00133744094165073
170,50_99,0.219273623638348,0.0011743545357264
171,0_49,0.436067158251705,0.0038277211524157
172,100_199,0.118678718936798,0.000454588887358137
173,100_199,0.207662191692504,0.00145620275018395
174,200+,0.312309898575027,0.00219079533667908
175,100_199,0.0942968606995806,0.00033467091996703
176,100_199,0.147067839000477,0.000762497830750574
177,0_49,0.328746920327379,0.00673557212240904
178,50_99,0.472191573665969,0.0037318441396444
179,200+,0.173686312442243,0.00113902538468035
180,0_49,0.211217434274574,0.00148265650185999
181,100_199,0.26816880392575,0.00164991297118305
182,0_49,0.125176210976013,0.000440864015745411
183,200+,1.12173311780408,0.0207448933903696
184,100_199,0.0765048028419422,0.000341685334743079
185,50_99,0.102326913698928,0.000558694595629354
186,0_49,0.289347561954408,0.00165191322007101
187,100_199,0.130213854268963,0.000566613145412815
188,200+,0.178852814941129,0.00121129314875483
189,0_49,0.334625667422398,0.00239365014543402
190,100_199,0.272379885080006,0.00206112443736916
191,0_49,0.0684232495694748,8.47305011037914e-05
192,100_199,0.35922928459854,0.00234530878256309
193,200+,11.20446400342,0.138958414100524
194,100_199,0.0994247622460356,0.000548133702300345
195,0_49,0.278333112854756,0.00165131388547586
196,100_199,0.543702138843877,0.00358917074232083
197,100_199,0.0773067059005902,0.000334992711359328
198,100_199,0.120328065251148,0.000675550139393432
199,100_199,0.119732309409672,0.000569319347638199
200,100_199,0.0825149977393024,0.000371496890381708
201,0_49,0.1020068288931,0.000477166068420635
202,0_49,0.20412586304778,0.000999827265102787
203,100_199,0.868626779400415,0.00690250663322032
204,0_49,0.676023619474486,0.00804730782193826
205,200+,0.0786236500251822,0.000382448258816651
206,0_49,0.872395320675664,0.0111906552726254
207,100_199,0.0969932729818506,0.000356021678473539
208,50_99,0.104931404865708,0.000677976834645863
209,0_49,0.13872948697655,0.00103363166307241
210,100_199,0.210289601160576,0.00117762742794834
211,50_99,0.104610998532363,0.000691607591594254
212,100_199,2.97794809101777,0.0493716770926377
213,100_199,0.10261248236099,0.000596017655826609
214,100_199,0.233589845158297,0.00195783770873681
215,100_199,1.11166156396341,0.0114237263016922
216,0_49,0.0629737150491826,0.000240993906610923
217,100_199,0.0648509336563146,0.000300187102991815
218,100_199,0.101857502554217,0.000596991962013342
219,100_199,0.337946600595964,0.00266746040762005
220,0_49,0.113910020457375,0.000664497820837677
221,50_99,0.110762713105399,0.000843677130823905
222,50_99,0.0762677049324373,0.000385516971190773
223,100_199,0.14769585084806,0.000965826666922897
224,50_99,0.151173359184041,0.00118441079970467
225,50_99,0.0689208429318291,0.00028481273186175
226,100_199,0.174865063095247,0.000963705585543184
227,0_49,0.473573524750379,0.00442080610038229
228,100_199,0.0719953168184774,0.000321693332911982
229,0_49,0.543976439689278,0.00444482635124468
230,200+,0.177497409407388,0.00114485993928024
231,100_199,0.116592997847642,0.000678019411550124
232,50_99,0.122713278678427,0.000847032408618827
233,0_49,0.239693375363411,0.00140642992459
234,100_199,0.503114174503427,0.0049554728450327
235,200+,0.230849750967444,0.00154175648405881
236,100_199,0.223175404077288,0.00238530249491871
237,100_199,0.36111794293953,0.00370952515982088
238,100_199,0.901665342993323,0.0100597404131955
239,0_49,0.168918734197382,0.000896443767268463
240,100_199,0.298317241423965,0.0023800656422212
241,0_49,0.106651967951195,0.000759850288931144
242,200+,0.0784074844235562,0.000457948427357622
243,0_49,0.353966650576671,0.00466663091028654
244,100_199,0.124326582476327,0.000654852012358626
245,100_199,0.154243837770541,0.000874820224072176
246,100_199,0.140757833034291,0.000600162329319441
247,0_49,0.0391094878198778,0.00010497667641349
248,100_199,0.433834182936929,0.00319591179266607
249,100_199,0.291204801542476,0.00245244917021372
250,0_49,0.267114010814121,0.00270183923305276
251,100_199,0.194600229472184,0.00102717485510773
252,200+,0.262280010859632,0.0023240850704913
253,100_199,0.0925776152335641,0.000444688073842028
254,100_199,1.60931223403558,0.016408838369616
255,0_49,0.43270120951066,0.00516487908332598
256,100_199,0.086846504789245,0.000383103531493759
257,100_199,0.0945759053459635,0.00043017332225289
258,100_199,0.082648452246337,0.000394629644159019
259,100_199,0.478291038602475,0.00386832666308094
260,100_199,0.0840332782214109,0.000337774879947966
261,100_199,0.173323779554107,0.00102754248335973
262,100_199,0.227822616025314,0.00120431484427995
263,100_199,0.0617074589542264,0.000249173510798537
264,100_199,0.890308309571577,0.012174744766982
265,100_199,0.070753215634663,0.000300209214906242
266,0_49,0.0402423480546003,8.4131607706251e-05
267,100_199,0.221836600174991,0.00137003493707594
268,50_99,0.0874756998931257,0.000428960225767203
269,50_99,0.0954324635445549,0.000406252359631695
270,100_199,0.0579413457507869,0.000140935987018936
271,50_99,0.0735221318807209,0.00025717989530261
272,50_99,0.0960344860898071,0.000438420394359867
273,100_199,0.0786983714097371,0.00034119079863884
274,100_199,0.151747154801793,0.00112502944637243
275,100_199,0.0889184990474234,0.000383379412367407
