EstablishmentID,InspectionDate,InspectionID,EstTypeDesc,premise_name,premise_adr1_num,premise_adr1_street,premise_city,premise_state,premise_zip,InspectionType,score,InspTypeSpecificViolID,ViolationDesc,critical_yn,Insp_Viol_Comments,rpt_area_id,ObjectId
32112,2023/06/27 04:00:00+00,1767364,FOOD SERVICE,CHEDDAR BOX,3909,CHENOWETH SQUARE,LOUISVILLE,KY,40207,REGULAR,80,54,"Toilet facilities:  properly constructed, supplied, cleaned",No,Covered trash can not provided in womens or unisex restroom. ,605,18
104879,2022/11/09 05:00:00+00,1716260,FOOD SERVICE,STARTING GATE PANTRY 5,700,CENTRAL AVE,LOUISVILLE,KY,40208,REGULAR,96,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Dishwasher final rinse not reaching 180 degrees F.,605,19
36333,2023/10/04 04:00:00+00,1793828,FOOD SERVICE,LEE'S FAMOUS RECIPE,5059,POPLAR LEVEL RD,LOUISVILLE,KY,40219,REGULAR,81,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Personal food/ drinks not properly stored (Corrected). ,605,20
64230,2023/06/16 04:00:00+00,1764572,FOOD SERVICE,BARTON HOUSE,6830,OVERLOOK DR,LOUISVILLE,KY,40241,REGULAR,95,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,The approved sanitizing solution for manual/mechanical ware-washing is not at the proper concentration.,605,21
34272,2023/09/28 04:00:00+00,1792200,FOOD SERVICE,WHITE CASTLE #17,3705,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,93,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below (Discarded).  - Reach-in unit holding at 48-50 degrees F  - Cheese slides holding at 55-60 degrees F  Raw eggs in the shell not maintained at 7°C (45°F) or below (Discarded).  - Raw eggs holding at above 60 degrees F,605,22
89377,2023/06/28 04:00:00+00,1767767,FOOD SERVICE,CRAFT HOUSE PIZZA,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,79,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (Cheese at 65F - discarded),605,23
34135,2023/09/26 04:00:00+00,1791442,FOOD SERVICE,VALLEY DAIRY FREEZE,10300,DEERING RD,LOUISVILLE,KY,40272,REGULAR,89,9,NO BARE HAND CONTACT WITH READY-TO-EAT FOODS OR APPROVED ALTERNATE METHOD FOLLOWED,Yes,ready to eat cone touched with a bare hand,605,24
88440,2023/08/04 04:00:00+00,1778121,FOOD SERVICE,DAIRY QUEEN #097,4137,TAYLOR BLVD,LOUISVILLE,KY,40215,REGULAR,93,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.   - Reach-in unit holding at 50-52 degrees F (Discarded).,605,25
63832,2023/08/07 04:00:00+00,1778122,FOOD SERVICE,BUFFALO WILD WINGS #35,9134,TAYLORSVILLE RD,LOUISVILLE,KY,40299,REGULAR,92,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  - Reach-in unit holding at 52-55 degrees F (Discarded). ,605,26
63832,2023/08/07 04:00:00+00,1778122,FOOD SERVICE,BUFFALO WILD WINGS #35,9134,TAYLORSVILLE RD,LOUISVILLE,KY,40299,REGULAR,92,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized.  - The concentration of the dishwasher at  0 ppm (Bar)  - The concentration of the sink & surface cleaner sanitizer at above 0.55 oz/gal,605,27
116191,2023/08/02 04:00:00+00,1777095,FOOD SERVICE,EL NOPAL,2745,CRITTENDEN DR,LOUISVILLE,KY,40209,REGULAR,85,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below (Tcs food in reach in cooler holding at room temp- quarantined and voluntarily discarded). ,605,28
116191,2023/08/02 04:00:00+00,1777095,FOOD SERVICE,EL NOPAL,2745,CRITTENDEN DR,LOUISVILLE,KY,40209,REGULAR,85,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above (Queso holding at 70 degrees- quarantined and voluntarily discarded). ,605,29
116191,2023/08/02 04:00:00+00,1777095,FOOD SERVICE,EL NOPAL,2745,CRITTENDEN DR,LOUISVILLE,KY,40209,REGULAR,85,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food not clearly marked to indicate the date or day by which the food shall be consumed, sold or discarded.",605,30
116191,2023/08/02 04:00:00+00,1777095,FOOD SERVICE,EL NOPAL,2745,CRITTENDEN DR,LOUISVILLE,KY,40209,REGULAR,85,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Chemicals not properly labeled.  Chemicals stored in a food container. ,605,31
82715,2023/07/20 04:00:00+00,1773483,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,KREATIVE KIDS LEARNING CENTER,2600,W BROADWAY STE 206,LOUISVILLE,KY,40211,REGULAR,88,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 41F or below. (one of the coolers temped at 50-60F, food was quaratined, cooler was lower)",605,32
82715,2023/07/20 04:00:00+00,1773483,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,KREATIVE KIDS LEARNING CENTER,2600,W BROADWAY STE 206,LOUISVILLE,KY,40211,REGULAR,88,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 135F or above.,605,33
82715,2023/07/20 04:00:00+00,1773483,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,KREATIVE KIDS LEARNING CENTER,2600,W BROADWAY STE 206,LOUISVILLE,KY,40211,REGULAR,88,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Food kept past 7 days not disposed of. (day 1 is the day the food was prepped, cooked, package opened, the food must be used or discarded by the 7th day which is 6 days from day 1) (food dated 07/11/23 and 07/13/23 were discarded)",605,34
88212,2023/08/21 04:00:00+00,1782061,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,89,52,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES",Yes,"No hand washing fixture in the kitchen (Temporary washing sink was set up; no hot water available).",605,35
88212,2023/08/21 04:00:00+00,1782061,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,89,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,"Dishes were being washed, but not utilizing sanitizer solution.   ",605,36
88212,2023/08/21 04:00:00+00,1782061,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,89,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above.   - Cooked broccoli and mac & cheese holding at 112 degrees F   ,605,37
88212,2023/08/21 04:00:00+00,1782061,SCHOOL CAFETERIA OR FOOD SERVICE,NUR ISLAMIC SCHOOL,6500,SIX MILE LN,LOUISVILLE,KY,40218,REGULAR,89,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storing of personal drinks.,605,38
103824,2023/07/31 04:00:00+00,1776367,FOOD SERVICE,INDI'S RESTAURANT,3820,W MARKET ST,LOUISVILLE,KY,40212,REGULAR,86,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Hands not washed to prevent contamination from previous task.,605,39
103824,2023/07/31 04:00:00+00,1776367,FOOD SERVICE,INDI'S RESTAURANT,3820,W MARKET ST,LOUISVILLE,KY,40212,REGULAR,86,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Soiled cleaned and sanitized food contact surfaces. Clean pans have rodent droppings and pink liquid.,605,40
103824,2023/07/31 04:00:00+00,1776367,FOOD SERVICE,INDI'S RESTAURANT,3820,W MARKET ST,LOUISVILLE,KY,40212,REGULAR,86,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Foods kept over 7 days. various RTE/ TCS foods baked beans, green beans, rib tips, etc from 07/14, 07/19, 07/21, 07/22 discarded",605,41
66681,2023/06/28 04:00:00+00,1767842,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ACTIVE DAY OF HIKES POINT,3403,BRECKENRIDGE LN,LOUISVILLE,KY,40220,REGULAR,91,52,"PLUMBING INSTALLED; PROPER BACKFLOW DEVICES",Yes,No hot water available. ,605,42
66681,2023/06/28 04:00:00+00,1767842,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ACTIVE DAY OF HIKES POINT,3403,BRECKENRIDGE LN,LOUISVILLE,KY,40220,REGULAR,91,25,PROPER DATE MARKING AND DISPOSITION,Yes,"Expired yogurt (06/12) , cottage cheese (06/23) and milk (05/12)  in the reach-in unit (Discarded).",605,43
66681,2023/06/28 04:00:00+00,1767842,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,ACTIVE DAY OF HIKES POINT,3403,BRECKENRIDGE LN,LOUISVILLE,KY,40220,REGULAR,91,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. No written procedures for using time as a public health control.  - Coleslaw and sliced cheese holding at 58 degrees F (Discarded).,605,44
103982,2023/06/26 04:00:00+00,1767271,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,85,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Improper storage of employee food/drinks. (Employee food and drink stored over top and next to customer food, food preparation and clean equipment storage.)",605,45
103982,2023/06/26 04:00:00+00,1767271,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,85,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (Salsa stored in ice holding internally at 50 degrees F.) (Horchata holding at 52 degrees F.),605,46
103982,2023/06/26 04:00:00+00,1767271,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,85,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above. (Cooked beef holding internally at 127 degrees F.),605,47
103982,2023/06/26 04:00:00+00,1767271,FOOD SERVICE,TAQUERIA Y ROSTICERIA,7416,PRESTON HWY,LOUISVILLE,KY,40219,REGULAR,85,23,PROPER COOLING TIME AND TEMPERATURE,Yes,TCS food requiring refrigeration not rapidly cooled to an internal temperature of 5°C (41°F) or below. (Caldo holding at 58 degrees F and salsa holding at 73 degrees F after cooling for 19 hours.),605,48
113757,2023/10/04 04:00:00+00,1793856,FOOD SERVICE,EL PASTORCITO,2060,S HURSTBOURNE PKWY,LOUISVILLE,KY,40220,REGULAR,91,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized (The concentration of the dishwasher at 0 ppm). ,605,49
113757,2023/10/04 04:00:00+00,1793856,FOOD SERVICE,EL PASTORCITO,2060,S HURSTBOURNE PKWY,LOUISVILLE,KY,40220,REGULAR,91,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  - Reach-in unit holding at 48 degrees F  - Whipped cream & salad holding at 48 degrees F (Discarded).,605,50
115220,2023/09/05 04:00:00+00,1785817,FOOD SERVICE,DOMINO'S PIZZA #1428,130,BRECKENRIDGE LN,LOUISVILLE,KY,40207,REGULAR,95,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below in roll top cooling unit. All TCS foods quarantined and discarded.-corrected  -less than 10 pounds,605,51
110183,2023/08/22 04:00:00+00,1782522,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,LOGAN'S TREEHOUSE,4528,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,93,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,The approved sanitizing solution for mechanical ware-washing is not at the proper concentration.,605,52
110183,2023/08/22 04:00:00+00,1782522,FOOD SERVICE (DAY CARE / CHILD CARE CENTER,LOGAN'S TREEHOUSE,4528,BARDSTOWN RD,LOUISVILLE,KY,40218,REGULAR,93,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,"Employees eating, drinking in unauthorized area.  Improper tasting.",605,53
41556,2023/05/23 04:00:00+00,1757914,FOOD SERVICE,SUBWAY #6345,7531,OUTER LOOP,LOUISVILLE,KY,40228,REGULAR,97,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,Sewage and waste water not disposed of in an approved manner.  Sewage overflowing up through the floor drain.,605,54
116351,2023/05/26 04:00:00+00,1758712,SELF-CONTAINED MOBILE FOOD UNITS,MARGARITA'S MEXICAN TACOS,0,MOBILE TRAILER 1430,LOUISVILLE,KY,40202,REGULAR,96,23,PROPER COOLING TIME AND TEMPERATURE,Yes,Proper cooling method not used for TCS food.  -   food discarded,605,55
114858,2023/07/20 04:00:00+00,1773619,FOOD SERVICE,THE SOUTHERN RESTAURANT AND LOUNGE,301,W MARKET ST,LOUISVILLE,KY,40202,REGULAR,90,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,"TOXIC ITEM, CLEANER MISSING LABEL  CORRECTED",605,56
114858,2023/07/20 04:00:00+00,1773619,FOOD SERVICE,THE SOUTHERN RESTAURANT AND LOUNGE,301,W MARKET ST,LOUISVILLE,KY,40202,REGULAR,90,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized.  The approved sanitizing solution for manual/mechanical ware-washing is not at the proper concentration.,605,57
87706,2023/07/21 04:00:00+00,1773620,FOOD SERVICE,SPINELLI'S ST. MATTHEWS,4005,SHELBYVILLE RD,LOUISVILLE,KY,40207,REGULAR,87,24,TIME AS A PUBLIC HEALTH CONTROL:  PROCEDURES AND RECORDS,Yes,No written procedures for using time as a public health control.  Not following written procedures for using time as a public health control.,605,58
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,1,"PERSON IN CHARGE  PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",Yes,Person-in-charge doesn’t demonstrate food safety knowledge.,605,59
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,2,Certified food protection manager,No,No certified food manager present.,605,60
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,50,Nonfood-contact surfaces clean,No,"Nonfood-contact surfaces have accumulation of soil. (cooler gaskets, walk--in cooler fans)",605,61
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,48,"Food and nonfood-contact surfaces cleanable, properly designed, constructed, and used",No,Gasket(s) in poor repair.  Condensation build-up inside of reach-in cooler.,605,62
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,15,Food separated and protected,No,Raw animal foods not separated by type based on minimum cook temperatures. (Raw ground meat stored over top of raw steak.),605,63
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,Sewage and waste water not disposed of in an approved manner. (Leak at hand sink sewage waste pipe.),605,64
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below. (Raw eggs stored at room temperature.) (Cooler holding cheese and ham at 52 degrees F.) ,605,65
85040,2023/05/24 04:00:00+00,1758242,FOOD SERVICE,WAFFLE HOUSE #174,2805,FERN VALLEY RD,LOUISVILLE,KY,40213,REGULAR,83,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storage of employee food/drinks. (Employee food and drinks being stored on a food preparation table next to plastic wrap and above single servicie items.),605,66
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,56,"Physical facilities installed, maintained and clean",No,Employee personal items improperly stored. (phone and cigarettes),605,67
32112,2023/06/27 04:00:00+00,1767364,FOOD SERVICE,CHEDDAR BOX,3909,CHENOWETH SQUARE,LOUISVILLE,KY,40207,REGULAR,80,49,"Ware washing facilities:  installed, maintained, used, test strips",No,No chemical test kit (Need Quat). ,605,68
111723,2023/08/10 04:00:00+00,1779368,FOOD SERVICE,BANAADIR RESTAURANT,5600,S 3RD ST,LOUISVILLE,KY,40214,REGULAR,88,22,PROPER HOT HOLDING TEMPERATURES,Yes,foods on steam table not held above 135 F - unit not during inspection,605,69
90365,2023/08/15 04:00:00+00,1780765,FOOD SERVICE,SUBWAY #3253,5240,DIXIE HWY,LOUISVILLE,KY,40216,REGULAR,91,22,PROPER HOT HOLDING TEMPERATURES,Yes,meatballs ready to be served at 107 F ,605,70
36333,2023/10/04 04:00:00+00,1793828,FOOD SERVICE,LEE'S FAMOUS RECIPE,5059,POPLAR LEVEL RD,LOUISVILLE,KY,40219,REGULAR,81,9,NO BARE HAND CONTACT WITH READY-TO-EAT FOODS OR APPROVED ALTERNATE METHOD FOLLOWED,Yes,Bare hand contact with ready to eat foods (corrected). ,605,71
89377,2023/06/28 04:00:00+00,1767767,FOOD SERVICE,CRAFT HOUSE PIZZA,4041,PRESTON HWY,LOUISVILLE,KY,40213,REGULAR,79,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items not properly labeled.  Toxic items not properly stored.,605,72
109387,2022/09/30 04:00:00+00,1711519,SELF-CONTAINED MOBILE FOOD UNITS,PHILLY'S BEST FROZEN DESSERTS,0,MOBILE VAN 7054,LOUISVILLE,KY,40202,REGULAR,95,8,HANDS CLEAN AND PROPERLY WASHED,Yes,Handwashing not occurring with no soap.,605,73
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",Yes,Improper storage of employee food/drinks. (Personal drink stored next to can-opener.),605,74
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,39,"Contamination prevented during food preparation, storage and display",No,Food not protected during storage. (Absorbent paper lining inside of lettuce container.),605,75
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,13,"FOOD IN GOOD CONDITION, SAFE, AND UNADULTERATED",Yes,"Unwholesome spoiled fruits, vegetables or other foods. (green beans dated 7/24) (discarded)  Canned food products observed that indicate swelling, leaking, rusting or severe dents.",605,76
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,29,"TOXIC SUBSTANCES PROPERLY IDENTIFIED, STORED, USED",Yes,Toxic items not labeled.,605,77
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,21,PROPER COLD HOLDING TEMPERATURES,Yes,"TCS food not maintained at 5°C (41°F) or below. (Cooler holding sour cream, and white lightning sauce at 57 degrees F.) (discarded)",605,78
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,22,PROPER HOT HOLDING TEMPERATURES,Yes,TCS food not maintained at 57°C (135°F) or above. (Turkey ribs holding internally at 127 degrees F.),605,79
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,18,FOOD-CONTACT SURFACES:  CLEANED AND SANITIZED,Yes,Food-contact surfaces not cleaned and sanitized. (Dishwasher in use and not sanitizing.),605,80
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,50,Nonfood-contact surfaces clean,No,"Nonfood-contact surfaces have accumulation of soil. (Ice machine, soda nozzlel)",605,81
115433,2023/07/31 04:00:00+00,1776517,FOOD SERVICE,SHACK IN THE BACK BBQ,10706,MANSLICK RD,FAIRDALE,KY,40118,REGULAR,80,49,"Ware washing facilities:  installed, maintained, used, test strips",No,No quaternary ammonia chloride test strips.,605,82
89726,2023/06/22 04:00:00+00,1766049,FOOD SERVICE,MARTINI ITALIAN BISTRO,4021,SUMMIT PLAZA DR,LOUISVILLE,KY,40241,REGULAR,85,21,PROPER COLD HOLDING TEMPERATURES,Yes,TCS food not maintained at 5°C (41°F) or below.  Numerous perishable food items held at 49 - 60 degrees F.  All items quarantined and voluntarily discarded.,605,83
89726,2023/06/22 04:00:00+00,1766049,FOOD SERVICE,MARTINI ITALIAN BISTRO,4021,SUMMIT PLAZA DR,LOUISVILLE,KY,40241,REGULAR,85,53,SEWAGE AND WASTEWATER PROPERLY DISPOSED,Yes,Sewage and waste water not disposed of in an approved manner.  Leak at prep sink in kitchen area.,605,84
89726,2023/06/22 04:00:00+00,1766049,FOOD SERVICE,MARTINI ITALIAN BISTRO,4021,SUMMIT PLAZA DR,LOUISVILLE,KY,40241,REGULAR,85,58,"INSECTS, RODENTS AND ANIMALS NOT PRESENT",Yes,Presence of insects.  Numerous insects noted in rear kitchen area.,605,85
