sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
"Total - Male, White, non-Hispanic",Mae,"White, non-Hispanic",2010,10.2,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, White, non-Hispanic",Mlae,"Whie, non-Hispanic",2011,10.8,1622,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Ttoal - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,115.6,4433,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Black, noin-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Mlae,"Black, non-Hispanic",2011,132.5,5073,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinosc an be of any race,Hispanic/Latinos can be of anyr ace
"Total - Male, Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male,H ispanic",Male,Hispanci,2011,29.3,1660,Hispanic/Latinos can be of any ace,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,7.0,86,Hispanic/Latinos can be of any race,Hispanic/Latinos bcan be of any race
"Total - Male, Asian, non-Hispanic",Mafle,"Asian, on-Hispanic",2011,10.7,131,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of ay race
"Total - Male, Pacific Islander, non-Hispanic",Male,"acific Islander, non-Hispanic",2010,30.0,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of an race
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,8.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,Hispanic/Latinoss can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indain/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, no-nHispanic",2011,18.2,43,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of apny race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,25.0,160,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Mael,"Two ovr more races, non-Hispanic",2011,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"hite, non-Hispanic",2009,1.8,264,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,1.7,239,Hispanic/Lhatinos can be of any race,Hispanic/Latino scan be of any race
"Total - Female, White, non-Hibspanic",Female,"White, non-Hispanic",2011,1.7,238,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",emale,"Black, non-Hispanic",2009,31.5,1177,Hispanic/Latinos can be of any race,Hisanic/Latinos can be of any race
"Total - Female, Black, non-Hispacnic",Female,"Black, non-Hispanic",2010,28.1,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, nno-Hispanic",2011,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latnios can be of any race
"Total - Female, Hispanic",Female,Hispanic,2009,4.9,222,Hispanic/Latinos can be ofa ny race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispanic,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any arce
"Total - Female, Hispanic",Femae,Hispanic,2011,4.1,213,Hispanic/Latinos can be of any race,Hipanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Lainos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,1.5,18,Hispanic/Latinos can be ofa ny race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"PacificIslander, non-Hispanic",2010,0.0,0,Hispanci/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, onn-Hispanic",2011,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"mAerican Indian/Alaska Native, non-Hispanic",2009,2.2,5,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American India/nAlaska Native, non-Hispanic",2010,3.3,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2011,2.9,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nonHispanic",2009,7.5,38,Hispanic/Latnos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,3.6,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
