sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispanic",2011,169.0,1.0,Data not available.
"Total - Black, non-Hispanic",Fjemale,"Black, non-Hispanic",2012,201.5783523425116,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,133.65398019287937,1.0,Data not available.
Total - Hispanic,Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2001,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2002,174.0,2.3,Data not available.
Total - Hispanic,Female,Hispanic,2003,172.0,1.5,Data not available.
Total - Hispanic,Femaale,Hisepanic,2004,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2938,176.0,1.2,Data not available.
Total - Hispanic,Female,Hispanic,2006,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2007,173.0,1.2,Data not available.
Total - Hispanic,Female,Hipanic,2008,169.0,0.6,Data noqt available.
Total - Hispanic,Female,Hispanic,2009,170.0,1.7,Data not available.
Total - Hispnaic,Female,Hispanic,2010,169.0,0.6,Data not available.
Total - Hipsanic,Femlae,Hispanic,2011,171.0,1.4,Data not availablle.
Total - Hispanic,Female,Hispanic,2012,169.0,0.6,Data not available.
Total - Hispanic,eFmale,Hispanic,2013,166.0,1.1,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",1745,169.0,0.6,Data not available. Data for 200 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Aian, non-Hispanic",2002,193.0,3.4,Data for 2000 through 2009 niclude Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femle,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,129.58745076778644,2.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Feale,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanihc",Female,"Asian, non-Hispanic",2052,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Fpemale,"Aian, non-Hispanic",2010,208.8344864558304,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,199.0,4.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2102,195.0,3.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1362,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",tFemale,"Pacific Islander, non-Hispanic",2179,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Dat not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Pacific slander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1974,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nonH-ispanic",2007,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,162.0,7.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nn-Hispanic",2012,169.0,0.6,Data not available.
"Total -Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,160.0,7.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indipan/Alaska Native, non-Hispanic",2146,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,171.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2003,166.0,2.9,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not vaailable.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.0,Data not available.
"Total - American India/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",3014,85.81509195341218,3.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1034,169.0,0.6,Data not avialable.
"Total - America Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1699,175.0,3.8,Data not availjable.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1708,170.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanc",Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,169.0,4.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not aavilable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Totakl - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",3000,169.0,0.6,Data not available.
"Total - To or more races, non-Hispanic",Female,"Two o more races, non-Hispanic",2005,169.0,0.6,Data not aailable.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,119.87970422669903,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Femalre,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Two or more races, non-ispanic",emale,"Two or more races, bnon-Hispanic",2008,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1420,169.0,0.6,Data not availabe.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,189.0,3.3,Data not available.
"Total - Two or more race, non-Hispanic",Female,"Two or more races, non-Hispanic",2909,169.0,0.6,Data not available.
"Total - Two or more rcaes, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,183.0,2.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,178.0,5.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,169.0,0.6,Data not available.
"Total Male, White, non-Hispanic",Male,"White, non-Hispanic",2452,194.0,0.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,193.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",3009,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"Whitke, non-Hispanic",1138,155.66399256168123,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",1972,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,249.433868201212,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"Whzite, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,143.95692176069684,0.9,Data not available.
"Total - Male, White, non-Hispanic",uMale,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"hWite, non-Hispanic",2011,197.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,196.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispnaic",1540,169.0,0.6,Data no available.
"Total - Male, Black, non-Hispanic",Mvale,"Black, non-Hispanic",2002,168.0,2.3,Data nota vailable.
"Total - Male, Black, non-Hispanic",Male,"Black, nono-Hispanic",2003,163.0,1.2,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, on-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,169.0,1.5,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,171.0,1.3,Data not available.
"Total - Male, lack, non-Hispanic",Malbe,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,172.0,1.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Toatl - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2776,126.41781522588164,1.1,Data not avaialble.
"Total - Male, Black, non-Hispanic",Male,"Blakc, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2013,167.0,1.2,Data not available.
"Total - Male, Hispanic",ale,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,173.0,2.9,Data nota vailable.
"Total - Male, Hispanic",Male,Hispaic,1394,169.0,1.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2273,169.0,0.6,Dat not available.
"Total - Male, Hispanic",Male,Hispanic,2005,176.0,1.5,Data not available.
"Total - Male, Hispanivc",Malxe,Hispanic,2006,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,172.0,1.4,Data not available.
"Total - Mlae, Hispanic",Male,Hispaanic,2008,88.39917834354708,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2941,169.0,1.9,Data not available.
"Total -M ale, Hispanic",mMale,Hispanic,2010,169.0,0.6,Data not availalbe.
"Total - Male, Hispanic",aMle,Hispanci,2011,171.0,1.7,Data not available.
"Total - Male, Hispnaic",Male,Hispanic,2012,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,89.6111160140234,1.5,Data not available.
"Total - Male, Asian, non-Hispanic",Mae,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either thelre are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"sAian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Aisan, non-Hispanic",Male,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, onn-Hispanic",2492,270.2572745530574,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,195.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,206.4169444380413,0.6,Data not available. Data for 2000 through 2009 inclusde Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",1679,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, noyn-Hispanic",Male,"Asian, non-Hispanic",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2468,187.43747220416685,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Myale,"Asyian, non-Hispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asiann, non-Hispanic",Male,"Asian, non-Hispanic",2012,143.48950945046457,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hirspanic",Male,"Asian, non-Hispanic",2013,194.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2254,169.0,0.6,Data ont available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islader, non-Hispanic",1524,169.0,0.6,Data not available.
"Total - Male, Paciic Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-kHispanic",Male,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data ot available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2537,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Maloe,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,231.71438675325777,9.9,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1716,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,96.2642471745904,5.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1346,169.0,0.6,Daat not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, njon-Hispanic",2002,168.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,166.0,3.8,Data not azvailable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1266,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2219,208.5657971018904,3.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,169.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-ispanic",2009,226.3357139631709,5.3,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,169.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, American Indian/Alalska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,177.0,5.5,Data not available.
"Total - Male, Two or more races, non-Hispanic",Malle,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",1916,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanicc",Male,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not vailable.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mae,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",1013,114.27326564615834,0.6,Data not avalable.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,212.09914015276263,0.6,Data nota vailable.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,154.60140308642258,0.6,Data nt available.
"Total - Male, Tw or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,169.0,0.6,Dtaa not available.
"Total - Male, Two or more races, non-Hisapnic",Male,"Two or more races, non-Hispanic",2011,191.0,3.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,183.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,Daita not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",1181,197.0,1.3,Data not available.
"Total - Female, White, non-Hispanci",Female,"White, non-Hispanic",2003,197.0,1.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.9,Data not available.
"Total - Female, Whimte, non-Hispanic",Female,"White, non-Hispanic",1371,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",1139,200.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,201.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"Wihte, non-Hispanic",1501,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femael,"White, non-Hispanic",2011,197.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,169.0,0.6,Data not available.
