Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,Brnd_Name,Gnrc_Name,Tot_Prscrbrs,Tot_Clms,Tot_30day_Fills,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes,LIS_Bene_Cst_Shr,NonLIS_Bene_Cst_Shr,Opioid_Drug_Flag,Opioid_LA_Drug_Flag,Antbtc_Drug_Flag,Antpsyct_Drug_Flag
National,,National,Acarbose,Acarbose,25104,180723,355230.1,10748559.29,44193,,155348,311337.9,9383416.55,,38228,101933.09,1548408.35,N,N,N,N
National,,National,Accolate,Zafirlukast,121,521,982.3,217404.57,103,,445,845.3,187882.45,,89,1384.43,29068.45,N,N,N,N
National,,National,Accupril,Quinapril Hcl,1178,4302,10293.6,1802400.49,1045,,4177,10042.6,1753793.23,,1019,3343.61,186013.79,N,N,N,N
National,,National,Accuretic,Quinapril/Hydrochlorothiazide,125,389,1081.2,162706.28,119,#,,,,#,,39.6,10747.72,N,N,N,N
National,,National,Accutane,Isotretinoin,64,127,127,21588.69,59,,76,76,11607.77,,37,177.9,4568.43,N,N,N,N
National,,National,Acebutolol Hcl,Acebutolol Hcl,16713,86756,205281.6,5139329.32,20154,,81409,194828.7,4844741.28,,18979,24472.35,1112399.42,N,N,N,N
National,,National,Acetamin-Caff-Dihydrocodeine,Acetaminophen/Caff/Dihydrocod,410,2525,2527.8,555180.18,797,,1715,1717.5,378106.07,,544,1731.53,83249.35,Y,N,N,N
National,,National,Acetaminophen,Acetaminophen,45,124,124.3,36485.32,85,,85,85,11297.06,,67,254.53,398.17,N,N,N,N
National,,National,Acetaminophen-Codeine,Acetaminophen With Codeine,295585,2763009,2776753.1,40716162.06,1209828,,2175295,2187539.1,30516088.02,,992893,1130313.68,9814372.17,Y,N,N,N
National,,National,Acetazolamide,Acetazolamide,47490,208326,290686.2,16592833.12,76169,,156997,218402,11075733.41,,63074,136028.94,2833899.67,N,N,N,N
National,,National,Acetazolamide Er,Acetazolamide,16077,81956,113268.5,7353629.38,32775,,58290,78622.3,4119353.17,,26453,61504.08,1023016.87,N,N,N,N
National,,National,Acetic Acid,Acetic Acid,20428,58534,62346.2,1248962.47,36594,,45409,48446,979465.07,,30148,23071.1,258662.97,N,N,N,N
National,,National,Acetylcysteine,Acetylcysteine,2970,16666,16740.4,1601619.51,4040,,11220,11262,1055230.11,,3034,5610.41,41813.2,N,N,N,N
National,,National,Aciphex,Rabeprazole Sodium,2847,11451,23351.7,16176125.3,2504,,9782,20371.8,13726830.5,,2182,18749.44,895894.9,N,N,N,N
National,,National,Acitretin,Acitretin,6454,41814,52711.7,21444060.03,9236,,34599,44129.9,17000313.02,,7803,31386.17,2115451.26,N,N,N,N
National,,National,Actemra,Tocilizumab,3278,32321,35637.1,123857181.02,5121,,23279,26000.6,88450354.35,,3671,58943.74,2943686.7,N,N,N,N
National,,National,Actemra Actpen,Tocilizumab,2771,24046,25853.8,92995740.79,4441,,17233,18655.3,66532146.57,,3117,36763.5,2552004,N,N,N,N
National,,National,Acthar,Corticotropin,891,6667,7172.8,431097613.87,1158,,2847,3111,172476727.32,,451,39660.15,3858923.32,N,N,N,N
National,,National,Acthib,Haemoph B Poly Conj-Tet Tox/Pf,861,1418,1422.6,49583.46,1124,,1205,1207.6,40995.42,,946,1076.18,23454.8,N,N,N,N
National,,National,Actigall,Ursodiol,67,112,168,118792.42,63,#,,,,#,,305.79,10233.65,N,N,N,N
National,,National,Actimmune,"Interferon Gamma-1b,recomb.",38,423,428.4,25309639.28,50,,202,207.4,12056960.57,,27,89.6,302666.57,N,N,N,N
National,,National,Activella,Estradiol/Norethindrone Acet,64,300,484.2,135284.56,57,,269,437,122433.82,#,,182.34,31147.51,N,N,N,N
National,,National,Actonel,Risedronate Sodium,670,2562,5021.4,1788277.96,624,,2459,4856.3,1727628.61,,603,4188.91,200732.77,N,N,N,N
National,,National,Actoplus Met,Pioglitazone Hcl/Metformin Hcl,53,246,382.6,203503.89,51,,246,382.6,203503.89,,51,376.22,10223.41,N,N,N,N
National,,National,Actos,Pioglitazone Hcl,417,1619,3281.4,1749928.48,378,,1454,2956.8,1567632.69,,335,1933.24,89392.37,N,N,N,N
National,,National,Acular,Ketorolac Tromethamine,94,195,251.3,64615.68,94,,159,211.6,54812.27,,80,265.1,5161.86,N,N,N,N
National,,National,Acular Ls,Ketorolac Tromethamine,35,66,78.3,22762.86,36,#,,,,#,,43.6,3624.01,N,N,N,N
National,,National,Acuvail,Ketorolac Tromethamine/Pf,153,381,505.3,221208.02,166,,336,431.3,188870.87,,150,1029.1,32512.85,N,N,N,N
National,,National,Acyclovir,Acyclovir,268345,1827051,2854488,54640346.69,659940,,1506946,2402069.7,44712338.4,,557378,497358.13,10028672.86,N,N,N,N
National,,National,Acyclovir Sodium,Acyclovir Sodium,87,199,200.3,36696.6,88,,165,166.3,29086.39,,71,56,7850.92,N,N,N,N
National,,National,Aczone,Dapsone,166,261,314.8,215548.01,166,,144,174,114180.61,,100,473.1,19356.86,N,N,N,N
National,,National,Adacel Tdap,"Diph,pertuss(Acell),tet Vac/Pf",28149,177846,177932.7,10680031.39,177399,,161074,161128.7,9623660.53,,160728,111849.59,2743292.95,N,N,N,N
National,,National,Adakveo,Crizanlizumab-Tmca,62,510,510,5852209.87,97,*,,,,*,,437.6,5970.7,N,N,N,N
National,,National,Adapalene,Adapalene,4748,11956,13256.1,2559732.44,5496,,4932,5770.9,1380338.96,,2650,8016.61,113298.81,N,N,N,N
National,,National,Adapalene-Benzoyl Peroxide,Adapalene/Benzoyl Peroxide,684,1315,1462.5,125817.7,742,,617,718,52201.91,,397,562.23,10444.88,N,N,N,N
National,,National,Adcetris,Brentuximab Vedotin,18,84,84,2395839.26,18,,44,44,1233396.76,*,,28,29069.54,N,N,N,N
National,,National,Adcirca,Tadalafil,772,9421,10671.9,43282513.46,1172,,5796,6641.6,26691182.7,,732,21371.5,1144200.25,N,N,N,N
National,,National,Adderall,Dextroamphetamine/Amphetamine,2190,10667,11278.6,5793971.05,1765,,3689,4050.7,2074415.91,,689,17589.93,313111.11,N,N,N,N
National,,National,Adderall Xr,Dextroamphetamine/Amphetamine,6025,26053,27745.2,8415349.85,5317,,8871,9849.2,2968120.15,,1744,73878.25,627042.73,N,N,N,N
National,,National,Adefovir Dipivoxil,Adefovir Dipivoxil,561,3948,5076,3683848.43,514,,3128,4145,2996524.6,,422,6204.38,272009.94,N,N,N,N
National,,National,Adempas,Riociguat,1585,47875,48051.9,566366846.37,5430,,36543,36704.9,432772858.58,,4118,229750.06,18202128.59,N,N,N,N
National,,National,Adlyxin,Lixisenatide,29,116,155.2,107206.69,27,,55,86.4,58667.04,#,,132.8,1607.65,N,N,N,N
National,,National,Admelog,Insulin Lispro,4679,16992,17986,2222368.91,7142,,12093,12679.3,1394203.45,,5021,28891.65,99999.94,N,N,N,N
National,,National,Admelog Solostar,Insulin Lispro,9301,31824,38290.5,6134583.94,14111,,22743,27168,3900673.54,,9749,61881.12,246836.96,N,N,N,N
National,,National,Adrenalin,Epinephrine,718,991,1071.7,27631.15,924,,719,770.3,20314.26,,680,941.67,6699.6,N,N,N,N
National,,National,Adriamycin,Doxorubicin Hcl,16,42,42,5684.54,19,#,,,,#,,12.4,325.63,N,N,N,N
National,,National,Advair Diskus,Fluticasone Propion/Salmeterol,186136,1715121,2485157.9,1007343894.1,427430,,1366911,2026735.2,811153522.74,,343868,2415007.8,65814444.94,N,N,N,N
National,,National,Advair Hfa,Fluticasone Propion/Salmeterol,89749,570864,777595.9,346217478.38,150070,,440154,609477.1,269094625.49,,117466,1244635.91,23768416.43,N,N,N,N
National,,National,Advocate Pen Needle,"Pen Needle, Diabetic",1778,3750,8712.5,431446.13,1952,,2464,5747.7,263630.36,,1263,7086.88,14123.11,N,N,N,N
National,,National,Advocate Pen Needles,"Pen Needle, Diabetic",7525,27375,46152.5,2172818.4,9546,,19236,32788.9,1489958.56,,6669,36645.92,109558.1,N,N,N,N
National,,National,Advocate Syringes,"Syring-Needl,disp,insul,0.3 Ml",545,2699,3538.8,152107.24,833,,2244,2865.2,118338.52,,677,557.15,2640.93,N,N,N,N
National,,National,Advocate Syringes,"Syringe And Needle,insulin,1ml",1237,6069,8386.7,368312.06,1809,,4413,6098.5,257293.58,,1289,2666.83,9823.3,N,N,N,N
National,,National,Advocate Syringes,"Syringe-Needle,insulin,0.5 Ml",1103,5984,7994.8,347786.89,1757,,4642,6207,260265.89,,1342,2132.96,8029.35,N,N,N,N
National,,National,Adzenys Xr-Odt,Amphetamine,188,1041,1106,545688.01,188,,354,373,189265.92,,70,3977.22,46478.04,N,N,N,N
National,,National,Afinitor,Everolimus,2627,12992,13242.6,216022952.03,2874,,8448,8534.2,136599917.83,,2047,70836.9,4280731.55,N,N,N,N
National,,National,Afinitor Disperz,Everolimus,60,324,332.2,8602849.16,47,,50,50,1011910.64,,14,52.88,17133.34,N,N,N,N
National,,National,Afrezza,"Insulin Regular, Human",867,6088,7927,10393693.26,1399,,4654,6153.7,7699425.4,,1042,13108.03,327144.56,N,N,N,N
National,,National,Aggrenox,Aspirin/Dipyridamole,40,74,90,44158.81,39,,52,65,32521.37,#,,108,5354.74,N,N,N,N
National,,National,Agrylin,Anagrelide Hcl,148,572,854.5,552597.64,123,,547,818,519205.95,#,,1431.9,64620.25,N,N,N,N
National,,National,Aimovig Autoinjector,Erenumab-Aooe,21403,330765,380685.5,258862594.24,54659,,124705,145967.4,98102044.68,,21405,846596.49,12854545.94,N,N,N,N
National,,National,Airduo Digihaler,Fluticasone Propion/Salmeterol,313,533,636.8,268285.41,321,,424,517.8,215208.68,,250,870.54,26152.59,N,N,N,N
National,,National,Airduo Respiclick,Fluticasone Propion/Salmeterol,381,645,706.2,256265.89,379,,496,544.6,178879.64,,276,2595.66,22059.82,N,N,N,N
National,,National,Ajovy Autoinjector,Fremanezumab-Vfrm,4492,34240,42321.4,27277465.05,8318,,14309,17976.8,11245224.3,,3604,75611.2,1627016.28,N,N,N,N
National,,National,Ajovy Syringe,Fremanezumab-Vfrm,4745,35508,43014.3,28469755.65,6907,,13869,17281.8,11161749.31,,2770,96458.89,1632322.14,N,N,N,N
National,,National,Ak-Poly-Bac,Bacitracin/Polymyxin B Sulfate,222,317,322,4813.22,245,,277,280,4176.99,,217,177.12,1438.32,N,N,N,N
National,,National,Aklief,Trifarotene,142,241,254.4,149786.26,151,,125,126.5,74838.38,,85,332,10740.9,N,N,N,N
National,,National,Akten,Lidocaine Hcl/Pf,28,44,48.3,2993.63,34,#,,,,#,,38.09,731.65,N,N,N,N
National,,National,Akynzeo,Fosnetupitant/Palonosetron,29,226,226,228707.06,62,,189,189,197578.07,#,,1001.93,7146.96,N,N,N,N
National,,National,Akynzeo,Netupitant/Palonosetron Hcl,47,343,346.3,398550.92,100,,279,282.3,312746.31,,83,1577.01,15975.14,N,N,N,N
National,,National,Ala-Cort,Hydrocortisone,814,987,996,14670.12,834,,750,758.6,9563.29,,641,460.64,1740.17,N,N,N,N
National,,National,Ala-Scalp,Hydrocortisone,159,213,213,112657.83,165,,177,177,93293.35,,133,193.59,5058.68,N,N,N,N
National,,National,Albendazole,Albendazole,5559,8502,8518.6,9489685.25,5860,,5736,5749.8,6039422.63,,4026,17731.71,400941.7,N,N,N,N
National,,National,Albuked-25,Albumin Human,5,53,53,15877.45,,,28,28,10427.29,*,,55.5,298.4,N,N,N,N
National,,National,Albutein,Albumin Human,8,35,35,3858.73,,,18,18,1241.29,*,,1.3,250.33,N,N,N,N
National,,National,Albuterol Sulfate,Albuterol Sulfate,34530,231334,250407.4,11446965.76,83975,,185770,201300.6,8834394.33,,69807,71847.61,763948.54,N,N,N,N
National,,National,Albuterol Sulfate Hfa,Albuterol Sulfate,492591,12783908,15443830.5,645743980.27,4845968,,9197755,11188794.9,464613075.21,,3726563,12621749.6,120295562.56,N,N,N,N
National,,National,Alclometasone Dipropionate,Alclometasone Dipropionate,11765,57160,59806.8,3056910.42,38906,,50669,53079.8,2626279.05,,35521,19852.18,811721.77,N,N,N,N
National,,National,Alcohol Pads,Alcohol Antiseptic Pads,27990,184642,331497.2,11725089.57,54689,,139028,249651.7,8527492.41,,40854,120334.8,195649.3,N,N,N,N
National,,National,Alcohol Prep Pads,Alcohol Antiseptic Pads,71923,512800,882769.1,18346566.56,179043,,385780,665836.3,12891121.34,,134362,487121.11,654784.16,N,N,N,N
National,,National,Alcohol Swab,Alcohol Antiseptic Pads,7688,39215,61417.6,116586.48,13617,,30650,48963.1,88106.16,,10501,19293.57,8432.77,N,N,N,N
National,,National,Alcohol Swabs,Alcohol Antiseptic Pads,30750,138676,232941.5,773524.23,61256,,105446,179848.7,584684.05,,46449,103071.15,44998.99,N,N,N,N
National,,National,Alcohol Wipes,Alcohol Antiseptic Pads,1418,5718,8192.4,53516.91,2179,,4955,7136.7,46818.55,,1842,6299.03,2168.4,N,N,N,N
National,,National,Aldactazide,Spironolact/Hydrochlorothiazid,274,834,1748.9,222415.66,266,,770,1658.6,208892.09,,237,803.58,45744.24,N,N,N,N
National,,National,Aldactone,Spironolactone,625,2148,4913.7,624110.71,619,,1956,4527.6,558443.18,,563,2243.85,85557.37,N,N,N,N
National,,National,Aldara,Imiquimod,40,67,71.9,7179.95,39,,51,53.5,5732.02,#,,39.6,1854.66,N,N,N,N
National,,National,Aldurazyme,Laronidase,13,197,197,7750224.9,11,,0,0,0,,0,41.2,200,N,N,N,N
National,,National,Alecensa,Alectinib Hcl,1176,8278,8552.3,125076789.06,1111,,6688,6939,101021810.91,,909,25444.32,2605580.02,N,N,N,N
National,,National,Alendronate Sodium,Alendronate Sodium,275692,7503417,16285991,79570139.02,1971866,,7054343,15504775,74569169.16,,1873633,1852742.51,19283316,N,N,N,N
National,,National,Alfuzosin Hcl Er,Alfuzosin Hcl,71215,820246,1892860.7,25182013.43,226568,,767985,1795108.8,23810407.85,,213205,191877.97,8713464.7,N,N,N,N
National,,National,Alimta,Pemetrexed Disodium,180,1555,1556.8,9849598.41,304,,1389,1390.8,8633708.26,,270,7329.08,136007.84,N,N,N,N
National,,National,Alinia,Nitazoxanide,392,641,647.8,1790444.86,472,,418,424.8,999614.54,,322,5832.13,76497.96,N,N,N,N
National,,National,Aliskiren,Aliskiren Hemifumarate,7819,35309,74104.9,13715500.85,7833,,33517,70774.5,13084018.58,,7429,21743.37,2298355.8,N,N,N,N
National,,National,Allopurinol,Allopurinol,337432,8986978,20846297.7,135179592.68,2163854,,8130465,19146791.8,123001322.13,,1973736,2486576.98,38976290.81,N,N,N,N
National,,National,Allzital,Butalbital/Acetaminophen,29,38,39.8,8213.75,30,#,,,,#,,69.69,563.98,N,N,N,N
National,,National,Almotriptan Malate,Almotriptan Malate,1463,5410,6366.5,1686399,1361,,3374,4136.5,1100668.41,,914,3146.1,159741.37,N,N,N,N
National,,National,Alocril,Nedocromil Sodium,371,858,1020.4,262378.82,381,,731,865.8,220096.19,,328,1435,28654.12,N,N,N,N
National,,National,Alogliptin,Alogliptin Benzoate,12151,79735,107675.3,17729909.37,20196,,68991,93265.4,15295034.82,,17194,82587.81,1310686.3,N,N,N,N
National,,National,Alogliptin-Metformin,Alogliptin Benz/Metformin Hcl,1542,5093,7553.3,1253968.06,1771,,4487,6646.8,1098331.55,,1519,6226.06,76727.32,N,N,N,N
National,,National,Alogliptin-Pioglitazone,Alogliptin Benz/Pioglitazone,553,2185,3894.3,708784.29,549,,1995,3569.3,649012.93,,494,1727.58,90458.04,N,N,N,N
National,,National,Alomide,Lodoxamide Tromethamine,163,446,686.4,101314.34,177,,392,618.6,90529.5,,156,388.78,22990.39,N,N,N,N
National,,National,Alora,Estradiol,267,666,1076.5,123748.67,254,,552,927.4,105080.57,,214,809.71,45610.58,N,N,N,N
National,,National,Alosetron Hcl,Alosetron Hcl,1936,11564,13045.6,13710215.56,2281,,8801,10163,9878701.4,,1791,9803.41,846259.33,N,N,N,N
National,,National,Alphagan P,Brimonidine Tartrate,38333,589735,933991.8,202207689.31,141024,,550919,877028.5,189912315.82,,131937,919271.92,23619540.27,N,N,N,N
National,,National,Alprazolam,Alprazolam,350302,11927356,12902736.9,118675682.1,2276237,,8917184,9796597.4,81261483.96,,1853827,5743571.12,36937975.58,N,N,N,N
National,,National,Alprazolam Er,Alprazolam,7367,43151,48934,1670509.45,7979,,23706,28236.9,771085.61,,4847,30911.01,413360.13,N,N,N,N
National,,National,Alprazolam Intensol,Alprazolam,130,228,256.8,25615.89,133,,157,179.8,15103.12,,105,133.16,3837.05,N,N,N,N
National,,National,Alprazolam Odt,Alprazolam,2497,6972,7664.6,584266.17,2572,,4733,5275.8,321452.81,,1968,3880.21,104899.57,N,N,N,N
National,,National,Alprazolam Xr,Alprazolam,4706,22795,26221,783785.74,4772,,13263,16049.8,380911.79,,2926,17039.17,207614.25,N,N,N,N
National,,National,Alrex,Loteprednol Etabonate,7847,29347,36128.6,10095999.18,14093,,26739,33080.6,9202838.99,,12905,39437.63,1160790,N,N,N,N
National,,National,Altabax,Retapamulin,114,155,159.5,79813.02,123,,139,143.5,70112.93,,112,177.6,8144.99,N,N,N,N
National,,National,Altace,Ramipril,1650,6352,14790.1,3761562.58,1442,,6175,14409.4,3651624.62,,1403,3355.05,339019.1,N,N,N,N
National,,National,Altavera,Levonorgestrel/Ethin.Estradiol,832,2624,5053.4,78277.35,752,,15,27.6,210.07,*,,2387.79,3620.91,N,N,N,N
National,,National,Altoprev,Lovastatin,365,1227,1898.6,1734180.05,326,,1083,1696.5,1536290.85,,285,2481.33,58591.2,N,N,N,N
National,,National,Altreno,Tretinoin,421,786,856.5,78857.16,577,,712,780,71454.97,,526,280.4,38727.21,N,N,N,N
National,,National,Alunbrig,Brigatinib,213,1127,1159.1,19416969.7,176,,855,879.1,14429548.06,,131,5216.86,404053.45,N,N,N,N
National,,National,Alvesco,Ciclesonide,12409,207350,382560.1,31958972.49,79720,,191958,355415.5,29565583.45,,73375,171940.87,7964823.16,N,N,N,N
National,,National,Alyacen,Norethindrone-Ethin. Estradiol,1529,6501,10035.7,199928.62,1384,,122,181.6,4152.39,,27,4310.11,12062.04,N,N,N,N
National,,National,Alyq,Tadalafil,834,3966,4381.5,7373729.27,1520,,2699,2998,5027712.82,,1031,11398.65,542565.87,N,N,N,N
National,,National,Amabelz,Estradiol/Norethindrone Acet,1232,3599,9231.8,523365.13,1221,,3342,8698.6,486638.34,,1132,559.04,226642.39,N,N,N,N
National,,National,Amantadine,Amantadine Hcl,47610,475688,703297.9,34594284.65,92432,,333314,511299.6,24569582.82,,68669,262666.89,6331865.82,N,N,N,N
National,,National,Amaryl,Glimepiride,655,2559,5199.5,800348.07,596,,2449,4983.3,770780.61,,569,2422.01,98082.7,N,N,N,N
National,,National,Ambien,Zolpidem Tartrate,3445,17496,21185.2,12819777.62,2933,,13904,17182,10267060.41,,2400,24263.48,871054.86,N,N,N,N
National,,National,Ambien Cr,Zolpidem Tartrate,1948,10525,13155.9,7695945.78,1523,,7129,9260.2,5325722.4,,1062,19743.46,472116.56,N,N,N,N
National,,National,Ambisome,Amphotericin B Liposome,138,693,695,1974072.89,185,,509,511,1395950.31,,123,490.39,112507.48,N,N,N,N
National,,National,Ambrisentan,Ambrisentan,2360,55865,57458.9,253257870.17,6432,,36684,38052.9,170664539.72,,4241,200831.67,13943001.91,N,N,N,N
National,,National,Amcinonide,Amcinonide,239,390,459.7,123410.35,236,,357,426.7,113681.28,,220,81.3,9120.4,N,N,N,N
National,,National,Amerge,Naratriptan Hcl,113,464,556.4,444943.58,96,,333,416.5,301147.33,,71,364.58,34047.85,N,N,N,N
National,,National,Amethia,L-Norgest/E.Estradiol-E.Estrad,182,344,1040.5,36046.88,172,,0,0,0,,0,421.17,848.3,N,N,N,N
National,,National,Amethyst,Levonorgestrel/Ethin.Estradiol,166,606,1051.5,41429.63,141,,0,0,0,,0,507.46,2547.84,N,N,N,N
National,,National,Amicar,Aminocaproic Acid,85,173,182.6,549561.6,80,,109,116.6,308713.36,,53,99.73,24428.28,N,N,N,N
National,,National,Amikacin Sulfate,Amikacin Sulfate,2054,11338,11600.3,1166913.46,2855,,8723,8943.5,869465.81,,2249,5689.9,198499.86,N,N,Y,N
National,,National,Amiloride Hcl,Amiloride Hcl,22036,102221,217037.2,2204820.83,25194,,81377,181474.5,1787617.58,,20789,39979.63,854016.29,N,N,N,N
National,,National,Amiloride-Hydrochlorothiazide,Amiloride/Hydrochlorothiazide,11240,45053,116546.3,1441100,11687,,42839,111767.6,1381853.24,,11147,13175.35,489226.01,N,N,N,N
National,,National,Aminocaproic Acid,Aminocaproic Acid,1107,2277,2353.3,3501435.85,1098,,1718,1779.9,2497736.32,,835,1425.47,195740.25,N,N,N,N
National,,National,Amiodarone Hcl,Amiodarone Hcl,207038,2419280,4645882.8,76958229.32,679916,,2249510,4350627.6,71853289.84,,633057,902316.17,17027445.13,N,N,N,N
National,,National,Amitiza,Lubiprostone,43698,208452,273136.8,89343932.17,68138,,142383,191686.8,61647693.56,,47265,382238.41,6141529.87,N,N,N,N
National,,National,Amitriptyline Hcl,Amitriptyline Hcl,280865,3690839,6644399.3,83549373.26,831025,,2373383,4579803.9,49965701.89,,568883,2638946.83,23637293.46,N,N,N,N
National,,National,Amlodipine Besylate,Amlodipine Besylate,556690,44191695,102592645.8,309962668.24,10566606,,39652032,93483963.1,282328287,,9531664,10680049.06,91067894.05,N,N,N,N
National,,National,Amlodipine Besylate-Benazepril,Amlodipine Besylate/Benazepril,152920,1683486,4208268.2,43800097.34,413164,,1553160,3928562.1,41131807.97,,382880,466255.77,12223560.44,N,N,N,N
National,,National,Amlodipine-Atorvastatin,Amlodipine/Atorvastatin,22784,96167,235234.1,26059424.54,24699,,89363,222084.5,24623636.25,,23030,33484.91,1418822,N,N,N,N
National,,National,Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,34496,196523,467104.2,19222156.56,50781,,183866,439635.5,18103169.52,,47495,85641.57,4325953.91,N,N,N,N
National,,National,Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,48922,290552,701318.2,19555612.86,74812,,268579,655238.2,18251277.11,,69269,113762.21,4009346.27,N,N,N,N
National,,National,Amlodipine-Valsartan-Hctz,Amlodipine/Valsartan/Hcthiazid,6644,12123,24161.8,1884587.96,7592,,11077,22324.3,1723931.85,,6960,6684.96,158572.55,N,N,N,N
National,,National,Ammonium Lactate,Ammonium Lactate,86004,1077017,1206241.7,27424145.47,446132,,889627,998797.6,22505019.42,,373564,553412.7,3037897.35,N,N,N,N
National,,National,Amnesteem,Isotretinoin,880,2264,2290,480559.67,872,,1162,1182,206971.06,,447,1766.21,74878.96,N,N,N,N
National,,National,Amondys-45,Casimersen,6,66,66,4432004.25,,,0,0,0,#,,4,0,N,N,N,N
National,,National,Amoxapine,Amoxapine,522,2271,3514.4,192816.21,462,,1686,2807.5,144402.36,,349,2257.26,45249.19,N,N,N,N
National,,National,Amoxicillin,Amoxicillin,598852,7696447,7776351.3,29658121.75,5287043,,6680280,6753201.7,25032743,,4585164,1687385.76,14318545.16,N,N,Y,N
National,,National,Amoxicillin-Clavulanate Pot Er,Amoxicillin/Potassium Clav,9738,12980,13034.5,1938958.66,11403,,10682,10728.7,1549347.93,,9477,10206.58,417178.39,N,N,Y,N
National,,National,Amoxicillin-Clavulanate Potass,Amoxicillin/Potassium Clav,641567,4759953,4782784,57958445,3634743,,3862001,3881515.8,46071703.99,,2981456,2198689.27,21391156.18,N,N,Y,N
National,,National,Amphetamine Sulfate,Amphetamine Sulfate,157,656,689.7,178588.5,148,,307,325,78324.85,,71,692.64,19502.21,N,N,N,N
National,,National,Amphotericin B,Amphotericin B,93,379,388,87641.35,112,,265,272,68083.46,,77,428.41,10047.38,N,N,N,N
National,,National,Ampicillin Sodium,Ampicillin Sodium,3319,21370,21378.3,4089808.12,3699,,17943,17951.3,3399359.47,,3083,18490.41,889888.27,N,N,Y,N
National,,National,Ampicillin Trihydrate,Ampicillin Trihydrate,38881,99490,104795.1,1450899.23,75069,,86768,91532.8,1247870.58,,66008,35468.87,449020.32,N,N,Y,N
National,,National,Ampicillin-Sulbactam,Ampicillin Sodium/Sulbactam Na,2887,15983,15983.1,2275978.86,3431,,11044,11044.1,1518405.83,,2444,16009.53,404848.31,N,N,Y,N
National,,National,Ampyra,Dalfampridine,1424,12987,17005.8,55939976.4,2275,,4719,6407.1,20815893.81,,906,38141.44,1750817.54,N,N,N,N
National,,National,Amrix,Cyclobenzaprine Hcl,93,370,462.8,844797.58,78,,174,243,403377.68,,38,804.61,13921.84,N,N,N,N
National,,National,Amzeeq,Minocycline Hcl,326,687,719,358831.31,400,,409,433,214222.83,,245,1020.4,24631.63,N,N,N,N
