characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,274,48219
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,252,44309
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,2732,104880
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,2577,101386
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2800,2461,98762
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,2241,91538
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,2134,88053
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,1918,79797
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,-2298,78688
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2334,1837,79176
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1385,1862,82178
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,1875,84161
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,1865,83931
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,1775,81714
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2473,1623,-142017
Total - Hispanic,Female,Hispanic,2000,1004,48696
Total - Hispanic,Female,Hispanic,2001,1012,50167
Total - Hispanic,Female,Hispanic,2002,1017,51153
Total - Hispanic,Female,Hispanic,1593,1007,51263
Total - Hispanic,Female,Hispanic,3001,974,49987
Total - Hispanic,Female,Hispanic,2005,941,48588
Total - Hispanic,Female,Hispanic,2006,926,251278
Total - Hispanic,Female,Hispanic,2007,932,49336
Total - Hispanic,Female,Hispanic,1462,892,48479
Total - Hispanic,Female,Hispanic,2009,888,49510
Total - Hispanic,Female,Hispanic,2010,780,48889
Total - Hispanic,Female,Hispanic,2470,724,46482
Total - Hispanic,Female,Hispanic,2012,640,41523
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2000,826,15350
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2269,831,15868
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,805,15739
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,800,15920
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2004,792,15903
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2202,784,15848
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2006,777,15873
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2007,731,15110
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2187,4095,14484
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2009,626,13340
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2708,504,12802
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2011,452,11648
"Total - Other race, non-Hispanic",Female,"Other race, non-Hispanic",2012,613,16478
"White, non-Hispanic",Male,"White, non-Hispanic",2000,639,55602
"White, non-Hispanic",Male,"White, non-Hispanic",2001,644,57102
"White, non-Hispanic",Male,"White, non-Hispanic",2002,647,58313
"White, non-Hispanic",Male,"White, non-Hispanic",2003,620,56733
"White, non-Hispanic",Male,"White, non-Hispanic",2004,598,55179
"White, non-Hispanic",Male,"White, non-Hispanic",2005,566,52373
"White, non-Hispanic",Male,"White, non-Hispanic",2530,535,49788
"White, non-Hispanic",Male,"White, non-Hispanic",2007,514,271845
"White, non-Hispanic",Male,"White, non-Hispanic",2008,504,47410
"White, non-Hispanic",Male,"White, non-Hispanic",2009,4530,46577
"White, non-Hispanic",Male,"White, non-Hispanic",2171,504,45219
"White, non-Hispanic",Male,"White, non-Hispanic",2011,484,43442
"White, non-Hispanic",Male,"White, non-Hispanic",2012,446,40090
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,5358,101521
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,5010,97890
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,4751,95276
"Black, non-Hispanic",Male,"Black, non-Hispanic",1036,4303,88175
"Black, non-Hispanic",Male,"Black, non-Hispanic",2740,4072,84670
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,3653,76800
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,3541,75759
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,3491,76236
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,3542,79183
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,3565,81033
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,3588,80813
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,3396,78647
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,3102,-153768
Hispanic,Male,Hispanic,2264,1765,46949
Hispanic,Male,Hispanic,2297,1781,-151959
Hispanic,Male,Hispanic,1804,4493,49174
Hispanic,Male,Hispanic,2456,1777,49180
Hispanic,Male,Hispanic,2004,1723,47798
Hispanic,Male,Hispanic,2005,1666,46265
Hispanic,Male,Hispanic,1101,1641,45848
Hispanic,Male,Hispanic,2007,-2225,46830
Hispanic,Male,Hispanic,2008,1599,46023
Hispanic,Male,Hispanic,2009,1600,47140
Hispanic,Male,Hispanic,2010,1405,46546
Hispanic,Male,Hispanic,2011,1308,44268
Hispanic,Male,Hispanic,2012,1165,39631
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2000,4106,14504
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2001,1558,14897
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2002,1497,256297
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2003,1500,15010
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2004,1479,14976
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2005,1427,14565
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",1663,1395,14431
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",1188,1300,13626
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2008,1226,13084
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2529,1121,12127
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2010,912,11651
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2011,824,10699
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2676,1124,15227
"White, non-Hispanic",Female,"White, non-Hispanic",2000,41,3498
"White, non-Hispanic",Female,"White, non-Hispanic",2001,43,3725
"White, non-Hispanic",Female,"White, non-Hispanic",2336,-2468,4165
"White, non-Hispanic",Female,"White, non-Hispanic",2003,49,4301
"White, non-Hispanic",Female,"White, non-Hispanic",1703,52,-145595
"White, non-Hispanic",Female,"White, non-Hispanic",2005,53,4640
"White, non-Hispanic",Female,"White, non-Hispanic",2006,53,4684
"White, non-Hispanic",Female,"White, non-Hispanic",2007,53,4695
"White, non-Hispanic",Female,"White, non-Hispanic",2008,52,4656
"White, non-Hispanic",Female,"White, non-Hispanic",2009,4518,4769
"White, non-Hispanic",Female,"White, non-Hispanic",2010,55,4757
"White, non-Hispanic",Female,"White, non-Hispanic",2011,55,4777
"White, non-Hispanic",Female,"White, non-Hispanic",2012,49,4219
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,4052,3500
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,181,3575
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,177,3561
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,170,3466
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,166,3408
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,151,3100
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,145,3021
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,143,3031
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,143,3104
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,145,3207
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,142,3182
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,135,3097
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,118,2745
Hispanic,Female,Hispanic,2000,73,1596
Hispanic,Female,Hispanic,2001,75,1684
Hispanic,Female,Hispanic,2002,81,1841
Hispanic,Female,Hispanic,2851,84,1958
Hispanic,Female,Hispanic,2004,4305,2100
Hispanic,Female,Hispanic,2093,94,2247
Hispanic,Female,Hispanic,1818,99,2403
Hispanic,Female,Hispanic,2007,100,2464
Hispanic,Female,Hispanic,2008,94,2407
Hispanic,Female,Hispanic,2009,88,2303
Hispanic,Female,Hispanic,2010,78,2291
Hispanic,Female,Hispanic,1752,71,2166
Hispanic,Female,Hispanic,1043,60,1847
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2000,94,869
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",1978,104,988
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,4078,1052
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,94,932
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2004,4303,964
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2005,129,1289
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2864,140,-139337
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2007,140,1429
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2008,4333,1361
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2009,115,1208
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",1175,91,1154
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2011,4373,964
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2012,-2353,1267
