OBJECTID,CWS,FIPS_NO,CWSNO,CWSID,SILOCAL,SIADDRESS,COUNTY,SITYPE,SIRADIUS,CONTACT,URL,BATTERY_BACKUP,LATITUDE,LONGITUDE,SINAME,BUFF_DIST,ORIG_FID,SHAPEAREA,SHAPELEN
14,0,215,014,CWS215014,Finchville Community Center,5584 KY55,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.14954,-85.317784,0,6200,14,120756336.125609,38955.2259443638
15,0,215,015,CWS215015,"Cariss's Grocery","8011 KY44",Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.109622,-85.183098,0,6200,15,120756336.125609,38955.2259443638
16,0,215,016,CWS215016,Mount Eden VFD,636 Van Burren Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.05304,-85.152905,0,6200,16,120756336.125609,38955.2259443638
17,0,215,017,CWS215017,Harrisonville,8006 Waddy Road,Shelby,ECLIPSE,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.088435,-85.067044,0,5280,17,87577053.9616531,33174.6955112191
18,0,215,018,CWS215018,Waddy Baptist Church,3130 KY 395 (Waddy Road),Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.135259,-85.074253,0,6200,18,120756336.125609,38955.2259443638
19,0,215,019,CWS215019,Shelby County Tech,230 Rocket Lane,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.212153,-85.177675,0,6200,19,120756336.125609,38955.2259443638
20,0,215,020,CWS215020,Shelbyville Fire & Rescue,Weissenger Club House Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.180223,-85.214633,0,6200,20,120756336.125609,38955.2259443638
21,0,215,021,CWS215021,Water Tower,Pearce Industry Rd. McDaniels,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.20276,-85.257941,0,6200,21,120756336.125609,38955.2259443638
22,0,215,022,CWS215022,Simpsonville City Hall,Old Veechdale Road,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.221207,-85.35341,0,6200,22,120756336.125609,38955.2259443638
23,0,215,023,CWS215023,West Middle School,KY 55 & KY 53,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.23609,-85.239423,0,6200,23,120756336.125609,38955.2259443638
24,0,215,024,CWS215024,Love's Truck Stop (on top of sign),1940 Waddy Road @ I-64,Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.151522,-85.069717,0,6200,24,120756336.125609,38955.2259443638
25,0,215,025,CWS215025,Osprey Cove Sub @  Hwy 53,294 St Regis Dr (Take Beam Tree),Shelby,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.189475,-85.211876,0,6200,25,120756336.125609,38955.2259443638
26,0,185,001,CWS185001,North Oldham Fire Department,"1660 N Highway 1793, Goshen",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.395936,-85.590063,0,5280,26,87577053.9616531,33174.6955112191
27,0,185,002,CWS185002,Pewee Valley City Hall,"312 Mt Mercy Drive, Pewee Valley",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.310374,-85.488533,0,5280,27,87577053.9616531,33174.6955112191
28,0,185,003,CWS185003,6400 Railroad Ave. Crestwood KY,"6400 Railroad Ave, Crestwood",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.323813,-85.472687,0,5280,28,87577053.9616531,33174.6955112191
29,0,185,004,CWS185004,LaGrange Fire Department,"3713 West Highway 146, LaGrange",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.388319,-85.427847,0,5280,29,87577053.9616531,33174.6955112191
30,0,185,005,CWS185005,LaGrange Fire Department,"121 West Main Street, LaGrange",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.406972,-85.37961,0,5280,30,87577053.9616531,33174.6955112191
31,0,185,006,CWS185006,Ballardsville Fire Department,"4604 South Highway 53, Crestwood",Oldham,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.359956,-85.345571,0,6200,31,120756336.125609,38955.2259443638
32,0,185,007,CWS185007,Westport Fire Department,"6301 Third Street, Westport",Oldham,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.479432,-85.475759,0,5280,32,87577053.9616531,33174.6955112191
33,0,029,001,CWS029001,Lebanon Junction School,10920 S. Preston Hwy.,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.848275,-85.726669,0,6200,33,120756336.125609,38955.2259443638
34,0,029,002,CWS029002,Southeast Bullitt Fire #2,Ironwood Trail/off Hwy 480,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.976309,-85.645028,0,6200,34,120756336.125609,38955.2259443638
35,0,029,003,CWS029003,Shepherdsville City Park,Hwy44 & City Park Drive,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.989628,-85.723708,0,6200,35,120756336.125609,38955.2259443638
36,0,029,004,CWS029004,Bullitt Central High,1330 Highway 44E,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.999316,-85.698542,0,6200,36,120756336.125609,38955.2259443638
37,0,029,005,CWS029005,Mt. Washington VFD #3,Hwy 44 & Sunview Drive,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.012933,-85.647661,0,6200,37,120756336.125609,38955.2259443638
38,0,029,006,CWS029006,Mt. Washington Elementary,269 Water Street,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.047824,-85.545031,0,6200,38,120756336.125609,38955.2259443638
39,0,029,007,CWS029007,Nichols Fire Department,Hwy 44 & Skyview Road,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.013157,-85.880279,0,6200,39,120756336.125609,38955.2259443638
40,0,029,008,CWS029008,Hillview City Park,298 Prairie Drive,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.079735,-85.6771,0,6200,40,120756336.125609,38955.2259443638
41,0,029,009,CWS029009,Zoneton Water Tower,Columbia Lane,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.056633,-85.628007,0,6200,41,120756336.125609,38955.2259443638
42,0,029,010,CWS029010,Hebron Middle School,3300 W. Hebron Lane,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.048562,-85.670507,0,6200,42,120756336.125609,38955.2259443638
43,0,029,011,CWS029011,Shepherdsville Fire Dept.,170 Frank E. Simon Ave.,Bullitt,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.989628,-85.714412,0,5280,43,87577053.9616531,33174.6955112191
44,0,029,012,CWS029012,Mt. Washington VFD #1,772 North Bardstown Rd.,Bullitt,Triad,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.055351,-85.548257,0,5280,44,87577053.9616531,33174.6955112191
45,0,029,013,CWS029013,Mt. Washington VFD #2,3014Kings Church & Dawsonhill,Bullitt,MCP4,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.088848,-85.484308,0,6200,45,120756336.125609,38955.2259443638
46,0,029,014,CWS029014,Lebanon Junction City Hall,221 Main Street,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.834194,-85.732464,0,6200,46,120756336.125609,38955.2259443638
47,0,029,015,CWS029015,Bernheim Middle School,700 Audubon Drive,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.916977,-85.684949,0,6200,47,120756336.125609,38955.2259443638
48,0,029,016,CWS029016,Gospel Kingdom,141 Mount Elmira Rd & Hwy44,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.007435,-85.782062,0,6200,48,120756336.125609,38955.2259443638
49,0,029,017,CWS029017,Pleasant Grove Elementary,6415 Highway 44E,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.039685,-85.563102,0,6200,49,120756336.125609,38955.2259443638
50,0,029,018,CWS029018,Brooks Elementary,1800 E. Bluelick Road,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.057224,-85.701216,0,6200,50,120756336.125609,38955.2259443638
51,0,029,019,CWS029019,Bellmont Baptist Church,345 Church Avenue,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.896786,-85.714203,0,6200,51,120756336.125609,38955.2259443638
52,0,029,020,CWS029020,Old Mill Elementary,11540 Hwy 44E,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.057747,-85.530879,0,6200,52,120756336.125609,38955.2259443638
53,0,029,021,CWS029021,Cedar Grove Elementary, 1900 Hwy 480,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.981123,-85.67899,0,6200,53,120756336.125609,38955.2259443638
54,0,029,022,CWS029022,Maryville Elementary,4504 Summers Dr,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.061596,-85.687283,0,6200,54,120756336.125609,38955.2259443638
55,0,029,023,CWS029023,Beachgrove Road,Beachgrove Road,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.926812,-85.701644,0,6200,55,120756336.125609,38955.2259443638
56,0,029,024,CWS029024,Whispering Oaks Trailer Park,319 Barracks Road,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,38.081274,-85.701799,0,6200,56,120756336.125609,38955.2259443638
57,0,029,025,CWS029025,Highway 733,Highway 733 @ Wilson Run Road,Bullitt,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,UNK,37.85074,-85.680637,0,6200,57,120756336.125609,38955.2259443638
58,17882,111,1,CWS111001,LOUISVILLE METRO FISCAL COURT BLDG,531 COURT PLACE,Jefferson,ULTRA VOICE,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.254987,-85.759884,1,6200,58,120756336.125609,38955.2259443638
59,17883,111,2,CWS111002,ANCHORAGE CITY HALL,11506 PARK RD,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.265104,-85.540232,2,6200,59,120756336.125609,38955.2259443638
60,17884,111,3,CWS111003,LG&E SUBSTATION,5241 BARDSTOWN RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.170009,-85.606039,3,5280,60,87577053.9616531,33174.6955112191
61,17885,111,4,CWS111004,LOUISVILLE WATER CO CRESCENT HILL,100 RESERVOIR AVE,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.258858,-85.680259,4,6200,61,120756336.125609,38955.2259443638
62,17886,111,5,CWS111005,CORAL RIDGE ELEMENTARY SCHOOL,10608 NATIONAL TURNPIKE,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.095157,-85.740634,5,6200,62,120756336.125609,38955.2259443638
63,17887,111,6,CWS111006,PORTLAND BOYS & GIRLS CLUB,2509 PORTLAND AVE,Jefferson,TRIAD,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.271205,-85.788987,6,5280,63,87577053.9616531,33174.6955112191
64,17888,111,7,CWS111007,WAGGENER HIGH SCHOOL,330 S HUBBARDS LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.246923,-85.638919,7,5280,64,87577053.9616531,33174.6955112191
65,17889,111,8,CWS111008,PLEASURE RIDGE PARK FD #1,4500 KERRICK LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.152569,-85.837459,8,5280,65,87577053.9616531,33174.6955112191
66,17890,111,9,CWS111009,AUDUBON SCHOOL,1051 HESS LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.207865,-85.731922,9,5280,66,87577053.9616531,33174.6955112191
67,17891,111,10,CWS111010,BATES ELEM. SCHOOL,7601 BARDSTOWN RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.137212,-85.576599,10,5280,67,87577053.9616531,33174.6955112191
68,17892,111,11,CWS111011,LMPD 5TH DISTRICT,2301 DOUGLASS BLVD,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.229741,-85.686507,11,6200,68,120756336.125609,38955.2259443638
69,17893,111,12,CWS111012,LOUISVILLE METRO FIRE DEPT ENGINE 11 TRUCK 7,1025 RUBEL AVE,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.238188,-85.723798,12,6200,69,120756336.125609,38955.2259443638
70,17894,111,13,CWS111013,BLUE LICK SCHOOL,9801 BLUE LICK RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.106296,-85.69006,13,5280,70,87577053.9616531,33174.6955112191
71,17895,111,14,CWS111014,BOWEN SCHOOL,1601 ROOSEVELT AVE,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.270263,-85.582701,14,6200,71,120756336.125609,38955.2259443638
72,17896,111,15,CWS111015,COCHRANE ELEMENTARY SCHOOL,2511 TREGARON AVE,Jefferson,THUNDERBOLT,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.209913,-85.573946,15,6200,72,120756336.125609,38955.2259443638
73,17897,111,16,CWS111016,SANDERS ELEMENTARY SCHOOL,8408 TERRY RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.132348,-85.876261,16,5280,73,87577053.9616531,33174.6955112191
74,17898,111,17,CWS111017,DOUGLAS HILL SWINM CENTER,501 GATEHOUSE LN,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.238821,-85.555483,17,6200,74,120756336.125609,38955.2259443638
75,17899,111,18,CWS111018,DUNN SCHOOL,2010 RUDY LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.284466,-85.644267,18,5280,75,87577053.9616531,33174.6955112191
76,17900,111,19,CWS111019,EASTERN HIGH SCHOOL,12400 OLD SHELBYVILLE RD,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.241671,-85.526138,19,6200,76,120756336.125609,38955.2259443638
77,17901,111,20,CWS111020,EISENHOWER SCHOOL,5300 JESSAMINE LN,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.137567,-85.854995,20,6200,77,120756336.125609,38955.2259443638
78,17902,111,21,CWS111021,HARSTERN ELEMENTARY SCHOOL,5200 MORNINGSIDE WAY,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.140837,-85.666883,21,5280,78,87577053.9616531,33174.6955112191
79,17903,111,22,CWS111022,LOGAN & BRECKINRIDGE STREETS LOT,907 LOGAN ST,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.239452,-85.739248,22,5280,79,87577053.9616531,33174.6955112191
80,17904,111,23,CWS111023,BOARD OF EDUCATION,3332 NEWBURG RD,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.199508,-85.684991,23,6200,80,120756336.125609,38955.2259443638
81,17905,111,24,CWS111024,JEFFERSONTOWN HIGH SCHOOL,9600 OLD SIX MILE LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.201206,-85.583209,24,5280,81,87577053.9616531,33174.6955112191
82,17906,111,25,CWS111025,KENWOOD ELEMEMTARY SCHOOL,7420 JUSTAN AVE,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.145296,-85.787442,25,6200,82,120756336.125609,38955.2259443638
83,17907,111,26,CWS111026,KERRICK ELEMENTARY SCHOOL,2212 UPPER HUNTERS TRACE,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.166274,-85.83642,26,5280,83,87577053.9616531,33174.6955112191
84,17908,111,27,CWS111027,KLONDIKE ELEMENTARY SCHOOL,3807 KLONDIKE LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.208201,-85.636169,27,5280,84,87577053.9616531,33174.6955112191
85,17909,111,28,CWS111028,LOWE ELEMENTARY SCHOOL,210 OXFORDSHIRE LN,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.244649,-85.592363,28,6200,85,120756336.125609,38955.2259443638
86,17910,111,29,CWS111029,MINORS LANE ELEMENTARY SCHOOL,8510 MINOR LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.12564,-85.714853,29,5280,86,87577053.9616531,33174.6955112191
87,17911,111,30,CWS111030,NEWBURG BOYS & GIRLS CLUB,5020 E INDIAN TRAIL,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.182443,-85.668592,30,5280,87,87577053.9616531,33174.6955112191
88,17912,111,31,CWS111031,ROOSEVELT PERRY ELEMENTARY SCHOOL,1615 W BROADWAY,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.249318,-85.778218,31,5280,88,87577053.9616531,33174.6955112191
89,17913,111,32,CWS111032,IROQUOIS HIGH SCHOOL,4615 TAYLOR BLVD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.174906,-85.77689,32,5280,89,87577053.9616531,33174.6955112191
90,17914,111,33,CWS111033,SENECA HIGH SCHOOL,3510 GOLDSMITH LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.205529,-85.655182,33,5280,90,87577053.9616531,33174.6955112191
91,17915,111,34,CWS111034,UNIVERSITY OF LOUISVILLE,2520 S 3RD ST,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.21350707,-85.76283055,34,5280,91,87577053.9616531,33174.6955112191
92,17916,111,35,CWS111035,SHAWNEE HIGH SCHOOL,4018 W MARKET ST,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.262672,-85.816598,35,5280,92,87577053.9616531,33174.6955112191
93,17917,111,36,CWS111036,SOUTHERN HIGH SCHOOL,8620 PRESTON HWY,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.127786,-85.686578,36,5280,93,87577053.9616531,33174.6955112191
94,17918,111,37,CWS111037,SOUTHERN MIDDLE SCHOOL,4530 BELLEVUE AVE,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.186282,-85.775451,37,5280,94,87577053.9616531,33174.6955112191
95,17919,111,38,CWS111038,MSD SUBSTATION,8605 CEDAR CREEK RD,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.11832,-85.593774,38,6200,95,120756336.125609,38955.2259443638
96,17920,111,39,CWS111039,METRO PUBLIC WORKS-LANDSCAPING,1440 S 22ND ST,Jefferson,TRIAD,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.232051,-85.792701,39,5280,96,87577053.9616531,33174.6955112191
97,17921,111,40,CWS111040,STUART MIDDLE SCHOOL,4601 VALLEY STATION RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.110309,-85.844323,40,5280,97,87577053.9616531,33174.6955112191
98,17922,111,41,CWS111041,TRUNNELL ELEMEMTARY SCHOOL,7609 ST ANDREWS CHURCH RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.151732,-85.813644,41,5280,98,87577053.9616531,33174.6955112191
99,17923,111,42,CWS111042,BELLARMINE COLLEGE,BEHIND 1620 RICHMOND DR,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.220387,-85.70854,42,6200,99,120756336.125609,38955.2259443638
100,17924,111,43,CWS111043,WATSON LANE ELEMENTARY SCHOOL,7201 WATSON LN,Jefferson,DC2001,6200,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,YES,38.060076,-85.897624,43,6200,100,120756336.125609,38955.2259443638
101,17925,111,44,CWS111044,WESTPORT MIDDLE SCHOOL,8100 WESTPORT RD,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.275389,-85.599216,44,5280,101,87577053.9616531,33174.6955112191
102,17926,111,45,CWS111045,WHEELER ELEMENTARY SCHOOL,5700 CYNTHIA DR,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.165844,-85.573912,45,5280,102,87577053.9616531,33174.6955112191
103,17927,111,46,CWS111046,WILDER ELEMENTARY SCHOOL,1913 HERR LN,Jefferson,THUNDERBOLT,5280,(502)572-3458,http://portal.louisvilleky.gov/dataset/emergency-warning-sirens,NO,38.278499,-85.621749,46,5280,103,87577053.9616531,33174.6955112191
