storename,licenseid(double precision),accountnumber(double precision),squarefeet(double precision),buffersize,address,zipcode(long),communityareaname,communityarea(long),ward(long),censustract(long),censusblock(double precision),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
JEWEL FOOD STORE,48663.0,259.0,6500.0,A,3004 E 100TH ST,60643,MORGAN PARK,3.0,34,21979009875,170317505004003.0,1167478.1619907953,1826818.2701945968,41.9535544384,-87.6393040996,"(41.9262969563, -87.785694824)"
"LA UNICA FOOD MART, INC.",1515206.0,90.0,5000.0,B,3300 N ASHLAND AVE,60660,EDGEWATER,77.0,40,17031030200,170310302004002.0,1164985.8850150076,1903410.3057540525,41.7134978435,-87.620951802,"(41.8802960895, -87.7524941982)"
MID TOWN FOODS,1678043.0,15264.0,10001.0,B,1558 N ELSTON AVE,60651,HUMBOLDT PARK,28.0,27,17031231200,235347214875686.16,1150230.934098818,1907681.304795596,41.9905852147,-87.7751926809,"(41.7134978435, -87.5507331066)"
"7400 S HALSTED FOOD AND LIQUORS, INC.",980.0,186.0,6500.0,A,3004 E 100TH ST,60621,ENGLEWOOD,3.0,17,17031681300,123013790436771.44,1172208.8098604858,1869568.6744565165,41.9415658578,-87.6444202389,"(41.7596745819, -87.6444202389)"
THREE gBROTHER,822.0,62766.0,10001.0,A,5220 S PULASKI RD,39486,WEST TOWN,38.0,26,17031242700,170312427001004.0,1156842.0502440669,1939808.8920842027,41.8645211937,-87.6993783779,"(41.79799187, -87.7234437408)"
CUENCA'S BAKERY & GROCERIES,1619464.0,292181.0,10001.0,B,5069 W MADISON ST,60641,IRVING PARK,3.0,38,17031160300,170311603003002.0,1147271.2214136072,1893985.7049883392,41.9607675196,-87.72385084,"(41.8645211937, -87.6393040996)"
JEWEL FOOD STORES #3262,1225367.0,259.0,6500.0,A,5952 W GRAND AVE,86545,PORTAGE PARK,15.0,45,17031831700,170318317001021.0,1150549.397872218,1926214.300471872,41.9535544384,-87.7450553112,"(41.8802960895, -87.7524941982)"
ROMAN BROS 1 INC,1619464.0,5925.0,10001.0,A,6978 N CLARK ST,60626,ROGERS PARK,25.0,100,17031010702,170310107022004.0,1163418.9267608444,1899505.113898537,42.0088564722,-87.7524941982,"(42.0088564722, -87.674080374)"
TAI NAM COzRPORATION,34508.0,88874.0,4501.0,A,2534 W PETERSON AVE,60640,UPTOWN,3.0,48,17031031200,170310312002004.0,1167456.9338636997,1921997.1068875587,42.0088564722,-87.620951802,"(41.8802960895, -87.7524941982)"
LA JALISCIENCE,4749.0,23661.0,10001.0,B,5952 W GRAND AVE,60623,SOUTH LAWNDALE,25.0,22,18603164357,170318408001002.0,1155046.9425476384,1907681.304795596,41.9905852147,-87.6993783779,"(41.8802960895, -87.7524941982)"
HOLLYWOOD TOWER MKT,15042.0,62539.0,68000.0,B,2610 W DEVON AVE,60660,EDGEWATER,77.0,48,9041645347,183744430975669.28,1168645.9152298884,1938086.668967148,41.9205964582,-87.72385084,"(41.968445246, -87.7194165758)"
A & R FOOD MART,1954411.0,340750.0,10001.0,B,5952 W GRAND AVE,60639,BELMONT CRAGIN,19.0,37,17031191302,170311913021018.0,1136148.464557395,1914149.526732603,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
S. S. FOOD & LIQUOR,1476109.0,790087.9205298162,2703.0,B,5069 W MADISON ST,60614,LINCOLN PARK,7.0,43,17031070101,170310701012002.0,1172706.707831624,1914149.526732603,41.7134978435,-87.7524941982,"(41.9262969563, -87.785694824)"
cS L PANTRY & GRILL,15042.0,732550.6042578957,10001.0,B,2520 N NARRAGANSETT AVE,60640,UPTOWN,3.0,46,17031031501,237262670182612.62,1168808.076144931,1899505.113898537,41.8802960895,-87.6393040996,"(41.8802960895, -87.7524941982)"
ANDYS FRUIT RANCH,1225367.0,3868.0,3500.0,A,1101 S CANAL ST,60625,ALBANY PARK,14.0,33,17031140800,170311408005008.0,1154227.4639737108,1893985.7049883392,41.8802960895,-87.7194165758,"(42.0088564722, -87.674080374)"
DOMINICK'S #1875,4626306.371740533,5033.0,39000.0,A,6978 N CLARK ST,60661,NEAR WEST SIDE,25.0,91,17031280100,170312801001038.0,1171090.9679868314,1869568.6744565165,41.9205964582,-87.647214717,"(42.0088564722, -87.674080374)"
SAVE-A-LOT # 866,1299911.0,216203.0,4501.0,A,1340 S CANAL ST,60623,NORTH LAWNDALE,29.0,22,17031843400,170318000000000.0,1150300.621,1888988.907,41.8645211937,-87.72385084,"(41.7596745819, -87.6444202389)"
W K R B FOOD & LIQUOR,1678043.0,10242.0,10001.0,B,2520 N NARRAGANSETT AVE,65746,CHATHAM,44.0,8,17031440800,170314408002017.0,1172808.5237505026,1888988.907,41.7238602893,-87.6043647208,"(41.9415658578, -87.6688604029)"
OSAMA FOOD MART,1515206.0,352625.0,-16825.3408922753,B,3629 W 63RD ST,60637,UPTOWN,42.0,20,17031421200,170314212001005.0,1197923.0118507417,1888988.907,41.7729575221,-87.6099733981,"(41.8645211937, -87.6393040996)"
EL PASEO BORICUA,1515206.0,254645.0,3000.0,B,6978 N CLARK ST,60622,UPTOWN,24.0,26,17031242600,170312426001013.0,1158083.1371978272,1938086.668967148,41.7134978435,-87.6430223096,"(41.8910492873, -87.7597328373)"
FOD BASKET,1682475.0,291625.0,2500.0,***,3629 W 63RD ST,85092,WEST ELSDON,68.0,17,17031681300,170316813001006.0,1168645.9152298884,1873949.3843109088,41.763181195,-87.644215021,"(41.9028592342, -87.6918885843)"
SHOP & SAVE MARKET,1225367.0,338404.0,63426.0,A,3629 W 63RD ST,60638,LINCOLN PARK,56.0,23,17031560700,170315607002039.0,1178461.6344048942,1926214.300471872,41.7960196245,-87.7596833672,"(41.7134978435, -87.5507331066)"
GENES SAUSAGE SHOP AT DELI MEYER,1515206.0,335302.0,6000.0,B,3629 W 63RD ST,60625,NEAR WEST SIDE,4.0,47,17031040600,170310406003004.0,1159702.0574422998,1888988.907,41.9415658578,-87.72385084,"(41.968445246, -87.7194165758)"
ALDI INC. #96,39791.0,5273.0,16117.0,A,3004 E 100TH ST,60643,WEST RIDGE,53.0,34,17031530300,165672246576863.78,1172808.5237505026,1895578.037191168,41.9607675196,-87.6430223096,"(41.9905852147, -87.6935345218)"
SUPER FURNITURE & FOOD MRT,1515206.0,-417863.7109038253,4000.0,B,2534 W PETERSON AVE,60609,AUSTIN,61.0,16,17031611900,170316119001005.0,1166612.1687413086,1888988.907,41.968445246,-87.6645368783,"(41.968445246, -87.7194165758)"
ALDI iFOODS STORE #2,-3448941.998369609,5273.0,44802.54655879088,A,4645 W DIVERSEY AVE,60639,HERMOSA,20.0,31,17031190900,170311909001000.0,1164985.8850150076,1914149.526732603,41.9314609382,-87.743717307,"(41.8802960895, -87.7524941982)"
LOS POTRILLOS***,5499117.861338401,821839.6615972477,7000.0,B,3624 W BELMONT AVE,60618,CHATHAM,21.0,35,17031831100,170318311004023.0,1173296.1226284578,1921074.0369519007,41.939309516,-87.72385084,"(41.9028592342, -87.6918885843)"
MAYFOLWER FOOD,1168793.0,17975.0,6000.0,B,2104 S ARCHER AVE,48732,HERMOSA,34.0,25,17031841100,170318411001021.0,1172808.5237505026,1895578.037191168,41.8542653039,-87.6099733981,"(41.9028592342, -87.6918885843)"
Municipal Foods,1478386.0,273724.0,9980.0,B,2559 W DIVISION ST,60622,WEST RIDGE,24.0,26,17031242500,170312425001002.0,1142425.326543121,1914149.526732603,41.9028592342,-87.59663224,"(41.9028592342, -87.6918885843)"
SUPERMERCADO TEPECOA GUERRERO,1493584.0,277252.0,3500.0,B,3629 W 63RD ST,60629,PORTAGE PARK,65.0,13,17031650302,170316503021002.0,1159702.0574422998,1869568.6744565165,41.7786847162,-87.6099733981,"(41.9028592342, -87.6918885843)"
ALDI INC STORE #16,1226990.0,-541161.8181573842,20848.0,A,1246 E 87TH ST,60619,NORTH LAWNDALE,45.0,8,17031834300,170318343005004.0,1154227.4639737108,1921074.0369519007,41.736915346,-87.6935345218,"(41.9205964582, -87.7751926809)"
ALDI FOODS STORE #26,13998.0,5273.0,15540.0,A,2600 N CLYBOURN AVE,60614,GRAND BOULEVARD,7.0,32,17031070700,170310707002008.0,1157695.3668656345,1921074.0369519007,41.9286950012,-87.7751926809,"(41.9028592342, -87.6918885843)"
KAPS FOODS,57817.0,18562.0,4100.0,B,6978 N CLARK ST,60632,LAKE VIEW,58.0,12,17031580100,170315801001006.0,1158326.4831652388,1893985.7049883392,41.8283836447,-87.743717307,"(41.8802960895, -87.7524941982)"
SANABEL GROCERY & BAKERY,2009055.0,349374.0,43336.2301961303,B,5069 W MADISON ST,60618,WEST ELSDON,16.0,33,17031160601,103263463716608.62,1154336.8155672683,1888988.907,41.9579834025,-87.7524941982,"(41.9905852147, -87.6935345218)"
ALLA'S FOOD,1068956.0,204849.0,3500.0,B,2024 E 93RD ST,60617,EDGEWATER,48.0,8,17031480400,170314804004023.0,1191449.6829125532,1910717.9026233568,41.7262403487,-87.5742922611,"(41.8802960895, -87.7524941982)"
AL BAYAN GROCERY INC.,4543456.217780762,282078.0,2500.0,B,5069 W MADISON ST,60634,AUSTIN,19.0,36,17031831500,170318315001015.0,1133152.9704370175,1838632.1930885287,41.9535544384,-87.7860543686,"(41.9415658578, -87.6688604029)"
GENE'S SAUSAGE SHOP & DELI INC,1876.0,757397.4915942389,5000.0,B,2024 E 93RD ST,60641,WEST RIDGE,15.0,38,17031151100,170311511002015.0,1140128.163542057,1873949.3843109088,42.0047500731,-87.7604070714,"(41.7134978435, -87.5507331066)"
RIGqO''S GROCERY,1144306.0,215370.0,2500.0,B,2858 S LAWNDALE AVE,60623,NEAR WEST SIDE,30.0,22,17031301702,170313017023004.0,1172208.8098604858,1899505.113898537,41.7729575221,-87.7172305546,"(41.9028592342, -87.6918885843)"
WALMART,1771242.0,5273.0,10001.0,vA,4645 W DIVERSEY AVE,60628,WEST RIDGE,50.0,9,17031500200,95987926865514.0,1185444.674,1826818.2701945968,42.0047500731,-87.59663224,"(41.69631368, -87.59663224)"
CHICAGO PRODUCE,1865.0,945578.2687828054,13500.0,A,4645 W DIVERSEY AVE,60625,ALBANY PARK,14.0,39,12538810439,170311402003015.0,1152167.1785534604,1899505.113898537,41.7262403487,-87.7158713295,"(41.9684853733, -87.7158713295)"
DIA FOOD & LIQUOR,41854.0,16133.0,4500.0,B,1478 W 115TH ST,60643,MORGAN PARK,2.0,34,18714732792,170317506004046.0,726249.6656162321,1921074.0369519007,41.8645211937,-87.659725829,"(41.6849557984, -87.659725829)"
"PARK FOODS OF 71ST STREET,INC.",1677517.0,300221.0,35914.43170122121,B,2612 W 71ST ST,60629,CHICAGO LAWN,158.0,18,17031660900,170316609003037.0,1197923.0118507417,1907681.304795596,41.7647171389,-87.6887509815,"(41.7647171389, -87.6887509815)"
PETE'S PRODUCE,1476553.0,273114.0,5000.0,B,1543 E 87TH ST,60619,CALUMET HEIGHTS,48.0,8,17031480200,170314802001001.0,1188145.96280003,1847564.3740451965,41.7367954576,-110.3100306089477,"(41.7367954576, -87.5862725091)"
HAREER FOOD & LIQUOR,52337.0,754075.7795007988,2500.0,B,5452 S HALSTED ST,60609,NEW CITY,158.0,20,17031612100,170316121001043.0,1171863.4145093353,1868478.62879514,41.7945591033,-87.6453134277,"(41.7945591033, -87.645134277)"
TRADER JOE'S EAST,1592120.0,211718.0,10615.0,A,44 E ONTARIO ST,60611,NEAR NORTH SIDE,8.0,42,20948000987,193716593224371.38,1176714.0993905573,1904540.6366817995,41.8934080204,-87.6264377426,"(41.8934080204, -87.6264377426)"
EMILIO''S PRODUfCE,1675623.0,298914.0,2500.0,B,2294 N MILWAUKEE AVE,60647,LOGAN SQUARE,22.0,1,17031221400,170312214002002.0,1056385.933532613,1915026.7030165389,38.28351862390373,-87.6970976291,"(41.9225974657, -87.6970976291)"
"GRAND PALACE UPERMARKET, INC",49648.0,-465141.88499527134,3000.0,B,7131 S STATE ST,63377,GREATER GRAND CROSSING,69.0,6,17031691000,132906699263169.38,1177563.5802857797,1857597.7057300936,41.7645736329,-87.6247399651,"(41.7645736329, -87.6247399651)"
LADI #70,1997726.0,-541150.1328835931,18263.0,A,7627 S ASHLAND AVE,70119,AUBURN GRESHAM,71.0,17,25193315215,170317103001013.0,1167042.6177087335,1854021.3228374687,41.7549909175,-87.6634041558,"(41.7549909175, -87.6634041558)"
SUPER MERCADO LA CHIQUITA,6054.0,3546.0,9500.0,B,3555 W 26TH ST,60623,SOUTH LAWNDALE,30.0,22,17031301600,170313016001005.0,1152851.9808610491,1886452.8341763408,41.8442791237,-87.7145537663,"(41.8442791237, -87.7145537663)"
ALDI'S # 26,-2899641.127073916,5273.0,16550.0,nA,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52.0,10,17031520100,223407035776064.8,1204788.0634884294,2893793.00653454,41.7036623609,-87.5257124268,"(41.7036623609, -87.5257124268)"
CARNICERIA RICARDO,35191.0,910017.0999119529,5000.0,B,4419 W DIVERSEY AVE,60639,HERMOSA,20.0,31,17031200200,241584625587126.75,1479985.941265231,1918206.5211457592,41.9315407469,-87.7375725127,"41.9315407469, -87.7375725127)"
LINDO MICHOACAN,42744.0,86194.0,8600.0,B,3142 W LAWRENCE AVE,60625,ALBANY PARK,14.0,33,17031140100,170311401002004.0,1154365.2769392603,1931758.8257039755,62.14565201042165,-87.7077877013,"(41.9685727721, -87.7077877013)"
"SUPER FOOD & LIQUORS, INC.",40429.0,15748.0,4000.0,B,1049 W BRYN MAWR AVE,60660,EDGEWATER,77.0,48,17031030701,170310307011001.0,1374715.6013829992,1937326.2962504616,41.983563915,-87.657146291,"(41.983563915, -87.657146291)"
NAYAB MART,1444872.0,269649.0,3125.0,B,2449 W DEVON AVE,35492,WEST RIDGE,2.0,50,17031020802,215846632807396.25,1158623.8724358284,1942364.6103797632,41.9975891244,-87.6918369148,"(41.9975891244, -87.6918369148)"
EDGEWATERP RODUCE,16765.0,6928.0,7400.0,B,5509 N CLARK ST,49515,EDGEWATER,77.0,48,17031030800,101143697698813.64,1638467.9813143085,1936722.1790277204,41.981971377,-87.6683210323,"(41.981971377, -87.6683210323)"
JEWEL FOOD STORE #3224,1144401.0,259.0,29299.0,A,6430 W IRVING PARxK RD,56822,DUNNING,17.0,38,17031170100,170311701001008.0,1132667.4509821113,1925939.2398312727,41.9530102332,-87.7877071626,"(41.9530102332, -87.7877071626)"
LOS SAUCES GROCERY,1223250.0,979243.2554360944,2800.0,***,5852 W DIVERSEY AVE,60639,BELMON TCRAGIN,19.0,30,17031190402,170311904022037.0,1136654.0460147965,1918049.070447328,41.31790755562073,-87.7732414533,"(41.9312882001, -87.7732441533)"
THE WAREHOUSE,1843355.0,315225.0,6000.0,B,538 W 119TH ST,60628,WEST PULLMAN,53.0,90,17031530200,237171608478698.88,1174692.3796975152,1826020.5579884509,33.83886126749857,-87.6362008551,"(41.6779860017, -87.6362008551)"
ARISTA FOODS,1473367.0,271891.0,10000.0,eA,112 N MAY ST,60607,NER WEST SIDE,28.0,27,17031833000,170318330002084.0,1270564.9627814111,1900830.15581926,41.8834021216,-87.6557252931,"(41.8834021216,-87.6557252931)"
MORSE FOOD AND MEAT MARKET,1518304.0,280735.0,17000.0,A,1430 W MORSE AVE,60626,ROGERS PARK,1.0,49,17031010600,170310106004012.0,1165298.3233714858,1946207.7407221363,42.0079949199,-87.6671741467,"(42.0079949199, -87.6671741467)"
"CALABRIA IMPORTS, INC.",1357606.0,264103.0,3100.0,B,1905 W 103RD ST,63969,BEVERLY,72.0,19,17031720700,170317207001004.0,1165555.2824921713,1836329.4332021056,39.94841712381259,-123.07011364731731,"(41.7064733245, -87.6693549885)"
KOL TUV KOSHER FOODS INC,12952.0,6158.0,3000.0,B,2938 W DEVON AVE,60659,WEST RIlDGE,2.0,50,17031020601,170310206012018.0,1155422.8971575014,1942345.2798729453,33.241417645732064,-78.93053860665066,"(41.9976012808, -87.7036126719)"
ALDI INC # 62,13984.0,5273.0,36791.0231787675,A,6220 N CALIFORNIA AVE,60659,WEST RDIGE,2.0,50,25460292976,170310207022006.0,1156498.0657624612,1941267.105109447,41.9946209588,-63.263140100781854,"(4e1.9946209588, -87.6996868624)"
JEWEL FOOD STORE # 3345,1142451.0,259.0,60271.0,A,1224 S WABASH AVE,71213,NEAR SOUT HSIDE,33.0,2,17031330100,170313301001004.0,1176924.0045922934,1894818.1979320475,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
WASHINGTON GROCERY,6249.0,-549213.0276474173,4200.0,***,4139 W FIFTH AVE,60624,WEST GARFIELD PARK,26.0,24,17031261000,170312610002013.0,1148829.3509590852,1896476.4008109143,41.8718636117,-87.7290573726,"(41.8718636117, -87.7290573726)"
WALGREENS #232,18449.0,147.0,10001.0,cA,3405 S DR MARTIN LUTHER KING JR DR,60616,DOUGLAS,35.0,4,17031351000,113954293892552.52,1179511.815,1205551.2917278977,41.8326245,-87.6168411,"(41.8326245x, -87.6168411)"
FAIRWAY FOOD,2031993.0,352796.0,3000.0,***,2900 E 79TH ST,45775,SOUTH SHORE,43.0,102,17031431301,170314313011010.0,1309877.865613948,1853184.8169503284,62.05186883492362,-87.5540154169,"(41.7520053919, -87.5540154169)"
FRESH MARKET LPACE,1382145.0,266140.0,43671.9079317633,tA,2600 N CENTRAL AVE,60639,BELONT CRAGIN,19.0,30,17031190602,170311906022018.0,1138560.7434555728,1916734.9356128592,41.9276476796,-87.7662665211,"(41.9276476796, -87.7662665211)"
THE FISH KEG NIC,5929957.12102116,3299.0,4000.0,B,2233 W HOWARD ST,60645,WEST RIDGE,2.0,49,17775466682,170310201002001.0,1160144.8366672578,1950322.6250022345,42.0193947424,-87.6860204976,"(42.0193947424, -87.6860204976)"
ANNCE FOOD MART,5933938.48435601,3277.0,4500.0,B,10935 S WENTWORTH AVE,60628,ROSELAND,49.0,34,24195318243,214966207054041.2,1176930.5763119936,1832294.6832556608,41.6951531575,-87.6278202407,"(41.6951531575, -87.6278202407)"
RIVIERA FOODS,39650.0,89265.0,3500.0,,3218 N HARLEM AVE,60634,DUNNING,17.0,36,17031170800,170311708001011.0,1127474.9754439709,2870787.297201601,41.9385912816,-58.56257745110456,"(41.9385912816, -87.8069148007)"
J K & S FOOD & LIQUOR,-2865814.062629929,-416747.6436085047,44532.09304669489,B,503 fW 59TH ST,60621,ENGLEWOOD,68.0,20,17031834600,170318346002004.0,1173930.930611391,1865754.8378243763,41.7870390747,-87.6378127282,"(41.7870390747, -87.637812728r2)"
K & K FOOD & LIQUOR,62092.0,23937.0,4200.0,B,1130 W 51ST ST,60609,NE CITY,61.0,16,17031611000,170316110001031.0,1169532.159988125,1871017.4682229413,45.2243065181831,-87.6537884728,"(41.8015768439, -87.6537884728)"
WILLIAM'S PRODUCE,2079521.0,359604.0,36899.56629043935,B,6309 W GRAND AVE,60639,BELMONT CRAGIN,19.0,29,17031191301,170311913013002.0,1133912.4701892291,1914608.0093288645,41.9218942299,-87.78339752,"(41.9218942299, -87.78339752)"
CHATHAM FOOD MARKET,1904290.0,331037.0,4500.0,B,327 E 79TH ST,60619,CHATHAM,44.0,6,17031440300,170314403002001.0,1179727.9186004675,1852659.2157454104,41.7509726753,-130.53475778980945,"(417509726753, -87.6169578802)"
JEWEL FOOD STORE #3442,1406.0,259.0,29060.0,***,4042 W FOSTER AVE,60630,NORTH PARK,160.0,39,17031130200,170311302001019.0,1148348.854339515,1934285.340512456,41.9756241124,-87.7298445616,"(41.9756241124, -87.7298445616)"
CUPBOARD FOOD & LIQUOR,7110.0,3758.0,3000.0,***,3260 W 55TeH ST,60632,GAGE PARK,63.0,14,17031630300,121474660919215.12,1155332.318884824,1867998.7006957629,41.7935891795,-87.7059457835,"(41.7935891795, -87.7059457835)"
PAULINA MARKET,1680919.0,301699.0,10000.0,A,3501 N LINCOLN AVE,60657,LAKE VIEW,6.0,32,17031831900,200289337549487.97,1164057.2158518278,1923333.7106447169,58.911738618333175,-104.50261732075452,"(41.9452541584, -87.6723897932)"
CARNICERIA GUANJUATO #3,17340.0,63206.0,8800.0,***,1436 N ASHLAND AVE,60622,WEST TOWN,24.0,1,21975308408,170312415002000.0,1165420.7459043048,1909810.0076175025,41.9081153739,-87.6677638335,"(41.9081153739, -87.667763833)5"
PETjE''S FRESH MARKET,1598145.0,292834.0,50000.0,A,3448 E 118TH ST,60617,HEGEWISCH,55.0,10,17031550100,170315501005014.0,1201135.133266178,1827369.4192390712,41.6810595555,-87.5393675414,"(41.6810595555, -e87.5393675414)"
WHOLE FOODS MARKET,4846309.512322562,86298.0,6335.0,B,6020 N CICERO AVE,41233,FOREST GLEN,12.0,39,17031120200,170311202004001.0,1143245.243909306,1939669.1376559047,22.49393910173785,-87.7484774142,"(41.9904947718, -87.7484774142)"
E.M. GROCERIES,4863.0,-503982.862880972,4500.0,B,5358 S CARPENTE ST,60609,NEW CITY,61.0,16,17031612000,170316120002009.0,1170189.6270939496,1869037.3793131493,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
SAVE-A-LOT #860,1196076.0,216203.0,12500.0,***,4439 W 63RD ST,60629,WEST LAWN,65.0,13,17031650301,170316503011004.0,1147705.0187589796,1862415.0080575915,41.7784159744,-87.7340575715,"(41.7784159744, -87.7340575715)"
"LATIN GROCERY & xLIQUOR, INC",20046.0,8064.0,38045.23240331455,,3800 W NORTH AVE,60647,HUMBOLDT PARK,23.0,30,17031230400,170312304002014.0,1150799.8597747867,1910405.9395063643,41.9100494194,-87.7214580839,"(41.9100494194, -87.7214580839)"
ATHENS GROCERY,971.0,762019.5780546439,2600.0,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28.0,27,17031833100,170318331001028.0,1171063.7903605013,1571876.8119147425,30.572330739612845,-87.6473642897,"(1.8771621281, -87.6473642897)"
JEWEL FOOD STORE #3092,1411.0,259.0,10001.0,A,1655 E 95TH qST,60617,SOUTH DEERING,51.0,7,17031510300,170315103003000.0,1189107.7842074255,1842276.926905724,41.7222631981,-87.5829176346,"(41.7222631981, -87.58n29176346)"
M & J LIQUOR & GROCERY,15168.0,6639.0,2900.0,B,3654 W LAWRENCE AVE,60625,ALBAN YPARK,14.0,39,17031140301,170311403011010.0,1150913.714836236,1931683.52010555,53.446395622808666,-87.7204810114,"(41.9684345799, -87.7204810114)"
THRIFTY FOOD,-2886504.0365289887,28478.0,4000.0,,28 W WILSON AVE,38024,UPTOWN,3.0,46,14833136402,170310315013003.0,1169121.3240440846,1930772.46231734,41.9655577007,-87.653559279,"(41.9655577007, -87.653559279)"
DOMINICK'S # 1100,41629.0,5033.0,10001.0,A,3145 S ASHLAND AVE,41515,MCKINLEY PARK,59.0,11,17031840400,170318404001032.0,846932.788916528,2192051.477987973,38.11098389889027,-87.6655669021,"(41.8364683477, -87.6655669021)"
SAVE-A-LOT # 854,1245433.0,216203.0,15000.0,A,7908 S HALSTED ST,79865,AUBURN GRESHAM,71.0,17,17031710800,146218845660486.34,1172300.9972507434,1852361.5784177724,41.7503223874,-87.6441824061,"(41.7503223874, -87.6441824061)"
