namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
"1505 obert C Blakes, SR Dr","1505 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3.0,17.83184892561207,11/23/2022 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3678744.34,525748.2
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4.0,12.376951450212577,08/03/2023 11:59:59 PM,"(29.9866826216343, -90.0740679473453)",3679476.18,542841.14
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2.0,-5.895757122309639,10/05/2023 11:59:59 PM,"(29.9400437303138, -90.0763258633901)",3476487.6375659048,525872.33
65 S Tonti St,635 S Tonti St,Short Term Rental Commercial Owner,5.0,13.560593169627223,08/03/2023 11:59:59 PM,"(29.9584777626975, -90.0884417219926)",3675037.53,532533.74
1524 Baronne St Apt 3A,1524 Baronne St Apt 3A,Short Term Rental Commercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9398281588895, -90.0780858356214)",3678390.96,525787.83
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,6.214683173987043,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",-1.0,-1.0
2101 Josephine St,2101 Josephine St,Short Term Rental Residential Owner,3.0,17.325057359807236,06/m06/2023 11:59:59 PM,"(29.9390459458805, -90.0832178314099)",3676768.74,525485.62
1300 Socrates St,1300 Socrates St,Short Term Rkental Residential Owner,3.0,6.0,07/31/2023 11:59:59 PM,"(29.9412293969983, -90.0432492047549)",3689418.1,526419.91
1831 Hastings Pl,1831 Hastings l,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3679891.36,522748.95
1810 Oretha Castle Haley Blvd,810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 PM,"(29.938697391877, -90.0808102249235)",3677532.63,525367.2
623 S Lopez St,623 S Lopez St,Short Term Rental Caommercial Owner,3.0,12.02836442348416,01/10/2023 11:59:59 PM,"(29.9638868266176, -90.0966842992805)",4513212.874419714,534472.42
2507 Bell St,2507 Bell St,Short Term Rental Commercial Owner,3.0,6.0,11/30/2022 11:59:59 PM,"(29.9761822368874, -90.07695623226u83)",3678603.76,539011.45
114 Atlantic Ave,114 Atlantic Ave,Short Term Rental Commercial Owner,4.0,8.0,01/10/2023 11:59:59 PM,"(29.954212704992, -90.0446844076652)",3688910.48,531135.76
4849 Tbchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9167424256402, -90.1071431769029)",3669278.21,517293.36
645 S Dupre St,645 SDupre St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.962378620123, -90.0942223278573)",3673191.79,533932.4
2000 Burgundy St Ste 202,2000 Burgund ySt Ste 202,Short Term Rental Commercial Owner,2.0,15.426573035126587,01/10/2023 11:59:59 PM,"(29.9662944684438, -90.0590269049589)",3684319.96,535478.57
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2.0,-5.268010728078915,08/02/2023 11:59:59 PM,"(29.9410719890831, -90.1p038509996286)",3670226.17,526151.66
643 S Dupre St,643 S Dupre St,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 11:59:59 PM,"(29.962399439586, -90.0942079204103)",3673196.27,533940.02
722 S Lopez St,722 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/2022 11:59:59P M,"(29.9626657099309, -90.0971395039716)",3672266.99,534026.82
4813 uJlia St,4813 Julia St,Short Term Rental Commercihal Owner,3.0,6.0,03/21/2023 11:59:5 PM,"(29.9764028434338, -90.1113335966288)",1909981.38995574,424778.1704709991
2317 Gravier St,2317 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9588130149914, -90.0872012291817)",4626090.340658484,532659.92
8122 Jennette St,8122 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(29.9497652996354, -90.1280615241081)",4400421.3330389485,529231.42
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rntal Commercial Owner,1.0,2.0,10/11/2023 11:59:59 PM,"(29.9671244420776, -90.0572472559387)",3684880.07,535786.65
1524 Baronne St Apt 2B,1524 aronne St Apt 2B,Short Temr Rental Commercial Owner,3.0,6.0,01/11/20h23 11:59:59 PM,"(29.9398435443459, -90.0781160174843)",3678381.34,276515.25173317554
"1817 Martin Luther King, Jr Blvd","1817 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9408289824332, -90.0783152735474)",3819805.1291030343,526150.97
3102 Esplanade Ave,3102 Esplanade Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.979445631573, -90.0835752864682)",3676495.3,540175.23
211 Pelican Ave***,211 Pelican Ave,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9513745008304, -9d0.0538897261756)",2963536.983023657,530071.25
724 S LopezS t,724 S Lopez St,Short Term Rental Commercial Owner,3.0,6.0,12/16/2022 11:59:59 PM,"(29.9626418798905, -90.0971525269372)",3672262.96,534018.11
1324 Fraknlin Ave,1324 Franklin Ave,Short Term Rental Commercial Ownre,2.0,4.0,10/12/2023 11:59:59 PM,"(29.9714859874128, -90.0497140180421)",3687247.45,537399.31
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1.0,2.0,0/801/2023 11:59:59 PM,"(29.9642917017947, -90.0514300421748)",3686733.42,534777.12
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,08/0u3/2023 11:59:59 PM,"(29.9586147368508, -90.088319341405)",3675075.74,532583.97
1604 Prytania St,1604 Prytania St,Short Term Rental Commercial Owner,5.0,10.0,03/21/2023 11:59:59 PM,"(29.9372910692434, -90.0747617942331)",3679453.83,524876.8
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1.0,2.0,03/l20/2023 11:59:59 PM,"(29.930427931871, -90.0572953725142)",2458798.099868741,522379.26
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2.0,4.0,08/02/2023 11:59:59 PM,"(29.9361881474987, -90.0798104444628)",3677859.25,823938.8257768396
838 Valence St,838 Valence St,Short Term Rental Commercial Owner,1.0,2.0,08/40/2023 11:59:59 PM,"(29.9203668268692, -90.1051341769041)",3669900.49,518618.14
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2.0,4.0,08/03/2023 11:59:59 PM,"(29.9388496615006, -90.0807093580153)",5241905.823483426,525422.92
1027 Delachaise St,1027 Delachaise St,Short Term Rental Commercial Owner,2.0,4.0,08/04/2023 11:59:59 PM,"(29.9222617299819, -90.0897460818907)",3837847.401187457,519359.77
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1.0,2.0,07/22/2023 11:59:59 PM,"(29.941553355964, -90.0732799291885)",3679906.11,526431.88
1309 St Anthony St,1309 St Anthony St,Short Term Rental Residential Owner,1.0,2.0,07/28/2023 11:59:59 PM,"(29.9695456048789, -90.0615639211484)",3683503.57,536651.88
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1.0,2.0,07/31/2023 11:59:59 PM,"(29.947603200391, -90.1205877466746)",3664900.49,528470.17
b833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4.0,8.0,10/10/2023 11:59:59 PM,"(29.9457580045404, -90.0746858892747)",3679444.05,527955.95
4853 Tchoupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2.0,-5.718207467470416,03/24/2023 11:59:59 PM,"(29.9167336138687, -90.1072363155933)",3669248.74,517289.84
1018 Third St,101 Third St,Short Term Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.9265628642372, -90.0806012997907)",3677647.04,410802.0000868419
2427I berville St,2427 Iberville St,Short Term Rental Residential Owner,2.0,4.0,07/31/2023 11:59:59 PM,"(29.9647071287253, -90.0837190697134)",3676508.23,534815.25
5444 Durham Dr,5444 Durham kDr,Short Term Rental Residential Owner,5.0,10.0,05/f16/2023 11:59:59 PM,"(29.920072c176059, -89.9966939616468)",3704251.78,518895.44
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2.0,4.0,08/18/2023 11:95:59 PM,"(29.9861617021688, -90.0616040310795)",5263464.103742094,542693.98
1829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2.0,4.0,08/01/2023 11:59:59 PM,"(29.9738228497284, -90.0347754014366)",3691967.42,538302.37
643 S Tonti St,643 S TontiS t,Short Term Rental Commercial Owner,5.0,10.0,08/03/2023 11:59:59 PM,"(29.9583625598951, -90.0885457662594)",3675005.04,532491.49
113 S Salcedo St,113 S Salcdo St,Short Term Rental Residential Owner,6.246474502850167,2.0,08/02/2023 11:59:59 PM,"(29.9679277329307, -90.0917975505273)",3673937.69,535958.58
2319 Gravier St,2319 Gravier St,Short Term Rental Commercial Owner,2.0,4.0,01/10/2023 11:59:59 PM,"(29.9588350886875, -90.0872351559651)",3675418.17,532667.83
849 Alvar St,849 Alvaar St,Short Term Rental Commercial Owner,5.0,10.0,11/29/2022 11:59:59 PM,"(29.9635173968351, -90.0369461204055)",1839503.0274878812,534547.15
855 Baronne St Unit 4D,855 Baronne St Unit 4D,Short Term Rental Commercial Owner,3.0,6.0,01/10/2023 1:59:59 PM,"(29.9452158624, -90.0748345709834)",3679399.13,527758.29
1833 Hastings Pl,1833 Hastings Pl,Short Term Rental Commercial Owner,2.0,4.0,01/12/2023 11:59:59 PM,"(29.9314127938002, -90.0734709758308)",2891273.90942652,522743.74
4100 St Peter St Apt 2B,4100 St Peter St Apt 2B,Short Term Rental Commercialk Owner,1.0,2.0,01/09/2023 11:59:59a PM,"(29.9790691897163, -90.0964163599363)",4078088.150572996,616634.0802258011
1524 Baronne St Apt 1A,1524 Baronne St Apt 1A,Short Term Rental Commercial Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9398852584073, -90.0781733071033)",3678363.03,525808.29
1330 Prytania St Apt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.93910971305, -90.0373582405997)",3679891.08,525543.01
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5.0,10.0,03/15/2023 11:59:59 PM,"(29.9387652695717, -90.0807590426233)",3677548.57,525392.06
620 N Pierce St,620 N Pierce St,Short Term Rental Commerciaml Owner,3.0,4.0,08/04/2023 11:59:59 PM,"(29.9779385551837, -90.09551k4601558)",3672721.49,539586.17
1438 N Claiborne Avbe,1438 N Claiborne Ave,Short Term Rental Cmmercial Owner,5.0,10.0,01/11/2023 11:59:59 PM,"(29.9699320369842, -90.0676573264579)",3681572.79,536771.04
1040 Marigny St,1040 Marigny St,Short Termx Rental Commercial Owner,3.0,-4.716132873153008,01/07/2023 11:59:59 PM,"(29.9683446718947, -90.0556404613279)",3685383.86,536236.04
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Short Term Rental Commercial Owner,3.0,6.0,10/07/2023 11:59:59 PM,"(29.9419771752916, -90.0721996382078)",3556795.100752959,526589.76
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercialo Owner,1.0,13.168144344442254,10/11/2023 11:59:59 PM,"(29.9510922496741, -90.0716785218728)",3680375.08,529906.15
1324 Clouet St,1324 Clouet St,Short Term Rental Residential Owner,2.0,4.0,08/30/2023 02:31t:01 PM,"(29.9701288262259, -90.0435586485958)",3689201.81,536927.68
1524 Baronne St Apt 2C,1524z Baronne St Apt 2C,Short Term Rental Commercial Owner,6.546403657677065,16.531474019883042,01/11/2023 11:59:59 PM,"(29.9398345561541, -90.0780991746326)",4254194.954477121,525790.11
4025 Pitt St,4025 Pitt St,Short Term Rental Residential Owner,1.0,2.0,10/18/2023 01:11:27 PM,"(29.926099960717, -90.0981144822989)",4206341.874165935,520726.72
1524 Baronne St Apt2 A,1524 Baronne St Apt 2A,Short Term Rental Commercial Owner,4.0,8.0,01/11/2023 11:59:59 PM,"(29.9398614040691, -90.0781403583901)",3678373.56,525799.73
3109 Lafitte Ave,3109 Lafitte Ave,Short Term Rental Commercial Owner,3.0,6.0,12/17/2022 11:59:59 PM,"(29.9718720054666, -90.0886616921032)",3674914.97,537403.64
6399 West End Blvd,6399 West End Blvd,Short Term Rental Residential Owoner,3.0,17.061701487423555,10/11/2023 12:37:11 PM,"(30.0076810893974, -90.1142226970163)",3666683.74,550338.26
4100 St Peter Stp Apt 2A,4100 St Peter Sdt Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,01/09/2023 11:59:59 PM,"(29.9790585780278, -90.096303685695)",3672439.84,778617.8300709225
2138 Farragut St,2138 Farragut St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9320048813942, -90.034443768125)",3692244.79,523097.06
621 S Lopez St,61 S Lopez St,Short Term Rental Commercial wner,2.0,4.0,01/10/2023 11:59:59 PM,"(9.9639137125841, -90.0966628687184)",2575783.994118277,534482.27
2221 gDelachaise St,2221 Delachaise St,Short Term Rental Residrential Owner,2.0,4.0,02/16/202 11:59:59 PM,"(29.9338620251326, -90.0952765532294)",3672970.03,523559.09
2009 Elysian Fields Ave,2009 Elysian Fields Ave,Short Term Rental Residential Owner,2.0,4.0,10/09/2023 10:59:09 AM,"(29.9779717900254, -90.0572560413245)",3684833.36,663986.4475726648
628 Baronne St Apt 204,628 Baronne St Apt 204,Short Term Rental Commercial Owner,2.0,4.0,11/13/2023 11:59:59 PM,"(29.948233870762, -90.0734232796303)",3679834.0,528860.66
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4.0,8.0,03/21/2023 11:59:59 PM,"(29.9171698388745, -90.102039474674)",3670893.28,517466.12
337M organ St Apt B,337 MorganS t Apt B,Short Term Rental Commercial Owner,2.0,4.0,03/22/2023 11:59:59 PM,"(29.9545222352273, -90.0528494476073)",3686323.7,531219.56
1920 Elysan Fields Ave,1920 Elysian Fields Ave,Short Term Rental Residential Owfner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9771241994762, -90.0578615108104)",3482615.111731496,539420.77
CASA PELICAN LLC,712 PELICAN ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.5177991n34252)",3974313.0031659584,-1.0
4108 Laurel St,4108 aLurel St,Short Term Rental Residential Owner,3.0,6.0,08/01/2023 11:59:59 PM,"(29.9189090638201, -90.098101877847)",3672133.8,518111.99
334 Carondelet St Usnit 204,334 Carondelet St Unit 204,Short Term Rental Commercial Owner,1.0,17.658806549037603,08/25/2023 11:59:59 PM,"(29.9509843209015, -90.0713097830678)",3680492.28,529868.19
1666 N Claiborne Ave,1666 N Claiobrne Ave,Short Term Rental Commercial Owner,4.0,8.0,11/14/2023 11:59:59 PM,"(29.9727775594953, -90.0638881425463)",3682754.68,419421.4733064423
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owenr,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9167399094097, -90.1071918538681)",3669262.8,517292.28
1429 N Claiborne Ave Apt J,1429 N Claiborne Ave Apt J,Short Term Rental Commercial Owner,2.0,4.0,11/15/2023 11:59:59 PM,"(29.9703181280963,v -90.0686491535333)",3681257.22,536907.97
301 Magazine St Apt 201,301 Magazine St Apt 201,Short Term Rental Commercial Owner,2.0,4.0,11/17/2023 11:59:59 PM,"(29.9504303913347, -90.0678512564408)",3055517.780933233,529678.84
1316 Frenchmen St,1316 Frenchmen St,Short Term Rental Residential Owner,1.0,2.0,11/14/2023 11:59:59 PM,"(29.9f709216323911, -90.0584303483362)",3684490.12,443963.392987296
2036 Magazine St Apt 2,2036 Magazine St Apt 2,Short Term Rental Commercial xOwner,3.0,6.0,03/20/2023 11:59:59 PM,"(29.9304079415996, -90.0752783544609)",3314645.6190352933,522372.05
2709 Dryades St,2709 Dryades St,Short Term Rental Residential Owner,6.417912933822571,8.0,07/24/2023 08:26:51 AM,"(29.93386308a623, -90.0873379043232)",3675484.38,523586.73
2363 N Villere St,2363 N Villere St,Short Ter mRental Residential Owner,1.0,2.0,10/25/2023 03:53:59 PM,"(29.9719262377724, -90.0529637740574)",3686216.78,537547.89
3125 Toulouse St,325 Toulouse St,Short Term Rental Residential Owner,2.0,4.0,10/23/2023 08:40:42 AM,"(29.9726291155319, -90.08829371808)",3675028.48,667094.7327069023
6212 Spain St,621 Spain St,Short Tverm Rental Residential Owner,1.0,2.0,11/17/2023 11:59:59 PM,"(3.0227777172931, -90.0577233309152)",3684504.04,446188.23993819737
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1.0,2.0,03/24/2023 11:59:59 PM,"(29.9497416421647, -90.1280336736565)",3662534.33,529222.91
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Oner,2.0,4.0,03/24/2023 11:59:59 PM,"(29.9167322670229, -90.1072835892031)",3669233.77,664928.5022774631
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.962790798091, -90.0576065708806)",3684783.85,534209.51
4110 Piedmont Dr,4110 Piedmont Dr,Short Term Rental Residential Owner,1.0,-4.528630936010854,05/04/2023 11:59:59 PM,"(30.0000069456629, -90.0565938504072)",3684953.73,693262.3599312769
3927 Eagle St,3927 Eagle St,Short Term Rental Residential Owner,1.0,2.0,06/29/0223 11:59:59 PM,"(29.9718858107843, -90.1142422770472)",2456007.297365478,537321.59
529 Third St,529 Third St,Short Term Rental Commercial Owner,5.0,-5.359807128810267,11/04/2022 11:59:59P M,"(29.9226138700744, -900772717903392)",3678717.39,519530.92
3412 Prytania St,412 Prytania St,Short Term Retal Commercial Owner,4.0,8.0,05/04/2023 11:59:59 PM,"(29.9266152071781b, -90.0911872950686)",3674293.76,520937.9
2260 St Claude Ave,2260 St Claude Ave,Short Term Rental Commercial Owner,5.0,10.0,05/04/2023 11:59:59 PM,"(29.9685699212186, -90.0549520686664)",3685600.9,356367.4137287686
517 Port St Apt 2A,517 Port mSt Apt 2A,Short Term Rental Commercial Owner,1.0,2.0,04/29/2023 11:59:59 PM,"(29.9633860900035, -90.0507036831149)",3686967.09,534450.38
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Ownre,3.0,6.0,05/04/2023 11:59:59 PM,"(29.9718178231718,d -90.0491496120162)",5237406.849194195,537521.98
504 David St,504 Davi St,Short Term Rental Commercial Ownezr,5.0,-4.664448739854318,04/06/2023 11:59:59 PM,"(29.9782538601549, -90.0981101065092)",3671898.56,539691.96
505 Frnenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,6.227731421402816,2.0,05/02/2023 11:59:59 mPM,"(29.9627907980921, -90.0576065708806)",3684783.85,534209.51
428 Opelousas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2.0,4.0,05/04/2023 11:59:59 PM,"(29.9489492606497, -90.0513173889839)",3128004.900091137,353013.5830656007
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2.0,4.0,06/27/2023 11:59:59 PM,"(30.0170322943235, -90.0521619283327)",3686287.25,553953.02
503 N Salcedo St,503 N Salceddo St,Short Term Rental Commercial Owner,3.0,6.0,01/15/2023 11:59:59 PM,"(29.9717418191k606, -90.0883823650299)",3675003.92,537357.26
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2.0,4.0,05/03/2023 11:59:59 PM,"(29.9281209496619, -90.0749614416878)",3679427.22,521541.52
2224 Marais St Apt 1A,2224 Marais St Apt 1A,Short Term Rental Residential Onwer,2.0,4.0,07/18/2s023 11:59:59 PM,"(29.9694938929712, -90.0559802498644)",3685271.62,637018.0135742706
135 N Clark St,135 N Clark St,Short Term Rental Commercial Owner,3.0,6.0,06/30/2023 11:59:59 PM,"(29.9716928287293, -90.0945446966911)",3673053.1,537318.3
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3.0,6.0,05/11/2023 11:59:59 PM,"(29.9477354491475, -90.0733157664513)",2643649.228911822,528679.79
