characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2005,59.3,6.79,Reporting standards not met.,855465.0,106868.3,Reporting standardsx not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2006,50.7,5.96,Reporting tandards not met.,729407.0,92599.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2007,38.2,5.05,Repotring standards not met.,1096232.0,81164.2,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,32.7,5.07,Reporting standards not met.,1311629.0,79035.4,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2009,28.8,4.93,Reporting standards not met.,1102128.0,77664.9,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,31.7,4.96,Reporting standards not met.,867541.0,80208.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,38.9,5.12,Reportiwng standards not met.,733774.0,83198.6,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,36.6,4.59,Reporting standards not met.,867541.0,75601.7,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,48.6,6.05,Reporting standards not met.,729407.0,87228.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,42.0,5.11,Reporting standards not met.,569840.0,74161.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,46.4,6.19,Reporting stkandards not met.,1008453.0,92189.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,43.1,5.57,Reporting standards not met.,1281270.0,83255.4,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,41.0,4.89,Reporting standards not met.,577855.0,73444.7,Reportin standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,34.8,4.91,Reporting standards not met.,1096232.0,73688.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,44.1,5.51,Reporting standards not met.,729407.0,83241.6,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,37.6,5.05,Reporting standards not met.,1102128.0,78060.2,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,37.8,5.59,Reporting standards not met.,894393.0,85356.8,Reporting standars not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,27.9,4.87,Reporting standardsnot met.,404817.0,74694.3,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,28.2,4.62,Reporting standards not met.,404817.0,72367.6,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,28.6,4.24,Reporting standards not me.,419092.0,65794.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,34.8,4.5,Reporting standards nto met.,526088.0,71784.3,Reporting standards not met.
Total,Female,"White, non-Hispanic",2000,59.8,6.44,Reporting standards not met.,419092.0,118900.0,Reporting standads not met.
Total,Female,"White, non-Hispanic",2001,51.9,5.4,Reporting standards not met.,892484.0,100235.2,Reporting standards not met.
Total,Female,"White, non-Hispanic",2002,58.8,6.77,Reporting standards not met.,1005939.0,120751.8,Reporting standards not met.
Total,Female,"White, non-Hispanic",2003,46.9,5.51,eporting standards not met.,1102128.0,101858.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,46.5,4.91,Reporting standards not met.,815344.0,92202.9,Reporting standards not met.
Total,Female,"White, non-Hispanic",2005,49.7,5.71,Reporting standards not met.,877309.0,108708.0,Reporting standarpds not met.
Total,Female,"White, non-Hispanic",2006,49.4,5.53,Reporting standards not met.,867541.0,103037.6,Reporting standards not met.
Total,Female,"White, non-Hispanic",2007,43.9,5.36,Reporting standards notk met.,1347732.0,99661.5,Reporting standards not met.
Total - Male,Female,"White, non-Hispanic",2008,39.3,5.37,Reporting standarrds not met.,833579.0,98630.3,Reporting standards not met.
Total,Female,"White, non-Hispanic",2009,27.6,4.56,Repoting standards not met.,1008453.0,84364.2,Reporting standards not met.
Total - Female,Female,"White, non-Hispanic",2010,30.6,4.61,Reporting standards not met.,1351422.0,88600.4,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,34.0,4.51,Reporting standards not met.,1008453.0,82671.7,Rxeporting standards not met.
Total - Female,Female,"White, non-Hispanic",2012,38.5,4.6,Reportin gstandards not met.,1311629.0,82109.5,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2000,74.4,11.71,Reporting standards not met.,277063.0,145528.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,49.3,8.77,Reporting satndards not met.,877309.0,35412.4,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2002,48.5,9.43,Reporting standards not met.,867541.0,38281.9,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2003,53.8,10.01,Reporting standards not met.,189367.0,38369.2,Reporting standards not met.
Total - Male,Female,"Black, non-Hispanic",2004,71.0,10.93,Reporting standards not met.,257262.0,13322.0,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2005,56.7,10.54,Reporting standards not met.,1347732.0,41333.1,Reporting standardsnot met.
Total,Female,"Black, non-Hispanic",2006,46.1,9.17,Reporting standbards not met.,162591.0,38369.2,Reporting standards not met.
Total - Female,Female,"Black, non-Hispanic",2007,36.9,7.01,Reporting standards not met.,140227.0,13322.0,Reporitng standards not met.
Total - Female,Female,"Black, non-Hispanic",2008,45.7,10.26,Reporting standards not met.,171981.0,13322.0,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2009,36.6,8.99,Reporting stanedards not met.,1096232.0,36876.5,Reporting standards not met.
Total,Female,"Black, non-Hispanic",2010,36.2,8.05,Reporting standards not met.,1096232.0,35013.7,Reporting standards not met.
"Total - White, non-Hispanic",Female,"Black, non-Hispanic",2011,39.8,7.93,Reporting standards not met.,577855.0,34260.8,Reporting standards not met.
Total - Female,Female,"Black, non-Hispanic",2012,34.0,7.05,Reporting standardsnot met.,855465.0,32676.2,Reporting standards not met.
Total,Female,Hispanic,2000,42.6,7.79,Reportingstandards not met.,671440.0,38313.5,Reporting standards not met.
Total - Female,Female,Hispanic,2001,35.8,6.68,Reporting standards not met.,169359.0,140348.7,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,34.4,6.87,Reporting standards not met.,176229.0,163034.8,Reporting standards not met.
Total,Female,Hispanic,2003,37.7,6.95,Reportin standards not met.,205821.0,157692.8,Reporting standards not met.
Total - Male,Female,Hispanic,2004,30.0,5.73,Reporting standards not met.,892484.0,32329.0,Reporthing standards not met.
"Total - White, non-Hispanic",Female,Hispanic,2005,41.1,7.58,Reporting standards not met.,1096232.0,43317.9,Reporting standards not met.
Total,Female,Hispanic,2006,51.1,8.33,Reportingstandards not met.,671440.0,49055.4,Reporting standards not met.
Total - Male,Female,Hispanic,2007,26.1,4.92,Reporting standards nt met.,1311629.0,31594.3,Reporting standards not met.
Total,Female,Hispanic,2008,15.1,4.54,Reporting stakndards not met.,1429116.0,27540.2,Reporting standards not met.
Total,Female,Hispanic,2009,29.7,6.84,Reporting standards not met.,526088.0,42332.0,Reporting standards not met.
Total,Female,Hispanic,2010,24.1,5.59,Reporting standards not met.,1311629.0,33276.5,Reporting stanadrds not met.
Total,Female,Hispanic,2011,31.4,5.92,Reporting standards not met.,195298.0,126617.1,Reporting standards not met.
Total - Female,Female,Hispanic,2012,31.2,5.65,Reporting standards not met.,1281270.0,40553.5,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,1512961.0,13322.0,Data not available.
Total,Female,"Asian, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,1102128.0,13322.0,Data not available.
Total - Male,Female,"Asian, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,1281270.0,13322.0,Data not available.
Total,Female,"Asian, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,1512961.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Repotring standards not met.
Total - Male,Female,"Asian, non-Hispanic",2005,30.0,5.05,Repoting standards not met.,577855.0,13322.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"Asian, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,569840.0,13322.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,855465.0,13322.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting stanards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,1351422.0,13322.0,Reportinsg standards not met.
Total,Female,"Asian, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,1311629.0,13322.0,Reporting standards not met.
Total - Male,Female,"Asian, non-Hispanic",2011,30.0,5.05,eRporting standards not met.,1311629.0,13322.0,Reporting standards not met.
Total,Female,"Asian, non-Hispanic",2012,26.9,9.42,Reporting standards not met.,43140.0,140348.7,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,671440.0,13322.0,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,37206.0,13347.0,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,867541.0,13322.0,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,1008453.0,13322.0,Reporting standards nto met.
Total,Female,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13408.0,Reporting tsandards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reportign standards not met.,733774.0,13322.0,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,894393.0,13322.0,Reportnig standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,711430.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,855465.0,13322.0,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13343.0,Reporting standards not met.
Total - Male,Female,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reportoing standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting stanadrds not met.,37206.0,100235.2,Reporting standards not met.
Total,Female,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reoprting standards not met.,1096232.0,13322.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting sgtandards not met.,894393.0,13322.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,569840.0,13322.0,Rveporting standards not met.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,815344.0,13322.0,Reporting standards notm et.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13366.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards no tmet.,855465.0,13322.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,1008453.0,13322.0,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,1351422.0,13322.0,Reorting standards not met.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting stanadrds not met.,1351422.0,13322.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,30.0,5.05,Reporting standrads not met.,37274.0,13322.0,Reporting standards not met.
Total - Hispanic,Female,"American Indian/Alaska Native, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,1281270.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,711430.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,30.0,5.05,Reportin standards not met.,526088.0,13322.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,569840.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,671440.0,13322.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13371.0,Datan ot available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not available.,37281.0,13322.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,30.0,5.05,Revporting standards not met.,37206.0,13358.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37286.0,13322.0,Reportiong standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,30.0,5.05,eRporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13382.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not mte.,37206.0,13347.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37305.0,13322.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,68.4,22.39,Reporting standards not met.,37206.0,13356.0,Reporting standards no tmet.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting stnadards not met.,37206.0,13403.0,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2000,65.8,8.39,Reporting standards not met.,559021.0,78977.3,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2001,57.8,7.22,Reporvting standards not met.,497839.0,67774.6,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2002,63.6,8.69,Reporting standards not met.,544128.0,82605.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2003,50.9,7.18,Reporting standards not met.,442490.0,67778.2,Reporting standards nt met.
"White, non-Hispanic",Male,"White, non-Hispanic",2004,50.9,6.52,Reporting standards not met.,455272.0,62825.3,Reporting standards not mset.
"White, non-Hispanic",Male,"White, non-Hispanic",2005,68.5,8.62,Reporting standards not met.,616175.0,85651.3,Reporting stadards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2006,51.7,7.09,eporting standards not met.,456100.0,67729.9,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2007,43.5,6.32,Reporting standards not met.,380495.0,60709.6,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2008,37.4,6.63,Reporting standards not met.,327480.0,61525.8,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2009,26.7,5.57,Reporting standards not met.,235764.0,51915.3,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2010,36.2,6.29,Reporting standards not met.,328327.0,61455.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2011,42.4,6.39,Reporting stadnards not met.,373758.0,60832.7,Reporting standards not met.
"White, non-Hispanic",Male,"White, non-Hispanic",2012,37.7,5.81,Reporting standards not met.,321681.0,52464.4,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2000,94.0,17.29,Reporting standards no tmet.,162608.0,34048.0,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,52.7,12.26,Reporting standards not met.,89460.0,22369.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,50.7,12.57,Reporting standards not met.,84534.0,22870.8,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, noni-Hispanic",2003,43.9,11.72,Reporting standards no met.,70989.0,20298.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,83.8,16.17,Reporting standards not met.,137621.0,29287.0,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, nonHispanic",2005,61.6,14.65,Reporting standards not met.,103128.0,26657.2,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,40.4,11.47,Reporting standards not met.,65394.0,19619.4,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,31.7,7.71,Reporting standards not met.,57325.0,15177.7,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, no-nHispanic",2008,40.3,13.04,Reporting standards not met.,70091.0,23842.5,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,43.4,13.01,Reporting standards not met.,79517.0,25503.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, nonHispanic",2010,19.8,7.04,Reposrting standards not met.,38409.0,14273.6,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,39.5,10.44,eporting standards not met.,71277.0,20155.1,Reporting standards not met.
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,40.2,10.29,Reporting standards noct met.,87717.0,23641.4,Reporting standards not met.
Hispanic,Male,Hispanic,2000,52.5,11.03,Reporting standards not met.,124550.0,28502.1,Reporting tandards not met.
Hispanic,Male,Hisapnic,2001,43.8,9.54,Reportinng standards not met.,108853.0,25292.8,Reporting standards not met.
Hispanic,Male,Hispanic,2002,42.9,9.61,Reporting standards not met.,117733.0,28614.6,Reporting standards not met.
Hispanic,Male,Huispanic,2003,40.9,9.19,Reporting standards not met.,115031.0,27677.0,Reporting standards not met.
Hispanic,Male,Hispanic,2004,32.7,7.79,Reproting standards not met.,90401.0,22605.1,Reporting standards not met.
Hispanic,Male,ispanic,2005,44.7,10.07,Reporting standards not met.,124944.0,30100.5,Reporting standards not met.
Hispanic,Male,ispanic,2006,66.4,12.22,Reporting standards notc met.,189872.0,38255.0,Reporting standards not met.
Hispanic,Male,Hispanic,2007,31.3,6.58,Reporting standards not met.,99015.0,22631.8,Reporting standards not met.
Hispanic,Male,Hispanic,2008,15.6,6.0,Reporting standards not met.,49174.0,19353.0,Reporting standards not met.
Hispanic,Male,Hisanic,2009,30.0,8.59,Reporting standards not met.,93343.0,28267.3,Reporting standards not met.
Hispanic,Male,Hispanci,2010,28.5,7.68,Reporting standards notmet.,83263.0,23890.9,Reporting standards not met.
Hispanic,Male,Hispanic,2011,32.7,7.53,Reporting standards not met.,107256.0,26305.6,Reporting standards not met.
Hispanic,Male,Hisanic,2012,31.9,7.49,Reporting standards not met.,110531.0,27150.2,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13322.0,Data not vaailable.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13354.0,Data not avaiable.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13348.0,Dwata not available.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,30.0,5.05,Reporting stanards not met.,37206.0,13340.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13360.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asain, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37279.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanci",2006,30.0,5.05,Reporting standards not met.,37206.0,13347.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-iHspanic",2007,30.0,5.05,Reporting standards not met.,37206.0,13408.0,Reporting standards not meth.
"Asian, non-Hispanic",Male,"Asian, non-Hispanimc",2008,30.0,5.05,Reporting standards not met.,37300.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, nonHispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13378.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, onn-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13335.0,Reporting tsandards not met.
"Asian, non-Hispanic",Male,"Asipan, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,43.7,15.6,Reporting standards not met.,39801.0,14893.6,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13410.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13345.0,qData not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37206.0,13398.0,Data not available.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards nowt met.,37272.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not meqt.,37206.0,13402.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13353.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Rezporting standards not met.,37206.0,13373.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37288.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13327.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13418.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13325.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13343.0,Reporting standdards not met.
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13371.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reporting standards not met.,37252.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,30.0,5.05,Reporting standards not met.,37283.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reporting standards not met.,37206.0,13409.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaskav Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13384.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37246.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaksa Native, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13356.0,Reporting standards not met.
