X,Y,OBJECTID,Comments,DateLastEdit,LaneWidth,SegKey,TextRotation,TextSize_,UseDesignation
-13618601.3068,6042713.843,116,,,15,,318,4,
-13618629.8112,6042729.5687,117,,,150',,318,2,
-13618611.6816,6042712.1859,118,,,9,,227,4,
-13618612.1642,6042710.9752,119,,,5,,228,2,
-13618608.9487,6042715.3478,120,,,9,,227,4,
-13618609.4313,6042714.1371,121,,,5,,228,2,
-13618608.1993,6042718.2407,122,,,6,,227,4,
-13618604.4137,6042720.6089,123,,,11,,227,4,
-13618600.2122,6042725.5556,124,,,18,,227,4,
-13618594.052,6042731.9366,125,,,18,,227,4,
-13618609.3129,6042746.2493,126,,,14,,227,4,
-13618641.5206,6042736.4624,127,,,5,,228,2,
-13618641.038,6042737.673,128,,,9,,227,4,
-13618638.2216,6042741.0698,129,,,9,,227,4,
-13618638.7042,6042739.8592,130,,,5,,228,2,
-13618636.4429,6042743.1947,131,,,6,,227,4,
-13618633.5434,6042746.1993,132,,,11,,227,4,
-13618628.377,6042752.4583,133,,,24,,227,4,
-13618506.3338,6042823.911,134,,,15,,318,4,
-13618541.4641,6042822.2047,135,,,12,,6,4,
-13618483.1515,6042804.3319,136,,,14,,314,4,
-13618511.2306,6042847.462,137,,,10,,228,4,
-13618480.5169,6042793.5447,138,,,5,,228,2,
-13618479.0543,6042796.6114,139,,,16,,228,4,
-13618476.3657,6042797.6983,140,,,5,,228,2,
-13618476.1213,6042799.4433,141,,,8,,228,4,
-13618472.2842,6042804.5546,142,,,17,,228,4,
-13618544.5769,6042777.3917,143,,,12,,6,4,
-13618527.3003,6042778.0792,144,,,12,,48,4,
-13618522.1139,6042834.5139,145,,,16,,228,4,
-13618519.4304,6042837.2791,146,,,8,,228,4,
-13618515.5991,6042842.4557,147,,,17,,228,4,
-13618519.675,6042835.534,148,,,5,,228,2,
-13618523.5764,6042831.447,149,,,5,,228,2,
-13618512.8427,6042807.1863,150,,,12,,317,4,
-13618486.8106,6042837.4712,151,,,12 12 12 12,,317,4,
-13618569.2107,6042740.772,152,,,11,,318,4,
-13618565.5297,6042737.5138,153,,,11,,318,4,
-13618561.7858,6042734.211,154,,,11,,318,4,
-13618558.0065,6042730.8744,155,,,11,,318,4,
-13618560.0357,6042841.7864,156,,,11,,6,4,
-13618553.0583,6042792.9084,157,,,11,,6,4,
-13618557.2995,6042843.0422,158,,,5,,6,2,
-13618550.3219,6042794.164,159,,,5,,6,2,
-13618509.1521,6042803.5175,160,,,12,,317,4,
-13618504.898,6042800.0311,161,,,12,,317,4,
-13618500.9419,6042796.2705,162,,,12,,317,4,
-13618483.6442,6042823.6972,163,,,15,,48,4,
-13618502.5326,6042801.9265,164,,,10,,48,4,
-13618136.6131,6042904.4223,165,,,11,,120,4,
-13618134.0879,6042900.2838,166,,,10,,120,4,
-13618087.5266,6042929.4455,167,,,10,,120,4,
-13618131.7956,6042896.5267,168,,,11,,120,4,
-13618085.2017,6042925.635,169,,,11,,120,4,
-13618092.5578,6042937.6914,170,,,11,,120,4,
-13618089.8189,6042933.2026,171,,,10,,120,4,
-13618052.1071,6042947.1476,172,,,11,,120,4,
-13618053.7396,6042951.2791,173,,,10,,120,4,
-13618057.4991,6042960.2637,174,,,11,,120,4,
-13618014.0741,6042970.3055,175,,,11,,120,4,
-13618055.4836,6042955.5212,176,,,10,,120,4,
-13618018.6913,6042977.873,177,,,10,,120,4,
-13618021.4301,6042982.362,178,,,11,,120,4,
-13618016.3988,6042974.1158,179,,,10,,120,4,
-13617922.8324,6043026.3959,180,,,11,,120,4,
-13617931.934,6043031.18,181,,,10,,120,4,
-13617936.5897,6043034.0047,182,,,11,,120,4,
-13618020.6859,6042933.7166,183,,,23,,30,4,
-13618028.7702,6042928.7539,184,,,19,,30,4,
-13618050.219,6042983.473,185,,,11,,26,4,
-13618044.3727,6043004.9869,186,,,15,,47,4,
-13618054.6233,6042981.0873,187,,,11,,26,4,
-13618027.5898,6042990.0266,188,,,15,,47,4,
-13618048.854,6042999.9068,189,,,15,,47,4,
-13618148.2406,6042911.5995,190,,,14,,138,4,
-13618106.0773,6042968.6733,191,,,13,,138,4,
-13618102.4756,6042965.3684,192,,,11,,138,4,
-13618017.8008,6043061.9542,193,,,10,,138,4,
-13618153.3591,6042915.029,194,,,13,,138,4,
-13618098.6189,6042962.0184,195,,,11,,138,4,
-13618014.2789,6043058.931,196,,,11,,138,4,
-13617983.2066,6043101.7473,197,,,10,,138,4,
-13617983.3716,6043108.5283,198,,,10,,138,4,
-13617978.4545,6043110.4916,199,,,10,,48,4,
-13618069.6694,6043023.7248,200,,,10,,137,4,
-13618073.9153,6043001.9385,201,,,10,,48,4,
-13618053.7141,6043024.6167,202,,,10,,48,4,
-13618030.3244,6042949.1631,203,,,16,,120,4,
-13618044.7769,6042973.1704,204,,,10,,120,4,
-13618052.9496,6043003.0464,205,,,10,,137,4,
-13618011.8945,6042965.7415,206,,,10,,30,4,
-13618049.1796,6042956.9675,207,,,10,,30,4,
-13618025.4703,6042987.1603,208,,,10,,120,4,
-13618021.0568,6043064.9895,209,,,10,,138,4,
-13617979.6028,6043098.7992,210,,,11,,138,4,
-13617985.0295,6043114.0529,211,,,11,,138,4,
-13618010.0715,6042958.6197,212,,,CONVENTION,,30,3,
-13618010.2763,6042956.2189,213,,,PLACE STATION,,30,3,
-13617927.398,6043028.7478,214,,,10,,120,4,
-13618141.7522,6042936.7145,215,,,7,,138,4,
-13618129.047,6042927.7947,216,,,8,,138,4,
-13618110.2917,6042972.43,217,,,7,,138,4,
-13618024.7372,6043068.0613,218,,,11,,138,4,
-13618324.4917,6043023.4829,219,,,12,,318,4,
-13618320.5869,6043020.0582,220,,,12,,318,4,
-13618312.3879,6043012.6676,221,,,12,,318,4,
-13618296.0237,6043056.116,222,,,12,,318,4,
-13618316.5273,6043016.431,223,,,12,,318,4,
-13618288.0594,6043049.064,224,,,12,,318,4,
-13618292.119,6043052.691,225,,,12,,318,4,
-13618283.9198,6043045.3004,226,,,12,,318,4,
-13618032.2808,6042968.836,227,,,12,,30,4,
-13618195.5121,6043125.7199,228,,,21,,48,4,
-13618216.6619,6043131.6422,229,,,15,,48,4,
-13618220.7355,6043154.0426,230,,,15,,318,4,
-13618227.9869,6043134.1426,231,,,12,,318,4,
-13618224.0821,6043130.7177,232,,,12,,318,4,
-13618215.8829,6043123.3269,233,,,12,,318,4,
-13618192.1783,6043159.0224,234,,,12,,318,4,
-13618220.0223,6043127.0906,235,,,12,,318,4,
-13618200.1429,6043166.0745,236,,,12,,318,4,
-13618132.1895,6043244.0035,237,,,12,,318,4,
-13618188.0389,6043155.2587,238,,,12,,318,4,
-13618196.2381,6043162.6495,239,,,12,,318,4,
-13618124.225,6043236.9513,240,,,12,,318,4,
-13618128.2847,6043240.5785,241,,,12,,318,4,
-13618120.0854,6043233.1875,242,,,12,,318,4,
-13618121.0694,6043241.3721,243,,,15,,48,4,
-13618198.3469,6043152.8585,244,,,15,,48,4,
-13618198.179,6043134.2562,245,,,14,,318,4,
-13617925.2456,6043033.5349,246,,,12,,30,4,
-13618045.9997,6043029.2987,247,,,10,,138,4,
-13618042.6362,6043026.147,248,,,11,,138,4,
-13618053.0945,6043035.2773,249,,,11,,138,4,
-13618049.4884,6043032.1019,250,,,10,,138,4,
-13618079.7526,6042998.9185,251,,,13,,138,4,
-13618072.2941,6042992.2637,252,,,11,,138,4,
-13618076.1508,6042995.6136,253,,,11,,138,4,
-13618083.967,6043002.6754,254,,,7,,138,4,
-13618185.1596,6042868.7906,255,,,11,,300,4,
-13618189.7768,6042876.358,256,,,10,,300,4,
-13618192.302,6042880.4965,257,,,11,,300,4,
-13618187.4844,6042872.6009,258,,,10,,300,4,
-13618163.5997,6043097.638,259,,,21,,48,4,
-13618189.2784,6043132.8598,260,,,21,,48,4,
-13618157.366,6043104.778,261,,,21,,48,4,
-13618088.0412,6043030.8694,262,,,21,,48,4,
-13618081.8075,6043038.0093,263,,,21,,48,4,
-13618124.0169,6043063.105,264,,,21,,48,4,
-13618117.7832,6043070.245,265,,,21,,48,4,
-13617898.0411,6043052.8502,266,,,10,,120,4,
-13617893.6999,6043050.3535,267,,,10,,120,4,
-13617889.2742,6043048.0231,268,,,11,,120,4,
-13617959.819,6043104.4214,269,,,42,,30,4,
-13617927.8002,6043052.2435,270,,,42,,30,4,
-13617955.3269,6043140.8863,271,,,10,,138,4,
-13617951.6069,6043137.9457,272,,,10,,138,4,
-13617948.1121,6043134.9779,273,,,11,,138,4,
-13617958.7524,6043143.6852,274,,,11,,138,4,
-13617922.966,6043050.3306,275,,,10,,120,4,
-13617902.038,6043034.0595,276,,,10,,120,4,
-13617902.6698,6043048.2848,277,,,10,,30,4,
-13617961.149,6043131.3655,278,,,10,,48,4,
-13617872.6458,6043051.5243,279,,,10,,120,4,
-13617974.2598,6043133.9558,280,,,10,,136,4,
-13617960.967,6043110.1351,281,,,10,,120,4,
-13617899.4424,6043028.9192,282,,,METRO,,30,3,
-13617876.6352,6043042.9195,283,,,METRO,,30,3,
-13617900.7703,6043025.829,284,,,TUNNEL EXIT,,30,3,
-13617877.9631,6043039.8292,285,,,TUNNEL EXIT,,30,3,
-13617853.2831,6043069.4195,286,,,11,,120,4,
-13617857.9123,6043077.0909,287,,,10,,120,4,
-13617855.6201,6043073.3336,288,,,10,,120,4,
-13617860.4844,6043081.3066,289,,,11,,120,4,
-13617757.8744,6043036.7165,290,,,11,,32,4,
-13617753.8801,6043039.9718,291,,,9,,31,4,
-13617753.0187,6043041.2468,292,,,5,,31,2,
-13617792.8042,6043094.6454,293,,,11,,31,4,
-13617746.8296,6043048.0711,294,,,5,,31,2,
-13617788.0641,6043098.3305,295,,,5,,31,2,
-13617750.3588,6043043.8812,296,,,9,,31,4,
-13617784.2152,6043100.7223,297,,,5,,31,2,
-13617808.5135,6043100.4457,298,,,11,,301,4,
-13617847.6778,6043082.1762,299,,,10,,301,4,
-13617813.5563,6043108.6483,300,,,10,,301,4,
-13617811.2727,6043104.9339,301,,,10,,301,4,
-13617815.8486,6043112.3772,302,,,11,,301,4,
-13617844.9186,6043077.688,303,,,11,,301,4,
-13617852.2536,6043089.6193,304,,,11,,301,4,
-13617849.9612,6043085.8906,305,,,10,,301,4,
-13617798.3606,6043135.0877,306,,,10,,30,4,
-13617856.869,6043221.796,307,,,10,,31,4,
-13617830.1052,6043166.2706,308,,,5,,31,3,
-13617830.9694,6043164.9899,309,,,9,,31,4,
-13617853.0494,6043224.2359,310,,,12,,31,4,
-13617859.4147,6043205.9793,311,,,5,,31,3,
-13617849.364,6043211.3049,312,,,9,,31,4,
-13617848.4998,6043212.5855,313,,,5,,31,3,
-13617827.4222,6043167.1464,314,,,10,,31,4,
-13617861.5169,6043203.9043,315,,,10,,31,4,
-13617846.1177,6043213.4653,316,,,10,,31,4,
-13617844.0154,6043215.5403,317,,,5,,31,3,
-13617866.4563,6043213.0193,318,,,10,,31,4,
-13617884.4989,6043221.1187,319,,,10,,45,4,
-13617864.6893,6043227.4049,320,,,10,,311,4,
-13617863.7775,6043244.6933,321,,,10,,47,4,
-13617854.941,6043246.4672,322,,,11,,318,4,
-13617821.9596,6043306.1704,323,,,11,,318,4,
-13617858.8929,6043249.674,324,,,10,,318,4,
-13617866.2255,6043255.6196,325,,,11,,318,4,
-13617818.3904,6043303.3121,326,,,10,,318,4,
-13617814.9517,6043300.4753,327,,,10,,318,4,
-13617862.7626,6043252.8002,328,,,10,,318,4,
-13617810.8221,6043297.2232,329,,,11,,317,4,
-13617901.6191,6043252.2416,330,,,5,,48,3,
-13617903.0227,6043249.3465,331,,,10,,48,4,
-13617882.4928,6043252.4464,332,,,5,,48,3,
-13617882.9105,6043250.9553,333,,,9,,48,4,
-13617879.1308,6043256.3002,334,,,5,,48,3,
-13617880.8692,6043253.3133,335,,,10,,48,4,
-13617923.589,6043286.4195,336,,,9,,48,4,
-13617899.0906,6043255.2074,337,,,5,,48,3,
-13617899.5085,6043253.7163,338,,,9,,48,4,
-13617897.0022,6043256.6128,339,,,10,,48,4,
-13617923.1712,6043287.9104,340,,,5,,48,3,
-13617962.9434,6043310.9777,341,,,5,,48,3,
-13618001.8747,6043343.4741,342,,,9,,48,4,
-13617963.3613,6043309.4866,343,,,9,,48,4,
-13618005.7235,6043339.0816,344,,,10,,48,4,
-13618003.9299,6043342.1318,345,,,5,,48,3,
-13617994.3302,6043350.3621,346,,,5,,48,3,
-13618001.4568,6043344.9652,347,,,5,,48,3,
-13617996.5107,6043344.5129,348,,,10,,48,4,
-13617994.748,6043348.8711,349,,,9,,48,4,
-13617993.7176,6043352.389,350,,,10,,48,4,
-13617969.9141,6043327.2238,351,,,9,,48,4,
-13617992.0183,6043355.3313,352,,,5,,48,3,
-13617972.9338,6043323.763,353,,,10,,48,4,
-13617969.5025,6043328.6329,354,,,5,,48,3,
-13618026.0372,6043349.7166,355,,,15,,48,4,
-13618004.8706,6043373.9927,356,,,15,,48,4,
-13618029.563,6043374.3541,357,,,15,,318,4,
-13618005.1417,6043354.3994,358,,,10,,318,4,
-13618052.8867,6043384.7433,359,,,11,,46,4,
-13618037.3204,6043368.2939,360,,,10,,48,4,
-13618035.9158,6043370.8972,361,,,5,,48,3,
-13618026.1674,6043382.0037,362,,,11,,46,4,
-13618050.0028,6043388.087,363,,,10,,46,4,
-13618029.8833,6043377.4969,364,,,12,,46,4,
-13618070.4099,6043419.1044,365,,,11,,48,4,
-13618034.1779,6043372.1843,366,,,10,,48,4,
-13618073.6064,6043415.2373,367,,,10,,48,4,
-13618028.4162,6043380.0638,368,,,5,,48,3,
-13617918.0811,6043188.6219,369,,,10,,316,4,
-13618076.63,6043411.4907,370,,,10,,48,4,
-13618045.7958,6043390.1851,371,,,Var.,,46,4,
-13618079.3132,6043408.2775,372,,,11,,48,4,
-13617921.5035,6043191.4386,373,,,11,,316,4,
-13617914.979,6043185.4709,374,,,10,,316,4,
-13617911.6523,6043182.521,375,,,11,,316,4,
-13617901.1734,6043457.5273,376,,,75' mod. solid CAL,,318,3,
-13617940.4547,6043483.4742,377,,,21,,48,4,
-13617953.5673,6043503.4317,378,,,35' mod. solid CAL,,318,3,
-13617934.5363,6043490.0269,379,,,21,,48,4,
-13617906.1066,6043453.3757,380,,,21,,48,4,
-13617929.302,6043460.6945,381,,,15,,48,4,
-13617933.0778,6043483.7852,382,,,10,,318,4,
-13617900.1882,6043459.9283,383,,,21,,48,4,
-13617909.8997,6043463.5959,384,,,10,,318,4,
-13617910.159,6043482.3247,385,,,10,,48,4,
-13617810.0564,6043561.3815,386,,,21,,48,4,
-13617779.3966,6043534.7461,387,,,21,,48,4,
-13617772.9492,6043542.1888,388,,,21,,48,4,
-13617803.609,6043568.8242,389,,,21,,48,4,
-13618104.8427,6043275.2807,390,,,12,,318,4,
-13618096.8781,6043268.2284,391,,,12,,318,4,
-13618037.2296,6043352.9016,392,,,12,,318,4,
-13618100.9379,6043271.8556,393,,,12,,318,4,
-13618033.3248,6043349.4766,394,,,12,,318,4,
-13618092.7387,6043264.4646,395,,,12,,318,4,
-13618006.1806,6043388.5759,396,,,12,,318,4,
-13617998.2161,6043381.5235,397,,,12,,318,4,
-13618029.265,6043345.8492,398,,,12,,318,4,
-13618025.1256,6043342.0853,399,,,12,,318,4,
-13617994.0765,6043377.7595,400,,,12,,318,4,
-13617940.4081,6043463.9321,401,,,12,,318,4,
-13618002.2758,6043385.1508,402,,,12,,318,4,
-13617936.5033,6043460.5068,403,,,12,,318,4,
-13617932.4436,6043456.8795,404,,,12,,318,4,
-13617928.304,6043453.1155,405,,,12,,318,4,
-13617912.1426,6043496.0012,406,,,12,,318,4,
-13617904.1782,6043488.9486,407,,,12,,318,4,
-13617844.6043,6043573.5076,408,,,12,,318,4,
-13617908.2378,6043492.576,409,,,12,,318,4,
-13617900.0386,6043485.1846,410,,,12,,318,4,
-13617836.6396,6043566.4548,411,,,12,,318,4,
-13617840.6994,6043570.0824,412,,,12,,318,4,
-13617832.67,6043562.8398,413,,,12,,318,4,
-13618102.7539,6043262.5884,414,,,15,,48,4,
-13618101.6678,6043243.2208,415,,,15,,318,4,
-13618125.1428,6043263.7728,416,,,15,,318,4,
-13617902.5712,6043056.3512,417,,,11,,120,4,
-13617807.8593,6043108.0835,418,,,10,,30,4,
-13617965.4164,6043308.1443,419,,,5,,48,3,
-13617967.21,6043305.094,420,,,10,,48,4,
-13617966.0978,6043332.5759,421,,,5,,48,3,
-13617967.4136,6043330.0888,422,,,10,,48,4,
-13617921.4658,6043288.9112,423,,,10,,48,4,
-13617919.7665,6043291.8535,424,,,5,,48,3,
-13618093.6007,6043239.8955,425,,,42,,226,4,
-13618235.7316,6043360.9934,426,,,42,,46,4,
-13617981.464,6043137.3565,427,,,42,,46,4,
-13617817.0409,6043380.0896,428,,,42,,48,4,
-13617783.0309,6043354.0667,429,,,10,,138,4,
-13617760.6264,6043340.3518,430,,,10,,138,4,
-13617782.3284,6043335.5878,431,,,10,,60,4,
-13617765.5698,6043357.0008,432,,,10,,63,4,
-13617807.9128,6043366.5406,433,,,21,,48,4,
-13617801.7337,6043373.6183,434,,,21,,48,4,
-13617708.6925,6043477.3674,435,,,10,,47,4,
-13617701.8627,6043464.5038,436,,,14,,47,4,
-13617728.9352,6043495.1428,437,,,10,,47,4,
-13617732.6011,6043491.1524,438,,,14,,47,4,
-13617704.2556,6043482.4667,439,,,18,,47,4,
-13617691.1465,6043466.2759,440,,,10,,318,4,
-13617667.7151,6043450.3633,441,,,10,,318,4,
-13617672.6438,6043468.1657,442,,,10,,318,4,
-13617691.4913,6043445.624,443,,,10,,318,4,
-13617666.5075,6043484.2427,444,,,10,,315,4,
-13617660.5123,6043482.4026,445,,,12,,315,4,
-13617656.4387,6043478.6112,446,,,13,,315,4,
-13617627.1376,6043567.9254,447,,,8,,1,4,
-13617619.2863,6043600.2978,448,,,11,,1,4,
-13617613.5134,6043600.218,449,,,11,,1,4,
-13617619.0943,6043564.5464,450,,,12,,348,4,
-13617613.3176,6043563.3981,451,,,13,,348,4,
-13617791.8658,6043333.9618,452,,,10,,318,4,
-13617701.1799,6043443.8273,453,,,11,,315,4,
-13617697.6931,6043441.0877,454,,,10,,315,4,
-13617694.1054,6043438.418,455,,,10,,315,4,
-13617689.5966,6043435.4536,456,,,11,,315,4,
-13617768.6339,6043365.901,457,,,11,,315,4,
-13617764.9414,6043363.9143,458,,,10,,315,4,
-13617760.4896,6043361.8307,459,,,10,,315,4,
-13617755.9718,6043359.3591,460,,,11,,315,4,
-13617795.329,6043336.7812,461,,,11,,318,4,
-13617783.3858,6043328.4548,462,,,11,,318,4,
-13617787.3465,6043331.4937,463,,,10,,318,4,
-13617760.7521,6043711.0939,464,,,30,,359,4,
-13617759.1955,6043605.4796,465,,,11,,81,4,
-13617759.2598,6043619.7277,466,,,11,,81,4,
-13617759.2681,6043609.8633,467,,,10,,81,4,
-13617759.2893,6043614.5747,468,,,10,,81,4,
-13617642.7712,6043612.0439,469,,,10,,89,4,
-13617642.7499,6043607.3323,470,,,10,,89,4,
-13617642.7942,6043617.2002,471,,,11,,89,4,
-13617642.7303,6043602.9522,472,,,11,,89,4,
-13617486.6436,6043624.8438,473,,,11,,89,4,
-13617486.6205,6043619.6875,474,,,10,,89,4,
-13617486.5819,6043611.0488,475,,,11,,89,4,
-13617486.5995,6043614.9759,476,,,10,,89,4,
-13617455.3433,6043618.4157,477,,,10,,359,4,
-13617448.3223,6043619.8714,478,,,10,,89,4,
-13617448.3453,6043625.0277,479,,,11,,89,4,
-13617448.2837,6043611.2327,480,,,11,,89,4,
-13617448.3012,6043615.16,481,,,10,,89,4,
-13617608.7507,6043753.394,482,,,11,,359,4,
-13617613.8949,6043753.2937,483,,,11,,359,4,
-13617815.7054,6043590.9818,484,,,12,,318,4,
-13617823.6699,6043598.0346,485,,,12,,318,4,
-13617819.765,6043594.6093,486,,,12,,318,4,
-13617811.5657,6043587.2177,487,,,12,,318,4,
-13617770.1393,6043651.5525,488,,,12,,318,4,
-13617774.0442,6043654.9777,489,,,12,,318,4,
-13617766.0795,6043647.9248,490,,,12,,318,4,
-13617657.857,6043780.3657,491,,,12,,318,4,
-13617761.94,6043644.1608,492,,,12,,318,4,
-13617649.6577,6043772.9738,493,,,12,,318,4,
-13617661.7619,6043783.7912,494,,,12,,318,4,
-13617653.7973,6043776.7381,495,,,12,,318,4,
-13617618.712,6043770.5319,496,,,6,,24,4,
-13617645.0876,6043628.1668,497,,,15,,270,4,
-13617644.9345,6043625.1356,498,,,-,,270,3,
-13617644.0061,6043625.1726,499,,,+,,270,3,
-13617613.4122,6043661.0556,500,,,11,,1,4,
-13617608.0961,6043661.0782,501,,,11,,1,4,
-13618410.5344,6041680.6642,502,,,12,,301,4,
-13618397.875,6041660.1252,503,,,12,,301,4,
-13618414.8735,6041594.5586,504,,,18,,31,4,
-13618387.746,6041611.3813,505,,,18,,31,4,
-13618471.1,6041685.2758,506,,,18,,31,4,
-13618443.535,6041702.363,507,,,18,,31,4,
-13618461.1577,6041643.3112,508,,,7,,301,4,
-13618455.0324,6041633.2524,509,,,21,,301,4,
-13618441.7796,6041804.5202,510,,,21,,301,4,
-13618446.9465,6041813.8085,511,,,11,,301,4,
-13618444.6126,6041810.0265,512,,,10,,301,4,
-13618533.1998,6041749.5038,513,,,17,,301,4,
-13618481.6281,6041779.2301,514,,,21,,301,4,
-13618475.6795,6041803.5751,515,,,12,,301,4,
-13618462.8844,6041782.8011,516,,,12,,301,4,
