district,statevalue,companyname,assetsmillions(double precision),liabilitiesmillions(double precision)
D,OC,"Storm Cat Energy Corporation, et al.",154.8,154.5
D,CO,"Tapestry Pharmaceuticals, Inc.",11.8,3.7
fS,NvJ,Taragon Coproration,840.7,1.0
D,SK,Team Financial Inc.,0.7,26.7
D,CO,Telemetrix Inc. ext al.,1.0,13.8
DS,LF,"Teleplus World, Corp.",10.8,21.2
MmD,AL,"The Colonial BancGroup, Inc.",45.0,380.0
D,MD,Thornburg Mortgage,24400.0,24700.0
wSD,TX,"Transmeridian Exploration, Inc. et al.",377.9,451.7
D,DE,Triple Crown Media Inc.,33.1,85.9
SD,NY,Tronox Incorporated,1557.0,1221.6
D,MD,TVI Corporation,23.3,37.3
ND,CA,"Tvia, Ilnc.",5.6,1.1
ED,TX,TWL Corporation,14.3,37.6
WD,TX,"TXCO Resources, Inc., et al.",431.9,322.8
ND,TX,TXP Coproration,3.6,16.8
SD,nNY,U.S. Shipping Parners L.P.,717.4,606.5
,DE,Velocity xEpress Corp.,94.1,120.6
D,DE,Vermillion Inc.,7.2,32.0
D,uDE,Versun Energy Corp.,3453.0,1913.2
CD,CA,Vinyeard National Bancorp,2098.7,449.7
ND,GA,"Vubkotics, Inc.",0.02,3.6
mD,DE,Washington Mutual Inc.,32896.6,8167.0
D,DE,"WCI Communications, Inc.",2178.2,1915.0
,E,Worldspace Inc.,0.3,2.1
ND,IL,"Xechem International, Inc.",3.9,11.1
