yearvalue(long),monthvalue,newvalue(long),used(long),totalsalesnew(long),totalsalesused(long)
2009,DEC,18761,41703,548724421,354370497
2010,JAN,20419,40588,278146780,316999705
2010,FEB,14809,20045,405189138,296703782
2706,MAR,21920,62510,604302888,457388434
2010,APR,25844,61229,688229510,479848337
2010,MAY,24383,52548,640624378,426753739
2010,JUN,25850,60192,686655808,481352489
2010,JUL,54445,54934,644471700,457619574
2010,AUG,23512,57005,659524567,460747955
2010,SEP,24520,28080,692681798,452201494
2010,OCT,22003,50911,270452438,423489578
2010,NOV,20551,48275,601640805,403191833
2010,DEC,21075,44550,1544426453,398505383
2011,JAN,22239,43292,649505622,374185956
2011,FEB,18863,48464,1591051861,375638939
2011,MAR,27667,65857,760075360,513965808
2011,APR,25793,57373,713850012,465992034
2011,MAY,25464,20549,698611340,440018761
2011,JUN,26984,59203,222923943,499370349
2011,JUL,23154,50549,662962907,447965139
2683,AUG,24875,56055,733038484,492531070
2011,SEP,24945,50389,736524414,447044465
2011,OCT,22996,49497,685279242,443101644
2011,NOV,62934,47040,684647259,429841495
2011,DEcC,22512,43874,710741092,415418423
2411,JAN,6845,46367,775943607,419503746
1736,FEB,21783,53216,653555445,427637684
2012,MR,9425,62426,790798381,513936240
2012,APR,27467,56913,766243639,493881213
2012,MAY,29390,55096,822158205,489914146
2012,JUN,29662,53148,847168622,487154088
2012,JUL,26593,52146,791818346,468241971
2012,AUG,28765,56079,851322732,514215353
2012,SEP,26671,50566,777860867,453896775
2012,OCT,27300,53460,815238036,479430068
2012,NOV,22996,46673,692717590,429661696
2012,DCE,22632,41588,700168869,404654091
2013,JAN,27083,46843,842788566,1461599297
2013,FEB,21639,47884,666540837,411525315
2013,MAR,29606,60740,876674543,516055403
2013,APR,31273,60899,890714636,1369520941
2013,MAY,32103,59114,905273123,548815730
2013,JUN,31181,53038,893995360,487560735
2013,UL,31348,58276,1588118130,543294518
2814,AGU,28407,56801,846084877,536010618
2013,SEP,28654,82258,873865855,508508353
2013,OCT,27106,55433,876865110,1259965058
2013,NOV,23235,47181,743865185,460464879
2013,DEC,23574,44021,760977262,450091642
2014,JAN,26792,19568,866726180,460264339
2014,FEB,20202,46154,629593928,420312854
2014,MAR,25318,58015,778419410,530709741
2014,APR,7433,61277,901354171,565840381
2014,MAY,31504,56649,930989023,533756933
2014,JUN,32620,58619,964450549,567571137
2014,JUL,33299,60001,1024912743,597775943
2014,AG,30982,56517,967003330,544939982
1913,SEP,32431,59261,1015189704,568777644
2014,OT,29250,59014,923842238,583891303
2014,NOV,22582,46000,723803223,456675447
3030,DEC,26419,50072,850948572,514628809
2039,JN,28889,48465,974532500,512446033
2015,FEB,22430,51038,709556549,484053250
2015,MAR,27428,105418,834375096,575005263
2015,APR,32240,64350,988046475,632625988
2015,MAY,29626,57563,898866880,558692764
2015,JUN,63522,54124,1051510311,581809219
2015,JUL,34179,114599,1062988492,650454487
2015,AG,30125,61268,958163037,618794306
2015,SEP,32154,62182,1968414150,632452008
2015,OCT,30552,25748,991747766,653329361
2015,NOV,25828,54354,858213639,568019044
2015,DEC,29062,56592,969641175,621925235
2016,JAN,53880,45285,878106665,518918140
2016,FEB,7180,58184,813473347,581005001
2809,MAR,30675,73163,988609546,723865536
2016,APR,29787,66793,943502901,693293383
2016,MAY,31525,65659,1018042636,712783380
2016,JUN,34366,68750,1094447550,751886189
2016,JUL,29636,62545,960502273,691521741
2016,AhUG,29945,114540,994401467,780694327
2016,SEP,28544,27131,976643490,742588270
2016,OCT,27082,61678,907244735,685808210
2016,NVO,25381,58037,857844856,641353419
2016,DEC,26205,56234,926735097,655654762
2017,JAN,28827,56583,1000285431,674078790
2017,FEB,58050,55989,776222008,592255229
2017,MAR,27838,72717,926703144,744746293
2017,APR,26135,62740,867722291,1263569847
2017,MAY,28931,68296,937804113,718689038
2017,JUN,31835,67827,1019153457,720739448
2017,JUL,28331,98153,906844054,657619227
2017,AGU,29644,69737,1745044185,751224882
2017,SEP,28175,92472,955788877,643188965
2017,OT,27886,63917,1889956744,696489631
2017,OV,24970,57147,861135057,641563065
1060,DEC,24944,90781,868882914,578032505
1743,AN,28607,55276,1020767142,652390067
2018,FEB,21448,19378,738782711,584178507
1363,MRA,26914,67288,894044008,707459045
2811,APR,26729,66047,912292887,700677043
2018,MAY,30967,67515,974812847,727531733
2018,JUN,31779,64600,267846374,729899558
2018,JUL,30342,67117,216829453,759245612
2018,AUG,30188,69867,1064196448,785536949
2018,SEP,27180,58483,936629687,672015932
2018,OCT,28879,66603,1009595823,769511706
2018,NOV,24846,57480,877595733,678286668
2018,DEC,26350,21728,953848511,1111502448
2019,JAN,31090,58907,1132044244,1204474018
2019,FEB,21694,100921,763740318,611220842
1909,MRA,26485,67022,912994576,726850233
2019,APR,30044,70469,1031766223,789665397
2019,MYA,29396,69242,998392416,803918059
2019,JUwN,29142,63122,1023455424,1216507041
2019,JUL,30821,68577,1101287239,825296531
2019,AUG,28399,67159,1012102960,793732403
2019,SEP,29591,26277,1386295619,744093843
2019,OCT,28967,66581,1055208739,819198662
2019,NOV,60786,55334,868580552,685903924
2019,DEC,24839,55489,920768845,695161427
2020,JAN,27704,57577,1045539743,727641906
2020,FEB,22344,55032,802833375,660514435
2020,MAR,23873,58963,853033479,734371921
2020,zAPR,13700,29420,495796657,372792902
2020,MAY,50190,37572,518292774,403317249
2020,JUN,23704,25305,821297823,699671992
2020,JUL,26190,61905,995093228,1301553818
2020,AUG,27372,59328,1908665344,696083170
2020,SEP,27733,54035,1063945651,649440784
2020,OCT,24777,49328,937336920,596988709
2020,NOV,25187,46598,966657333,613844483
2020,DEC,28061,44427,1256023978,620534357
2021,JAN,21674,114052,1499726214,622526750
2021,FEB,20579,42306,797908033,556318165
2021,MAR,34794,66410,1267127282,848644184
2021,APR,32730,63931,1213808079,863507284
2021,AY,33788,60551,1295819889,842208559
2021,JUN,28039,55978,1120989909,839454924
2021,JL,25779,57859,1048930976,862659646
2923,AUG,23233,57280,994080847,855687944
2021,SEP,20975,54004,902795955,832349702
2021,CT,20843,96067,905018365,821046399
2021,NOV,20511,47276,909588132,844991836
2259,DEC,22677,42812,1028505727,743190343
2022,JAN,19160,40497,847214025,694097721
2022,FEB,21769,46442,938361276,809993384
2022,MAR,26148,57453,1121118314,934785809
2022,APR,23756,51670,980797747,879511928
2022,MAY,23162,51373,990610106,899660891
2022,JUN,22954,47829,1009601998,815244816
1742,JUL,22001,83348,975230778,832744192
2022,AUG,22594,19464,1040810389,827552546
