City,County,Lender Name and ID,Location,Phone,Fax
Duncan,STEPHENS COUNTY,BANCFIRST - 192-19,"1616 W ELK AVE
DUNCAN, OK 73533
(34.52163326400046, -97.96844161499968)",(580) 252-1800,(580) 251-7087
Duncan,STEPHENS COUNTY,BANCFIRST - 192-61,"16 S 9th
DUNCAN, OK 73533
(34.50171156400046, -97.95828348299966)",(580) 255-4100,(580) 251-7087
Durant,BRYAN COUNTY,FIRST UNITED BANK & TRUST - 11-01,"1400 W MAIN STREET
DURANT, OK 74701
(33.994647546000465, -96.39169374799968)",(580) 924-2211,
Edmond,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-23,"32 N BROADWAY
EDMOND, OK 73034
(35.65602705600048, -97.48109669699966)",(405) 509-6938,(405) 509-6937
Edmond,OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-16,"1501 W EDMOND ROAD
EDMOND, OK 73033
(35.653049001000454, -97.53948689799967)",(405) 419-3887,(405) 419-3839
Edmond,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-05,"16301 N MAY AVENUE
EDMOND, OK 73013
(35.63535051100047, -97.56716408199969)",(405) 285-8935,(405) 285-8936
Edmond,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-19,"1362 E 15TH STREET
EDMOND, OK 73013
(35.63824842100047, -97.4615866689997)",(405) 509-2250,(405) 509-2254
Edmond,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-03,"201 N BRYANT, SUITE A
EDMOND, OK 73034
(35.657100983000475, -97.46050426799968)",(405) 562-1902,(405) 562-1900
Edmond,OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-03","10 E CAMPBELL
EDMOND, OK 73034
(35.65732337300045, -97.48044335299966)",(405) 341-8644,(866) 208-5309
Edmond,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-11,"1220 S SANTA FE
EDMOND, OK 73003
(35.64075125600044, -97.51382726099968)",(405) 359-8096,(405) 359-8097
Edmond,OKLAHOMA COUNTY,BANCFIRST - 192-39,"3200 E MEMORIAL ROAD
EDMOND, OK 73013
(35.609132643000464, -97.45980022399965)",(405) 270-1000,(405) 270-1091
Enid,GARFIELD COUNTY,BANK OF OKLAHOMA - 182-04,"2308 N VAN BUREN
ENID, OK 73703
(36.41926626600048, -97.8908942009997)",(580) 548-8528,(580) 548-8576
Eufaula,MCINTOSH COUNTY,ARVEST MORTGAGE COMPANY - 209-26,"110 S 1ST STREET
EUFAULA, OK 74432
(35.28588417800046, -95.5837125869997)",(918) 689-7745,(918) 689-7747
Frederick,TILLMAN COUNTY,BANCFIRST - 192-68,"201 S MAIN
FREDERICK, OK 73542
(34.38831298100047, -99.01705335799966)",(580) 335-7522,
Frederick,TILLMAN COUNTY,BANCFIRST - 192-42,"200 N MAIN
FREDERICK, OK 73542
(34.39090155900044, -99.01700447499968)",(580) 335-7522,(580) 335-7520
Glenpool,TULSA COUNTY,BANCFIRST - 192-56,"394 E 141ST STREET
GLENPOOL, OK 74033
(35.95915322400049, -96.00438071799965)",(918) 322-9015,(918) 664-3422
Grove,DELAWARE COUNTY,ARVEST MORTGAGE COMPANY - 209-42,"1818 S MAIN
GROVE, OK 74344
(36.57781204100047, -94.76915227499967)",(918) 787-8423,(918) 787-8414
Guthrie,LOGAN COUNTY,BANCFIRST - 192-69,"110 N 2ND
GUTHRIE, OK 73044
(35.878191994000474, -97.42750708199969)",(405) 282-4415,
Guthrie,LOGAN COUNTY,BANCFIRST - 192-02,"202 W OKLAHOMA
GUTHRIE, OK 73044
(35.87804666000045, -97.42668473599969)",(405) 282-4415,(405) 282-7086
Harrah,OKLAHOMA COUNTY,BANCFIRST - 192-51,"19979 NE 23RD STREET
HARRAH, OK 73045
(35.49307827500047, -97.17735060099966)",(405) 454-6216,(404) 454-6454
Hobart,KIOWA COUNTY,BANCFIRST - 192-43,"401 S BROADWAY
HOBART, OK 73651
(35.024150277000444, -99.09600352899969)",(580) 726-5617,(580) 726-2772
Hobart,KIOWA COUNTY,BANCFIRST - 192-70,"105 W 4TH STREET
HOBART, OK 73651
(35.02452672400045, -99.09331526999966)",(580) 726-5617,
Holdenville,HUGHES COUNTY,FIRST UNITED BANK & TRUST - 11-08,"102 E MAIN STREET
HOLDENVILLE, OK 74848
(35.08259055300044, -96.40124846799966)",(405) 379-3307,(405) 379-6821
Hugo,CHOCTAW COUNTY,FIRST UNITED BANK & TRUST - 11-07,"801 E JACKSON STREET
HUGO, OK 74743
(34.01062854300045, -95.50377073099969)",(580) 326-7546,(580) 326-6339
Hugo,CHOCTAW COUNTY,BANCFIRST - 192-03,"101 E JACKSON STREET
HUGO, OK 74743
(34.01087778600049, -95.51272966499965)",(580) 326-6401,(580) 326-9542
Inola,ROGERS COUNTY,BANCFIRST - 192-71,"1 N BROADWAY
INOLA, OK 74036
(36.15250135000048, -95.51036419299965)",(918) 341-7100,
Jay,DELAWARE COUNTY,ARVEST MORTGAGE COMPANY - 209-09,"338 S 5TH STREET
JAY, OK 74346
(36.42026299000048, -94.79738625799968)",(918) 253-4235,(918) 253-8893
Jenks,TULSA COUNTY,BANCFIRST - 192-38,"200 E MAIN
JENKS, OK 74037
(36.022563292000484, -95.96811034399968)",(918) 299-5081,(918) 664-3422
Jones,OKLAHOMA COUNTY,BANCFIRST - 192-72,"9285 N HIWASSEE
JONES, OK 73049
(35.564360733000456, -97.3003947099997)",(405) 399-2221,
Kingfisher,KINGFISHER COUNTY,BANCFIRST - 192-44,"124 S MAIN
KINGFISHER, OK 73750
(35.86014110500048, -97.93271396499966)",(405) 375-3121,(918) 375-4961
Kingston,MARSHALL COUNTY,BANCFIRST - 192-45,"206 HIGHWAY 70 W
KINGSTON, OK 73439
(33.99794768100048, -96.71812481499967)",(580) 564-2366,(580) 564-3411
Konawa,SEMINOLE COUNTY,BANCFIRST - 192-46,"230 S BROADWAY
KONAWA, OK 74849
(34.955180449000466, -96.75204683999965)",(580) 925-3211,(580) 925-3860
Lawton,COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-13,"1416 NW SHERIDAN ROAD
LAWTON, OK 73505
(34.62490284600045, -98.42242244899967)",(580) 248-7300,(580) 248-7307
Lawton,COMANCHE COUNTY,ARVEST MORTGAGE COMPANY - 209-37,"5201 SW LEE BOULEVARD
LAWTON, OK 73505
(34.594537166000464, -98.4573948469997)",(580) 250-6743,(580) 250-4545
Lawton,COMANCHE COUNTY,ARVEST MORTGAGE COMPANY - 209-39,"4330 NW CACHE ROAD
LAWTON, OK 73505
(34.62336361600046, -98.4465302539997)",(580) 250-6746,(580) 250-4545
Lawton,COMANCHE COUNTY,BANK OF OKLAHOMA - 182-01,"2602 W GORE BOULEVARD
LAWTON, OK 73505
(34.608863302000486, -98.42929096599966)",(580) 581-5080,(580) 250-0150
Lawton,COMANCHE COUNTY,BANCFIRST - 192-75,"2204 NW FERIS
LAWTON, OK 73507
(34.61603466800045, -98.42115688599966)",(580) 353-7700,
Lawton,COMANCHE COUNTY,BANCFIRST - 192-74,"15 NW 67TH
LAWTON, OK 73505
(34.610641272000464, -98.47470700099967)",(580) 353-7700,
Lawton,COMANCHE COUNTY,BANCFIRST - 192-73,"501 SW ""C"" AVENUE
LAWTON, OK 73501
(34.592472091000445, -98.36116684499967)",(580) 353-7700,
Lawton,COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-20,"3908 NW ELM AVENUE, SUITE 102
LAWTON, OK 73505
(34.62050057300047, -98.46664136099969)",(580) 699-5881,(580) 699-5899
Lawton,COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-25,"1701 NW CACHE ROAD
LAWTON, OK 73507
(34.623378595000474, -98.41549008599969)",(580) 248-5300,(580) 248-5305
Lawton,COMANCHE COUNTY,BANCFIRST - 192-27,"3801 NW CACHE ROAD
LAWTON, OK 73505
(34.62359752900045, -98.44026068899967)",(580) 353-7700,(580) 357-2536
Lone Wolf,KIOWA COUNTY,BANCFIRST - 192-76,"707 E BOUNDARY
LONE WOLF, OK 73655
(34.993258262000495, -99.2544031219997)",(580) 846-9005,
Madill,MARSHALL COUNTY,BANCFIRST - 192-05,"302 S FIRST
MADILL, OK 73446
(34.08743734400048, -96.77062047099969)",(580) 795-3332,
Marietta,LOVE COUNTY,BANCFIRST - 192-59,"201 W CHICKASAW
MARIETTA, OK 73448
(33.93618413000047, -97.11826914899967)",(580) 276-3356,(580) 276-9640
Marietta,LOVE COUNTY,BANCFIRST - 192-22,"105 SW 2ND STREET
MARIETTA, OK 73448
(33.93633747800044, -97.1181083359997)",(580) 276-3356,(580) 276-9640
Marlow,STEPHENS COUNTY,BANCFIRST - 192-78,"128 W MAIN STREET
MARLOW, OK 73055
(34.647613386000444, -97.95585063199968)",(580) 658-5422,
Marlow,STEPHENS COUNTY,BANCFIRST - 192-06,"130 N BROADWAY
MARLOW, OK 73055
(34.648640070000454, -97.95779683499967)",(580) 658-5422,(580) 658-5426
McAlester,PITTSBURG COUNTY,BANCFIRST - 192-77,"608 S GEORGE NIGH EXPRESSWAY
MCALESTER, OK 74501
(34.91580006500044, -95.74488685299968)",(918) 426-0200,
McAlester,PITTSBURG COUNTY,BANCFIRST - 192-04,"501 E CARL ALBERT PARKWAY
MCALESTER, OK 74501
(34.935217167000474, -95.77692374399965)",(918) 426-0200,(918) 423-7662
McLoud,POTTAWATOMIE COUNTY,BANCFIRST - 192-57,"508 W BROADWAY
MCLOUD, OK 74851
(35.43597349300046, -97.09364078399966)",(405) 273-1000,(405) 878-7237
Meeker,LINCOLN COUNTY,BANCFIRST - 192-36,"601 W CARL HUBBELL BOULEVARD
MEEKER, OK 74855
(35.50318657100047, -96.90154683699967)",(405) 279-3535,(405) 279-2704
Midwest City,OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-32,"1900 S DOUGLAS BOULEVARD
MIDWEST CITY, OK 73130
(35.44567109700046, -97.3707864539997)",(405) 419-1701,(405) 419-1705
Midwest City,OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-01","1716 S POST ROAD
MIDWEST CITY, OK 73130
(35.44712988600048, -97.35312658299966)",(405) 378-0039,(866) 222-4780
Midwest City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-12,"1405 S DOUGLAS BOULEVARD, SUITE B
MIDWEST CITY, OK 73130
(35.45096007100045, -97.3708843979997)",(405) 455-5700,(405) 455-5703
Midwest City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-16,"7121 E RENO AVENUE, SUITE C
MIDWEST CITY, OK 73110
(35.464117977000456, -97.40328080099965)",(405) 610-1917,(405) 610-1914
Moore,CLEVELAND COUNTY,FIRST UNITED BANK & TRUST - 11-02,"2900 S TELEPHONE ROAD, SUITE 150
MOORE, OK 73160
(35.31070033600048, -97.49439019699969)",(405) 912-9599,(855) 231-8564
Moore,CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-35,"2101 SANTA FE
MOORE, OK 73160
(35.33770136400045, -97.4822678219997)",(405) 419-3710,(405) 419-3728
Moore,CLEVELAND COUNTY,BANCFIRST - 192-79,"600 NW 5TH
MOORE, OK 73160
(35.34331589600049, -97.49460028299967)",(405) 794-5511,
Moore,CLEVELAND COUNTY,BANCFIRST - 192-80,"701 SW 19TH STREET
MOORE, OK 73160
(35.31985805500045, -97.49937073399968)",(405) 794-5511,
Moore,CLEVELAND COUNTY,LEADER MORTGAGE CORPORATION - 216-02,"2313 S I-35 SERVICE ROAD
MOORE, OK 73160
(35.31685023300048, -97.4905039199997)",(405) 794-3947,(405) 794-7613
Muskogee,MUSKOGEE COUNTY,BANCFIRST - 192-07,"2400 OLD SHAWNEE ROAD
MUSKOGEE, OK 74403
(35.76971047200044, -95.34019687399967)",(918) 683-5551,(918) 683-5656
Muskogee,MUSKOGEE COUNTY,LEADER MORTGAGE CORPORATION - 216-01,"555 W OKMULGEE
MUSKOGEE, OK 74403
(35.743460310000444, -95.35762679999965)",(918) 682-4888,(918) 682-3982
Muskogee,MUSKOGEE COUNTY,BANCFIRST - 192-81,"501 N MAIN STREET, #64
MUSKOGEE, OK 74403
(35.75173565300048, -95.36729232399966)",(918) 683-4055,
Muskogee,MUSKOGEE COUNTY,BANCFIRST - 192-82,"3601 W OKMULGEE
MUSKOGEE, OK 74403
(35.743460310000444, -95.35762679999965)",(918) 686-5290,
Muskogee,MUSKOGEE COUNTY,FIRST UNITED BANK & TRUST - 11-18,"1143B N MAIN
MUSKOGEE, OK 74403
(35.72600581600045, -95.33599586999969)",(918) 683-1003,(918) 683-1003
Muskogee,MUSKOGEE COUNTY,ARVEST MORTGAGE COMPANY - 209-31,"735 N YORK STREET
MUSKOGEE, OK 74403
(35.74879506400049, -95.34041199699965)",(918) 207-4813,(918) 207-4828
Newcastle,MCCLAIN COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-04","910 NW 32ND STREET
NEWCASTLE, OK 73065
(35.29096483800049, -97.61041976399969)",(405) 392-5000,(405) 809-1693
Noble,CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-03,"805 N MAIN
NOBLE, OK 73068
(35.14992759800049, -97.39702391099968)",(405) 872-0505,(405) 872-5530
Norman,CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-38,"3615 W MAIN STREET
NORMAN, OK 73072
(35.21843046000049, -97.4954823489997)",(405) 366-3053,(405) 366-3068
Norman,CLEVELAND COUNTY,FIRST MORTGAGE COMPANY - 24-10,"1004 24TH AVENUE NW, SUITE 102
NORMAN, OK 73069
(35.23044998600045, -97.4804234509997)",(405) 310-5334,(405) 310-5327
Norman,CLEVELAND COUNTY,BANCFIRST - 192-84,"1117 24th AVE NW
NORMAN, OK 73069
(35.232730569000466, -97.48036730199965)",(405) 360-6061,
Norman,CLEVELAND COUNTY,BANCFIRST - 192-83,"333 E 12TH AVENUE
NORMAN, OK 73069
(35.26913111300047, -97.45905145599966)",(405) 360-6061,
Norman,CLEVELAND COUNTY,BANCFIRST - 192-30,"1201 W MAIN STREET
NORMAN, OK 73069
(35.21847031600049, -97.45910618399967)",(405) 360-6061,(405) 329-1464
Norman,CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-01,"401 W MAIN STREET
NORMAN, OK 73069
(35.21890664500046, -97.44823131399966)",(405) 366-2750,(405) 366-2737
Norman,CLEVELAND COUNTY,FIRST UNITED BANK & TRUST - 11-17,"712 WALL STREET, SUITE 200
NORMAN, OK 73069
(35.22691039500046, -97.48168436099968)",(405) 329-3474,(877) 820-6531
Norman,CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-04,"3500 W ROBINSON STREET
NORMAN, OK 73072
(35.232852712000465, -97.4934606809997)",(405) 366-2750,(405) 366-2816
Norman,CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-06,"1355 W LINDSEY STREET
NORMAN, OK 73069
(35.20395809200045, -97.46331007399965)",(405) 292-3411,(405) 292-3448
Norman,CLEVELAND COUNTY,ARVEST MORTGAGE COMPANY - 209-15,"200 E MAIN STREET
NORMAN, OK 73069
(35.221584547000475, -97.44173014099965)",(405) 366-3984,(405) 366-3072
Nowata,NOWATA COUNTY,ARVEST MORTGAGE COMPANY - 209-12,"108 N MAPLE
NOWATA, OK 74048
(36.70046900900047, -95.63808508499966)",(918) 273-3442,(918) 273-0059
Okemah,OKFUSKEE COUNTY,BANCFIRST - 192-85,"302 W BROADWAY
OKEMAH, OK 74859
(35.43156931700048, -96.30360769399965)",(918) 623-1211,
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-47,"7701 S SOONER ROAD
OKLAHOMA CITY, OK 73135
(35.38896039500048, -97.42364392499968)",(405) 672-1945,(405) 672-9875
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-34,"9335 S PENNSYLVANIA AVENUE
OKLAHOMA CITY, OK 73159
(35.37360047800047, -97.54783455499967)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-21,"7901 N MACARTHUR
OKLAHOMA CITY, OK 73132
(35.55173863800047, -97.61919075799966)",(405) 270-1000,(405) 720-3575
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-20,"101 N BROADWAY, SUITE 650
OKLAHOMA CITY, OK 73102
(35.46793203000044, -97.51451402099968)",(405) 270-4700,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,"WR STARKEY MORTGAGE, LLP - 12-02","1624 SW 122ND STREET
OKLAHOMA CITY, OK 73170
(35.346243004000485, -97.54615107099966)",(405) 378-0039,(866) 761-3526
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-86,"220 N BROADWAY
OKLAHOMA CITY, OK 73102
(35.46952909100048, -97.51438727099969)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-87,"809 CORNELL PARKWAY
OKLAHOMA CITY, OK 73108
(35.45745087400047, -97.59678463899968)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-88,"2930 SW 134TH
OKLAHOMA CITY, OK 73170
(35.33405301400046, -97.56712029499965)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-90,"700 E MEMORIAL ROAD
OKLAHOMA CITY, OK 73114
(35.60911305400049, -97.50056104099968)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-91,"1111 N LINCOLN BLVD
OKLAHOMA CITY, OK 73104
(35.47851112900048, -97.50278379199966)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANK OF OKLAHOMA - 182-03,"4005 NW EXPRESSWAY, STE 100
OKLAHOMA CITY, OK 73116
(35.537265979000495, -97.59079968599968)",(405) 879-8700,(405) 879-8735
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-08,"4500 W MEMORIAL ROAD
OKLAHOMA CITY, OK 73142
(35.609063506000496, -97.6037052429997)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,CORNERSTONE HOME LENDING - 21-01,"4700 GAILLARDIA PARKWAY, SUITE 101
OKLAHOMA CITY, OK 73142
(35.610680157000445, -97.60782119299967)",(405) 445-5445,(800) 688-6103
Oklahoma City,OKLAHOMA COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-02","5629 N CLASSEN BOULEVARD
OKLAHOMA CITY, OK 73118
(35.52837842800045, -97.53596144299968)",(405) 463-6737,(405) 809-1662
Oklahoma City,OKLAHOMA COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-03","10900 HEFNER POINTE DRIVE, SUITE 101
OKLAHOMA CITY, OK 73120
(35.58138223900045, -97.58322458599969)",(405) 613-5014,(405) 809-1587
Oklahoma City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-01,"6501 N BROADWAY, SUITE 180
OKLAHOMA CITY, OK 73116
(35.54133157400048, -97.51541195199968)",(405) 842-8090,(405) 842-0238
Oklahoma City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-04,"415 N BROADWAY
OKLAHOMA CITY, OK 73102
(35.47144187900045, -97.51441377299966)",(405) 609-1652,(405) 606-4151
Oklahoma City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-08,"4401 W MEMORIAL ROAD, SUITE 109
OKLAHOMA CITY, OK 73134
(35.61025842200047, -97.60236052999966)",(405) 607-2913,(405) 607-2915
Oklahoma City,OKLAHOMA COUNTY,FIRST MORTGAGE COMPANY - 24-18,"1530 SW 119TH STREET, SUITE 103
OKLAHOMA CITY, OK 73170
(35.34877341400045, -97.54292007299966)",(405) 759-3800,(405) 759-3809
Oklahoma City,OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-13,"4301 W MEMORIAL ROAD
OKLAHOMA CITY, OK 73134
(35.61026764100046, -97.59859141599969)",(405) 419-3814,(405) 419-3814
Oklahoma City,OKLAHOMA COUNTY,FIRST UNITED BANK & TRUST - 11-02,"6000 S WESTERN, 2ND FLOOR
OKLAHOMA CITY, OK 73139
(35.406165039000484, -97.53016778399967)",(405) 636-0043,(405) 636-0622
Oklahoma City,OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-10,"4600 SE 29TH STREET
DEL CITY, OK 73115
(35.435223358000485, -97.43383009599967)",(405) 671-8267,(405) 671-8251
Oklahoma City,OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-08,"9300 S WESTERN AVENUE
OKLAHOMA CITY, OK 73139
(35.37428388900048, -97.53006569999968)",(405) 419-3710,(405) 419-3728
Oklahoma City,OKLAHOMA COUNTY,FIRST UNITED BANK & TRUST - 11-16,"5101 GAILLARDIA CORP PL, STE B
OKLAHOMA CITY, OK 73142
(35.60337672500049, -97.63044988999968)",(405) 340-2015,(877) 331-6714
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-53,"6200 WATERFORD BOULEVARD
OKLAHOMA CITY, OK 73118
(35.53443367000045, -97.54705791699968)",(405) 270-1000,(405) 270-1091
Oklahoma City,OKLAHOMA COUNTY,BANCFIRST - 192-54,"11001 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.58204134500045, -97.56724474199967)",(405) 270-1000,(405) 270-1091
Owasso,TULSA COUNTY,FIRST UNITED BANK & TRUST - 11-14,"9455 N OWASSO EXPRESSWAY, SUITE A
OWASSO, OK 74056
(36.29071434500048, -95.83651179699967)",(918) 609-6970,(866) 535-2683
Owasso,TULSA COUNTY,BANK OF OKLAHOMA - 182-02,"413 E 2ND STREET
OWASSO, OK 74065
(36.26818603200047, -95.85258193099969)",(918) 588-8650,(918) 272-0156
Pauls Valley,GARVIN COUNTY,FIRST UNITED BANK & TRUST - 11-05,"315 W GRANT AVENUE
PAULS VALLEY, OK 73075
(34.73971895000045, -97.22244360799965)",(405) 238-3341,(405) 238-3247
Piedmont,CANADIAN COUNTY,BANCFIRST - 192-92,"410 PIEDMONT ROAD S
PIEDMONT, OK 73078
(35.635428866000495, -97.7452964799997)",(405) 270-1000,
Piedmont,CANADIAN COUNTY,FIRST MORTGAGE COMPANY - 24-24,"13100 COLONY POINT BOULEVARD, SUITE 201
PIEDMONT, OK 73078
(35.66001821700047, -97.7452492809997)",(405) 283-0719,(405) 283-0730
Poteau,LE FLORE COUNTY,ARVEST MORTGAGE COMPANY - 209-23,"3002 N BROADWAY
POTEAU, OK 74953
(35.088640705000444, -94.63072367499967)",(918) 649-3019,(918) 776-6126
Prague,LINCOLN COUNTY,BANCFIRST - 192-23,"902 E MAIN STREET
PRAGUE, OK 74864
(35.486538479000444, -96.67785841599965)",(405) 567-2241,
Pryor,MAYES COUNTY,ARVEST MORTGAGE COMPANY - 209-24,"101 S MILL
PRYOR, OK 74361
(36.30617902500046, -95.31906917399965)",(918) 825-8722,(918) 825-8711
Sand Springs,TULSA COUNTY,BANCFIRST - 192-09,"301 E 2ND STREET
SAND SPRINGS, OK 74063
(36.13846155900046, -96.10619801099966)",(918) 245-2261,(918) 241-5555
Sand Springs,TULSA COUNTY,BANCFIRST - 192-93,"102 W 41ST STREET
SAND SPRINGS, OK 74063
(36.104689013000495, -96.12159422799965)",(918) 241-5576,
Sapulpa,CREEK COUNTY,FIRST UNITED BANK & TRUST - 11-09,"315 E DEWEY AVENUE
SAPULPA, OK 74066
(35.99878826200046, -96.10922107899967)",(918) 224-5151,(918) 224-3067
Seminole,SEMINOLE COUNTY,BANCFIRST - 192-94,"206 N 2nd
SEMINOLE, OK 74868
(35.22455800300048, -96.66980267999969)",(405) 380-1300,
Seminole,SEMINOLE COUNTY,BANCFIRST - 192-11,"1500 N MILT PHILLIPS AVENUE
SEMINOLE, OK 74868
(35.23745317200047, -96.67092601999968)",(405) 380-1300,(405) 382-1268
