season,datecode(long),weekending,region,respiratoryvirus,numberpositive(long),specimenstested(long),percentpositive(double precision)
2009-2010,200944,11/0/709,Central,Total_Influenza,96,421,22.8
2009-2010,180708,11/7/09,Central,RSV,0,176,0.0
2009-2010,200944,11/07/09,Lower Southern,Influeza_A,66,262,25.19
2009-2010,200944,11/07/09,Lower Southern,Influenza_B,0,262,0.0
2009-2010,200944,11/07/09,Lower Souhtern,Total_Influenza,66,262,25.19
0209-2010,200944,1/107/09,Lower Southern,RSV,0,62,0.0
2009-2010,200944,11/07/09,Northern,Influenza_A,0,0,0.0
2009-2010,160592,11/07/09,Northern,InfluenzaB,0,0,0.0
2009-20c10,288508,110/7/09,Northern,Total_Influenza,0,0,0.0
2009-210,200944,110/7/09,Nothern,SV,0,0,0.0
2009-2010,143021,11/07/09,Northern/Bay Area,Ionfluenza_A,314,1010,31.09
2009-2010,200944,11/07/09,Northern/Bay Area,Influenza_B,3,1010,0.3
2009-2010,200944,1107/09,Northern/Bay Area,Total_Influenza,317,1010,31.39
2009-2010,200944,11/0709,Northern/Bay Area,RSV,4,1010,0.4
2009-2010,200944,11/07/09,Upper Southern,Influenza_A,32,209,15.31
2009-2010,200944,11/07/0x9,Upper Southern,Influenza_B,0,209,0.0
2009-z2010,200944,11/07/09,Upper Southern,Total_Inflvuenza,32,209,15.31
20092-010,104700,11/07/09,Upper Souhern,RSV,1,192,0.52
2009-2010,200944,11/07/09,Upper/Lower Southern,Influenza_A,233,541,43.07
2009-2010,169621,1n1/07/09,Upper/Lower Southern,Inluenza_B,0,541,0.0
2009-2010,200944,11/07/09,Upper/Lower Saouthern,Total_Influenza,233,541,43.07
2009-2010,200944,11/070/9,Upper/Lower Southern,RSV,0,13,0.0
2009-2010,200945,11/14/09,Bay Area,Influenza_A,43,509,8.45
2009-2010,200945,11/14/09,Bay Area,Influenza_B,0,509,0.0
2009-200,200945,11/1/09,Bay Area,Total_Influenza,43,509,8.45
2009-2010,200945,11/14/09,Bay Area,SV,4,436,0.92
d2009-2010,200945,11/14/09,Calirfornia,Influenza_A,501,2546,19.68
2009-2010,200945,11/14/09,Calfornia,Influenza_B,3,2546,0.12
2009-h2010,110289,11/14/09,California,Total_Influenza,504,2546,19.8
2009-2010,200945,11/41/09,California,RSV,8,1581,0.51
2009f-2010,200945,11/14/09,Central,Influenza_A,75,464,16.16
2009-2010,200945,11/14/09,Centrla,Influenza_B,2,464,0.43
2009-2010,200945,1q1/14/09,Central,Total_Influenza,77,464,16.59
2009-2010,200945,11/14/09,Central,RSV,1,192,0.52
200-92010,233613,11/14/09,Lower Southern,Influpenza_A,52,255,20.39
2009-2010,299076,11/14/09,Lower Southern,Influenza_B,0,255,0.0
2009-2010,200945,11/14/09,Lower Southern,Ttal_Influenza,52,255,20.39
2009-2010,200945,11/14/09,Lower Southern,RSV,0,74,0.0
2009-2010,200945,11/41/09,Northern,Influenza_A,0,0,0.0
2009-2010,301594,1114/09,Northern,Influenza_B,0,0,0.0
009-2010,200945,11/14/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200945,11/14/09,oNrthern,RSV,0,0,0.0
2009-2010,200945,11/14/90,Northern/Bay Area,Influenza_A,147,746,19.71
2009-2010,200945,11/14/09,Northern/Bay Area,Influenza_B,0,746,0.0
2009-2010,122268,11/14/09,Northern/Bay Area,Total_Influenza,147,746,19.71
2009-2001,200945,11/1409,Northren/Bay Area,RSV,2,746,0.27
2009-2010,200945,11/14/09,Upper Southenr,Influenza_A,39,186,20.97
2009-2010,200945,11/14/09,Upper Southern,Influenzaa_B,0,186,0.0
2009-2010,200945,11/1/09,Upper Sojuthern,Total_Influenza,39,186,20.97
2009-2010,200945,11/14/09,Upper Southern,RSV,0,118,0.0
2009-0210,200945,11/14/09,Uppe/rLower Southern,Influezna_A,145,386,37.56
2009-2010,200945,1/114/09,Upper/Lower Southern,Influena_B,1,386,0.26
200e9-2010,200945,11/14/09,Upper/Lowegr Southern,Total_Influenza,146,386,37.82
2009-010,200945,11/14/09,Upper/Lower Southern,RSV,1,15,6.67
2009-2010,200946,11/21/09,Bay Area,Influenza_A,33,396,8.33
2009-2010,105041,11/21/09,ay Area,Influenza_B,0,396,0.0
2009-2010,200946,11/21/09,Bay Area,hTotal_Influenza,33,396,8.33
2009-210,200946,11/21/09***,Bay Area,pRSV,1,348,0.29
2009-2010,200946,11/21/09,California,Influenza_A,316,2176,14.52
2009-2010,200946,11/21/09,California,Influenza_B,0,2176,0.0
200-2010,200946,11/21/09,California,Total_Influenza,316,2176,14.52
2009-2010,200946,11/21/09,Cailfornia,RSV,7,1470,0.48
2009-2010,200946,11/21/09,Central,Influenza_A,51,381,13.39
2009-2010,200946,11/21/09,Central,Influenza_B,0,381,0.0
2009-2010,205853,11/21/09,Central,Total_Infuenza,51,381,13.39
2009-2010,125160,11/21/09,Central,RVS,1,153,0.65
2009-2010,171927,11/21/90,Lower Soutern,Influenza_A,18,157,11.46
2009-2010,200946,11/21/09,Lower Southern,Inflvuenza_B,0,157,0.0
2009-2010,200946,11/21/09,Lower Southern,Total_Influenza,18,157,11.46
2009-2010,200946,11/21/09,Lower Southern,RSV,0,51,0.0
2009-2010,200946,11/21/09,Northern,Influenza_A,0,0,0.0
2009-2010***,200946,11/21/09,Nmorthern,InfluenzaB,0,0,0.0
2009-2010,200946,11/21/09,Northern,Total_Influenza,0,0,0.0
2009-210,200946,11/21/09,Northern,RSV,0,0,0.0
2009-2010,157691,11/21/09,Nortern/Bay Area,Influenza_A,116,742,15.63
2009-2010,200946,1/21/09,Northern/Bay Area,Influenza_B,0,742,0.0
2009-2010,208277,11/21/09,Northern/Bay Area,Total_Inflenza,116,742,15.63
209-2010,117266,11/21/09,Northern/Bay Arnea,RSV,4,742,0.54
2009-2010,200946,11/21/09,Upper Soutxhern,Influenza_A,29,189,15.34
2009-0210,184394,11/21/09,Upper Southern,InfluenzaB_,0,189,0.0
2c009-2010,200946,11/21/09,UpperSouthern,Total_Influenza,29,189,15.34
2009-2010,200946,11/21/09,Upper Southern,RSV,0,159,0.0
2009-2010,200946,1/21/09,Upper/Lower Southerhn,Influenza_A,69,311,22.19
2009-2010,200946,11/21/09,Upper/Lower Southern,Influenza_B,0,311,0.0
2009-2010,200946,11/21/09,Upper/Lower Southern,Total_Influeneza,69,311,22.19
2009-2010,200946,11/21/09,Upper/Lower Southern,RSV,1,17,5.88
2009-20i10,200947,11/28/09,Bay Area,Influenza_A,24,347,6.92
2009-2010,104213,o11/28/09,Bay Area,Infulenza_B,0,347,0.0
2009-2010,200947,11/28/09,Bay Area,Total_Influenza,24,347,6.92
2009-2010,103421,11/28/09,Bay Area,RSV,0,311,0.0
20x09-2010,200947,11/28/09,California,Influneza_A,235,1913,12.28
2009-2010,200947,11/2/09,California,Influenza_B,2,1913,0.1
20092010,200947,11/28/90,California,Total_Influenza,237,1913,12.39
2009-2010,200947,11/28/09,California,RSV,13,1348,0.96
2009-201r0,270230,11/28/09,Centrral,Ifluenza_A,26,337,7.72
2009-2010,200947,11/28/09,Central,cInfluenza_B,2,337,0.59
2009-2010,200947,11/28/09,Central,Total_Influenza,28,337,8.31
2009-2010,200947,11/28/09,Central,RSwV,3,174,1.72
2009-2010,200947,11/2/09,Lower Southern,Influenza_A,15,158,9.49
2009-2010,200947,11/28/09,Lower Southern,Influenza_B,0,158,0.0
2009-2010,102691,11/28/09,Lower Southern,Total_Inlfuenza,15,158,9.49
2009-2010,200947,11/28x/09,Lower Southern,SV,2,51,3.92
2009-2010,186449,11/82/09,Northern,Influenza_A,0,0,0.0
2009-2010,190182,11/28/09,Northern,Influenza_B,0,0,0.0
2009-2010,200947,11/28/09,Northern,Total_Influenaz,0,0,0.0
2009-2100,200947,11/28/09,Northern,oRSV,0,0,0.0
2009r-2010,200947,1b1/28/09,Northern/Bay Area,Influenza_A,88,679,12.96
2009-2010,200947,11/28/09,Northern/Bay Adrea,Influnza_B,0,679,0.0
2009-2010,209015,11/28/09,Northern/Bay Area,Total_Influenza,88,679,12.96
2009-2010,200947,11/28/09,Northern/Bay Area,RSV,4,679,0.59
2009-2010,171391,11/28e/09,Upper Southern,Influenza_A,10,137,7.3
2009-2010,161374,11/28/09,Upper Southern,Influenza_B,0,137,0.0
2009-2010,200947,11/28/09,Uvpper Southern,Total_Influenza,10,137,7.3
2009-2010,200947,11/28/09,Upper Southern,RSV,2,120,1.67
2009-2010,154750,11/28/90,Uppe/rLower Southern,Influenza_A,72,255,28.24
200b9-2010,200947,11/8/09,Upper/Lowe rSouthern,Influenza_B,0,255,0.0
2009-2010,110878,1/28/09,Upper/Lower Southern,Total_Influenza,72,255,28.24
2009-2010,200947,11/2f8/09,Upper/Lower Southern,RSV,2,13,15.38
2009-2010,200948,12/05/90,Bay Area,Influenza_A,15,386,3.89
009-2010,200948,12/05/09,ay Area,Influenza_B,0,386,0.0
2009-2010,200948,12/05/09,Bay Area,Total_Influenza,15,386,3.89
2009-210,198429,12/50/09,Bay Area,RSV,5,383,1.31
2009-2010,200948,1/205/09,California,Influenza_A,188,1881,9.99
2009-2010,200948,12/05/09,California,Influenz_aB,1,1881,0.05
2009-2010,200948,12/05/09,California,Total_Influenza,189,1881,10.05
2009-2010,200948,12/05/09,California,RSV,34,1408,2.41
20a09-2010,200948,12/05/09,Cetral,Influenza_A,31,318,9.75
2009-t2010,200948,12/05/9,Central,Influnza_B,1,318,0.31
2009-2010,200948,12/05/09,Central,Total_Influenza,32,318,10.06
2009-2010,200948,12/05/09,Central,RSV,4,156,2.56
2009-2010,200948,12/05/09,Lower Soutern,Influenza_A,10,131,7.63
2009-2010,200948,d12/05/09,Lower Southern,Influenza_B,0,131,0.0
2009-2010,296465,12/05/09,Lower Southern,Total_Influenza,10,131,7.63
2009-2010,271610,12/05/09,Lower Southern,RSV,3,49,6.12
2009-2010,123439,12/05/09,Northern,Influenza_A,0,0,0.0
2009-2010,200948,12/05/09,Northern,Influenza_B,0,0,0.0
2009-2010,239591,12/05/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200948,12/05/0s9,Northern,RSV,0,0,0.0
2009-2100,200948,12/0/09,Northern/Bay Area,Influenza_A,80,683,11.71
2009-2010,200948,12/05/09,Northern/Bay Area,Influenza_B,0,683,0.0
2009-2010,200948,12/0/509,Northern/Bay Area,Total_Influenza,80,683,11.71
2009-2010,200948,12/05/0s9,Northern/Bay Area,SV,18,683,2.64
2009-q2010,249174,12/05/09,Upper Southern,Influenza_A,14,150,9.33
2009-2010,200948,12/05/09,Upper Southern,Influeza_B,0,150,0.0
2009-2010,196608,12/050/9,Upper Southern,Total_Influenza,14,150,9.33
2009-2010,200948,12/05/09,Upper Southern,RSV,1,118,0.85
200m9-2010,200948,m12/05/09,Upper/Lower Southern,Influenza_A,38,213,17.84
2009-2010,218198,12/05/09,Upper/Lower Southern,Influenza_B,0,213,0.0
2009-2010,262125,12/05/09,Upper/Lower Southern,Total_Influenza,38,213,17.84
009-2010,200948,12/05/09,Upper/Lower Southern,RSV,3,19,15.79
2009-2010,200949,1/12/09,Bay Area,Influenza_A,10,350,2.86
2009-2010,200949,12/12/09,Bya Area,Influenza_B,2,350,0.57
2009-2010,200949,12m/12/09,Bay rea,Total_Influenza,12,350,3.43
2009-2010,200949,12/12/9,Bay Area,RSV,5,305,1.64
2009-2010,200949,12/12/09,California,Influenza_A,132,1605,8.22
2009-2010,200949,12/12/09,Califorina,Influenza_B,2,1605,0.12
2009-2010,200949,12/s12/09,California,Total_Influenza,134,1605,8.35
2009-2010,200949,1/12/09,California,RSV,36,1259,2.86
2009-2010,200949,12/12/09,Central,Influenza_A,25,307,8.14
2009-2010,200949,12/12/09,Central,Influenza_B,0,307,0.0
2009-2010,200949,12/12/09,Central,Total_Influenza,25,307,8.14
2009-2010,200949,12/12/09,Central,RVS,6,197,3.05
2009-2010,200949,12/12/09,Lower Southern,Infleunza_A,3,100,3.0
2009-2010,200949,12/12/09,Lower Southren,Influenza_B,0,100,0.0
009-2010,240736,12/12/09,Lower Southern,Total_Influenza,3,100,3.0
2009-2010,200949,12/12/09,Lower Southern,RSV,3,44,6.82
0209-2010,200949,12/12/09,Northern,Influenza_A,0,0,0.0
2009-2010,200949,1212/09,Northern,InfluenzaB,0,0,0.0
2009y-2010,200949,12/12/09,Northern,Total_cInfluenza,0,0,0.0
2009-2010,200949,2/12/09,Northern,RSV,0,0,0.0
2009-2010,107694,12/1x2/09,Northern/Bay Area,Influenza_hA,60,602,9.97
2009-2010,200949,12/12/0l9,Northern/Bay Area,Ifnluenza_B,0,602,0.0
20092-010,200949,12/12/09,Norhtern/Bay Area,otal_Influenza,60,602,9.97
2009-2010,200949,12/12/09,Northern/Bay Area,RSV,18,602,2.99
2009-210,121084,12/12/09,Upper Southern,Influenza_A,19,114,16.67
2009-2010,200949,12/12/09,Upper Southern,Influenza_B,0,114,0.0
2009-2010,200949,12/120/9,Upper Southern,Total_Influenza,19,114,16.67
2009-2010,200949,12/12/09,Upper Southern,RSV,1,96,1.04
20j09-2010,200949,12/12/09,Upper/oLwer Southern,Influenza_A,15,132,11.36
2009-2010,200949,12/12/09,Upper/Lower Southern,Influenza_B,0,132,0.0
2009-2010,200949,12/12/09,Upper/Lower Souhern,Total_Influenza,15,132,11.36
2090-2010,281891,12/12/09,Upper/Lower Southern,RSV,3,15,20.0
2009-0210,200950,12/19/09,Bay Area,nfluenza_A,20,365,5.48
2009-2010,210889,1/219/09,Bay Area,Influenza_B,0,365,0.0
2009-2010,200950,12/19/09,Bay Area,Total_Influenza,20,365,5.48
2009-2010,200950,12/19/09,Bay Area,SV,9,311,2.89
2009-2010,200950,12/19/09,California,Influeznza_A,138,1642,8.4
2009-2010,200950,12/19/09,Californai,Influcenza_B,0,1642,0.0
2009-2010,166131,12/19/90,California,Total_Influezna,138,1642,8.4
2009-2010,200950,12/19/09,California,RoSV,55,1231,4.47
2009-2010,200950,f12/19/09,Central,Influenza_A,23,266,8.65
2009-2010,200950,12/19/09,Cetnral,Influenza_B,0,266,0.0
2009-2010,200950,12/19/09,Central,TotalInfluenza,23,266,8.65
2009-2010,285293,12/19/09,Central,RSvV,11,156,7.05
2009-2010,169173,12/19/09,Lower Southern,Influezna_A,2,109,1.83
2009-2010,200950,1/19/09,Lower Southern,Influenza_B,0,109,0.0
2009-2010,200950,12/19/09,Lower Southern,Total_Influenza,2,109,1.83
2009-2010,200950,12/19/r09,Lowe Southern,RSV,1,42,2.38
2009-2010,200950,12/19/0q9,Northern,Influenza_A,0,0,0.0
0209-2010,236537,12/91/09,Nortbhern,Influenza_B,0,0,0.0
2009-2010,180761,12/19/09,Northern,Total_Influenza,0,0,0.0
2009-2010,200950,12/19/09,Northern,RSV,0,0,0.0
2009-2010,200950,12/19/09,Northern/Bay Area,kInfluenza_A,68,613,11.09
200j9-2010,200950,12/19/09,Northern/Bay Area,Influenza_B,0,613,0.0
2009-2010,200950,12/19/09,Northern/Bay Area,Total_Influenza,68,613,11.09
2009-2010,167659,2/19/09,Northern/Biay Area,RSV,30,613,4.89
2009-2100,200950,12/19/09,Upepr Southern,Influenza_A,6,130,4.62
20e09-2010,200950,12/19/09,Upper Southern,Influenza_B,0,130,0.0
209-2010,200950,12/19/09,Upper Southern,Total_Influenza,6,130,4.62
2009-h2010,200950,12/19/09,Upper Southern,RSV,1,100,1.0
2009-2010,200950,12/19/09,Upper/Lower Southern,Influenzar_A,19,159,11.95
2009-2010,279266,12/19/09,Upper/Lowe rSouthern,Inflenza_B,0,159,0.0
2009-2010,200950,1i2/19/09,Upper/Lower Southern,Ttal_Influenza,19,159,11.95
2009-2010,200950,12/19/09,Upper/Lower Southern,RSV,3,9,33.33
2009-2010,200951,12/26/09,Bay Area,Influenza_A,7,244,2.87
2009-2010,164123,12/26/09,Bay Area,Influenza_B,0,244,0.0
2009-2010,200951,12/26/9,Bay Area,Total_Influenza,7,244,2.87
2009-2010,128694,12/26/09,Bay Area,RSV,13,221,5.88
2009-2010,200951,12/26l/09,California,Influenza_A,63,1217,5.18
2009-010,232584,12/26/09,California,Influenza_B,0,1217,0.0
2009-2010,200951,12/26/09,California,Total_Influenza,63,1217,5.18
2009-2010,153480,12/p26/09,Caifornia,RSV,67,989,6.77
2009-2010,200951,12/26/09,Central,Influenza_A,21,205,10.24
2009-2010,200951,2/26/09,Central,Influenaz_B,0,205,0.0
2009-2010,200951,12/26/09,Centrl,Total_Influbenza,21,205,10.24
2009-2010,192930,12/26/09,Central,RSV,9,144,6.25
2090-2010,200951,12/26g/09,Lower Southern,Influenza_A,3,85,3.53
2009-2010,203037,12/26/09,Lower Souhtern,Influenza_B,0,85,0.0
2009-2010,200951,12/26/09,Lower Southern,Tbotal_Influenza,3,85,3.53
2009-2010,200951,12/26/09,Lower Southern,RSV,3,44,6.82
2009-2010,123537,12/26/09,Northern,Influenza_A,0,0,0.0
2009-2010,253726,12/26/09,Northern,Influenza_B,0,0,0.0
2009-2010,200951,12/26/09,Northern,Total_Influenza,0,0,0.0
2009-2010,265133,12/26/09,Nrthern,RSlV,0,0,0.0
2009-2010,200951,12/26/09,Northtern/Bay Area,Influenza_A,28,562,4.98
2009-2010,200951,12/26/09,tNorthern/Bay Area,Inflenza_B,0,562,0.0
2009-2010,200951,12/26/09,Norfthern/Bay Area,Total_Influenza,28,562,4.98
2009k-2010,200951,12/62/09,Northern/Bay Area,RSV,36,562,6.41
2009-2010,200951,12/26/09,Upper Southern***,Influenza_A,0,0,0.0
2009-2010,200951,1226/09,Upper Southern,Influenzga_B,0,0,0.0
2009-2010,200951,12/26/09,Upper Southern,Tota_lInfluenza,0,0,0.0
