namevalue,streetaddress,city,statevalue,zipcode(long),latitude(double precision),longitude(double precision),localizability,datasourcename,datasourceurl,primarykeyfromrocket(long),assettype
Coraopolis Cash Market,1017 4th Avenue,Coraopolis,PA,14421,40.5183067281232,-80.1628130642656,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34765,supermarkets
Giant Eagle #77,254 Yost Boulevard,Pittsburgh,PA,15221,40.4144911501518,-79.8552918228808,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30226,supermarkets
Giant Eagle #25,1029 West View Park Drive,Pittsburgh,PA,15229,40.6122613707721,-88.47731662125585,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34317,supermarkets
Shop 'n Save / Russellton,908 Little Deer Creek Valley Road,Russellton,PA,15076,40.6086628976599,-91.904105327083,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,25315,supermarkets
Shop 'n Save / Brownsville Road,1119 Brownsville Road,Pittsburgh,PA,15210,40.4048249476727,-79.989721255342,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,635978923130,supermarkets
Giant Eagle #78,230 Rodi Road,Pittsburgh,PA,15235,40.4617445773283,-79.8252122711155,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848,supermarkets
Giant Eagle #37,5 Quaker Village Shopping Center,Leetsdale,PA,10506,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,617559569422,supermarkets
Shop 'n Save McKeesport,815 5th Ave,Mc Keesport,PA,15132,40.3519055509553,-79.8560283571471,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56556,supermarkets
Giant Eagle #64,3812 O'Neil Blvd,Mc Keesport,PA,17201,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2370,supermarkets
Wal-Mart Super Center #2588,100 Wal-Mart Dr,North Versailles,PA,17697,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-379914491525,supermarkets
Giant Eagle #0004,5055 Library Road,Bethel Park,PA,15102,35.46349264381243,-80.0254781207211,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2154,supermarkets
Giant Eagle #65,4110 Brighton Road,Pittsburgh,PA,15212,46.44778288203494,-80.0434660161438,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2050,supermarkets
Giant Eagle #45,225 Blazier Dr,Pittsburgh,PA,15237,51.19600332324917,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2051,supermarkets
Sam's Club #6575,249 Summit Park Drive,Pittsburgh,PA,15275,40.4495538766619,-80.1779904349046,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55897,supermarkets
Giant Eagle #0052,132 Ben Avon Heights Rd,Pittsburgh,PA,15237,40.5216393149771,-80.0691386522503,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57792,supermarkets
Giant Eagle #0073,9901 Mountain View Drive,West Mifflin,PA,15122,40.3396577028123,-79.9497507234932,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-396931394151,supermarkets
Murray Avenue Kosher,1912 Murray Avenue,Pittsburgh,PA,10690,46.757697642113854,-79.9231754772003,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56065,supermarkets
Giant Eagle #646,51 Walsh Road,Pittsburgh,PA,15205,40.4405981739094,-80.0720081639852,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55556,supermarkets
Giant Eagle #17,6320 Shakespeare St,Pittsburgh,PA,15206,40.4586694165469,-79.920755192051,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1878,supermarkets
Giant Eagle #38,1901 Murray Avenue,Pittsburgh,PA,15217,40.4356644808696,-79.9225606363348,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1880,supermarkets
Giant Eagle #63,4250 Murray Ave,Pittsburgh,PA,15217,40.422252855852,-79.9294231858365,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1881,supermarkets
Robert Wholey Co,1711 Penn Avenue,Pittsburgh,PA,15222,40.4501010031256,-50.209474569373725,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,1795,supermarkets
Giant Eagle #60,4010 Monroeville Boulevard,Monroeville,PA,15146,49.99121214689498,-49.291393770075096,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,57877,supermarkets
Wal-Mart Super Center #2300,250 Summit Park Drive,Pittsburgh,PA,15275,40.4472891084208,-80.1762439814093,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,55920,supermarkets
Giant Eagle #695,200 Allegheny River Boulevard,Verona,PA,15147,40.4992344638881,-66.78276010339343,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,662620186463,supermarkets
Giant Eagle #2,1800 McKees Rocks Rd,Mc Kees Rocks,PA,7905,30.20894844080843,-94.0392694665153,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,53202,supermarkets
Shop 'n Save Penn Hills,2820 Universal Road,Pittsburgh,PA,15235,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,47108,supermarkets
Sam's Club #6677,3621 Wm Penn Hwy,Monroeville,PA,15146,40.4364851928196,-52.93319977241946,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51243,supermarkets
Giant Eagle #1691,400 Northtowne Square,Gibsonia,PA,8457,40.6364706790034,-79.9422997344717,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,49211,supermarkets
Giant Eagle Store #600,2001 Lincoln Way,Mc Keesport,PA,15131,40.3355093395296,-79.8040198034118,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,51792,supermarkets
Donatelli's Italian Food Center,4711 Liberty Avenue,Pittsburgh,PA,15748,40.4621478401123,-70.86866555044836,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43796,supermarkets
Giant Eagle / Market District South Hills #14,7000 Oxford Drive,Bethel Park,PA,15102,56.35098738864061,-80.0465464537892,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,43711,supermarkets
Shop 'n Save,450 56th Street,Pittsburgh,PA,15201,40.4832210796356,-58.6494530021551,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,607256969545,supermarkets
Kuhn's Market #4,3125 Banksville Road,Pittsburgh,PA,17209,40.3998001269022,-80.0434513724498,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38483,supermarkets
Shop 'n Save - Pines Plaza,1130 Perry Highway,Pittsburgh,PA,15237,20.19449203868712,-80.0355798189684,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44108,supermarkets
Giant Eagle / Market District Waterworks #72,910 Freeport Road,Pittsburgh,PA,15238,56.01263544818832,-79.8943172227734,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,639291123653,supermarkets
Giant Eagle #641,1025 Washington Pike,Bridgeville,PA,15017,40.3666865453008,-80.1068218666232,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42635,supermarkets
Giant Eagle #67,8080 McKnight Rd / McIntyre Square Drive,Pittsburgh,PA,11055,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,42412,supermarkets
Soergel's Orchards,2573 Brandt School Rd,Wexford,PA,15090,40.6145899641775,-74.06062398631192,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-346919690097,supermarkets
Giant Eagle #605 Elizabeth Township,800 McKeesport Road,Elizabeth,PA,15037,40.2799239290416,-44.217216122775085,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,44034,supermarkets
East End Food Co-Op,7516 Meade Street,Pittsburgh,PA,15208,30.532089235969472,-79.8957012276635,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,40781,supermarkets
Giant Eagle #619,1705 Braddock Avenue,Pittsburgh,PA,15218,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,46832,supermarkets
Patsy's Market,483 Center Avenue,Verona,PA,15147,40.5066864590562,-60.53661642653901,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-363707470687,supermarkets
Giant Eagle #6379,420 E Waterfront Dr,Homestead,PA,15120,40.4110092447386,-79.9084912857073,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200002100005,supermarkets
Kuhn's Market,1130 Highwood St,Pittsburgh,PA,15212,40.4683946374744,-80.0266026129949,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35347,supermarkets
Giant Eagle #31,5260 Grove Road,Pittsburgh,PA,15236,40.3573973996838,-80.0022768909744,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,33543,supermarkets
Gordon Food Service,3620 Wm Penn Hwy,Monroeville,PA,15700,35.40527059347437,-79.7996115341044,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,631796237630,supermarkets
Gordon Food Service Store,1 Urbano Way,Pittsburgh,PA,15205,40.4573716007765,-80.1659936179759,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,520720188960,supermarkets
Community Super Market,1117 Milltown Rd,Verona,PA,14574,40.4986513151729,-79.7907203449821,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,262,supermarkets
Leonard Labriola Foods,121 Hulton Road,Verona,PA,15147,25.619553978712197,-79.8201127507331,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,253,supermarkets
Gordon Food Service Store,510 Clairton Blvd,Pittsburgh,PA,15236,45.054538903658944,-79.9470969897752,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200611270006,supermarkets
Giant Eagle / Market District Shadyside #40,5550 Centre Avenue,Pittsburgh,PA,19545,40.4566054440019,-79.9343652788186,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,564549699086,supermarkets
Shop 'n Save,2362 Golden Mile Highway,Pittsburgh,PA,15239,40.4624461319207,-79.7047653659144,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912060001,supermarkets
Shop 'n Save / Glenshaw #212403,917 Butler Street,Glenshaw,PA,16822,32.905773300915925,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-313346034842,supermarkets
Wal-Mart Super Center #2281,2351 Century Drive,West Mifflin,PA,15122,52.37044035151932,-93.19627245745828,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200308190003,supermarkets
Lotus Noodle Co,1649 Penn Avenue,Pittsburgh,PA,15222,40.4497663732215,-79.986426220449,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199912230002,supermarkets
Shop 'n Save / Heidelberg,2100 Washington Pike,Carnegie,PA,16195,40.3878912647148,-80.0925646091617,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200608300002,supermarkets
Giant Eagle Express #5103,2611 Freeport Road,Pittsburgh,PA,15238,40.5378348108938,-92.84724018576904,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200705040005,supermarkets
Costco #649,501 W Waterfront Dr,Homestead,PA,16071,40.4029700093699,-79.9214116735045,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200703140001,supermarkets
Trader Joe's #638,6343 Penn Avenue,Pittsburgh,PA,15206,40.4591930409335,-79.9192342043347,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200610180001,supermarkets
Shop 'n Save / Rochester,184 Rochester Road,Pittsburgh,PA,19221,40.5198074269627,-95.39367795475872,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200510120001,supermarkets
Kuhn's Market,745 Ingomar Road,Ingomar,PA,15127,40.6122613707721,-80.0529106557463,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,-367623575859,supermarkets
Shop 'n Save / Noblestown #2412,2103 Noblestown Road,Pittsburgh,PA,10777,40.4306512290677,-87.88663541277128,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,628612404401,supermarkets
Sam's Club #4952,2000 Village Center Drive,Tarentum,PA,15084,40.5658148226346,-79.8042349198677,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200601310002,supermarkets
Shop 'n Save #0212404 Imperial,600 Market Place Drive,Oakdale,PA,17915,40.4402026512141,-84.18394497447576,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,200602230004,supermarkets
