AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE- BUILDING,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,VACANT SQUARE FOOTAGE,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- BUILDING",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY- LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES,LISTED WITH THE NATIONAL TRUST FOR  HISTORIC PRESERVATION,PROPERTY IS OF POTENTIAL HISTORIC SIGNIFICANCE,Location 1
830,HUMAN SERVICES DEPARTMENT,OWNED, FEMALE HOUSING ,"SORC, CALVERT COTTAGE ",200 HOPE AVE,GARVIN,1949, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 23,378.7 SF  1,032 ACRES","BUILDING REPLACEMENT 5,984,947     TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1949,0,23379,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"200 HOPE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, GARY COTTAGE ",250 HOPE AVE,GARVIN,1958, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 13,502.7 SF   1,032 ACRES","BUILDING REPLACEMENT 3,456,691      TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1958,0,13503,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"250 HOPE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, KERR COTTAGE",300 HOPE AVE,GARVIN,1951, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 19,502.6 SF   1,032 ACRES","BUILDING REPLACEMENT 4,992.666      TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1951,0,19503,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"300 HOPE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CLASSROOMS ,"SORC, MURRAY HALL ",101 PROMISE AVE,GARVIN,1931, VACANT ,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 12,730.4 SF   1,032 ACRES","BUILDING REPLACEMENT 2,291,472   TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1931,0,12730,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"101 PROMISE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, MULTI UNIT (SOUTH) ",500 INDEPENDENCE,GARVIN,1961,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 8,213.8 SF   1,032 ACRES","BUILDING REPLACEMENT 2,102,733   TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1961,0,8214,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"500 INDEPENDENCE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, MULTI UNIT (NORTH)",400 INDEPENDENCE,GARVIN,1979,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 40,955.4 SF   1,032 ACRES","BUILDING REPLACEMENT 10,484,582    TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1979,0,40955,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"400 INDEPENDENCE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, EDUCATION ,"SORC, HILLTOP SCHOOL ",800 INDEPENDENCE,GARVIN,1968,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 20,726.4 SF   1,032 ACRES","BUILDING REPLACEMENT 3,730,752       TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1968,0,20726,TOTAL SORC FTE 126,100,,,,,,,,,,,,,,"800 INDEPENDENCE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RECREATION ,"SORC, MULTI-PURPOSE ACTIVITY BLDG (GYM & POOL)",700 INDEPENDENCE,GARVIN,1971,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 27,544.5 SF   1,032 ACRES","BUILDING REPLACEMENT 5,508,900   TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1971,0,27544,TOTAL SORC FTE 126,100,,,,,,,,,,,,,,"700 INDEPENDENCE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, LAUNDRY ROOM (AGRI BUSINESS)",200 FARM ROAD ,GARVIN,1951,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 2,250.0 SF   1,032 ACRES","BUILDING REPLACEMENT 225,000       TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1951,0,2250,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"200 FARM ROAD
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, MATERNITY/CALF BARN","FARM ROAD, PAULS VALLEY",GARVIN,1968,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 2,754.0 SF   1,032 ACRES","BUILDING REPLACEMENT 275,400         TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1968,0,2754,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"FARM ROAD, PAULS VALLEY
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAUNDRY ,"SORC, MOBILE RECYCLING",100 PROMISE AVE,GARVIN,1973,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 8,428.0 SF   1,032 ACRES","BUILDING REPLACEMENT 842,800    TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1973,0,8428,TOTAL SORC FTE 126,0,,,,,,,,,,,,,,"100 PROMISE AVE
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED,STORAGE BUILDING,"SORC, CONCRETE BLOCK STORAGE",HILLTOP LOOP,GARVIN,1974,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 3,200.0 SF   1,032 ACRES","BUILDING REPLACEMENT 320,000      TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1974,0,3200,TOTAL SORC FTE 126,0,,,,DAILY,,,,,,,,,,"HILLTOP LOOP
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, SATELLITE CLASSROOM ,"SORC, PORTABLE CLASSROOM",FARM ROAD,GARVIN,1985,VACANT,"SECTIONS 27, 28,34 & 35 TOWNSHIP 3N RANGE1E"," 720.0 SF   1,032 ACRES","BUILDING REPLACEMENT 72,000         TOTAL SORC LAND ESTIMATED AT 2,063,800",0,1985,0,720,TOTAL SORC FTE 126,0,,,,DAILY,,,,,,,,,,"FARM ROAD
PAULS VALLEY, OK
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,LAURA DESTER CENTER (LDC),649 S QUINCY,TULSA,1945, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,386.9 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,10387,0,0,,,,,,,,,,,,,,"649 S QUINCY
TULSA, OK
(36.15128810300007, -95.97329475099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,"LDC, AREA II DDDS ",653 S QUINCY,TULSA,1945,VACANT,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,267.2 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,10267,TOTAL LAURA DESTER FTE 79,0,,,,,,,,,,,,,,"653 S QUINCY
TULSA, OK
(36.15126149200006, -95.97329475099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),1415 EAST 8TH,TULSA,1945, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,677.5 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,10678,0,0,,,,,,,,,,,,,,"1415 EAST 8TH
TULSA, OK
(36.150225360000036, -95.97308823099996)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,"LDC, AREA II DDDS ",1427 EAST 8TH,TULSA,1945,VACANT,SECTION 6 TOWNSHIP 19N RANGE 13E," 10,931.7 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,10932,0,0,,,,,4.81,4.81,,OFFICE BUILDINGS,,0,,,,"1427 EAST 8TH
TULSA, OK
(36.150224491000074, -95.97297831499998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),720 S ROCKFORD,TULSA,1945, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 8,305.8 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,8306,0,0,,,,,,,,,,,,,,"720 S ROCKFORD
TULSA, OK
(36.15117720500007, -95.97172306099998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, MAINTENANCE BUILDING ,"LDC, MAINT SHOP",619 S QUINCY,TULSA,1980,VACANT,SECTION 6 TOWNSHIP 19N RANGE 13E," 5,506.0 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1980,0,5506,0,0,,,,,,,,,,,,,,"619 S QUINCY
TULSA, OK
(36.15174325300006, -95.97329474999998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHILDREN'S SHELTER ,LAURA DESTER CENTER (LDC),645 S QUINCY,TULSA,1980, VACANT ,SECTION 6 TOWNSHIP 19N RANGE 13E," 3,386.2 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1945,0,3386,0,0,,,,,,,,,,,,,,"645 S QUINCY
TULSA, OK
(36.15131471300003, -95.97329475099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,"LDC, WAREHOUSE OFFICE BLDG",623 S QUINCY,TULSA,1999,VACANT,SECTION 6 TOWNSHIP 19N RANGE 13E," 6,000.0 SF   4.81 ACRES","BUILDINGS ON ENTIRE CAMPUS APPRAISED VALUE 1,752,762      LAND APPRAISED VALUE FOR ENTIRE CAMPUS 247,327",0,1999,0,6000,0,0,,,,,,,,,,,,,,"623 S QUINCY
TULSA, OK
(36.15167213600006, -95.97329474999998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORTHERN OKLAHOMA RESOURCE CENTER (NORC), ELM COTTAGE ",2815 CHOCTAW,GARFIELD,1951,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 25,879.6 SF   640 ACRES","BUILDING REPLACEMENT 6,625,178      TOTAL NORCE LAND ESTIMATED 1,600,000",0,1951,0,25880,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2815 CHOCTAW
ENID, OK
(36.42887621600005, -97.88719758799999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, CANNA COTTAGE",2415 CHOCTAW,GARFIELD,1941, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 18,174.0 SF   640 ACRES","BUILDING REPLACEMENT 4,652,544    TOTAL NORCE LAND ESTIMATED 1,600,000",0,1941,0,18174,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2415 CHOCTAW
ENID, OK
(36.42887621600005, -97.88719758799999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, LILY",2526 CHICKASAW,GARFIELD,1926, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 9,715.0 SF   640 ACRES","BUILDING REPLACEMENT 2,487,040   TOTAL NORCE LAND ESTIMATED 1,600,000",0,1926,0,9517,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2526 CHICKASAW
ENID, OK
(36.380832018000035, -97.90073107499995)"
830,HUMAN SERVICES DEPARTMENT,OWNED,CHAPEL/RECORDS,"NORC, PANSY COTTAGE",2510 CHICKASAW,GARFIELD,1932,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 9,760.1 SF   640 ACRES","BUILDING REPLACEMENT 1,756,818   TOTAL NORCE LAND ESTIMATED 1,600,000",0,1932,0,9760,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2510 CHICKASAW
ENID, OK
(36.380832018000035, -97.90073107499995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, CHICKASAW (ROSE) COTTAGE ",2401 CHICKASAW,GARFIELD,1951,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 30,874.6 SF   640 ACRES","BUILDING REPLACEMENT 7,903,898  TOTAL NORCE LAND ESTIMATED 1,600,000",0,1951,0,30875,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2401 CHICKASAW
ENID, OK
(36.380832018000035, -97.90073107499995)"
830,HUMAN SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,"NORC, PROFESSIONAL SVC (FERN)",2530 CHOCTAW,GARFIELD,1916,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 12,677.1 SF   640 ACRES","BUILDING REPLACEMENT 2,281,878   TOTAL NORCE LAND ESTIMATED 1,600,000",0,1916,0,12677,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2530 CHOCTAW
ENID, OK
(36.42887621600005, -97.88719758799999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, OMEGA (HALF-WAY HOUSE)",2616 DELAWARE,GARFIELD,1971,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 17,049.3 SF   640 ACRES","BUILDING REPLACEMENT 4,364,621    TOTAL NORCE LAND ESTIMATED 1,600,000",0,1971,0,17049,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2616 DELAWARE
ENID, OK
(36.42261932100007, -97.84576973399999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RECREATION ,"NORC, SWIMMING POOL",2530 CHEROKEE,GARFIELD,1980,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," POOL-5,000 SF   STRUCTURE - 14,803 SF    640 ACRES","POOL 320,000                                                    STRUCTURE 1,480,300   TOTAL NORCE LAND ESTIMATED 1,600,000",0,1980,0,,TOTAL NORCE FTE 59,0,,,,DAILY,,,,,,,,,,"2530 CHEROKEE
ENID, OK
(36.38630572000005, -97.92252750999995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHAPEL/ED/THERAPY ,"NORC, CHAPEL/ARTS AND CRAFTS ",2610 CHICHASAW,GARFIELD,1926, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 8,834.6 SF   640 ACRES","BUILDING REPLACEMENT 1,590,228    TOTAL NORCE LAND ESTIMATED 1,600,000",0,1926,0,8835,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2610 CHICHASAW
ENID, OK
(36.397221297000044, -97.87835950199997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, EDUCATION/THERAPY ,"NORC, BIKE SHOP 7 OLD CARPENTRY",2629 CREEK,GARFIELD,1926,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 4,218.0 SF   640 ACRES","BUILDING REPLACEMENT 759,240       TOTAL NORCE LAND ESTIMATED 1,600,000",0,1926,0,4218,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2629 CREEK
ENID, OK
(36.419977309000046, -97.84155387999999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAUNDRY STORAGE ,"NORC, LAUNDRY STORAGE",SEMINOLE STREET,GARFIELD,1958, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 1,035.0 SF   640 ACRES","BUILDING REPLACEMENT 186,300       TOTAL NORCE LAND ESTIMATED 1,600,000",0,1958,0,10612,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"SEMINOLE STREET
ENID, OK
(36.37832139200003, -97.90719411099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, HORTICULTURE ,"NORC, GREENHOUSE (3)",2707 CHEROKEE,GARFIELD,1950,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 5,004.0 SF   640 ACRES","BUILDING REPLACEMENT 500,400       TOTAL NORCE LAND ESTIMATED 1,600,000",0,1950,0,5004,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2707 CHEROKEE
ENID, OK
(36.38630572000005, -97.92252750999995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAUNDRY ,"NORC, LAUNDRY ",2601 CHEROKEE,GARFIELD,1972,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 10,611.8 SF   640 ACRES","BUILDING REPLACEMENT 1,061,180      TOTAL NORCE LAND ESTIMATED 1,600,000",0,1972,0,10612,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2601 CHEROKEE
ENID, OK
(36.38630572000005, -97.92252750999995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CLIENT ADVOCACY ,"NORC, DELTA HOUSE",2504 DELAWARE,GARFIELD,1950, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 1,883.0 SF   640 ACRES","BUILDING REPLACEMENT 338,940      TOTAL NORCE LAND ESTIMATED 1,600,000",0,1950,0,1883,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2504 DELAWARE
ENID, OK
(36.42008389500006, -97.84580326299994)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RECYCLE CENTER ,"NORC,  RECYCLING CENTER",730 SOUTH 9TH ST,GARFIELD,2009,VACANT,," 32,155.0 SF   3.69 ACRES","BUILDING REPLACEMENT 3,215,500       LAND VALUE APPRAISED 22,140",0,2009,0,32155,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"730 SOUTH 9TH ST
ENID, OK
(36.389573092000035, -97.86508197799998)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, COTTAGE #1",2804 CHEROKEE CIRCLE,GARFIELD,2010,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 5,740 SF   640 ACRES","BUILDING REPLACEMENT 1,469,440   TOTAL NORCE LAND ESTIMATED 1,600,000",0,2010,0,5740,TOTAL NORCE FTE 59,0,,,,,,,,,,,,,,"2804 CHEROKEE CIRCLE
ENID, OK
(36.38630572000005, -97.92252750999995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, COTTAGE #2",2802 CHEROKEE CIRCLE,GARFIELD,2010,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 5,740.0 SF   640 ACRES","BUILDING REPLACEMENT $1,469,440   TOTAL NORCE LAND ESTIMATED $1,600,000",0,2010,0,5740,TOTAL NORCE FTE 59,0,,,,DAILY,,,,,,,,,,"2802 CHEROKEE CIRCLE
ENID, OK
(36.38630572000005, -97.92252750999995)"
420,LANGSTON UNIVERSITY,OWNED,STORAGE BUILDING,BROWN HALL,1238 NE SUCCESS AVE,LOGAN,1965,STORAGE,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","17,948 SF","11,653,600",35,1965,0,,,0,,,,WEEKLY,,,,,,,,,,"1238 NE SUCCESS AVE
LANGSTON, OK
(35.94702755000003, -97.25903768799998)"
420,LANGSTON UNIVERSITY,OWNED,DAY CARE BUILDING,BREAUX,1239 NE SUCCESS AVE,LOGAN,1968,DAY CARE,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","58,268 SF","3,031,200",25,1968,25,,5,100,,,,DAILY,,,,,,,,,,"1239 NE SUCCESS AVE
LANGSTON, OK
(35.94702755000003, -97.25903768799998)"
420,LANGSTON UNIVERSITY,OWNED,HOUSE,OLD PRESIDENT HOUSE,701 SAMMY DAVIS DRIVE,LOGAN,1969,RESIDENT,"SECTION 12,13
TOWNSHIP 17N
RANGE 1W","4,000 SF","800,000",20,1969,0,,  ,0,,,,WEEKLY - STORAGE,,,,,,,,,,"701 SAMMY DAVIS DRIVE
LANGSTON, OK
(35.94574260600007, -97.25502611099995)"
420,LANGSTON UNIVERSITY,OWNED,LAND,,OLD HWY 33,LOGAN,2013,LAND,SECTION 13 TOWNSHIP 17N RANGE 1W,,"7,500",0,,,,,,,,,,0.661,0.661,,,,,,,,"OLD HWY 33
LANGSTON, OK
(35.94636284500007, -97.29166457599996)"
,LEAD-IMPACTED COMMUNITIES RELOCATION ASSISTANCE TRUST,OWNED,LAND,,,OTTAWA,,TAR CREEK SUPERFUND BUYOUT - THESE PROPERTIES CANNOT BE OCCUPIED ,,276.75 ACRES *,,0,,,,,0,,,,,276.75,,,,,,,,,"PICHER, OK
(36.98216123800006, -94.83093946499997)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,WARR ACRES LAND,5903 NW 52ND STREET,OKLAHOMA,20+,VACANT LAND,"PORTION OF BLK 2, SE 1/4, SE 1/4 OF SECTION 9, T12N, R4W",,,0,,,,,,,,,,0.9366,0,,VACANT LAND,,,,,,"5903 NW 52ND STREET
WARR ACRES, OK
(35.52415762000004, -97.62024048699999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,FORMER COUNTRY MANOR,NO PHYSICAL ADDRESS TO MAP,TULSA,6+,VACANT LAND NEAR TULSA WOMEN AND CHILDREN'S CENTER,"N/2, NW/4, SECTION 20, T20N, R13E",,,0,,,,,,,,,,5.29,0,,VACANT LAND,,,,,,"NO PHYSICAL ADDRESS TO MAP
TULSA, OK
(36.14974003800006, -95.99332826799997)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,GRIFFIN MEMORIAL HOSPITAL LAND,900 EAST MAIN STREET,CLEVELAND,,VACANT LAND,,50 ACRES,,0,,,,,,,,,,50,,,VACANT LAND,,,,,,"900 EAST MAIN STREET
NORMAN, OK
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAUNDRY/WAREHOUSE,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 33",CLEVELAND,1950,LAUNDRY - WAREHOUSE,"NE/4 OF SECTION 29, T9N, R2W","17,792 SF .99 ACRES",,0,1950,0,,0,0,,,,WEEKLY,,,,,,,,,,"900 EAST MAIN STREET, BLDG 33
NORMAN, OK
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 40",CLEVELAND,1972,VACANT OFFICE- DAMAGED IN STORM-CURRENTLY UNDER RENOVATIONS,"NE/4 OF SECTION 29, T9N, R2W","25,102 SF 2.49 ACRES",,0,1972,0,,0,0,,,,,,,,,,,,,,"900 EAST MAIN STREET, BLDG 40
NORMAN, OK
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,CHAPEL,GRIFFIN MEMORIAL HOSPITAL,"900 EAST MAIN STREET, BLDG 30",CLEVELAND,1936,CHAPEL,"NE/4 OF SECTION 29, T9N, R2W","19,500 SF 1.38 ACRES",,0,1936,0,,0,100,,,,,,,,,,,,,YES,"900 EAST MAIN STREET, BLDG 30
NORMAN, OK
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,OFFICE BUILDING,GRIFFIN MEMORIAL HOSPITAL- HOPE HALL,,CLEVELAND,1930,OFFICE SPACE,"NE/4 OF SECTION 29, T9N, R2W","100,000 SF 2.68 ACRES",,10,1930,0,,0,10,STORAGE,,,,,,,,,,,,,"NORMAN, OK
(35.22076171300006, -97.44659768699995)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,LAND,FORMER GRIFFIN MEMORIAL HOSPITAL -WHITE HOUSE,900 EAST MAIN STREET,CLEVELAND,,RESIDENCE/OFFICE DEMOLISHED 2014,"NE/4 OF SECTION 29, T9N, R2W",1.70 ACRES,,0,,0,,0,0,,,,,,,,,,,,,,"900 EAST MAIN STREET
NORMAN, OK
(35.218383509000034, -97.45518072599998)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL  - HAYS TREATMENT CENTER,24800 S. 4420 ROAD,CRAIG,1953,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","28,574 SF",,0,1953,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
452,MENTAL HEALTH AND SUBSTANCE ABUSE SERVICES DEPARTMENT,OWNED,INPATIENT FORSENSIC CENTER,OKLAHOMA FORENSIC HOSPITAL 7 BLDG,24800 S. 4420 ROAD,CRAIG,1930,VACANT INPATIENT HOSPITAL,"SECTION 11, TOWNSHIP 25 NORTH, RANGE 20 EAST","38,238 SF",,0,1930,0,,0,0,,,,,,,,,,,,,,"24800 S. 4420 ROAD
VINITA, OK
(36.656918019000045, -95.12555354599999)"
