County,Lender Name and ID,ZIP Code,Phone,Fax,Entity Type,Location
CLEVELAND COUNTY,FIRST UNITED BANK & TRUST - 11-17,73069,(405) 329-3474,(877) 820-6531,Branch,"712 WALL STREET, SUITE 200
NORMAN, OK 73069
(35.22691039500046, -97.48168436099968)"
CLEVELAND COUNTY,GATEWAY MORTGAGE GROUP - 232-02,73069,(405) 360-8106,,,"2405 PALMER CIRCLE, SUITE 200
NORMAN, OK 73069
(35.229423521000456, -97.4790479399997)"
CLEVELAND COUNTY,"GEORGETOWN MORTGAGE, LLC - 230-02",73160,(405) 265-1717,(866) 364-3112,,"2309 S I-35 SERVICE ROAD
MOORE, OK 73160
(35.31687550200047, -97.49050833199965)"
CLEVELAND COUNTY,LEADER MORTGAGE CORPORATION - 216-02,73160,(405) 794-3947,(405) 794-7613,Branch,"2313 S I-35 SERVICE ROAD
MOORE, OK 73160
(35.31685023300048, -97.4905039199997)"
CLEVELAND COUNTY,MCCLAIN BANK - 98-01,73072,(405) 447-7283,(405) 447-2113,Branch,"2900 W LINDSEY STREET
NORMAN, OK 73072
(35.20392352400046, -97.48493033799969)"
CLEVELAND COUNTY,MIDFIRST BANK - 223-21,73160,(405) 767-7824,(405) 858-3016,Branch,"625 NW 5TH
MOORE, OK 73160
(35.343139909000456, -97.49726436199967)"
CLEVELAND COUNTY,MIDFIRST BANK - 223-47,73072,(405) 767-7884,(405) 858-3907,Branch,"3601 W TECUMSEH
NORMAN, OK 73072
(35.26194782800047, -97.49540112299968)"
CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-01,73069,(405) 366-2750,(405) 366-2737,Branch,"401 W MAIN STREET
NORMAN, OK 73069
(35.21890664500046, -97.44823131399966)"
CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-03,73068,(405) 872-0505,(405) 872-5530,Branch,"805 N MAIN
NOBLE, OK 73068
(35.14992759800049, -97.39702391099968)"
CLEVELAND COUNTY,REPUBLIC BANK & TRUST - 211-04,73072,(405) 366-2750,(405) 366-2816,Branch,"3500 W ROBINSON STREET
NORMAN, OK 73072
(35.232852712000465, -97.4934606809997)"
CLEVELAND COUNTY,WELLS FARGO - 178-07,73072,(405) 364-0374,,Branch,"3750 W MAIN STREET
NORMAN, OK 73072
(35.21837313900045, -97.49600030899967)"
CLEVELAND COUNTY,WELLS FARGO - 178-19,73160,(405) 895-6575,(405) 799-5499,,"937 SW 25TH STREET, SUITE E
MOORE, OK 73160
(35.315644965000445, -97.49274535499967)"
COMANCHE COUNTY,ARVEST MORTGAGE COMPANY - 209-37,73505,(580) 250-6743,(580) 250-4545,Branch,"5201 SW LEE BOULEVARD
LAWTON, OK 73505
(34.594537166000464, -98.4573948469997)"
COMANCHE COUNTY,ARVEST MORTGAGE COMPANY - 209-39,73505,(580) 250-6746,(580) 250-4545,Branch,"4330 NW CACHE ROAD
LAWTON, OK 73505
(34.62336361600046, -98.4465302539997)"
COMANCHE COUNTY,BANCFIRST - 192-27,73505,(580) 353-7700,(580) 357-2536,Branch,"3801 NW CACHE ROAD
LAWTON, OK 73505
(34.62359752900045, -98.44026068899967)"
COMANCHE COUNTY,BANCFIRST - 192-60,73528,(580) 597-6666,(580) 357-2536,Branch,"308 MADISON
CHATTANOOGA, OK 73528
(34.422588558000484, -98.65834294199965)"
COMANCHE COUNTY,BANCFIRST - 192-73,73501,(580) 353-7700,,Branch,"501 SW &quot;C&quot; AVENUE
LAWTON, OK 73501
(34.592472091000445, -98.36116684499967)"
COMANCHE COUNTY,BANCFIRST - 192-74,73505,(580) 353-7700,,Branch,"15 NW 67TH
LAWTON, OK 73505
(34.610641272000464, -98.47470700099967)"
COMANCHE COUNTY,BANCFIRST - 192-75,73507,(580) 353-7700,,,"2204 NW FERIS
LAWTON, OK 73507
(34.61603466800045, -98.42115688599966)"
COMANCHE COUNTY,BANK OF OKLAHOMA - 182-01,73505,(580) 581-5080,(580) 250-0150,Branch,"2602 W GORE BOULEVARD
LAWTON, OK 73505
(34.608863302000486, -98.42929096599966)"
COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-13,73505,(580) 248-7300,(580) 248-7307,Branch,"1416 NW SHERIDAN ROAD
LAWTON, OK 73505
(34.62490284600045, -98.42242244899967)"
COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-20,73505,(580) 699-5881,(580) 699-5899,Branch,"3908 NW ELM AVENUE, SUITE 102
LAWTON, OK 73505
(34.62050057300047, -98.46664136099969)"
COMANCHE COUNTY,FIRST MORTGAGE COMPANY - 24-25,73507,(580) 248-5300,(580) 248-5305,Branch,"1701 NW CACHE ROAD
LAWTON, OK 73507
(34.623378595000474, -98.41549008599969)"
COMANCHE COUNTY,GUILD MORTGAGE COMPANY - 231-02,73501,(580) 215-4580,(580) 303-4417,,"1709 W GORE BOULEVARD, SUITE A
LAWTON, OK 73501
(34.60885628800048, -98.4142728709997)"
COMANCHE COUNTY,"VA MORTGAGE CENTER, LLC dba MORTGAGE RESEARCH CENTER - 23-01",73505,(580) 669-8670,(580) 699-8674,Branch,"2410 NW CACHE ROAD, SUITE C
LAWTON, OK 73505
(34.62322159900049, -98.42505186199969)"
COMANCHE COUNTY,WELLS FARGO - 178-02,73505,(580) 355-8054,,Branch,"1319 NW SHERIDAN ROAD
LAWTON, OK 73505
(34.622116839000455, -98.42217531099965)"
CREEK COUNTY,BANCFIRST - 192-100,74137,(918) 664-6660,,Branch,"2809 E 101ST STREET
TULSA, OK 74137
(36.01736765300046, -95.94838097499968)"
CREEK COUNTY,F&M BANK AND TRUST COMPANY - 29-01,74104,(918) 748-4181,(918) 748-4762,,"1924 S UTICA AVENUE
TULSA, OK 74104
(36.134070755000494, -95.96727493899965)"
CREEK COUNTY,F&M BANK AND TRUST COMPANY - 29-01,74104,(918) 748-4181,(918) 748-4762,Branch,"1924 S UTICA AVENUE
TULSA, OK 74104
(36.134070755000494, -95.96727493899965)"
CREEK COUNTY,FIRST UNITED BANK & TRUST - 11-09,74066,(918) 224-5151,(918) 224-3067,Branch,"315 E DEWEY AVENUE
SAPULPA, OK 74066
(35.99878826200046, -96.10922107899967)"
CREEK COUNTY,SPIRTBANK -155,74133,(918) 970-4807,(918) 970-4852,Lender,"10441 S REGAL BOULEVARD, SUITE 108
TULSA, OK 74133
(36.01168114300049, -95.88333697099966)"
CUSTER COUNTY,BANCFIRST - 192-17,73096,(580) 772-5541,(580) 772-7136,Branch,"122 N BROADWAY
WEATHERFORD, OK 73096
(35.526970340000446, -98.70910647299968)"
DELAWARE COUNTY,ARVEST MORTGAGE COMPANY - 209-09,74346,(918) 253-4235,(918) 253-8893,Branch,"338 S 5TH STREET
JAY, OK 74346
(36.42026299000048, -94.79738625799968)"
DELAWARE COUNTY,ARVEST MORTGAGE COMPANY - 209-42,74344,(918) 787-8423,(918) 787-8414,Branch,"1818 S MAIN
GROVE, OK 74344
(36.57781204100047, -94.76915227499967)"
GARFIELD COUNTY,BANK OF OKLAHOMA - 182-04,73703,(580) 548-8528,(580) 548-8576,Branch,"2308 N VAN BUREN
ENID, OK 73703
(36.41926626600048, -97.8908942009997)"
GARVIN COUNTY,BANCFIRST - 192-24,74872,(580) 759-2326,(580) 759-3539,Lender,"110 W SMITH
STRATFORD, OK 74872
(34.796632058000455, -96.95989563699965)"
GARVIN COUNTY,FIRST UNITED BANK & TRUST - 11-05,73075,(405) 238-3341,(405) 238-3247,Branch,"315 W GRANT AVENUE
PAULS VALLEY, OK 73075
(34.73971895000045, -97.22244360799965)"
GRADY COUNTY,ARVEST MORTGAGE COMPANY - 209-20,73018,(405) 224-1021,(405) 224-1035,Lender,"1927 S 4TH STREET
CHICKASHA, OK 73018
(35.03114883100045, -97.93483656399968)"
HUGHES COUNTY,FIRST UNITED BANK & TRUST - 11-08,74848,(405) 379-3307,(405) 379-6821,Branch,"102 E MAIN STREET
HOLDENVILLE, OK 74848
(35.08259055300044, -96.40124846799966)"
JACKSON COUNTY,MIDFIRST BANK - 223-06,73521,(405) 767-7817,(405) 767-5447,,"2511 N MAIN
ALTUS, OK 73521
(34.665220253000484, -99.33410412899968)"
JOHNSTON COUNTY,BANCFIRST - 192-26,73460,(580) 371-2346,(580) 371-2428,Branch,"820 E MAIN STREET
TISHOMINGO, OK 73460
(34.23059606300046, -96.66936663899969)"
KAY COUNTY,BANCFIRST - 192-40,74631,(580) 363-4141,(580) 363-2294,,"101 N MAIN
BLACKWELL, OK 74631
(36.80455128000045, -97.28302521399968)"
KAY COUNTY,RCB BANK - 233-07,74601,(580) 718-2750,(580) 762-8964,,"1223 E HIGHLAND AVENUE
PONCA CITY, OK 74601
(36.70961443700048, -97.0691848519997)"
KINGFISHER COUNTY,BANCFIRST - 192-44,73750,(405) 375-3121,(918) 375-4961,Branch,"124 S MAIN
KINGFISHER, OK 73750
(35.86014110500048, -97.93271396499966)"
KIOWA COUNTY,BANCFIRST - 192-43,73651,(580) 726-5617,(580) 726-2772,Branch,"401 S BROADWAY
HOBART, OK 73651
(35.024150277000444, -99.09600352899969)"
KIOWA COUNTY,BANCFIRST - 192-70,73651,(580) 726-5617,,,"105 W 4TH STREET
HOBART, OK 73651
(35.02452672400045, -99.09331526999966)"
KIOWA COUNTY,BANCFIRST - 192-76,73655,(580) 846-9005,,Branch,"707 E BOUNDARY
LONE WOLF, OK 73655
(34.993258262000495, -99.2544031219997)"
LE FLORE COUNTY,ARVEST MORTGAGE COMPANY - 209-23,74953,(918) 649-3019,(918) 776-6126,,"3002 N BROADWAY
POTEAU, OK 74953
(35.088640705000444, -94.63072367499967)"
LINCOLN COUNTY,BANCFIRST - 192-23,74864,(405) 567-2241,,,"902 E MAIN STREET
PRAGUE, OK 74864
(35.486538479000444, -96.67785841599965)"
LINCOLN COUNTY,BANCFIRST - 192-25,74079,(918) 968-2521,(918) 968-3779,Branch,"602 W MAIN
STROUD, OK 74079
(35.74907266000048, -96.66088060699968)"
LINCOLN COUNTY,BANCFIRST - 192-36,74855,(405) 279-3535,(405) 279-2704,Branch,"601 W CARL HUBBELL BOULEVARD
MEEKER, OK 74855
(35.50318657100047, -96.90154683699967)"
LINCOLN COUNTY,BANCFIRST - 192-63,74834,(405) 258-1795,,Branch,"1001 MANVEL AVENUE
CHANDLER, OK 74834
(35.700070723000465, -96.88079474299968)"
LOGAN COUNTY,BANCFIRST - 192-02,73044,(405) 282-4415,(405) 282-7086,,"202 W OKLAHOMA
GUTHRIE, OK 73044
(35.87804666000045, -97.42668473599969)"
LOGAN COUNTY,BANCFIRST - 192-69,73044,(405) 282-4415,,Branch,"110 N 2ND
GUTHRIE, OK 73044
(35.878191994000474, -97.42750708199969)"
LOVE COUNTY,BANCFIRST - 192-22,73448,(580) 276-3356,(580) 276-9640,,"105 SW 2ND STREET
MARIETTA, OK 73448
(33.93633747800044, -97.1181083359997)"
LOVE COUNTY,BANCFIRST - 192-59,73448,(580) 276-3356,(580) 276-9640,Branch,"201 W CHICKASAW
MARIETTA, OK 73448
(33.93618413000047, -97.11826914899967)"
MARSHALL COUNTY,BANCFIRST - 192-05,73446,(580) 795-3332,,Branch,"302 S FIRST
MADILL, OK 73446
(34.08743734400048, -96.77062047099969)"
MARSHALL COUNTY,BANCFIRST - 192-45,73439,(580) 564-2366,(580) 564-3411,,"206 HIGHWAY 70 W
KINGSTON, OK 73439
(33.99794768100048, -96.71812481499967)"
MAYES COUNTY,ARVEST MORTGAGE COMPANY - 209-24,74361,(918) 825-8722,(918) 825-8711,,"101 S MILL
PRYOR, OK 74361
(36.30617902500046, -95.31906917399965)"
MAYES COUNTY,RCB BANK - 233-04,74361,(918) 825-8820,(918) 825-8888,,"22 SE 1ST STREET
PRYOR, OK 74361
(36.30642708200048, -95.32003012899969)"
MCCLAIN COUNTY,"FIRST AMERICAN MORTGAGE, INC - 26-04",73065,(405) 392-5000,(405) 809-1693,Branch,"910 NW 32ND STREET
NEWCASTLE, OK 73065
(35.29096483800049, -97.61041976399969)"
MCINTOSH COUNTY,ARVEST MORTGAGE COMPANY - 209-26,74432,(918) 689-7745,(918) 689-7747,,"110 S 1ST STREET
EUFAULA, OK 74432
(35.28588417800046, -95.5837125869997)"
MURRAY COUNTY,BANCFIRST - 192-14,73086,(580) 622-3142,(580) 622-5518,Branch,"1020 W 1ST STREET
SULPHUR, OK 73086
(34.507795512000484, -96.96864355699967)"
MUSKOGEE COUNTY,ARVEST MORTGAGE COMPANY - 209-31,74403,(918) 207-4813,(918) 207-4828,,"735 N YORK STREET
MUSKOGEE, OK 74403
(35.74879506400049, -95.34041199699965)"
MUSKOGEE COUNTY,BANCFIRST - 192-07,74403,(918) 683-5551,(918) 683-5656,Branch,"2400 OLD SHAWNEE ROAD
MUSKOGEE, OK 74403
(35.76971047200044, -95.34019687399967)"
MUSKOGEE COUNTY,BANCFIRST - 192-81,74403,(918) 683-4055,,Branch,"501 N MAIN STREET, #64
MUSKOGEE, OK 74403
(35.75173565300048, -95.36729232399966)"
MUSKOGEE COUNTY,BANCFIRST - 192-82,74403,(918) 686-5290,,Branch,"3601 W OKMULGEE
MUSKOGEE, OK 74403
(35.743460310000444, -95.35762679999965)"
MUSKOGEE COUNTY,FIRST UNITED BANK & TRUST - 11-18,74403,(918) 683-1003,(918) 683-1003,,"1143B N MAIN
MUSKOGEE, OK 74403
(35.72600581600045, -95.33599586999969)"
MUSKOGEE COUNTY,"FIRSTAR BANK, NA - 160-01",74403,(918) 681-7117,(918) 681-2507,Branch,"510 N MAIN STREET
MUSKOGEE, OK 74403
(35.751931072000446, -95.36710969299969)"
MUSKOGEE COUNTY,LEADER MORTGAGE CORPORATION - 216-01,74403,(918) 682-4888,(918) 682-3982,,"555 W OKMULGEE
MUSKOGEE, OK 74403
(35.743460310000444, -95.35762679999965)"
NOWATA COUNTY,ARVEST MORTGAGE COMPANY - 209-12,74048,(918) 273-3442,(918) 273-0059,Branch,"108 N MAPLE
NOWATA, OK 74048
(36.70046900900047, -95.63808508499966)"
OKFUSKEE COUNTY,BANCFIRST - 192-85,74859,(918) 623-1211,,Branch,"302 W BROADWAY
OKEMAH, OK 74859
(35.43156931700048, -96.30360769399965)"
OKLAHOMA COUNTY,AMERICAN SOUTHWEST MORTGAGE CORPORATION - 151,73112,(405) 848-3600,(405) 484-8360,,"5900 N MOSTELLER DRIVE, SUITE 10
OKLAHOMA CITY, OK 73112
(35.53008138500047, -97.56712864199966)"
OKLAHOMA COUNTY,AMERICAN SOUTHWEST MORTGAGE CORPORATION - 151-01,73112,(405) 488-5626,(405) 947-8110,Branch,"4101 PERMIETER CENTER DRIVE, SUITE 300
OKLAHOMA CITY, OK 73112
(35.51367070300046, -97.59348450399966)"
OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-08,73139,(405) 419-3710,(405) 419-3728,Lender,"9300 S WESTERN AVENUE
OKLAHOMA CITY, OK 73139
(35.37428388900048, -97.53006569999968)"
OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-10,73115,(405) 671-8267,(405) 671-8251,Branch,"4600 SE 29TH STREET
DEL CITY, OK 73115
(35.435223358000485, -97.43383009599967)"
OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-13,73134,(405) 419-3814,(405) 419-3814,Branch,"4301 W MEMORIAL ROAD
OKLAHOMA CITY, OK 73134
(35.61026764100046, -97.59859141599969)"
OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-16,73033,(405) 419-3887,(405) 419-3839,Branch,"1501 W EDMOND ROAD
EDMOND, OK 73033
(35.653049001000454, -97.53948689799967)"
OKLAHOMA COUNTY,ARVEST MORTGAGE COMPANY - 209-32,73130,(405) 419-1701,(405) 419-1705,Branch,"1900 S DOUGLAS BOULEVARD
MIDWEST CITY, OK 73130
(35.44567109700046, -97.3707864539997)"
OKLAHOMA COUNTY,BANCFIRST - 192-08,73142,(405) 270-1000,(405) 270-1091,Branch,"4500 W MEMORIAL ROAD
OKLAHOMA CITY, OK 73142
(35.609063506000496, -97.6037052429997)"
OKLAHOMA COUNTY,BANCFIRST - 192-20,73102,(405) 270-4700,(405) 270-1091,,"101 N BROADWAY, SUITE 650
OKLAHOMA CITY, OK 73102
(35.46793203000044, -97.51451402099968)"
OKLAHOMA COUNTY,BANCFIRST - 192-21,73132,(405) 270-1000,(405) 720-3575,Branch,"7901 N MACARTHUR
OKLAHOMA CITY, OK 73132
(35.55173863800047, -97.61919075799966)"
OKLAHOMA COUNTY,BANCFIRST - 192-34,73159,(405) 270-1000,(405) 270-1091,,"9335 S PENNSYLVANIA AVENUE
OKLAHOMA CITY, OK 73159
(35.37360047800047, -97.54783455499967)"
OKLAHOMA COUNTY,BANCFIRST - 192-39,73013,(405) 270-1000,(405) 270-1091,Branch,"3200 E MEMORIAL ROAD
EDMOND, OK 73013
(35.609132643000464, -97.45980022399965)"
OKLAHOMA COUNTY,BANCFIRST - 192-47,73135,(405) 672-1945,(405) 672-9875,Lender,"7701 S SOONER ROAD
OKLAHOMA CITY, OK 73135
(35.38896039500048, -97.42364392499968)"
OKLAHOMA COUNTY,BANCFIRST - 192-49,73115,(406) 672-1945,(405) 619-2232,Branch,"4200 S SUNNYLANE
DEL CITY, OK 73115
(35.42433083700047, -97.44129688199968)"
OKLAHOMA COUNTY,BANCFIRST - 192-50,73020,(405) 270-5560,(405) 619-2232,,"12924 NE 23RD STREET
CHOCTAW, OK 73020
(35.493133585000464, -97.30082105499969)"
OKLAHOMA COUNTY,BANCFIRST - 192-51,73045,(405) 454-6216,(404) 454-6454,,"19979 NE 23RD STREET
HARRAH, OK 73045
(35.49307827500047, -97.17735060099966)"
OKLAHOMA COUNTY,BANCFIRST - 192-53,73118,(405) 270-1000,(405) 270-1091,Branch,"6200 WATERFORD BOULEVARD
OKLAHOMA CITY, OK 73118
(35.53443367000045, -97.54705791699968)"
OKLAHOMA COUNTY,BANCFIRST - 192-54,73120,(405) 270-1000,(405) 270-1091,Branch,"11001 N MAY AVENUE
OKLAHOMA CITY, OK 73120
(35.58204134500045, -97.56724474199967)"
OKLAHOMA COUNTY,BANCFIRST - 192-72,73049,(405) 399-2221,,Branch,"9285 N HIWASSEE
JONES, OK 73049
(35.564360733000456, -97.3003947099997)"
OKLAHOMA COUNTY,BANCFIRST - 192-86,73102,(405) 270-1000,(405) 270-1091,Branch,"220 N BROADWAY
OKLAHOMA CITY, OK 73102
(35.46952909100048, -97.51438727099969)"
OKLAHOMA COUNTY,BANCFIRST - 192-87,73108,(405) 270-1000,(405) 270-1091,Branch,"809 CORNELL PARKWAY
OKLAHOMA CITY, OK 73108
(35.45745087400047, -97.59678463899968)"
OKLAHOMA COUNTY,BANCFIRST - 192-88,73170,(405) 270-1000,(405) 270-1091,Branch,"2930 SW 134TH
OKLAHOMA CITY, OK 73170
(35.33405301400046, -97.56712029499965)"
OKLAHOMA COUNTY,BANCFIRST - 192-90,73114,(405) 270-1000,(405) 270-1091,Branch,"700 E MEMORIAL ROAD
OKLAHOMA CITY, OK 73114
(35.60911305400049, -97.50056104099968)"
OKLAHOMA COUNTY,BANCFIRST - 192-91,73104,(405) 270-1000,(405) 270-1091,Branch,"1111 N LINCOLN BLVD
OKLAHOMA CITY, OK 73104
(35.47851112900048, -97.50278379199966)"
OKLAHOMA COUNTY,BANK OF OKLAHOMA - 182-03,73116,(405) 879-8700,(405) 879-8735,Lender,"4005 NW EXPRESSWAY, STE 100
OKLAHOMA CITY, OK 73116
(35.537265979000495, -97.59079968599968)"
