AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2005,POLICE OFFICER                     ,F,W ,30 - 39,39,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,18,21
2006,POLICE SERGEANT                    ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,25,22
2010,POLICE OFFICER                     ,F,W ,OVER 60,64,2ND DIVISION                                           ,2ND PLATOON                                            ,24,23
2013,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,25,24
2014,POLICE MAJOR                       ,F,B ,40 - 49,48,4TH DIVISION                                           ,STAFF                                                  ,24,25
2017,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,20,26
2018,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,3RD PLATOON                                            ,21,27
2019,POLICE SERGEANT                    ,M,W ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,25,28
2024,POLICE SERGEANT                    ,M,W ,40 - 49,42,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,19,29
2025,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,30
2026,POLICE OFFICER                     ,M,B ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,23,31
2028,POLICE OFFICER                     ,M,W ,50 - 59,50,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,23,32
2029,POLICE LIEUTENANT                  ,M,B ,50 - 59,55,8TH DIVISION                                           ,STAFF                                                  ,25,33
2030,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,1ST PLATOON                                            ,21,34
2137,POLICE LIEUTENANT                  ,M,W ,OVER 60,64,MOUNTED PATROL                                         ,STAFF                                                  ,20,35
6600,POLICE SERGEANT                    ,M,W ,40 - 49,49,SUPPORT UNIT                                           ,SCRIPT TEAM                                            ,23,36
2032,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,1ST PLATOON                                            ,24,37
2033,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,2ND PLATOON                                            ,24,38
2034,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,2ND PLATOON                                            ,23,39
2037,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,8TH DIVISION                                           ,STAFF                                                  ,23,40
2038,POLICE OFFICER                     ,M,W ,50 - 59,50,1ST DIVISION                                           ,BIKE PLATOON                                           ,23,41
2039,POLICE OFFICER                     ,F,B ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,23,42
2040,POLICE MAJOR                       ,M,W ,50 - 59,50,NARCOTICS                                              ,STAFF                                                  ,25,43
2041,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,20,44
2042,POLICE OFFICER                     ,M,W ,OVER 60,61,4TH DIVISION                                           ,1ST PLATOON                                            ,24,45
2043,POLICE OFFICER                     ,M,B ,50 - 59,57,1ST DIVISION                                           ,BIKE PLATOON                                           ,19,46
2044,POLICE SERGEANT                    ,M,B ,40 - 49,46,8TH DIVISION                                           ,2ND PLATOON                                            ,24,47
2045,POLICE MAJOR                       ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25,48
2046,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,2ND PLATOON                                            ,25,49
2047,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,7TH DIVISION                                           ,STAFF                                                  ,23,50
2048,POLICE OFFICER                     ,M,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,24,51
2049,POLICE OFFICER                     ,M,W ,50 - 59,51,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,23,52
2051,POLICE OFFICER                     ,M,W ,50 - 59,58,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,23,53
2053,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,2ND PLATOON                                            ,22,54
2054,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,1ST DIVISION                                           ,STAFF                                                  ,23,55
2055,POLICE OFFICER                     ,M,W ,50 - 59,55,9TH DIVISION                                           ,SQUAD 1                                                ,21,56
2056,POLICE SERGEANT                    ,M,W ,50 - 59,50,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,25,57
2058,POLICE SERGEANT                    ,M,W ,40 - 49,47,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,23,58
2061,POLICE OFFICER                     ,M,W ,40 - 49,44,COURT LIAISON OFFICE                                   ,STAFF                                                  ,18,59
2062,POLICE OFFICER                     ,M,B ,40 - 49,45,7TH DIVISION                                           ,1ST PLATOON                                            ,23,60
2063,POLICE OFFICER                     ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,21,61
2064,POLICE OFFICER                     ,M,B ,50 - 59,53,CIS HOMICIDE                                           ,SQUAD 2                                                ,20,62
2066,POLICE OFFICER                     ,F,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,23,63
2067,POLICE OFFICER                     ,M,B ,50 - 59,58,NARCOTICS                                              ,SQUAD 2                                                ,25,64
2069,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,DETECTIVES                                             ,23,65
2071,POLICE OFFICER                     ,M,U ,50 - 59,52,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,22,66
2072,POLICE OFFICER                     ,M,W ,40 - 49,46,RIVER PATROL                                           ,STAFF                                                  ,19,67
2074,POLICE SERGEANT                    ,M,W ,40 - 49,46,TECHNICAL SERVICES                                     ,TECHNICAL SERVICES                                     ,18,68
2076,POLICE OFFICER                     ,M,W ,40 - 49,49,2ND DIVISION                                           ,DETECTIVES                                             ,25,69
2077,POLICE MAJOR                       ,M,W ,OVER 60,70,2ND DIVISION                                           ,STAFF                                                  ,44,70
2079,POLICE OFFICER                     ,M,W ,50 - 59,51,5TH DIVISION                                           ,2ND PLATOON                                            ,25,71
2081,POLICE SERGEANT                    ,M,W ,40 - 49,47,6TH DIVISION                                           ,2ND PLATOON                                            ,23,72
2082,POLICE LIEUTENANT                  ,F,W ,40 - 49,42,CIS ROBBERY                                            ,STAFF                                                  ,19,73
2083,POLICE SERGEANT                    ,M,W ,40 - 49,45,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,23,74
2084,POLICE OFFICER                     ,F,W ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,75
2085,POLICE OFFICER                     ,F,W ,40 - 49,48,CANINE UNIT                                            ,2ND PLATOON                                            ,24,76
2086,POLICE OFFICER                     ,M,W ,50 - 59,50,8TH DIVISION                                           ,1ST PLATOON                                            ,18,77
2087,POLICE OFFICER                     ,M,W ,50 - 59,50,TRAFFIC                                                ,3RD PLATOON                                            ,26,78
2088,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,CRIMINAL INTERDICTION                                  ,STAFF                                                  ,21,79
2089,POLICE SERGEANT                    ,M,W ,40 - 49,48,7TH DIVISION                                           ,1ST PLATOON                                            ,18,80
2091,POLICE MAJOR                       ,M,H ,50 - 59,50,6TH DIVISION                                           ,STAFF                                                  ,20,81
2092,POLICE OFFICER                     ,M,W ,50 - 59,51,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,23,82
2093,POLICE OFFICER                     ,M,B ,50 - 59,53,6TH DIVISION                                           ,1ST PLATOON                                            ,25,83
2094,POLICE OFFICER                     ,M,B ,40 - 49,48,NARCOTICS                                              ,SCRIPT TEAM                                            ,23,84
2095,POLICE OFFICER                     ,M,W ,40 - 49,43,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,18,85
2096,POLICE OFFICER                     ,M,B ,50 - 59,56,4TH DIVISION                                           ,STAFF                                                  ,21,86
2097,POLICE SERGEANT                    ,M,W ,40 - 49,48,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,18,87
2098,POLICE OFFICER                     ,M,W ,40 - 49,49,3RD DIVISION                                           ,1ST PLATOON                                            ,18,88
2099,POLICE CHIEF                       ,M,W ,OVER 60,66,CHIEF`S STAFF                                          ,STAFF                                                  ,43,89
2100,POLICE OFFICER                     ,M,W ,40 - 49,42,5TH DIVISION                                           ,1ST PLATOON                                            ,20,90
2102,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,25,91
2103,POLICE SERGEANT                    ,M,H ,40 - 49,43,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,92
2106,POLICE OFFICER                     ,M,W ,40 - 49,49,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25,93
2109,POLICE OFFICER                     ,M,W ,40 - 49,41,8TH DIVISION                                           ,1ST PLATOON                                            ,19,94
2110,POLICE OFFICER                     ,M,B ,50 - 59,51,PUBLIC INFORMATION OFFICE                              ,COMMUNITY ENGAGEMENT UNIT                              ,18,95
2111,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,8TH DIVISION                                           ,STAFF                                                  ,21,96
2112,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,5TH DIVISION                                           ,STAFF                                                  ,21,97
2113,POLICE OFFICER                     ,F,W ,40 - 49,49,4TH DIVISION                                           ,DETECTIVES                                             ,25,98
2116,POLICE SERGEANT                    ,M,W ,40 - 49,43,CANINE UNIT                                            ,STAFF                                                  ,18,99
2117,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,1ST PLATOON                                            ,25,100
2118,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,18,101
2121,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,25,102
2122,POLICE OFFICER                     ,M,W ,40 - 49,42,3RD DIVISION                                           ,DETECTIVES                                             ,18,103
2125,POLICE SERGEANT                    ,M,W ,50 - 59,50,SWAT UNIT                                              ,STAFF                                                  ,25,104
2127,POLICE OFFICER                     ,M,W ,OVER 60,71,5TH DIVISION                                           ,1ST PLATOON                                            ,25,105
2128,POLICE SERGEANT                    ,M,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,18,106
2129,POLICE LIEUTENANT                  ,M,W ,40 - 49,44,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,18,107
2131,POLICE LIEUTENANT                  ,M,W ,OVER 60,65,5TH DIVISION                                           ,STAFF                                                  ,42,108
2134,POLICE SERGEANT                    ,M,W ,50 - 59,52,9TH DIVISION                                           ,STAFF                                                  ,25,109
2139,POLICE SERGEANT                    ,F,W ,40 - 49,43,CIS HOMICIDE                                           ,SQUAD 4                                                ,18,110
2140,POLICE OFFICER                     ,M,W ,50 - 59,50,9TH DIVISION                                           ,FUGITIVE APPREHENSION SQUAD                            ,24,111
2142,POLICE OFFICER                     ,M,B ,OVER 60,62,TRAFFIC                                                ,2ND PLATOON                                            ,21,112
2143,POLICE OFFICER                     ,M,W ,40 - 49,44,TRAINING                                               ,BASIC ACADEMY                                          ,18,113
2148,POLICE OFFICER                     ,M,B ,OVER 60,73,2ND DIVISION                                           ,2ND PLATOON                                            ,38,114
2151,POLICE OFFICER                     ,F,W ,40 - 49,48,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,24,115
2162,POLICE OFFICER                     ,M,B ,OVER 60,67,1ST DIVISION                                           ,STAFF                                                  ,35,116
2163,POLICE OFFICER                     ,F,W ,40 - 49,40,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,19,117
2165,POLICE OFFICER                     ,M,W ,50 - 59,58,WELLNESS UNIT                                          ,STAFF                                                  ,14,118
2167,POLICE OFFICER                     ,M,W ,OVER 60,67,2ND DIVISION                                           ,HALO/DRO                                               ,14,119
2170,POLICE SERGEANT                    ,M,W ,40 - 49,45,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,18,120
2174,POLICE LIEUTENANT                  ,M,W ,OVER 60,68,PATROL BUREAU                                          ,STAFF                                                  ,36,121
2178,POLICE OFFICER                     ,M,W ,OVER 60,63,6TH DIVISION                                           ,2ND PLATOON                                            ,36,122
2184,POLICE OFFICER                     ,M,W ,OVER 60,62,8TH DIVISION                                           ,2ND PLATOON                                            ,35,123
2186,POLICE SERGEANT                    ,M,B ,50 - 59,52,2ND DIVISION                                           ,2ND PLATOON                                            ,25,124
2187,POLICE LIEUTENANT                  ,M,W ,OVER 60,60,5TH DIVISION                                           ,STAFF                                                  ,35,125
2108,POLICE OFFICER                     ,M,W ,OVER 60,71,TRAFFIC                                                ,4TH PLATOON                                            ,42,126
2090,POLICE OFFICER                     ,M,W ,40 - 49,42,MAJOR CASE UNIT                                        ,FEDERAL TASK FORCES                                    ,18,127
2050,POLICE SERGEANT                    ,M,W ,50 - 59,53,TRAINING                                               ,BASIC ACADEMY                                          ,24,128
2021,POLICE OFFICER                     ,F,H ,40 - 49,44,ADMINISTRATIVE SERVICES DIVISION                       ,RECRUITING AND SELECTION                               ,18,129
2020,POLICE OFFICER                     ,M,W ,50 - 59,59,CIS HOMICIDE                                           ,SQUAD 2                                                ,24,130
2811,POLICE SERGEANT                    ,M,W ,OVER 60,60,5TH DIVISION                                           ,FLEX PLATOON                                           ,31,131
6048,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,1ST PLATOON                                            ,27,132
2189,POLICE MAJOR                       ,M,W ,40 - 49,42,8TH DIVISION                                           ,STAFF                                                  ,18,133
2190,POLICE SERGEANT                    ,M,W ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,35,134
2192,POLICE OFFICER                     ,M,B ,50 - 59,58,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,35,135
2194,POLICE SERGEANT                    ,M,W ,OVER 60,67,5TH DIVISION                                           ,1ST PLATOON                                            ,35,136
2197,POLICE SERGEANT                    ,M,W ,50 - 59,51,NARCOTICS                                              ,STAFF                                                  ,25,137
2199,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,FLEX PLATOON                                           ,24,138
2200,POLICE OFFICER                     ,F,B ,OVER 60,63,8TH DIVISION                                           ,2ND PLATOON                                            ,35,139
2201,POLICE SERGEANT                    ,M,W ,OVER 60,64,CRIMES AGAINST CHILDREN                                ,MISSING PERSONS                                        ,35,140
2202,POLICE OFFICER                     ,M,W ,OVER 60,60,CIS FORENSIC INVESTIGATIONS                            ,VIDEO FORENSICS                                        ,35,141
2206,POLICE OFFICER                     ,M,B ,OVER 60,64,5TH DIVISION                                           ,2ND PLATOON                                            ,35,142
2212,POLICE OFFICER                     ,F,B ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,35,143
2213,POLICE OFFICER                     ,M,B ,OVER 60,71,TRAFFIC                                                ,2ND PLATOON                                            ,35,144
2215,POLICE MAJOR                       ,M,W ,OVER 60,60,SPECIAL OPERATIONS                                     ,STAFF                                                  ,35,145
2217,POLICE OFFICER                     ,M,B ,50 - 59,58,TRAFFIC                                                ,2ND PLATOON                                            ,35,146
2218,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,18,147
2219,POLICE OFFICER                     ,M,W ,OVER 60,72,4TH DIVISION                                           ,2ND PLATOON                                            ,34,148
2221,POLICE OFFICER                     ,M,W ,OVER 60,65,CANINE UNIT                                            ,2ND PLATOON                                            ,35,149
2225,POLICE OFFICER                     ,M,B ,OVER 60,70,4TH DIVISION                                           ,2ND PLATOON                                            ,34,150
2226,POLICE CHIEF                       ,M,W ,50 - 59,54,CHIEF`S STAFF                                          ,STAFF                                                  ,25,151
2227,POLICE LIEUTENANT                  ,F,W ,40 - 49,45,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,20,152
2228,POLICE OFFICER                     ,M,W ,50 - 59,58,5TH DIVISION                                           ,1ST PLATOON                                            ,34,153
2229,POLICE OFFICER                     ,M,W ,OVER 60,67,5TH DIVISION                                           ,2ND PLATOON                                            ,16,154
2230,POLICE OFFICER                     ,M,W ,50 - 59,53,5TH DIVISION                                           ,1ST PLATOON                                            ,22,155
2232,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,25,156
2234,POLICE OFFICER                     ,M,W ,50 - 59,53,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,18,157
2236,POLICE SERGEANT                    ,M,W ,40 - 49,44,SUPPORT UNIT                                           ,INVESTIGATIVE SUPPORT                                  ,18,158
2237,POLICE OFFICER                     ,M,W ,OVER 60,60,1ST DIVISION                                           ,3RD PLATOON                                            ,13,159
2238,POLICE OFFICER                     ,M,W ,50 - 59,57,4TH DIVISION                                           ,DETECTIVES                                             ,14,160
2239,POLICE OFFICER                     ,M,W ,OVER 60,67,TRAFFIC                                                ,1ST PLATOON                                            ,34,161
2241,POLICE OFFICER                     ,M,B ,OVER 60,61,TRAFFIC                                                ,3RD PLATOON                                            ,34,162
2243,POLICE LIEUTENANT                  ,M,W ,OVER 60,61,CIS ROBBERY                                            ,STAFF                                                  ,34,163
2244,POLICE MAJOR                       ,M,W ,50 - 59,52,2ND DIVISION                                           ,STAFF                                                  ,21,164
2246,POLICE SERGEANT                    ,M,W ,40 - 49,48,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,23,165
2248,POLICE OFFICER                     ,M,W ,50 - 59,51,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,23,166
2249,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,2ND DIVISION                                           ,STAFF                                                  ,25,167
2253,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,168
2255,POLICE OFFICER                     ,M,W ,50 - 59,58,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,25,169
2256,POLICE SERGEANT                    ,M,W ,OVER 60,61,7TH DIVISION                                           ,3RD PLATOON                                            ,25,170
2257,POLICE OFFICER                     ,M,A ,50 - 59,57,TRAINING                                               ,BASIC ACADEMY                                          ,24,171
2259,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,CANINE UNIT                                            ,STAFF                                                  ,23,172
2260,POLICE OFFICER                     ,M,W ,40 - 49,45,8TH DIVISION                                           ,RESOURCE OFFICERS                                      ,19,173
2261,POLICE SERGEANT                    ,M,W ,40 - 49,42,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,20,174
2262,POLICE SERGEANT                    ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,22,175
2267,POLICE OFFICER                     ,F,W ,40 - 49,48,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,24,176
2269,POLICE MAJOR                       ,M,W ,40 - 49,49,MAJOR CRIME DIVISION                                   ,STAFF                                                  ,24,177
2272,POLICE OFFICER                     ,M,W ,40 - 49,46,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,21,178
2274,POLICE SERGEANT                    ,M,W ,50 - 59,51,7TH DIVISION                                           ,1ST PLATOON                                            ,23,179
2278,POLICE OFFICER                     ,M,W ,OVER 60,61,5TH DIVISION                                           ,1ST PLATOON                                            ,23,180
2280,POLICE OFFICER                     ,M,W ,50 - 59,51,PROPERTY ROOM SECTION                                  ,EVIDENCE TECH TEAM                                     ,24,181
2283,POLICE LIEUTENANT                  ,F,W ,40 - 49,42,6TH DIVISION                                           ,STAFF                                                  ,20,182
2285,POLICE OFFICER                     ,M,W ,50 - 59,54,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,25,183
2288,POLICE SERGEANT                    ,F,W ,OVER 60,62,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,25,184
2289,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,DETECTIVES                                             ,23,185
2290,POLICE SERGEANT                    ,M,W ,50 - 59,54,PROPERTY ROOM SECTION                                  ,STAFF                                                  ,25,186
2291,POLICE OFFICER                     ,M,W ,50 - 59,52,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,24,187
2292,POLICE OFFICER                     ,M,W ,50 - 59,55,8TH DIVISION                                           ,1ST PLATOON                                            ,25,188
2294,POLICE LIEUTENANT                  ,M,W ,40 - 49,47,1ST DIVISION                                           ,STAFF                                                  ,23,189
2295,POLICE SERGEANT                    ,M,W ,50 - 59,50,TRAFFIC                                                ,2ND PLATOON                                            ,23,190
2298,POLICE OFFICER                     ,F,W ,40 - 49,49,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,24,191
2300,POLICE OFFICER                     ,M,W ,40 - 49,40,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,18,192
2301,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,24,193
2302,POLICE SERGEANT                    ,F,W ,50 - 59,50,8TH DIVISION                                           ,STAFF                                                  ,24,194
2306,POLICE OFFICER                     ,M,W ,OVER 60,61,SWAT UNIT                                              ,SQUAD 1                                                ,24,195
2307,POLICE SERGEANT                    ,M,W ,40 - 49,45,6TH DIVISION                                           ,1ST PLATOON                                            ,19,196
2308,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,24,197
2309,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,COMMUNITY SERVICES                                     ,STAFF                                                  ,25,198
2310,POLICE SERGEANT                    ,M,B ,50 - 59,59,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21,199
2311,POLICE OFFICER                     ,M,W ,40 - 49,48,3RD DIVISION                                           ,1ST PLATOON                                            ,19,200
2312,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,24,201
2313,POLICE OFFICER                     ,M,W ,50 - 59,53,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,24,202
2314,POLICE OFFICER                     ,M,W ,OVER 60,62,7TH DIVISION                                           ,1ST PLATOON                                            ,18,203
2315,POLICE OFFICER                     ,M,W ,40 - 49,49,1ST DIVISION                                           ,1ST PLATOON                                            ,23,204
2317,POLICE OFFICER                     ,M,W ,50 - 59,52,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,23,205
2318,POLICE OFFICER                     ,M,B ,40 - 49,48,2ND DIVISION                                           ,2ND PLATOON                                            ,21,206
2319,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,24,207
2320,POLICE OFFICER                     ,M,W ,50 - 59,54,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,21,208
2321,POLICE OFFICER                     ,M,W ,40 - 49,48,7TH DIVISION                                           ,1ST PLATOON                                            ,20,209
2323,POLICE OFFICER                     ,M,W ,50 - 59,53,7TH DIVISION                                           ,2ND PLATOON                                            ,24,210
2324,POLICE OFFICER                     ,M,B ,40 - 49,49,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,20,211
2325,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,2ND PLATOON                                            ,24,212
2327,POLICE MAJOR                       ,F,B ,40 - 49,48,8TH DIVISION                                           ,STAFF                                                  ,23,213
2329,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS ROBBERY                                            ,FINANCIAL CRIMES                                       ,18,214
2331,POLICE OFFICER                     ,M,W ,40 - 49,49,4TH DIVISION                                           ,SUPPORT PLATOON                                        ,23,215
2333,POLICE OFFICER                     ,M,W ,50 - 59,50,NARCOTICS                                              ,CANINE SQUAD                                           ,24,216
2337,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,HOMELAND SECURITY UNIT                                 ,STAFF                                                  ,25,217
2340,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,3RD PLATOON                                            ,24,218
2341,POLICE OFFICER                     ,M,W ,OVER 60,65,5TH DIVISION                                           ,2ND PLATOON                                            ,24,219
2342,POLICE OFFICER                     ,F,W ,50 - 59,54,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,23,220
2346,POLICE OFFICER                     ,M,W ,50 - 59,58,8TH DIVISION                                           ,1ST PLATOON                                            ,24,221
2352,POLICE SERGEANT                    ,M,W ,50 - 59,53,2ND DIVISION                                           ,1ST PLATOON                                            ,23,222
2355,POLICE OFFICER                     ,M,W ,40 - 49,48,5TH DIVISION                                           ,1ST PLATOON                                            ,23,223
