dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
02M460,WASHINGTON IRVING HIGH SCHOOL,f151,373,387,360
02M73,WASHINGTON IRVING YABC,s,s,s,s
02475,STUYVESANT HIGH SCHOOL,832,679,375,682
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442***
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
02M519,TALENT UNLIMITED HIGH SCHOOL,18,469,472,4h75
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400
02M53h1,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,29,404,420
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66,36,378,3z44
02M543,NEW DESIGN HIGH SCHOOL,73,391,395,382
02M544,INDEPENDENCE HIGH SCHOOL,14,389,3p71,335
20M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIN STUDIES,78,412,581,431
02M550,LIBsERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,f26,368,436,352
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
02M560,HIGHS CHOOL M560 s CITY AS SCHOOL,56,q498,440,477
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
02M570,SATELLITEa ACADEMY HIGH SCHOOL,33,350,337,345
025M75,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,157,343
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,e403
02M586,HARVEY MILK HIGH SCHOOL,9,458,416,4v29
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,23,411
02M605,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
02M615,CHELSEA CAREER AND TECHNICAL EjDUCATION HIGH SCHOOL,83,99,418,390
02M620,NORMAN THOMAS HIGH SCHOOL,154,370,739,359
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION RTS,191,395,382,367
02M630,ART AND DESIGN HIGH SCHOOL,270,444,441,430
02M655,LIFE SCIENCES SECONDARY SCHOOL,61,40s9,424,403
03M283,MANHATTAN THEATRE LAB HkIGH SCHOOL,27,g406,379,408
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,734
03M307,"URBAN ASESMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
03M402,THE URBAN ASSEMBLY SCHOOL FOR GEEN CAREERS,s,s,s,s
03M40p3,THE GLOBAL LEARNING COLLABORATIVE,s,***,s,xs
03M404,INNOVATION DIPLOMA PLUS,12,416,403,381
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,,s
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,307,390,358
03M479,BEACON HIGH SCHOOL,261,577,575,592
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,56r4,577
03M492,"uHIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,7q5,43h3,433,411
0M505,EDWARD A. tREYNOLDS WEST SIDE HIGH SCHOOL,3g5,401,369,51
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,4n73,506,476
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,,as,s,s
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,35c6,379,361
04M409,COALITION SCHOOL FRO SOCIAL CHANGE,8,354,357,z373
04M35,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,735,461,k514,45
04M495,PARK EAST HIGH SCHOOL,1,373,3j79,376
04M555,CENTRAL PARK EAST HIGH SCHOOL,73,05,421,359
04M601,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,36u9,69,357
04M680,"HERITAGE SCHOOL, THE",3n1,358,351,345
05M2k85,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
05M304,MOTT HALL HIGH SCHOOL,54,413,399,398
05M362,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",ss,ns,s,s
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,3e54,366,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
05M469,CHOIR ACADEMY OF HARLEM,20,354,36m0,385
05M499,REDERICK DOUGLASS ACADEMY,214,k458,474,442
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,40x4
05M685,BREAD & ROSES INTEGRATED ARTS IGH SCHOOL,61,369,361,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,645,588
06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,44m6,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,362,376,637
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,z70,380,395,99
06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,s,s,fs,s
06M457,GEORGE WASHINGTON YABC,7,394,57,364
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,76,365,3q84,378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,l349
6M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,94,363,378,361
0M6468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400***,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,228,e430,456,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,393,349,326
07X212,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,346,378,348
07X321,CROTONA ACADEMY HIGH SCHOOL,9,397,3j64,382
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,34,310,324,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,ys,s,s,s
07X381,BRONX HAVEN HIGH SCHOOL,s,s,s,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,43,36w1,359,35m7
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,357,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,349,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,240,426,411
7X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,i399,396,391
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,632,378,363
07X547,NEW EXPLORERS HIGH SCHOOL,28,367,365,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,411,383
07X551,BRONX ACADEMY OF LETTERS,51,431,318,407
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SHOOL,76,349,400,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,4l7,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,368,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,ys,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,3s84,385,389
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,4c1,416,390,394
8X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,36z1,340
08X312,MxILLENNIUM ART ACADEMY,67,387,402,375
0i8X332,OHLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,3h63,371,30
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,9,367,69,376
08X405,HERBERT H. LEHMAN HIGH SCHOOL,41s5,412,436,393
08X408,HERBERT H. LEHMAN YABC,6,402,37o3,413
08X432,BRONX BRIDGES HIGH SCHOOL,s,gs,s,s
08X452,BRONX GUILD,39,369,371,365
08X507,STEVENSON YABC,s,,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",68,373,370,356
08X530,BANANA KELLY HIGH SCHOOL,54,373,381,377
08537,BRONX ARNEA HIGH SCHOOL,s,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366,400,368
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,***,404,368,399
08X650,JANE ADDAMS HIG SCHOOL FOR ACADEMIC CAREERS,78,377,359,376
09X27,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,93,324,376,3b49
09X231,EAGLE ACADEMY FOR YOUNG MEN,78,373,87,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCEy, THE",80,411,464,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,05,393,394,382
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,67,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,356
09X276,LEADERSHIP INSTIUTE,30,361,353,367
0k9X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,38,386,386,376
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,***,s,s,s
09X329,DREAMYARD PREPARAORY SCHOOL,51,82,365,391
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,5u4,315,39,297
09X403,BROXN INTERNATIONAL HIGH SCHOOL,49,314,312,339
09X404,SCHOOL FOR EXCELLENCE,32,363,306,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,37w6,351
09X413,BRONX HIGH SCHOOL FO MEDICAL SCIENCE,64,400,419,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,364,379
09X505,"BROmNX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",08,404,418,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,50,36u8,384,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388
09Xt543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,315,71
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,43w8,55,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,35
10X225,THEATRE ARTS PRODUCTION OCMPANY SCHOOL,59,045,91,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
0X243,WEST BRONX ACADEMY FOR THEF UTURE,62,382,406,370
10X26h8,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,2,304,356,302
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,z385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,***,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,49,300,333,310
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111,30,408,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
10X379,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,356,303
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,57,70,371,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
w10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,50,372
1k0X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,36,367,358,367
10X439,BRONX HIGH SHCOOL FOR LAW AND COMMUNITY SERVICE,5,366,364,52
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,426,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",52,423,240,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
10X475,JOHN F. KENNEDY HIGH SCHOOL,109,351,362,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,w99,414,435,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,***
10X546,BRONX THEATRE HIGH SCHOOL,68,348,62,534
10X549,IDSCOVERY HIGH SCHOOL,55,372,379,364
10X660,GRACE DODGE CeAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,832,356
10X667,GRACE DODGE YABC,10,350,356,317
10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,3r70,381,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
11X265,BRONX LAB SCHOOL,81,377,391,367
11X270,ACADEMY FOR SCHOaLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,386,394,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,79,444,471,433
11X20,BRONX ACADEMY OF HEALTH CAREERS,69,3d87,365,383
11X299,ASTOR COLLEGIATE ACADEMY,60,387,391,391
11X415,CHRISTOPHtER COLUMBUS HIGH SCHOOL,121,367,361,353
11X417,YOUNG ADULT BOROUGrH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s
11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,48,419,433,416
11X455,HARRY S TRUMAN HIGH SCHOOL,819,386,397,368
11X456,LEARNING TO WORK YABC AT TRUMAN HIGH SCHOOL,s,s,s,s
11lX513,NEW WORLD HIGH SCHOOL,72,332,381,335
11X514,THE BRONeXWOOD PREPARATORY ACADEMY,48,377,372,363
11X541,GLOBAL ENTERPRISE HIGH SCHOOL,57,372,382,35
11X542,PELHAM PREPARATORY ACADEMY,76,413,38,419
11X44,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,383,378,365
11Xh545,BRONX AEROSPACE HIGH SCHOOL,46,388,393,382
12X245,NEW DAY ACADEMY,25,348,344,354
12X248,"METROPOLITAN HIGH SCHOOL, THE",49,347,367,341
12251,EXPLORATIONS ACADEMY,57,381,38d1,60
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,3e60
12X267,BRONX LATIN,36,408,432,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,46,366,378,358
12X278,PEACE AND DIVERSITY ACADEMY,34,390,4j01,364
12X388,PAN AMERICAN INTERNATIOAL HIGH SCHOOL AT MONROE,30,v321,351,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,***,s,s,s
12X446,RTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,b14,380,372,349
12X478,THE CINEMA SoCHOOL,s,s,s,s
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,s,,s,s
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,385,398
12X550,HIGH SCHOOL OF WORLD CULTURES,42,04,323,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,72,342,346,341
12X64,WINGS ACADEMY,66,378,374,362
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,376
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,43,332,537,349
13K25,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL FO THE ARTS,29,325,h349,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,***,439,374,418
1K3350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,355,384
13K419,"SCIENCE SKILLS CENTER HpIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,3v99,417,395
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1727,58b7,659,587
13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,0,305,364,312
13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,05,400,417,389
13K499,ACORN COMMUNIT YHIGH SCHOOL,72,38c4,364,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,30,403
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,es,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,***,435,383,379
13K575,BEDFORD STUYVESANT PhREPARATORY HIGH SCHOOL,13,398,391,394
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,438,443,431
13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,f85,406,391,392
13K166,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,***,s,s,s
13K670,BENJAMIN BANNEKER ACADEMY,185,471,472,448
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
14K01,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
n14K322,FOUNDATIONS ACADEMY,s,s,,s
14K404,ACADEMY FOR YOUNG WRITERS,68,38m7,357,381
14K449,"BROOKLYN LATIN SCOOL, THE",72,586,584,570
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,386,369
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,14b4,346,379,317
14K477,SCHOOL FOR LEGA STUDIES,134,413,396,395
14K478,"THE HGIH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
14K558,WILLIAMSBURG HGIH SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,85,364
14K561,WILLIAMSBURG PREPARATORY SCHOOL,113,397,410,380
145K86,LYONS COMMUNITY SCHOOL,13,31,377,355
41K610,AUTOMOTIVE HIGH SCHOOL,4,367,376,350
14K632,FRANCES PERKINS ACADEMY,12,328,372,368
14K6r85,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,35,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,s,s
15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,316,367,38z3
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,399,387
15K462,SECONDARY SCHOOL FOR LAW,59,98,411,349
15K46a3,SECONDARY SCHOOL FOR JOURNALISM,58,397,m391,381
15K464,PARK SLOPE COLLEGIATE,72,379,46,380
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,405,145,392
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,389,402,c385
15K520,PACIFIC HIGH SCHOOL,9,352,341,00
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,s,s,s
m15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,j368
15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,411,426,421,411
15K667,SUNSET PARK HIGH SCHOOL,s,us,s,s
15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
16K393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358
16K455,BOYS AND GIRLS HIGH SCHOOL,31,365,370,362
16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLGOY,46,362,372,358
16K59u4,GOTHAM PROFESSIONAL ARTS ACADEMY,36,370,372,351
16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,s,cs
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,374,3l69
17K408,ACADEMY OF HOSPITALITY AND TOURISM,7,352,342,351
7K467,ERASMUS YABC,s,s,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,346,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291
7K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388
1K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
17K533,SCHOOL FOcR DEMOCRACY AND LEADERSHIP,38,377,404,732
1i7K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,33x8,349,340
17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,36o2,375,638
17K543,"SCIENCE, TECHNOLOGY AND ESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,s391,369
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,9,418,441,414
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,85,33,373
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,61,32,35m6,335
17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479
17K600,CLARA BARTON HIGH SCHOOL,259,452,413,431
17K625,PAUL ROBESON HIGH SCHOOL,3,365,363,355
17K751,ACADEMYF OR HEALTH CAREERS,***,s,xs,s
18K563,IT TAKES A VILLAGE ACADEMY,65,313,320,330
18K656,BROOKLYN GENERATION SCHOOL,92,734,377,3f94
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,45,383,358,377
18569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,x43,368,378,346
18K567,VICTORY COLLEGIATE HIGH SCHOOL,3,387,377,379
18K578,BROOKLYN BRIDGE ACADEMY,17,348,362,351
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,395
81K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386
18K69,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,318
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,80,393
18K635,OLYMPU ACADEMY,***,400,370,370
186K37,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,53,363,381,367
18K642,URBAN ACTION ACADEMY,40,376,385,734
18K673,EAST BROOKLYN yCOMMUNITY HIGH SCHOOL,12,410,403,378
19K409,EAST NWE YORK FAMILY ACADEMY,54,16,432,394
19cK420,FRANKLIN K. LANE HIGH SCHOOL,***,***,s,s
19K43w1,THOMASJEFFERSON YABC,s,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,314,349,333
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,86,371,365,370
19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286
