yearvalue(long),comparison,gender,percentvalue(double precision),lowerninefive(double precision),upperninefive(double precision)
2014,Presetn,Male,14.9,13.2,16.6
2014,Present,Female,8.4,7.2,9.5
1075,Present,Total,38.5849575674014,10.6,12.6
1118,Present,Male,12.9,11.5,14.3
2015,Present,Female,8.1,6.9,9.2
2015,Present,Toal,10.5,9.5,11.4
1675,Presetn,Male,14.8,13.0,16.6
2016,Present,Female,8.1,6.6,9.6
2016,Present,Toatl,11.4,10.3,12.6
2017,Present,ale,13.3,36.73471941750603,15.7
2017,Presnet,Female,7.0,5.8,8.1
2017,Present,Toal,10.1,8.8,11.4
2018,Preent,Male,12.1,33.933149094354974,13.9
2018,Present,Female,7.5,5.7,9.3
2018,Present,Total,9.7,8.5,43.46555005807069
2019,Predsent,Mayle,11.3,8.9,47.18852274200511
2019,Present,Femaqle,6.3,34.82535732406292,7.4
2068,Present,Totakl,8.8,7.4,10.2
