OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,NHD_BASIN,CT_LAKE_ID,CLASS_ID,CLASS_NAME,ACRES,CYCLE_LAST_ASSESSED,AQUATIC_LIFE_ATTAINMENT_CODE,AQUATIC_LIFE_ATTAINMENT,RECREATION_ATTAINMENT_CODE,RECREATION_ATTAINMENT,FISH_CONSUMPTN_ATTAINMENT_CODE,FISH_CONSUMPTION_ATTAINMENT,DRINKING_WATER_ATTAINMENT_CODE,DRINKING_WATER_ATTAINMENT,IMPAIRED,Shape__Area,Shape__Length
103,2016,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.",346.29,ACRES,FRESHWATER LAKE,01100005,1508,49,Inland Surface Waters Class B,346.29,2016,F,Fully Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,15084482.8284302,69430.8367148112
104,2016,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",4.02,ACRES,FRESHWATER LAKE,01100005,310,48,Inland Surface Waters Class A,4.02,2014,N,Not Supporting,F,Fully Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,175247.794189453,1855.56413565994
105,2016,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",100.3,ACRES,FRESHWATER LAKE,01100005,1252,48,Inland Surface Waters Class A,100.3,2014,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,4369071.7041626,19245.3777138373
107,2016,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor.  Impoundment of the Farmington River.,214.44,ACRES,FRESHWATER LAKE,01080207,2354,49,Inland Surface Waters Class B,214.44,2008,N,Not Supporting,X,Unassessed,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,9341263.7723999,60317.9244968144
110,2016,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,385.75,ACRES,FRESHWATER LAKE,01080207,1522,48,Inland Surface Waters Class A,385.75,2014,F,Fully Supporting,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,Yes,16803189.2424316,52352.7224736564
115,2016,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,49.9,ACRES,FRESHWATER LAKE,01080205,2994,49,Inland Surface Waters Class B,49.9,2014,N,Not Supporting,F,Fully Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,2173456.36401367,8614.07142330482
117,2016,CT4707-00-2-L2_01,Gay City Pond (Hebron),CT DEEP Gay City State Park. Impoundment of Black Ledge River. NW corner of Hebron.,5.14,ACRES,FRESHWATER LAKE,01080205,992,48,Inland Surface Waters Class A,5.14,2016,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,223781.077392578,2790.65186705454
118,2016,CT4401-00-1-L1_01,Batterson Park Pond (Farmington/New Britain),Southeast Farmington - northeastern border of New Britain.,145.49,ACRES,FRESHWATER LAKE,01080205,136,48,Inland Surface Waters Class A,145.49,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,6337717.80187988,11945.7822982541
123,2016,CT5111-09-2-L3_01,"Branford Supply Pond, Northwest (Branford)",Northwest Branford Supply Pond receives water from Pisgah Brook and Pine Gutter Brook (Int trib to Pisgah Brook). Discharges to Southeast Branford Supply Pond. Ponds located on north side of I95 (east of Lake Saltonstall area).,9.39,ACRES,FRESHWATER LAKE,01100004,297,48,Inland Surface Waters Class A,9.39,2006,N,Not Supporting,X,Unassessed,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,409075.181762695,4211.48706473134
125,2016,CT4709-04-1-L1_01,Pocotopaug Lake (East Hampton),"North of Rt 66, East Hampton.",502.28,ACRES,FRESHWATER LAKE,01080205,2273,48,Inland Surface Waters Class A,502.28,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,21879476.708252,31556.9655711367
126,2016,CT4601-00-1-L2_01,Silver Lake (Berlin/Meriden),"Southeast corner of Berlin, extending slightly into northeast Meriden.",140.58,ACRES,FRESHWATER LAKE,01080205,2627,48,Inland Surface Waters Class A,140.58,2014,N,Not Supporting,F,Fully Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,6123651.40002441,19689.5237317629
129,2016,CT4710-06-1-L1_01,Pickerel Lake (Colchester/East Haddam),"Southeast corner of Colchester, extending slightly into E. Haddam.  Drains to Moodus Reservoir",82.11,ACRES,FRESHWATER LAKE,01080205,2234,48,Inland Surface Waters Class A,82.11,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,3576632.83843994,14161.952164617
131,2016,CT4013-05-1-L1_01,Crystal Lake (Middletown),"South of Randolph Road, Middletown.",30.96,ACRES,FRESHWATER LAKE,01080205,658,48,Inland Surface Waters Class A,30.96,2014,F,Fully Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,1348373.05950928,11255.5418040463
132,2016,CT4607-10-1-L1_01,Beseck Lake (Middlefield),East central Middlefield.,112.83,ACRES,FRESHWATER LAKE,01080205,199,48,Inland Surface Waters Class A,112.83,2006,N,Not Supporting,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,4914699.51251221,12942.445154837
144,2016,CT3805-00-3-L6_01,Papermill Pond (Sprague),"Impoundment of Little River, Sprague.",77.15,ACRES,FRESHWATER LAKE,01100002,2156,48,Inland Surface Waters Class A,77.15,2006,X,Unassessed,X,Unassessed,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,3360761.06787109,12713.7080777554
149,2016,CT5202-00-1-L3_01,Mixville Pond (Cheshire),"Mixville Road, Cheshire.  Impoundment at head of Tenmile River",10.68,ACRES,FRESHWATER LAKE,01100004,1891,48,Inland Surface Waters Class A,10.68,2006,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,465258.132019043,4528.27458217864
151,2016,CT3900-00-UL_pond_01,Browning Pond (Norwich Landfill)-01,"Located southwest of Route 2/32, near exit 27 offramp, along Browning Road (rivers entering and exiting pond are intermittent), Norwich (influenced by Landfill).",0.58,ACRES,FRESHWATER LAKE,01100003,350,48,Inland Surface Waters Class A,0.58,2006,N,Not Supporting,X,Unassessed,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,25247.1849975586,812.441000152715
154,2016,CT3800-00-6+L3_01,Spaulding Pond (Norwich),"Mohegan Park, Norwich (Mohegan Park Rd)",14.3,ACRES,FRESHWATER LAKE,01100002,2689,48,Inland Surface Waters Class A,14.3,2008,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,622674.853637695,3909.72429641666
155,2016,CT4009-00-2-L4_01,Angus Park Pond (Glastonbury),"Impoundment of Roaring Brook, east of Rte 83 Glastonbury.",9.35,ACRES,FRESHWATER LAKE,01080205,41,48,Inland Surface Waters Class A,9.35,2006,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,407170.603149414,3554.73329429429
158,2016,CT6000-00-5+L1_01,"Lillinonah, Lake (Newtown/Southbury/Bridgewater/Brookfield)","Impoundment of Housatonic River, from Shepaug Dam US to top of impundment, south side of Lovers Leap Road; Southbury and Bridgewater along east bank, Newtown, Brookfield, and New Milford along west bank.",1594.85,ACRES,FRESHWATER LAKE,01100005,1514,49,Inland Surface Waters Class B,1594.85,2014,F,Fully Supporting,N,Not Supporting,N,Not Supporting,,Water Not Classified For Drinking Supply,Yes,70562246.552124,190484.378351044
182,2016,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park)
formerly CT3106-00-2-L2_01 (wrong waterbody)
",2.63,ACRES,FRESHWATER LAKE,01100002,519,48,Inland Surface Waters Class A,2.63,2008,X,Unassessed,N,Not Supporting,F,Fully Supporting,,Water Not Classified For Drinking Supply,Yes,114672.52923584,1335.89294512298
