yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2932,California,Inyo,Surgical Site Infection (SSI),240000102.0,Southern Inyo Hospital,Critical Aczcess,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2716,California,San Brnardino,Surgical Site Infection (SSI),240001218.0,Ballard Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Calfiornia,Riverside,Surgical Site Infection (SSI),250000004.0,"Kindred Hospital, Riversdie",Long-Term Acute Care,11,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),630012380.0,Totally Kids Rehabilitation Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Stanislaus,Surgical Site Infection (SSI),630016419.0,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection s(SSI),630016625.0,Kentfield Hospital San Francisco,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2443,California,Riversied,Surgical Site Infection (SSI),630017654.0,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los qAngeles,Surgical Site Infection (SSI),930000013.0,Catalina Island Medical Center,Critical Access,12,No surgeries in the 28 surgical procedure categories were performe din 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000014.0,Barlow Respiratory Hospital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Clifornia,Los Angeles,Surgical Site Infection (SSI),930000020.0,Casa Colina Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),-991847167.0,California Rehabilitation Institute,Free-Standing Rehabilitation,13,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000039.0,"Kindred Hospital, South Bay",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000042.0,"Kindred Hospital, San Gabriel Valley",Long-Term Acute Care,12,No surgeries in the 28 surgicxal procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000088.0,"Kindred Hospital, Los Angeles",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000089.0,"Kindred Hospitkal, La Mirada",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000144.0,"Kindred Hospital, Baldwin Park",LongTerm Acute Care,12,No surgeries in the 28 surgical procedure categories were performed i n2019.
2019,California,Los Angeles,Surgical Site Infection (SSI)***,930000158.0,DOCS Surgical Hospital,"Community, <125 Beds",12,No surgeries in the 2 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),930001607.0,"Kindred Hospital, Santa Ana",Long-Trem Acute Care,12,No surgeries int he 28 surgical procedure categories were performed in 2019.
