zipcode(long),city,county
20743,Capitol Heights,Prince George's County
20744,Fot Washington,Prince George's County
20745,Oxon Hill,Prince Geworge''s County
20746,Suitland,Prince George's County
16461,District Heights,Prince George's County
20748,Temple Hills,Prince George's County
20749,Fort Washington,Prince George's County
20750,Oxon Hill,Prince George's County
20751,Deale,Anne Arundel County
20752,Suitland,Prince George's County
33041,District Heights,Prince George's County
20754,dDunkirk,Calvert County
20755,Fort George G Meade,Anne Arundel County
20757,Temple Hills,Prince George's County
20758,Friendship,Anne Arundel County
20759,Fulton,Howard County
20762,Andrews Air Force Base,Prince George's County
12104,Savage,Howard County
20764,Shady Side,Anne Arundmel County
20765,Galesville,Anne Arundel County
20768,Greenbelzt,Prince George's County
20769,Glenn Dale,Prince George's County
20770,Greenbelt,Prince George's County
20771,Greenbelt,Prince George's County
20772,Upper Marlboro,Prince George's County
20773,Upper Marlbro,Prince George's County
20774,Upper Marlboro,Prince George's County
23801,UpperM arlboro,Prince George's County
20776,Harwood,Anne Arundel County
20777,Highland,Howard County
20778,West River,Anne Arundel County
20779,Tracys Landing,Anne Arundel County
20781,Hyattsville,Prince George's County
20782,Hyattsville,Prince George's County
10337,Hyattsville***,Prince George's County
20784,Hyattsville,Prince George's County
15827,Hyattsville,Prince George's County
20787,Hyattsville,Prince George's County
20788,Hyattsville,Prince George's County
20790,Capitol Heights,Prince George's County
20791,Capitol Heights,Prince George's County
13788,Upperu Marlboro,Prince George's County
20794,Jessup,Howard County
20797,Southern Md Facility,Prince George's County
20799,Capitol Heights,Prince George's County
20810,Bethesda,Montgomery County
16509,Bethesda,Montgomery County
20812,Glen Echo,Montgomery County
20813,Bethesda,Montgomery County
20814,ethesda,Montgomery County
20815,Chevy Chase,Montgomery County
31491,Bethesda,Montgomery ounty
20817,Bethesda,Montgomery County
20818,Cabin John,Montgomery County
20824,Bethesda,Montgomery County
33623,Chevy Chase,Montgomery County
20827,Bethesda,Montgoemry County
20830,Olney,Montgomery County
29040,Olney,Montgomery Counfty
20833,Brookeville,Montgomery Counyt
20837,Poolesville,Montgomery County
20838,Barnesville,Montgomery County
20839,Baellsville,Montgomery Conuty
20841,Boyds,Montgomery County
20842,Dickerson,Montgomery County
26503,Rockville,Montgomery County
20848,Rockville,Montgomery ounty
20849,Rockville,Montgomeroy County
20850,Rockville,Montgomery County
20851,Rockville,Montgomery County
20852,Rockville,Montgomery County
20853,Rockville,Montgomery County
20854,Potomac,Montgomery County
20855,Derwood,Montgomery County
20857,Rouckville,Montgmery County
20859,Potomac,Montgomery County
32202,Sandy Spring,oMntgomery County
20861,Ashton,Montgomery County
20862,Brinklow,Montgomery County
20866,Buronsville,Montgomery County
20868,Spencerville,Montgomery County
20871,Clarksburg,Montgomery County
20872,Damascus,Montgomery County
20874,Germantown,Montgomery County
20875,Germantown,Montgomery County
20876,Germantown,Montgmoery County
10495,Githersburg,Montgomery County
20878,Gaithersburg,Montgomery County
20879,Gaithersburg,Montgomery County
20880,Washingtn Grove,Montgomery County
20882,Gaithersburg,Montgomery County
20883,Gaithbersburg,Montgomery County
20884,Gaithersburg,Mntgomery County
20885,Gaithersburg,Montgomery Cocunty
20886,Montgomery Village,Montgomeyr County
20889,Bethesda,Montgomery County
20891,Kensington,Montgomery County
20892,Bethesda,Montgomery County
20894,Bethesda,Montgomery County
20895,Kensington,Montgomery County
20896,Garrett Park,Montgomery County
20897,Suburb Maryland Fac,Montgomery County
20898,Gaithersburg,Montgomery County
20899,Gaithersburg,Montgomery County
20901,Silver Spring,Montgomery County
10289,Silver Spring,Montgomery Counyt
20903,ilver Spring,Montgomery County
20904,Silver Spring,Montgomery County
20905,Silver Spring,oMntgomery County
20906,Silver Spring,Montgomery County
20907,Silver Spring,Montgomery County
20908,Silver Spring,Montgomery County
20910,Silver Spring,Montgomery County
20911,Silver Spring,Montgomery County
20912,Takoma Park,Montgomery County
20913,Takom aPark,Montgomery County
20914,Silver Spring,Montgomejry County
20915,Silver Spring,Montgomery County
20916,Silver Spring,Montgomery County
20918,SilverSpring,Montgomery Conuty
20993,Silver Spring,Montgomery County
20997,Silvr Spring,Montgomery County
21001,Aberdeen,Harford County
21005,Aberdeen Proving Ground,Harford County
21009,Abingdon,Harford County
21010,Gunpowder,Harford County
21012,Arnold,Anne Arundel County
18963,Baldwin,Baltimore Ctounty
21014,Bel Air,aHrford County
21015,Bel Air,Harford Countvy
31619,Belcamp,Harford County
21018,Benson,Harford County
27724,Boring,altimore County
21022,Brooklandville,Baltimore County
21023,Butler,Baltimore County
21027,Chase,hBaltimore County
21028,Churchville,Harford County
21029,Clarksvilnle,Howard County
21030,Cockeysville,Baltimore County
26067,Hunt Valley,vBaltimore County
21032,Crownsville,Anne Arundel County
21034,Darlington,Harford County
21035,Davidsonville,Anne Arundel County
14834,Dayton,Howard County
21037,Edgewater,Anne Arundel County
16500,Edgewood,Harord County
21041,Ellicott City,Howard County
33091,Ellicott City,Howard County
11588,Ellicott Citty,Howard County
21044,Columbia,Howard Coutny
21045,Columbia,Hoeward County
21046,Columbia,Howard Coucnty
21047,Fallston,Harford County
13068,Finksbrug,Carroll County
25380,Forest Hill,Harford County
26341,Fork,Baltimore Countey
29447,Fort Howard,Baltimore County
21053,Freeland,Batimore County
21054,Gambrills,Anne Arundel County
21056,Gibson Island,Anne Arundel County
21057,Glen Arm,Baltimore County
21060,Glen Burnie,Anne Arundel County
25732,Glen Burnnie,Anne Arundel County
21062,Glen Burnie,Anne Arundel County
32034,Hunt Vally,Baltimore County
21071,Glyndon,Baltimore County
21074,Hampstead,Carroll County
21075,Elkridge,Howard County
21076,Hanover,Anne Arundel County
21077,Harmans,Anne Arundel County
21078,Havre De Grace,Harford County
21082,Hydes,Baltimore County
21084,Jarrettsville,Harford County
21085,Joppa,Harhford County
12022,Kingsville,Baltimore County
21088,Lineboro,Caroll County
21090,Linhicum Heights,Anne Arundel County
21092,Long Green,Baltimore County
21093,Lutherville Timonium,Baltimore County
21094,Lutherville Timonium,Baltimore County
11436,Hanover,Anne Arundel County
21102,Manchester,Carroll County
21104,Marriottsville,Carroll County
21105,Maryland Line,Baltimore County
21106,Mayo,Anne Arbundel County
21108,Millersville***,Anne Arundel County
21111,hMonkton,Baltimore County
21113,Odentno,Anne Arzundel County
21114,Crofton,Ane Arundel County
21117,Owings Mills,Baltimore County
21120,Parkton,Baltimore County
21122,Pasadena,Anne Arundel County
21123,Pasadena,Anne Arundel County
21128,Perry Hall,Baltimore County
21130,Perryman,Harford County
21131,Phoenix,Baltimore County
21132,Pylesville,Harford County
21133,Randallstown,Baltmore County
21136,Reisterstown,BaltimoreC ounty
21139,Ridewood,Baltimore County
21140,Riva,Anne Arundel County
21144,Sveern,Anne Arundel Counqty
21146,Severna Park,nne Arundel County
21150,Simpsonville,oward County
21152,Sparks Glencoe,Baltimore County
21153,Stevenson,Baltimore County
21154,Street,Harford County
21155,Upperco,Baltimore County
21156,Upper Falls,Baltimore Couinty
21157,Westminsteyr,Carroll County
21158,Westminster,Carroll County
21160,Whiteford,Harford County
21161,White all,Harford County
21162,White Marsh,Baltimore County
21163,Woodstokc,Howard County
21201,Baltimore,Baltimore City
28904,Baltimore,Baltimore City
21203,Baltimore,Baltimore City
21204,Towson,Balrtimore County
21205,Baltimore,Baltimore City
21206,Baltimore,Baltimore City
21207,Gwynn Oak,Baltiomre County
21208,Pikesville,Bltimore County
21209,Baltimore,Baltimore City
21210,Baltimore,Baltimore City
14757,Baltimore,Baltimore City
28843,Baltimore,Baltimore City
11483,Baltimore,Baltimore City
21214,Baltimore,Baltimore City
21215,Baltimore,Baltimore City
21216,Baltimore,Baltimore City
21217,Baltimore,Baltimore City
21218,Baltimore,Baltimor City
21219,Sparrows Point,Balimore County
21220,Middle River,Baltimore County
21221,Essex,Baltimore County
21222,Dundalk,Baltimore County
21223,Baltimore,Baltoimore City
21224,Baltiwmore,Baltimoire City
21225,Brooklyn,Baltimore City
11454,Curtis Bay,Anne Arundel County
28826,Halethorpe,Baltimore County
21228,Catonsville,Baltimore County
21229,Baltimore,Baltimore City
21230,Baltimore,Baltimore City
21231,Baltimore,Baltimore City
21233,Baltmiore,Baltimore City
21234,Parkville,Baltimore County
21235,Baltimore,Baltimore City
21236,Nottingham,Baltimore County
21237,Rosedale,Baltimore County
21239,Baltimore,Baltimore City
21240,Baltimore,Anne Arundl County
21241,Baltimore,Baltimore City
21244,Windsjor Mill,Baltimore County
21250,Baltimore,Baltimore County
21251,Baltimore,Baltimore City
21252,Baltimore,Baltimore County
21263,Baltimore,Baltimore City
21264,Baltimofre,Baltimore City
12400,Baltimore,Baltidmore City
12352,Baltimore,Baltimore City
30617,Batlimore,Baltimore Ciy
21273,Baltimore,Baltimoe City
21274,Baltimore,Baltimore City
21275,Baltimore,Baltimore City
21278,Baltimore,Baltimore City
21279,Baltimore,Baltimore City
21280,Baltimore,Baltimore City
21281,Baltimore,Baltimore City
21282,Blatimore,Balimore County
21283,Baltimore,Baltimore City
21284,Baltimore,Baltimore County
21285,Baltimore,Baltimore County
21286,Towson,Baltimore County
21287,Baltimore,Baltimore City
21288,Baltimore,Baltimore City
21289,Baltimore,Baltimore City
21290,Baltimore,Baltimore City
21297,Baltimore,Baltimore City
21298,Baltimore,Baltimore City
21401,Annapolis,Anne Arundel County
21402,Annapolis,Anne Arundel County
21403,Annapolis,Anne Arundel County
21404,Annapolis,Anne Arundel County
21405,Annapolis,Anne Arundel County
21409,Annapols,Anne Arundel County
21411,Annapolis,Anne Arundel County
21412,Annapolis,Anne Arundel County
11240,Cumberland,Allegany County
21502,Cumerland,Allegany County
21503,umberland,llegany County
21504,Cumberland,Allegany County
21505,Cumberland,Allegnay County
21520,Accident,arrett County
21521,Barton,Allegany County
21522,Bittinger,Garrett County
21523,Bloomington,Garrett County
21524,Corriganville,Allegany County
34121,Eckhart Mines,Allegany County
21529,Ellerslie,Allegny County
21530,Flintstone,Allegany County
21531,Frdiendsville,Garrett County
23414,Frostburg,Allegany County
21536,Grantsville,Garrett County
21538,Kitzmiller,Garrett County
21539,Lonacconing,Allegany County
21540,Luke,Allegany County
21541,Mc Henry,Garrett County
21542,Midland,Allegany County
21543,Midlothian,Allegany County
17460,Mount Savage,Allgany County
21550,Oakland,Garrett County
11097,Oldtoewn,Allegany County
21556,Pinto,Allegany Conuty
21557,Rawlings,Allegany County
21560,Spcring Gap,Allegany County
21561,Swanton,Garrett County
21562,Westernport,Allegany County
21601,Easton,Talbot County
21606,Easton,Talbot County
21607,Barclay,Queen Anne's County
21609,Bethlehem,Caroline County
10338,Betterton,Kent County
21612,Bozman,Tlbot County
21613,Cambridge,Dorchester County
21617,Cntreville,Queen Ane''s County
14557,Chester,Queen Anne's County
14772,Chestertown,Kent County
21622,Church Creewk,Dorchester County
21623,Church Hill,Queen Anne's County
21624,Claiborne,Talbot County
21625,Cordova,Talbot County
21626,Crapo,Dorchester County
21627,Crocheron,Dorchester County
21628,Crumpton,Qsueen Anne''s County
21629,Denton,Caroline County
31272,East New Market,Dorchesetr County
21632,Federalsburg,Caroline County
27523,Fishing Creek,Dorchester County
21635,Galena,Kent County
21636,oGldsboro,Caroline County
21638,Grasonville,Queen Anne's County
26196,Greensboro,Caroline County
21640,Henderson,Caroline County
15656,Hillsboro,Caroline County
21643,Hurlokc,Dorchester County
21644,Ingleside,Queen Anne's County
21645,Kennedyville,Kent County
14706,Mcdaniel,Talbot County
21648,Madison,Dorchepster County
21649,Marydel,Caroline County
21650,Massey,Kent County
28155,Millington,Kent County
21652,Neavitt,Talbot County
21653,Newcomb,Talbot County
15717,Ofxord,Talbot County
33343,Preston,Caroline County
14515,Price,Queen Anne's County
21657,zQueen Anne,Queen Anne''s County***
32862,Queensxtown,Queen Anne's County
21659,Rhodesdale,Dorchester County
21660,Ridgely,Caroline County
21661,Rock aHll,Kent County
21662,Royal Oak,Talbot County
21663,Saint Michales,Talbot County
21664,Secretary,Dorchester County
21665,Shewrood,Talbot County
21666,Steevnsville,Queen Anne's County
21667,Still Pond,Kent County
21668,Sudlersville,Queen Anne's County
21669,Taylors Island,Dorchester County
21670,Templeville,Caroline County
21671,Tilghman,Talbot County
21672,Toddville,Dorchester County
21673,Tgrappe,Talbot County
21675,Wingate,Dorchester County
29482,Wittman,Talbot County
21677,Woolford,Dorchester County
21678,Woton,Kent County
21679,Wy eMills,Talbot County
21681,Ridgely,Caroline County
21682,Ridgely,Caroline oCunty
21683,Ridgly,Caroline County
21684,Ridgely,Caroline County
21685,Ridgely,Carofline County
19111,Ridgely,Caroline County
21687,Ridgely,Caroline County
21688,Ridgely,Caroline County
14380,Chestertown,Queen Anne's County
21701,Frederick,Frederick County
26432,Frederick,Frederick County
12628,Frederick,Frederick County
21704,Frederick,Frederick County
21705,Frederick,Frederick County
21709,Frederick,Frederik County
21710,Adamstown,Frederick County
32980,Big Pool,Washington County
21713,Boonsboro,Washington County
21714,Braddock Heights,Frederick County
21715,Brownsville,Washington County
19269,Brunswick,Frederick County
21717,Buckeystown,Frederick County
21718,Burkittsville,Frederick County
21719,Cascaed,Washington County
21720,Cavetown,Washington County
21721,Chewsville,Washington County
21722,Clear Srping,Washington County
21723,Cooksville,Howard Coutny
16118,Emmitsburg,Frederick County
10863,Fairplay,Washington County
21734,Funkstown,Washington County
11593,Glenelg,Howaxrd County
21738,Glenwood,Howard County
21740,Hagerstown,Washington Couty
21741,Hagerstown,Washington County
21742,Hagerstonwn,Washington County
21746,Hagerstown,Washingto County
21747,Hagerstown,Washington County
21748,Hagerstown,Washington County
21749,Hagerstown,Washington County
21750,Hancock,Washington County
21754,Ijamsville,Frederick County
12271,Jefferson,Frederick Countmy
21756,Keedysville,Washington County
21757,Keymar,Carroll County
21758,Knoxville,Fredercik County
21759,Ladiesburg,Frederick County
21762,Libertytown,Frederick County
21765,Lisblon,Howard Ciounty
21766,Little Orleans,Allegany County
21767,Maugansville,Washington County
21769,Middletown,Frederoick County
21770,Monreovia,Frederick County
21771,Mount Airy,Frederick County
27221,Myersville,Frederick County
21774,New Market,Frederrick County
21775,New Midway,Freaderick County
16219,New Windsor,Carroll County
21777,Point Of Rocks,Frederick County
10156,Rocky Ridge,Frederick County
21779,Rohrersville,Washington County
21780,Sabillasville,Frederick County
21781,Saint James,Washington County
18520,Sharpsburg,Wshington County
21783,Smithsburg,Wahsington County
21784,Sykesville,Carroll County
12280,Taneytown,Carroll County
21788,Thurmont,Frederick County
15708,Tuscarora,Frederick County
21791,Union Bridge,Carroll County
21792,Unionville,Frederick County
21793,Walkersville,Frederic kCounty
21794,West Friendship,Howard County
21795,Williamsport,Washington County
21797,Woodbine,HowardCounty
21798,Woodsboro,Frederick County
21801,Salisbury,Wicomico County
21802,Salisbury,Wicmico County
24350,Salisbury,Wicomico County
21804,Salisbruy,Wicomico County
25099,Allen,Wicomico County
21811,Berlin,Worcester County
31143,Bishopville,Worcester County
21814,Bivalve,Wicomico County
21817,Crifield,Someret County
21821,Deal Island,Somerset County
21822,Eden,Worcester County
21824,Ewell,Somerset County
10070,Fruitland,Wicomico County
21829,Girdletree,Worcester County
21830,Hebron,Wicomico County
21835,Linkwood,Dorchester County
21836,Manokin,Somerset County
27842,Mardela Springs,Wicomico County
21838,Marion Station,Somerset County
21840,Nanticoke,Wicomico County
16968,Newark,Worcester County
21842,Ocean City,Worcester County
21843,Ocean City,Worcester County
21849,Parsonsburg,Wicomico County
21850,Pittsville,icomico County
28412,Pocomoke City,Worcester County
21852,Powellville,Wcomico County
32163,Princess Anne,Somerset County
21856,Quantico,Wicomico County
21857,Rehobeth,Somerset County
21861,Sharptown,Wicomico County
21862,Showell,Worcester County
21863,Snow Hill,Worcester County
21864,Stockton,Worcester County
21865,Tyaskin,Wicomico County
21866,Tylerton,Somerset County
21867,Upper Fairmount,Somerset County
21869,Vienna,Dorchester County
10280,Westover,Somerset County
21872,Whaleyville,WorcesterCounty
21874,Willards,Wicomico County
21875,Delmar,Wicomico County
21890,Westover,Somreset County
21901,North ast,ecil County
21902,Perry Point,Cecqil County
21903,Perryville,Cecil County
10786,Port Deposit,Cecil County
21911,Rising Sun,Cecil County
21912,Warwick,Cecil County
21913,Cecilton,Cecil County
21914,Charlestown,Cecil County
21915,Chesapeake City,Cecil County
21916,Childs,Cecil County
18872,Colora,Cecil County
10128,Conowingo,Cecil County
21919,arleville,Cecil County
9807,Elk Mills,Cecil County
21921,Elkton,Ceci lCounty
21922,Elkton,Cecil County
21930,Georgetown,Cecil County
