obsid,studyid,studyname,studygroup,specid,specname,estid,estname,pubyear,pubtype,table,depvar_desc,depvar_assessed,funcform,logtype,wqintrx,distgradient,distbuf,distbuf_infer,spatial_fe,spatial_lag,spatial_auto,sampsize,sample_firstyr,sample_lastyr,geog,state,sampextent,hometypes,avgprice,avgprice_unit,census_yr,census_geog,census_geog_name,census_fips,census_inc,census_totpop,census_popcol,census_blk,census_hisp,census_tothh,census_totarea,northeast,midwest,south,west,waterbody,wbsize,wbsizeorig,wbsize_units,wbnum,wbtype,wqvar,avgwqvar,wqvar_units,wqvar_infer,avgwqrorig,avgwqrorig_units,wqvar_type,num_wqvars,other_wqvars,avghmin,avgcmax,avgprctchangepop,avgdist,avgdistorig,avgdistunits,avgwfdummy,avgtime,avgclearlow,wqdesc_var1,wqintx_var1,wqcoef_var1,wqcoef_se_var1,wqcoef_t_var1,wqcoef_sl_var1,wqcoef_desc_var1,wqdesc_var2,wqintx_var2,wqcoef_var2,wqcoef_se_var2,wqcoef_t_var2,wqcoef_sl_var2,wqcoef_desc_var2,wqdesc_var3,wqintx_var3,wqcoef_var3,wqcoef_se_var3,wqcoef_t_var3,wqcoef_sl_var3,wqcoef_desc_var3,wqdesc_var4,wqintx_var4,wqcoef_var4,wqcoef_se_var4,wqcoef_t_var4,wqcoef_sl_var4,wqcoef_desc_var4,wqdesc_var5,wqintx_var5,wqcoef_var5,wqcoef_se_var5,wqcoef_t_var5,wqcoef_sl_var5,wqcoef_desc_var5,wqelast,wqpctdp,elast_sim,elast_sim_se,semi_elast_sim,semi_elast_sim_se,wqelast_comments,wqsemi_comments,cov_assum0
11,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,3,Total Price: Semi-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price,0,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0001999999949476,.0000801314017735,-2.49589991569519,.0500000007450581,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0215319991111755,-.0001999999949476,-.0215267259627581,.0086510805413127,-.000199950998649,.0000803556031315,,,
12,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,4,Total Price: Inverse-semi-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price,0,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0803000032901764,.0377615801990032,-2.126499891281128,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0000228379994951,-2.12130998989e-07,-.000022846599677,.0000107474998003,-2.12211006101e-07,9.98283979925e-08,,,
13,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,5,Land Price: Linear,1,Fecal Coliform,2000,Journal,Table 2,Property sale price minus assessed value of structure,2,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0656000003218651,.0314733944833279,-2.08430004119873,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0000186571996892,-1.73296996309e-07,-.0000185928001883,8.93827018444e-06,-1.72699003542e-07,8.30231030591e-08,,,
14,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,6,Land Price: Double-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price minus assessed value of structure,2,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0005000000237487,.0001446420064894,-3.456799983978271,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0538300015032291,-.0005000000237487,-.0538235604763031,.0156384687870741,-.0004999400116503,.000145258003613,,,
15,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,7,Land Price: Semi-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price minus assessed value of structure,2,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0003999999898952,.0001269600033993,-3.150599956512451,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0430639982223511,-.0003999999898952,-.0430778302252293,.0136348297819495,-.0004001279885415,.0001266470062546,,,
16,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,8,Land Price: Inverse-semi-log,1,Fecal Coliform,2000,Journal,Table 2,Property sale price minus assessed value of structure,2,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0841000005602837,.034124568104744,-2.464499950408936,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0000239187993429,-2.22169006747e-07,-.0000239363998844,9.69860957412e-06,-2.22333000011e-07,9.00855994246e-08,,,
17,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,9,Total Price: Linear without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price,0,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0584000013768673,.0271754302084446,-2.148999929428101,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.000016609499653,-1.54277003617e-07,-.0000166406007338,7.71546001488e-06,-1.54567004529e-07,7.16650987442e-08,,,
18,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,10,Total Price: Double-log without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price,0,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0003000000142492,.000066711101681,-4.497000217437744,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0322979986667633,-.0003000000142492,-.0323245003819466,.0071836728602648,-.0003002459998243,.0000667256026645,,,
19,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,11,Total Price: Semi-log without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price,0,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0001999999949476,.0000591891002841,-3.378999948501587,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0215319991111755,-.0001999999949476,-.0215200819075108,.0063791889697313,-.0001998889929382,.0000592530996073,,,
20,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,12,Total Price: Inverse semi-log without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price,0,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0839999988675117,.0351906158030033,-2.38700008392334,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.000023890299417,-2.21904997488e-07,-.0000238786997215,9.99348958430e-06,-2.21796994992e-07,9.28245000864e-08,,,
21,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,13,Land Price: Linear without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price minus assessed value of structure,0,linear,NA,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0776000022888184,.0303718205541372,-2.555000066757202,.0500000007450581,"implicit price of additional fecal coliform count per 100 mL (measured in $1,000s)",NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0000220701003855,-2.04998002573e-07,-.0000220787005674,8.65566016728e-06,-2.05077995474e-07,8.03981023978e-08,,,
22,3,Leggett & Bockstael 2000,Leggett & Bockstael 2000,14,Land Price: Double-log without Emitter Controls,1,Fecal Coliform,2000,Journal,Table 3,Property sale price minus assessed value of structure,2,log-lin,e,NA,"None, only waterfront homes",1,0,None,0,0,1183,1993,1997,"Anne Arundel County, MD",MD,just waterfront homes on navigable sections of tributaries of the main stem of the Chesapeake Bay,"Private, arms-length transactions of waterfront homes ",378540,1997,2000,county,"Anne Arundel County, MD",24003,61768,489656,100078,66428,12902,178670,1077.274169921875,0,0,1,0,Navigable sections of tributaries of the main stem of the Chesapeake Bay,,,NR,Multiple,Estuary,Fecal coliform,107.6600036621094,counts per 100mL,0,107.6600036621094,counts per 100mL,Quantitative,1,0,,,,,,NA,,,,Median fecal coliform concentration in year of sale (counts/100mL),NA,-.0006999999750406,.0001275510003325,-5.48799991607666,.0099999997764826,semi-elasticity of additional fecal coliform count per 100 mL,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,NA,NA,,,,,NA,-.0753619968891144,-.0006999999750406,-.0753344371914864,.0137125859037042,-.0006997439777479,.0001273689995287,,,
