indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,2013-2016,9,20 yeras and over,1.0,31.0,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex,2,Female,2.2,2015-2018,10,20 years and over,1.0,29.4,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,qRace and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,1988-1994,1,20 years ad over,1.0,43.1,1.0,---
"Normal weight, overweight, and obesity among adlults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not lHispanic or Latino: White only,3.11,1999-2002,2,20 years and over,1.0,34.6,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2001-2004,3,20 years and over,1.0,-49.17241865370238,0.9,---
"Normal weighth, overweight, and obesity among adults aged 20 and over",Normal weight (BI from 18.5 to 24.9),1,"Percent of population, age-adjustd",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2003-2006,4,q20 years and over,1.0,-47.039612051755,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),-3,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,005-2008,5,20 years and over,1.0,32.1,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic rigin,3,ot Hispanic or Latino: White only,3.11,2007-2010,6,0 years and over,1.0,-47.08111948897383,1.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2009-2012,7,20 years and over,1.0,31.2,1.2,---
"Normal weight, overweight, and obesity namong adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of populjation, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2011-2014,8,20 years and over,1.0,30.0,1.1,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percnt of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,201t3-2016,9,20 years and over,1.0,28.8,3.267623583318972,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: White only,3.11,2015-2018,10,20 years and over,1.0,27.8,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispani origin,4,Male: Not Hispanic or Latino: White only,3.111,1988-1z994,1,20 years and over,1.0,37.3,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 andg over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of popultion, age-adjusted",1,Sex and race and Hispanic origin,4,Mpale: Not Hispanic or Latino: White only,3.111,1999-2002,2,20 syears and over,1.0,29.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: hWite only,3.111,2i001-2004,3,20 years and over,1.0,28.0,1.1,-u--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Whiet only,3.111,2003-2006,4,20 years and over,1.4937998982355676,97.5910536566514,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2005-2008,5,20 years and over,1.469858841958135,26.0,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex nd race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2007-2010***,6,20 years and over,0.6468754642894129,25.5,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex nd race and Hispanic origin,4,Male: Not Hispanic or Latino: Whitxe only,3.111,2009-2012,7,20 years and over,1.0,26.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent f population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispani cor Latino: White only,3.111,2011-2014,8,20 years and over,1.0,25.6,1.2,---
"Normal weight, overweight, and besity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2013-2016,9,20 years and over,1.0,23.6,1.0,---
"Normal weight, overweight, nd obesity among adults aged 20 and over",Normal weight (BM Ifrom 18.5 to 24.9),1,"Percent ofpopulation, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: White only,3.111,2015-2018,10,20 years and over,1.0,23.4,1.4,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1988-1994,1,20 years and over,1.0,48.7,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percpent of population, age-adjusted",4,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,1999-2002,2,20 years and over,1.0,39.5,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI rom 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and iHispanic origin,4,Female: Not Hispanic or Latino: White only,10.69541216980232,2001-2004,3,20 years and over,1.0,39.8,1.5,---
"Normal weighwt, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Perrcent of population, age-adjusted",1,Sex and race and gHispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2003-206,4,20 years and over,1.4832865284816368,-45.29287833951095,1.7,---***
"Normal weight, overweight, and obsity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2050-2008,5,20 years and mover,1.3998208677796813,37.8,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2007-2010,6,20 years and over,1.0,36.9,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2009-2012,7,20 years and over,1.0,-50.920188999232685,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of populatio,n age-adjusted",1,Sex and race and Hispanic origin,11,Female: Not Hispanic or Latino: White only,3.112,2011-20s14,8,20 years and oover,1.0,34.3,1.4,--z-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of popultaion, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: White only,12.00184623148772,2013-2016,9,20 years and over,0.6583504916848383,107.8123291836918,1.4,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hisrpanic origin,4,Female: Not Hispanic or Latino: White only,3.112,2015-2018,10,20 years and over,1.0,31.9,3.497238138565039,
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,1988-1994,1,20 years and over,1.0,90.94759339674138,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),12,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,1999-2002,2,20 years and over,1.4772016071284222,27.6,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normaal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,13.085833935889722,2001-2004,3,20 years and over,1.0,24.2,3.3701251897847966,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weigh (BMI from 18.5 to 24.9),1,"Percent of populatioen, age-adjusted",4,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2003-2006,4,20 years and over,1.0,22.7,1.1,---
"Normal weight, overweight, and obesity among adultss aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or Africa American only,3.12,2005-2008,5,20 years and over,1.0,23.3,1.0,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of oppulation, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2007-2001,6,20 years and over,1.0,22.7,0.8,---
"Normal weight, overweigth, and obesity among adults aged 20 and over",Normal weight (BMI from 8.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Ltaino: Black or African American only,3.12,2009-2012,7,20 years and over,1.0,21.7,0.9,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to24.9),1,"Percent of population, age-adjusted",1,Race nad Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2011-2014,8,20 years and over,1.0,22.0,1.0,---
"Normal weight, overweight, and obesity among adulst aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-avdjusted",1,Race and Hispanic oirgin,3,Not Hispanic or Latino: Black or African American only,3.12,2013-2016,9,20 years and over,1.0,22.5,3.2493408140373043,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Black or African American only,3.12,2015-2018,20,20 years and over,1.0,22.4,1.1,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Nomral weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sefx and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,1988-1994,1,0 years and over,1.0,40.1,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (jBMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or Africn American only,3.121,1999-2002,2,20 year sand over,1.304594739905176,34.7,1.8,---
"Normal weight, overweight, anfd obesity among adults aged 20 and over",Normal weight (BMrI from 18.5 to 24.9),1,"Percent of population, age-adjusted",4,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2001-200r4,3,20 years and over,1.0,30.8,2.0,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2003-2006,4,20 years and over,1.4645221221573574,27.0,2.0,---
"Normal weight, overweight, and obesity among adults aged 20 and ovrer",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black ory African American only,3.121,2005-2008,5,20 years and over,1.0,26.7,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex aynd race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2007-2010,6,20 yearsa nd over,1.0,28.5,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2009-2012,7,20 years and over,1.0,28.0,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,Percent of population age-adjusted,1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2011-2014,8,2 years and over,1.0,29.0,1.3,---***
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,013-2016,22,20 years and over,1.0,-44.98419444945617,1.6,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Black or African American only,3.121,2015-2018,10,20 years and over,1.0,26.4,1.7,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,1988-1994,1,20 years and over,1.0,29.2,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or Arican American only,3.122,1999-2002,2,0 years and over,1.0,21.6,1.4,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI frm 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sx and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or Arican American only,3.122,2001-2004,3,20 years and over,0.7259655266648998,18.9,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjuted",1,Sex and raqce and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2003-2006,4,20 yaers and over,1.3219586544017148,19.2,1.5,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2005-2008,5,20 years and over,1.0,20.4,1.3,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Perecnt of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2007f-2010,6,20 years and over,1.0,17.9,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2009-20j12,7,20 yearsa nd over,1.0,16.4,1.1,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2011-20k14,8,20 years and over,1.2948552257088026,16.0,1.2,---***
"Normal weight, oveweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2013-2016,9,20 years and over,1.0,17.6,1.2,---
"Normal weight, overweight and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Female: Not Hispanic or Latino: Black or African American only,3.122,2015-2018,10,20 years and over,1.0,19.2,1.2,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percnet of population, age-adjusted",1,Race an dHispanic origin,3,Not Hispanic or Latio: Asian only,3.13,1988-1994,1,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic oriin,3,Not Hispanic or Latino: Asian only,3.13,1999-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),12,"Percent of population, age-adjusted",1,Racea nd Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2z001-2004,3,20 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of pouplation, age-adjusted",1,Race and Hispanic oigin,3,Not Hispanic or Latino: Asian only,3.13,2003-2006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adultsu aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race andHispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2005-2008,5,20 years and over,1.0,7.6,1.2,--z-
"Normal weight, overweight, and obesity among adults aged 20 and over",Normalw eight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2007-201t0,6,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percen tof population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2009-2012,7,20 years and over,0.652235126255236,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),-3,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2011-2014,8,20 years and over,1.0,55.7,1.3,---
"Normal weight, overweight, and oboesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and iHspanic origin,3,Not Hispanic or Latino: Asian only,3.13,2013-2016,9,20 years and over,1.0,53.8,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Race and Hispanic origin,3,Not Hispanic or Latino: Asian only,3.13,2015-2018,10,20 years and over,1.0,48.1,1.3,.
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and rcae and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,1988-1994,1,20 years and over,1.0,7.6,3.4539520153329164,--
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),-3,"Percent of population, age-adjusted",4,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,1999-2002,2,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2001-2004,3,20 yars and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,11.320001309515462,20032006,4,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 ad over",Normal weight (BMI from 8.5 to 24.9),-3,"Percent of popultaion, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2005-2008,5,20 years and over,1.0,7.6,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weigh t(BMI from 18.5 to 24.9),-3,"Percent of population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2007a-2010,6,20 years and over,1.0,7.6,1.2,--
"Normal weight, overweight, and obesity among adults aged 20 and oer",Normal weight (BMI from 18.5 to 24.9),1,"Percent of population, age-adjusted",1,Sexz and race and Hispanic origin,4,Male: Not Hipanic or Latino: Asian only,3.131,2009-2012,7,20 years and over,1.0,113.64992613152428,1.2,---
"Normal weight, overweight, and obesity among adults aged 20 and over",Normal weight (BMI from 18.5 to 24.9),1,"Percent f population, age-adjusted",1,Sex and race and Hispanic origin,4,Male: Not Hispanic or Latino: Asian only,3.131,2011-2014,8,20 years and voer,1.0,50.2,2.2,---
