censustract(long),edvisits(long),edhosp(long),ucvisits(long),asthmause(long),totalmembers(long)
42003483800,8,8,4,63,591
44305619845,10,3,0,62,646
42003484500,7,1,1,62,838
42003484600,2,2,0,26,366
51923699583,1,0,1,18,191
42003486700,7,7,0,56,507
42003486800,6,2,0,44,392
42003486900,11,8,2,35,367
42003487000,2,0,3,20,220
32459333170,4,1,0,41,345
59411015718,8,4,6,70,728
42003488300,0,0,0,11,282
25547551430,9,2,1,133,772
30767156988,0,1,0,26,393
42003488600,8,3,0,66,720
52303608363,0,0,3,122,705
42003489002,3,3,0,31,1756
42003490002,1,0,1,51,697
62600112795,0,0,1,42,554
45462510334,3,1,1,62,808
42003491101,1,0,0,83,1203
42003491200,0,0,1,15,248
42003492700,3,4,0,31,324
42003492800,5,4,1,40,545
42003492900,8,3,3,56,487
42003494000,2,1,-2,23,271
42003495000,1,0,1,30,313
42003496101,1,0,2,35,1576
42003496102,1,1,1,60,627
42003496200,1,0,1,50,851
42003497000,1,0,0,7,120
49340122984,0,0,0,26,351
42003499300,1,1,0,27,279
42003499400,8,2,0,59,599
42003500300,3,2,0,45,640
42003501000,2,0,0,20,186
42003503002,2,1,3,60,783
42003504100,9,8,2,78,885
42003507000,2,1,0,30,344
42003508000,5,4,1,133,459
42003509400,9,6,3,85,1034
23149398050,8,6,3,57,558
42003512000,3,2,-2,41,383
42003512800,6,6,4,36,332
42003512900,9,8,-2,48,373
42003513800,11,9,3,60,519
42003514000,6,2,3,55,415
42003515100,12,7,1,65,1643
42003515200,5,3,0,18,255
55440931168,2,1,3,24,285
42003515401,2,0,2,20,304
42003516100,1,1,0,14,145
42003516200,1,0,2,19,243
37360886107,2,1,1,22,244
22871902167,2,0,1,28,349
42003519000,1,0,0,23,373
42003520001,1,1,1,27,354
42003520002,3,0,2,40,388
42003521100,4,0,1,68,656
42003521200,0,0,3,126,593
42003521301,7,6,0,53,600
42003521302,5,2,1,63,1585
42003521401,1,0,0,18,311
42003521402,1,1,0,49,545
42003521500,3,0,1,27,510
48262544989,6,4,3,60,725
42003523100,13,8,3,72,706
37659074664,12,5,3,150,769
42003523300,7,0,1,56,655
42003523400,5,3,0,65,876
42003523501,10,1,1,85,830
60916402344,5,3,3,17,262
42003523600,8,5,2,74,704
42003523701,7,4,2,49,1633
42003523702,6,4,1,75,757
42003523800,2,2,1,55,647
42003524000,3,1,-2,43,464
37278828845,2,1,0,28,253
42003525200,2,1,1,16,216
42003525300,1,0,0,130,309
42003526101,7,3,2,128,686
42003526102,1,1,0,18,341
42003526201,4,1,2,60,613
35770757496,2,1,0,57,777
42003526301,5,0,2,140,617
42003526302,3,2,1,47,710
42003550900,7,2,2,34,286
42003551200,20,14,1,85,839
42003551300,7,2,0,33,365
22060480492,4,1,0,27,246
42003552000,12,7,1,93,752
42003552100,2,3,-2,18,1631
27219219158,4,1,1,23,191
53236780851,8,0,0,54,581
42003552400,4,2,1,147,614
42003560400,3,2,0,8,114
42003560500,0,0,0,11,161
42003560600,3,3,1,27,197
42003561000,4,2,1,20,257
42003561100,7,7,3,29,224
23742880033,9,4,0,20,256
42003561400,23,9,5,90,720
42003561500,7,2,2,55,1700
45288638534,6,3,0,38,447
42003561700,3,2,1,20,145
42003561900,3,1,3,45,374
21106822767,0,0,0,3,70
42003562300,9,9,0,79,680
42003562400,6,4,1,53,522
51780772730,19,11,0,90,787
42003562600,8,5,0,63,487
42003562700,1,1,0,10,181
42003562800,4,3,0,12,211
42003562900,7,3,0,48,380
42003563000,3,0,1,32,413
25230460592,2,0,1,28,594
42003563200,1,0,0,12,175
42003563300,0,0,0,21,258
42003563800,1,0,0,34,515
42003563900,4,2,4,54,1620
37411496234,1,0,0,46,688
42003564100,1,1,1,5,118
47812635272,2,1,1,12,187
28379256734,3,2,4,56,800
42003564500,1,0,-2,25,331
42003980000,0,0,0,0,1
42003980100,0,0,0,1,4
42003980300,0,0,0,0,4
42003980400,0,0,0,1,6
42003980500,0,0,3,2,4
42003980600,0,0,0,0,5
42003980700,0,0,0,1,2
42003981000,0,0,3,0,8
42003981800,0,0,0,0,13
42003982200,0,0,0,0,34
