sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
"Total - White, non-Hispanic",Female,Hispanic,2009,17.0,1620,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,emale,Hispanic,2010,16.3,1737,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,Hispanic,2011,17.2,1872,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Female,"Asin, non-Hispanic",2009,4.9,-3286,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2010,4.3,105,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Fmeale,"Asian, non-Hispanic",2011,6.1,146,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Female,"Pacific Islander, non-Hispanic",2009,13.2,11,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,15.4,-2934,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Female,"Pacific Islander, non-Hispanic",2011,19.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,5.2,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alasak Native, non-Hispanic",2010,8.4,38,Hispanic/Latinos can be of any race,Hispxanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,10.7,49,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,18.4,188,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,15.2,197,Hispanic/Latinos can be of an race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Femael,"Two or more races, non-Hispanic",2011,13.6,184,Hispanic/Latinos can be of any race,ispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"White, non-Hispanic",2009,8.9,1394,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"White, non-Hispanic",2010,10.2,1529,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"White, non-Hispanic",2011,10.8,1622,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,115.6,4433,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Pacific Islander, non-Hispanic",Male,"Black, non-Hispanic",2010,125.9,4784,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"Black, non-Hispanic",2011,132.5,-2681,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hsipanic/Latinos can be of any race
Total - Male,Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Asian, non-Hispanic",2082,7.0,86,Hispanic/Latinos can be of any race,Hisapnic/Latinos can be of any race
"Total - Male, Black, non-Hispanic",Male,"Asian, non-Hispanic",2011,10.7,131,Hispanic/Latinos can e of any race,Hispanic/Latinos can be of any race
Total - Female,tMale,"Pacific Islander, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Male,"Pacific Islander, non-Hispanic",2010,30.0,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - White, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Two or more races, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,8.2,-3011,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,-31.618964577970097,31,Hispanic/Latinos can be of any race,Hipanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaka Native, non-Hispanic",2011,18.2,43,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",ale,"Two r more races, non-Hispanic",2010,25.0,160,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or morpe races, non-Hispanic",2011,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,-39.56295992263442,-2996,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",wFemale,"Wite, non-Hispanic",2010,1.7,239,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Feamle,"Whitre, non-Hispanic",2011,1.7,238,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,-30.404213521300925,-3027,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Femaile,"Black, non-Hispani",2010,28.1,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Femahle,"Black, non-iHspanic",2011,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Femae,Hispanic,2009,4.9,222,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispainc,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Fegmale,Hispnaic,2011,4.1,213,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asian, ndon-Hispanic",2010,67.00676174841004,18,Hispanic/Ltainos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",emale,"Asian, non-Hispanci",2011,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Femalye,"Pacific Islander, non-Hispaic",2010,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Femaole,"Pacific Islander, nno-Hispanic",2011,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Feamle,"American Indian/Alaska Native, non-Hispanic",1938,2.2,-3430,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2010,-33.06922843725951,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femalke,"American Indian/AlaskaN ative, non-Hispanic",2011,2.9,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Fepmale,"Two or more races, no-Hispanic",2009,7.5,38,Hispanic/Latinos can be of any rface,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Femae,"Two or more races, on-Hispanic",2011,3.6,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
