OBJECTID,ID305B,CYCLE,NAME,LOCATION,MILES,NHD_BASIN,AQUATIC_LIFE,RECREATION,FISH_CONSUMPTION,DRINKING_WATER_SUPPLY,SHAPE_Length
11,CT3500-00_03,2010,Moosup River-03,"From Brunswick Mill Dam #1 (first impoundment in Almyville, parallel to Route 14), Plainfield, US to Rhode Island border.",7.36,01100001,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,38843.8145446406
12,CT3501-00_01,2010,Quanduck Brook-01,"From mouth at confluence with Moosup River, US to Rhode Island border (parallel with Snake Meadow Hill Road).",4.05,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,21377.4336600635
13,CT3503-00_01,2010,Ekonk Brook-01,"From mouth at confluence with Moosup River (DS of River Street crossing), US to headwaters at Lockes Meadow Pond outlet dam, Plainfield.",4.5,01100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23741.2492636804
14,CT3600-00_01,2010,Pachaug River-01,"From mouth at confluence with Quinebaug River, Griswold,  US to Ashland Pond outlet (just US of Ashland Street crossing).",0.77,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4078.16914329621
15,CT3600-00_02,2010,Pachaug River-02,"From Ashland Pond inlet (southeast portion, US of Norman Road crossing), US to Hopeville Pond outlet dam (DS of Edmund Road crossing), Griswold.",0.85,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,4483.50768885834
16,CT3600-00_03,2010,Pachaug River-03,"From inlet of Hopeville Pond at Bitgood Road crossing, US to Patchaug Pond outlet dam (US of Voluntown Road (Route83) crossing, Griswold.",1.99,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10520.0567167937
17,CT3600-00_04,2010,Pachaug River-04,"From Doanville Pond inlet (just DS of Lillibridge Avenue crossing), Griswold, US to Beachdale Pond outlet dam, Voluntown.",1.1,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5822.37677333154
18,CT3600-00_05,2010,Pachaug River-05,"From inlet to Beachdale Pond (just DS from Ekonk Hill Road (Route 49) crossing), US to Beach Pond outlet dam (parallel to North Shore Road), Voluntown.",2.66,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14033.1989992662
19,CT3600-05_01,2010,Crooked Brook (Griswold)-01,"From mouth at confluence with Patchaug River (just DS of Campbell Road crossing), US to Crooked Brook Pond dam at outlet of Welsh Pond, Griswold.",1.91,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10082.9054913131
20,CT3601-00_01,2010,Great Meadow Brook-01,"From mouth at confluence with Patchaug River, US to Mason-Gray Pond outlet dam (just US of Campbell Mill Road crossing), Voluntown.",1.12,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5900.5478393281
21,CT3604-00_01,2010,Myron Kinney Brook-01,"From mouth at Glasgo Pond inlet (southeast side) near Voluntown/Griswold border, US to headwaters, parallel to Pandleeton Hill Road (Route 49), North Stonington.",4.33,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,22848.3738135097
22,CT3700-00_01,2010,Quinebaug River-01,"From mouth at confluence with Shetucket River, at Lisbon/Norwich border, US to Aspinook Pond outlet dam (US of River Road (Route 12) crossing), Lisbon/Griswold border.",7.46,01100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,39405.3170208283
23,CT3700-00_02,2010,Quinebaug River-02,"From Aspinook Pond inlet (at Butts Bridge Road crossing), US to confuence with Mill Brook, Canterbury.",2.98,01100001,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,15747.6495735035
24,CT3700-00_03,2010,Quinebaug River-03,"From confluence with Mill Brook, near Yawarsky Landfill, US to confluence with Moosup River (river forms town boundary for Canterbury and Plainfield).",6.3,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,33258.704960061
25,CT3700-00_04,2010,Quinebaug River-04,"From confluence with Moosup River (river forms town boundary for Canterbury and Plainfield), US to Putnum POTW (parallel to Kennedy Drive near I-395), Putnam.",17.61,01100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,93004.1998788916
26,CT3700-00_05,2010,Quinebaug River-05,"From just US of Putnum POTW (just DS of Railroad crossing), US to confluence with French River, Thompson.",3.32,01100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,17506.639749261
27,CT3700-00_06,2010,Quinebaug River-06,"From confluence with French River, US to West Thompson Flood Control Dam outlet (Thompson Reservoir.",0.22,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1141.77694998557
28,CT3700-00_07,2010,Quinebaug River-07,"From inlet to West Thompson Lake (Reservoir) just DS of  Blain Road crossing, US to Massachusetts border (US of Route 197 crossing), Thompson.",6.4,01100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,33778.6222701043
29,CT3708-00_01,2010,Little River (Putnam)-01,"From mouth at confluence with Quinebaug River (just DS of Route 44 crossing), Putnum, US to drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner).",2.64,01100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,13938.2937329753
30,CT3708-00_02,2010,Little River (Putnam)-02,"From drinking water watershed boundary (outlet of marsh, parallel to Peake Brook Road, DS of Shepherds Pond), Woodstock (southeast corner), US to Roseland Lake outlet dam (includes confluence with Peake Brook and Shepherds Pond).",1.79,01100001,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,9470.65731967616
31,CT3708-01_01,2010,Muddy Brook (Woodstock)-01,"From mouth at inlet to Roseland Lake, US to Route 197 crossing, Woodstock.",5.44,01100001,Not Assessed,Not Supporting,Fully Supporting,Not Assessed,28718.2142257607
32,CT3708-01_02,2010,Muddy Brook (Woodstock)-02,"From Route 197 crossing, US to confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), Woodstock.",1.98,01100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,10464.8008916443
33,CT3708-01_03,2010,Muddy Brook (Woodstock)-03,"From confluence with Moss Brook (just DS of Route 169 crossing, Sherman corner area), US to Muddy Pond outlet, Woodstock.",1.79,01100001,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,9462.26045149176
34,CT3708-10_01,2010,North Running Brook-01,"From mouth at confluence with Muddy Brook, US to runoff ditch from farm field (300Ft US of farm road crossing) (farm road crossing is 900Ft US of Muddy Brook confluence, farm road is off of Child Hill Road), Woodstock.",0.19,01100001,Not Supporting,Not Assessed,Fully Supporting,Not Assessed,1027.41667668262
35,CT3708-10_02,2010,North Running Brook-02,"From runoff ditch from farm field (300Ft US of farm road crossing) (farm road crossing is 900Ft US of Muddy Brook confluence, farm road is off of Child Hill Road), US to headwaters (parallel to Route 169, US of Joy Road crossing), Woodstock.",2.8,01100001,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,14803.1706339145
36,CT3709-00_01,2010,Wappaquoia Brook-01,"From mouth at confluence with Mashamoquet Brook (east of Route 169), US to Hollow Pond outlet dam (just US of Brayman Hollow Road (Route 244) crossing), Pomfret.",3.23,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,17029.394524074
37,CT3710-00_01,2010,Mashamoquet Brook-01,"From mouth at confluence with Quinebaug River (parallel to Route 101 on north side), US to confluence with Wolf Den Brook (US of Route 101 crossing), Pomfret.",3.06,01100001,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,16157.2321595036
38,CT3710-00_02,2010,Mashamoquet Brook-02,"From confluence with Wolf Den Brook (just US of Route 101 crossing), US to Taft Pond outlet dam (US of Taft Pond Road crossing), Pomfret.  Includes diversion to swimming pond in Mashamoquet State Park.",4.36,01100001,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,23035.101242336
39,CT3711-00_01,2010,Blackwell Brook-01,"From mouth at confluence with Quinebaug River in northeast corner of Canterbury, US to headwaters at small pond just US of Fay Road crossing, Pomfret.",13.82,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,72974.933612852
40,CT3712-02_01,2010,Horse Brook-01,"From mouth at confluence with Fry Brook (parallel to Community Avenue), US to headwaters (just US of Route 12 crossing), Plainfield.",3.24,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,17093.0613503888
41,CT3713-00_01,2010,Mill Brook (Plainfield)-01,"From mouth at confluence with Quinebaug River (DS of Weston Road crossing), Canterbury, US to RailRoad crossing, Plainfield.",1.99,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10530.7060498899
42,CT3713-00_02,2010,Mill Brook (Plainfield)-02,"From RailRoad crossing (DS of Route 12 crossing), Plainfield, US to headwaters in large wetland area, north of Rhode Road (east of I395), Griswold.",3.1,01100001,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,16381.9641351069
43,CT3716-00_01,2010,Broad Brook (Preston)-01,"From mouth at confluence with Quinnebaug River (DS of Old Jewett City Road crossing), at the Preston/Lisbon/Griswold borders, US to Lewis Pond outlet dam (north side of Route 165, near intersection with Lewis Road), Preston.",4.73,01100001,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24990.8920994889
44,CT3100-00_01,2010,Willimantic River-01,"From mouth at concluence with Shetucket River, Windham, US to confuence with the Tenmile River (at Columbia/Lebanon/Windham borders, just DS of Route 66 crossing).  Entire segment parallels Route 66.",2.69,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14217.0375149929
45,CT3100-00_02,2010,Willimantic River-02,"From confluence with Tenmile River (at Columbia/Lebanon/Windham borders, just DS of Route 66 crossing), US to Eagleville Pond dam outlet (just US of Stonehouse Road crossing).",6.59,01100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,34777.1373580377
46,CT3100-00_03,2010,Willimantic River-03,"Inlet to Eagleville Pond (west of Route 32 and RailRoad tracks near Ravine Road intersection), Mansfield, US to I84 crossing (includes under highway crossing area), Willington/Tolland.",9.59,01100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50614.0924085444
47,CT3100-00_04,2010,Willimantic River-04,"From I84 crossing (includes under highway crossing area), Willington/Tolland, US to confluence with Bonemill Brook, Tolland.",3.11,01100002,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,16415.2875564823
48,CT3100-00_05,2010,Willimantic River-05,"From confluence with Bonemill Brook (just DS of Route 32 crossing), Willington/Tolland, US to Stafford POTW (east of Route 32 (River Road)), Stafford.",1.65,01100002,Insufficient Information,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8719.42834811604
49,CT3100-00_06,2010,Willimantic River-06,"From Stafford POTW (east of Route 32 (River Road)), US to headwaters at confluence of Middle River and Furnace Brook.",0.4,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,2107.30776323511
50,CT3100-03_01,2010,Bonemill Brook-01,"From mouth at confluence with Willimantic River, US to Sweetheart Lake outlet dam, Tolland.",0.19,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,990.642214226903
51,CT3100-03_02,2010,Bonemill Brook-02,"From inlet to Sweatheart Lake, Tolland, US to headwaters (US of Tolland Turnpike crossing), Ellington.",1.93,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,10192.1813784941
52,CT3100-19_01,2010,Eagleville Brook-01,"From mouth at entrance to Eagleville Pond (lower eastern corner), US to confluence with Kings (Roberts) Brook (east side of North Eagleville Road), Mansfield.",0.68,01100002,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,3602.97078644752
53,CT3100-19_02,2010,Eagleville Brook-02,"From confluence with Kings (Roberts) Brook (east side of North Eagleville Road), US to headwaters near UConn campus (just crossing Stadium Road), Mansfield.",1.67,01100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8823.81202157435
54,CT3102-00_01,2010,Middle River (Stafford)-01,"From mouth at confluence with Furnace Brook (above Willimantic River), US to 800Ft US of Route 32 crossing, Stafford Springs center.",0.23,01100002,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1190.97455942877
55,CT3102-00_02,2010,Middle River (Stafford)-02,"From 800Ft US of Route 32 crossing, Stafford Springs center, US to Orcutts Pond dam outlet (just US of Orcutville Road (Route319) crossing), Stafford.",3.92,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,20687.9515242552
56,CT5106-00_01,2010,Hammonasset River-01,"From saltwater limit at DS most portion of I95 crossing, Madison/Clinton town border, US to Hammonassett Reservoir outlet dam (just US of Route 80 crossing), Killingworth/Madison town border.",8.07,01100004,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,42608.9547582679
57,CT5106-00_02,2010,Hammonasset River-02,"From Hammonassett Reservoir inlet (at northeastern most corner, just DS of Bunnell Bridge Road crossing), US to County Road crossing (just US of confluence with Bunker Hill Brook), Killingworth/Madison town border.",2.62,01100004,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,13852.0198204194
58,CT5106-00_03,2010,Hammonasset River-03,"From County Road crossing (just US of confluence with Bunker Hill Brook), Killingworth/Madison town border, US to Madison Road (Route 79) crossing at Madison/Durham border.",3.43,01100004,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,18092.8661218694
59,CT5107-00_01,2010,Neck River-01,"From head of tide (marsh exit, parallel to Neck Road, DS of Route 1 crossing), US to headwaters (just northeast of Roure 80 and Route 79 rotary intersection, and south of aqueduct), Madison.",9.49,01100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,50109.1993191297
60,CT5110-00_01,2010,West River (Guilford)-01,"From Route 1 crossing (just DS of confluence with Spinning Mill Brook),  US to confluence with unnamed tributary from Thirsty Lake outlet (just DS of Flat Meadow Road crossing), Guilford.",2.22,01100004,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11732.0753297123
61,CT4303-00_04,2010,Still River (Winsted/Torrington)-04,"From confuence with Mad River (just US of Route 44/183 crossing), US to headwaters (on west side of Route 8, paralell with Exit 45 offramp), Torrington.",7.56,01080207,Not Assessed,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,39898.1498956032
62,CT4304-00_01,2010,Sandy Brook (Colebrook)-01,"From mouth at confluence with Still River (just DS of Old Forge Road crossing), Colebrook (Southeast), US to Massachusetts border, Norfolk (Northeast corner).",8.63,01080207,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,45558.4497698902
63,CT4304-08_01,2010,Center Brook-01,"From mouth at Sandy Brook, US to Route 183 (Colebrook Rd) crossing, Colebrook.",1.28,01080207,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,6770.89105258716
64,CT4305-00_01,2010,Morgan Brook-01,"From mouth at West Branch Farmington River, US to confluence with tributary 4305-04 (first confluence) on east side of Route 44, Barkhamsted.",0.69,01080207,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3626.11252566691
65,CT4310-00_01,2010,Nepaug River-01,"From mouth at confluence with Farmington River (southwest of Route 202 crossing), US to Nepaug Reservoir outlet dam.",0.9,01080207,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4736.91855734047
66,CT4310-00_02,2010,Nepaug River-02,"From inlet to Nepaug Reservoir (far wetern portion), US to headwaters (just above confluence with Cedar Swamp Brook, parallel with Niles Road), New Hartford.",7.73,01080207,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,40809.5437185481
67,CT4320-19_01,2010,Mountain Brook (Suffield)-01,"From mouth at confluence with Hungary Brook (just US of RailRoad crossing on Hungary Brook), US to confluence with unnamed tributary just US of Copper Hill Road crossing,  Suffield.",1.37,01080207,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,7210.23054453784
68,CT5105-00_01,2010,Chatfield Hollw Brook (Killingworth)-01,"From mouth at confluence with Hammonasset River (DS of River Road crossing), US to Deer Lake outlet Dam, Killingworth.",1.03,01100004,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5441.50546591482
69,CT5108-00_01,2010,East River (Guilford)-01,"From Platner Dam (just US of Foot Bridge Road crossing, head of tide), US to 2nd unnamed tributary (below lakes), Guilford.",0.67,01100004,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,3562.10049028786
70,CT6302-00_01,2010,Mill Brook (Sharon)-01,"From CT/NY border (US side of South Amenia Union Road crossing), US to confluence with Beebee Brook (just DS of Woods 1 road crossing), Sharon.",2.53,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,13349.3685133343
71,CT6302-00_02,2010,Mill Brook (Sharon)-02,"From confluence with Beebee Brook (just DS of Woods 1 road crossing), US to Hatch Pond outlet dam (just US of Mitchelltown Road crossing and confluence with Bog Meadow Brook), Sharon.",1.66,01100005,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,8780.97854913318
72,CT3102-00_03,2010,Middle River (Stafford)-03,"From Orcutts Pond inlet, US to State Line Pond outlet (on southern end, just US of Route 32 crossing), Stafford. ",2.78,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,14693.257353497
73,CT3102-03_01,2010,Still Brook (Stafford)-01,"from mouth at State Line Pond (lower east side, just DS of Whispering Pines Road crossing), US to first confluence with unnamed tributary (3102-04), Stafford.",0.3,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,1559.95472084449
74,CT3103-00_01,2010,Furnace Brook (Stafford)-01,"From mouth at confluence with Middle River, US through concrete channel, stopping at US end of conrete channel (passes under RailRoad tracks and Route 14), Stafford.",0.18,01100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,934.601168859916
75,CT3103-00_02,2010,Furnace Brook(Stafford)-02,"From US end of conrete channel (just US of Route 14 crossing), US to Staffordville Reservoir oulet dam (just US of Upper Road crossing), Stafford.",4.93,01100002,Insufficient Information,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,26008.1922219398
76,CT3104-00-2-L8_outlet_01,2010,Ruby Lake outlet stream-01,"From mouth at Roaring Brook, Wilington, US to wetland adjacent to truck stop, SouthWest of Exit 71 off I84.",0.12,01100002,Not Supporting,Not Assessed,Not Assessed,Water Not Classified For Drinking Supply,641.047388195955
77,CT3104-00-2-L8_outlet_02,2010,Ruby Lake outlet stream-02,"From  wetland adjacent to truck stop, SouthWest of Exit 71 off I84, Willington, US to Ruby Lake outlet.",0.09,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,499.739833918651
78,CT3104-00_01,2010,Roaring Brook (Willington)-01,"From mouth at confluence with Willimantic River (just DS from Route 32 crossing), US to Stafford Springs Reservoir No2 outlet (Willington, Stafford).",7.3,01100002,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,38568.4954027545
79,CT3104-00_02,2010,Roaring Brook (Stafford/Union)-02,"From Stafford Springs Reservoir No2 inlet (just DS from South Road crossing), US to headwaters at Moore Pond outlet dam (Stafford Springs Reservoir No4).",3.42,01100002,Insufficient Information,Not Assessed,Fully Supporting,Not Assessed,18051.0228811316
80,CT3104-01_01,2010,Stickney Hill Brook-01,"From mouth at confluence with Roaring Brook (just DS of Old Brown Road crossing), US to headwaters at small unnamed pond (just US of Stickney Hill Road crossing), Union.",2.32,01100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,12262.2313686671
81,CT3106-00_01,2010,Skungamaug River-01,"From mouth at confluence with Hop River, Andover, US to headwaters (US of Old Tolland Road crossing), Tolland.",16.7,01100002,Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,88174.5117653593
82,CT3108-00_01,2010,Hop River (Willimantic-Bolton)-01,"From mouth at confluence with Willimantic River (just south of Route 6), Willimantic, US to headwaters (near Route 6 and Stony Road intersection), Bolton.",15.12,01100002,Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,79810.9794219136
83,CT3110-00_01,2010,Tenmile River (Willimantic)-01,"From mouth at confluence with Willimantic River (south of Route 66), Willimantic, US to Stiles Pond outlet dam, Lebanon.",8.67,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,45757.9252494194
84,CT3200-00_02,2010,Natchaug River-02,"From Mansfield Hollow Reservoir inlet at Basset Bridge Road crossing (name changes to Station Road between North Windham Road and Route 6), Windham, US to headwaters (confluence of Bigalow Brook and Still River), Eastford.",11.03,01100002,Fully Supporting,Fully Supporting,Fully Supporting,Not Assessed,58239.2720839305
85,CT3201-00_01,2010,Bungee Brook-01,"From mouth at confluence with Still River, Eastford, US to Bungee Lake (Witches Woods Lake) outlet dam (just US of Route 198 crossing), Woodstock.",5.56,01100002,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,29381.0852659947
86,CT3201-00_02,2010,Bungee Brook-02,"From Lake Bungee inlet (northeast portion of lake, just DS of Bungay Hill Road crossing), US to headwaters, US of 2nd Child Road crossing, Woodstock. Segment EXCLUDES Chamberlain Pond as separate waterbody.",1.83,01100002,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,9674.33993754039
87,CT3202-00_01,2010,Still River (Eastford)-01,"Mouth at confluence with Bigelow Brook, above Natchaug River (on east side of Route 198 (Chaplin Road), US to confluence with Bungee Brook (just US of Brayman Hollow Road (Route 244) crossing), Eastford.",2.57,01100002,Not Assessed,Not Assessed,Fully Supporting,Not Assessed,13568.3281099389
88,CT3202-00_02,2010,Still River (Eastford/Woodstock)-02,"From confluence with Bungee Brook, Eastford, US to Dickenson Pond outlet dam (just US of Route 171 crossing). Woodstock.",4.01,01100002,Fully Supporting,Not Assessed,Fully Supporting,Not Assessed,21176.8500331798
89,CT3800-00_03,2010,Shetucket River-03,"From Sprague WPCF (near head of Occum Pond), US to confluence with Merrick Brook at Sprague/Scotland town line (DS of Scotland Dam).",4.7,01100002,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,24830.5500251862
90,CT3800-00_04,2010,Shetucket River-04,"From confluence with Merrick Brook (DS of Scotland Dam), US to confuence with Cold Brook just DS from Franklin Mushroom Farm STP (on unnamed tributary).",2.18,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,11486.4017797491
91,CT3800-00_05,2010,Shetucket River-05,"From confluence with Cold Brook (DS of Franklin Mushroom Farm STP from unnamed tributary), US to headwaters at confluence of Natchaug River and Willimantic River.",4.99,01100002,Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,26333.3065962947
92,CT4000-00_01,2010,Connecticut River-01,"From head of estuary at Chapman Pond outlet, East Haddam, US to northern most boundary of Hurd State Park, East Hampton.",10.27,01080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,54206.5610869496
93,CT4000-00_02,2010,Connecticut River-02,"From northern most boundary of Hurd State Park, East Hampton, US to confluence with Reservoir Brook (adjacent to Gildersleeve Island), Portland.",10.49,01080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,55365.5909591444
94,CT4000-00_03,2010,Connecticut River-03,"From Reservoir Brook confluence (adjacent to Gildersleeve Island), Portland, US to MA border.",35.26,01080205,Not Assessed,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,186196.30623084
95,CT3802-00_01,2010,Beaver Brook (Scotland)-01,"From mouth at confluence with Merrick Brook (just DS of Bass Road), US to Route 14 (Huntington Road) crossing, Scotland.",1.38,01100002,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,7269.65077133864
96,CT6011-00_01,2010,Guinea Brook-01,"From mouth at confluence with Housatonic River (DS of River Road crossing), Cornwall/Sharon town border, US to headwaters (US of Westwood 2 Road crossing), Sharon.",5.04,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,26592.780825382
97,CT6013-00_01,2010,Cobble Brook-01,"From mouth at confluence with Housatonic River (east bank, just DS of RailRoad crossing), US to headwaters (US of Segar Mountain Road (Route 341) crossing), Kent.",3.71,01100005,Not Assessed,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,19577.5581564086
