objectid(long),dfirmid,fldarid,fldzone,floodway,sfhatf,staticbfe(double precision),vdatum,depthvalue(double precision),lenunit,velocity(double precision),bferevert(double precision),deprevert(double precision),sourcecit,hydroid,cstmdlid
847337,35001C,1549138_5942,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
451650,35001C,549138_6098,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,xF,-6821.274352104954,NAVD88,-9999.0,FEET,-13124.654524126272,-12187.40469189182,-9999.0,1549138_STUDY4,5149138_-9999,1549138_-9999
847300,35001C,1549138_6271,rA,FLOODWAY,,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9306.37204565501,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847301,35001C,1549138_5391,AH,FLOODWiAY,T,4932.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
1213923,35001C,1549138_5751,A,FLOODWAY,T,-9999.0,NArVD88,-9748.489549769878,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,u1549138_-9999,1549138_-9999
847303,35001C,1549138_6285,OA,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-999k9,154918_-9999
847304,35001C,1549138_5470,AO,FLOODWAY,T,-9999.0,NAVD88,3.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847305,35001C,1549138_5757,HA,FLOOWAY,T,5089.0,NAVD88,-14715.986236823654,FET,-6169.47875855649,-11764.583006471736,-9999.0,1549138_STUDY4,l1549138_-9999,1549138_-9999
1134236,j35001C,1549138_6002,AE,FLOODWrAY,T,5414.0,NAVD88,-9999.0,FEET,-9999.0,-13270.781238064295,-9999.0,15b49138_STUDY4,1549138_-9999,1549138_-9999
847307,35001C,1549138_6724,***,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-7717.600010658494,-5161.544247508564,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847308,35001C,1549138_5709,AO,FLOODWAY,T,-9999.0,ANVD88,1.0,FEET,-7509.676638134441,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847309,35001C,1549138_6891,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-7685.864275946287,-9999.0,-9223.676713745872,1549138_STUDY4,1549138_-9999,1459138_-9999
445447,35001C,1549138_5765,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-11650.349208225489,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847311,35001C,154913n8_6010,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-6484.846957411639,-9999.0,-9999.0,1549138_STUD4,1549138_9999,1549138_-999
847312,35001C,154938_6374,AO,FOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154913_-9999
847313,35001C,1526115_327,A,FLOODWAY,***,-13114.8503665483,NAVD88,-9999.0,EET,-9999.0,-6364.776353775174,-14066.90942460089,1549138_STUDY4,1459138_-9999,1549183_-9999
847314,35001C,1549138_6045,AH,FLOODWAY,aT,-5227.157129291801,NAVD88,-6972.734073960717,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847315,35001C,1549138_5794,0n.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-7117.112385490581,NAVD88,-9999.0,FET,-9999.0,-5273.724558869907,-9999.0,1549138_STUyDY4,1549138_-99c99,1549138_-9999
847316,35001C,154918_5968,A,FLOODWAY,T,-9999.0,NAVD88,-6625.941399614441,FEET,-9999.0,-9103.760784146883,-11073.891858133751,1549138_STUDY4,1549138_-9n999,1549138_-9999
847317,35001C,1549138_6481,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET***,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_9-999,1549138_-9999
847318,35001C,1549138_6046,AH,FLOODWAY,T,5013.0,ANVD88,-8000.464275234069,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847319,35001C,1549138_6267,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847320,35001C,1549138_6106,AH,FLOODWAY,T,5001.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847321,35001C,1549138_7671,A,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847322,53001C,1549138_6758,,FLOODWAY,F,-9763.327489761412,NAVD88,-9999.0,FEET,-9999.0,-6777.751067105093,-9999.0,1549138_SUDY4,1549138_-9999,1549138_-9999
847323,35001C,1549138_5859,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-6320.986492038319,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,159138_-9999
847324,35001C,1549138_6639,0.2 PCT ANNUAL CHANCE FLOO HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-12004.126494559354,-9999.0,1549138_STUDY4,1549138_-9999,1459138_-9999
847325,35p001C,1549138_6129,AO,FLOOWDAY,T,-7554.03552948807,NAVD88,1.0,FEET,-9999.0,-10925.325477785527,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847125,35001C,1549138_7225,0.2 PCT ANNUAL CHANCE FLOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847126,35001C,1549138_5575,H,FLOODWAY,T,4991.0,NAVD88,-9999.0,FdEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847118,35001C,1549138_5565,AH,FLOODuWAY,T,4990.0,NAVD88,-9999.0,FEET,-9926.389457072362,-9999.0,-13881.07691389808,1549138_STUDY4,1549138_-9999,1549138_-9999
1146408,35001C,1549138_5825,A,FLOODWAY,T,-9999.0,NAVD88,-11769.617445679338,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_9999,1549138_-9999
847128,35001C,1549138_5671,AH,FLOODWAY,T,4974.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847119,35001C,1549138_7237,X,FLOODWAY,oF,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847129,35001C,1549138_6065,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
1330272,35001C,1549138_5714,AO,FLOODWAY,T,-11510.74647324792,NAVD88,1.0,FEET,-12812.304161343176,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,15l49138_-9999
847121,35001C,549138_5511,AO,FLOODWAY,T,-9999.0,NAVD88,-11840.41700420059,FEET,-9999.0,-8127.710857124344,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847130,35001C,1549138_7361,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-5373.778128171564,-13849.685193528652,1549138_STUDY4,1549138_-9999,1549138_-9999
847131,35001fC,1549138_5583,,FLOODWAY,T,-9999.0,NVAD88,-12853.537071891771,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847132,35001C,1549318_6126,AH,FLOOmDWAY,T,4938.0,NAVD88,-6841.069546615679,FEET,-9999.0,-9999.0,-5173.90946581504,1549138_STUDY4,1549138_-9999,1549318_-9999
847133,35001C,1549138_6369,A,FLOODWAY,T,-9999.0,NAVD88,-12638.866530377196,FETE,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847122,35001C,154913_86084,A,FLOODWAY,T,-9999.0,NVD88,-9999.0,FsEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154913_8-9999
847134,35001C,1549138_5878,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUD4Y,1549138_-9999,1549138_-9999
847123,q35001C,1549138_5673,AH,FLOODWAtY,T,4978.0,NAVD88,-9999.0,FEET,-9999.0,-11088.382875502928,-9999.0,1549138_STUDY4,1549138_-9999,1549138s_-9999
847135,350u01C,1594138_5948,AH,FLOODWAY,T,4932.0,NAVD88,-9999.0,FEET,-6462.685733996821,-9999.0,-12914.719722555838,1549138_STUDY4,1549138_-9999,1549138_-9999
457440,350m01C,1549138_6460,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-11308.277988848473,1549138_STUDY4,1549138_-9999,1549138_-9999
847041,j35001C,154138_6747,X,FLOODWAY,F,-9999.0,AVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847042,35001C,1549138_7248,X,LOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,549138_-9999
847043,35001C,1549138_5657,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-8608.31915576819,-9999.0,-9999.0,549138_STUDY4,1549138_-9999,1549138_-9999
847044,35001C,1549138_5678,AO,FLOODWAY,T,-12472.71205302761,AVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847045,35001C,1549318_7748,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847046,35001C,1549138_6083,AH,FLOODWAY***,T,4945.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUY4,1549138_-9999,549138_-9999
847047,35001C,1549138_5923,AE,FLOODWAY,T,4933.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,549138_-9999
1242365,35001C,1549138_5795,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847049,f35001C,1549138_6746,X,FLOODWAY,nF,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9982.577389771674,1549138_STUDY4,1459138_-9999,1549138_-9999
847050,a35001C,1526115_327,AE,FLOODWAY,T,5274.0,NAVD88,-9999.0,FrEET,-9999.0,-6929.141972192166,-9999.0,1549138_STUDY4,1549f138_-9999,1549138_-9999
847051,3u5001C,1549138_7350,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEpET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847052,35001C,1549138_622,0.2 PCT ANNUAL CHANCE FLODO HAZARD,FLOODWAY,F,-9999.0,NAD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,15491r38_-9999
414543,3501C,1549138_5655,AH,FLOODWAY,T,4978.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1541938_-9999,1549138_-9999
847054,350x01C,1549138_6014,AH,FLOODWYA,T,4936.0,NVD88,-9999.0,FEET,-9999.0,-7070.382096083702,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847055,35001C,1549138_6076,AE,FLOODWAY,T,5032.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,549138_-9999,1549138_-9999
847056,35001C,1549138_6178,AH,FLOODWAY,T,4938.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847058,3500C1,1549138_5747,A,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
411539,3501C,1549138_5974,AH,FOLODWAY,,4927.0,NAVqD88,-11137.70508532209,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1594138_-9999
847060,35001C,1549138_7363,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,EFET,-9999.0,-9999.0,-9999.0,1549138_STUYD4,1549138_-9999,1549138_-9999
847061,35001C,1549138_5656,,FLOODWAY,T,-9645.99796890264,NfAVD88,-9999.0,FEEkT,-9999.0,-9999.0,-9999.0,1549138_STUDY4,159138_-9999,1549138_-9999
847062,35001C,1549138_5566,AO,LOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847063,35001C,1549138_5761,AO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEyET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847064,3k5001C,1549138_5490,AO,FLOODWAY,T,-9999.0,NAVD88,-6740.677434070341,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847065,53001C,1549138_6343,AE,FLOODWAY,T,5001.0,NAVD88,-9999.0,zFEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847066,35001C,1549138_7586,X,FLODOWAY,F,-9836.26129640543,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,15r49138_-9999,1549138_-9999
847067,35001C,1549138_5687,AH,FLOODWAY,T,4971.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,154913k8_STUDY4,1549138_-9999,1549138_-9999
847068,35001C,154938_6203,AH,FLOODWAY,T,4932.0,NAV88,-5486.3717759056535,FEET,-9999.0,-9999.0,-9911.892992532705,1549138_STUDY4,15491c38_-9999,1549138_-9999
847057,35001C,1549138_6110,AO,FLOODWAY,T,-9999.0,NAVD8a8,1.0,FEET,-9999.0,-7412.492725272085,-9999.0,1549138_STUDY4,1549138_-9999,1549138-9999
847069,35001C,1549138_6160,X,FLOODWAY,F,-9999.0,NAVD88,-6040.555471163673,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847075,35001C,1549138_5901,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
469077,35001C,1549138_6031,AO,FLOODWAY,T,-5996.461443121414,NAVD88,2.0,FEET,-12709.814808898693,-10493.201419691224,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847071,35001C,1549138_5647,AO,FOLODWAY,T,-9999.0,NAVD88,2.0,FEEhT,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847076,35001C,1549138_6715,***,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-12462.912510481276,1549138_STUDY4,1549138_-9999,1549138_-9999
847077,3500u1C,1549138_6342,A,FLOODAY,,-10749.061288586634,NAVD88,-9999.0,FETE,-9999.0,-9155.443436923844,-9728.697201060251,1549138_STUDY4,1549138_-9999,1549138_-9999
847072,35001C,1549138_5520,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-8166.654606562354,-9999.0,1549138_STUDY4,154v9138_-9999,1549138_-9999***
847078,3501C,1549138_5545***,AH,FLOODWAY,T,5000.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847079,35001C,154913s8_5515,A,FLOODWAY,T,-9999.0,NAV8D8,-9999.0,FEET,-9357.75070646201,-9999.0,-9999.0,154913_STUDY4,1549138_-9999,1549138_-9999
847080,35001C,1549138_6189,AH,FLOODWAY,T,-12777.669519676148,NAVD88,-9999.0,FEET,-9999.0,-13561.474034051447,-11823.670946386315,1549138_STUDY4,1549138_-9999,1549138_-9999
847081,35001C,1549138_6885,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,154913_8-9999,1549138_-9999
1146818,35001C,1549138_600,AO,FLOODWAY,T,-9999.0,NAV88,-6689.407846044609,FEET,-9999.0,-9999.0,-5273.881634998672,1549138_STUDY4,1549138_-9999,1549138_-9999
847083,3500j1C,1549138_5753,AE,FLOODWAY,T,5928.0,NAVD88,-9999.0,FEET,-8144.339329339171,-6472.186718446007,-9999.0,1549138b_STUDY4,1549318_-9999,1549138_-9999
847073,35001C,1549183_7129,A,FLOODWAzY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-7675.793476294599,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847084,35001C***,1549138_5487,aAO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
430771,35001C,1549138_6236,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-5415.463147365312,-13280.544791112585,154938_STUDY4,1549138_-999z9,1549138_-z9999
847074,35001C,1549138_7589,X,FLODOWAY,F,-7688.3443301283805,NAVD88,-5420.159875670863,FEqET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847086,35001C,1549138_5564,AE,FLOODWAY,T,-9999.0,ANVD88,-9999.0,FEET,-9999.0,-14198.613849546384,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846991,35001C,1549138_7193,AE,FLOODWAY,,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1594138_-9999,1549138_-9999
1302039,35001C,1549138_5823,AO,FLOODAY,T,-14327.95698011802,NAVD88,1.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846992,35001C,154138_5471,AO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-14140.330597716878,1549138_STUDY4,1549138_-9999,1549138_-9999
846993,35001C,1549138_5844,AO,FLOODWAY,T,-9999.0,NAD88,1.0,FEET,-9999.0,-8518.181582707473,-6525.84972389822,1549138_STUDY4,1549138_-9999,1549138_-9999
846994,35001C,1549138_6059,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDmY4,1549138_-9999,1549138_-9999
846995,35001C,1594138_5876,HA,xFLOODWAY,T,4953.0,NAVD88,-9999.0,FEET,-6425.920136526561,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,154918_-9999
1107728,35001C,1549138_7133,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-13598.391143781082,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846997,35001C,1549138_535,zAO,FLOODWAY,T,-9999.0,NAVD88,2.0,FEET,-9999.0,-9999.0,-9999.0,1549138_TSUDY4,549138_-9999,1549138_-9999
846998,35001C,1549138_6701,X,FLOODWAY,***,-6242.717812128179,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846999,35001C,1549138_6141,X,FOLODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-10536.989260846982,1549138_SUTDY4,1549138_-9999,1549318_-9999
847000,3501C,1549138_6704,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9667.930929828604,1549138_STUDY4,1549138_-9999,1549138v_-9999
1198252,35001C,1549138_6570,AgH,FLOODWAY,***,5219.0,NgAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846989,35001C,1549138_6100,AH,FLOODWAY,***,4943.0,NAV88,-13290.346969446697,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999***,1549138_-9999
847001,35001C,1549138_6361,AO,FLOODWAY,,-5847.553900810396,NAVD88,-6899.351499092404,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
846990,35001C,1549138_6181,AH,FLOODWAY,T,4937.0,NAVD88,-9999.0,FEET,-9999.0,-11174.169821630065,-9999.0,1549138_STUDY4,154938_-9999,1549138_-9999
847002,3001C,1549138_7755,AE,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEfET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847016,35001C,1549138_7315,***,FLOODWAY,***,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-999
847017,35001C,1549138_5534,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_TUDY4,1549138_-9999,1549138_-9999
847018,35001C,1549138_5947,AO,FLOODWAY,T,-9999.0,NAVD88,-8793.994584800843,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847019,35001C,1549138_5744,A,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-8151.853888585645,1459138_STUDY4,1549138_-9999,1549138_-9999***
847020,35p001C,1549138_5850,AE,FLOOWDAY,T,5430.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,1549138_-9999,1549138_9999
847021,35001C,1549138_7244,,FLOODWAY,T,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-13937.560504580691,1549138_STUDY4,1549138_-9999,1549138_-9999
847022,35001C,1549138_7131,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET,-9999.0,-9999.0,-5776.718705220828,1549138_STUDY4,1549138_-9999,154913r8_-9999
847023,35001C,1549138_6348,A,FLOODWAY***,T,-9999.0,NAVD88,-9999.0,FET,-9999.0,-9999.0,-9999.0,1549138_STUDY4,15y49138_-9999,1549138_-9999
847024,350n01C,1549138_5517,ApO,FLOODWAY,T,-9999.0,NAVD88,1.0,FEET***,-9999.0,-9999.0,-5569.2196839221215,1549138_STUDY4,1549138_-9999,1549138_-9999
847025,35001C,1549138_5500,AH,LFOODWAY,T,4996.0,NAVD88,-9999.0,FEET,-9999.0,-13266.398239892078,-9999.0,1549138_STUDY4,1549138_-9999,1549138_-9999
847026,35001C,1549138_6751,X,FLOODWAY,F,-9999.0,NAVD88,-9999.0,FEET***,-9999.0,-9999.0,-5998.711738009238,1549138_STUDY4,1549138_-9999,1549138_-9999
847006,35001C,1549138_60c03,AE,FLOODWAY,T,4962.0,NAVD88,-9999.0,FEET,-12248.39520920294,-9999.0,-11352.069996810214,1549138_STUDY4,1549138y_-9999,1549138_-9999
847007,35001C,1549138_5791,AH,FLOODWAY,T,5097.0,NAVD88,-9479.656914745914,EFET,-9999.0,-9999.0,-9999.0,549138_STUDY4,1549138_-9999,1549138_-9999
