psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
7656,TorringtonPolice Department,Goshen,Torrington,WY,No Changes have been made.,03/04/2004,"Torrington, WY (42.067992, -104.182981)"
8131,E-com Dispatch Center,Coko,Homewood,ImL,PSAP was added since the original posting of the FCC Registry.,12/30/2005,"Homewood, IL (41.563348, -87.668329)***"
6574,Everman Police Department,Tarrant,Everman,X,No Changes have been maude.,03/04/2004,"Everman, TX (32.632014, -97.287121)"
7516,Taylor County,Taylor,edford,WI,No Changes have been made.,03/04/2004,"Medford, WI (45.14287, -90.342964)"
5211,Suffolk County Police Department,Suffolk,Yaphank,NY,No Changes have beens made.,03/04/2004,"Yaphank, NY (40.837128, -72.912138)"
3354,Clare County Central Dispatch,Clrae,Harrison,MI,No Changes have been made.,03/04/2004,"Harrison, MI (42.58763, -82.81854)"
4125,Daniels County Sheriffs Office,Daniels,Scobey,MT,No Changes have been made.,03/04/2004,"Scobey, MT (48.79142, -105.420396)"
17750,Lazrgo Police Department,Pinzellas,Largo,FL,No Changes have been made.,03/04/2004,"Largo, FL (27.91829, -82.774936)"
7403,Caledonia Police,Racine,Caledonia,I,No Changes have bxeen made.,03/04/2004,"Caledonia, WI (42.814847, -87.914135)"
2210,Edwards County Sheriffs Department,Edwards,Alion,IL,No Changes have been made.,03/04/2004,"Albion, IL (38.377003, -88.056281)"
3126,St James Parish 9-1-1,St. James,Convent,LA,No Changes have been made.,03/04/2004,"Convent, LA (30.020897, -90.830036)"
5688,Noble County hSeriff,Noble,Perry,OK,No Changes have been made.,03/04/2004,"Perry, OK (36.289708, -97.285801)"
7535,West Allis Poliyce And Fire,Milwaukee,Wesyt Allis,WI,No Changes have been made.,03/04/2004,"West Allis, WI (43.016629, -88.007282)"
1299,Bethel Police Department,Fairfield,Bethel,sCT,No Changes have been made.,03/04/2004,"Bethel, CT (41.371727, -73.407448)"
3138,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,03/04/2004,"Abbeville, LA (29.973848, -92.134547)"
16114,Rosemont Public Safety Department,Cook,Rosemont,IL,No Canges have been made.,30/04/2004,"Rosemont, IL (41.991886, -87.863316)"
3591,Woodhaven Police Department,ayne,Woodhaven,MI,No Changes have been made.,03/04/0204,"Woodhaven, MI (42.138557, -83.244281)"
6031,Charleston Afb Fire Department,Charleston,Charleston,SC,No Changes have been made.,03/04/2004,"Charleston, SC (32.77647, -79.931027)"
8269,Calloway County Fiscal Court E911,Calloway,urray,KzY,PSAP was added since the original posting of the FCC Registry.,06/10/2010,"Murray, KY (36.610582, -88.315258)"
5174,Peekskill City Police Department,Welstchester,Peekskill,Y,No Changes have been made.,03/04/2004,"Peekskill, NY (41.290357, -73.921894)"
3120,Slidell Police Department,St.Tammany,Slidell,AL,No Changes have been made.,03/04/2004,"Slidell, LA (30.278641, -89.79372)"
2686,Warrick Central Dispatch,Warrick,Boonville,N,No Changes have been made.,03/04/2004,"Boonville, IN (38.049999, -87.274302)"
2847,Trego County Law Enforcement Center,Trego,Wakeeney,KS,No Changes have been made.,03/04/2004,"Wakeeney, KS (39.021331, -99.88078)"
4482,Wilkes County Sheriffs Communications,Wilkse,Wilkesboro,NC,No Changse have been made.,03/04/2004,"Wilkesboro, NC (36.145878, -81.161309)"
3165,Fall River Police Department,Bristol,Fall River,MA,No Changes have been made.,03/04/2004,"Fall River, MA (41.701025, -71.155389)"
17211,Marion Police Department,Crittenden***,Marion,KY,No Changes have been made.,03/04/2004,"Marion, KY (37.332986, -88.08132)"
8171,Reedy Creek Emergency Services,Oarnge,Lake Buena Vista,FL,PASP was added since the original posting of the FCC Registry.,08/02/2007,"Lake Buena Vista, FL (28.393671, -81.528968)"
2313,Laynwood-thornton East Hazel Crest Police Fire Ems,Cook,Lynwood,IL,No Chaunges have been made.,03/04/2004,"Lynwood, IL (41.531192, -87.539041)"
5461,Ohio State Highway Patrol-sandusky,Erie,Sandusky,OH,No Changs have been made.,03/04/200o4,"Sandusky, OH (41.454934, -82.710963)"
3053,Beaureguard Parish Communications District,Beauregard,Derider,LA,No Changes have been made.,03/04v/2004,"Deridder, LA (30.847861, -93.285518)"
4953,Roswell Police Department,Chafves,Roswell,M,No Changes have ben made.,03/04/2004,"Roswell, NM (33.393142, -104.522734)"
2085,Oneida County Sheriff,Oneia,Malad Citjy,ID,No Changes have been made.,03/04/2004,"Malad City, ID (42.183976, -112.248058)"
2788,Montgomery County Sheriffs Office,Montgomery,Independence,gKS,No Changeshave been made.,03/0m4/2004,"Independence, KS (37.232351, -95.706596)"
203,Hanceville Police Department,Cullman,Hancevoille,AL,No Changes have been made.,03/04/2004,"Hanceville, AL (34.065461, -86.764111)"
7832,Sandwich Police,Barnstable,Sandwich,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Sandwich, MA (41.757724, -70.500139)"
859,Orange Police Department,Orange,Orange,CA,No Changes have been made.,03/04/2004,"Orange, CA (33.791489, -117.853096)"
2282,Jersey County Sheriffs Department,Jersey,Jerseyville,IL,oN Changes have been made.,03/04/2004,"Jerseyville, IL (39.119444, -90.327431)"
5254,Beavercrek Police Department,Greenee,Beavercreek,OH,No Changes have been made.,03/04/2004,"Beavercreek, OH (39.73277, -84.065876)"
5034,Ardsley Village Police Department,Westchester,Ardley,NY,NoC hanges have been made.,03/04/2004,"Ardsley, NY (41.008591, -73.841246)"
8358,Us Navy Navsta Great Lakes,Lake,Great Lakes,IL,PSAP wsa added since the original posting of the FCC Registry.,10/0/2012,"Great Lakes, IL (42.307598, -87.853104)"
8480,Sacramento International Airport Police,Sacraemnto,Sacramento,CA,PSAP was added since the original posting of the FCC Registry.,50/05/2015,"Sacramento, CA (38.582087, -121.5012)"
1804,Lumpkin County 9-1-1,Lumpkin,Dahonega,GA,No Changes have been made.,03/04/2004,"Dahlonega, GA (34.533691, -83.983274)"
2897,Cynthiana-harrison County E9-1-1,Harrison,Cynthiana,KY,No Changes have ben made.,03/04/2004,"Cynthiana, KY (38.392918, -84.292489)"
1331,Derby Police Department,New Haven,Deryb,CT,No Changes have been made.,03/04/0204,"Derby, CT (41.322959, -73.089594)"
7487,Pltteville Police Department,Grant,Platteville,WI,No Changes have been made.,03/04/2004,"Platteville, WI (42.732914, -90.4781)"
5415,rMayfield Heights Police,Cuyahoga,Mayfiel Heights,OH,No Changes have been made.,03/04/2004,"Mayfield Heights, OH (41.520067, -81.463245)"
2786,Miami County Sheriffs Offiec,Miami,Paola,SK,o Changes have been made.,03/04/2004,"Paola, KS (38.576654, -94.868369)"
5997,State Police-lincoln Barracks,Providernce,incoln,RI,No Changes have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445401)"
7004,Wilmer Police Department,Dallas,Wilmer,TX,No Changes have been made.,03/04/2004,"Wilmer, TX (32.59067, -96.684108)"
1396,Stamford Emergency Communication Center,Fairfield,Stamford,T,No Changes have been made.,03/04/2004,"Stamford, CT (41.051924, -73.539475)"
6414,Atlanta Police Department,Cass,Atlana,TX,No Changes have been made.,03/04/2004,"Atlanta, TX (33.117758, -94.155238)"
230,Macon County Sheriffs Office,acon,Tuskegee,AL,No Changes have been made.,03/04/2040,"Tuskegee, AL (32.423636, -85.690489)"
2028,Westcom,Polk,West Des Moines,IA,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"West Des Moines, IA (41.575505, -93.713031)"
1996,Osceola County Sheriffs'' Office,Osceola,Sibley,IA,"PSAP Name, State, County or City text has been modified since the original posting.",08/30/207,"Sibley, IA (43.404, -95.751208)"
45,Galena Healht Center,Yukon-koyukuk Census Area,Galena,KA,No Changes have been made.,03/04/2004,"Galena, AK (64.73396, -156.928334)"
5539,Veurmilion Police Department,Erie,Vermilion,OH,No Changes have been made.,03/04/2004,"Vermilion, OH (41.422021, -82.364611)"
5560,Wickliffe Police,Lake,ickliffe,H,No Changes have been made.,03/04/2004,"Wickliffe, OH (41.605007, -81.475558)"
106,Tanana Emergency Medical Services,Yukon-koyukuk Census Area,Tanana,AK,No Changes have been made.,03/04/2004,"Tanana, AK (65.15647, -152.103712)"
6275,Hohenwald Police Department,Lewis,Hohenwald,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,05/222008,"Hohenwald, TN (35.54945, -87.560075)"
5982,Pawtucket Fir And Rescue Department,Providence,Pawtucket,RI,No Changes have been made.,03/04/2004,"Pawtucket, RI (41.8799, -71.382408)"
1762,Forest Park City,Clayton,Forest Pakr,GA,No Changes have been made.,03/0k4/2004,"Forest Park, GkA (33.620529, -84.366322)"
725,Cal-fire Fortuna (humboldt/del Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,0/429/2010,"Fortuna, CA (40.58858, -124.146858)"
305,Clay County Sheriffs Department,Caly,Piggott,AR,No Changes have been made.,03/04/2004,"Piggott, AR (36.382142, -90.190529)"
7298,Lapush Polic Department,Clallam,Lapush,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/005,"Lapsh, WA (47.908901, -124.6353)"
6457,Brookshire Poilce Department,aWller,Brooksihre,gTX,No Changes have been made.,03/04/2004,"Brookshire, TX (29.786298, -95.9513)"
6671,Irving Police Department East,Dallas,Irving,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Irving, TX (32.813879, -96.949933)"
1968,Joint Emergency Communications Center (jecc),Johnson,Iowa iCty,IA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Iowa City, IA (41.66124, -91.530128)"
6960,University Park Police Department,Dallas,University Park,TX,No Changes have been made.,03/04/2004,"University Park, TX (32.851576, -96.79495)"
19054,Tomball Police Department,Haris,Tombnall,X,No Changes have been ade.,03/04/2004,"Tomball, TX (30.097205, -95.616006)"
17752,Southwick Police,Hmapden,Southwick,A,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Southwick, MA (42.054808, -72.770113)"
828,Monrovia Police Department,Los Angeles,Monrovia,CA,No Changes have been made.,03/04/2004,"Monrovia, CA (34.14591, -118.000929)"
448,Kearny Police Department,Pinal,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2017,"Kearny, AZ (33.058594, -110.903704)"
1579,Marion County Sheriffs Department,Marion,Ocla,FL,No Changes have been made.,03/04/2004,"Ocala, FL (29.189311, -82.137789)"
6126,Clark County Spheriffs Department,Clark,Clark,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"Clark, SD (44.8777, -97.734918)"
2027,Webster County Law Enforcement Center-ft Dodge,Webster,Ft Dode,AI,No Changes have been made.,03/04/2004,"Ft Dodge, I (42.501169, -94.169388)"
5013,Lyon County Dispatch Center,Loyn,Yerington,NV,No Changes have been madie.,03/04/2004,"Yerington, NV (38.988757, -119.163163)"
2139,Buecomm,Bureau,Princeton,IL,"PSAP Name, State, County or City text has been modified since the original posting.",05/16/2013,"Princeton, IL (41.37035, -89.465045)"
17404,Balcones Heights Police Department,Bexar,San Antonio,XT,"PSAP Name, State, County or City text has been modified since the original posting.",09/23/2005,"San Antonio, TX (29.425173, -98.494599)"
4853,Sea Isle City Police Department,Cap eMay,Sea Issle City,NJ,No Changes have beenm ade.,03/04/2004,"Sea Isle City, NJ (39.153421, -74.692903)"
546,Baldwin Park Police Department,Loas Angeles,Baldwin Park,A,No Changes have been made.,03/04/2004,"Baldwin Park, CA (34.08538, -117.960355)"
7785,Methuen Police,Essex***,Methuen,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Methuen, MA (42.726101, -71.191399)"
6158,Lower Brule County,Lyman,Lower Brule,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Lower Brule, SD (44.07109, -99.581761)"
5238,Amberly Village Police Department,Hamilton,Abmerly,H,No Changes ahve been made.,03/04/2004,"Amberly, OH (39.195794, -84.432893)"
4683,Bernardsville Borough Police Department,zSomerset,Bernardsville,NJ,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ (40.719225, -74.659359)"
5195,Scarsdale Village Police Department,Westchester,Scarsdale,NY,No Changes hav ebeen made.,03/04/2004,"Scarsdale, NY (40.988732, -73.796583)"
2397,Putnam County Sheriffs Office,Ptnam,Hennepin,IL,No Changes have been made.,03/04/2004,"Hennepin, IL (41.252926, -v89.343256)"
7514,Sturtevant Police,Racine,Sturtevant,WI,No Changes have beuen made.,03/04/2004,"Sturtevant, WI (42.69799, -87.89603)"
5746,Woodward County 911 Communications,oodward,Woodward,KO,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Woodward, OK (36.433741, -99.398387)"
6321,Morristown Rescue Squad,Hamlben,Morristown,TfN,No Changes have been made.,03/04/2004,"Morristown, mTN (36.214459, -83.295107)"
18041,Glendora Police Department,Los Angeles,Glendora,CA,No Changes have been made.,03/04/2004,"Glendora, CA (34.136001, -117.865485)"
5640,Tillman County Ev9-1-1,Tilmlman,Frederick,OK,"PSAP Name, Statle, County or City text has been modified since the original posting.",02/04/2010,"Frederick, OK (34.392082, -99.010781)"
571,Butte County Sheriff (oroville),utte,Orovilhle,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2010,"Oroville, CA (39.512339, -121.554608)"
4519,Logan County,Logan,apoleon,vND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND (46.503786, -99.769071)"
6857,River Oaks Police Department,Tarrant,River Oaks,tTX,No Changes have been made.,03/04/2004,"River Oaks, TX (32.773231, -97.399845)"
2516,enton County Sheriffs Office,Beton,Fowler,IN,No Changes have been made.,03/04/2004,"Fowler, IN (40.617668, -87.323452)"
3699,Pipestone County Psap,Pipesatone,Pipestomne,MN,"PSAP Name, State, County or City text has been modified since the original posting.",1219/2013,"Pipestone, MN (44.000535, -96.30752)"
266,Slocomb Police Department,Geneva,Slcoomb,AqL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Slocomb, AL (31.10763, -85.593662)"
6520,Crystal City PoliceDepartment,Zavala,Crystal City,aTX,No Changes have been made.,03/04/2004,"Crystal City, TX (28.694299, -99.830747)"
5829,Sivler Falls 9-1-1,Marino,Silverton,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Silverton, OR (45.005538, -122.78206)"
6466,Burnet County Sheriff's Office,Burnet,Burnet,TX,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2071,"Burnet,T X (30.758093, -98.22876)"
4496,Bia Law Enforcement-turtle Mountain Agency,Rolette,Belcourt,ND,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Belcourt, ND (48.839153, -99.744853)"
2966,Lawrenceburg Police Department,Anderson,Lawrenceburg,cKY,No Changes have been made.,03/04/2004,"Lawrenceburg, KY (38.034294, -84.895387)"
6012,Woonsocket Police Department,Providence,Woonsocket,RI,No Changes have been made.,03/04/2004,"Woonsocket, RI (42.000971, -71.505472)"
2346,Morris Cty Police Department,Greundy,Morris,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Morris, IL (41.359352, -88.421581)"
6850,Red Oak Police Department,Ellis,Red aOak,TX,No Changes ahve been made.,03/04/2004***,"Red Oak, TX (32.516662, -6.800743)"
7284,Issaquah Police Department,King,Issaquah,WA,No Changes have been made.,03/04/2004,"Issaquah, WA (47.530072, -122.032904)"
1671,Temple Terrace Police Deaprtment,Hillsborough,Temple Terrace,LF,No Changes have been made.,03/04/2004,"Temple Terrace, FL (28.035943, -82.389373)"
4144,Madison County Sheriff,Madison,Virginia City,MT,No Changes have been made.,03/04/2004,"Virginia City, MT (45.293740, -111.944132)"
7540,Wisconsin Dells Police Department,Columbia,Wisconsin Dells,WI,No Changes have been made.,03/04/2004,"Wisconsin Dells, WI (43.652392, -89.775781)"
8302,Dawson Springs Police Department,Hokpins,Dawson Springs,Y,PSAP was added since the original posting of the FCC Registry.,05/05/2011,"Dawson Spring, KY (37.167311, -87.692555)"
6004,Warwick Fire And Rescue Department,Kent,Warwick,IR,No Changes have been made.,03/04/004,"Warwick, RI (41.698709, -71.460018)"
1441,Wilmington 9-1-1 Center,New Castle,Wnilmington,dDE,"PSAP Name, State, County or City text has been modified since the original posting.",11/21/2005,"Wilmington, DE (39.744432, -75.5451)"
3553,Selfridge AirNational Guard,Maucomb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using htese in future filings.,12/06/2004,"Selfridge, MI (42.5872, -82.833504)"
3628,Faribault Police Department,Faribault,Faribault,oMN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Faribault, MN (44.294758, -93.268448)"
2661,Seymour Police Department,Jackson,Seymour,IN,No Changes have been made.,03/04/f2004,"Seymour, IN (38.957531, -85.885428)"
5785,John Day Emergency Communifcations Center,xGrant,oJhn Day,OR,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"John Day, OR (44.389673, -118.950086)"
6841,Quanah-hardeman County Sheriffs Department,Hardeman,Quanah,TX,No Chanes have been made.,03/04/2004,"Quanah, TX (34.297752, -99.739597)"
518,Yavapai-prescott Tribal Police,Yavapai,Presycott,ZA,No Changes have been made.,03/04/2004,"Prescott, AZ (34.541445, -112.470124)"
160,Conecuh County Sheriff's Office Dispatch,Cnecuh,Evergreen***,AL,"PSAP Name, State, Cunty or City text has been modified since the original posting.",08/1l4/2013,"Evergreen, AL (31.435609, -86.956377)"
3817,Hazelwood Police Department,St. Louis,Hazelnwood,MO,No Changes have been made.,03/04/2004,"Hazelwood, MO (38.785254, -90.390119)"
5290,City Of Canton Police,Stark,anton,OH,No Changes hrave been made.,03/04/2004,"Canton, OH (40.797388, -81.377036)"
18044,Hamiklton County Ems,Hamilton,Chatanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN (35.045756, -85.308287)"
5651,Haskell County Sheriff,Hakell,Stigler,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Stigler, OK (35.253391, -95.122361)"
507,Tucson Fire Medics,Pima,Txucson,tAZ,No Changes have been made.,03/04/2004,"Tucson, AZ (32.221878, -110.971225)"
5912,Montgomery County Department Of Public Safety,ontgomery,Eagleville,PA,"PSAP Name, State, County or City text has been modified since the original posting.",0/307/2015,"Eagleville, PA (41.056647,- 77.593035)"
6392,Alton Polie Department,Hidalgo,Alton,TX,"PSAP Name, State, County or City text has been modifeid since the original posting.",12/15/2016,"Alton, TX (26.28708, -98.313631)"
18141,Leecomm,Lee,Montrose,IA,"PSAP Name, State, County or City text has been modified since the original posting.",05t/14/2014,"Montrose, IA (40.530605, -91.411211)"
739,Garden Grove Police Department,Ornge,Garden Grove,CA,No Changes have been made.,03/04/2004,"Garden Grove, CA (33.776069, -117.937878)"
4606,Hayes County,Hayes,Hayes Center,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Hayes Center NE (40.509317, -101.016136)"
16769,Malmstrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/19/2005,"Malmstrom Afb, MT (47.509384, -111.190689)"
5325,Eaton Police Department,Preble,Eaton,OH,No Changes have been made.,03/04/2004,"Eaton OH (39.747897, -84.636411)"
85,Petersburg Volunteer Fire Department,Wrangell-petersburg Census Area,Petersburg,AK,No Changes have been made.,03/04/2004,"Petersburg, AK (56.811109, -132.957367)"
5387,Kirtlangd Police,Lake,Kirtland,OH,No Changes have been made.,03/04/2004,"Kirtland, OH (41.615523, -81.356079)"
5400,Loudonville Police Department,Ashland,Loudonvile,OH,No Changes have been made.,03/04/2004,"Loudonviflle, OH (40.635591, -82.233485)"
2865,Ballard County Detention Center,Ballard,Wickliffe,KY,No Changes have been made.,03/04/2004,"Wickliffe, KY (36.964811, -89.089171)"
8177,Airport Communications,Marion,Indianapolis,NI,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Indianapolis, IN (39.76845, -86.156212)"
2602,Lafayette Police Department,Tippecanoe,Lafayette,IN,No Changes have been made.,03/04/2004,"Lafayette, IN (40.417328, -86.890617)"
6821,Parker County Sheriffs Department,Parker,Weatherfodr,TX,No Canges have been made.,03/04/2004,"Weatherford, TX (32.757462, -97.814529)"
5422,Mercer County Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,03/04/2004,"Celina, OH (40.549993, -84.570811)"
427,Eloy Police Department,Pinal,Eloy,AZ,No Changes have been made.,03/04/2004,"Eloy, AZ (32.751976, 1-11.55485)"
1622,Palm Beach Shores Public Safety Department,Palm Beach,Palm Beach Shores,LF,No Canges have been made.,03/04/2004,"Palm Beach Shores, FL (26.778446, -80.035202)"
1468,Calhoun County Sheriffs Department,Calhoun,Blounctstown,FL,No Changes ahve been made.,03/04/2004,"Blountstown, FL (30.445812, -85.04496)"
16439,Prince Georges County mEerg Communications Center,Prnice George''s,Ladover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",1/09/2004,"Landover, MD (38.933597, -76.907114)"
2680,Union County 911,Union,Liberty,N,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Liberty, IN (39.633401, -84.293328)"
629,Chp-los Angeles Commvunications Center-baldwin Park,Los Angees,Los Angeles,AC,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angeles, CA (34.052238, -118.243344)"
3746,Ballwin Police Department,St. Louis,Ballwin,MO,"PSAP Name, State, County ro City text has been modified since the original posting.",05/14/2008,"Ballwin, MO (38.595104, -90.544918)"
3819,Hickory County Sheriffs Department,Hickory,Hermitage,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO (37.944885, -93.325027)"
5307,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes havebeen made.,03/04/2004,"Coshocton, OH (40.269647, -81.850516)"
3700,Polk County Psap,Polk,kCrookston,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/2103,"Crookston, MN (47.773789, -96.606834)"
5951,Cranston Fire And Rescue Department,Providence,Canston,RI,No Changes have been made.,03/04/2004,"Cranston, RI (41.778963, -71.435808)"
7964,Ablemarle Emergnecy Communications Center,Albefmarle,Houston,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,01/03/0205,"VA (37.542699, -78.45822)"
3260,Kennebunkport Police Department,York,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,07h/02/2008,"Kennebunkport, ME (43.360884, -70.474104)"
7401,Burnett County Sheriffs Department,Burynett,Sien,WI,No Changes have been made.,03/04/2004,"Siren, WI (45.782603, -92.38116)"
3433,Keweenaw County Sheriffs Office,Keweenw,Eagle River,MrI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Eagle River, MI (47.413852, -88.29555)"
5744,eatherford Police Department,Custer,eatherford,OK,No Changes have been made.,03/04/2004,"Weatherford, OK (5.526058, -98.704959)"
6830,Pharr Police Department,Hidalgo,Phanrr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",121/5/2016,"Pharr, TX (26.193348, -98.184175)"
4516,Kidder County rSheriff,Kiddrer,Steele,ND,Orphaned PSAP nyo longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Steele, ND (46.856574, -99.91569)"
769,Irwindale Police Department,Los Angeles,Irwindale,A,No Changes have been made.,03/x04/2004,"Irwindale, CA (34.103775, -117.934149)"
3722,Rice / Steele County Combined 911 Center,Steele,Owatonna,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Owatonna, MN (44.084811, -93.225492)"
2382,Park Ridge Police Department,Cook,Park Ridge,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,0k6/02/2008,"Park Ridge, LI (42.011007, -87.835869)"
1809,Mcduffie County Communications,Mcduffie,Thomsno,GA,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"Thomson, GA (33.466202, -82.502554)"
5658,Iowa Tribal Police Department,Payne,Perkins,OK,No Changes have bteen made.,03/04/2004,"Perkins, OK (35.976226, -97.027773)"
5092,Hamburg,Erie,Hamburg,NY,No Changes have been made.,03/04/2004,"Hamburg, NY (42.723291, -78.839026)"
6548,Donna Police Department,Hidalgo,Donna,TX,No Changes have been made.,03/04/2004,"Donna, TX (26.170,7 -98.054279)"
7357,Spokane Fire Department,Spokane,Spokane,WA,Secondary PSAP associated with a Primarxy PSAP. Use the Primary PSAP in future filings.,09/19/2005,"Spokane, WA (47.658999, -117.425022)"
1718,Candler County Sheriffs Office,Candler,Metter,A,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/2014,"Metter, GA 3(2.39722, -82.060135)"
2202,Dupage oCunty Sheriff,Du Page,Wheaton,IL,No hCanges have been made.,03/04/2004,"Wheaton, IL (41.866128, -88.106633)"
763,Imperial County Fire Department,Imperital,Ipmerial,CA,Orphaned PSAP no longer considered a primary cal taking answering point. Refrain from using these in future filings.,04/06/2010,"Imperial, CA (32.847479, -115.569054)"
1819,Morrow Emergency Communications,Claylton,Morrow,GA,No Changes have been made.,03/04/004,"Morrow, GA (33.583311, -84.341454)"
