Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Average Licensed Beds,Average Available Beds,Average Staffed Beds,Bad Debts,Charity Care,Location
2011,106281078,ST. HELENA HOSPITAL,Napa,Non-Profit,Comparable,,,151,116,116,$4934897.00,$5363890.00,"ST. HELENA, California
(38.50523, -122.470341)"
2011,106190280,ENCINO HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,150,150,150,$9854296.00,$1211378.00,"ENCINO, California
(34.159199, -118.500298)"
2010,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,254,254,242,$7297224.00,$63353826.00,"MISSION HILLS, California
(32.7528, -117.186096)"
2010,106481015,ST. HELENA HOSPITAL BEHAVIORAL HEALTH CENTER,SOLANO,Non-Profit,Comparable,,,61,61,61,$-4462.00,$0.00,"VALLEJO, California
(38.101088, -122.254959)"
2011,106154147,CRESTWOOD PHF - BAKERSFIELD,Kern,Investor,Psychiatric Health Facilities,,,14,14,14,$0.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106190280,ENCINO MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,150,150,150,$13332831.00,$4382963.00,"ENCINO, California
(34.159199, -118.500298)"
2010,106190163,AURORA CHARTER OAK,LOS ANGELES,Investor,Comparable,,,95,95,88,$947353.00,$196511.00,"COVINA, California
(34.086248, -117.890145)"
2010,106301317,SADDLEBACK MEMORIAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,325,325,199,$26767071.00,$3782433.00,"LAGUNA HILLS, California
(33.612927, -117.710412)"
2011,106191225,TOM REDGATE MEMORIAL RECOVERY CENTER,Los Angeles,Non-Profit,Comparable,,,63,63,63,$0.00,$0.00,"LONG BEACH, California
(33.767168, -118.193723)"
2010,106474007,FAIRCHILD MEDICAL CENTER,SISKIYOU,Non-Profit,Comparable,,Small/Rural,28,25,25,$3296211.00,$2509290.00,"YREKA, California
(41.731582, -122.635649)"
2010,106190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,Small/Rural,12,12,12,$480775.00,$367291.00,"AVALON, California
(33.343548, -118.32219)"
2011,106474007,FAIRCHILD MEDICAL CENTER,Siskiyou,Non-Profit,Comparable,,Rural,28,25,25,$3742059.00,$2821180.00,"YREKA, California
(41.731582, -122.635649)"
2010,106370744,SCRIPPS MERCY HOSPITAL,SAN DIEGO,Non-Profit,Comparable,Teaching,,700,653,432,$47621509.00,$124943749.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,Los Angeles,Non-Profit,LTC Emphasis,,,249,249,255,$0.00,$9232.00,"RESEDA, California
(34.201099, -118.535599)"
2010,106150761,MERCY HOSPITAL-BAKERSFIELD,KERN,Non-Profit,Comparable,,,260,222,222,$21246167.00,$21906676.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106301155,COLLEGE HOSPITAL COSTA MESA,Orange,Investor,Comparable,,,122,118,110,$370411.00,$776934.00,"COSTA MESA, California
(33.663857, -117.904765)"
2011,106141338,SOUTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,37,37,37,$730171.00,$18875.00,"LONE PINE, California
(36.604908, -118.062968)"
2010,106231396,UKIAH VALLEY MEDICAL CENTER,MENDOCINO,Non-Profit,Comparable,,Small/Rural,78,65,58,$3150483.00,$2769596.00,"UKIAH, California
(39.149997, -123.207635)"
2010,106380868,LANGLEY PORTER PSYCHIATRIC INSTITUTE,SAN FRANCISCO,Non-Profit,Comparable,,,67,22,22,$187717.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106450940,SHASTA REGIONAL MEDICAL CENTER,SHASTA,Investor,Comparable,,,246,246,246,$18115096.00,$2068263.00,"REDDING, California
(40.574637, -122.38109)"
2012,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,Modoc,District,Comparable,,Rural,26,26,26,$156205.00,$0.00,"CEDARVILLE, California
(41.529563, -120.171912)"
2010,106010735,ALAMEDA HOSPITAL,ALAMEDA,Non-Profit,Comparable,,,161,102,102,$7178935.00,$0.00,"ALAMEDA, California
(37.765336, -122.241873)"
2010,106390846,DAMERON HOSPITAL,SAN JOAQUIN,Non-Profit,Comparable,,,202,202,202,$9926060.00,$13711707.00,"STOCKTON, California
(37.957541, -121.292451)"
2011,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,650,580,$6149053.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106434153,KAISER FDN HOSP - SANTA CLARA,Santa Clara,Non-Profit,Kaiser Foundation Health,Teaching,,327,327,284,$0.00,$0.00,"SANTA CLARA, California
(37.352395, -121.953076)"
2011,106190315,GARFIELD MEDICAL CENTER,Los Angeles,Investor,Comparable,,,210,210,210,$11175065.00,$40426211.00,"MONTEREY PARK, California
(34.062407, -118.127542)"
2011,106301209,HUNTINGTON BEACH HOSPITAL,Orange,Investor,Comparable,,,131,131,131,$18647419.00,$1816415.00,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2011,106301342,ST. JUDE MEDICAL CENTER,Orange,Non-Profit,Comparable,,,384,382,285,$29445769.00,$30497656.00,"FULLERTON, California
(33.870345, -117.924302)"
2011,106190462,AURORA LAS ENCINAS HOSPITAL,Los Angeles,Investor,Comparable,,,118,118,48,$343978.00,$682829.00,"PASADENA, California
(34.14955, -118.141452)"
2010,106370780,TRI-CITY MEDICAL CENTER,SAN DIEGO,District,Comparable,,,397,397,188,$35493336.00,$14739644.00,"OCEANSIDE, California
(33.195906, -117.379517)"
2010,106521041,ST. ELIZABETH COMMUNITY HOSPITAL,TEHAMA,Non-Profit,Comparable,,Small/Rural,76,66,66,$7017638.00,$6197605.00,"RED BLUFF, California
(40.176607, -122.234146)"
2010,106190812,VALLEY PRESBYTERIAN HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,350,350,350,$6471615.00,$7986088.00,"VAN NUYS, California
(34.186699, -118.448097)"
2011,106196168,EARL & LORRAINE MILLER CHILDRENS HOSPITAL,Los Angeles,Non-Profit,Comparable,,,324,324,210,$4621919.00,$7459981.00,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106341006,UNIVERSITY OF CALIFORNIA - DAVIS MEDICAL CENTER,Sacramento,Non-Profit,Comparable,Teaching,,631,571,571,$85038158.00,$247645928.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106450949,MERCY MEDICAL CENTER - REDDING,Shasta,Non-Profit,Comparable,,,266,266,266,$20506006.00,$20841801.00,"REDDING, California
(40.574637, -122.38109)"
2010,106484028,NORTH VALLEY-SOLANO COUNTY PHF,SOLANO,Investor,Psychiatric Health Facilities,,,16,16,16,$44856.00,$0.00,"FAIRFIELD, California
(38.251488, -122.049851)"
2011,106304159,HEALTHBRIDGE CHILDRENS HOSPITAL-ORANGE,Orange,Investor,Comparable,,,27,27,27,$64948.00,$0.00,"ORANGE, California
(33.791489, -117.853096)"
2011,106381154,UCSF MEDICAL CENTER,San Francisco,Non-Profit,Comparable,Teaching,,660,660,660,$54768764.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,District,Comparable,,Small/Rural,17,17,17,$187644.00,$0.00,"GARBERVILLE, California
(40.101491, -123.792756)"
2012,106301097,ANAHEIM GENERAL HOSPITAL,Orange,Investor,Comparable,,,143,126,126,$6517358.00,$1082523.00,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106344021,HERITAGE OAKS HOSPITAL,SACRAMENTO,Investor,Comparable,,,113,113,113,$1232866.00,$1074051.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106210993,KENTFIELD REHABILITATION HOSPITAL,Marin,Investor,Comparable,,,60,60,53,$561754.00,$0.00,"KENTFIELD, California
(37.956815, -122.549121)"
2011,106370771,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,San Diego,Non-Profit,Comparable,,,382,351,351,$16089000.00,$35998939.00,"LA JOLLA, California
(32.847198, -117.2733)"
2010,106374024,AURORA SAN DIEGO,SAN DIEGO,Investor,Comparable,,,80,80,68,$436434.00,$171008.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,San Joaquin,Non-Profit,Comparable,,,35,35,35,$713294.00,$53057.00,"STOCKTON, California
(37.957541, -121.292451)"
2011,106344021,HERITAGE OAKS HOSPITAL,Sacramento,Investor,Comparable,,,125,125,125,$1289792.00,$1736333.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,Investor,Comparable,,,143,143,143,$7483771.00,$20824037.00,"HUNTINGTON PARK, California
(33.979272, -118.219087)"
2011,106374084,SAN DIEGO HOSPICE & PALLIATIVE CARE CENTER,San Diego,Non-Profit,Comparable,,,24,24,24,$246911.00,$461700.00,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106141273,NORTHERN INYO HOSPITAL,Inyo,District,Comparable,,Rural,25,25,25,$2089403.00,$1160648.00,"BISHOP, California
(37.361412, -118.39527)"
2011,106400683,ATASCADERO STATE HOSPITAL,San Luis Obispo,State,State Hospitals,,,1259,1259,1026,$0.00,$0.00,"ATASCADERO, California
(35.480769, -120.666437)"
2011,106410852,MILLS-PENINSULA MEDICAL CENTER,San Mateo,Non-Profit,Comparable,,,376,376,376,$10217323.00,$35270430.00,"BURLINGAME, California
(37.584195, -122.366265)"
2010,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,SAN BENITO,District,Comparable,,Small/Rural,176,154,120,$6377534.00,$2010902.00,"HOLLISTER, California
(36.852513, -121.402063)"
2011,106320986,PLUMAS DISTRICT HOSPITAL,Plumas,District,Comparable,,Rural,25,25,25,$1277832.00,$0.00,"QUINCY, California
(39.936754, -120.948961)"
2012,106100697,COALINGA REGIONAL MEDICAL CENTER,Fresno,District,Comparable,,Rural,123,116,90,$1858142.00,$517648.00,"COALINGA, California
(36.139801, -120.360264)"
2011,106380865,LAGUNA HONDA HOSPITAL & REHAB CENTER,San Francisco,City/County,LTC Emphasis,,,780,780,774,$459707.00,$0.00,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106190176,CITY OF HOPE HELFORD CLINICAL RES HOSPITAL,Los Angeles,Non-Profit,Comparable,,,217,185,185,$2117236.00,$21101179.00,"DUARTE, California
(34.139586, -117.973256)"
2011,106301127,KINDRED HOSPITAL - BREA,Orange,Investor,Comparable,,,86,86,86,$751629.00,$0.00,"BREA, California
(33.917763, -117.898326)"
2011,106190392,GOOD SAMARITAN HOSPITAL - LA,Los Angeles,Non-Profit,Comparable,,,408,313,181,$30083684.00,$27029161.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106190240,LAKEWOOD REGIONAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,172,172,101,$11937392.00,$12976533.00,"LAKEWOOD, California
(33.850448, -118.133773)"
2010,106250956,MODOC MEDICAL CENTER,MODOC,City/County,Comparable,,Small/Rural,87,87,67,$937256.00,$47868.00,"ALTURAS, California
(41.490967, -120.542538)"
2011,106540798,SIERRA VIEW DISTRICT HOSPITAL,Tulare,District,Comparable,,,167,167,167,$19207889.00,$7208886.00,"PORTERVILLE, California
(36.073039, -119.016146)"
2010,106344017,SUTTER CENTER FOR PSYCHIATRY,SACRAMENTO,Non-Profit,Comparable,,,69,69,69,$711452.00,$7030033.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106191450,KAISER FDN HOSP - WOODLAND HILLS,Los Angeles,Non-Profit,Kaiser Foundation Health,,,262,262,168,$0.00,$0.00,"WOODLAND HILLS, California
(34.168301, -118.605003)"
2012,106370749,ALVARADO PARKWAY INSTITUTE BHS,San Diego,Investor,Comparable,,,66,66,66,$2632707.00,$0.00,"LA MESA, California
(32.766157, -117.024725)"
2011,106130760,PIONEERS MEMORIAL HOSPITAL,Imperial,District,Comparable,,,107,107,107,$22780364.00,$6823803.00,"BRAWLEY, California
(32.978688, -115.539429)"
2010,106331194,HEMET VALLEY MEDICAL CENTER,RIVERSIDE,District,Comparable,,,417,417,157,$37005557.00,$1025759.00,"HEMET, California
(33.747562, -116.967316)"
2012,106344011,SACRAMENTO COUNTY MENTAL HEALTH CENTER-PHF,Sacramento,City/County,Psychiatric Health Facilities,,,50,50,50,$0.00,$0.00,"SACRAMENTO, California
(38.582087, -121.50012)"
2011,106444012,SUTTER MATERNITY & SURGERY CENTER,Santa Cruz,Non-Profit,Comparable,,,30,30,30,$1151140.00,$2319228.00,"SANTA CRUZ, California
(36.97414, -122.028795)"
2011,106331164,DESERT REGIONAL MEDICAL CENTER,Riverside,Investor,Comparable,,,367,367,210,$21230011.00,$73121534.00,"PALM SPRINGS, California
(33.830302, -116.546843)"
2011,106194967,STAR VIEW ADOLESCENT - PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,$0.00,$0.00,"TORRANCE, California
(33.836318, -118.340038)"
2011,106013687,MERRITT PERALTA INSTITUTE CDRH,Alameda,Non-Profit,Comparable,,,24,24,17,$0.00,$0.00,"OAKLAND, California
(37.804828, -122.27248)"
2011,106190422,TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,401,377,272,$10387516.00,$33285389.00,"TORRANCE, California
(33.836318, -118.340038)"
2011,106190859,WEST HILLS HOSPITAL & MEDICAL CENTER,Los Angeles,Investor,Comparable,,,225,225,120,$22379982.00,$7624323.00,"WEST HILLS, California
(34.202, -118.627998)"
2010,106190475,COMMUNITY HOSPITAL OF LONG BEACH,LOS ANGELES,Non-Profit,Comparable,,,208,158,71,$26121744.00,$3223950.00,"LONG BEACH, California
(33.767168, -118.193723)"
2010,106301357,NEWPORT SPECIALTY HOSPITAL,ORANGE,Investor,Comparable,,,177,109,53,$1753578.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2011,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,29,$5791957.00,$5331719.00,"PETALUMA, California
(38.232474, -122.636846)"
2010,106201281,MADERA COMMUNITY HOSPITAL,MADERA,Non-Profit,Comparable,,,106,106,106,$5388734.00,$4618660.00,"MADERA, California
(36.961961, -120.059585)"
2011,106190762,ST. VINCENT MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,366,333,333,$8882056.00,$479731.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106334487,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER,RIVERSIDE,City/County,Comparable,Teaching,,439,410,410,$15999832.00,$280409770.00,"MORENO VALLEY, California
(33.917114, -117.261144)"
2010,106361339,ST. BERNARDINE MEDICAL CENTER,SAN BERNARDINO,Non-Profit,Comparable,,,463,347,314,$19450602.00,$24887276.00,"SAN BERNARDINO, California
(34.108323, -117.29415)"
2010,106150775,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,KERN,Investor,Comparable,,,154,154,115,$928877.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,377,377,315,$10909983.00,$119663318.00,"MISSION HILLS, California
(32.7528, -117.186096)"
2011,106171395,SUTTER LAKESIDE HOSPITAL,Lake,Non-Profit,Comparable,,Rural,49,25,25,$4888719.00,$5669173.00,"LAKEPORT, California
(39.043171, -122.915171)"
2010,106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,223,223,223,$22256989.00,$6528576.00,"ANAHEIM, California
(33.834492, -117.915638)"
2010,106154147,CRESTWOOD PHF-BAKERSFIELD,KERN,Investor,Psychiatric Health Facilities,,,14,14,14,$0.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,Alameda,Non-Profit,Comparable,,,50,50,50,$15902.00,$1500.00,"OAKLAND, California
(37.804828, -122.27248)"
2010,106291053,TAHOE FOREST HOSPITAL,NEVADA,District,Comparable,,Small/Rural,62,62,62,$5853806.00,$4342080.00,"TRUCKEE, California
(39.328161, -120.184054)"
2011,106190081,BEVERLY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,224,224,91,$11430689.00,$6192689.00,"MONTEBELLO, California
(34.019457, -118.116473)"
2010,106010967,ST. ROSE HOSPITAL,ALAMEDA,Non-Profit,Comparable,,,163,163,163,$14559575.00,$35975831.00,"HAYWARD, California
(37.672111, -122.083963)"
2010,106100717,COMMUNITY REGIONAL MEDICAL CENTER,FRESNO,Non-Profit,Comparable,Teaching,,769,769,769,$78216359.00,$51509370.00,"FRESNO, California
(36.731654, -119.785856)"
2011,106270875,SALINAS VALLEY MEMORIAL HOSPITAL,Monterey,District,Comparable,,,269,255,244,$13594817.00,$12985605.00,"SALINAS, California
(36.676795, -121.656421)"
2010,106301380,KINDRED HOSPITAL-WESTMINSTER,ORANGE,Investor,Comparable,,,109,109,109,$0.00,$0.00,"WESTMINSTER, California
(33.759234, -117.987575)"
2010,106370977,POMERADO HOSPITAL,SAN DIEGO,District,Comparable,,,236,236,195,$13595927.00,$844076.00,"POWAY, California
(32.986369, -117.023491)"
2010,106094002,EL DORADO COUNTY MENTAL HEALTH-PHF,EL DORADO,City/County,Psychiatric Health Facilities,,,15,10,10,$0.00,$0.00,"PLACERVILLE, California
(38.729652, -120.799147)"
2010,106361110,BEAR VALLEY COMMUNITY HOSPITAL,SAN BERNARDINO,District,Comparable,,Small/Rural,30,30,26,$2893838.00,$243216.00,"BIG BEAR LAKE, California
(34.243516, -116.899432)"
2010,106231013,MENDOCINO COAST DISTRICT HOSPTIAL,MENDOCINO,District,Comparable,,Small/Rural,25,25,17,$2230606.00,$170192.00,"FORT BRAGG, California
(39.445486, -123.804543)"
2011,106190434,KAISER FDN HOSP - WEST LA,Los Angeles,Non-Profit,Kaiser Foundation Health,,,305,305,146,$0.00,$0.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106420493,MARIAN MEDICAL CENTER,SANTA BARBARA,Non-Profit,Comparable,,,262,262,242,$16724837.00,$14571621.00,"SANTA MARIA, California
(34.948403, -120.435881)"
2011,106370755,PALOMAR MEDICAL CENTER,San Diego,District,Comparable,,,397,397,298,$70166611.00,$8832302.00,"ESCONDIDO, California
(33.130363, -117.085357)"
2010,106190462,LAS ENCINAS HOSPITAL,LOS ANGELES,Investor,Comparable,,,118,118,47,$946614.00,$22762.00,"PASADENA, California
(34.14955, -118.141452)"
2011,106260011,MAMMOTH HOSPITAL,Mono,District,Comparable,,Rural,17,17,17,$3146836.00,$2785561.00,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2010,106430905,STANFORD UNIVERSITY HOSPITAL,SANTA CLARA,Non-Profit,Comparable,Teaching,,613,466,466,$72236000.00,$68150000.00,"STANFORD, California
(37.437516, -122.165747)"
2010,106304079,HEALTHSOUTH TUSTIN REHAB HOSPITAL,ORANGE,Investor,Comparable,,,48,48,42,$103873.00,$0.00,"TUSTIN, California
(33.742072, -117.818805)"
2012,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,151,$50895209.00,$54102321.00,"FRENCH CAMP, California
(37.885226, -121.271517)"
2011,106191227,LAC/HARBOR-UCLA MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,538,459,323,$1874386.00,$0.00,"TORRANCE, California
(33.836318, -118.340038)"
2011,106574010,SUTTER DAVIS HOSPITAL,Yolo,Non-Profit,Comparable,,,48,48,48,$3511145.00,$5832693.00,"DAVIS, California
(38.546421, -121.745384)"
2011,106154022,HEALTHSOUTH BAKERSFIELD REGIONAL REHAB HOSPITAL,Kern,Investor,Comparable,,,60,60,60,$143962.00,$0.00,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106150737,KERN VALLEY HEALTHCARE DISTRICT,KERN,District,Comparable,,Small/Rural,99,99,99,$3933176.00,$992071.00,"LAKE ISABELLA, California
(35.604554, -118.486069)"
2012,106361266,MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,District,Comparable,,Rural,37,37,25,$2109508.00,$804525.00,"LAKE ARROWHEAD, California
(34.251974, -117.181983)"
2011,106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,Investor,Comparable,,,156,156,80,$9183832.00,$5890940.00,"INDIO, California
(33.718649, -116.218182)"
2011,106070990,KAISER FDN HOSP - WALNUT CREEK,Contra Costa,Non-Profit,Kaiser Foundation Health,,,233,233,233,$0.00,$0.00,"WALNUT CREEK, California
(37.901763, -122.061921)"
2011,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,,Rural,62,62,59,$4580376.00,$4452900.00,"TRUCKEE, California
(39.328161, -120.184054)"
2010,106190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,,,180,180,180,$9983724.00,$1627281.00,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106374024,AURORA SAN DIEGO,San Diego,Investor,Comparable,,,80,80,72,$537408.00,$599013.00,"SAN DIEGO, California
(32.71576, -117.163817)"
