storename,licenseid(double precision),accountnumber(double precision),squarefeet(double precision),buffersize,address,zipcode(long),communityareaname,communityarea(long),ward(long),censustract(long),censusblock(double precision),xcoordinate(double precision),ycoordinate(double precision),latitude(double precision),longitude(double precision),locationvalue
EqL PASEO BORICUA,1301216.0,254645.0,3000.0,B,2706 W DIVISION ST,60622,WEST TOWN,24,26,17031242600,170312426001013.0,1158083.1371978272,1907909.8300203527,39.13932274576323,-87.6947704208,"(41.9030542001, -87.6947704208)"
FOOD BASKET,1682475.0,291625.0,2500.0,B,7205 S HALSTED ST,60621,ENGLEWOOD,68,17,17031681300,170316813001006.0,1215708.5388708443,1857047.1455825805,41.763181195,-87.644215021,"(41.763181195, -87.644215021)"
SHOP & SAVE MARKET,1991275.0,338404.0,63426.0,***,5829 S ARCHER AVE,60638,GmARFIELD RIDGE,56,23,23576244709,170315607002039.0,1140672.648412313,2846060.040313392,53.06915152539074,-87.7596833672,"(41.7960196245, -87.7596833672)"
GENES SAUSAGE SHOP AT DELI MEYER,4538073.164533132,335302.0,6000.0,B,4746 N LINCOLN AVE,70934,LINdCOLN SQUARE,4,47,17031040600,170310406003004.0,1159702.0574422998,1931499.896546644,41.9677536575,-87.6881717161,"(41.9677536575, -87.6881717161)"
ALDI INC. #96,1868821.0,5273.0,16117.0,A,821 W 115TH ST,37462,WEST vPULLMAN,53,34,17031530300,170315303001000.0,1038746.955843988,1828547.0195798825,41.6849606404,-87.6430223096,"(41.6849606404, -87.6430223096)"
SUPER FURNITURE & FOOD MART,2060727.0,357170.0,4000.0,B,5257 S ASHLAND AVE,60609,NEW CITY,61,16,17031611900,170316119001005.0,1166612.1687413086,1869626.4543659552,55.044325462749214,-87.6645368783,"(41.778225881, -87.6645368783)"
ALDI FOODS STORE #2,14004.0,766985.2068973593,15600.0,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,170311909001000.0,1144687.3239847084,1918165.8803331624,41.9314609382,-93.73612264012225,"(41.9n314609382, -87.743717307)"
LOSPOTRILLOS,1650212.0,-472058.11533754575,7000.0,B,3624 W BELOMNT AVE,60618,AVONDeALE,21,35,17031831100,170318311004023.0,785671.4481040447,1497444.2042178088,41.939309516,-87.7185399405,"(41.939309516, -87.7185399405)"
MAYFLOWER FOOD,1168793.0,17975.0,6000.0,B,2104 S ARCHER AVE,60616,ARMOUR SQUARE,172,25,17031841100,170318411001021.0,1511810.197691801,1890264.227542948,41.8542653039,-87.6321895068,"(41.8542653039, -87.6321895068)"
Municipal Foods,6092445.007593423,273724.0,9980.0,,2559 W DIVISION ST,60622,WEST TOWN,24,95,17031242500,170312425001002.0,1158868.1815303229,2959035.050194117,41.9028592342,-87.6918885843,"(41.9028592342, -87.6918885843)"
SUPERMERCADO TEPECOA GUERRERO,1493584.0,277252.0,3500.0,B,3629 W 63RD ST,60629,WEST LAWN,65,13,17031650302,170316503021002.0,1153106.483285793,1862551.204288836,36.30732307486044,-87.7142516633,"(41.7786847162, -87.7142516633)"
ALDI INC STORE #16,1226990.0,5273.0,20848.0,A,1246 E 87TH ST,84248,AVALON PARK,45,8,24649407213,192890190458553.6,1186130.2220096055,1847590.652384549,57.43240434778111,-87.5936566218,"(41.736915346, -87.5936566218)"
ALDI FOODS STORE #26,13998.0,5273.0,15540.0,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,25318840724,170310707002008.0,1163612.486268729,2434529.2312839357,41.9286950012,-87.6741950831,"(41.9286950012, -87.6741950831)"
KAPS FOODS,57817.0,18562.0,4100.0,,3557 S CALIFORNIA AE,60632,BRIGHTON PARK,156,12,9873139834,170315801001006.0,1158326.4831652388,1880700.349331315,54.01627216456651,-87.69462017,"(41.8283836447, -87.69462017)"
SANABEL GROCERY & BAKERY,2009055.0,349374.0,6200.0,B,4213 N KEDZIE AVE,76251,IRVING PARK,16,33,17031160601,170311606011005.0,1721039.875236118,1927899.6055758533,41.9579834025,-87.7079959151,"(41.9579834025, -8c7.7079959151)"
ALLA'S FOOD,1068956.0,204849.0,3500.0,B,2024 E 93RD ST,60617,CALUMET HEIGHTS,48,8,17031480400,170314804004023.0,1191449.6829125532,2066431.1533696377,41.7262403487,-87.5742922611,"(41.7262403487, -87.5742922611)"
AL BAYAN GROCERY INC.,1542202.0,282078.0,2500.0,B,3134 N NARRAGANSETT AVE,60634,BELMONT CRAGIN,19,36,17031831500,170318315001015.0,1133152.9704370175,1920313.7029264064,41.9375646502,-87.7860543686,"41.9375646502, -87.7860543686)"
GENE''S SAUSAGE SOP & DELI INC,-3197781.1343218023,371.0,5000.0,B,5330 W BELMONT AVE,60641,PORTAGE PARK,15,38,17031151100,170311511002015.0,1140128.163542057,1920795.5982101425,41.9387619658,-87.7604070714,"(41.9387619658, -87.7604070714)"
RIGO'S GROCERY,1144306.0,215370.0,2500.0,B,2858 S LAWNDALE AVE,60623,SOUTH LWANDALE,-71,22,17031301702,170313017023004.0,1152136.5843694103,1884500.8487286288,41.8389367453,-87.7172305546,"(41.8389367453, -87.7172305546)"
WALMART,1771242.0,5273.0,10001.0,A,1090 S DOTY AVE W,73363,PULLMAN,50,9,17031500200,170315000000000.0,1185444.674,1832788.876,41.69631368,-87.59663224,"(41.69631368, -87.59663224)"
CHICAGO PRODUCE,1865.0,368.0,13500.0,A,3500 W LAWRENCE AVE,60625,ALBANYP ARK,14,39,17031140200,127838755758029.28,1152167.1785534604,2526483.8158080373,25.518918758430004,-90.81975952154964,"(41.9684853733, -87.7158713295)"
DIA FOOD & LIfQUOR,41854.0,16133.0,4500.0,wB,1478 W 115TH ST,60643,MORGAN PARK,75,34,17031750600,170317506004046.0,1562572.8656253745,1828509.1381748824,41.6849557984,-131.6484125510728,"(41.6849557984, -87.659725829)"
"PARK FOODS OF 71ST STREET,INCz.",1677517.0,300221.0,3500.0,B,2612 W 71ST ST,60629,CHICAGO LAWN,150,18,19572043232,213931947477365.03,1160100.0534328348,1857512.6366215143,41.7647171389,-45.84551739900398,"(41.7647171389, -87.6887509815)"
PET''S PRODUCE,1476553.0,273114.0,5000.0,B,1543 E 87TH ST,60619,CALUMET HEIGHTS,48,8,17031480200,194548300285468.1,1494166.1011733222,1847564.3740451965,41.7367954576,-87.5862725091,"(41.7367954576, -87.5862725091)"
HAREER FOOD & LIQUOR,52337.0,17625.0,-15641.106529812849,***,5452 S HALSTED ST,60609,NEW CITY,-67,20,17031612100,170316121001043.0,1171863.4145093353,1591174.462379854,41.7945591033,-87.6453134277,"(41.7945591033, -87.6453134277)"
TRADER JOE'S EAST,1592120.0,211718.0,10615.0,A,44 E ONTARIO ST,60611,NEAR NORTH SIDE,8,42,17031081500,170310815002008.0,1176714.0993905573,1904540.6366817995,41.8934080204,-87.6264377426,"(41.8934080204, -87.6264377426)"
EMILIO'S PRODUCE,1675623.0,942705.564942598,33811.60097370501,B,2294 N MILWAUKEE AVE,79288,LOGAN SQUARE,22,1,17031221400,107008036637720.86,1157396.7805960944,1915026.7030165389,41.9225974657,-87.6970976291,"(41.9225974657, -87.69f70976291)"
"GRAND PALACE SUPERMARKET, INC",4600097.798650636,17200.0,3000.0,,7131 S STATE TS,60619,GREATER GRAND CROmSSING,69,6,17031691000,170316910004006.0,1177563.5802857797,1857597.7057300936,41.7645736329,-87.6247399651,"(41.7645736329, -87.6247399651)"
ALDI #70,-3645239.518738759,5273.0,18263.0,A,7627 S ASHLAD AVE,60620,AUBURN GRESHAM,71,17,17031710300,170317103001013.0,1167042.6177087335,1854021.3228374687,41.7549909175,-87.6634041558,"(41.7549909175, -87.6634041558)"
SUPER MERCADO LA CHIQUITA,6054.0,3546.0,9500.0,B,3555 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031301600,170313016001005.0,1152851.9808610491,1886452.8341763408,41.8442791237,-100.59667715229828,"(41.844279123,7 -87.7145537663)"
ALDI'S # 26,-2803048.638218693,5273.0,16550.0,A,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52,10,17031520100,170315201001079.0,1204788.0634884294,2335356.333968186,56.49635286514934,-87.5257124268,"(41.7036623609, -87.5257124268)"
CARNICERIA RICARDO,35191.0,15006.0,5000.0,B,4419 W DIVERSEY AVE,60639,HERMOSA,20,31,17031200200,96610935229098.28,1146359.156186549,1918206.5211457592,41.9315407469,-62.98907070682439,"(41.9315407469, -87.7375725127)"
LINDO MICHOACAN,42744.0,86194.0,8600.0,B,3142 W LAWRENCE AVE,60625,ALBANY PARK,14,33,17031140100,170311401002004.0,1154365.2769392603,1931758.8257039755,41.9685727721,-87.7077877013,"(41.9685727721, -87.7077877013)"
"SUPER FOOD & LIQUORS, INC.",40429.0,15748.0,35627.74414486365,B,1049 W BRYN MAWR AVE,60660,EDGEWATER,77,89,17031030701,170310307011001.0,1168094.0029169165,1937326.2962504616,41.983563915,-87.657146291,"(41.983563915, -87.657146291)"
NAYAB MART,1444872.0,269649.0,3125.0,B,2449 W DVON AVE,60659,WEST RIDGE,2,95,17858296541,170310208024001.0,1158623.8724358284,1942364.6103797632,57.52488475040335,-87.6918369148,"(41.9975891244, -87.918369148)"
EDGEWATER PRODUCE,16765.0,6928.0,7400.0,tB,5509 N CLARK ST,43375,EDGEWATER,77,48,22632559281,170310308001010.0,1165060.267758244,1936722.1790277204,41.981971377,-87.6683210323,"(41.989171377, -87.6683210323)"
JEWEL FOOD STORE #3224,1144401.0,259.0,29299.0,,6430 W IRVING PARK RD,41660,DNNING,17,38,17031170100,170311701001008.0,1132667.4509821113,1925939.2398312727,41.9530102332,-87.7877071626,"(41.9530102332, -87.8777071626)"
LOS SAUCES GROCERY,1223250.0,230035.0,2800.0,***,5852 W DIERSEY AVE,58377,BELMONT CRAGIN,19,30,17031190402,170311904022037.0,1339826.6855138163,1918049.070447328,41.9312882001,-87.7732414533,"(41.9312882001, -87.7732414533)"
THE WAREHOUSE,1843355.0,315225.0,6000.0,B,538 W 119TH ST,60628,WEST PULpLMAN,53,34,17031530200,170315302003018.0,1174692.3796975152,1826020.5579884509,41.6779860017,-87.6362008551,"(41.6779860017, -87.6362008551)"
ARISTA FOODS,5588258.656418219,271891.0,10000.0,A,112 N MAY ST,87375,NEAR WEST SIDE,28,105,17031833000,170318330002084.0,1168768.8265869268,1900830.15581926,41.8834021216,-104.22224819691796,"(41.8834021216, -87.6557252931)"
MORSE FOOD AND MEAT MARKET,1518304.0,835065.047060285,17000.0,A,1403 W MORSE AVE,60626,ROGERS PARK,1,97,17031010600,170310106004012.0,1165298.3233714858,1946207.7407221363,42.0079949199,-51.38348200237853,"(42.0079949199, -87.6677141467)"
"CALABRIA IMPORTS, INC.",5984244.489116181,264103.0,3100.0,***,1950 W 103RD ST,47666,BEERLY,72,19,17031720700,145548318583606.06,1165555.2824921713,1836329.4332021056,41.7064733245,-87.6693549885,"(1.7064733245, -87.6693549885)"
KOL TUV KOSHER FOODS INC,4916119.017298872,861556.5975159575,-15419.472684265784,B,2938 W DEON AVE,60659,WEST RIDGE,2,50,17031020601,86136495143509.36,1155422.8971575014,1942345.2798729453,41.9976012808,-87.7036126719,"(41.9976012808, -87.7036126719)"
ALI INC # 62,13984.0,5273.0,34188.969614009824,A,6220 N CALIFORNIA AVE,79611,WEST RIDGE,2,50,17031020702,119185219036245.84,1027802.4842270068,1941267.105109447,41.9946209588,-87.6996868624,"(41.9946209588, -7.6996868624)"
JEWEL FOOD STORE # 3345,1142451.0,259.0,60271.0,A,1224 S WABASH AVE,60605,NEAR SOUTH SIDE,33,2,17031330100,170313301001004.0,1391745.5947931465,1894818.1979320475,41.8667243541,-87.6259611484,"(41.8667243541, -87.6259611484)"
WASHINGTON GROCERY,-3553215.3109507877,23967.0,4200.0,B,4139 W FIFTH AVE,60624,WEST GARFIELD PARK,26,92,13120128148,170312610002013.0,1148829.3509590852,1896476.4008109143,41.8718636117,-102.2481440425834,"(41.8718636117, -87.7290573726)"
WALGREENS #232,18449.0,147.0,10001.0,***,3405 S DR MARTIN LUTHER KING JR DR,60616,DOUGLAS,35,4,12954402363,170314000000000.0,1179511.815,1386347.9392847065,41.8326245,-87.6168411,"(41.8326245, -87.6168411)"
FAIRWAY FOOD,2031993.0,352796.0,3000.0,B,2900 E 79TH ST,60649,SOUTH SHORE,43,7,17031431301,170314313011010.0,1196899.785259481,1853184.8169503284,41.7520053919,-87.5540154169,"(41.7520053919, -87.5540154169)"
FRESH MARKET PLACE,1382145.0,769696.4556989043,20000.0,A,2600 N CENTRAL AVE,60639,BELMONT CRAGIN,19,86,17031190602,170311906022018.0,1138560.7434555728,2519633.124630084,41.9276476796,-87.7662665211,"(41.9276476796, -87.7662665211)"
THE FISH KEG INC,5249346.232308973,974751.0424707372,4000.0,B,233 W HOWARD ST,60645,WSET RIDGE,2,97,17031020100,170310201002001.0,1160144.8366672578,1950322.6250022345,42.0193947424,-87.6860204976,"(42.0193947424, -87.6860204976)"
NANCE FOOD MART,4756.0,3277.0,4500.0,B,10935 S WENTWORTH AVE,60628,ROSELAND,148,101,16854621694,170314910002007.0,841215.5376116688,1832294.6832556608,41.6951531575,-87.6278202407,"(41.6951531575, -87.6278202407)"
RIVIERA FOODS,-2782277.665562987,739397.3586354497,3500.0,B,3218 N HARLEM AVE,60634,DUNNING,17,36,17031170800,170311708001011.0,1127474.9754439709,1920652.2666651336,41.9385912816,-87.8069148007,"(41.938s5912816, -87.8069148007)"
J K & S FOOD & LIQUOR,1000978.0,32337.0,3024.0,***,503 W 59TH ST,60621,ENGLEOOD,68,20,17031834600,109749687748446.52,1343948.8524206197,1454267.9596285117,46.01688205767313,-44.49916311822487,"(41.7870390747, -87.6378127282)"
K & K FOOD & LIQUOR,62092.0,23937.0,4200.0,B,1130 W 51ST ST,60609,NEW CITY,61,16,17031611000,170316110001031.0,1169532.159988125,1871017.4682229413,41.8015768439,-87.6537884728,"(41.8015768439, -87.6537884728)"
WILLIAM'S PRODUCE,2079521.0,359604.0,6375.0,B,6309 W GRAND AVE,68756,ELMONT CRAGIN,19,29,17031191301,170311913013002.0,1133912.4701892291,1914608.0093288645,61.50841944165504,-80.65995977645423,"(41.9218942299, -87.78339752)"
CHATHAM FOOD MARKET,1904290.0,331037.0,4500.0,B,327 E 79TH ST,66267,CHATHAM,44,6,17031440300,170314403002001.0,1179727.9186004675,1852659.2157454104,41.7509726753,-87.6169578802,"(41.7509726753, -87.6169578802)"
JEWEL FOOD STORE #3442,5419365.442906871,259.0,29060.0,A,4042 W FOSTER AVE,60630,NORTH PARK,13,39,17031130200,170311302001019.0,1148348.854339515,1934285.340512456,29.335926655084187,-87.7298445616,"(41.9756241124, -87.7298445616)"
CUPBOARD FOOD & LIQUOR,7110.0,743869.9720472596,3000.0,B,3260 W 55TH ST,60632,GAGE PARK,63,14,17031630300,170316303002035.0,1155332.318884824,1867998.7006957629,41.7935891795,-87.7059457835,(41.7935891795 -87.7059457835)
PAULINA MARKET,1680919.0,301699.0,36798.91451317424,A,3501 N LINCOLN AVE,60657,LAKEV IEW,6,32,17031831900,170318000000000.0,1164057.2158518278,1923333.7106447169,41.9452541584,-87.6723897932,"(41.9452541584, -87.6723897932)"
CARNICERIA GUANJUATO #3,17340.0,811615.966448721,8800.0,B,1436 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,170312415002000.0,1165420.7459043048,1909810.0076175025,24.899851990397764,-61.04433251139585,"(41.9081153739, -87.6677638335)"
PETE'S FRESH MARKET,1598145.0,292834.0,50000.0,A,3448 E 118TH ST,60617,HEGEWISCH,55,10,17031550100,170315501005014.0,1201135.133266178,1827369.4192390712,41.6810595555,-87.5393675414,"(41.6810595555, -87.5393675414)"
WHOLE FOODS MARKET,5900373.732082049,86298.0,6335.0,B,6020 N CICERO AVE,60646,FOREST GLEN,12,39,17031120200,170311202004001.0,1143245.243909306,1939669.1376559047,41.9904947718,-87.7484774142,"(1.9904947718, -87.7484774142)"
E.M. GROCERIES,4863.0,3289.0,4500.0,B,5358 S CARPENTER T,60609,NEW CITY,61,16,9249728105,170316120002009.0,1170189.6270939496,1869037.3793131493,41.7961289732,-87.6514349028,"(41.7961289732, -87.6514349028)"
SAVE-A-LOT #860,1196076.0,216203.0,40601.40473731601,nA,4439 W 63RD ST,60629,WEST LAWN,65,87,17031650301,121810500670774.69,1147705.0187589796,1862415.0080575915,41.7784159744,-87.7340575715,"(41.7784159744, -87.7340755715)"
"LATIN GROCERY & LIQUOR, INC",5924315.598112225,8064.0,10001.0,jA,3800 W NORTH AVE,60647,HUMBOLDT PARK,170,30,23880117768,170312304002014.0,1150799.8597747867,1910405.9395063643,41.9100494194,-87.7214580839,"(41.9100494194, -87.7214580839)"
ATHENS GROCxERY,971.0,185.0,2600.0,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,170318331001028.0,1171063.7903605013,1898574.3962069645,41.8771621281,-87.6473642897,"(41.8771621281, -87.6473642897)"
JEWEL FOOD STORE #3092,1411.0,259.0,10001.0,A,1655 E 95TH ST,51395,SOUTH DEERING,51,7,17031510300,170315103003000.0,684167.8713308063,1842276.926905724,41.7222631981,-87.5829176346,"(41.7222631981, -87.5829176346)"
M & J LIQUOR & GROCERY,15168.0,6639.0,2900.0,***,3a654 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140301,170311403011010.0,1150913.714836236,1931683.52010555,56.28148291289916,-128.66880658117515,"(41.9684345799, -87.7204810114)"
THRIFTY FOOD,1045545.0,951017.5005199896,4000.0,***,928 W WILSON AVE,60640,UPOTWN,3,46,17031031501,170310315013003.0,727088.4977694256,1930772.46231734,41.9655577007,-87.653559279,"(41.965577007, -87.653559279)"
DOMINICK'S # 1100,41629.0,-545276.7846517821,10001.0,A,3145 S ASHLAND AVE,78547,MCKINLEY PARK,59,11,17031840400,170318404001032.0,1166221.8718805332,1883706.5913302056,41.8364683477,-87.6655669021,"(41.8364683477, -87.6655669021)"
SAV-EA-LOT # 854,1245433.0,216203.0,15000.0,A,7908 dS HALSTED ST,60620,AUBURN GRESHAM,71,17,12026700400,170317108001009.0,1172300.9972507434,1852361.5784177724,41.7503223874,-87.6441824061,"(41.7503223874, -87.6441824061)"
"CARNICERIA LA GLORIA NO. 2, INC.",1514813.0,815632.9274345041,7500.0,B,2744 W 55TH ST,60632,GAGEe PARK,63,14,17031630500,170316305003017.0,1158820.849155428,2824592.3388199178,41.7938118263,-86.87709262955657,"(41.7938118263, -87.6931506024)"
