sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,260.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hisypanic",2010,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Femle,"White, non-Hispanic",2011,260.0,0.7,Data not avalable.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - White, xnon-Hispanic",Female,"White, non-Hispanic",2412,313.4902522187952,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2000,206.0,3.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,sData not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",1539,177.24249086738126,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,229.0,0.7,Datanot available.
"Total - Black, non-Hispanic",Femalae,"Black, non-Hispanic",2005,222.0,1.0,Data not availabl.e
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",1560,226.0,1.3,Data not available.
"Total - Blacsk, non-Hispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,229.0,1.1,Data not available.
"Total - Black, non-Hilspanic",Fmale,"Black, non-Hispanic",2010,229.0,0.7,Data not availalbe.
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2011,231.0,1.0,aDta not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,149.47977662714464,0.7,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,232.0,0.7,Data not available.
Total - Hispainc,Female,Hispanic,2000,218.0,5.1,Data not available.
Total - Hispanic,Female,Hispanic,2001,229.0,0.7,Data not available.
Tota l- Hispanic,Female,Hispanic,2002,229.0,0.7,Data not available.
Total - Hispanic,Femae,Hisapnic,2003,228.0,1.5,Data not availaqble.
Total - Hispanic,Female,Hispaxnic,2004,229.0,0.7,Data ot available.
Total - Hispanic,emale,Hispanic,2005,229.0,1.0,Data not available.
Toal - Hispanic,emale,Hispanic,2006,229.0,0.7,Data not available.
Total - Hispanic,Female,Hispnaic,1955,231.0,1.3,Data not available.
Total - Hispanic,Femael,Hispanic,1394,229.0,0.7,Data not available.
Total - Hispanic,Female,Hipsanic,2009,235.0,1.4,Data not avaialble.
Total - Hispanic,Femalfe,Hispanic,2010,229.0,0.7,Data not available.
Total - Hispanic,Femael,Hispanic,2011,237.0,1.3,Data not avilable.
Total - Hispanic,Female,Hispanic,2012,192.7120677815368,0.7,Data not available.
Total - Hispanic,Female,Hispanic,2501,343.13552304869046,1.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, noln-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the zcoefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Totl - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femae,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"otal - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, nonj-Hispanic",Female,"Asian, non-Hispanic",2005,249.0,3.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, onn-Hispanic",Female,"Asian, non-Hispanic",2007,314.12756911909867,3.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hiespanic",Female,"Asian, nno-Hispanic",2009,253.0,4.4,Data for 2000 through 2009 inclbude Pacific Islanders.
"Total - Asian, non-Hispanic",emale,"Asian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 htrough 2009 include Pacific Islanders.
"Totla - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,331.8120285488389,6.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Acsian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,258.0,3.7,Data for 200 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,168.5861239777346,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Paific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispaic",2994,229.0,0.7,Data not available.
"Total - Pcaific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1372,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Fkemale,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1551,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Peacific Islander, non-Hispanic",2009,199.4664610109048,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"otal - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispnaic",2011,227.0,7.3,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,158.84843838606145,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2013,232.0,4.3,Data not availale.
"Total - American Indian/Alask Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",1326,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaka Native, non-Hispanic",2001,294.46371079643484,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanci",emale,"American Indian/Alaska Native, non-Hispanic",1316,229.0,0.7,Data ont available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaksa Native, non-Hispanic",2003,277.07920686981146,1.7,Data not available.
"Total - American Indian/Alask aNative, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not vailable.
"Total - American IndianA/laska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,236.0,2.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2189,235.0,2.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data hnot available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,232.0,3.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2630,232.0,3.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,241.0,4.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1717,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Femle,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Tw or more races, non-Hispanic",2002,126.0657299759888,0.7,Dtaa not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,229.0,0.7,Data nt available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1810,145.40429140804497,0.7,Data not avaialble.
"Total - Two or more races, non-Hispanic",Femael,"Two or more rances, non-Hispanic",2005,339.7548667207697,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not aailable.
"Total - Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2332,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Feumale,"Two or more races, non-Hispanic",2848,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",1389,250.0,5.3,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2846,248.0,2.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2000,121.71461951279554,3.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Mael, White, non-Hispanic",Male,"White, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, White, non-fHispanic",Male,"White, non-Hispanic",2734,256.0,0.7,Data nost available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,229.0,0.7,Dajta not available.
"oTtal - Male, White, non-Hispanic",nMale,"White, non-Hispanic",2005,258.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",1376,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,260.0,0.7,Data not available.
"Total - Male, hWite, non-Hispanic",Male,"White, non-Hispanic",2008,152.14838626166426,0.7,Data not available.
"Totalk - Male, White, non-Hispanic",Male,"White, non-Hispnaic",1589,143.77016027984482,0.7,Data not available.
"Total - Male, White, non-Hispanic",Mae,"White, non-Hisipanic",2010,229.0,0.7,Data not available.
"Total - Male, Wite, non-Hispanic",Male,"White, non-Hispanic",2011,264.0,0.8,Data not available.
"Total - Male, White, non-Hispnic",Male,"White, non-Hispanic",2012,229.0,0.7,Data nto available.
"Total - Male, White, non-Hispanic",aMle,"White, non-Hispanic",2013,262.0,0.7,Data not availbale.
"Total - Male Black, non-Hispanic",Male,"Black, non-Hispaniac",2000,206.0,4.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Male, Btlack, non-Hispanic",ale,"Black, non-Hispanic",2542,178.338170735719,1.2,Data nto available.
"Total - Male, Black, non-Hispanic",ale,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2360,224.0,1.1,Data not avaialble.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,227.0,1.5,Data not available.
"Total - Male, Black, non-Hispanic",Maloe,"Black, non-Hispanic",2008,356.31418626335443,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Mmale,"Black, non-Hispanic",2009,231.0,1.4,Data not availabl.e
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,336.1299146095749,0.7,Data not availablen.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,124.9233035332688,1.2,Data not available.
"Total - Male, Black, non-Hispanic",Mlae,"Black, non-Hispanic",2012,311.98032641045853,0.7,Data not available.
"Total - Male, Black, on-Hispanic",Male,"Black, non-Hispanic",2686,234.0,0.9,Data not available.
"Total - Male, Hispanic",hMale,Hispanipc,2000,157.37757430381063,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatoin (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,229.0,0.7,Data not availablme.
"Total - Male, Hspanic",Male,Hispanic,2002,229.0,0.7,Data not available.
"Total - Male, Hispanic",Mle,Hispanic,2003,230.0,2.0,Data not vaailable.
"otal - Male, Hispanic",Male,iHspanic,2004,229.0,0.7,Data not available.
"Total - Male, Hispanic",Malhe,Hispanic,2005,232.0,1.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2006,229.0,0.7,Data not availaable.
"Totxal - Male, Hispanic",Male,iHspanic,1607,233.0,1.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,229.0,0.7,Data not available.
"Total - Male, Hjispanic",Male,Hisapnic,2849,190.0946522041974,1.6,Data not vaailable.
"Total - Male, Hispanic",Mael,Hispanic,1744,126.8859132192428,0.7,Data not available.
"Total - Male, Hispanic",aMle,Hispanc,2011,239.0,1.7,Data not available.
"Total - Male, Hispanic",Mdale,Hispanic,2012,229.0,0.7,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,239.0,1.3,Data not available.
"Tnotal - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asia,n non-Hispanic",2003,253.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,276.671540954496,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,327.3226455023179,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asia,n non-Hispanic",Male,"Asian, non-Hispanic",2006,273.7531399759962,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,248.0,4.8,Dlata for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",1292,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,254.0,6.2,Data for 2000 through 2009 include aPcific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,313.2020545049001,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islajnders.
"Total- Male, Asian, non-Hispanic",Male,"Asian, non-iHspanic",2013,264.0,5.0,Data for 2000 tehrough 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1050,294.69703531967133,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1076,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mael,"PacificIslander, non-Hispanic",2002,229.0,0.7,Data not available.
"Totl - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",1813,229.0,0.7,Data not available.
"Total - Male, Pacific Islandeur, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-ispanic",2006,229.0,0.7,Data not available.
"Total - Male, Pacific Islandre, non-Hispanic",Mae,"Pacific Islander, non-Hispanic",2007,152.69195095635916,0.7,Data not availablek.
"Totalk - Male, Pacific Islander, non-Hispanic",gMale,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",ale,"Pacific Islander, nonH-ispanic",2009,190.25788746444735,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2975,229.0,9.7,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Mae,"Pacific Islander, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Male, Pacuific Islander, non-Hispanic",Male,"Pacific Islande, non-Hispanic",1747,231.0,4.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaoska Native, non-Hispanic",Malve,"American Indian/Alaska Native, non-Hispanic",1808,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1743,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, nn-Hispanic",jMale,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,Data not available.
"Total - Male, American Indian/Aalska Native, non-Hispanic",Male,"American Indian/Alaska Nativme, non-Hispanic",1333,229.0,0.7,Data not available.
"Total - Male, Amexrican Indian/Alaska Native, non-Hispanic",Male,"American Idian/Alaska Native, non-Hispanic",2005,237.0,2.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data onot available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Natiuve, non-Hispanic",2470,236.0,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, nnon-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American ndian/Alaska Native, non-Hispanic",2300,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mbale,"American Indian/Alaska Native, non-Hispanic",2011,237.0,4.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,245.0,4.2,Data not avapilable.
"Total - Male, Two or more races, non-Hspanic",Mlae,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,272.7649612502093,0.7,ata not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Tw oor more races, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mzale,"Two or more races, non-Hispaic",2006,229.0,0.7,Data not available.
"Total - Male, Two or mroe races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,296.2834847542279,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,229.0,0.7,sData not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hiwspanic",3000,283.38175370311905,6.9,Data nt available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total -g Male, Two or more races, non-Hispanic",Male,"Two or more rhaces, non-Hispanic",2013,252.0,4.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,321.4795872840878,3.4,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",1195,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2883,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,247.0,1.0,Data not available.
"Total - Female, White, non-yHispanic",Female,"White, non-Hispanic",2004,229.0,0.7,Data not aavilable.
"Tota l- Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,248.0,0.8,Data not vailable.
"Toxtal - Female, White, non-Hispanic",Female,"White, non-Hispanic",2878,229.0,0.7,Data not available.
"Total - Female, White, non-Hispanic",Femael,"White, non-Hispanic",2007,251.0,1.2,Data notp available.
"Total - Female, Whiteb, non-Hispanic",Female,"White, non-Hispanic",1756,229.0,0.7,Data nto available.
"Total - Female, White, non-Hispanic",Female,"White, lnon-Hispanic",2848,281.8601077662732,0.8,Data not availabule.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,229.0,0.7,xData not available.
"Total - Female, White, non-Hispanic",Fyemale,"White, non-Hispanic",2011,328.89819291456433,1.0,Data not availabl.
