OBJECTID,SITENAME,DATA_S_YR,CREAT_YR,DATA_METH,DATA_ACCU,COWARDIN,COWAR_S_YR,HGM,HGM_S_YR,POLY_S_ID,FIELD_OBS_LWI,DATA_S_TYP,HYD_BAR,HYD_DRA,HYD_FLO,WET_MGT,COV_TYP,VEG_SPEC,VEG_COND,VEG_S_YR,LSW,GOAL_5_17,SAC,DEVELOP,DSL_WD,DSL_FILE,MOSAIC,Acres,Shape__Area,Shape__Length
39,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,TRU-1,Visual,2,,,,,,FRALAT/VERAME-GLYOCC,,,Y,,,,,,,1.715539863507,13723.015625,3646.71929039309
40,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,TRU-10B,Onsite,2,,,,,,FRALAT/SALSCO-ROSNUT/CAMQUA-POATRI,,,Y,,,,,,,1.67557774440174,13405.015625,1057.55422783808
41,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-9Af,Onsite,2,,,,,,LOLMUL,,,N,,,,,,,28.4825019432503,227853.21875,3677.39394132584
42,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-10Af,Onsite,2,,,,,,GNAPAL-RORCUR,,,N,,,,,,,1.7089536106969,13671.9921875,719.860396630687
43,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Af,Onsite,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,1.4627729265979,11702.578125,1075.9798060425
44,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-10B,Onsite,2,,,,,,FRALAT/SOLDUL/AGRTEN-JUNPAT,,,Y,,,,,,,1.34609960216728,10768.984375,738.54493678885
45,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Hf,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0313373199538743,250.6796875,63.6559145090316
46,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,TRU-10G,Visual,2,,,,,,FRALAT/CRADOU/LOLMUL-POAANN,,,Y,,,,,,,5.43542781384275,43480.359375,2410.95901815862
47,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Bf,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.00671031518858182,53.6640625,55.6378037630904
48,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-10Cf,Onsite,2,,,,,,CARDEN-JUNPAT,,,N,,,,,,,2.67220233206045,21376.7265625,891.836103143101
49,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Cf,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0150626668996275,120.5,73.1094552214469
50,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-13,Onsite,2,,,,,,ALOGEN-GLYOCC,,,N,,,,,,,1.69019263170547,13520.9921875,1042.84404498812
51,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Df,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0140589103323544,112.5,63.6740436481698
52,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Ef,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0170075526221253,136.0859375,75.1567285638305
53,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-9Bf,Visual,2,,,,,,LOLMUL,,,N,,,,,,,0.591951874640591,4735.4921875,301.209836750591
54,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Gf,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0280397121545005,224.34375,119.161025117212
55,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-11Ff,Visual,2,,,,,,ALOPRA-HOLLAN,,,N,,,,,,,0.0455127574972122,364.15625,105.288937236901
56,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,TRU-5,Visual,2,,,,,,GLYOCC-CALSTA,,,Y,,,,,,,0.384025749635313,3072.0234375,751.400496504318
57,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-10Ff,Visual,2,,,,,,LOLMUL-GNAPAL,,,N,,,,,,,0.48847128818012,3907.5234375,404.258231227173
58,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,TRU-7,Onsite,2,,,,,,HOLLAN-AGRTEN,,,N,,,,,,,0.200035532354981,1600.1640625,302.84938936657
59,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,TRU-6,Onsite,2,,,,,,HOLLAN-AGRTEN,,,N,,,,,,,0.184956570779101,1479.5390625,359.412233382243
60,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,BUR-11,Onsite,2,,,,,,FRALAT/CRADOU/PLAFIG-ALOGEN,,,Y,,,,,,,0.894429554632382,7154.9296875,341.82680541728
61,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,TRU-8,Onsite,2,,,,,,ALOPRA-AGRTEN,,,N,,,,,,,0.384449237456974,3075.3203125,221.46783170446
62,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-10Hf,Onsite,2,,,,,,LOLMUL,,,N,,,,,,,1.36522790051412,10920.53125,649.937465832797
63,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,BUR-2,Visual,2,,,,,,FRALAT/TYPLAT-JUNEFF,,,Y,,,,,,,4.27048616042616,34154.9765625,7740.93010262264
64,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-9Df,Visual,2,,,,,,LOLMUL,,,N,,,,,,,0.16517338016678,1321.25,176.294664172649
65,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,TRU-4f,Onsite,2,,,,,,LOLMUL-CALSTA,,,N,,,,,,,32.3109650956563,258442.984375,4915.29382502805
66,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,BUR-13,Visual,2,,,,,,ALOGEN,,,N,,,,,,,0.151841151873502,1214.515625,311.584577536495
67,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,BUR-12,Visual,2,,,,,,ALOGEN,,,N,,,,,,,0.177148276118665,1417.046875,547.573657161292
68,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-9Bf,Onsite,2,,,,,,GNAPAL-RORCUR,,,N,,,,,,,0.103933951478897,831.3515625,128.85110936682
69,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PSS,,U,,BUR-9C,Visual,2,,,,,,U,,,N,,,,,,,0.0246693456152158,197.3515625,89.532808265345
70,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-9A,Onsite,2,,,,,,FRALAT/CAROBN-AGRTEN,,,Y,,,,,,,0.721002711110932,5767.0546875,422.95135366435
71,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEMf, POW",,U,,BUR-3D,Visual,2,,,,,,LOLMUL,,,N,,,,,,,0.656031693444047,5247.1640625,851.693165619632
72,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-4Bf,Onsite,2,,,,,,LOLMUL,,,N,,,,,,,0.096464358580072,771.5546875,108.715338239648
73,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-5A,Onsite,2,,,,,,FRALAT/RUMCRI-POATRI,,,Y,,,,,,,1.59850012860343,12785.1328125,619.280485407754
74,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17G,Visual,2,,,,,,ALOPRA-ANTODO,,,N,,,,,,,0.183116962998007,1464.5625,210.708960765102
75,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-7f,Onsite,2,,,,,,GNAPAL-LOLMUL,,,N,,,,,,,0.327113906499241,2616.3125,259.663596416603
76,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PFO, PEM",,U,,TRU-3A,Onsite,2,,,,,,FRALAT/POATRI,,,Y,,,,,,,1.59801570436033,12781.296875,622.624700464038
77,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-6Cf,Onsite,2,,,,,,FRALAT/ROSEGL/RANORT-CALSTA,,,N,,,,,,,10.1031227287116,80804.15625,2117.43308909338
78,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,TRU-3B,Visual,2,,,,,,FRALAT/POATRI,,,Y,,,,,,,0.985382805941095,7881.0390625,402.740859646406
79,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PFO, PSS, PEM",,U,,BUR-6A,Onsite,2,,,,,,FRALAT/RUBARM/HYPRAD-POATRI,,,Y,,,,,,,4.19633344555437,33561.515625,1339.20796913991
80,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-4Af,Onsite,2,,,,,,GNAPAL-LOLMUL,,,N,,,,,,,1.26140521265079,10088.40625,621.951773261764
81,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-3B,Onsite,2,,,,,,FRALAT/CRADOU-ROSPIS/AGRSCA-RUMCRI,,,N,,,,,,,3.98425690985941,31864.1875,1601.61934291287
82,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,BUR-6B,Visual,2,,,,,,FRALAT/RUMCRI-POATRI,,,N,,,,,,,0.0109782014766488,87.7734375,66.4166022188192
83,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,BUR-6B,Visual,2,,,,,,FRALAT/RUMCRI-POATRI,,,N,,,,,,,0.0409421460232295,327.4375,256.063768018494
84,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PFO, PEM",,U,,TRU-2,Onsite,2,,,,,,FRALAT/DESCES-ALOPRA,,,Y,,,,,,,0.730885232345145,5845.375,720.819850725126
85,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17G,Visual,2,,,,,,ALOPRA-ANTODO,,,N,,,,,,,0.0204677908727082,163.6875,110.11793646245
86,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-6D,Visual,2,,,,,,U,,,N,,,,,,,1.08857433872628,8706.046875,445.772573092562
87,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-5B,Visual,2,,,,,,FRALAT/RUMCRI-POATRI,,,Y,,,,,,,0.427779610686683,3421.234375,323.323983676078
88,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-3Cf,Onsite,2,,,,,,GNAPAL-LOLMUL,,,N,,,,,,,0.499856556177784,3997.6328125,659.791331894192
89,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17D,Onsite,2,,,,,,ALOPRA-CARUNI,,,N,,,,,,,0.0917674659637862,733.890625,254.734205625565
90,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-6Cf,Visual,2,,,,,,FRALAT/ROSEGL/RANORT-CALSTA,,,N,,,,,,,6.30328467591778,50411.0625,1361.31899638856
91,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-6E,Visual,2,,,,,,U,,,N,,,,,,,2.1716863259864,17367.9140625,607.650261287672
92,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17E,Visual,2,,,,,,ALOPRA-AGRTEN,,,N,,,,,,,0.0810883325508322,648.484375,102.339560958611
93,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-1B,Onsite,2,,,,,,FRALAT/TYPLAT-VERAME,,,Y,,,,,,,23.6910709344617,189441.34375,5052.5572013083
94,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-3Af,Onsite,2,,,,,,FRALAT/LOLMUL-ALOGEN,,,N,,,,,,,2.45155904597139,19605.546875,923.361783359576
95,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17F,Visual,2,,,,,,ALOPRA-BROMUS,,,N,,,,,,,0.0624666420587746,499.515625,255.232793637821
96,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-16B,Visual,2,,,,,,POATRI,,,N,,,,,,,0.0274043634514276,219.171875,57.3465124965173
97,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-1Cf,Onsite,2,,,,,,LOLMUL-GLYOCC,,,N,,,,,,,5.69779542794641,45564.46875,1591.1695443829
98,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-16A,Visual,2,,,,,,POATRI,,,N,,,,,,,0.0265153417046259,212.03125,140.321470367724
99,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-16C,Visual,2,,,,,,POATRI,,,N,,,,,,,0.0505342204702304,404.125,78.5365316459111
100,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-7,Visual,2,,,,,,GNAPAL-LOLMUL,,,N,,,,,,,0.0639489198429572,511.421875,85.4081543927087
101,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,BUR-1E,Onsite,2,,,,,,FRALAT/RHUDIV-ROSNUT/RANORT-CAMQUA,,,Y,,,,,,,2.83408223410393,22664.15625,1280.33477743496
102,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PSS,,U,,COX-15B,Onsite,2,,,,,,FRALAT/CRADOU,,,N,,,,,,,0.0276892162330831,221.421875,127.88106085899
103,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, PSS, PFO",,U,,COX-15A,Onsite,2,,,,,,FRALAT/CRADOU/PLAFIG-CAMQUA,,,Y,,,,,,,3.49753025603722,27969.609375,1064.8314478219
104,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEMf, PEM, PFO",,U,,COX-13f,Onsite,2,,,,,,LOLMUL-JUNBUF,,,N,,,,,,,11.2934318239812,90309.40625,2014.69490575692
105,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW ",,U,,COX-9,Visual,2,,,,,,FRALAT/RANREP-TYPLAT,,,Y,,,,,,,0.979947904410732,7836.28125,1305.72515138984
106,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PSS, PEM, PFO",,U,,COX-14B,Onsite,2,,,,,,POPTRI/SALLAS-SALPIP/CALSTA-ANTODO,,,Y,,,,,,,3.88883811030192,31097.6484375,1180.76643323723
107,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,"PEM, POW",,U,,COX-9,Visual,2,,,,,,FRALAT/RANREP-TYPLAT,,,Y,,,,,,,2.17616849854663,17400.3828125,2345.78084000291
108,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-1Df,Onsite,2,,,,,,CRADOU/LOLMUL-POAPRA,,,N,,,,,,,9.28704224016039,74265.6328125,2684.27944758345
109,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17C,Onsite,2,,,,,,RUBARM/ALOPRA-CARMUR,,,N,,,,,,,0.135859713669985,1086.46875,226.031272975655
110,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PFO,,U,,COX-15C,Onsite,2,,,,,,FRALAT-POPTRI/CRADOU/POATRI,,,Y,,,,,,,0.351493393837213,2810.828125,263.106691297489
111,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-14A,Onsite,2,,,,,,QUEKEL/CRADOU-RUBARM/POLPER-LYTPOR,,,Y,,,,,,,5.06794518118045,40524.375,2663.0585291269
112,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-14C,Visual,2,,,,,,AGRTEN-ALOPRA,,,N,,,,,,,0.0892741631208474,713.90625,336.203850021735
113,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEM,,U,,COX-17B,Onsite,2,,,,,,ALOPRA-CARMUR,,,N,,,,,,,1.26048131178743,10078.78125,574.475703319281
114,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,COX-12f,Onsite,2,,,,,,RORCUR-JUNBUF,,,N,,,,,,,0.0550728690521657,440.3984375,77.5134076371761
115,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-1Ff,Onsite,2,,,,,,LOLMUL-POAPAL,,,N,,,,,,,0.0969568865980036,775.2734375,103.950330091917
116,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,COX-11f,Onsite,2,,,,,,LOLMUL-PLAFIG,,,N,,,,,,,57.3407040567413,458456.8125,6228.18520754804
117,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,PEMf,,U,,BUR-1Af,Onsite,2,,,,,,LOLMUL,,,N,,,,,,,14.7137636594047,117644.4140625,2941.63522748819
118,Albany East of I-5,1997,"City of Albany GIS Department, June 30th, 1997",,,WOS,,U,,BUR-8,Visual,2,,,,,,FRALAT/CRADOU/PHAARU-ALOPRA,,,Y,,,,,,,2.35672902193031,18843.9296875,1601.68207678805
