OBJECTID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,BlockGroup,PercentPopBelow200FPL,PopBelow200FPL,Population,PercentPopulationBelow200FPL,NAME,Percent_minority,LE_Percent,SHAPE_Length,SHAPE_Area
16,09,001,044100,2,090010441002,Block Group 2,G5030,S,380880,106201,+41.0943142,-073.4161803,"Block Group 2, Census Tract 441, Fairfield County, Connecticut",0.422,465,1103,42.2,Norwalk,64.7325476,23.69281046,10979.6545518969,-5243017.44386593
17,09,001,044300,1,090010443001,Block Group 1,G5030,S,1143181,0,+41.1103049,-073.3904823,"Block Group 1, Census Tract 443, Fairfield County, Connecticut",0.337,713,2114,33.7,Norwalk,52.31788079,9.41759603,16785.3554183745,-12305310.4613632
18,09,001,044300,3,090010443003,Block Group 3,G5030,S,1342488,489739,+41.0974627,-073.3910746,"Block Group 3, Census Tract 443, Fairfield County, Connecticut",0.317,283,893,31.7,Norwalk,38.74580067,4.04411765,19694.8027987435,-19722317.8634311
19,09,001,044400,2,090010444002,Block Group 2,G5030,S,233615,261332,+41.0901514,-073.4117097,"Block Group 2, Census Tract 444, Fairfield County, Connecticut",0.488,565,1157,48.8,Norwalk,77.77777778,18.26625387,9525.38196081172,-5327665.08243852
20,09,001,044500,1,090010445001,Block Group 1,G5030,S,357580,0,+41.0894018,-073.4237007,"Block Group 1, Census Tract 445, Fairfield County, Connecticut",0.519,921,1775,51.9,Norwalk,97.14125561,16.98113208,9099.46607596884,-3849065.97224383
21,09,001,200200,4,090012002004,Block Group 4,G5030,S,1179138,0,+41.3795686,-073.3970736,"Block Group 4, Census Tract 2002, Fairfield County, Connecticut",0.384,127,331,38.4,Bethel,0.3021148,0,16157.6091055136,-12691747.131328
22,09,001,200200,1,090012002001,Block Group 1,G5030,S,2750108,0,+41.3823375,-073.4112184,"Block Group 1, Census Tract 2002, Fairfield County, Connecticut",0.314,749,2382,31.4,Bethel,36.22342643,6.28115653,25083.1672410085,-29601013.2240535
23,09,001,200200,2,090012002002,Block Group 2,G5030,S,1097548,0,+41.3651957,-073.4077124,"Block Group 2, Census Tract 2002, Fairfield County, Connecticut",0.584,622,1065,58.4,Bethel,40.09389671,0,16310.2667528412,-11813576.9707329
24,09,001,210701,1,090012107011,Block Group 1,G5030,S,433901,0,+41.3949993,-073.4615206,"Block Group 1, Census Tract 2107.01, Fairfield County, Connecticut",0.53,1383,2610,53,Danbury,65.58935361,42.13917526,10069.9309736432,-4670346.38136515
25,09,001,210701,3,090012107013,Block Group 3,G5030,S,477603,0,+41.3966348,-073.4719654,"Block Group 3, Census Tract 2107.01, Fairfield County, Connecticut",0.37,580,1569,37,Danbury,74.33679354,27.57894737,10599.2052449413,-5140712.74743255
26,09,001,210702,3,090012107023,Block Group 3,G5030,S,174238,0,+41.3926679,-073.4677486,"Block Group 3, Census Tract 2107.02, Fairfield County, Connecticut",0.413,487,1179,41.3,Danbury,65.56403732,28.78787879,7095.40084621889,-1875417.30809257
27,09,001,210500,1,090012105001,Block Group 1,G5030,S,6731565,171529,+41.3611735,-073.4358813,"Block Group 1, Census Tract 2105, Fairfield County, Connecticut",0.474,813,1716,47.4,Danbury,55.01165501,18.37672282,48867.467929115,-74302217.0327289
28,09,001,210100,2,090012101002,Block Group 2,G5030,S,441809,0,+41.3957171,-073.4495103,"Block Group 2, Census Tract 2101, Fairfield County, Connecticut",0.477,460,965,47.7,Danbury,54.81865285,20.64128257,12092.6295949301,-4755438.08116457
29,09,001,210100,3,090012101003,Block Group 3,G5030,S,566907,0,+41.3902191,-073.4478999,"Block Group 3, Census Tract 2101, Fairfield County, Connecticut",0.575,1814,3155,57.5,Danbury,75.38365174,32.08955224,11432.0226135287,-6101948.48229605
30,09,001,210200,1,090012102001,Block Group 1,G5030,S,861187,0,+41.4056088,-073.4526570,"Block Group 1, Census Tract 2102, Fairfield County, Connecticut",0.455,1057,2321,45.5,Danbury,79.19000431,32.58741259,12615.7680090018,-9269417.8628299
31,09,001,210200,2,090012102002,Block Group 2,G5030,S,478727,0,+41.3996825,-073.4454632,"Block Group 2, Census Tract 2102, Fairfield County, Connecticut",0.576,584,1014,57.6,Danbury,64.20416387,45.59748428,12072.0366410772,-5152813.72610655
32,09,001,210200,3,090012102003,Block Group 3,G5030,S,803183,0,+41.3938086,-073.4394463,"Block Group 3, Census Tract 2102, Fairfield County, Connecticut",0.361,916,2535,36.1,Danbury,61.06090373,25.7793765,14015.5343359172,-8645088.36122098
33,09,001,210600,1,090012106001,Block Group 1,G5030,S,994935,0,+41.3797379,-073.4684520,"Block Group 1, Census Tract 2106, Fairfield County, Connecticut",0.346,377,1091,34.6,Danbury,41.88817599,2.11864407,21926.316702315,-10709063.8406721
34,09,001,210702,1,090012107021,Block Group 1,G5030,S,735409,0,+41.3861556,-073.4697926,"Block Group 1, Census Tract 2107.02, Fairfield County, Connecticut",0.379,772,2036,37.9,Danbury,58.25147348,16.82389937,12884.9525150892,-7915622.27920688
35,09,001,211300,1,090012113001,Block Group 1,G5030,S,868005,1004238,+41.4461035,-073.4465455,"Block Group 1, Census Tract 2113, Fairfield County, Connecticut",0.303,219,723,30.3,Danbury,41.21715076,11.92307692,24947.6424121283,-20151919.5046732
36,09,001,210600,4,090012106004,Block Group 4,G5030,S,227437,0,+41.3906785,-073.4571231,"Block Group 4, Census Tract 2106, Fairfield County, Connecticut",0.604,617,1021,60.4,Danbury,80.91528724,72.70693512,7973.32364115663,-2448034.04070061
37,09,001,210701,2,090012107012,Block Group 2,G5030,S,335145,0,+41.3996186,-073.4642270,"Block Group 2, Census Tract 2107.01, Fairfield County, Connecticut",0.436,644,1476,43.6,Danbury,64.29539295,15.68627451,10299.0310750395,-3607351.25853305
38,09,001,210702,2,090012107022,Block Group 2,G5030,S,664045,0,+41.3906793,-073.4756704,"Block Group 2, Census Tract 2107.02, Fairfield County, Connecticut",0.405,574,1419,40.5,Danbury,65.87245971,18.83561644,12794.9592629317,-7147483.07509342
39,09,001,210300,3,090012103003,Block Group 3,G5030,S,674582,0,+41.4041659,-073.4408284,"Block Group 3, Census Tract 2103, Fairfield County, Connecticut",0.506,745,1473,50.6,Danbury,57.33414486,31.85689949,12790.2704574735,-7260890.79278529
40,09,001,060700,1,090010607001,Block Group 1,G5030,S,830694,0,+41.1586290,-073.2569189,"Block Group 1, Census Tract 607, Fairfield County, Connecticut",1,10,10,100,Fairfield,20.50447518,0,12464.0203641352,-8941556.93821537
41,09,001,061000,2,090010610002,Block Group 2,G5030,S,404459,0,+41.1802673,-073.2398165,"Block Group 2, Census Tract 610, Fairfield County, Connecticut",0.43,407,947,43,Fairfield,25.44878564,16.29213483,11328.3047851076,-4353546.21130186
42,09,001,061300,1,090010613001,Block Group 1,G5030,S,583331,0,+41.1753826,-073.2302476,"Block Group 1, Census Tract 613, Fairfield County, Connecticut",0.314,269,857,31.4,Fairfield,23.92065344,10.96345515,11226.1998441512,-6278910.70781007
43,09,001,061400,1,090010614001,Block Group 1,G5030,S,1155955,0,+41.1651444,-073.2330245,"Block Group 1, Census Tract 614, Fairfield County, Connecticut",0.414,530,1281,41.4,Fairfield,43.09133489,0,22972.3517797798,-12442637.5541687
44,09,001,010400,4,090010104004,Block Group 4,G5030,S,210875,0,+41.0181858,-073.6559793,"Block Group 4, Census Tract 104, Fairfield County, Connecticut",0.379,289,763,37.9,Greenwich,4.71821756,0,9608.4839256858,-2269926.4513722
45,09,001,010500,1,090010105001,Block Group 1,G5030,S,276740,0,+41.0236771,-073.6311331,"Block Group 1, Census Tract 105, Fairfield County, Connecticut",0.367,411,1120,36.7,Greenwich,57.05357143,4.37956204,8556.72073921688,-2978921.791763
46,09,001,010500,2,090010105002,Block Group 2,G5030,S,159455,0,+41.0223974,-073.6362313,"Block Group 2, Census Tract 105, Fairfield County, Connecticut",0.394,236,599,39.4,Greenwich,45.07512521,35.05976096,6482.19646901057,-1716427.25263879
47,09,001,010500,4,090010105004,Block Group 4,G5030,S,249017,0,+41.0188919,-073.6420017,"Block Group 4, Census Tract 105, Fairfield County, Connecticut",0.32,309,966,32,Greenwich,53.93374741,21.67182663,10382.9041970813,-2680524.99903326
48,09,001,010700,3,090010107003,Block Group 3,G5030,S,398200,10955,+41.0273011,-073.6170566,"Block Group 3, Census Tract 107, Fairfield County, Connecticut",0.451,609,1350,45.1,Greenwich,39.7037037,8.93169877,11422.7378253021,-4404286.24103815
49,09,001,011300,3,090010113003,Block Group 3,G5030,S,125936,10245,+41.0080699,-073.6552755,"Block Group 3, Census Tract 113, Fairfield County, Connecticut",0.301,230,765,30.1,Greenwich,61.96078431,30.25477707,6922.91626688015,-1465907.24761308
50,09,001,010500,5,090010105005,Block Group 5,G5030,S,213919,0,+41.0149979,-073.6439740,"Block Group 5, Census Tract 105, Fairfield County, Connecticut",0.498,214,430,49.8,Greenwich,56.97674419,28.31325301,8439.47549519242,-2302704.16162271
51,09,001,011300,2,090010113002,Block Group 2,G5030,S,279493,1110,+41.0044531,-073.6523009,"Block Group 2, Census Tract 113, Fairfield County, Connecticut",0.486,454,934,48.6,Greenwich,70.98501071,24.29378531,9753.23912320075,-3020518.73447636
52,09,001,010700,2,090010107002,Block Group 2,G5030,S,244195,0,+41.0259474,-073.6211436,"Block Group 2, Census Tract 107, Fairfield County, Connecticut",0.35,328,936,35,Greenwich,47.00854701,16.23246493,7730.34013574185,-2628601.6617541
53,09,001,220100,2,090012201002,Block Group 2,G5030,S,1139750,17630,+41.4598859,-073.5314880,"Block Group 2, Census Tract 2201, Fairfield County, Connecticut",0.303,434,1434,30.3,New Fairfield,7.88005579,0,15690.0926362639,-12457520.0279706
54,09,001,245600,2,090012456002,Block Group 2,G5030,S,1520344,0,+41.2878103,-073.5090772,"Block Group 2, Census Tract 2456, Fairfield County, Connecticut",0.338,444,1315,33.8,Ridgefield,2.35741445,0,17267.7612952561,-16364549.2565559
55,09,001,110600,1,090011106001,Block Group 1,G5030,S,468084,27961,+41.3211995,-073.1054016,"Block Group 1, Census Tract 1106, Fairfield County, Connecticut",0.334,251,752,33.4,Shelton,27.52659574,6.11702128,10975.9718403491,-5339224.26409675
56,09,001,110201,1,090011102011,Block Group 1,G5030,S,2056135,398303,+41.3024291,-073.0776036,"Block Group 1, Census Tract 1102.01, Fairfield County, Connecticut",0.301,806,2675,30.1,Shelton,21.1588785,3.30188679,32752.9727199721,-26418789.36111
57,09,001,110100,1,090011101001,Block Group 1,G5030,S,508092,82393,+41.3164703,-073.0919281,"Block Group 1, Census Tract 1101, Fairfield County, Connecticut",0.452,704,1558,45.2,Shelton,26.42180095,7.38095238,14187.7765129192,-6355794.47400203
58,09,001,110100,2,090011101002,Block Group 2,G5030,S,282119,0,+41.3149165,-073.0954424,"Block Group 2, Census Tract 1101, Fairfield County, Connecticut",0.367,454,1238,36.7,Shelton,34.11102172,9.64360587,10656.8872385307,-3036649.41363526
59,09,001,021500,2,090010215002,Block Group 2,G5030,S,177127,0,+41.0502977,-073.5477134,"Block Group 2, Census Tract 215, Fairfield County, Connecticut",0.607,732,1206,60.7,Stamford,97.06601467,25.3164557,5712.87075283854,-1906653.67637476
60,09,001,021500,4,090010215004,Block Group 4,G5030,S,167800,0,+41.0499185,-073.5520020,"Block Group 4, Census Tract 215, Fairfield County, Connecticut",0.65,1319,2029,65,Stamford,84.96796451,11.62393162,5379.7776729288,-1806237.10498729
61,09,001,020100,3,090010201003,Block Group 3,G5030,S,208079,0,+41.0510369,-073.5440592,"Block Group 3, Census Tract 201, Fairfield County, Connecticut",0.497,723,1456,49.7,Stamford,52.33516484,25.93320236,7411.5840892374,-2239820.86518722
62,09,001,020100,2,090010201002,Block Group 2,G5030,S,430277,0,+41.0518713,-073.5396120,"Block Group 2, Census Tract 201, Fairfield County, Connecticut",0.354,460,1300,35.4,Stamford,48.23076923,6.18401207,9260.98445029418,-4631608.92614161
63,09,001,021700,2,090010217002,Block Group 2,G5030,S,134146,0,+41.0522151,-073.5340294,"Block Group 2, Census Tract 217, Fairfield County, Connecticut",0.847,122,144,84.7,Stamford,90.97222222,16.04938272,4931.70995390756,-1443970.35269711
64,09,001,021801,1,090010218011,Block Group 1,G5030,S,259536,0,+41.0670451,-073.5248476,"Block Group 1, Census Tract 218.01, Fairfield County, Connecticut",0.391,426,1090,39.1,Stamford,54.22018349,11.04100946,7428.24189040102,-2793693.94091939
65,09,001,021801,3,090010218013,Block Group 3,G5030,S,297013,0,+41.0621475,-073.5238218,"Block Group 3, Census Tract 218.01, Fairfield County, Connecticut",0.359,462,1286,35.9,Stamford,52.21036585,4.98866213,9718.72525690022,-3197112.56405042
66,09,001,021802,1,090010218021,Block Group 1,G5030,S,577452,0,+41.0648786,-073.5123131,"Block Group 1, Census Tract 218.02, Fairfield County, Connecticut",0.347,476,1370,34.7,Stamford,41.8910046,9.21658986,12827.7606801338,-6215803.57927565
67,09,001,021600,2,090010216002,Block Group 2,G5030,S,163876,0,+41.0603219,-073.5434112,"Block Group 2, Census Tract 216, Fairfield County, Connecticut",0.338,561,1661,33.8,Stamford,58.39855509,5.3314121,5260.13274644332,-1763999.23643417
68,09,001,021500,1,090010215001,Block Group 1,G5030,S,187757,0,+41.0539497,-073.5481509,"Block Group 1, Census Tract 215, Fairfield County, Connecticut",0.364,632,1735,36.4,Stamford,93.4870317,51.86640472,7233.05904295889,-2021061.54391723
69,09,001,021600,1,090010216001,Block Group 1,G5030,S,108117,0,+41.0636062,-073.5385788,"Block Group 1, Census Tract 216, Fairfield County, Connecticut",0.654,1323,2022,65.4,Stamford,79.97032641,19.3006993,4483.20096810741,-1163798.2780376
70,09,001,021400,2,090010214002,Block Group 2,G5030,S,155523,0,+41.0506167,-073.5559239,"Block Group 2, Census Tract 214, Fairfield County, Connecticut",0.448,837,1867,44.8,Stamford,82.48527049,14.76868327,5978.87963673305,-1674093.56466783
71,09,001,021400,3,090010214003,Block Group 3,G5030,S,394279,0,+41.0465636,-073.5595989,"Block Group 3, Census Tract 214, Fairfield County, Connecticut",0.614,463,754,61.4,Stamford,81.83023873,23.63636364,9149.9009135054,-4244164.63825255
72,09,001,021400,4,090010214004,Block Group 4,G5030,S,870419,0,+41.0540510,-073.5625084,"Block Group 4, Census Tract 214, Fairfield County, Connecticut",0.442,1944,4395,44.2,Stamford,76.13456762,14.39716312,12771.2042977671,-9369421.67210127
73,09,001,021100,2,090010211002,Block Group 2,G5030,S,510214,0,+41.0699744,-073.5287500,"Block Group 2, Census Tract 211, Fairfield County, Connecticut",0.367,790,2150,36.7,Stamford,57.90697674,13.1061599,14026.9813269917,-5492022.64408848
74,09,001,020900,2,090010209002,Block Group 2,G5030,S,284354,0,+41.0916418,-073.5210549,"Block Group 2, Census Tract 209, Fairfield County, Connecticut",0.324,439,1353,32.4,Stamford,58.46267554,5.96252129,8588.37876986098,-3060832.57533283
75,09,001,020900,1,090010209001,Block Group 1,G5030,S,625181,0,+41.0969325,-073.5156549,"Block Group 1, Census Tract 209, Fairfield County, Connecticut",0.348,804,2309,34.8,Stamford,51.39784946,23.58974359,16157.1624504798,-6729534.37143968
76,09,001,021500,3,090010215003,Block Group 3,G5030,S,235292,0,+41.0465161,-073.5503908,"Block Group 3, Census Tract 215, Fairfield County, Connecticut",0.373,549,1471,37.3,Stamford,83.90804598,20.53231939,7286.46714115701,-2532764.30065338
77,09,001,021802,3,090010218023,Block Group 3,G5030,S,386608,0,+41.0589950,-073.5206329,"Block Group 3, Census Tract 218.02, Fairfield County, Connecticut",0.494,965,1954,49.4,Stamford,89.30399181,30.36912752,10798.0838139546,-4161549.13137771
78,09,001,021900,3,090010219003,Block Group 3,G5030,S,1116866,2306424,+41.0409518,-073.5077001,"Block Group 3, Census Tract 219, Fairfield County, Connecticut",0.387,677,1750,38.7,Stamford,61.14285714,26.21184919,33600.6163503093,-36849302.8313151
79,09,001,022000,2,090010220002,Block Group 2,G5030,S,293036,0,+41.0527553,-073.5172957,"Block Group 2, Census Tract 220, Fairfield County, Connecticut",0.439,526,1198,43.9,Stamford,87.89649416,4.51807229,8170.52675559163,-3154338.04786025
80,09,001,022100,1,090010221001,Block Group 1,G5030,S,442134,0,+41.0518902,-073.5239615,"Block Group 1, Census Tract 221, Fairfield County, Connecticut",0.668,2367,3542,66.8,Stamford,86.47696477,37.2605364,8976.70476594203,-4759229.77040868
81,09,001,022200,2,090010222002,Block Group 2,G5030,S,703787,138189,+41.0409749,-073.5402260,"Block Group 2, Census Tract 222, Fairfield County, Connecticut",0.424,1505,3549,42.4,Stamford,59.48833286,14.9117468,16513.7939499721,-9063304.24035741
82,09,001,022300,1,090010223001,Block Group 1,G5030,S,898300,0,+41.0375764,-073.5518445,"Block Group 1, Census Tract 223, Fairfield County, Connecticut",0.457,843,1844,45.7,Stamford,78.47071584,6.26029654,18860.3581554078,-9669585.31032406
83,09,001,022300,3,090010223003,Block Group 3,G5030,S,817890,0,+41.0407678,-073.5578418,"Block Group 3, Census Tract 223, Fairfield County, Connecticut",0.469,797,1699,46.9,Stamford,95.99764567,8.6892489,12291.0989712521,-8804014.64392852
84,09,007,610200,1,090076102001,Block Group 1,G5030,S,1176117,29298,+41.2738780,-072.5169870,"Block Group 1, Census Tract 6102, Middlesex County, Connecticut",0.458,421,920,45.8,Clinton,19.02173913,0,18536.4616492419,-12974758.1783092
85,09,009,348124,1,090093481241,Block Group 1,G5030,S,813492,52577,+41.4913536,-073.2237666,"Block Group 1, Census Tract 3481.24, New Haven County, Connecticut",0.321,248,772,32.1,Southbury,1.8134715,0,21006.3804592182,-9321936.10340439
86,09,009,184100,1,090091841001,Block Group 1,G5030,S,727535,41405,+41.2848715,-072.8033354,"Block Group 1, Census Tract 1841, New Haven County, Connecticut",0.372,359,966,37.2,Branford,6.10766046,4.57142857,17785.6623745413,-8276641.74602939
87,09,009,184700,1,090091847001,Block Group 1,G5030,S,5841752,52917,+41.2998490,-072.7700218,"Block Group 1, Census Tract 1847, New Haven County, Connecticut",0.312,210,674,31.2,Branford,10.53412463,0,40581.303091384,-63448344.2089498
88,09,009,184200,2,090091842002,Block Group 2,G5030,S,2476654,14267,+41.2709961,-072.8537702,"Block Group 2, Census Tract 1842, New Haven County, Connecticut",0.373,658,1764,37.3,Branford,31.6893424,3.20232897,33306.7196490078,-26811580.5431356
89,09,005,290100,3,090052901003,Block Group 3,G5030,S,23726092,0,+41.9367543,-073.0173905,"Block Group 3, Census Tract 2901, Litchfield County, Connecticut",0.36,325,902,36,Barkhamsted,2.88248337,0,72507.5609307951,-255388527.521149
90,09,003,524100,3,090035241003,Block Group 3,G5030,S,7950359,115529,+41.6280661,-072.4869024,"Block Group 3, Census Tract 5241, Hartford County, Connecticut",0.313,398,1271,31.3,Marlborough,2.98977183,0,45314.0837900285,-86817484.0064767
91,09,003,471100,3,090034711003,Block Group 3,G5030,S,1050719,0,+41.8098681,-072.6900778,"Block Group 3, Census Tract 4711, Hartford County, Connecticut",0.414,521,1259,41.4,Bloomfield,94.28117554,0,16846.4552284126,-11309663.4134803
92,09,003,405800,4,090034058004,Block Group 4,G5030,S,608970,0,+41.6844963,-072.9474016,"Block Group 4, Census Tract 4058, Hartford County, Connecticut",0.422,562,1333,42.2,Bristol,28.58214554,15.6133829,12339.1618062546,-6554706.77344563
93,09,003,405600,4,090034056004,Block Group 4,G5030,S,527030,0,+41.6629035,-072.9567087,"Block Group 4, Census Tract 4056, Hartford County, Connecticut",0.477,535,1121,47.7,Bristol,61.55218555,6.78851175,13646.7735029878,-5672708.79001401
94,09,003,405700,1,090034057001,Block Group 1,G5030,S,3147122,77261,+41.6767836,-072.9749700,"Block Group 1, Census Tract 4057, Hartford County, Connecticut",0.514,647,1259,51.4,Bristol,30.50039714,20.06420546,30925.4271511024,-34705872.3322985
95,09,003,406100,4,090034061004,Block Group 4,G5030,S,350245,4983,+41.6709942,-072.9313124,"Block Group 4, Census Tract 4061, Hartford County, Connecticut",0.451,348,771,45.1,Bristol,66.01815824,7.03125,7628.64536546175,-3823515.03622445
96,09,003,405300,2,090034053002,Block Group 2,G5030,S,968020,0,+41.6814233,-072.8969800,"Block Group 2, Census Tract 4053, Hartford County, Connecticut",0.371,723,1947,37.1,Bristol,27.23716381,1.96428571,13491.0263726693,-10419370.3066321
97,09,003,406001,1,090034060011,Block Group 1,G5030,S,1578865,0,+41.6966087,-072.9202666,"Block Group 1, Census Tract 4060.01, Hartford County, Connecticut",0.423,619,1463,42.3,Bristol,48.91008174,12.1869783,17722.2355947536,-16994250.6098773
98,09,003,406100,1,090034061001,Block Group 1,G5030,S,464206,0,+41.6785934,-072.9458927,"Block Group 1, Census Tract 4061, Hartford County, Connecticut",0.534,460,861,53.4,Bristol,38.00813008,8.77192982,9163.51986291887,-4996516.38798158
99,09,003,406100,2,090034061002,Block Group 2,G5030,S,547830,0,+41.6724815,-072.9455819,"Block Group 2, Census Tract 4061, Hartford County, Connecticut",0.45,509,1131,45,Bristol,37.82426778,4.00801603,10719.3512243564,-5896618.10545581
100,09,003,406100,3,090034061003,Block Group 3,G5030,S,435843,0,+41.6708715,-072.9387347,"Block Group 3, Census Tract 4061, Hartford County, Connecticut",0.638,547,858,63.8,Bristol,65.96736597,14.6953405,8954.54325375125,-4691210.61610501
101,09,003,405600,1,090034056001,Block Group 1,G5030,S,328569,0,+41.6700307,-072.9534841,"Block Group 1, Census Tract 4056, Hartford County, Connecticut",0.404,739,1827,40.4,Bristol,64.31308155,0,8973.48233711734,-3536574.90016565
102,09,003,405600,2,090034056002,Block Group 2,G5030,S,200181,0,+41.6668706,-072.9550077,"Block Group 2, Census Tract 4056, Hartford County, Connecticut",0.563,323,574,56.3,Bristol,30.48780488,0,9077.44799449149,-2154661.10017937
103,09,003,405600,3,090034056003,Block Group 3,G5030,S,236186,0,+41.6658508,-072.9510591,"Block Group 3, Census Tract 4056, Hartford County, Connecticut",0.392,278,709,39.2,Bristol,43.58251058,0,8173.29234628854,-2542212.48290958
104,09,003,405200,1,090034052001,Block Group 1,G5030,S,702896,0,+41.6874964,-072.9203929,"Block Group 1, Census Tract 4052, Hartford County, Connecticut",0.304,243,799,30.4,Bristol,20.52565707,13.10541311,14802.1969848801,-7565667.54481053
105,09,003,480800,4,090034808004,Block Group 4,G5030,S,4749354,0,+41.9880059,-072.5752698,"Block Group 4, Census Tract 4808, Hartford County, Connecticut",0.364,116,319,36.4,Enfield,3.7037037,0,43389.0611897897,-51122922.7695985
106,09,003,480600,4,090034806004,Block Group 4,G5030,S,381989,20506,+41.9960851,-072.5965165,"Block Group 4, Census Tract 4806, Hartford County, Connecticut",0.502,762,1517,50.2,Enfield,55.50428477,0,9334.64558147393,-4332521.47455875
107,09,003,480600,1,090034806001,Block Group 1,G5030,S,100724,0,+42.0022616,-072.6011057,"Block Group 1, Census Tract 4806, Hartford County, Connecticut",0.423,242,572,42.3,Enfield,47.02797203,4.74137931,6789.3349878871,-1084194.43646757
108,09,003,480600,3,090034806003,Block Group 3,G5030,S,874171,0,+42.0042081,-072.5990892,"Block Group 3, Census Tract 4806, Hartford County, Connecticut",0.634,1296,2044,63.4,Enfield,54.06066536,5.73593074,22013.3050213339,-9409786.95114775
109,09,003,480600,2,090034806002,Block Group 2,G5030,S,389111,408072,+41.9984018,-072.6028583,"Block Group 2, Census Tract 4806, Hartford County, Connecticut",0.647,425,657,64.7,Enfield,31.05022831,4.31893688,19788.9635989198,-8581078.46769482
