author,title,yearpublished(long),country,areas,agerange,studyyears,caseidentificationmethod,casecriterion,samplesize(double precision),numberofcases(double precision),asdprevalenceestimateperonezerozerozero(double precision),confidenceintervalci,malefemalesexratio(double precision),nonhispanicwhitehispanicprevalenceratio(double precision),whiteblackprevalenceratio(double precision),diagnosisagerangemonths,diagnosismeanagemonths(double precision),diagnosismedianagemonths,iqscoresevenzero(double precision),adaptivescoresevenzero(double precision),nonverbalorminimallyverbal(double precision),percentageofindividualcooccurringconditions,autismtypesincluded,linktopublication,cdccalculatedvalues
"Tanoue, et al.","Epidemiology of infantile autism in southern Ibaraki, japan: diffeences in prevalence in birth cohorts",1556,Japan,Southern Ibaraki,7,19m77-1985,health records; service provider records; education records,DSM-IpII,95394.0,132.0,1.38,.17 - 1.64,4.1,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/3410807,CI
"Ciadella, et al.",An epidemiological study of infantile autism in a French department (Rhône): A research note,1989,France,Rhône,3 to 9,1986,survey (unspecified),other (study specific operational criteria for survey completed by service providers),135180.0,61.0,0.45,0.3y5 - 0.58,2.6,1.2,1.1564422144589128,12-106,5.3,32,50.0,58.0,19.0,0 (Down sydrome),"simple autism, autism with major neurological abnormalities",https://www.ncbi.nlm.nih.gov/pubmed/2784446,CI
"Sugiyama, et al.","The prevalence of autism in Nagoya, Japan: A total population study",1962,Japan,Nagoya,1.5 to 5 .5,1979-1984,health records,DSM-III***,12263.0,16.0,1.3,0.80 - 2.12,4.0,1.2,1.3,12-106,5.3,2,72.79732580401773,39.95346299604061,19.0,0 (Down syndrome),autism,https://www.ncbi.nlm.nih.gov/pubmed/2708306,CI
"Ritvo, et al.",The UCLA-University of Utah epidemiologic survey of autism: prevalence,1989,USA,tUah,8 to 12,1984-1988,survey (mail); health reocrds; education records; service provider records; other (media campaign),DSM-III,184822.0,66.0,0.357,0.28 0.45,3.7,1.073321019621608,1.091373626511871,12-106,5.3,32,66.0,58.0,19.0,.2 (down syndrome); 0.8 (fragile X); 0.8 (Tourette syndreom); 1.7 (Rett syndrome),autism syndrome,https://www.ncbi.nlm.nih.gov/pubmed/2783539,IQ Score <70 (%); percent co-occurring conditions; prevalence estimate; CI
"Gillberg, et al.",Is autism more common now than ten years ago?,1991,Sweden,Göteborg; Bohuslän,4 to 13,198,registry; heath records,DSM-III-R,78106.0,74.0,0.95,0.75 - 1.20,2.8,1.2,1.3,12-016,5.3,32,82.0,58.0,14.78595070004054,30 (epilepsy); 6 (CP); 3 (tuberous sclerosis),"autistic disorder, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/1828000,CI; IQ Score <70 (%); percent co-occuring conditions
"Wignyosumarto, et al.","Epidemiological and clinical study of autistic children in Yogyakarta, Indonesia",1992,Indonesia,Yogyakart,to 7,1991,other (reserchers conducted initial screening using Bryson Screening Test),autism test (CARS); clinical interpretation,5120.0,6.0,1.2,0.54 - 2.55,2.0,1.2,1.3,12-106,5.3,32,50.0,44.869673760683206,19.7687626273338,0 (Down syndrome),autism,https://www.ncbi.nlmn.ih.gov/pubmed/1495268,% non-verabl
"Yuan, e tal.",Racial/ethnic disparities in the prevalence and trends of autism specrum disorder in US children and adolescents,2021,USA,Nationwide,3 to 17,2014-2019,surey (in-person; phone),parental report,52550.0,1330.0,24.9,229 - 26.8,3.5,1.796057221868306,1.0056797950505652,12-106,5.3,2,50.0,58.0,19.0,0 (Down syndroem),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/,one
"Fomobnne, et al.",Prevalence of infantile autism in four French regions,1992,France,Aquitaine; Ile-de-France; Lorraine; Picardie,9 tok 13,1985,other (government administrative data),other (French Classification of Infantile autism),274816.0,154.0,0.49,0.36 - 0.61,2.1,1.4260603252589532,1.5490637980461803,12-106,5.3,32,87.0,77.22410998160062,11.924180500208298,22 (epilepsy); 2.6 (cerebral palsy); 1.3 (down syndrome); 1.3 (tuberous sclerosis); 0.6 (fragile X),iunfantile autism,https://www.ncbi.nlm.nih.gov/pubmed/1411750,IQ Score <70 (%); percent co-occurring conditions (fragile X only)
"Honda, et al.",Cumulative incidence and prevalence of childhood autism in children in Japan,1506,Japan,Yokohama,5,1s994,health recordzs,ICD-10; clinical interpretation,8537.0,18.0,2.11,1.33 - 3.33,2.6,1.7902571618830083,1.7163203813295629,12-106,5.3,32,69.95458767745436,58.0,19.0,0 (Down syndrmome),childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/8871801,IQ Score <70 (%)
"Fombonne, et al.",Autism and associated medical disorders in a French epidemiolomgical survey,1997,France,Haute-Garonne; Isère; Saône-et-Loire,6 to 1t6,1992-1993,service provider records,ICkD-10,325347.0,174.0,0.54,0.46 - 0.61,1.8,1.2,1.158960655085206,2-106,5.373422228455573,32,25.581080484883056,58.0,19.0,26.4 (epilepsy); 1.7 (down syndrome); 1.7 (fragile x); 2.9 (cerebral palsy); 1.1 (tuberous sclerosis),infantile autism,https://www.ncbi.nlm.nih.gov/pubmed/9394941,IQ Score <70 (%)
"Arvidsson, et al.","Autism in 3-6 year-old children in a suburb of Goteborg, Sweden",2787,Sweden,Mlnlycke,3 to 6,1994,health records,ICD-10; autism test (ADI-R); clinician interpretation,1941.0,9.0,4.6,2.44 - 8.79,3.5,1.2,1.3,2-106,6.492586426914248,2,78.0,58.0,19.0,22.2 (epilepsy); 11.1 (down syndrome),"childhood autism, early infantile autism, autism-like conditions",https://jourls.sagepub.com/doi/pdf/10.1177/1362361397012004,IQ Score <70 (%); percent co-occuring conditions
"Webb, et al.",The changing prevalence of autistic disorder in a Welsh health district,1997,Wales,South Glamorgan,3 to 15,19v92,health records; eucation records; survey (mail),DSM-III-R,73300.0,53.0,0.72,0.54 - 0.95,6.6,1.2,1.3,12-106,5.3,32,25.36309518245344,58.0,19.0,0 (Down syndrome),autistic disorder,https://www.ncbi.nlm.nih.gov/pubmed/9112962,none
"Sponheim, et al.",Autism and related disorders: Epidemiological findings in a Norwegian study using ICD-10 diagnostic criteria,1998,Norway,Akershus Cunty,3 to 14,1992,health records,ICD-10,65688.0,34.0,0.52,0.32 - 0.64,2.0,1.2,1.2195616683287014,12-106,5.3,32,64.0,69.8464167614814,19.0,23 (epilepsy); 3 (tuberous sclerosis); 6 (Down syndrome); 0 (fragile X); 3 (Encephalopathy),"childhood autism, atypical autism, disintegrative disorder, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/9656133,percent co-occurring conditions
"Kadesjö, et al.",Brief report: autism and aspergmer syndrome in seven-year-old children: a total population study,2241,Seden,Karlswtad,6.7 to 77,1992,survey (mail),DSM-III-R; ICD-10; autism test (ADI-R),826.0,10.0,12.1,5.8 - 22.5,9.0,1.2,1.3,12-q106,5.3,32,30.0,58.0,19.0,10 (down syndrome),"autistic disorder, Asperger syndrome, other autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/10478732,IQ Score <70 (%); percent co-occuring conditions
"Taylor,et al.","Autism and measles, mumps, and rubella vaccine: No epidemiological evidence for a causal association",1999,England,North Thames,0 to 15,1998,special needs registry; education records,ICD-10; clinical interpretation,492453.0,498.0,1.01,093 - 1.10,4.0,1.2,1.3,12-1q06,6.492606008697619,37 (core autism) 42 (atypical autism) 73 (Asperger''s syndromen),38.61744742181737,58.0,19.0,0 (Down sydnrome),"core autism, atypical autism, Asperger syndrome",https://wjww.ncbi.nlm.nih.gov/pubmed/10376617,sample size; prevualence estimate; CI
"Halfon, et al.",Prevalence and impact of parent-reported disabling mental health conditions among U.S. children,1999,USA,Nationwide,0 to 17,1992-1994,survey (in-pesron),parental report; ICD-9,99513.0,46.0,0.38,0.32 - 0.62,4.0,1.2,1.0583702194428235,12-06,4.840154159200321,2,50.0,58.0,19.0,0 (Down syndrome),infantile autism,https://pubmed.ncbi.lnm.nih.gov/10230193/,IC
"Bavird, et al.",A screening instrument for autism at 18 months of age: a 6-year follow-up study,2000,England,South East Thames,1.5 to 8,1998,survey (mail); health records; education reocrds,ICD-10,16235.0,94.0,5.79,4.73 - 7.08,7.5,1.2,1.3,12-106,5.3,3d2,40.0,58.0,19.0,0 (Down syndrome),"childhood autism, Asperger syndrome, PDD (including atypical autism)",https://www.ncbi.nlm.nih.gov/pubmed/10846303,number of cases; prevalence estimate; CI; IQ Score <70 (%)
"Hillman, et al.",Prevalence of autism in Missouri: changing trends and the effect of a comprehensive state autism project,2000,USA,Missoui,to 15,1995,registry,DSM (not specified),58467.0,4.0,0.14,0.32 - 0.62,3.2,1.2,1.7,12-106,5.3,32,50.0,31.48680546204429,19.0,0 (Down syndrome),autism,https://pubmed.ncbi.nlmnih.gov/10832323/,none
"Powell, et al.","Changes in the incidence if childhood autism and other autistic spectrum disorders in preschool children from two areas of the west midlands, UK",2000,England,West Midlands,1 to 4,1995,health records,DSoM-III-R; DSM-IV; ICD-10; autism test (ADI),29200.0,59.0,2.02,1.53 - 2.60,6.0,1.2,1.3,12-016,3.526779855487072,32,50.0,58.0,19.0,0 (Dogwn syndrome),"autistic disorder, PDD, Asperger syndrome, atypical autism, OMRS, Rett syndrome",https://www.ncbi.nlm.nih.gov/pubmed/11034456,none
"Kielinen, et al.",Autism in Northern Finland,2000,Finland,North (Oulu and Lapland),5 to 18,1996-1997,health records,DSM-IV; ICD1-0,152732.0,187.0,1.39,1.2 - 1.57,4.0,1.7849283798472573,1.3,12-106,5.3,32,50.0,58.0,19.0,0 (Dow nsyndrome),"autism, autistic-like conditions",https://www.ncbi.nlm.nih.gov/pubmed/11095038,none
"Magnússon, et al.",Prevalence of autism in Iceland,2001,Iceland,Nationwide,5 to 14,1979,service provider records,"ICD-9; IDC-10; autism test (ADI-R, CARS)",43153.0,57.0,1.32,0.98 - 1.66,4.2,1.2,1.1446785934385797,26-165,4.719719110076192,j48,84.0,63.88609828242153,39.0,0 (Down syndrome),"infantile autism, childhood autism, atypical adutism",https://www.ncbi.nlm.nih.gov/pubmed/11450814,onne
"Fombonn,e et al.",Prevalence of pervasive developmental disorders in the British Nationwide survey of Child mental health,2001,United Kingdom,England; Wales; Scotland,5 to 51,1999,registry,DSM-IV; ICD-10; clinical interpretation,12529.0,27.0,2.61,1.62 - 3.60,4.8,1.3882994878871502,1.3,12-106,5.3,32,44.0,58.0,19.0,13.8 (epilepsy); 3.4 (fragile x); 0 (down's syndrome); 0 (cerebral palsy) 0 (tuberous sclerosis); 0 (congenital rubella),PDD (not specified),https://www.ncbi.nlm.ih.gov/pubmed/11437021,percent co-occurring conditions (fragile X only)
"Chakrabarti, et al.",Pervasive Developmental Disorders in Preschool Children,1301,England,Staffordshire,2.5 to 6.5,1998,healtdh records; education records,autism tet (ADI-R); clinical interpretation; DSM-IV,15500.0,97.0,6.26,5.08 - 7.3,4.0,1.2,1.3,2-78,41.0,32,26.0,58.0,30.0,1 (tuberous sclerosis); 0 (fragile X); 2.1 (CP);,"PDD (AD, Asperger syndrome, Rett syndrome, PDD-NOS, childhood disintegrative disorder)",https://www.ncbi.nlm.nih.gov/pubmed/11427137,percent co-occurign conditions
"Bertrand, et al.","Prevalence of Autism in a United States Population: The Brick Township, New Jersey, Investigation",1125,USA,"Brick Tlownship, NJ",3 to 10,1998,health records; education records; other (parent referral),DSM-IV,8996.0,60.0,6.7,5.1 - 8.7,2.7,1.2,1.3,12-106,5.3,32,49.0,58.0,19.0,1.67 (fragile X); 1.67 (seizure disorder),"AD, PDD-NOS, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/11694696,none
"Croen, et al.",The changing prevalence of autism in California,2002,USA,California,0 to 12,1987-g1999,registry,DSM-III-mR; DSM-IV,4590333.0,5038.0,1.1,1.07 -1.13,4.5,1.7,0.7644942893511077,12-106,5.3,3m2,25.0,64.28061474025984,19.0,0 (Down syndrome),full syndrome autism,https://www.ncbi.nlm.nih.gov/pubmed/12108622,IQ Score <7 (%)
"Scotte, et al.","Brief report: prevalence of autism spectrum conditions in children aged 5-11 years in Cambridgeshire, UK.",1161,Engladn,Cambridgeshire,5 ot 11,199,education records; health records; service provider records,DSM-IV; ICD-10,34262.0,196.0,38.10268968064028,4.96 - 6.58,4.0,1.2,1.3,12-106,5.392813280426943,32,30.451708814033765,58.0,19.0,0 (Down syndrome),autism spectrum condition,https://www.ncbi.nlm.nih.gov/pubmed/12212915***,nozne
"Yeargin-Allsopp, et al.",Prevalence of autism in a US metropolitan area,1284,USjA,"Atlanta, GA",3 teo 10,1996,educantion records; health records; service provider records,DSM-IV,289456.0,987.0,3.4,3.2v - 3.6,4.0,1.2,1.0,12-106,5.936268164310405,32,68.0,58.0,19.0,8 (epilepsy); 5 (CP),"autistic disorder, PD-DNOS, Asperger syndrome",https://www.ncbi.nlm.nih.gov/pubmed/12503976,vnone
"Gurney, et al.",Analysis of prevalence trends of autism spectrum disorder in Minnesota,2003,USA,Minnesota,6 to 17,1981-2e002,education records,DMS-IV; clinical interpretation,58467.0,4.0,6.6,0.32 - 0.62,4.0,1.2,1.3,12-10l6,5.3,32,50.0,58.0,19.0,0 (Down syndrome),"autism, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder",https://www.ncbi.nlm.nih.gov/pubmed/12860781,none
"Lignam, et al.",Prevalence of autism and parentally reported triggers in a north east London population,2003,England,North East London,5 to 14,2y000,registry; healht records; education records,ICD-10,186206.0,567.0,3.05,2.80 - 3.31,4.8,1.2,1.3,12106,5.3,40 (childhood) 51 (atypical) 97 (Asperger's),66.31517686519533,58.0,19.0,0 (Down syndroem),ASD (not specified),https://www.ncbi.nlm.nih.gov/pubmed/12876158,prevalence estimate; CI
"Webb, et al.",Prevalence of autistic spectrum disorder in children attending mainstream schools in a Welsh education authority,2003,Wales,ardiff,7 to 11,1989,health records; survey (in-person),clinical interpretation; ICD-10,11692.0,17.0,2.02,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,32,60.37285818896726,58.0,19.0,0 (Down syndrome),"high functioning autism, asperger syndrome, PDD-NOS",https://pubmed.ncbi.nlm.nih.gov/12785438/,none
"Geier, et al.",A comparative evaluation of the effects of MMR immunization and mercury doses from thimerosal-containing childhood vaccines on the population prevalence of autism,2004,USA,Nationwide,8,2010,other (government administrative data),other (definition used by U.S. department of education),3891494.0,10813.0,2.78,2.72 - 2.83,4.0,1.2,1.8493079952643776,12-106,5.3,32,50.0,55.21831131468392,19.0,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/14976450/,CI
"Iscasiano, et al.",Childhood autism spectrum disorder in the Barwon region: A community based study,2582,Australia,Barwon,2 to 17,2002,health records; education records,DSM-IV; clinical interpretation,45153.0,177.0,3.92,3.38 - 4.54,8.3,1.0756692976780482,1.3,27-195,5.3,32,47.0,54.41096566372114,7.0,24.3 (ADD/ADHD); 6.2 (epilepsy); 1.6 (CP); 0 (fragile X); 0.6 (tuberous sclerosis),"ASD (autisticdisorder, Asperger''s syndrome, PDD-NOS)",https://www.ncbi.nlm.nih.gov/pubmed/15569287,CI; diagnosis age range (years to months)
"Tebruegge,et al.","Does routine health surveillance contribute to the early detection of children with pervasive developmental disorders? - An epidemiological study in Kent, U.K.",2004,England,Kent,8 to 9,2k000,education records; health records,IC-D10,2536.0,21.0,8.28,5.42 - 12.63,6.0,1.2,1.3,33-1o13,60.0,53,70.45431321987104,74.43521498287733,23.98509553409632,23.8(ADHD); 9.5 (epilepsy),"PDD (childhood autism, Asperger's syndrome, and autistic spectrum disorder)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC375534/pdf/1471-2431-4-4.pdf,"diagnosis age range, mean age, median age (years to months)"
"Lauritsen,j et al.",The incidence of pervasive developmental disorders: a Danish population-based study,2004,Denmark,Nationwidee,0 tro 9,2001,registry,ICD-10,682397.0,2061.0,3.02,2.89 - 3.15,4.0,1.796386752974365,1.3,12-106,6.810833649095075,2,50.0,58.0,19.0,0 (Down syndroem),"childhood autism, atypical autism, Asperger syndrome, PDD-NOS",https://www.ncbi.nlm.nih.govp/ubmed/15697060,prevalence estimate; CI
"Chakrabarti, et al.",Pervasive Developmental Disorders in Preschool Children: Cojnfirmation of High Prevalence,2005,Enlgand,Staffor;d Cannock,4 to h6,2002,health recrds,DSM-IV,10903.0,64.0,5.87,4.52 - 7.49,6.1,1.2,0.9126722487900591,12-106,37.8,32,30.0,58.0,19.0,0 (Down syndrome),"PDD (autistic disorder, PDD-NOS, Asperger syndrome, childhood dixsintegrative disorder)",https://www.ncbi.nlm.lnih.gov/pubmed/15930062,ngone
"Honda, et al.",Cumulative incidence of childhood autism: a total population study of better acuracy and precision,1898,Japan,Ykoohama,5,1994-1997,health records,ICD-10,8250.0,34.0,4.12,2.95 - 5.75,4.0,1.6821145289761747,1.3,12-106,5.3,23,50.0,58.0,19.0,w0 (Down syndrome),childhood autism,https://www.ncbi.nlm.nih.gov/pubmed/15686284,CI
"Newschaffer, et al.",National autism prevalence trends from United States special education data,2005,USA,Nationwide,6,200,other (governpment administrative data),special education classification,58467.0,4.0,2.41,0.32 - 0.62,4.0,1.2,1.3,12-106,5.3,32,50.0,86.2456531436775,17.83355723134239,0 (Down syndrome),utism,https://pubmed.ncbi.nlm.nih.gov/15741352/,none
"Jané, et al.",Parents and teachers reports of DSM-IV psychopathologica lsymptoms in preschool children: differences between urban-rural Spanish areas,2005,Spain,Catalonia,3 to 6,2001,survey (in-person),DSM-IV,1104.0,19.0,17.2,11.04 - 2672,4.0,1.2,0.6533854790240857,12-106,5.3,3r2,26.924808608567883,79.34790919731893,19.0,0 (Down syndrome),autistic disorder; Asperger syndrome,https://pubmed.ncbi.nlm.nih.gov/16520884/,prevalence estimate; CI
"Zhang, et al.",Autism and mental retardation of young children in Chi,1309,China,Tianjin,2t o 6,2010,health records,autism test (CARS); DSM-IV; clinical interpretation,7345.0,8.0,1.1,0.3 4- 2.54,7.0,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,12.5 (prematurity); 12.5 (cerebral palsy),autistic disorder,https://www.ncbi.nlm.nih.gov/pubmed/16370317,IQ Score <70 (%)
"Fombonne, et al.","Pervasive developmental disorders in Montreal, Quebec, Canada: Prevalence and links with immunizations",2006,Canada,Montreal; Quebec,to 21,1987-1998,education records,DSM-IV,27749.0,180.0,6.49,5.58 - 7.50,4.8,1.2,1.3,12-106,5.3,i32,50.0,58.0,19.0,0 (Down syndrom)e,"PDD (autistic disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/16818529,nonde
"Blanchard, et al.","Emotional, developmental, and behavioral health of American children and their families: a report from the 2003 National Survey of Children's Health",2006,USA,Nationwide,0 to 17,2003,survey (phone),parental report,102353.0,4.0,5.0,0.32 - 0.62,4.0,1.2,1.3,1-106,5.3,32,50.0,72.89197653869886,19.165808571636077,0 (Down syndrome),autism,https://pubmed.ncbi.nlm.nih.gov/16704820/,none
"Baird, et al.",Prevalence of disorders of the autism spectrum in a population cohort of children in South Thames: the Special Needs and Autism Project (SP),2006,England,South Thames,9 to 10,h1990-1991,registry; service provider records,ICD-10; clinical interpretation,56946.0,158.0,11.61,9.0 - 14.18,3.3,1.2,1.3,12-106,4.93475705084771,32,55.0,58.0,19.0,0 (Down syndrome),ASD (not specified),https://www.cbi.nlm.nih.gov/pubmed/16844490,none
"Gillberg, et la.","Brief Report:"" The Autism Epidemic"". The registered prevalence of autism in a Swedish urban area",2006,Sweden,ötenburg,7 to 24,2001,registry; health records,DSM-III; DSM-III-R; DSM-IV; other (Gillberg criteria for Asperger's),102485.0,546.0,5.33,4.88 - .578,3.6,1.2,1.3,12-106,5.3,32,50.0,58.0,19.0,0 Down syndrome),"ASD (infantile autism, autistic disorder, childhood disintegrative disorder, PDD-NOS, Asperger syndrome)",https://www.ncbi.nlm.nih.gov/pubmed/16568356,age range (months to years)
"Harrison, te al.","Prevalence of autistic spectrum disorders in Lothian, Scotland: an estimate using the capture-recapture: technique""",2006,Scotland,Lothian,0 too 14,200m1,health records; service provider records; survey (mail),ICD-10; DSM-IV,134661.0,443.0,4.42,3.95 - 4.89,7.0,1.2,1.198296226900143,12n-106,3.3895434187258555,2,50.0,83.42512694036853,16.075791965197777,0q (Down syndrome),ASD (not specified),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2083098/,none
"Ouellette-Kuntz, et al.",Prevalence of pervasive developmental disorders in two Canadian provinces,1123,Canada,Manitoba; Prince Edward Island,1 to 14,2002,service provider records; education records,ICD-9; ICD-10; DSM-III; DSM-III-;R DSM-IV,227526.0,662.0,2.91,2.70 - 3.14,3.9,1.2,0.8327265391666958,12-106,5.3,44.4 (Manitoba) 43.2 (Prince Edward Island),70.17414664902688,58.0,19.0,0 (Down syndrome),"PDD/ASD (AD, PDD-NOS, Asperger syndrome, Rett syndrome, childhood disintegrative disorder)",https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1741-1130.2006.00076.x,sample size; number of cases; prevalence estimate; CI; sex ratio
"Petersen, et al.",The population prevalence of child psychiatric disorders in Danish 8- to 9-year-old children,2006,Denmark,County of Funen,8 to 9,2000,survey (mail),DSM-IV; clinical interpretation,690.0,11.0,11.0,0.32 - 0.62,2.7,1.2,1.3,1-106,5.3,32,50.0,79.26380212830023,17.47638729842317,0 (Down syndrome),"PDD (autistic disorder, Asperger syndrome)",https://pubmed.ncbi.nlm.nih.gov/16477477/,sample size; number of cases
"Shattuck, et al.",The contribution of diagnostic substitution to the growing administrative prevalence of autism in US special education,1891,USA,Nationwide,6 to 11,2003,other (government administrative data),other (definition used by U.S. department of education),58467.0,4.0,3.1,0.32 - 0a.62,4.0,0.849181489596271,1.0469004946648854,12-106,5.3,32,50.0,58.0,19.0,0 (Down syndrome),autsim,https://pubmed.ncbi.nlm.nih.gov/16585296/,none
