contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
review article,Photonic quantum technologies,,,"[{""address"": ""H. H. Wills Physics Laboratory and the Department of Electrical and Electronic Engineering, Centre for Quantum Photonics, University of Bristol, Merchant Venturers Building, Woodland Road, Bristol, BS8 1UB, UK"", ""authors"": [""Jeremy L. O'Brien""]}, {""address"": ""Department of Applied Physics and Quantum Phase Electronics Center, School of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, 113-8656, Tokyo, Japan"", ""authors"": [""Akira Furusawa""]}, {""address"": ""Department of Electrical Engineering and Ginzton Laboratory, Stanford University, Stanford, 94305, California, USA"", ""authors"": [""Jelena Vu\u010dkovi\u0107""]}]",False,"[""Jeremy L. O'Brien"", ""Akira Furusawa"", ""Jelena Vu\u010dkovi\u0107""]","O'Brien, J., Furusawa, A. & Vučković, J. Photonic quantum technologies. Nature Photon3, 687–695 (2009).",4751,31,1041,aplusplus,10.1038/nphoton.2009.229,https://doi.org/10.1038/nphoton.2009.229,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.229,3
review article,Single-photon detectors for optical quantum information applications,,,"[{""address"": ""Scottish Universities Physics Alliance and the School of Engineering and Physical Sciences, Heriot-Watt University, EH14 4AS, Edinburgh, UK"", ""authors"": [""Robert H. Hadfield""]}]",False,"[""Robert H. Hadfield""]","Hadfield, R. Single-photon detectors for optical quantum information applications. Nature Photon3, 696–705 (2009).",4255,5,798,aplusplus,10.1038/nphoton.2009.230,https://doi.org/10.1038/nphoton.2009.230,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.230,3
review article,Optical quantum memory,,,"[{""address"": ""Institute for Quantum Information Science, University of Calgary, Alberta, T2N 1N4, Canada"", ""authors"": [""Alexander I. Lvovsky"", "",\u00a0Barry C. Sanders"", ""\u00a0&\u00a0Wolfgang Tittel""]}]",False,"[""Alexander I. Lvovsky"", ""Barry C. Sanders"", ""Wolfgang Tittel""]","Lvovsky, A., Sanders, B. & Tittel, W. Optical quantum memory. Nature Photon3, 706–714 (2009).",2469,1,684,aplusplus,10.1038/nphoton.2009.231,https://doi.org/10.1038/nphoton.2009.231,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.231,3
letter,Terahertz amplifier based on gain switching in a quantum cascade laser,"<p>Terahertz time-domain spectroscopy is widely used in a broad range of applications where knowledge of both the amplitude and phase of a terahertz wave can reveal useful information about a sample. However, a means of amplifying terahertz pulses, which would be of great benefit in improving the applicability of time-domain spectroscopy, is lacking. Although terahertz quantum cascade lasers are promising devices for terahertz amplification, gain clamping limits the attainable amplification. Here, we circumvent gain clamping and demonstrate amplification of terahertz pulses by ultrafast gain switching of a quantum cascade laser through the use of an integrated Auston switch. This unclamps the gain by placing the laser in a non-equilibrium state that allows large amplification of the electromagnetic field within the cavity. This technique offers the potential to produce high field terahertz pulses that approach the quantum cascade laser saturation field.</p>",,"[{""address"": ""Laboratoire Pierre Aigrain, \u00c9cole Normale Sup\u00e9rieure, UMR 8551 CNRS, UPMC Universit\u00e9 Paris 6, Paris, 75005, France"", ""authors"": [""Nathan Jukam"", "",\u00a0Sukhdeep S. Dhillon"", "",\u00a0Dimitri Oustinov"", "",\u00a0Julien Madeo"", ""\u00a0&\u00a0J\u00e9r\u00f4me Tignon""]}, {""address"": ""Mat\u00e9riaux et Ph\u00e9nom\u00e8nes Quantiques, Universit\u00e9 Denis Diderot\u2014Paris 7, UMR 7162 CNRS, Paris, 75013, France"", ""authors"": [""Christrophe Manquest"", "",\u00a0Stefano Barbieri"", ""\u00a0&\u00a0Carlo Sirtori""]}, {""address"": ""School of Electronic and Electrical Engineering, University of Leeds, Leeds, LS2 9JT, UK"", ""authors"": [""Suraj P. Khanna"", "",\u00a0Edmund. H. Linfield"", ""\u00a0&\u00a0A. Giles Davies""]}]",False,"[""Nathan Jukam"", ""Sukhdeep S. Dhillon"", ""Dimitri Oustinov"", ""Julien Madeo"", ""Christrophe Manquest"", ""Stefano Barbieri"", ""Carlo Sirtori"", ""Suraj P. Khanna"", ""Edmund. H. Linfield"", ""A. Giles Davies"", ""J\u00e9r\u00f4me Tignon""]","Jukam, N., Dhillon, S., Oustinov, D. et al. Terahertz amplifier based on gain switching in a quantum cascade laser. Nature Photon3, 715–719 (2009).",163,0,60,aplusplus,10.1038/nphoton.2009.213,https://doi.org/10.1038/nphoton.2009.213,,12,nphoton,nature photonics,1258848000,2009-11-22,,https://www.nature.com/articles/nphoton.2009.213,3
letter,Optimal quantum cloning of orbital angular momentum photon qubits through Hong–Ou–Mandel coalescence,"<p>The orbital angular momentum (OAM) of light, associated with a helical structure of the wavefunction, has great potential in quantum photonics, as it allows a higher dimensional quantum space to be attached to each photon. Hitherto, however, the use of OAM has been hindered by difficulties in its manipulation. Here, by making use of the recently demonstrated spin-OAM information transfer tools, we report the first observation of the Hong&#8211;Ou&#8211;Mandel coalescence of two incoming photons having non-zero OAM into the same outgoing mode of a beamsplitter. The coalescence can be switched on and off by varying the input OAM state of the photons. Such an effect has then been used to carry out the 1&#160;&#8594;&#160;2 universal optimal quantum cloning of OAM-encoded qubits, using the symmetrization technique already developed for polarization. These results are shown to be scalable to quantum spaces of arbitrary dimensions, even combining different degrees of freedom of the photons.</p>",,"[{""address"": ""Dipartimento di Fisica, Sapienza Universit\u00e0 di Roma, Roma, 00185, Italy"", ""authors"": [""Eleonora Nagali"", "",\u00a0Linda Sansoni"", "",\u00a0Fabio Sciarrino"", ""\u00a0&\u00a0Francesco De Martini""]}, {""address"": ""Istituto Nazionale di Ottica Applicata, Firenze, 50125, Italy"", ""authors"": [""Fabio Sciarrino""]}, {""address"": ""Accademia Nazionale dei Lincei, via della Lungara 10, Roma, 00165, Italy"", ""authors"": [""Francesco De Martini""]}, {""address"": ""Dipartimento di Scienze Fisiche, Universit\u00e1 di Napoli \u2018Federico II\u2019, Compl. Univ. di Monte S. Angelo, Napoli, 80126, Italy"", ""authors"": [""Lorenzo Marrucci"", "",\u00a0Bruno Piccirillo"", "",\u00a0Ebrahim Karimi"", ""\u00a0&\u00a0Enrico Santamato""]}, {""address"": ""CNR-INFM Coherentia, Compl. Univ. di Monte S. Angelo, Napoli, 80126, Italy"", ""authors"": [""Lorenzo Marrucci""]}, {""address"": ""Consorzio Nazionale Interuniversitario per le Scienze Fisiche della Materia, Napoli"", ""authors"": [""Bruno Piccirillo"", ""\u00a0&\u00a0Enrico Santamato""]}]",False,"[""Eleonora Nagali"", ""Linda Sansoni"", ""Fabio Sciarrino"", ""Francesco De Martini"", ""Lorenzo Marrucci"", ""Bruno Piccirillo"", ""Ebrahim Karimi"", ""Enrico Santamato""]","Nagali, E., Sansoni, L., Sciarrino, F. et al. Optimal quantum cloning of orbital angular momentum photon qubits through Hong–Ou–Mandel coalescence. Nature Photon3, 720–723 (2009).",348,4,144,aplusplus,10.1038/nphoton.2009.214,https://doi.org/10.1038/nphoton.2009.214,,12,nphoton,nature photonics,1258848000,2009-11-22,,https://www.nature.com/articles/nphoton.2009.214,3
letter,Non-resonant dot–cavity coupling and its potential for resonant single-quantum-dot spectroscopy,"<p>Non-resonant emitter&#8211;cavity coupling is a fascinating effect recently observed as unexpected pronounced cavity resonance emission even in strongly detuned single quantum dot&#8211;microcavity systems. This phenomenon indicates strong, complex light&#8211;matter interactions in these solid-state systems, and has major implications for single-photon sources and quantum information applications. We study non-resonant dot&#8211;cavity coupling of individual quantum dots in micropillars under resonant excitation, revealing a pronounced effect over positive and negative quantum dot mode detunings. Our results suggest a dominant role of phonon-mediated dephasing in dot&#8211;cavity coupling, giving a new perspective to the controversial discussions ongoing in the literature. Such enhanced insight is essential for various cavity-based quantum electrodynamic systems using emitters that experience phonon coupling, such as colour centres in diamond and colloidal nanocrystals. Non-resonant coupling is demonstrated to be a versatile &#8216;monitoring&#8217; tool for observing relevant quantum dot s-shell emission properties and background-free photon statistics.</p>",,"[{""address"": ""Institut f\u00fcr Halbleiteroptik und Funktionelle Grenzfl\u00e4chen, Universit\u00e4t Stuttgart, Allmandring 3, Stuttgart, 70569, Germany"", ""authors"": [""S. Ates"", "",\u00a0S. M. Ulrich"", "",\u00a0A. Ulhaq"", ""\u00a0&\u00a0P. Michler""]}, {""address"": ""Technische Physik, Physikalisches Institut, Universit\u00e4t W\u00fcrzburg and Wilhelm Conrad R\u00f6ntgen Research Center for Complex Material Systems, Universit\u00e4t W\u00fcrzburg, Am Hubland, 97074, W\u00fcrzburg, Germany"", ""authors"": [""S. Reitzenstein"", "",\u00a0A. L\u00f6ffler"", "",\u00a0S. H\u00f6fling"", ""\u00a0&\u00a0A. Forchel""]}]",False,"[""S. Ates"", ""S. M. Ulrich"", ""A. Ulhaq"", ""S. Reitzenstein"", ""A. L\u00f6ffler"", ""S. H\u00f6fling"", ""A. Forchel"", ""P. Michler""]","Ates, S., Ulrich, S., Ulhaq, A. et al. Non-resonant dot–cavity coupling and its potential for resonant single-quantum-dot spectroscopy. Nature Photon3, 724–728 (2009).",296,0,141,aplusplus,10.1038/nphoton.2009.215,https://doi.org/10.1038/nphoton.2009.215,,12,nphoton,nature photonics,1258848000,2009-11-22,,https://www.nature.com/articles/nphoton.2009.215,3
letter,A passively mode-locked external-cavity semiconductor laser emitting 60-fs pulses,"<p>Optical pulses with durations of a few tens of femtoseconds are used to drive applications ranging from attoscience to metrology, but femtosecond lasers remain bulky and expensive items based on vibronic crystal or ytterbium-doped silica fibre gain media. Although, in principle, bandgap-engineered quantum-confined semiconductor materials have significant advantages in terms of their gain bandwidth and spectral versatility, semiconductor lasers have not, to date, been capable of generating comparably short pulses. Here, we describe an optically pumped InGaAs/GaAs quantum-well laser that is passively mode-locked using an intracavity semiconductor saturable absorber mirror that emits 60-fs pulses at 1,037&#160;nm with an optical spectrum bandwidth of 20&#160;nm (full-width at half-maximum). In this laser, fast optical Stark self-absorption modulation and strong gain saturation combine to shape pulses on the timescale of carrier&#8211;carrier scattering. The cavity contains a stable group of circulating pulses, regularly spaced at an interval fixed by the time over which the saturated gain recovers.</p>",,"[{""address"": ""School of Physics and Astronomy, University of Southampton, Southampton, SO17 1BJ, UK"", ""authors"": [""Adrian H. Quarterman"", "",\u00a0Keith G. Wilcox"", "",\u00a0Vasilis Apostolopoulos"", "",\u00a0Zakaria Mihoubi"", "",\u00a0Stephen P. Elsmere"", ""\u00a0&\u00a0Anne Tropper""]}, {""address"": ""Cavendish Laboratory, University of Cambridge, Cambridge, CB3 0HE, UK"", ""authors"": [""Ian Farrer"", ""\u00a0&\u00a0David A. Ritchie""]}]",False,"[""Adrian H. Quarterman"", ""Keith G. Wilcox"", ""Vasilis Apostolopoulos"", ""Zakaria Mihoubi"", ""Stephen P. Elsmere"", ""Ian Farrer"", ""David A. Ritchie"", ""Anne Tropper""]","Quarterman, A., Wilcox, K., Apostolopoulos, V. et al.A passively mode-locked external-cavity semiconductor laser emitting 60-fs pulses. Nature Photon3, 729–731 (2009).",269,0,143,aplusplus,10.1038/nphoton.2009.216,https://doi.org/10.1038/nphoton.2009.216,,12,nphoton,nature photonics,1258848000,2009-11-22,,https://www.nature.com/articles/nphoton.2009.216,3
article,Tuning a terahertz wire laser,"<p>Tunable terahertz lasers are desirable in applications in sensing and spectroscopy because many biochemical species have strong spectral fingerprints at terahertz frequencies. Conventionally, the frequency of a laser is tuned in a similar manner to a stringed musical instrument, in which pitch is varied by changing the length of the string (the longitudinal component of the wave vector) and/or its tension (the refractive index). However, such methods are difficult to implement in terahertz semiconductor lasers because of their poor outcoupling efficiencies. Here, we demonstrate a novel tuning mechanism based on a unique &#8216;wire laser&#8217; device for which the transverse dimension w is &#8810;&#955;. Placing a movable object close to the wire laser manipulates a large fraction of the waveguided mode propagating outside the cavity, thereby tuning its resonant frequency. Continuous single-mode redshift and blueshift tuning is demonstrated for the same device by using either a dielectric or metallic movable object. In combination, this enables a frequency tuning of &#8764;137 GHz (3.6%) from a single laser device at &#8764;3.8 THz.</p>",,"[{""address"": ""Department of Electrical Engineering and Computer Science and Research Laboratory of Electronics, Massachusetts Institute of Technology, Cambridge, 02139, Massachusetts, USA"", ""authors"": [""Qi Qin"", "",\u00a0Benjamin S. Williams"", "",\u00a0Sushil Kumar"", ""\u00a0&\u00a0Qing Hu""]}, {""address"": ""Department of Electrical Engineering and California NanoSystems Institute, University of California, Los Angeles, 90095, California, USA"", ""authors"": [""Benjamin S. Williams""]}, {""address"": ""Department 1123, Sandia National Laboratories, MS 0601, Albuquerque, 87185-0601, New Mexico, USA"", ""authors"": [""John L. Reno""]}]",False,"[""Qi Qin"", ""Benjamin S. Williams"", ""Sushil Kumar"", ""John L. Reno"", ""Qing Hu""]","Qin, Q., Williams, B., Kumar, S. et al. Tuning a terahertz wire laser. Nature Photon3, 732–737 (2009).",138,3,102,aplusplus,10.1038/nphoton.2009.218,https://doi.org/10.1038/nphoton.2009.218,,12,nphoton,nature photonics,1258848000,2009-11-22,,https://www.nature.com/articles/nphoton.2009.218,3
product focus,Single-photon counting,,,"[{""address"": ""Neil Savage is a freelance science and technology journalist based in, Lowell, Massachusetts, USA"", ""authors"": [""Neil Savage""]}]",False,"[""Neil Savage""]","Savage, N. Single-photon counting. Nature Photon3, 738–739 (2009).",173,0,5,aplusplus,10.1038/nphoton.2009.232,https://doi.org/10.1038/nphoton.2009.232,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.232,3
interview,Gain-switching success,,,[],True,"[""Rachel Won""]","Won, R. Gain-switching success. Nature Photon3, 740 (2009).",34,0,0,aplusplus,10.1038/nphoton.2009.233,https://doi.org/10.1038/nphoton.2009.233,,12,nphoton,nature photonics,1259625600,2009-12-01,,https://www.nature.com/articles/nphoton.2009.233,3
