OBJECTID,LABEL,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
27,Autrain-Onota,2603660,22,,,,18,8,9,13,,0,0,0,,0.444444444444444,,0,4387029924.90234,430554.347120397
28,Avondale,2603690,363,182,62,120,181,71,133,230,20,0,0,0,0.340659340659341,0.392265193370166,0.0550964187327824,0,339563841.044434,130655.698696892
29,Bad Axe,2600017,248,121,44,77,127,54,98,150,6,0,0,0,0.363636363636364,0.425196850393701,0.0241935483870968,0,2505657092.64941,552046.519164707
30,Baldwin,2603810,529,225,90,135,304,135,225,304,17,0,0,0,0.4,0.444078947368421,0.0321361058601134,0,10301378298.7813,721147.998950935
31,Bangor,2603870,502,234,86,148,268,114,200,302,8,0,0,0,0.367521367521368,0.425373134328358,0.0159362549800797,0,2399007948.67188,502292.507948118
32,Bangor Township,2603900,280,137,51,86,143,60,111,169,17,0,0,0,0.372262773722628,0.41958041958042,0.0607142857142857,0,420227392.847656,133562.432421445
33,Bangor Township #8,2603960,11,,,,6,,,6,,0,0,0,,,,0,112992874.312744,113101.642469852
34,Baraga,2603990,122,64,20,44,58,20,40,82,,0,0,0,0.3125,0.344827586206897,,0,5820542411.69531,397636.248478647
35,Bark River-Harris,2604020,64,32,9,23,32,9,18,46,,0,0,0,0.28125,0.28125,,0,4959036004.61914,416677.934379759
36,Bath,2604170,104,61,22,39,43,17,39,65,6,0,0,0,0.360655737704918,0.395348837209302,0.0576923076923077,0,1154451394.3667,236851.031185088
37,Battle Creek,2600005,2328,1166,410,756,1162,489,899,1429,116,7,0,0,0.351629502572899,0.420826161790017,0.0498281786941581,0.00300687285223368,1173680232.59155,283266.181310086
38,Bay City,2604260,2797,1299,485,814,1498,663,1148,1649,119,9,0,0,0.373364126250962,0.442590120160214,0.0425455845548802,0.00321773328566321,6477441183.7998,617482.232559632
39,Beal City,2604290,66,28,11,17,38,16,27,39,,0,0,0,0.392857142857143,0.421052631578947,,0,1329118312.26855,480620.601461389
40,Bear Lake,2604320,99,43,15,28,56,22,37,62,,0,0,0,0.348837209302326,0.392857142857143,,0,1517891586.79492,223673.043995948
41,Beaver Island,2604350,,,,,,,,,,0,0,0,,,,,2085283299.12305,596205.1023392
42,Beaverton,2604440,405,177,68,109,228,100,168,237,18,0,0,0,0.384180790960452,0.43859649122807,0.0444444444444444,0,6267975433.65723,535844.662735019
43,Bedford,2604470,415,157,60,97,258,104,164,251,14,0,0,0,0.382165605095541,0.403100775193798,0.0337349397590361,0,1108121273.828,151051.82487934
44,Beecher,2604500,546,291,107,184,255,111,218,328,44,6,0,0,0.367697594501718,0.435294117647059,0.0805860805860806,0.010989010989011,140385420.47168,52974.7573558906
45,Belding,2604530,599,303,113,190,296,121,234,365,6,0,0,0,0.372937293729373,0.408783783783784,0.010016694490818,0,2816561933.81006,363894.991577213
46,Bellaire,2604620,77,34,8,26,43,16,24,53,,0,0,0,0.235294117647059,0.372093023255814,,0,2090469578.75195,208530.834374982
47,Bellevue,2604650,204,89,28,61,115,44,72,132,6,0,0,0,0.314606741573034,0.382608695652174,0.0294117647058824,0,2344411514.07837,415749.298211574
48,Bendle,2604740,384,204,71,133,180,78,149,235,9,0,0,0,0.348039215686274,0.433333333333333,0.0234375,0,57786227.6269531,32223.2237675098
49,Bentley,2604800,222,119,44,75,103,44,88,134,6,0,0,0,0.369747899159664,0.427184466019417,0.027027027027027,0,152064364.110352,57940.7038052271
50,Benton Harbor,2604830,1645,806,294,512,839,374,668,977,117,6,6,0,0.364764267990074,0.445768772348033,0.0711246200607903,0.00729483282674772,1639525968.18628,255428.334200392
51,Benzie County Central,2604950,584,246,88,158,338,139,227,357,10,0,0,0,0.357723577235772,0.411242603550296,0.0171232876712329,0,9798574127.43359,623873.165851964
52,Berkley,2605010,369,160,46,114,209,80,126,243,12,0,0,0,0.2875,0.382775119617225,0.032520325203252,0,133879444.727051,56237.4203140813
53,Berlin Township #3,2605100,10,,,,6,,,,,0,0,0,,,,0,169751089.578613,74914.8534297412
54,Berrien Springs,2605430,305,142,51,91,163,63,114,191,10,0,0,0,0.359154929577465,0.386503067484663,0.0327868852459016,0,1640615983.37354,263713.895377127
55,Bessemer,2600006,147,54,21,33,93,41,62,85,,0,0,0,0.388888888888889,0.440860215053763,,0,3372669361.29102,350606.656649328
56,Big Bay de Noc,2605690,53,23,8,15,30,10,18,35,,0,0,0,0.347826086956522,0.333333333333333,,0,14196559689.5449,1083355.14724361
57,Big Jackson,2600105,12,7,,,,,,7,,0,0,0,,,,0,1658292846.99902,225703.957943909
58,Big Rapids,2605780,534,271,105,166,263,115,220,314,30,0,0,0,0.387453874538745,0.437262357414449,0.0561797752808989,0,3752625371.36035,502917.137869157
59,Birch Run,2605820,200,94,37,57,106,40,77,123,,0,0,0,0.393617021276596,0.377358490566038,,0,1791771386.4458,223927.959613437
60,Birmingham,2605850,306,121,42,79,185,69,111,195,9,0,0,0,0.347107438016529,0.372972972972973,0.0294117647058824,0,687631120.34375,212400.162867093
61,Blissfield,2606000,235,110,41,69,125,50,91,144,,0,0,0,0.372727272727273,0.4,,0,3340351456.55597,362178.909173449
62,Bloomfield Hills,2606090,218,71,21,50,147,51,72,146,,0,0,0,0.295774647887324,0.346938775510204,,0,702119517.209961,196639.593894639
63,Bloomfield Township #7F,2600009,,,,,,,,,,0,0,0,,,,,455961764.766602,165155.349204285
64,Bloomingdale,2606270,425,199,74,125,226,96,170,255,,0,0,0,0.371859296482412,0.424778761061947,,0,2542243996.96729,431066.842444342
65,Bois Blanc Pines,2606300,,,,,,,,,,0,0,0,,,,,1033453010.09961,193656.976057562
66,Boyne City,2606500,250,127,40,87,123,45,85,165,,0,0,0,0.31496062992126,0.365853658536585,,0,2757581610.39355,411134.905162411
67,Boyne Falls,2606510,71,30,9,21,41,17,26,45,,0,0,0,0.3,0.414634146341463,,0,1518129473.1709,220931.708445968
68,Brandon,2606570,300,153,55,98,147,66,121,179,19,0,0,0,0.359477124183007,0.448979591836735,0.0633333333333333,0,1544970094.53223,281030.934042032
69,Brandywine,2606600,234,110,34,76,124,52,86,148,,0,0,0,0.309090909090909,0.419354838709677,,0,523866350.402466,136928.857934897
70,Breckenridge,2606630,238,109,44,65,129,54,98,140,,0,0,0,0.403669724770642,0.418604651162791,,0,3609434934.45117,564264.158900396
71,Breitung Township,2606720,377,160,51,109,217,78,129,248,,0,0,0,0.31875,0.359447004608295,,0,2034581946.80859,320644.534978201
72,Bridgeport-Spaulding,2606780,448,228,87,141,220,102,189,259,35,0,0,0,0.381578947368421,0.463636363636364,0.078125,0,1735257378.0166,207362.859036927
73,Bridgman,2606840,101,50,16,34,51,17,33,68,,0,0,0,0.32,0.333333333333333,,0,546515144.017944,128380.550665704
74,Brighton,2606870,466,220,72,148,246,94,166,300,12,0,0,0,0.327272727272727,0.382113821138211,0.0257510729613734,0,1604953792.04297,254654.001374691
75,Brimley,2606900,71,33,8,25,38,13,21,50,,0,0,0,0.242424242424242,0.342105263157895,,0,8281314049.93164,561252.327195782
76,Britton-Macon,2606930,71,31,9,22,40,15,24,47,,0,0,0,0.290322580645161,0.375,,0,1466109343.67102,299415.644364618
77,Bronson,2606960,390,192,75,117,198,85,160,230,,0,0,0,0.390625,0.429292929292929,,0,4231242302.00061,370502.489073446
78,Brown City,2607040,207,102,34,68,105,46,80,127,,0,0,0,0.333333333333333,0.438095238095238,,0,3161284137.04395,393563.845390536
79,Buchanan,2607140,302,140,53,87,162,71,124,178,6,0,0,0,0.378571428571429,0.438271604938272,0.0198675496688742,0,1428266847.53345,226321.474201234
80,Buckley,2607170,104,55,19,36,49,17,36,68,,0,0,0,0.345454545454545,0.346938775510204,,0,1984417924.04395,311118.178079427
81,Buena Vista,2607230,450,210,85,125,240,114,199,251,32,8,0,0,0.404761904761905,0.475,0.0711111111111111,0.0177777777777778,621639755.203125,171957.481934704
82,Bullock Creek,2607320,293,145,52,93,148,64,116,177,,0,0,0,0.358620689655172,0.432432432432432,,0,2117120514.5625,376660.078795881
83,Burr Oak,2607410,82,29,11,18,53,19,30,52,,0,0,0,0.379310344827586,0.358490566037736,,0,719167537.090332,204937.763385181
84,Burt Township,2607470,8,,,,6,,,,,0,0,0,,,,0,6682996158.39063,371213.336507844
85,Byron,2607530,183,87,26,61,96,33,59,124,,0,0,0,0.298850574712644,0.34375,,0,2018707268.98926,398844.041758671
86,Byron Center,2607560,357,158,52,106,199,72,124,233,18,0,0,0,0.329113924050633,0.361809045226131,0.0504201680672269,0,1134582162.78418,178810.618665959
87,Cadillac,2607590,844,430,158,272,414,180,338,506,17,0,0,0,0.367441860465116,0.434782608695652,0.0201421800947867,0,7069347298.66113,714382.686247115
88,Caledonia,2607620,353,152,44,108,201,68,112,241,18,0,0,0,0.289473684210526,0.338308457711443,0.0509915014164306,0,2627995398.98877,417109.430290321
89,Calumet,2607690,384,163,60,103,221,94,154,230,18,0,0,0,0.368098159509202,0.425339366515837,0.046875,0,11771532696.2676,2336644.50421921
90,Camden-Frontier,2607710,246,122,48,74,124,58,106,140,,0,0,0,0.39344262295082,0.467741935483871,,0,2672555928.10529,431745.264522973
91,Capac,2607800,263,114,38,76,149,57,95,168,13,0,0,0,0.333333333333333,0.38255033557047,0.0494296577946768,0,2976269861.60547,389273.579599268
92,Carman-Ainsworth,2607890,1095,556,205,351,539,230,435,660,95,0,0,0,0.368705035971223,0.426716141001855,0.0867579908675799,0,744510428.126953,248917.732550138
93,Carney-Nadeau,2608010,36,7,,,29,10,13,23,,0,0,0,,0.344827586206897,,0,3063418614.24805,292755.115974308
94,Caro,2608040,566,271,104,167,295,130,234,332,15,0,0,0,0.383763837638376,0.440677966101695,0.0265017667844523,0,3280250324.29297,535504.330298815
95,Carrollton,2608070,256,117,43,74,139,62,105,151,14,0,0,0,0.367521367521368,0.446043165467626,0.0546875,0,97992658.59375,46771.2086883727
96,Carson City-Crystal,2608130,370,175,70,105,195,82,152,218,8,0,0,0,0.4,0.420512820512821,0.0216216216216216,0,4254825058.23779,588295.0575428
97,Carsonville-Port Sanilac,2608160,162,71,27,44,91,38,65,97,,0,0,0,0.380281690140845,0.417582417582418,,0,2245716146.73633,363636.109445032
98,Caseville,2608280,52,18,7,11,34,14,21,31,,0,0,0,0.388888888888889,0.411764705882353,,0,268034165.518555,258589.923967165
99,Cass City,2608400,325,135,53,82,190,84,137,188,,0,0,0,0.392592592592593,0.442105263157895,,0,5489476183.62598,723171.285682514
100,Cassopolis,2608430,354,144,50,94,210,85,135,219,,0,0,0,0.347222222222222,0.404761904761905,,0,3609539808.44141,385768.283755973
101,Cedar Springs,2608520,574,262,87,175,312,117,204,370,20,0,0,0,0.33206106870229,0.375,0.0348432055749129,0,3132547439.39795,483743.986746365
102,Center Line,2608580,744,371,127,244,373,162,289,455,56,0,0,0,0.342318059299191,0.434316353887399,0.0752688172043011,0,141971108.366211,67944.7250604179
103,Central Lake,2608610,78,39,12,27,39,13,25,53,,0,0,0,0.307692307692308,0.333333333333333,,0,1742765632.2002,244826.779304066
104,Central Montcalm,2608640,655,307,119,188,348,149,268,387,12,0,0,0,0.387622149837134,0.42816091954023,0.0183206106870229,0,4182797465.55518,597714.801668707
105,Centreville,2608670,160,84,33,51,76,32,65,95,,0,0,0,0.392857142857143,0.421052631578947,,0,1742324966.81519,456076.626515779
106,Charlevoix,2608730,248,118,35,83,130,39,74,174,8,0,0,0,0.296610169491525,0.3,0.032258064516129,0,2562915836.52246,333858.146501283
107,Charlotte,2608770,617,301,107,194,316,119,226,391,13,0,0,0,0.355481727574751,0.376582278481013,0.0210696920583468,0,3663693581.68311,742302.567374653
108,Chassell Township,2608880,40,17,7,10,23,8,15,25,,0,0,0,0.411764705882353,0.347826086956522,,0,1448441234.01172,153774.965839267
109,Cheboygan,2608910,724,297,113,184,427,188,301,423,14,0,0,0,0.38047138047138,0.440281030444965,0.0193370165745856,0,7545223194.90625,545629.903274443
110,Chelsea,2608940,211,88,25,63,123,42,67,144,6,0,0,0,0.284090909090909,0.341463414634146,0.028436018957346,0,3507136583.78955,375780.865204708
111,Chesaning Union,2609150,461,205,60,145,256,88,148,313,10,0,0,0,0.292682926829268,0.34375,0.0216919739696312,0,4565554348.18457,609091.344399394
112,Chippewa Hills,2609560,964,442,183,259,522,233,416,548,21,0,0,0,0.414027149321267,0.446360153256705,0.0217842323651452,0,10265872422.9434,860110.151780817
113,Chippewa Valley,2609570,1657,771,259,512,886,348,607,1050,85,0,7,0,0.335927367055772,0.392776523702032,0.0512975256487628,0.00422450211225106,770186473.4375,161533.504724881
114,Church,2609630,12,6,,,6,,6,6,,0,0,0,,,,0,214868369.660156,87070.3081313471
115,Clare,2609750,323,151,58,93,172,69,127,196,15,0,0,0,0.384105960264901,0.401162790697674,0.0464396284829721,0,3492938433.2959,465159.475165829
116,Clarenceville,2609840,373,180,62,118,193,84,146,227,22,0,0,0,0.344444444444444,0.435233160621762,0.0589812332439678,0,103172248.070313,52368.1933185229
117,Clarkston,2609900,513,245,90,155,268,119,209,304,27,0,0,0,0.36734693877551,0.444029850746269,0.0526315789473684,0,1621567285.17285,226269.632119853
118,Clawson,2609930,155,76,23,53,79,26,49,106,9,0,0,0,0.302631578947368,0.329113924050633,0.0580645161290323,0,61624952.1835938,37487.4185494363
119,Climax-Scotts,2610020,78,37,12,25,41,16,28,50,,0,0,0,0.324324324324324,0.390243902439024,,0,1707064545.64063,241962.327892922
120,Clinton,2610050,115,54,18,36,61,23,41,74,,0,0,0,0.333333333333333,0.377049180327869,,0,1496393607.46655,374382.657110217
121,Clintondale,2610080,707,356,124,232,351,138,262,445,46,0,0,0,0.348314606741573,0.393162393162393,0.0650636492220651,0,108233981.798828,48065.3382324247
122,Clio,2610110,416,212,81,131,204,82,163,253,10,6,0,0,0.382075471698113,0.401960784313726,0.0240384615384615,0.0144230769230769,1653476314.74023,317901.321866196
123,Coldwater,2610140,849,433,168,265,416,191,359,490,16,0,0,0,0.387990762124711,0.459134615384615,0.0188457008244994,0,4019299147.11401,536723.108533492
124,Coleman,2610200,249,126,50,76,123,50,100,149,,0,0,0,0.396825396825397,0.40650406504065,,0,3222882907.53613,331975.966732576
125,Colfax Township #1F,2610230,8,,,,7,,,,,0,0,0,,,,0,155354292.423828,62992.1765126733
126,Coloma,2610380,297,140,50,90,157,65,115,182,6,0,0,0,0.357142857142857,0.414012738853503,0.0202020202020202,0,1194825569.33813,239601.205769039
127,Colon,2610410,240,94,32,62,146,63,95,145,6,0,0,0,0.340425531914894,0.431506849315069,0.025,0,2834233286.14514,525724.639178682
128,Columbia,2606990,264,122,41,81,142,55,96,168,6,0,0,0,0.336065573770492,0.387323943661972,0.0227272727272727,0,2507161073.8418,459292.37332433
129,Comstock,2610590,539,257,93,164,282,124,217,322,32,0,0,0,0.361867704280156,0.439716312056738,0.0593692022263451,0,718865810.452881,186405.784848202
130,Comstock Park,2610620,267,137,46,91,130,44,90,177,19,0,0,0,0.335766423357664,0.338461538461538,0.0711610486891386,0,277623527.600098,126770.027174074
131,Concord,2610650,135,69,21,48,66,25,46,89,,0,0,0,0.304347826086957,0.378787878787879,,0,1949014036.27002,394284.692530611
132,Constantine,2610750,318,145,52,93,173,74,126,192,,0,0,0,0.358620689655172,0.427745664739884,,0,2733933442.49585,612233.883751675
133,Coopersville,2610830,303,140,47,93,163,62,109,194,14,0,0,0,0.335714285714286,0.380368098159509,0.0462046204620462,0,3064292235.04004,477502.234206848
134,Corunna,2610860,427,208,68,140,219,87,155,272,7,0,0,0,0.326923076923077,0.397260273972603,0.0163934426229508,0,2812730940.85449,556464.612380855
135,Covert,2610980,193,87,33,54,106,46,79,114,6,0,0,0,0.379310344827586,0.433962264150943,0.0310880829015544,0,1025569481.33105,167640.052895427
136,Crawford AuSable,2611030,626,288,105,183,338,138,243,383,10,0,0,0,0.364583333333333,0.408284023668639,0.0159744408945687,0,12655358355.5635,599277.386118837
137,Crestwood,2600016,1291,611,212,399,680,294,506,785,63,0,0,0,0.346972176759411,0.432352941176471,0.0487993803253292,0,151476324.071777,55909.8072647478
138,Croswell-Lexington,2611140,484,215,77,138,269,113,190,294,12,0,0,0,0.358139534883721,0.420074349442379,0.0247933884297521,0,4673637677.80225,541797.204943077
139,Dansville,2611400,107,57,19,38,50,19,38,69,,0,0,0,0.333333333333333,0.38,,0,2450062837.47852,331326.543572757
140,Davison,2611430,528,267,95,172,261,106,201,327,14,0,0,0,0.355805243445693,0.406130268199234,0.0265151515151515,0,1705866556.73486,262772.110893879
141,Dearborn,2611600,3880,1949,664,1285,1931,812,1476,2404,199,31,0,0,0.340687532067727,0.420507509062662,0.0512886597938144,0.00798969072164948,743970534.207764,168575.668720676
142,Dearborn Heights #7,2611610,694,324,101,223,370,154,255,439,19,0,0,0,0.311728395061728,0.416216216216216,0.0273775216138329,0,60957003.8598633,35274.2500524831
143,Decatur,2611670,295,144,58,86,151,66,124,171,,0,0,0,0.402777777777778,0.437086092715232,,0,2266829112.25537,414746.317785041
144,Deckerville,2611700,217,87,28,59,130,59,87,130,,0,0,0,0.32183908045977,0.453846153846154,,0,4897328239.4248,465401.502863223
145,Deerfield,2611730,45,21,8,13,24,10,18,27,,0,0,0,0.380952380952381,0.416666666666667,,0,781549597.348267,198336.131301362
146,Delton-Kellogg,2611910,302,142,49,93,160,64,113,189,,0,0,0,0.345070422535211,0.4,,0,3262146934.09155,565118.6791652
147,DeTour,2611970,33,10,,7,23,9,12,21,,0,0,0,,0.391304347826087,,0,10268396774.2695,980882.352921956
148,Detroit,2612000,37228,19582,7189,12393,17646,7907,15096,22132,5159,179,49,0,0.367122867939945,0.448090218746458,0.138578489309122,0.00612442247770495,3988333780.8313,431890.044521322
149,DeWitt,2611550,152,80,26,54,72,30,56,96,,0,0,0,0.325,0.416666666666667,,0,512131416.007324,169590.472843377
150,Dexter,2612030,172,65,18,47,107,34,52,120,,0,0,0,0.276923076923077,0.317757009345794,,0,2345257434.32983,356148.917494971
151,Dollar Bay-Tamarack City,2626940,38,21,7,14,17,7,14,24,,0,0,0,0.333333333333333,0.411764705882353,,0,880312118.419922,152435.469876543
152,Dowagiac Union,2612150,752,361,119,242,391,166,285,467,9,0,0,0,0.329639889196676,0.424552429667519,0.011968085106383,0,3360894059.11426,424324.745015546
153,Dryden,2612240,74,30,11,19,44,14,25,49,6,0,0,0,0.366666666666667,0.318181818181818,0.0810810810810811,0,979576704.460449,216890.055141105
154,Dundee,2612300,227,111,36,75,116,46,82,145,,0,0,0,0.324324324324324,0.396551724137931,,0,2040120563.51416,302220.330671617
155,Durand,2612330,397,175,54,121,222,81,135,262,,0,0,0,0.308571428571429,0.364864864864865,,0,1781520064.81396,322587.08116087
156,East China,2612420,686,281,98,183,405,167,265,421,12,0,0,0,0.348754448398577,0.412345679012346,0.0174927113702624,0,3618799549.86084,373952.708031743
157,East Detroit,2612450,1687,866,314,552,821,366,680,1007,184,0,0,0,0.362586605080831,0.445797807551766,0.109069353882632,0,169984743.180176,56592.7556442492
158,East Grand Rapids,2612480,52,15,,11,37,11,15,37,,0,0,0,,0.297297297297297,,0,102962240.157227,47587.2440493738
159,East Jackson,2612540,282,138,50,88,144,61,111,171,17,0,0,0,0.36231884057971,0.423611111111111,0.0602836879432624,0,983174309.005371,230778.124645592
160,East Jordan,2612560,202,86,21,65,116,41,62,140,6,0,0,0,0.244186046511628,0.353448275862069,0.0297029702970297,0,3228265038.62402,386466.546708952
161,East Lansing,2612600,243,130,45,85,113,42,87,156,18,0,0,0,0.346153846153846,0.371681415929204,0.0740740740740741,0,398074690.16748,146663.052585621
162,Easton Township #6,2612660,14,,,,9,,,10,,0,0,0,,,,0,122320426.85498,54022.9194422194
163,Eaton Rapids,2612690,495,219,83,136,276,116,199,296,,0,0,0,0.378995433789954,0.420289855072464,,0,3338364622.32935,592670.852759989
164,Eau Claire,2612810,147,67,26,41,80,32,58,89,,0,0,0,0.388059701492537,0.4,,0,1394159132.86206,249264.504169601
165,Ecorse,2612930,520,263,96,167,257,114,210,310,38,6,0,0,0.365019011406844,0.443579766536965,0.0730769230769231,0.0115384615384615,98592179.3164063,44376.1937638766
166,Edwardsburg,2612990,268,124,46,78,144,59,105,163,11,0,0,0,0.370967741935484,0.409722222222222,0.041044776119403,0,1782803599.95203,246123.635246974
167,Elk Rapids,2613050,165,74,21,53,91,24,45,120,,0,0,0,0.283783783783784,0.263736263736264,,0,3606272476.92871,404900.886890633
168,Elkton-Pigeon-Bay Port,2613090,283,123,40,83,160,57,97,186,6,0,0,0,0.32520325203252,0.35625,0.0212014134275618,0,5507426202.37695,866577.369416539
169,Ellsworth,2613110,59,28,7,21,31,11,18,41,,0,0,0,0.25,0.354838709677419,,0,1274800744.2207,178213.223543151
170,Elm River Township,2613140,9,,,,,,,6,,0,0,0,,,,0,2612198931.44727,222341.712215866
171,Engadine,2615600,55,17,,12,38,12,17,38,,0,0,0,,0.315789473684211,,0,12477570023.3555,725232.961012307
172,Escanaba,2613500,734,349,108,241,385,140,248,486,10,0,0,0,0.30945558739255,0.363636363636364,0.0136239782016349,0,5082519739.88086,638033.781660259
173,Essexville-Hampton,2613530,179,79,31,48,100,41,72,107,6,0,0,0,0.392405063291139,0.41,0.0335195530726257,0,539557365.883789,219726.359559102
174,Evart,2613560,379,165,64,101,214,92,156,223,6,0,0,0,0.387878787878788,0.429906542056075,0.0158311345646438,0,5599658669.13672,593131.658940606
175,Ewen-Trout Creek,2600014,38,15,,10,23,10,15,23,,0,0,0,,0.434782608695652,,0,19278740961.5449,768256.544990516
176,Excelsior Township #1,2613680,15,,,,12,,,11,,0,0,0,,,,0,512978498.103516,121732.021696742
177,Fairview,2610560,100,49,15,34,51,20,35,65,,0,0,0,0.306122448979592,0.392156862745098,,0,8992755371.89063,506365.305221818
178,Farmington,2614070,995,454,152,302,541,198,350,645,32,0,0,0,0.334801762114537,0.365988909426987,0.0321608040201005,0,967820214.0625,135321.107592878
179,Farwell,2614100,549,254,90,164,295,133,223,326,9,0,0,0,0.354330708661417,0.450847457627119,0.0163934426229508,0,5149018504.37793,515199.47178402
180,Fennville,2614230,375,164,59,105,211,89,148,227,,0,0,0,0.359756097560976,0.421800947867299,,0,3181103953.11865,343026.955125302
181,Fenton,2614250,286,140,46,94,146,57,103,183,13,0,0,0,0.328571428571429,0.39041095890411,0.0454545454545455,0,1041418904.48779,185073.889491848
182,Ferndale,2614280,447,217,73,144,230,94,167,280,36,0,0,0,0.336405529953917,0.408695652173913,0.0805369127516778,0,129272816.964355,51485.9784687593
183,Fitzgerald,2614460,726,370,131,239,356,151,282,444,94,0,0,0,0.354054054054054,0.424157303370787,0.129476584022039,0,128430304.734863,52755.477991058
184,Flat Rock,2607080,249,119,42,77,130,56,98,151,10,0,0,0,0.352941176470588,0.430769230769231,0.0401606425702811,0,210915938.151611,103094.028538825
185,Flint,2614520,6138,3233,1165,2068,2905,1278,2443,3695,524,29,0,0,0.360346427466749,0.439931153184165,0.0853698273053112,0.0047246660149886,848422123.286621,139537.502521629
186,Flushing,2614550,488,239,88,151,249,95,183,305,21,0,0,0,0.368200836820084,0.381526104417671,0.0430327868852459,0,1525148433.93311,215760.062488125
187,Forest,2614570,231,88,24,64,143,53,77,154,11,0,0,0,0.272727272727273,0.370629370629371,0.0476190476190476,0,3219954027.75977,394586.902642821
