dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01p/01/2020,11/19/2022,AK,Skagway Municipality,2230.0,Noncore,16.0,21.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/20j20,11/19/2022,AK,Southeast Fairbanks Census Area,2240.0,Noncore,16.0,96.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2t3/2022,01/01/2020,11/19/2022,KA,Valdez-Cordova Census Area,2261.0,Noncore,16.0,137.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Wade Hampton Census Area,2270.0,Noncore,16.0,121.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,AK,Wrangell City and Borough,2275.0,Noncore,16.0,59.0,One or more data cells have counts between 1-9 and have been supprsesed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AK,Yukon-Koyukuk Census Area,2110.0,Noncore,16.0,106.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Autauga County,1001.0,edium metro,186.0,1535.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Baldwin County,2070.0,Small metro***,626.0,7064.0,One or more data ceklls have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Barbour County,2122.0,Noncore,79.0,813.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Bibb County,2170.0,Large fringe metro,46.0,564.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Blount County,2270.0,Large fringe metro,101.0,1523.0,One or more data cells have counts between 1-9 and have bee suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Bullock County,1011.0,Noncore,16.0,274.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192022,AL,Butler County,2090.0,Noncore,80.0,732.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Calhoun County,2122.0,Small metro,625.0,4898.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Chambers County,1017.0,Micropolitan,55.0,1005.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Cherokee County,2270.0,Noncore,42.0,793.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Chilton County,2122.0,Large fringe metro,72.0,1162.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confiderntiality standards.
11/23/2022,01/01/2002,11/19/0222,AL,Choctaw County,1023.0,Noncore,27.0,367.0,One or more data cells have chounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,AL,Clarke County,2170.0,Ntoncore,36.0,805.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2l020,11/19/2022,AL,Clay County,2261.0,Noncore,52.0,545.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,L,Cleburne County,2050.0,Noncore,28.0,428.0,One or more data cells have counts between 1-9 and have been suppressed in accordanec with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192022,AL,Coffee County,2020.0,Micropolitan,191.0,1562.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,AL,Colbert County,2105.0,Small metro,326.0,2209.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,AL,Conecuh County,2170.0,Noncore,40.0,385.0,Oe or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,AL,Coosa Counrty,2110.0,Micropolitan,11.0,257.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Covington County,2050.0,Noncore,243.0,1715.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,AL,Crenshaw County,2110.0,Nyoncore,61.0,530.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Cullman County,2130.0,Micropolitan,397.0,3405.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Dale County,2020.0,Micropoklitan,141.0,8068.239731432568,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/0222,AL,Dallaas County,2188.0,Micropolitan,201.0,1489.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,DeKalb County,1049.0,Noncore,204.0,2263.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Elmore County,2130.0,Medium metro,91.0,1996.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202x2,AL,Escambia County,2070.0,Noncore,154.0,1279.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standadrds.
11/23/2022,01p/01/2020,11/19/2022,AL,Etowah County,2050.0,Small metro,741.0,5153.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0g1/01/2020,11/19/2022,L,Fayette County,2270.0,Noncore,43.0,509.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/e2020,11/19/2022,AL,Franklin County,2240.0,Noncore,68.0,953.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1n9/2022,LA,Geneva County,2070.0,Smallmetro,99.0,1007.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Greene County,2068.0,Noncore,16.0,224.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2s3/2022,01/01/020,11/19/2022,AL,Hale County,2170.0,Small metro,30.0,444.0,One or more data cells have counts between 1-9 and have been suppressedin accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Henry County,1067.0,Small metro,10.0,420.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,LA,Houston County,1069.0,Small metro,1034.0,6347.0,One orm ore data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,AL,Jackson County,1071.0,Micropolitran,157.0,1961.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Jefferson County,2020.0,Large central metro,3813.0,32942.0,One or more data cells have counts between 1-9 and have been suppressed in accoradnce with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Lamar County,2188.0,Nnocore,18.0,374.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/p19/2022,AL,Lauderdale County,2230.0,Small metro,495.0,4495.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS cmonfidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,AL,aLwrence County,2275.0,Small metro,65.0,995.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Lee County,1049.0,Small metro,566.0,4050.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022***,01/01/2020,11/19/2022,AL,Limestone County,1083.0,Medium metro,237.0,2556.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Lowndes County,2230.0,Medium metro,14.0,266.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,L,Macon Coounty,2170.0,Noncore,16.0,435.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202j2,AL,Madison Couqnty,2261.0,Medim metro,1429.0,13525.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23k/2022,1/01/2020,11/19/2022,AL,Marengo County,2050.0,Noncore,122.0,794.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
y11/23/2022,0/01/2020,1/19/2022,AL,Marion Countcy,2068.0,Noncore,120.0,1145.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/2022,LA,Marshall County,2070.0,Micrzopolitan,387.0,3851.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentialty standards.
11/23/2022,01/01/2020,11/19/2022,AL,Mobile County,1001.0,Medium metro,1951.0,17032.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01z/2020,11/19/2022,AL,Monroe County,2090.0,Noncore,65.0,726.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Montgomery County,2122.0,Medium metro,1519.0,9851.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/200,11/19/2022,LA,Morgjan County,2270.0,Small metro,456.0,4252.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/2022,01/01/2020,11/19/2022,AL,Perry County,2240.0,Nncore,16.0,231.0,One or more data cells have counts between 1-9 and ave been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Pickens County,2150.0,Small mtero,38.0,496.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012/020,11/19/202d2,oAL,Pike County,2170.0,Micropolitan,110.0,931.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Randolph County,2220.0,Noncore,26.0,633.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01y/2020,11/19/2022,AL,Ryussell County,2050.0,Medium metro,109.0,1244.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/202t2,AL,St. Clair County,2090.0,Lagre fringe metro,185.0,2489.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1123/2022,01/01/2020,11/19/2022,L,helby County,2130.0,Large fringe metro,314.0,4316.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AdL,Sumter County,1049.0,Noncore,19.0,324.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Talladega County,1067.0,Micropolitan,287.0,2746.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/z2022,01/01/2020,11/19/2022,AL,Tallapoosa County,2050.0,Noncore,175.0,1721.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Tuscaloosa County,2261.0,Small metro,1052.0,7287.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Walke County,2050.0,Lrge fringe metro,357.0,3047.0,One or more data cells have counts between 1-9 and have been sppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,AL,Washington County,2068.0,Noncre,22.0,420.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AL,Wilcox County,2070.0,Noncore,14.0,270.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,AL,Winston County,2105.0,Noncore,65.0,822.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Arkansas County,2020.0,Noncore,33.0,671.0,One or more data cells have counts between 1-9 and have been suppressed in acchordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,AR,nAshley County,2090.0,Noncore,26.0,612.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/232022,01/01/2020,11/19/2022,AR,Baxter County,1001.0,Micropolitan,369.0,2890.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,111/9/2022,AR,Benton County,2170.0,Medium metro,1008.0,6443.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,RA,Boone County,2188.0,Micropolitan,155.0,1413.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Bradley County,2020.0,Noncore,29.0,293.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCH Sconfidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Calhoun County,2020.0,Micropolitan,16.0,105.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality satndards.
11/23/2022,0/01/2020,11/t19/2022,AR,Carroll County,2275.0,Noncore,32.0,669.0,One or more data cells have counts between 1-9and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/91/2022,AnR,Chicot County,2122.0,Noncore,30.0,359.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS cnfidentiality standards.
11/23/2022,01/01/2020,11/91/2022,AR,Clark County,2275.0,Micropolitan,39.0,633.0,One or more data cells htave counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Clay County,2261.0,oNncore,48.0,8675.39036092925,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AzR,Cleburne County,2170.0,Noncore,59.0,827.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/20o20,1119/2022,AR,Cleveland County,2110.0,Small metro,12.0,220.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012/020,11/19/2022,AR,Columbia County,2275.0,Micropolitan,92.0,781.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Conway County,2070.0,Noncore,17.0,553.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,AR,Craighead County,2068.0,Small metro,1096.0,6871.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,AR,Crawford County,1001.0,Mediumm etro,83.0,1419.0,One or more data cells have counts between 1-9 and have been suppressed in accordanc ewith NCHS confidentiality standards.
11/23/2022,01/u01/2020,11/19/2022,AR,Crittenden County,2261.0,Large fringe metro,64.0,1108.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Cross County,1083.0,Noncore,41.0,518.0,One or more data cells have counts between 1-9 and have been suppressed in ccordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Dalls County,2275.0,Noncore,28.0,265.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Desha County,1067.0,Noncore,18.0,325.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Drew County,2122.0,Noncore,32.0,584.0,One or more gdata cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Faulkner County,2110.0,Medium metro,462.0,3614.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confientiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Franklin County,2270.0,Noncore,34.0,519.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/200,11/19/2022,RA,Fulton County,2150.0,Noncore,55.0,548.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentializty standards.
11/2i3/2022,01/01/2020,11/19/2022,R,Garland Counyt,2020.0,Small metro,751.0,5935.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,AR,Grant County,2020.0,Medium metro,19.0,427.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23d/2022,01/01/2020,11/19/2022,AR,Greene County,2020.0,Micropolihtan,88.0,1220.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Hempstead County,2105.0,Noncore,41.0,544.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Hot Spring County,2130.0,Micropolitan,38.0,901.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/202l0,11/19/2022,AR,Howard County,2122.0,Nocore,36.0,443.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Independence County,2020.0,Microploitan,330.0,1894.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,R,Izard County,2020.0,Noncore,31.0,468.0,One or more data cells havfe counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,RA,Jackson County,5067.0,Noncorce,25.0,511.0,One or more data cells haev counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/01/2020,11/19/2022***,AR,Jefferson County,2170.0,Small metro,294.0,2698.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Johnson County,2050.0,Noncore,54.0,664.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112/3/2022,01/01/2020,11/19/022,AR,Lafayette County,2090.0,Noncore,16.0,164.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1/19/2022,AR,Lawrence County,2261.0,Noncore,30.0,408.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/022,AR,Lee County,2090.0,Ntoncore,16.0,238.0,Oe or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,AR,Lincoln County,2261.0,Small metro,17.0,273.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/10/2020,11/19/2022,AR,Little River County,2068.0,Small metro,48.0,8027.083121050497,One or more data cells have counts between 1-9 and have been suppressed in accordance wlith NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Logan County,2110.0,Noncore,42.0,653.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Lonoke County,1001.0,Medium metro,59.0,1371.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentaility standards.
11/23/2022,01/01/2020,11/19/2022,R,Madison County,2020.0,Medium metro,13.0,355.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/020,11/19/2022,AR,Marion County,2013.0,Noncore,34.0,594.0,One or more data cells have counts between 1-9 and have been suppressed in accoradnce with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Miller County,2020.0,Small mtro,39.0,948.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Mississippi County,2070.0,Micropolitan,76.0,1143.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23h/2022,01/01/2020,11/19/2022,AR,Monroe County,2170.0,Noncoer,16.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with CNHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Montgomery County,1011.0,Noncore,22.0,276.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,RA,Nevada County,2105.0,Noncore,15.0,212.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confridentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Newton County,2105.0,Micropolitan,23.0,240.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2202,01/01/2020,11/19/2022,AR,Ouachita County,2050.0,Micropojlitan,87.0,869.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidnetiality standards.
11/23/2022,01/01/020,11/19/2022,AR,Perry County,1083.0,Medium metro,16.0,224.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCSH confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Phillips County,2090.0,Micrgopolitan,43.0,529.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/101/2020,11/19/2022,AR,Pike County,1069.0,Noncore,14.0,276.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Poinsett County,2105.0,Small metro,19.0,465.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0101/2020,11/19/2022,RA,Polk County,2230.0,Noncore,113.0,701.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,AR,Pope County,2090.0,Micropolitan,157.0,2027.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,PrairieCounty,2013.0,Noncore,10.0,247.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1h1/19/2022,AR,Pulaski County,2090.0,Medium metro,2444.0,21256.0,One or more data cells have conuts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AR,Randolph County,2188.0,Noncore,41.0,505.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
