locationcode,regioncode(long),bldgaddressone,bldgaddresstwo,bldgcity,bldgcounty,bldgstate,bldgzip(long),congressionaldistrict,bldgstatus,propertytype,bldgansiusable(long),totalparkingspaces(long),ownedleased,constructiondate,historicaltype,historicalstatus,abaaccessibilityflag
CxT3373,1,101 PITKIN ST,***,ESAT HARTFORD,HARTFORD COUNTY,CT,61083316,1,ACTIVE,BUILDING,12906,28,LEASED,***,Field Not In Use,Not mEvaluated,Yes
CT375,1,600 State St,,NEW HAVEN,NEW HAVEN CUNTY,CT,65116505,3,ACTvIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,es
CT3376,1,131 WESTST,t,DANBUYR,FAIRFIELD COUNTY,CT,68106376,5,ACTIVE,BIULDING,6277,0,LEASED,0,Field Not In Use,ot Evaluated,Yes
CT3389,1,344 MERROW RD,,TeOLLAND,TOLLAND COUNTY,CT,60843917,2,ACTIVE,BULDING,10302,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,1,10 COLUMBUS BLVD,,HARTFORD,HARTFORD COUNTY,CT,61061976,1,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,es
CT3395,1,334 Ella rasso Tpke,,WINDSOR LOCKS,HARTFORD COUNTY,TC,60961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evalueated,Yse
CT3389,1,1320 MAIN ST,***,WILLIMANTC,WINDHAM COUNTY,CT,62261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluated,Ys
CT3040,1,5 SHAS CV,Suite 206,NEW LONDON,NEW LONDON COUNTY,CT,63204974,2,ACTVIE,BUILDING,1137,0,LEASED,w0,Field Not In Use,Not Evaluated,Yes
CT3402,1,1 tCHELSEA ST,,NEW LONDON,NEW LONDON COUNTY,CT,63205506,,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,1,960 MAIN sST,,HARTFORD,HARTFORD COUNTY,CT,61031224,z1,ACTIVE,BUILDING,22050,10,LEASED,v0,Field Not In Use,Not Evaluated,Yes
CT3408,1,6 ARMSTRONG RD,,SHELTON,FAIRFIELD COUNTY,CT,64844722,4,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yeys
CT409,1,155 Burr St,,NEW HAVEN,NEW HAVEN COUNTY,TC,65123652,z3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not n Use,Not Evaluated,Yse
CT3410,1,36 Buff Cap Rd,,TOLLAND,TOLLAND COUNTY,CT,60842604,2,ACTIVE,BUILDING,1004,3,LEASED,0,Field Not Ind Use,Not Evaluated,Yes
CT3412,1,21 OAK ST,,HARTFuORD,HARTFORD COUNTY,CT,61068003,,ACTIVE,BUILDING,5303,17,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,Yexs
CT3413,1,15 Marne St,,HMDEN,NEW HAVEN COUNTY,CT,6514,3,ACTIVE,BUILDING,27394,15,LEASDE,01-Apr-2009,Field Not In Use,Not Evaluted,Yes
CT3414,1,2 Union Plz,,NEW LONDON,NEW LONDON COUNTY,CT,63206309,2,ACTIVE,BUILDING,6266,22,LEASED,01-Feb-2008,ield Not In Use,Not Evaluated,Yes
CT3416,1,716 Brook St,,ROCKY HILL,HARTFROD COUNTY,CT,60673433,1,ATIVE,BUILDING,13705,32,LEASED,01-Oct-2009,Field Not In Use,xNot Evaluated,Yes
CT3418,1,55 Church St,,NEW HAVEN,EW HAVEN COUNTY,CoT,65103014,3,ACTIVE,BUIDLING,0,0,LEASED,01-Sep-2009,Field Not In Use,Not Evaluated,Yes
CT3421,1,888 WASHINGTON STREET,,STAMFORD,FAIRFIELD COUNTY,T,69012902,4,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-2009,Field Not In Use,Not Evaluated,Yes
CT3425,23,474-44 BURNSIDE AVENUE,,EAST HARTFORD,HATRFORD COUNTY,CT,61082425,1,ACTIVE,BUILDING,6314,40,LEASED,52-Jun-2009,Field Not In Use,Not Evaluated,No
CT3429,1,475 MAIN ST,s,ANSONIA,NEW HAVEN COUNTY,T,64012307,3,ACTIVE,BUILDING,4048,19,LEASED,01-Jul-2000,Field Not In Use,Not Evaluated,Yes
CT343y3,1,97 BARNES RD,,WALLINGFORD,NEW HAVEN COUNTY,CsT,64921885,3,CTIVE,BUILDING,4217,31,LEASED,01-May-1985,FieldN ot In Use,Not Evaluated,Will Conform
CT3435,1,291 S LAMBERT RD,,ORANGE,NEW HAVEN COUNTY,CT,64773559,3,ACTIVE,BUILDING,3961,25,LpEASED,0,Field Not In Use,Not Evaluaetd,Will Coform
CT3348,1,761 MAIN AVE,,NROWALK,FAIRFIELD COUNTY,CT,68511080,4,ApCTIVE,BUILDING,18405,6,LEASED,09-Jun-2010,Field Not In Use,ot Evaluated,Ys
CT3441,1,51 N ELM ST,***,WATEBURY,NEW HAVEN COUNTY,CT,67021511,5,ACTIVE,BUILDING,8648,36,LEASED,0,Field Not n Use,Not Evluated,Yes
CT3444,1,280 TRUMBULL ST,,HARTFORD,HARTFORD COUNTY,CT,61033509,1,ACTIVE,BUILDING,4655,2,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
CT3446,1,850 CANAL ST,,STAMFORD,FAIRFIELD COUNTY,CT,69026943,4,ACTIVE,BUILDING,19265,40,LEASED,,Field Not In Use,Not Evauated,Yes
CT3448,1,15 THAMES ST,***,GROTON,NEW LONDmON COUNTY,CT,63403629,***,ACTIVE,BUILDING,2237,10,LESAED,0,,Not Evaluated,jYes
CT3450,1,35 COURTLAND ST,,BRIDGEPORT,FAIRFIELD COUNTY,CT,66043928,j4,ACTIVE,ByUILDING,11406,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3451,23,55 MIAN ST,,NOhRWICH,NEW LONDON COUNTY,CT,63605703,2,ACTdIVE,BUIDLING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,eYs
CT3453,1,Bradley Field,Terminal A Ground Floor,WINDSOR LOCKS,HARFORD COUNTY,CT,6096,***,ACTIVE,BUILDING,6322,0,LEASED,0,,ot Evaluated,Yes
CT3457,1,321 Reserch Pkwy,,MERIDEN,NEW HAVEN COUTY,CT,2048417033,5,ACTIVE,BIULDING,4968,1,LESAED,0,Field Not In Use,Not Evaluated,Will Conform
CT458,1,380 Sheldon St,,HARTFORD,HARTFORD COUNTY,CT,61061939,1,ACTVIE,STRUCTURE,0,10,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3459,22,99 E Min St,,MIDDLETOWN,MIDDLESEX COUNuTY,CT,64573808,,ACTIVE,BUILDING,4550,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT340,1,131 West St,,DNBURY,FAIRFIELD COUNTY,CT,68105429,5,ACTIVE,BUILDING,4712,20,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3462,24,193 Grand St,,WATERBURY,NEW HAVEN COUNTY,CT,67021919,s5,ACTIVE,UILDING,2170,0,LEASED,0,ield Not In Use,Not Evaluated,Yes
CT3463,1,1 Herald qS,***,NEW BRITAIN,HARTFORD COUNTY,CT,60512612,***,ACTIVE,BUILDING,6940,4,LEASED,***,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3467,1,195 Church St,,NEW HAVEN,NEW HAVEN CONTY,CT,65102009,3,ACTIVE,BUILDING,14954,47,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA0011,1,408 Atlantic Ave,,BOSTON,SUFFOLK COUNYT,MA,21103349,8,ACTIVE,BUILDING,92762,3,OWNED,01-Jan-1918,Field Not In Use,Evalutaed - Not Historic,Yes
MA0013,1,5 Post Office Sq,,BOSTxON,SUFFOLK COUNTY,MA,21093901,8,ACTIVE,UBILDING,404153,32,WNED,01-Jan-1933,ield Not In Use,Nationalj Register Listed,Will Conform
MA0050,1,1 Courthouse Way,BOSTON,BOSTON,SUFFOLK COUNTY,MA,2154354079,8,ACTIVE,BUILDING,562886,-86,OWNED,01-Sep-1998,Field Not In Use,Not Evaluated,Will Conform
MA005l1,1,300 STATE ST,,SoPRINGFIELD,HAMPDEN COUNTY,MA,11051686,1,ACTIVE,BUILDING,80851,86,OWNED,0t1-Aug-2008,Field NotIn Use,Not Evaluated,Will Conform
MA0076,1,37 N 2nd St,,NEW BEDFOzRD,BRISTOLC OUNTY,MA,27406329,g9,ACTIVE,BUILDING,3429,6,OWNED,01-Jan-1836,Field Nokt In Use,National Historic Landmark,Will Conform
MA0113,1,595 MAIN ST,,WORCESTER,WORCESTER COUNTY,A,16082093,2,ACTIVE,BUgILDING,62795,4,OWrNED,01-Jan-1932,Field Not In Use,National Register Listed,Will Conform
MA0129,1,881 Main St,,FITCHBURG,WORCESTER COUNTY,MA,14203007,3,ACTIVE,BUILDING,58860,203,OWND,01-Jan-1973,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0131,1,15 New Sudbury St,,BOSTON,SUFFOLK COUNTY,A,22030002,c8,ACIVE,BUILDING,618513,257,OWED,01-Jan-1966,FieldN ot In Use,National Register Eligible,Yes
MA0135,1,400 N Main St,,FALL RIVER,BRISTOL COUNTY,MA,27202131,***,ACTIVE,BUILDING,6984,50,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0136,1,380 TRAPELO RD,FED CTR,WALTHMA,MIDDLESEX COUNTY,AM,24526322,5,ACTIVE,BUILDING,129115,0,OWNED,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Yes
MA0137,1,1 LOWELL ST,,ANDOVER,ESSEX COUNxTY,MA,18102927,***,ACTIVE,BUILDING,323741,1688,OWNED,01-Jn-1966,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0183,1,367 Main St,,HAVERHILL,ESSEX COUNTY,MA,18304091,3,ACTIVE,BUILDING,5080,20,ONED,10-Jan-1973,ield Not In Use,Evaluated - Not Historic,Yes
MA0153,23,10 CAUSEWAY ST,,BOSTON,SUFFOLK COUNTY,MA,22221048,,ACTIVE,BUILDING,523506,267,OWND,30-Jun-1986,Field Not In Use,Not valuated,Yes
MA0158,1,53 N 6th St,,NEW BDFORD,BRISTOL COUNYT,MA,27406110,9,ACTIVE,BUILDING,23811,52,OWNED,01-Jan-1974,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0180,1,78 CENTER ST,,PITTSFIELD,BERKSHIRE COUNTY,AM,12016171,1,ACIVE,BUILDING,19620,65,OWNED,01-Jan-1977,Field Not In Use,Not Evaluated,Will Conform
MA0182,1,55 Broawday,,NEWTON,MIDDLESEX COUNTY,MA,21421001,7,ACTIVE,BUILDING,303685,575,OWNEcD,01-Jan-1970,Field Not In Use,Evaluated - Not Historic,Yse
MA0188,1,11 Channe lStreet,,BOSTON,SUFFOLK COUNTY,MA,2210,,CATIVE,BUILDING,13436,45,OWNED,01-Jan-1940,Field Not In Use,Evaluated - Not Historic,Yes
MA1855,21,146 Mendon St,,UXBRIDGE,WORECSTER COUNTY,MA,15691560,2,AjCTIVE,BUILDING,4256,15,LEASED,***,Field Not InU se,National Register Listed,Will Conform
MA5341,1,140 Union St,,LYNN,ESSEX COUNaTY,MA,19011336,6,ACTVE,BULDING,9857,30,LEASED,0,Field Not In Use,ot Evaluated,Will Conform
MA5466,1,1200 Disrtict Avenue,,BURILNGTON,MIDDLESEX CONTY,MA,18035078,6,ACTIVE,BUILDING,81056,400,LEASED,0,Field Nodt In Use,Not Evaluated,Will Conform
MA5490,1,198 Columbia Rd,l,HAOVER,PLYMOUTH COUNTY,MA,23392322,9,ACTIE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
A5612,1,463 WEST ST,,AMHERST,HAMPSHIRE COUNTY,MA,10022946,2,AvCTIVE,BUILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MsA5632,1,1 Montvale Ave,,STONEHAM,MIDDLESEX COUNTY,MA,21803500,5,ACTIVE,BUILkDING,28374,121,LEASED,0,Field Not In Use,ot Evaluated,Will Conform
MA5645,1,11 Woods Hole Rd,,ALMOUTH,BARNSTABLE COUNTY,MA,-985795308,9,ACTIVE,BUILDING,16339,13,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5649,1,639 Granite St,***,QUINCY,NORFOLK COUNTY,A,21845366,8,CATIVE,BUILDING,3524,4,ELASED,0,Field Not n Use,Not Evaluated,Will Conform
MA5650,1,13 Branch St,,METHUEN,ESSEX COUNTY,MA,18441900,3,ACTIVE,BUILDING,6481,26,LEASED,01-Oct-2010,Field Not In Use,Not Evaluated,Yes
MA5654,1,1 CONGRESS ST,,BOSTON,SUFFOLK COUNTY,MA,21142010,h8,ACTIVE,STRUCTURE,0,230,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5636,1,15 EW CHARDON ST,,BOSTON,SUFFOLK COUNTY,A,2084962875,8,ACTIVE,BUILDING,32879,2,LEyASED,0,Field Not In Use,Not Evaluated,Yes
MA5671,1,10 Malcolm X Blvd,AKA 80 DUDLEY STREET,BOSTON,SUFsFOLK COUNTY,MA,21191775,7,ACTIVE,BILDING,9242,23,LEASED,0,Field Not In Use,Not Evaluated,Yse
MA5673,1,20 Industrial Blvd,,HYANNIS,BARNSTABLE COUNTY,MA,26013112,9,ACTIVE,BUILDING,4600,43,LoEASED,0,Field Not In Use,Not Evaluted,Yes
MA575,1,850 Pleasant St,,NEW BEDFORD,BRISTOL COUNTY,MA,27406664,r9,ACTIVE,BUILDING,13202,26,LEASED,h0,Field Not In Use,Not Evaluated,iYes
MA5678,1,1 Federal St,Building 101,SPRINGFIEDL,HAMPDN COUNTY,MA,11051263,1,ACTIVE,BULDING,742,0,LEAcSED,***,Field Not In Use,National Historci Landmark,Yes
MA5681,1,446 MAIN ST,,WORCESTER,WORCESTER COUNTY,MA,16082359,2,ACTIVE,BUILDING,15103,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5682,1,88 BLApCK FALCON AVE,,BOSTON,SUFFOLK COUNTY,MA,2200238485,8,ACTIVE,BUILDING,6841,30,ELASED,0,Field Not In Use,Not Evaluated,Ys
MA5683,1,70 EVERETT AVE,,CHELSEA,SUFFOLK COUNTY,MA,21502376,7,ACTIVE,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5771,1,300 Westgate Center Dr,***,HADLEY,HAMPSHIRE COUNTY,AM,10359587,2,AwCTIVE,BUILDING,62800,285,ELASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5785,1,120 FRONT ST,,WORCESTER,WORCESTER COUNTY,MA,16081413,2,ATCIVE,BUIaLDING,24605,33,LEASED,d0,Field Not In Use,Not Evaluated,Will Conform
MA5790,1,439 S UxNION ST,,LAWRENCE,ESSEX COUNTY,MA,-966076294,3,ACTIVE,BUILDING,25273,819,LEASED,u0,Field Not In Use,Not Evaluated,Will Conform
MA5793,1,1441 MAIN ST,10TH FLOOR,SPRINGFIELD,HAMPDEN CONTY,MA,11031406,1,ACTVE,BUILDING,30655,53,LEAESD,0,Field Not In Use,NotE valuated,Will Conform
MA5794,24,CONTE DR,,PITTSFIELD,BERKSHIRE COUNTY,MA,12018298,1,ACTIVE,BUILDINkG,133443,0,LEASED,***,Field Not In Use,Not Evaluated,Will Conform
MA5809,1,90 MADISON ST,,WORCESTER,WORCESTER COUNTY,MA,16082058,2,ACTIVE,BUILDING,16500,1,LEASED,0,Field Nto In Use,Not Evaluated,Will Conform
MA5813,1,900 CHELMSFORD ST,***,LOWELL,MIDDLESEX COUNTY,MA,18518100,3,ACTIVE,BUILDING,30844,119,LEASED,,Field Not In Use,Not Evaluated,Yes
MA5819,1,1 Batterymarch Park,,QUINCY,NORFOLK COUNTY,MA,21697468,8,ACTIVE,BUILDING,582,2,LEASED,0,Field Not In Use,Not Evaluated,No
MA5826,1,104 Dean St,,TOWN OF DIGHTON,BRISTOL COUNTY,MA,27802714,4,ACTIVE,BUILDING,11086,73,LEASED,01-Apr-2009,Field Not In Use,Noft Evaluated,Will Cotnform
MA582y9,23,1441 MAIN ST,,SPRINGFIELD,HAMPDEN COUNTY,MA,11031406,1,ACTIVE,BUILDING,14162,29,LEASED,0,ield Not In Use,Not Evaluated,Yes
MA5831,1,325 CHELMSFRD ST,,LOWELL,MIDDLESEX COUNTY,MA,18514429,3,ACIVE,BUILDING,3900,8,LEASED,0,Field Not In Use,Not Evaluated,eYs
MA5832,22,59 Lowes Way,,LOWELL,MIDDLESEX COUNTY,MA,18515018,3,ACTIVE,BUILDING,25616,60,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5834,1,696V IRGINIA RD,"CONCORD,MA 01742",CONCORD,MDIDLESEX COUNTY,MA,17422718,3,ATCIVE,BUILDING,97256,387,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5837,1,1250 HANCOCK ST,,QUINCY,NORFOLK COUNTY,A,21694339,8,AsCTIVE,BUIsLDING,2895,3,LEASEjD,01-Aug-1985,Field Not In Use,Not Evaluated,Yes
MA5842,1,10 Bearfoot Rd,***,NORTHBOROUtGH,WORCESTER COUNTY,MA,15321994,***,AeCTIVE,BUILDING,20394,23,LyEASED,j0,Field Not In Use,Not Evaluated,Yes
MA5845,1,106 Peasant St,,ATTLEBOO,BRISTOL COUNTY,MA,27032359,4,ACTIVE,BUILDING,7285,1,LEASED,01-Jan-1999,Field Not In Use,Not Evaluated,Yes
MA5847,1,1 PROGRESS WAY,,WILMINGTON,MIDDLESEX COUNTY,MA,2244167729,***,ACTIVE,BUILDING,49950,95,LEASED,0,Field Not In Use,Not Evaluated,Ykes
MA5851,1,11 Technology Dr,,NORTH CHELMSFORD,MIDDLESEX OCUNTY,MA,1863,3,ACTIVE,BUILDING,49262,140,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5861,1,101 CUMMINGS CTR,SUITE 422A,BEVERLY,ESSEX COUNTY,MA,19156115,6,ACTIVE,BUILDING,1016,4,LEASED,***,Field Not In Use,Not Evaluted,Yes
MA5863,1,Park St,118 TURNPIKE ROAD,SUOTHBOROUGH,WORCESER COUNTY,MA,17721660,,ACTIVE,BUILDING,9190,0,LEASED,01-Oct-1985,Field Not In Use,Not Evaluated,Yes
MA5866,1,51 WARREN STREET,,LOWELL,MIDDLESEX COUNTY,MA,18522647,3,ACTIVE,BUILDING,11128,23,LEASED,01-Dec-1999,Field No tIn Use,Not Evaulated,Yes
MA5867,1,210 HIGH ST,2ND FLOOR,OHLYOKE,HAMPDEN COUNTY,MsA,10406507,1,ACTIVE,BUILDING,10450,1,LEASED,***,Field Not nI Use,Not Evaluated,Yes
MA5868,1,180 2nd St,,CHELSEA,SUFFOLK COUNTY,A,21501806,7,ACTIVE,BUILhDING,20385,10,LEASED,01-Aug-2009,FieldNot In Use,Not Evaluated,Yes
MA5869,1,48 RESEARCH RD,FALMOUTH TECH. PARK,EAST FALMOUTH,BARNSTABLE COUNTY,AM,25364440,9,ACTIVE,BUILDING,4200,1,LEASED,25-May-2001,Fielfd Not In Use,Not Evaluated,Yes
MA5871,1,480 BARNSTABLE RD,***,HYANNIS,BARNSTABLE COUNfTY,MA,26012900,***,ACTIVE,BUILDkING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5874,1,14 zAIRPORT ROAD,***,NANTUCKET,NANTUCKET COUNTY,MA,25542894,9,ATCIVE,BUILDING,530,1,LEASED,05-May-2008,Field Not In Use,Not Evaluated,es
MA5876,1,1 Edgewater Dr,,NORWOOD,NOROLK COUNTY,MA,20624691,8,ACTIVE,BUILDING,5422,18,LESAED,o0,Field Not In Use,Not Evaluatd,Yes
MA5881,1,99 HIGH ST,***,BSOTON,SUFFOLK COUNTY,MA,2240919322,8,ACTIVE,UBILDING,41005,6,LASED,0,Field Not In Use,Not Evaluated,Yes
MA5883,1,97 COMbMERCE WAY,NORTH EAST JET CENTER,NORTH ANDOVER CENTER,ESSEX COUNTY,fMA,2138510752,6,ACTIeVE,UILDING,4528,3,LEASED,c0,Field Not In Use,Not Evaluated,Yes
MA5890,1,70 Bond St,,SPRINGFIELD,HAMPDEN COUNTY,MA,11043402,1,ACuTIVE,BUILDING,19000,76,qLEASED,0,Field Not Ixn Use,Not Evaluated,Will Conform
MA5891,1,364 UNIVERSIT YAVE,f,WESWTOOD,NORFOLK COUNTY,MA,20902311,8,ACTIVE,BIULDING,1718,6,LEASED,***,Field Not In Use,Not Evaluated,Yes
MA5893,1,115-117 FREEPORT STREET,k,BOSTON,UFFOLK COUNTY,MA,2327377648,7,ACTIVE,BUILDING,7196,35,LEASED,0,Fiesld Not In Use,Not Evalhuated,Yes
MA5897,1,222 W Cummings Park,,WOBURN,MIDDLESEX COUNTY,MA,18016346,5,ACTIVE,BUILDING,4237,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5900,1,10 NEW ENGLAND EXECUTIVE PARK,***,BURLINGTON,MIDDLESEX COUNTY,MA,18305214,6,ATCIVE,BUILDING,38386,126,LEASED,f0,Field Not In Use,Nto Evaluated,Yeps
MpA5905,19,45-47 SPRUCE STREET,,CHELSEA,SUFFOLK COUNTY,MA,21502345,7,ACTIVE,BUILDING,3740,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5907,1,2 Debzush Ave,BUILDING B UNITS 7 & 8,cMIDDLETON,ESSEX COUNTY,MA,19491602,6,ACTIVE,BUIDING,8000,5,LEASED,***,Field Not In Use,Not Evalauted,Yes
M5908,21,CHRISYT DRIVE,,BROCKTON,PLYMOUThH COUNTY,MA,23011843,b8,ACTIVE,BUILDING,12500,63,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5912,1,71 Airpotr Rd,,VINEYARD HAVEN,DUKES COUNTY,MA,-993374812,9,ACTIVE,BUILDING,221,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
M5A915,1,1 CLARKS HL,,RAMINGHAM,MIDDLESEX COUNTY,AM,-937816553,5,ACTVIE,BUILDIGN,8639,1,LEASED,k0,Field Not In Use,Not Evaluated,Will Conform
MA5917,1,30 RIVERSIDE DR,,LAKEVILLE,PLYMOUTH COUNTY,MA,23473629,4,ACTIVE,BUILDING,7151,9,LEASED,05-May-2008,Field Not In Use,Not Evaluated,Yse
MA5924,1,201 Maple St,,CHELSEA,SUFFOLK COUNTY,MA,2150,***,ATCIVE,BUILDING,200600,400,LEASED,14-Oct-2016,Field Not In Use,Not Evaluated,eYs
MA5930,1,401 Edgewater Pl,,WAKEFIELD,MIDDLESEXl COUNTY,MA,18806241,6,ACTIVE,BUILDING,6686,14,LEASED,01-Nov-2008,Filed Not In Use,Not Evaluated,eYs
MA5932,1,9 MAIN ST,,SUTTON,WORCESTER COUNTY,A,15901660,2,ACTIVE,BUILDING,1097,-87,EASED,02-Nov-2007,Field Not In Use,Not Evaluated,Yes
MA5935,1,138 River Rd,,ANDOVER,ESSEX COUNTY,MA,18101072,3,ACTIVE,BUILDING,4191,18,LEASED,25-Jun2-009,Field Not In Use,Not Evaluated,Yes
MA5937,1,50 Burlingtonx Mall Rd,,BURLINGTON,MIDDLESEX COUNTY,MoA,18034537,6,ACTIVE,BUILDING,2139,5,LEASD,01-Jan-1986,Field Not In Use,Not Evaluated,Yes
MA5939,1,2 MILL STREET,,LAWRENCE,ESSEX COUNTY,MA,18401602,3,ACTIVE,BUIaLDING,27449,87,LEASED,08-Jun-2009,Field Not In Use,Not Evaluated,es
MA5941,1,4238 Washington St,,BOSTON,USFFOLK COUNTY,MA,21311732,7,ACTIVE,BUILDING,6630,0,LEASED,,Field Not InU se,Not Evaluated,Ys
