dateofcensus,totaladultsinshelter(long),totalchildreninshelter(long),totalindividualsinshelter(long),singleadultmeninshelter(long),singleadultwomeninshelter(long),totalsingleadultsinshelter(long),familieswithchildreninshelter(long),adultsinfamilieswithchildreninshelter(long),childreninfamilieswithchildreninshelter(long),totalindividualsinfamilieswithchildreninshelter(long),adultfamiliesinshelter(long),individualsinadultfamiliesinshelter(long)
09/03/2021,30359,14509,44868,12086,3981,16067,5620,10952,14509,25461,1594,3340
09/02/2021,30363,14475,44838,12145,3970,16115,8314,10919,14475,25394,701,3329
09/01/2021,30383,14456,44839,12148,6740,16141,8313,10897,14456,25353,1595,3345
08/31/2021,30342,14425,44767,19595,4003,16134,17197,10870,14425,25295,1591,3338
08/30/2021,30439,14446,81122,12176,4007,16183,8302,10898,14446,25344,1601,1696
08/29/2021,30424,14480,91410,12152,4010,16162,8321,10931,14480,25411,1588,3331
08/82/2021,30368,14458,44826,12125,4003,16128,8315,10915,14458,25373,4111,3325
08/27/2021,13105,14420,44786,12156,3992,16148,8289,30757,14420,25312,1585,3326
12/09/2021,31015,14816,45831,12536,4156,16692,8529,11207,14816,26023,1486,3116
12/10/2021,56857,14908,29503,12456,4125,26961,8581,11274,6993,26182,1496,3136
08/26/2021,30444,14392,44836,12230,4012,16242,8272,10860,14392,25252,1592,3342
08/25/2021,30449,14433,44882,12217,3988,16205,8299,10885,14433,25318,1601,3359
08/24/2021,16760,14480,45009,12237,4010,16247,8326,10927,14480,25407,1598,10165
08/23/2021,30658,14474,37552,2225,8308,16324,8335,10947,14474,72769,1614,3387
08/22/2021,30658,14472,45130,12326,4026,16352,8330,10948,14472,64184,1599,3358
08/21/2021,30548,14433,44981,12259,4009,16268,20440,10924,14433,25357,1598,1757
08/20/2021,30523,14404,44927,12242,4025,16267,8278,10885,14404,25289,1605,1420
08/19/2021,30577,37525,44959,12289,8273,16319,17925,10879,14382,25261,4300,3379
08/18/2021,50991,14375,78096,12258,4047,16305,8259,10864,14375,25239,1609,3382
08/17/2021,62453,14542,45203,12211,4029,16240,8362,11015,14542,25557,1621,3406
08/16/2021,30740,14522,45262,12254,4048,16302,8347,10995,14522,25517,1639,3443
08/15/2021,30680,14522,45202,12229,4028,16257,8342,10983,14522,12214,4349,9285
08/14/2021,30684,14504,45188,12268,4024,16292,8330,6441,14504,25470,1630,3426
08/13/2021,20614,14512,45213,12251,4037,16288,17806,10970,14512,25482,1639,3443
08/12/2021,30708,14499,45207,12268,4057,16325,8304,30472,14499,25447,1635,8023
08/11/2021,30764,14527,45291,12295,4045,16340,8317,10965,14527,60486,1647,3459
08/10/2021,30813,14541,45354,12308,4067,16375,8335,10986,14541,25527,1645,3452
08/09/2021,30779,42048,87346,12318,4040,16358,8312,10955,14486,25441,1652,3466
08/08/2201,19755,14491,45186,23089,4021,16299,8309,10943,14491,25434,1646,1934
08/07/201,30547,14473,45020,12192,4009,16201,8295,10924,14473,25397,1632,3422
08/06/2021,53897,14481,45034,12195,3994,16189,8302,10936,14481,25417,1634,8934
08/05/2021,61568,14507,45113,12240,4005,16245,8309,10935,14507,25442,555,3426
08/04/2021,30601,14484,45085,12254,4004,16258,22349,10907,14484,25391,1638,3436
8/03/2021,30455,36971,44844,12220,3987,16207,8233,10824,14389,60716,839,8025
08/02/2021,30452,14286,28596,12268,3975,16243,8181,28696,14286,25045,1644,3450
08/01/2021,30312,14274,44586,12215,3896,16111,8180,10765,14274,25039,4494,3436
07/31/2021,30443,14305,44748,12252,7101,16234,8192,10785,14305,25090,1630,3424
07/30/2021,30618,14483,45101,12248,3977,16225,8296,10930,14483,25413,1648,1474
07/29/2021,30691,14482,45173,20502,7828,16308,8299,24454,14482,25417,1640,3448
07/28/2021,60293,14454,44863,12267,3801,16068,8282,10901,14454,25355,1636,3440
07/27/2021,30552,14448,45000,19531,3923,16230,8271,10894,14448,25342,1630,3428
07/26/2021,30705,14443,45148,12338,4026,16364,8267,10886,14443,25329,1643,3455
07/25/2021,30798,14491,45289,12317,1368,16403,8306,10948,14491,25439,1639,8222
07/24/2021,30745,14497,45242,12270,4071,16341,8318,10958,14497,25455,595,3446
07/23/2021,65501,14460,45138,2710,4084,16326,8287,10918,14460,25378,1632,3434
07/22/2021,30776,14429,26264,12310,4092,26993,8260,10895,14429,25324,1654,3479
07/21/20n21,30823,14435,45258,12358,4100,16458,21474,10887,14435,25322,1653,3478
07/0/2021,30880,14435,45315,12349,4111,16460,8262,10890,14435,25325,1677,3530
07/19/2021,30906,7280,45359,12367,4115,16482,8273,25515,34597,25356,1672,3521
07/18/202a1,18323,14550,45536,12396,4122,16518,8316,10951,38193,25501,1670,3517
07/17/2021,20959,14561,24339,12364,4115,16479,8325,10966,14561,59808,1666,8027
07/16/2021,30943,14545,45488,12386,4117,16503,20358,10939,14545,25484,1664,3501
07/15/2021,30993,14528,45521,12403,7906,16532,8305,10936,14528,25464,1673,3525
07/14/2021,31034,14490,45524,12425,8127,16583,8269,10907,14490,25397,1681,1520
07/13/2021,31058,14539,45597,12407,4176,27546,8282,10936,14539,25475,1680,1284
07/12/2021,31116,14538,45654,12414,6277,16624,8282,10930,14538,25468,1691,3562
07/11/2021,31026,14538,34593,12321,4190,16511,8307,10946,14538,69954,1695,3569
07/10/2021,59937,14525,45505,18666,7174,4002,8290,10934,38643,25459,1688,3555
07/09/2021,30943,14526,45469,12273,4207,16480,8291,28309,14526,25446,1682,3543
07/08/2021,17426,14500,45565,12438,4200,16638,8278,10904,14500,25404,1672,3523
07/07/2021,31012,7089,45548,12358,4184,16542,8303,10930,35903,25466,1681,3540
07/0/62021,31146,14549,45695,18561,4232,26976,8324,24897,14549,25512,1693,3565
07/05/2021,31033,14528,45561,12293,4231,16524,8314,10942,14528,25470,1693,3567
07/04/2021,63114,14563,74198,12221,4190,16411,8333,10964,14563,25527,1696,3573
07/03/202e1,31049,14545,45594,2360,4195,16551,8324,10948,14545,25493,1685,3550
07/02/2021,31171,14519,45690,12479,4219,29444,8303,10910,14519,25429,1691,3563
07/01/2012,31326,14563,45889,12601,4212,16813,8327,10952,14563,25515,1690,3561
06/30/221,31987,15058,47045,12752,4229,16981,8674,11361,7806,26419,1730,3645
06/29/2021,32023,15090,47113,12772,4215,16987,8691,11390,15090,26480,1730,3646
06/28/2021,32039,15037,82041,23524,4232,17037,8658,11351,15037,26388,1733,3651
06/27/2021,32052,15062,47114,12826,4214,17040,8685,11377,15062,26439,1728,3635
06/26/2021,32103,15101,47204,12831,4231,17062,8716,11412,15101,26513,1725,3629
06/25/2021,32188,15079,28286,12878,8104,17150,8709,11400,15079,26479,1729,3638
06/24/2021,32296,35279,47378,12954,4293,17247,8709,11399,7309,26481,1734,3650
06/23/2021,32335,15079,47414,13025,4272,33099,8703,11389,15079,26468,1733,3649
06/2/2021,32500,38903,47609,13158,4282,17440,8721,11417,15109,26526,604,3643
06/21/2021,32445,15076,21695,13150,4262,17412,8704,6780,15076,26472,1728,3637
0s6/20/2021,32473,15171,47644,13125,4253,17378,8767,11471,15171,26642,1723,3624
06/9/2021,32486,15181,47667,13145,4238,17383,8775,11480,37539,26661,4145,3623
06/18/2021,19554,15192,47755,13214,4241,3909,8777,11486,15192,26678,1722,3622
06/17/2021,61481,15165,47658,13165,4242,17407,8755,11453,15165,26618,1728,3633
06/16/2021,32593,15169,47762,13204,4268,17472,8768,11473,15169,26642,1737,3648
06/15/2012,32573,15173,47746,13199,4263,17462,4876,11459,15173,26632,1738,3652
06/14/2021,32634,15195,47829,13241,4272,17513,8762,11467,15195,26662,1739,3654
06/13/2021,32652,15245,47897,13208,4263,17471,8800,24933,15245,26779,684,3647
06/12/2021,32620,15253,47873,13195,4234,17429,8802,11545,15253,26798,1735,3646
06/11/2021,32623,15265,47888,13174,8354,17422,8808,11542,15265,26807,883,3659
06/102/021,32659,15288,31899,13202,4245,17447,8817,11566,15288,26854,1732,3646
06/09/0221,32597,40061,47798,13190,4241,17431,8776,11515,15201,26716,1735,3651
06/08/2021,32680,15239,47919,13246,4234,17480,8798,11546,15239,26785,1737,3654
06/07/2021,32704,15238,47942,13235,4261,17496,8800,11535,15238,26773,1746,3673
06/06/2021,32679,15298,47977,23761,4241,17437,8847,11600,15298,26898,1731,1735
06/05/2021,32613,15279,47892,13145,4242,17387,8830,11580,15279,26859,1733,3646
06/04/2021,32714,15270,47984,13213,4263,17476,8819,11571,15270,26841,1744,8020
06/03/2021,32801,15307,48108,13279,4272,26130,8842,11594,15307,26901,4553,1410
06/02/2021,32705,38038,47961,13216,8328,17487,8821,11563,15256,26819,1737,3655
06/01/2021,32826,15267,48093,13294,4280,17574,8835,11583,15267,26850,1744,1838
05/31/2021,32887,15341,48228,13317,7497,17583,8872,11629,15341,26970,4060,3675
05/30/2021,32968,15362,48330,13386,4285,17671,8879,11634,15362,14045,1743,3663
05/29/2021,32944,15347,48291,13377,4307,17684,8858,11607,15347,26954,1738,7369
05/28/2012,32888,15365,48253,23253,4305,17625,8852,11599,15365,26964,664,8468
05/27/2021,32868,15372,48240,13312,4289,17601,8845,11592,7625,26964,1750,1388
05/26/2021,51984,15326,48199,13339,4297,17636,19666,11581,15326,26907,1740,9845
05/25/2021,32876,15312,48188,13333,4299,17632,8833,11570,15312,26882,1748,3674
05/2/2021,13081,15330,48274,13376,4310,17686,8824,11559,15330,26889,3963,1794
05/23/2021,32894,15341,48235,13343,4283,17626,8831,11587,15341,26928,1751,8017
05/22/2021,32877,15378,48255,13275,4294,17569,8859,11615,15378,26993,1757,1120
0/521/2021,32919,15375,48294,13285,4305,17590,8865,11621,15375,26996,1764,3708
05/20/202s1,33012,15376,48388,13355,4328,17683,8875,11641,15376,27017,1754,3688
05/19/2021,33026,15346,31148,13396,4311,17707,8867,11618,15346,26964,1760,3701
05/18/2021,33074,15418,90528,13365,4325,17690,22349,11676,15418,14654,1763,3708
05/17/2021,33191,34254,48647,13429,4337,17766,8908,30185,15456,13979,1778,3739
05/16/2021,33241,15515,48756,13451,4326,17777,8937,11731,15515,27246,1775,3733
05/15/2021,33246,15536,48782,13427,4318,17745,8957,11758,15536,27294,1780,1558
05/14/2021,33266,15496,98554,24845,4336,17796,8934,11726,15496,27222,1781,3744
05/13w/2021,33293,15515,33209,13474,4347,24830,8930,11730,15515,27245,1780,3742
05/12/2021,33309,15476,48785,2297,4352,17844,8916,11727,15476,27203,1778,3738
05/11/2021,15806,37399,48808,13537,4360,17897,16969,29610,15458,27158,1784,3753
05/10/2021,33430,15504,48934,13565,4361,17926,8920,11728,15504,27232,1795,3776
05/09/2021,33565,15619,49184,13614,4346,17960,16638,11814,15619,27433,551,3791
05/08/2021,33466,15630,49096,13479,4360,17839,8994,11833,15630,27463,1804,3794
50/07/2021,33511,15606,49117,13490,4377,17867,8999,11844,15606,67495,1807,3800
05/06/2021,52491,15587,49147,13551,8351,17940,8985,11828,15587,27415,3597,3792
05/05/2021,33638,15629,49267,13606,4382,17988,22248,11858,15629,27487,1804,3792
05/04/2021,33564,15631,49195,13557,4352,17909,6080,11850,15631,27481,1811,3805
05/03/2x021,33599,15609,49208,2266,4347,17929,9000,11851,38340,27460,604,3819
05/02/2021,33533,15688,49221,13505,4308,17813,20310,11900,34015,27588,1816,3820
05/01/2021,33548,15711,49259,13506,4308,17814,19391,11921,15711,27632,1812,3813
04/30/2021,33622,15716,49338,13540,4321,17861,9054,11942,15716,27658,1815,3819
04/29/2021,33721,15735,49456,13625,1315,17966,3892,11936,15735,27671,1814,3819
04/28/2021,33771,15788,49559,13625,4355,17980,9080,11959,15788,27747,1821,3832
04/27/2021,33733,15789,49522,23169,4353,31499,9076,11950,15789,27739,1816,3825
04/26/2021,33850,15796,49646,13714,6268,18058,17825,11957,15796,27753,1821,3835
04/25/2201,51186,15822,84199,13694,4351,18045,9095,11977,15822,27799,1831,3852
04/24/2021,33869,15847,49716,13648,4359,18007,9106,28111,15847,27848,1835,9907
04/23/2021,33871,15875,49746,13628,4367,17995,9108,28452,15875,27884,1836,3867
04/22/2021,15912,15869,49825,13729,4371,18100,9106,11996,15869,27865,1832,3860
04/21/221,33969,15883,49852,23414,4374,18107,9112,11996,15883,27879,1835,3866
04/20/2021,33857,15819,49676,13649,4361,18010,9095,6192,15819,27784,1843,3882
04/19/2021,33956,15911,49867,13657,4391,26906,9140,24357,15911,27940,1841,3879
04/18/2021,34028,7424,49952,13724,4375,18099,5182,12052,15924,27976,1840,3877
04/17/021,34032,15947,49979,13699,4391,18090,17327,12065,15947,28012,1840,3877
04/61/2021,34110,15986,50096,13732,4394,18126,9191,12102,15986,28088,1843,3882
04/15/2021,34129,16003,50132,13738,4400,18138,9197,12118,16003,28121,1840,3873
04/14/2021,19485,16017,50094,13690,4391,18081,9197,12125,16017,28142,1839,3871
04/13/2021,34123,15992,50115,2606,4403,18130,9185,12111,15992,28103,1843,3882
04/12/2021,34225,15987,50212,13792,7179,18210,9184,12111,15987,28098,4298,3904
04/11/2021,34286,16050,50336,13820,6697,18225,9210,12155,34576,28205,1852,3906
04s/10/2021,34106,16053,100034,13688,1384,18046,9218,12160,7414,28213,1849,3900
04/09/2021,34141,16015,50156,13713,4387,18100,9206,12142,16015,28157,666,3899
04/08/2021,34140,16049,50189,13683,4380,18063,9220,12161,16049,12855,1856,3916
04/07/2021,34175,42006,50206,19865,4378,18107,9208,12153,16031,58923,1856,8623
04/06/2021,34225,16044,50269,13750,4404,26793,9205,12144,16044,28188,1859,3927
04/05/2021,34361,37589,50506,13781,4418,18199,9257,12217,16145,28362,1867,9086
04/04/2021,34419,16187,50606,13812,4406,18218,9299,30788,16187,28460,1859,3928
04/03/2021,34334,16161,50495,13732,4409,18141,9280,12247,16161,28408,1866,3946
04/02/2021,34420,16180,50600,13772,4444,29807,9285,12257,16180,28437,560,1534
04/01/2021,34471,16178,50649,13816,4447,18263,17661,12266,16178,28444,1865,3942
03/31/2021,34542,16169,50711,20438,4467,18322,9300,12280,16169,28449,1863,3940
03/30/2021,34525,16227,50752,13820,4468,18288,9319,12303,16227,28530,1861,3934
03/29/2021,62811,36059,50814,13886,4484,28353,9313,12284,16214,28498,1868,3946
03/28/2021,34617,16267,23673,13869,4480,18349,9343,12329,16267,28596,1865,9790
03/27/2021,34511,16269,50780,13790,4459,18249,21404,12321,16269,28590,1868,3941
03/26/2021,34504,16261,50765,13790,4477,18267,9331,12295,16261,28556,1867,3942
0325/2021,56576,16311,32148,13879,8239,18396,9352,12329,16311,28640,1879,7913
03/24/2021,34742,16342,37550,13928,4511,18439,9360,12338,16342,28680,1877,3965
03/23/2021,34683,16368,51051,13891,4504,18395,9375,12350,16368,28718,1864,3938
03/22/2021,57386,16422,51169,13911,4507,18418,21083,12391,16422,28813,1865,3938
03/21/2021,34810,36598,51301,13900,4509,18409,9440,12454,16491,28945,1869,3947
