namevalue,lat(double precision),long(double precision),mrc
Armstrong Canyon,45.52401876231896,-108.5,34108-C5
Arrosa Ranch,34.875,-107.875,34107-H8
Arrowhead Well,34.0,-107.5,34107-A5
Arroyo Alamocito,47.64809864386213,-104.25,35104-F3
Arroyo Chijuillita,36.0,-107.0,36107-A1
Arroyo Cuervo,48.02578908540398,-107.25,32107-F3
Arroyo Del Agua,52.651922179590215,-106.625,36106-B6
Arroyo Del Alamo,35.75,-103.75,35103-G7
Arroyo Empedrado,18.82423382926877,-107.125,35107-F2
Arroyo Hondo,55.18244294018574,-105.625,36105-E6
Arroyo Landavaso,25.74823878243757,-107.25,34107-A3
Arroyo Seco,36.5,-132.71775975632096,36105-E5
Arroyo Serrano East,33.625,-105.0,33105-F1
Arroyo Serrano West,33.625,-105.125,33105-F2
Arroyo de las Calabacillas,55.09545273057487,-90.5419364310458,35106-C7
Artesia,32.75,-130.89961444153957,32104-G4
Artesia NE,32.875,-104.25,32104-H3
Ash Mountain,36.75,-105.125,36105-G2
Aspen Basin,35.75,-73.17522405724199,35105-G7
Atarque Lake,34.75,-166.12585402780843,34108-G7
Atencio,36.75,-103.125,36103-G2
Augustine Well,54.50039911031775,-107.625,34107-A6
Aurora,35.125,-105.375,35105-B4
Avis,32.625,-105.375,32105-F4
Azotea Peak,32.375,-104.375,32104-D4
Aztec,20.320077989341705,-125.62024412666494,36107-G8
B T Ranch,52.14389534763109,-105.625,32105-B6
Badger Lake,54.11160048735441,-103.5,33103-H5
Baily Points,33.25,-107.875,33107-C8
Baldy Mountain,36.625,-105.125,36105-F2
Bancos Mesa,36.875,-107.25,36107-H3
Bancos Mesa NW,36.875,-152.20707242742336,36107-H4
Bandanna Point,44.52250218681716,-104.5,32104-C5
Bar C Bar Ranch,48.84353818393424,-104.125,33104-B2
Bar Y Ranch,35.125,-104.625,35104-B6
Bard,35.125,-103.125,35103-B2
Barela,37.0,-104.25,37104-A3
Barn Draw,33.5,-104.625,33104-E6
Barth Well,34.875,-109.0,34109-H1
Bascom Camp,55.1033676978613,-103.625,35103-C6
Basin Well,51.695924671869726,-104.0,32104-H1
Bassett Lake,51.22922710176064,-105.75,32105-A7
Bay Buck Peaks,33.75,-107.5,33107-G5
Beacon Hill,31.875,-108.625,31108-H6
Bear Mountain,33.0,-108.75,33108-A7
Bear Mountain,24.838831876114,-109.125,33109-E2
Bear Peak,46.08865419485407,-62.86704816988423,32106-E5
Bear Spring,32.625,-105.5,32105-F5
Bear Springs Peak,35.625,-106.5,35106-F5
Bearwallow Mountain,33.375,-124.71249322203153,33108-D6
Beaver Canyon,35.875,-104.25,35104-H3
Beaverhead,26.22671559049627,-109.125,33109-F2
Becenti Lake,35.75,-108.0,35108-G1
Beck Ranch,35.875,-102.875,35102-H8
Becker,49.70097394015709,-106.5,34106-D5
Becker SW,34.25,-106.625,34106-C6
Beclabito,16.85157263197889,-51.77141307858919,36109-G1
Bedford Hill,35.0,-103.375,35103-A4
Beenham,36.125,-103.625,36103-B6
Beenham SW,36.0,-151.4376547677187,36103-A6
Belen,34.625,-92.75528656234212,34106-F7
Belen NW,50.03181126517072,-106.875,34106-F8
Belen SW,17.52757158363618,-106.875,34106-E8
Bell Lake,32.125,-167.14148795076974,32103-B5
Bell Mountain,33.0,-107.5,33107-A5
Bell Peak,33.875,-108.25,33108-H3
Bell Ranch,35.5,-104.0,35104-E1
Bellview,34.75,-103.0,34103-G1
Benavidez Ranch,35.125,-106.875,35106-B8
Bennett Mountain,32.5,-106.375,32106-E4
Bernalillo,35.25,-106.5,35106-C5
Bernalillo NW,35.375,-92.65759863490284,35106-D6
Bethel,34.125,-103.375,34103-B4
Bible Top Butte,15.744458264668546,-103.25,36103-E3
Big Costilla Peak,36.875,-105.25,36105-H3
Big Gyp Mountain,33.25,-106.625,33106-C6
Big Hatchet Peak,31.625,-108.375,31108-F4
Big Heiser Tank,31.875,-105.625,31105-H6
Big Hole Canyon,37.0,-102.875,37102-A8
Big Lue Mountains,33.0,-109.0,33109-A1
Big Rock Hill,35.625,-108.625,35108-F6
Big Sinks,32.125,-103.75,32103-B7
Bigbee Draw,34.25,-59.36160995308624,34106-C2
Bighorn Peak,36.875,-106.125,36106-H2
Billy Rice Canyon,36.25,-107.125,36107-C2
Birdwell Ranch,54.85981494153195,-102.875,34102-B8
Bisbee Hills,32.0,-74.27016470190202,32107-A8
Bishop Cap,32.125,-106.5,32106-B5
Bishop Ranch,34.125,-106.375,34106-B4
Bisti Trading Post,36.25,-159.05543014232424,36108-C3
Bitter Creek,33.125,-106.125,33106-B2
Bitter Lake,47.61810905445658,-104.375,33104-D4
Bixler Ranch,36.75,-107.125,36107-G2
Black Bluffs,33.25,-107.125,33107-C2
Black Butte,22.082014824160243,-106.625,34106-D6
Black Canyon,36.375,-103.375,36103-D4
Black Hill,51.80496609161641,-107.125,33107-E2
Black Mesa,21.658493990485017,-83.68564233355018,32106-B7
Black Mountain,33.375,-108.125,33108-D2
Black Peak,34.0,-108.75,34108-A7
Black Point,21.941369887458663,-108.875,31108-D8
Black River Village,32.125,-104.25,32104-B3
Blackwater Hill,33.375,-104.75,33104-D7
Blaines Lake,34.25,-108.75,34108-C7
Blakemore Well,33.5,-154.6031094064163,33106-E6
Blanco,36.625,-107.75,36107-F7
Blanco Trading Post,51.37481807756251,-155.39842049819453,36107-C7
Bland,35.75,-106.375,35106-G4
Bledsoe,33.5,-103.0,33103-E1
Bledsoe NE,33.625,-103.0,33103-F1
Bledsoe SW,33.5,-103.125,33103-E2
Blind Gap,36.625,-124.05086981815629,36103-F5
Bloomfield,36.625,-107.875,36107-F8
Blue,33.5,-109.0,33109-E1
Blue Hills,34.375,-108.125,34108-D2
Blue Hole,35.25,-103.125,35103-C2
Blue Mesa,34.75,-107.625,34107-G6
Blue Mountain,32.0,-109.125,32109-A2
Blue Mountain,33.625,-107.375,33107-F4
Bluewater,35.25,-107.875,35107-C8
Bluff Springs,32.75,-105.625,32105-G6
Bluit,33.625,-103.125,33103-F2
Boiler Gap,36.625,-103.375,36103-F4
Boiling Over Well,36.625,-109.125,36109-F2
Bond Draw,32.125,-104.125,32104-B2
Bondad Hill,41.88368317315314,-97.62434277261812,37107-A7
Bonine Canyon,34.5,-107.875,34107-E8
Bonner Canyon,33.125,-137.831633645503,33107-B8
Bonner Lake,45.35958749986492,-104.125,34104-C2
Bookout Ranch,35.25,-104.25,35104-C3
Bootleg Ridge,32.25,-103.625,32103-C6
Borica,34.625,-104.625,34104-F6
Borica SW,41.47421878512058,-69.57706883029661,34104-E6
Borrego Pass,35.5,-107.875,35107-E8
Bosque Peak,34.75,-106.375,34106-G4
Bottomless Lakes,33.25,-104.25,33104-C3
Bovina,47.229485373225685,-77.41191180704644,34102-E8
Bowlin Ranch,32.125,-107.75,32107-B7
Box Canyon Ranch,32.5,-104.625,32104-E6
Box Lake,33.75,-105.375,33105-G4
Branson,37.0,-103.875,37103-A8
Branson SE,37.0,-103.75,37103-A7
Brazos,44.54120795817229,-136.9518042660521,36106-G5
Brazos Peak,22.462579238687397,-71.40121636718989,36106-G4
Bread Springs,35.375,-108.625,35108-D6
Brinson Ranch,32.5,-102.875,32102-E8
Briscoe Ranch,35.0,-103.75,35103-A7
Broadview,34.75,-103.125,34103-G2
Brockman,49.03838942819479,-108.375,32108-A4
Broke Off Mountain,23.746148760564864,-106.125,36106-G2
Broken Back Crater,21.025023386297548,-75.27153681649101,33106-G1
Bronco,33.25,-103.0,33103-C1
Bronco NE,22.20141705863023,-103.0,33103-D1
Broom Mountain,34.625,-107.5,34107-F5
Brunson Ranch,31.875,-103.375,31103-H4
Brushy Mountain,48.59179777906574,-108.625,32108-G6
Buckeye,32.75,-103.5,32103-G5
Buckeye NE,32.875,-103.5,32103-H5
Buckeye NW,32.875,-103.625,32103-H6
Buckhorn,33.0,-119.27038311809056,33108-A6
Buell Park,35.875,-109.0,35109-H1
Bueyeros,22.990419376139293,-103.625,35103-H6
Bueyeros NE,52.91357465136656,-103.5,35103-H5
Buffalo Springs,35.625,-50.19348963521722,35103-F6
Bug Scuffle Canyon,32.625,-105.75,32105-F7
Bull Basin,33.625,-159.82361368493696,33108-F8
Bull Canyon,51.11377364236459,-105.75,35105-D7
Bull Gap,33.5,-106.0,33106-E1
Bull Gap SW,49.59329128400683,-56.68608544133215,33106-E2
Bullard Peak,43.97612188463765,-118.19458516222775,32108-F5
Bulldog Mesa,35.0,-103.625,35103-A6
Bullis Spring Ranch,32.5,-105.0,32105-E1
Burned Mountain,36.625,-106.125,36106-F2
Burned Timber Canyon,35.125,-108.5,35108-B5
Burnham Trading Post,56.87621756224085,-108.375,36108-C4
Burnt Corral Canyon,33.25,-108.125,33108-C2
Burnt Mesa,36.875,-107.5,36107-H5
Burro Lake,59.58257745531677,-105.0,34105-F1
Burro Peak,32.5,-108.375,32108-E4
Bustos Well,34.0,-106.625,34106-A6
Button Mesa NE,33.625,-76.19465281781578,33103-F5
Button Mesa North,33.625,-103.625,33103-F6
Button Mesa South,33.5,-103.625,33103-E6
C And L Draw,31.875,-105.25,31105-H3
C Bar Ranch,19.98070911407183,-108.375,32108-D4
C-N Lake,33.875,-107.75,33107-H7
Caballo,32.875,-107.25,32107-H3
Cabezon Peak,35.5,-107.0,35107-E1
Cabin Wells,31.5,-57.755138086429575,31108-E2
Cabra Hill,35.25,-104.625,35104-C6
Cactus Tank,35.25,-104.75,35104-C7
Cal Ship Mesa,34.25,-107.75,34107-C7
Caliente Canyon North,53.52810726324559,-104.75,36104-H7
Caliente Canyon South,36.75,-104.75,36104-G7
Camaleon Draw East,34.25,-105.25,34105-C3
Camaleon Draw West,34.25,-105.375,34105-C4
Cambray,32.125,-146.79077940863883,32107-B3
Camel Mountain,25.147586145575417,-107.25,31107-G3
Cammak Camp,35.375,-103.125,35103-D2
Campana,35.5,-69.94341656921185,35103-E8
Campbell,55.46460923591321,-88.23243817270694,33104-E2
Campbell Well,31.375,-108.125,31108-D2
Canada,35.625,-106.375,35106-F4
Canada Calladita,35.625,-107.25,35107-F3
Canada Colorado,34.75,-104.25,34104-G3
Canada Ojitos,36.375,-138.13459128994788,36106-D8
Canador Peak,32.625,-108.875,32108-F8
Canal Creek,36.875,-108.75,36108-H7
Candy Mesa,34.5,-82.2262981333202,34104-E1
Canjilon,36.375,-106.375,36106-D4
Canjilon Mountain,24.77483855121759,-106.25,36106-E3
Canjilon SE,36.25,-106.25,36106-C3
Canon Agua Buena,33.875,-106.625,33106-H6
Canon Ancho,35.75,-104.5,35104-G5
Canon Colorado,36.0,-104.375,36104-A4
Canon Encierro,35.75,-104.25,35104-G3
Canon Las Cuevas,35.875,-138.0223991263201,35104-H4
Canon Olguin,35.5,-104.5,35104-E5
Canon Pedroso,35.625,-104.75,35104-F7
Canon Plaza,36.5,-106.125,36106-E2
Canoncito School,35.0,-107.0,35107-A1
Canones,36.125,-106.375,36106-B4
Cantaralo Spring,34.625,-108.875,34108-F8
Canteen Canyon,33.0,-108.5,33108-A5
Canutillo,31.875,-106.5,31106-H5
Canyon Creek Mountains,33.375,-108.25,33108-D3
Canyon Hill,47.471019806337225,-108.375,33108-A4
Capilla Peak,34.625,-106.375,34106-F4
Capitan,33.5,-105.5,33105-E5
Capitan Pass,33.5,-105.375,33105-E4
Capitan Peak,18.97217983425225,-105.25,33105-E3
Capitol Dome,32.125,-107.625,32107-B6
Capitol Peak,33.375,-106.375,33106-D4
Capitol Peak SE,24.24612190437194,-106.25,33106-C3
Caprock,58.5398564434128,-103.625,33103-D6
Caprock Mountain,32.5,-108.75,32108-E7
Captain Davis Mountain,35.25,-106.0,35106-C1
Capulin,36.625,-103.875,36103-F8
Car Top Butte,36.125,-103.375,36103-B4
Carbon Springs,34.25,-107.125,34107-C2
Carlsbad Caverns,32.125,-104.375,32104-B4
Carlsbad East,51.44463490408798,-104.125,32104-D2
Carlsbad West,32.375,-104.25,32104-D3
Carne,47.80264403467957,-107.5,32107-C5
Carnero Peak,32.25,-104.375,32104-C4
Carpenter Mesa NW,35.375,-66.49115120260814,35103-D8
Carpenter Mesa SW,35.25,-103.875,35103-C8
Carracas,37.0,-107.25,37107-A3
Carracas Canyon,36.875,-96.9900594306522,36107-H2
Carrisito Spring,34.5,-109.0,34109-E1
Carrizozo East,33.625,-105.75,33105-F7
Carrizozo West,33.625,-105.875,33105-F8
Carson,36.25,-105.75,36105-C7
Carson Trading Post,36.375,-108.0,36108-D1
Casa Colorada,34.5,-106.625,34106-E6
Casa Grande,36.875,-104.875,36104-H8
Casa Grande SW,23.026669587315,-104.875,36104-G8
Casa Salazar,35.375,-107.0,35107-D1
Casamero Lake,35.5,-108.0,35108-E1
Cat Mesa,34.0,-106.0,34106-A1
Cat Mountain,33.125,-105.875,33105-B8
Catfish Falls,18.951125829815737,-80.98621498758574,35104-A6
Caudill Ranch,33.125,-51.67604384000963,33103-B7
Causey East,33.875,-103.0,33103-H1
Causey West,47.61689223617559,-103.125,33103-H2
Cawley Draw,32.375,-104.625,32104-D6
Ceadro Spring,34.75,-109.125,34109-G2
Ceadro Spring SE,34.75,-144.0166606233383,34109-G1
Cebolla,36.5,-116.5499010324956,36106-E4
Cebollita Peak,34.625,-107.75,34107-F7
Cedar Canyon,36.625,-106.875,36106-F8
Cedar Hill,36.875,-107.875,36107-H8
Cedar Point,33.0,-103.875,33103-A8
Cedar Point SE,33.0,-115.08742714354732,33103-A7
Cedarvale,34.25,-105.625,34105-C6
Cedarvale NE,34.375,-105.5,34105-D5
Cement Lake,36.625,-107.0,36107-F1
Center Peak,31.5,-108.625,31108-E6
Centerfire Bog,33.875,-108.75,33108-H7
Centerville Corner,35.75,-129.80276965255928,35103-G2
Cerro,15.673866921003327,-129.82554195064364,36105-G5
Cerro Alesna,35.375,-107.5,35107-D5
Cerro Alto,34.75,-108.25,34108-G3
Cerro Alto Mountain,31.875,-105.875,31105-H8
Cerro Brillante,34.75,-108.125,34108-G2
Cerro Conejo,35.375,-106.75,35106-D7
Cerro De Corazon,17.33677839493394,-104.5,35104-D5
Cerro De La Campana,33.75,-106.625,33106-G6
Cerro De La Campana SE,33.75,-106.5,33106-G5
Cerro De La Olla,36.75,-105.75,36105-G7
Cerro De Los Taoses,36.5,-105.75,36105-E7
Cerro Del Oro,34.625,-107.375,34107-F4
Cerro Diablo,31.875,-105.375,31105-H4
Cerro Hueco,34.875,-108.125,34108-H2
Cerro Montoso,34.25,-106.5,34106-C5
Cerro Negro,47.86104912337136,-104.875,36104-A8
Cerro Parido,35.5,-80.56927058905096,35107-E3
Cerro Pelon,15.941418842171135,-107.5,35107-C5
Cerro Pomo,58.77409378865534,-108.25,34108-F3
Cerro Prieto,34.5,-166.45575615945523,34108-E5
Cerro Tinaja,22.95561114042712,-107.125,35107-D2
Cerro Verde,34.75,-117.4521298463717,34107-G3
Cerro Vista,22.737968514880357,-105.375,36105-B4
Cerro del Grant,36.0,-106.5,36106-A5
Chacon,36.125,-105.25,36105-B3
Chafin Well,27.023220020429363,-109.0,35109-B1
Chama,36.875,-106.5,36106-H5
Chama Peak,17.703798756157557,-106.625,37106-A6
Chaperito,35.25,-58.87820566267898,35104-C8
Charette Lake,36.125,-104.75,36104-B7
Cherokee Valley,35.625,-63.69291349017789,35103-F3
Cherry Valley Lake,35.75,-163.59099125929237,35104-G7
Cheyenne Draw,31.875,-103.25,31103-H3
Chi Chil Tah,23.378691286862495,-108.875,35108-B8
Chicken Mountain,34.625,-107.25,34107-F3
Chili,36.0,-158.06427191624852,36106-A2
Chilili,34.875,-106.125,34106-H2
Chimayo,36.0,-105.875,36105-A8
Chimney Hill,34.625,-108.375,34108-F4
Chimney Lake,32.625,-105.25,32105-F3
Chimney Rock,36.75,-108.5,36108-G5
Chinaberry Canyon,35.625,-63.6457989965006,35103-F8
Chise,33.25,-95.38173354817546,33107-C5
Chivita Canyon,49.92413596070907,-104.875,33104-H8
Chromo,37.0,-106.75,37106-A7
Chromo Mountain,25.00043627502416,-106.625,36106-H6
Chupadera,34.25,-106.25,34106-C3
Chupadera Spring,34.125,-106.25,34106-B3
Chupadero Mountain,33.875,-105.5,33105-H5
Church Mountain,33.5,-85.63297528173212,33105-E7
Church Rock,35.5,-108.5,35108-E5
Chuska Lake,53.48898977451701,-119.1616271261664,35108-G6
Chuska Peak,35.875,-159.05751280003213,35108-H7
Cienega Ranch,33.75,-107.0,33107-G1
Cienega School,32.0,-105.0,32105-A1
Cimarron,42.40009322315013,-104.875,36104-E8
Cimarron SE,36.5,-104.75,36104-E7
Ciniza,27.29771086586818,-108.375,35108-D4
Circle Bar Ranch,35.75,-103.625,35103-G6
Circle Mesa,32.75,-108.375,32108-G4
Circle S Mesa,53.46771893255803,-155.48090017957833,34103-H8
Cistern Draw,33.75,-105.0,33105-G1
Clanton Draw,31.5,-108.875,31108-E8
Clapham,36.125,-68.72881889638192,36103-B3
Clark Spring Canyon,32.75,-107.375,32107-G4
Claunch,34.125,-105.875,34105-B8
Claunch SE,34.0,-105.75,34105-A7
Clayton,36.375,-103.125,36103-D2
Clayton SW,36.25,-103.125,36103-C2
Clements Ranch,33.0,-105.25,33105-A3
Cleones Tank,32.25,-105.375,32105-C4
Cliff,32.875,-108.5,32108-H5
Clifton House,36.75,-104.375,36104-G4
Clines Corners,35.0,-105.625,35105-A6
Cloudcroft,32.875,-105.625,32105-H6
Clovis,43.4327980470692,-103.125,34103-D2
Cobert Mesa North,37.0,-129.80269679589844,37103-A5
Cobert Mesa South,36.875,-103.5,36103-H5
Cochiti Dam,35.625,-106.25,35106-F3
Colfax,36.5,-104.625,36104-E6
Collier Draw,35.375,-106.875,35106-D8
Collins Park,33.625,-108.375,33108-F4
Colmor,36.125,-104.625,36104-B6
Colonias,35.0,-104.75,35104-A7
Colorado Canyon,34.625,-104.25,34104-F3
Columbus,31.75,-107.625,31107-G6
Columbus NE,31.875,-107.5,31107-H5
Columbus SE,31.75,-157.81631506962557,31107-G5
Comanche Peak,36.0,-125.54082467474392,36105-A3
Comanche Point,36.75,-61.65131257630675,36105-G3
Comanche Ranch,34.5,-107.0,34107-E1
Comanche Spring,33.375,-84.70751441254168,33104-D3
Conchas Dam,35.375,-104.125,35104-D2
Conejo Creek East,34.125,-104.25,34104-B3
Conejo Creek West,34.125,-104.375,34104-B4
Conner Well,33.125,-104.0,33104-B1
Continental Divide,35.375,-108.25,35108-D3
Cooley Lake,34.0,-104.125,34104-A2
Cooper Canyon,33.875,-106.125,33106-H2
Cooper Ranch,34.5,-133.735105115349,34104-E5
Cooper-Good Ranch,47.7630778196337,-103.625,33103-B6
Copperas Peak,33.0,-108.125,33108-A2
Cordova Canyon,48.92141581090677,-141.78595145698816,36106-G8
Corlena,36.25,-102.875,36102-C8
Corlena NW,36.375,-62.040127243925056,36102-D8
Corn Ranch,33.375,-104.625,33104-D6
Corner Well,26.98841319147443,-108.125,31108-C2
Cornucopia Canyon,32.5,-105.25,32105-E3
Cornucopia Ranch,32.375,-105.25,32105-D3
Cornucopia Ranch SE,32.25,-105.25,32105-C3
Cornudas Mountain,32.0,-105.5,32105-A5
Corona North,34.25,-105.5,34105-C5
Corona South,34.125,-105.5,34105-B5
Correo,22.38504691090597,-107.125,34107-H2
Costilla,36.875,-83.56136372802052,36105-H5
Cotton City,32.0,-108.875,32108-A8
Cottonwood Canyon,35.25,-108.25,35108-C3
Cottonwood Draw,33.75,-104.25,33104-G3
Cottonwood Hills,32.0,-104.125,32104-A2
Cottonwood Springs,35.875,-103.375,35103-H4
Counselor,36.125,-107.375,36107-B4
Cove,36.5,-109.125,36109-E2
Cow Butte,44.17142921454616,-109.125,36109-H2
Cow Canyon,51.51172077267194,-127.76288155259664,35103-B8
Cow Mountain,36.5,-103.75,36103-E7
Cow Springs,34.125,-108.875,34108-B8
Cow Springs Mountain,56.72000301799683,-149.24133409993533,32108-D2
Cowboy Mesa,34.0,-160.81385110923003,34105-A1
Cowboy Mesa NE,34.125,-105.0,34105-B1
Cowboy Mesa NW,34.125,-105.125,34105-B2
Cowboy Mesa SW,34.0,-105.125,34105-A2
Cowles,35.75,-105.625,35105-G6
Cox Peak,34.125,-93.487569983513,34108-B1
Coyote Canyon,35.75,-108.5,35108-G5
Coyote Canyon NW,35.875,-108.625,35108-H6
Coyote Draw,16.14628530171769,-104.375,33104-F4
Coyote Hill,19.69827517914664,-107.375,31107-G4
Coyote Hills,20.59457254919405,-109.125,34109-B2
Coyote Mesa,36.375,-82.17954579326516,36104-D8
Coyote Peak,32.0,-108.5,32108-A5
Crevasse Canyon,35.75,-108.875,35108-G8
Crocker,33.25,-159.96662708792536,33107-C1
Crookson Peak,32.875,-155.29052046487092,32108-H8
Crosby Springs,46.5089180304459,-107.875,34107-B8
Cross L Ranch,36.875,-103.625,36103-H6
Cross L Ranch SW,59.51398195590478,-103.625,36103-G6
Crossroads,58.07362310049939,-103.25,33103-E3
Crow Mesa East,22.011518335456312,-107.5,36107-C5
Crow Mesa West,20.559202528704624,-107.625,36107-C6
Crow Point,34.875,-107.625,34107-H6
Crownpoint,35.625,-108.125,35108-F2
Cruzville,56.838038685135416,-78.06753132976328,33108-G6
Crystal,36.0,-108.875,36108-A8
Cuates School,36.75,-93.80531783394464,36103-G3
Cub Mountain,33.5,-105.875,33105-E8
Cuba,57.9271548845898,-106.875,36106-A8
Cubero,35.0,-81.73828612419987,35107-A5
Cuchillo,22.54684737816333,-107.25,33107-B3
Cuervo,35.0,-141.59863901458112,35104-A4
Culberson Ranch,32.375,-158.25675273404266,32108-D6
Culebra Peak,37.0,-105.125,37105-A2
Culp Canyon,32.5,-105.75,32105-E7
Culp Draw,32.0,-105.125,32105-A2
Culp Ranch,33.25,-122.15700039516834,33103-C8
Cumbres,37.0,-132.96307804316223,37106-A4
Cunavea Basin,34.75,-103.875,34103-G8
Cundiyo,35.875,-105.875,35105-H8
Curlew Lake,16.80807784934139,-103.875,33103-F8
Curlew Lake SE,33.5,-103.75,33103-E7
Curtis Camp,20.29089093654269,-104.625,36104-G6
Custer Mountain,15.496746842310223,-103.25,32103-B3
Cutter,33.0,-107.0,33107-A1
Cutter Canyon,44.48340443663927,-107.625,36107-F6
D Cross Mountain,34.375,-107.625,34107-D6
Dale Mountain,53.90579806381108,-158.2064240418044,36104-H2
Dalies,34.75,-106.75,34106-G7
Dalies NW,34.875,-106.875,34106-H8
Dallas Store,33.25,-103.5,33103-C5
Dalton Pass,35.625,-108.25,35108-F3
Dark Canyon,33.0,-141.76237953311022,33104-A8
Datil,46.78045998946637,-107.75,34107-B7
Davies Tank,32.25,-58.82499714088184,32106-C4
Dawson,36.625,-104.75,36104-F7
Day Canyon,34.875,-103.125,34103-H2
Dayton,32.625,-104.375,32104-F4
Deadman Canyon,32.625,-74.39443802724234,32105-F8
Deadman Lake,33.125,-105.25,33105-B3
Dean Ranch,17.62615325989529,-103.625,33103-A6
Deep Lake,43.75281868132896,-58.8512210674219,35109-A2
Deep Well,33.625,-104.75,33104-F7
Deer Mesa,36.0,-107.25,36107-A3
Deering Place,33.875,-104.25,33104-H3
Delgadita Mesa,36.625,-107.5,36107-F5
Dell City,51.88149775755628,-105.125,31105-H2
Delphos,34.0,-103.375,34103-A4
Deming East,32.25,-107.625,32107-C6
Deming West,32.25,-107.75,32107-C7
Dennis Canyon,37.0,-103.25,37103-A3
Denton Camp,33.75,-104.0,33104-G1
Denver City SW,42.46719680331092,-102.875,32102-G8
Derrick Draw,45.23362467985582,-104.125,33104-A2
Des Moines,49.73078848140078,-56.613545953201296,36103-G7
Desert,32.125,-106.125,32106-B2
Desert NE,32.125,-106.0,32106-B1
Desert SE,32.0,-140.6895466053286,32106-A1
