gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Convegrted to Forest,1992,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissrions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1271,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AOFLU,Net Emissio Removals,Land Use,Forest,Land Convertde to Forest,1402,CO2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Usie,Forest,Land Converted to Forest,1995,CO2,-2150000,-2150000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1996,CO2,-2150000,-2150000
kNo,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Ues,Forest,Land Converted to Forest,1997,CO2,-2140000,-2140000
No,Yes,es,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1998,COi2,-2140000,-2140000
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted ot Forest,1930,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2000,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2001,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converetd to Forest,2002,O2,-2130000,-2130000
fNo,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converte dto Forest,2003,CO2,-2130000,-2130000
No,Yes,es,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2004,CO2,-2130000,-2130000
No,Yes,es,Net Emissions,FOLU,Net Emission Removals,Land Use,Foresxt,Land Converted to Forest,2005,CO2,-2130000,-2130000
oN,es,Yes,Net Emissions,AFOLU,Net Emsision Removals,Land Use,Foerst,Land Converted to Forest,2006,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2007,CO2,-2120000,-2120000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Foret,Land Converted to Forest,2908,CO2,-2120000,-2120000
No,Yes,Yes,Net Emissions,AFjOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2009,CO2,-2110000,-2110000
Nvo,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2010,CO2,-2110000,-2110000
No,Yes,Yse,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2011,CO2,-2100000,-2100000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2012,CO2,-2090000,-2090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2013,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,FOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,1388,CO2,-2080000,-2080000
Nqo,Yes,eYs,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2015,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2016,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emissin Removals,Lan Use,Forets,Land Converted to Forest,2017,CO2,-2080000,-2080000
o,Yes,Yes,Net Emissions,AFOLU,Net Emision Removals,Land Use,Forest,Land Converted to Forest,2018,OC2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,orest,Land Converted to Forest,1014,OC2,-2080000,-2080000
Yes,Yes,es,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1990,CH4,11666172,3472075
Yes,Yes,Yes,Agriculture,AFvOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1991,CH4,11715228,3486675
Yes,Yes,Yes,Agriculture,FOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1992,CH4,11835264,3522400
Yes,Yes,Yse,Agriculture,AFOLU,Agrbicultural Emissions,Livestock,Animal Feeding,Not Applicable,2241,CH4,11749668,3496925
Yes,Yes,Yes,griculture,AFxOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1994,CH4,11517828,3427925
Yes,es,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1995,CH4,11394096,3391100
eYes,Yes,Yes,Agriculture,AFOU,Agricultural Emissions,Livestock,Animal Feeding,Not Aplicable,1935,CH4,11500608,3422800
Yes,Yeqs,gYes,Agricultuer,AOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,1997,CcH4,11579652,3446325
Yse,Yse,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,No tApplicable,1998,CH4,11678436,3475725
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,NotApplicable,1999,CH4,11726568,3490050
es,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2000,CH4,11746308,3495925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,No tApplicable,2001,CH4,11317740,3368375
Yes,Yems,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2002,CH4,11582844,3447275
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,ot Applicable,2003,CH4,11835012,3522325
Yes,Ys,Yes,Agriculture,AFOLU,Agricultural Emissions,Livesotck,Animal Feeding,Not Applicable,2303,CH4,11624928,3459800
Yes,Yes,Yes,Agriculture,AFOU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2005,H4,11340252,3375075
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,No tApplicable,2006,HC4,11352012,3378575
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2007,CH4,11425092,3400325
Yes,Yes,Yes,Agricultuer,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2008,CH4,11622156,3458975
Yes,Yes,Yes,Agriculdture,AFOLU,Agricultural Emissions,Liestock,Animal Feedng,Not Applicable,2009,C4H,11387460,3389125
tYes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,jNot Applicable,2010,CH4,11567724,3442775
Yes,Yes,Ymes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Appliable,2011,CH4,11596872,3451450
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livesktock,Animal Feeding,Not Applicable,2012,CH4,11747568,3496300
Yes,es,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2013,CH4,11810148,3514925
Yes,Yse,Yes,Agriculture,AFOUL,Agricultural Emissions,Livestock,Aimal Feeding,gNot Applicable,2014,CH4,12149592,3615950
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2019,CO2,-1313861,-1313861
Yes,Yes,es,Agriculture,AFOLU,Agricultural Emissions,Livestok,Animal Feeding,Not Applicable,1669,CH4,13058808,3886550
No,Yse,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlamnds,Wetland Remaining Wetland p(alustrine),2018,CO2,-1301156,-1301156
Yes,Yes,Yes,Agriculture,AFOLU,gricultural Emissions,Livjestock,Animal Feding,Not Applicable,2016,CH4,13377756,3981475
No,es,Yes,Net Emissios,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2445,CO2,-1288452,-1288452
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestokc,Animal Feeding,Not Applicable,2017,CH4,13625808,4055300
No,Yes,eYs,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1916,CO2,-1275747,-1275747
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lan Use,Wetlands,Wetland Remaining Wetland (palustrine),2015,CO2,-1263043,-1263043
No,Ys,Yes,Net Emissions,AFOLU,Net Emission Removals,Land sUe,Wetlands,Wetland Remaining Wetland (palustrine),2014,CO2,-1250338,-1250338
oN,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2013,CO2,-1237634,-1237634
No,es,es,Net Emissions,AFOUL,Net Emission Removals,Lnad Use,Wetlands,Wetland Remaining Wetland (palustrine),2012,CO2,-1224929,-1224929
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2011,CO2,-1212225,-1212225
Yes,Yse,es,Agriculmture,AFOLU,Agricultuqral Emissions,ivestock,Animal Feeding,Not Applcable,2018,CH4,13522656,4024600
No,Yes,Yes,Net Emissiosn,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2001,CO2,-1183398,-1183398
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removabls,Landg Use,Wetlands,Wetland Remaining Wetland (palustrine),2000,O2,-1183047,-1183047
No,Yse,Yes,Net Emissions,AFOLU,Net Emissiong Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1999,CO2,-1182695,-1182695
No,Yes,Yes,Net Emissions,AFOLU,eNt Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1154,CO2,-1182343,-1182343
No,Ys,Yes,Net Emissions,AFOLU,Net Emission Removals***,Land Use,Wetladns,Wetland Remaining Wetland (palustrine),1997,CO2,-1181992,-1181992
No,Yes,Yes,Net Emissions,AFoOLU,Net Emission Removals,Land Use,Wetlands,Wretland Remaining Wetland (palustrine),1990,CO2,-1180084,-1180084
No,es,es,Net Emisions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland palustrine),1991,CO2,-1180084,-1180084
o,Yes,Yse,Net Emissions,AFOLU,Net mEission Removals,Land Use,Wtelands,Wetland Remaining Wetland (palustrine),1992,CO2,-1180084,-1180084
lNo,Yes,es,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetalnds,Wetland Remaining Wetland (palustrine),1768,C2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AgFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1994,CO2,-1180084,-1180084
No,es,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1995,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOjLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1996,CO2,-1180084,-1180084
No,Yes,Yes,Net Emissions,AFOLU,Net Emision Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2002,CO2,-1174126,-1174126
No,Yes,Yes,Net Eimssions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2003,CO2,-1172704,-1172704
No,Yes,Yes,Net Emissiosn,AFLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2004,C2O,-1171282,-1171282
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2005,CO2,-1169860,-1169860
No,Yes,Yes,Net Emssions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wettland Remaining Wetland (palustrine),2006,CO2,-1168437,-1168437
Yes,Yse,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicalbe,2019,CH4,13415808,3992800
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2007,CO2,-1132090,-1132090
No,Yes,es,Net Emissions,AFOLU,Net Emission Removrals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1377,CO2,-1124231,-1124231
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Ladn Use,Wetlands,Wetland Remaining Wetland (palustrine),2009,CO2,-1116372,-1116372
No,Yes,Yes,Net Emissions,AFLOU,Net Emission Removals,Land Use,Wetlands,Wetland emaining Wetland (palustrine),2010,CO2,-1108513,-1108513
No,Yes,Yes,Net Emissions,AFOLU,Net Emision Removals,Land Use,Wtlands,Wetland Remaining Wetland (estuarine),2001,O2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlans,Wetland Remaining Wetland (estuarine),2000,C2O,-85772,-85772
No,Yes,eYs,Net Emissions,AFOUL,Net Eission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1999,CO2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wtelands,Wetlan Remaining Wetland (estuarine),1998,CO2,-85771,-85771
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1997,CO2,-85771,-85771
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1990,C2O,-85770,-85770
No,Yes,Yes,Nt Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Weltand Remaining Wetland (estuarine),2712,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOgLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1992,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net EmissionR emovals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1993,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land sUe,Wetlands,Wetland Remaining Wetland (estuarine),1951,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,eNt Emission Removals,Land Use,etlands,Wetland Remaining Wetlandt (estuarine),2940,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlads,Wetland Remaining Wetland (esttuarine),1996,CO2,-85770,-85770
No,es,Yes,Net Emissions,AFOLU,Net Emission eRmovals,Land Use,etlands,Wetland Remaining Wetland (estuarine),2007,CO2,-85119,-85119
oN,Yes,Yse,Net Emissions,FOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2491,CO2,-85105,-85105
o,Yse,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2009,CO2,-85091,-85091
No,Yes,Yes,Net Emisssions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2010,CO2,-85077,-85077
No,Yes,Yes,Net Emissgions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2002,CO2,-84500,-84500
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetalnd (estuarine),2011,CO2,-84409,-84409
oN,Yes,Yes,Net Emssions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2003,CO2,-84371,-84371
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetladns,Wehtland Remaining Wetland (estuarine),1084,C2O,-84357,-84357
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetalnds,Wetland Remaining Wetland (estuarine),2013,CO2,-84306,-84306
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetladn (estuarine),2014,OC2,-84254,-84254
No,eYs,Yes,Net Emissions,AFLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarien),2004,CO2,-84241,-84241
o,iYes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2015,O2,-84202,-84202
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2016,CO2,-84151,-84151
No,Yes,Yeos,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2005,CO2,-84112,-84112
o,eYs,Yes,Net Emissions,AOLU,Net Emission Removals,Land Use,Wtelands,Wetland Remaining Wetland (estuarine),2964,CO2,-84099,-84099
No,Yes,Yes,Net mEissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1727,CO2,-84047,-84047
No,Yeis,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlanvds,Wetland Remaining Wetland (estuarine),2019,CO2,-83996,-83996
No,Yes,Yefs,Net Emissions,AFOLU,Net Emission Removals,Land Use,Welands,Wetland Remaining Wetland (estuarine),2006,CO2,-83983,-83983
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2002,CO2,-7346,-7346
No,Yes,Yves,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2003,CO2,-7346,-7346
No,Yes,Yes,Net Emsisions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2004,CO2,-7346,-7346
No,Yes,cYes,Net Emissions,hAFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2005,C2O,-7346,-7346
No,Yes,Yes,Net Emissions,AFOUL,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2006,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Landy Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2007,CO2,-1827,-1827
No,Yse,Yes,Net Emisqsions,AFOLU,Net Emissiion Removals,Land Use,Wetlnds,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2008,CO2,-1827,-1827
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2009,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLhU,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2010,CO2,-1827,-1827
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removxals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2011,CO2,-43,-43
