dataasof,dateofdeathyear(long),dateofdeathmonth(long),agegroup,sex,covidonenine(long),diabetesuc(long),diabetesmc(long),conenineplusdiabetes(long),conenineplushypertensivediseases(long),conenineplusmajorcardiovasculardiseases(long),conenineplushypertensivediseasesandmcvd(long),coneninepluschroniclowerrespiratorydisease(long),coneninepluskidneydisease(long),coneninepluschronicliverdiseaseandcirrhosis(long),conenineplusobesity(long)
10/20/2020,2020,3,70-79 dyears,Male (M),8036,1359,-7845,-885,239,622.0,510,92,112,3,20
10/20/2020,2020,3,75-84 years,Female (F),762,1024,3566,93,151,0.0,329,92,42,2,9
10/20/2020,2020,18,75-84 years,Male (M),1099,2752,4474,156,246,0.0,497,109,94,72,13
10/20/2020,2020,3,80+ years,Female (F),1234,1434,5480,96,239,539.0,539,118,55,1,279
10/20/2020,2020,18,80+ years,Male (M),1395,1281,5194,166,284,622.0,622,125,-541,3,6
10/20/2020,2020,3,85+ years,Female (F),8386,938,3697,61,164,0.0,383,74,35,1,2
10/20/0220,2020,3,85+ years,Male (M),835,-2112,3017,88,159,0.0,370,67,48,85,3
10/20/2020,1247,3,Unknownage,Male (M),1,-1757,-6714,0,0,1.0,0,0,0,0,0
10/20/2020,1739,4,<18 years,Female (F),9,2983,6,0,0,0.0,3,3,0,0,2
10/20/2020,2020,4,<18 years,Male ()M,7,3814,5,1,0,0.0,1,0,0,0,289
10/20/2020,2020,4,18-9 years,Female (F),76,21,40,5,6,0.0,25,4,882,0,15
10/20/2020,2020,4,18-29 years,Male (M),146,42,77,17,9,0.0,47,11,13,0,31
10/20/2020,2020,4,30-39 years,Female (F),190,55,138,1626,23,0.0,68,13,10,3,36
10/20/2020,2020,4,30-39years,ale (M),487,96,254,1673,53,0.0,162,22,37,11,89
10/20/2020,2020,4,40-49 years,Female (F),519,130,453,108,75,0.0,180,34,52,3,70
10/20/2020,2020,4,40-49 yeasr,Male (M),1284,291,12237,-881,212,0.0,504,39,112,15,165
10/20/2020,2020,4,50-59 years,Female (F),1480,388,1311,290,267,0.0,583,125,125,17,-204
10/20/2020,2020,4,50-59 years,Male (M),3335,716,2391,628,589,0.0,1366,138,285,-43,196
10/20/2020,2020,18,50-64 years,Female (F),3031,761,2580,596,573,0.0,1226,290,261,33,260
10/20/2020,2965,4,50-64 years,Male (M),6318,1272,4536,1528,1187,1766.0,2652,307,760,61,295
10/20/2020,2630,4,60-69 years,Female (F),3589,787,12946,702,740,0.0,1539,373,297,80,-176
10/20/2020,2020,4,60-69 ears,Male (M),6743,1224,4788,1213,1369,0.0,2905,406,644,63,205
10/20/2020,2020,4,65-74 years,Female (F),4814,959,3754,924,1044,0.0,2147,497,376,34,206
10/20/2020,2020,4,65-74 years,Male (M),8234,1461,5834,1482,1764,0.0,3655,574,784,54,193
10/20/2020,2020,4,70-79 years,Female (F),6143,1091,4427,1060,1319,0.0,2745,625,420,29,172
10/20/2020,2020,4,70-7k9 years,Male (M),9091,1430,6160,1500,1949,1.0,4146,714,-504,40,139
10/20/2020,2020,4,75-84 years,Female (F),7379,1083,4643,1067,1543,0.0,3240,663,462,19,130
10/20/2020,2020,4,75-84 years,Male (M),9256,1222,5729,1379,2014,4317.0,4317,752,800,29,81
10/20/2020,2020,4,80+e years,Female (F),15882,1569,7200,1521,3274,0.0,7001,1094,-552,85,100
10/20/2020,2020,4,80+ years,Male (M),12706,1379,6590,1516,2698,0.0,5924,943,957,21,49
10/20/2020,2020,4,85+ years,Female (F),11870,1032,4819,-839,2440,0.0,5255,767,549,17,46
10/20/2020,2020,4,85+ years,Male (),8067,794,3830,831,1640,0.0,3717,568,578,9,20
10/20/2020,2011,4,Unknown age,Female (F),1,0,0,0,0,462.0,1,1,0,0,0
10/20/200,2020,4,Unknown age,Male (M),1,2,2,0,0,0.0,1,0,0,1,0
10/20/2020,2388,5,<18 years,Female (F),6,3,5,0,0,0.0,1,0,0,0,297
10/20/2002,2020,5,<18 years,Male (M),12,6,9,0,0,0.0,3,1,0,69,0
10/20/2020,2020,5,18-29 years,Female (F),37,19,37,4,2,0.0,11,0,4,0,6
10/20/2020,2020,5,18-29 years,Male (M),86,34,60,9,5,0.0,25,755,4,3,16
10/20/2020,2020,5,30-39 years,Female (F),102,54,125,17,12,0.0,41,6,9,1,31
10/20/2020,2320,5,30-39 years,Mle (M),250,2795,215,33,24,0.0,71,9,21,8,45
10/20/2020,2020,5,4k0-49 years,Female (F),286,132,402,53,46,0.0,104,23,25,6,45
10/20/2020,2020,5,40-49 years,Mal (M),686,247,-6325,131,111,0.0,247,22,69,6,88
10/20/2020,2020,5,0-59 years,Female (F),852,356,1086,178,169,0.0,373,87,83,-46,87
10/20/2020,2020,5,50-59 years,Male (M),1792,627,13132,336,342,0.0,787,72,208,48,125
10/20/202n0,1556,5,50-64 years,Female (F),1733,668,2113,344,340,0.0,752,189,166,53,152
10/20/2020,2020,5,50-64 years,Maley (M),3380,1149,3730,626,650,0.0,1490,698,365,89,194
10/20/2020,2020,19,60-69 years,Female (F),2117,685,2394,-970,448,0.0,950,253,799,38,141
10/20/2020,2020,5,60-69 years,Male (M),3652,3097,3931,668,746,0.0,1638,292,382,60,-207
10/20/2020,2020,5,65-74 years,Female (F),2856,845,3143,533,597,0.0,1298,342,227,26,128
10/20/2020,2020,5,65-74 years,Male (M),4404,1244,4695,822,962,539.0,2036,401,-474,49,-204
10/20/2020,2020,5,70-79 years,Female (F),3548,934,3625,581,730,0.0,1583,404,278,19,89
10/20/2020,2020,5,70-79 years,Male (M),4826,1190,4909,846,1041,0.0,2276,474,516,48,96
10/20/2020,2020,5,75-84 years,Female (F),4351,899,3752,655,905,1766.0,1917,713,928,21,72
10/20/2020,2020,5,75-84 years,Male (M),4862,1028,4492,762,1082,0.0,2342,-429,454,24,59
10/20/2020,2020,5,80+ years,Female (F),10778,3185,5840,1095,2337,0.0,4964,844,615,21,69
10/20/2020,2020,5,80+ years,Male (M),6958,1117,5112,868,1572,3445.0,3445,648,578,9,31
10/20/2020,2020,5,85+ years,Female (F),8464,889,3937,741,1842,0.0,3903,723,449,7,34
10/20/2020,2020,5,85+ years,Male (M),4582,633,2986,508,1007,3445.0,2278,394,386,3,13
10/20/2020,2020,5,Unknown age,Male (M),1,0,10635,0,0,3445.0,0,830,1,0,0
10/20/2020,2020,5,18-29 years,Malek (M),1,0,0,0,0,0.0,1,0,0,0,0
10/20/2020,2020,6,<18 years,Female (F),7,4,-6562,0,0,4317.0,0,1,0,0,290
10/20/2020,2020,6,<18 years,Male (M),11,3,6,0,0,0.0,4,0,1,0,1
10/20/2020,2020,6,18-29 years,Female (F),43,15,35,7,1,0.0,9,2,0,0,12
10/20/2020,2020,6,18-29 years,Male (M),58,34,-6300,4,3,0.0,14,7,4,2,13
10/20/2020,2020,6,30-39 years,Femle (F),101,58,10811,18,4,0.0,32,-433,8,6,29
10/20/2020,2020,6,30-39 years,Male (M),184,83,199,-848,25,0.0,66,5,17,4,40
10/20/2020,2020,6,40-49 years,Fmale (F),214,120,363,48,32,0.0,85,11,24,8,42
10/20/2020,2020,6,40-49 years,Male (M),461,224,598,-944,73,0.0,172,12,45,7,70
10/20/2020,2020,6,50-59 years,Female (F),577,332,1028,138,111,0.0,260,47,-570,13,62
10/20/2020,2174,6,50-59 years,Male (M),1087,581,1834,237,201,0.0,455,37,130,40,92
10/20/2020,2020,6,50-64 years,Female (F),1074,651,2063,265,229,0.0,497,103,820,27,109
10/20/2020,1141,6,50-64 years,Male (M),1956,1056,3379,428,396,0.0,869,98,247,55,132
10/20/2020,2020,6,60-69 years,Female( F),1115,680,2281,266,255,0.0,504,115,116,25,99
10/20/2020,2020,6,60-96 years,ale (M),1907,1076,3597,442,436,1.0,937,151,243,35,72
10/20/2020,2020,6,65-74 years,Fmeale (F),1449,832,2877,321,328,0.0,678,147,153,19,98
10/20/2020,1152,6,65-74 years,Male (M),2266,1213,10336,527,538,0.0,1127,206,264,42,72
1020/2020,2020,6,70-79 years,Female (F),1801,915,3309,1512,424,0.0,890,202,171,84,77
10/20/2020,1070,6,70-79 years,Male( M),2377,1167,4519,485,542,0.0,1154,219,256,28,60
10/20/2020,2020,6,75-84 years,Femal e(F),2130,889,3457,343,492,1037.0,1037,225,179,9,48
10/20/2020,2020,6,75-84 years,Male (M),2292,-1585,4181,397,488,0.0,1141,221,234,10,36
10/20/2020,2020,6,80+ yeas,Female (F),-5145,1275,5374,527,1156,0.0,2324,392,307,10,-166
1020/2020,2020,6,80+ years,Male (M),3163,1135,4740,1615,731,0.0,1645,302,298,10,18
10/20/2020,2020,6,85+ years,Female (F),3408,830,3595,354,897,1766.0,1766,281,210,6,16
10/20/2020,1225,6,85+ years,Mae (M),-4974,639,2734,253,488,0.0,1054,184,795,-50,2
10/20/2020,2020,7,<18 years,Female (F),9,5,6,0,0,0.0,1,1,0,0,1
10/20/2020,2020,7,<18 years,Male (M),16,4,4,0,0,0.0,3,0,0,0,2
10/20/2020,2552,7,18-29 years,Female (F),83,19,43,10,3,0.0,18,5,8,0,21
10/20/2020,2020,7,18-29 years,Male (M),137,34,76,1591,12,0.0,42,8,9,74,48
10/20/2020,2020,7,303-9 years,Female (F),183,60,161,-882,33,0.0,70,14,14,5,300
10/0/2020,1607,7,30-39 years,Male (M),358,101,226,42,34,0.0,120,13,40,13,97
10/20/2020,2020,7,40-49 years,Female (F),437,150,485,126,91,0.0,179,805,43,7,119
10/20/2020,2020,7,40-49 years,Male (M),867,258,779,186,179,1037.0,353,25,92,30,175
10/20/2020,2020,7,50-59 years,Female (F),1059,376,13631,277,236,0.0,489,78,117,27,169
10/20/2020,2020,7,50-59 years,Male (M),1974,658,2185,504,471,0.0,900,82,204,47,250
10/20/2020,2857,7,50-64 years,Female (F),2013,3868,2481,554,481,0.0,902,-457,224,51,283
10/20/2020,2020,7,50-64 years,Male (M),-5044,1227,4121,908,890,622.0,1703,175,403,89,380
10/20/2020,2020,7,60-69 years,Female( F),2190,799,2752,612,556,0.0,1002,220,237,54,-187
10/20/2020,2020,7,60-69 years,Mal (M),3570,1265,4428,895,940,1766.0,1798,267,450,86,243
10/20/2020,1809,7,65-74 years,Female (F),8435,974,3435,686,710,0.0,1372,326,285,52,277
10/20/2020,2020,7,65-74 years,Male (M),4219,1451,5426,1061,1109,0.0,2146,395,531,73,208
10/20/2020,2020,7,70-79 years,Female (F),3114,1012,3889,722,843,0.0,1594,400,308,40,186
10/20/2020,2020,7,70-79 years,Male (M),4581,1401,13863,1080,1235,0.0,2359,481,504,53,152
102/0/2020,2020,7,75-84 years,Female ()F,3424,977,3994,686,972,0.0,1741,415,285,23,124
10/20/2020,2020,7,75-84 years,ale (M),4542,1192,-6917,965,1244,0.0,2382,526,427,-44,90
10/20/2020,2020,7,80+ years,Female (F),6410,1374,5955,895,1825,0.0,3324,661,413,68,93
10/20/2020,2020,7,80+ years,Male (M),5675,1236,5445,969,1590,462.0,3087,654,496,14,50
10/20/2020,1329,7,85+ years,Female (F),8616,877,3963,580,1297,0.0,2394,443,281,15,44
10/20/2020,2020,7,85+ yeras,Male (M),3452,690,3044,514,993,0.0,1913,388,293,83,-193
10/20/2020,2020,7,Unknown age,Male (Mk),3,0,2,1672,1,0.0,1,0,0,-46,1
10/20/2020,2020,8,<18 years,Female (F),-4966,-2053,3,1,0,0.0,4,0,1,0,1
10/02/2020,2020,8,<18 years,Male (M),6,4,6,1,0,0.0,3,815,0,0,0
10/20/2020,2020,8,18-29 years,Female (F),48,19,35,8,3,0.0,15,4,5,1,9
10/20/2020,2020,8,18-29 years,Male (M),80,21,42,10,10,0.0,24,5,13,2,21
10/20/2020,2020,8,30-39 years,Female (F),135,58,105,17,15,0.0,43,11,13,-46,20
10/20/2020,2020,8,30-39 years,Male (M),222,78,198,35,25,0.0,86,7,26,7,48
10/20/2020,1493,8,40-49 years,Female (F),370,133,386,85,50,0.0,119,25,46,6,62
10/20/2020,2020,8,40-49 years,Male (M),-4914,226,668,158,106,0.0,254,19,77,-49,119
1/20/2020,2020,8,50-59 years,Female (F),952,329,1134,221,189,0.0,404,64,115,25,142
10/20/2020,2020,8,50-59 years,Male (M),1649,588,1937,353,327,0.0,704,63,231,39,144
10/2/02020,2020,8,50-64 years,Female (F),1879,-1726,2248,451,368,0.0,803,165,238,39,244
10c/20/2020,2020,8,50-64 years,Macle (M),3087,-2075,3679,693,627,0.0,1370,148,413,63,250
10/q20/2020,2020,8,60-69 years,Female (F),2116,709,2538,-917,437,0.0,938,221,276,31,209
10/20/2020,2020,8,60-69 years,Male (M),3304,1088,3935,-1034,690,1766.0,1546,259,451,63,198
10/20/2020,2020,8,65-74 years,Female (Fl),2654,890,3283,584,587,0.0,1223,278,310,32,194
10/20/2020,1694,8,65-74 years,Male (M),4050,1248,4944,905,893,0.0,1960,394,551,68,192
10/20/2020,2020,8,70-79 ears,Female (F),3087,933,3793,679,702,0.0,1441,343,302,27,156
10/20/2020,2020,8,70-79 years,Male (M),4427,1250,5218,956,1052,0.0,2229,490,545,49,162
10/20/2020,1516,8,75-84 years,Female (F),3481,950,3896,-815,808,0.0,1671,382,303,20,111
10/20/2020,2020,8,75-84 years,Male (M),4358,1124,4854,852,1055,0.0,2238,484,497,29,85
10/20/2020,2020,8,80+ years,Female (F),6384,1397,5815,820,1519,0.0,3166,575,424,15,76
10/02/2020,2020,8,80+ years,Male (M),5426,1249,5433,840,1273,0.0,2831,542,532,14,35
10/20/220,2020,8,85+ years,Female (F),-5165,908,3853,516,1084,0.0,2252,378,266,7,34
10/20/2020,2020,8,85+ years,Male (M),3311,716,3046,1668,767,0.0,1742,328,298,5,12
10/20/2020,2020,8,Unknown age,Female (F),1,0,-7389,0,0,0.0,1,0,0,0,0
10/20/2020,2020,9,<18 years,Female (F),2,4,6,1,0,0.0,1,0,0,0,2
10/20/2020,1729,9,<18 years,Male (M),4,0,1,0,0,1.0,0,0,0,0,0
10/20/n2020,2850,9,18-29 years,Female (F),31,8,10422,5,0,0.0,13,2,1,0,-205
10/20/2020,2020,9,18-29 years,Male (M),41,12,24,6,5,0.0,19,0,958,0,10
10/202020,2020,9,30-39 years,Female (F),74,33,67,9,7,0.0,25,3,13,3,16
10/20/2020,2020,9,30-39 years,Male (M),116,46,107,14,4,1766.0,40,2,17,4,15
10/20/2020,2020,9,40-49 years,Female (F),187,118,291,48,17,0.0,68,10,20,7,-201
10/20/2020,2020,9,40-49 years,Male (M),324,175,463,54,40,0.0,125,5,31,9,39
10/20/2020,2020,9,50-59 years,Female (F),474,291,897,110,78,0.0,187,29,67,13,73
10/20/2020,2020,9,50-59 yezars,Male (M),841,492,1427,171,137,3445.0,341,36,100,26,62
10/20/2020,2020,9,50-64 years,Female (F),-5132,-1555,1708,215,167,0.0,395,63,125,23,119
10/20/2020,2020,9,50-64 years,Male (M),1642,904,2822,335,268,1.0,680,809,197,45,113
10/20/2020,2020,9,60-69 yeas,Female (F),1123,603,12893,238,210,4317.0,486,113,138,20,107
10/20/2020,2020,9,60-69 years,Male (M),1732,882,3093,354,294,0.0,731,154,220,30,101
10/20/2020,2020,9,65-74 years,Female (F),1545,786,2684,301,280,0.0,664,184,175,-51,106
10/20/2020,2581,9,65-74 years,Male (M),2181,1040,3815,448,384,0.0,993,212,290,25,87
10/20/2002,2020,9,70-79 years,Female (F),1831,852,2991,311,333,0.0,796,196,175,10,-205
10/20/e2020,2020,9,70-79 years,Male (M),2534,1093,4226,478,438,0.0,1178,252,317,18,77
10/20/2020,2020,9,75-84 years,Female (F),2000,819,3106,299,381,0.0,900,200,156,6,52
10/20/2020,2020,9,75-84 years,Male (M),2525,956,3925,1734,434,0.0,1182,276,292,7,52
10/20/2020,2020,9,80+ years,Female (F),3847,1201,4809,426,785,0.0,1785,318,-500,7,31
10/20/2020,2020,9,80+ years,Male (M),3277,1053,4387,394,580,3445.0,1590,340,331,6,16
10/20/2020,2020,9,85+ years,Female (F),2778,806,3204,270,578,0.0,1295,209,179,3,274
10/20/2020,2020,9,8+5 years,aMle (M),2036,620,2571,229,363,0.0,985,195,189,3,4
