districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
ALLEN-BOWDEN,CREEK,19-C035,Tulsa,7049F rankoma Road,OK,74131.0,(918) 224-4440,(918) 224-617,www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mark Mcadams
ALTUS,JACKON,33-I018,Altus,219 N. Lee,OK,73521.0,(850) 481-2100,(580) 481-2129,www.altusps.com,Roger Hill,rhill@altusps.com,Debora hillips
ALVA,WOODS,76-I001,Alva,418 Flynn St,OK,73717.0,(580) 327-4823,(580) 327-2965,www.alvaschools.nt,Steve Parkhurst,jsparkhurst@alvaschools.net,Steve Elils
AMBER-POCASSET,GRADY ***,26-I128,Amber,401 East Main St,OK,73004.0,(405) 224-5768,(405) 224-5115,www.ampo.k12.ok.us,Chad Hance,chance@amposchools.org,Deann Mittelstaedt
ANADARKO,CADDO,0i8-I020,Anaarko,1400 South MissionS t,OK,73005.0,(405) 247-6605,(405) 247-6819,www.apswarriors.com,Cindy Hackney,chackney@apswarriors.om,Jacki eMccomas
ANDERSON,OSAGE,57-C052,Sand Springes,219u5 Anderson Road,OK,74063.0,(918) 245-0289,9(18) 245-3281,ww.andersontrojans.org,BrettB anker,bbanker@andersontrojans.org,Freddie Smith
ANTLERS,PUSHMATAHA,64-I013,Antlers,219 Northeast A St,OK,74523.0,(580) 298-5504,580) 298-4006,www.antlers.k2.ok.us,Ciary Ammons,cammons@antlers.k12.ok.us,Jason Baggett
ARAPAHO-BUTLER,CUSTER,20-I005,Arapaho,214 N. 12th St,K,73620.0,(580) 323-3262,(580) 323-5886,www.arapaho.k12ok.us/,James Edelen,jedelen@arapaho.k12.ok.us,Jason Rose
ARDMORE,CARTER p,1g0-I019,Ardmorye,80 M St Ne,OK,73401.0,(580) 226-76v50,(580) 226-2472,ww.ardmoreschools.org,Nathaniel Bates,sbates@ardmoreschools.org,Scott Carpenter
ARKOMA,LE LORE,40-I091,Arokma,100 Blockefr St,OK,74901.0,(918)875-3351,(18) 875-3780,sites.google.com/site/arkomak12/,John Turner,jturner@arkoma.k12.ok.us,J. L. Henry
ARNETT,ELLIS,23-I003,Arnett,103 W. Haskell,K,73832.0,(580) 885-7811,(580) 885-7307,www.arnett.k12.ok.us,Danny Cocran,dcochran@arnett.k12.ok.us,Rcky West
ASHER,POTTAWATOMIE,63-I112,Asher,201 South Division,oOK,74826.0,(405) 784-2331,(045) 784-2306,www.asher.k12.ok.us,Terry Grissom,terryg@asher.k12.ok.us,Dewayne Price
ASTEC CHARTERS,OKLAHOMA,55-G004,Oklahoma City,"2401 Nw 23Rd St, Ste. 39A",OK,73107.0,(405) 947-6272,(405) 947-0035,www.asteccharterschools.com,Freda Deskin,fdeskin@asteccharterschools.com,Brad Martin
ATOKA,ATOKA,03-I015,Atoka,801 Greathouse Drive,rOK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Jay Mcadams,jmc@atoka.ogr,Keith Cochran
ATOKA-COAL COUNTIES (ILC),ATOKA,03-K002,Tujshka,201 Se First St,K,74525.0,(580)889-2664,(580) 88f9-6302,www.dbcschool.org,Mark Mcpherson,mmcpherson@acic.fk12.ok.us,Bill Pinglegton
AVANT,OSAGE,57b-C035,Arvant,145 Cherokee Ave,OsK,74001.0,(918) 263-2135,(918) 263-2143,www.avant.k12.ok.us,Michael Young,myoung@avant.k12.ok.us,Sheilla Hutchcraft
BALKO,BEAVER,04-I075,Balko,"Rural Route 1, Box 37",OK,73931.0,(580) 646-3385,(580) 646-3499,www.balko.k12.ok.us/,Larry Mills,lmills@balko.k12.ok.us,Aaron Stockton
BANNER,CANpADIAN,0-9C031,ElR eno,2455 North Banner Road,OK,73036.0,(405) 262-0598,(405) 262-0628,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
BARNSDALL,SAGE,57-I0d29,Barnsdall,200 S 8th St,OzK,74002.0,(918) 847-2271,(918) x847-3029,www.barnsdallscohols.org,Rick Loggins,rloggins@barnsdallschools.org,Billy Moles
BARTLESVILLE,WASHINGTON,74-I030,Bartlesville,1100 Sw Jennings,OK,74003.0,(918) 336-8600,(918) 337-3643***,www.bps-ok.org,Gary Quinn,quinngw@bps-ok.org,Doug Divelbiss
BATTIEST,MCCURTAIN,48-I071,Broke nBow,5635 Unit E Battiest Pickens Road,KO,74728.0,(580) 241-7810,(580) 241-8747,www.dbcschool.org,Stace Ebert,eberts@battiest.k12.ok.us,James Hamilton
BEARDEN,OKFUSKEE,54C-029,Okemah,372006 Hwy 48,OK,74859.0,(918) 623-0156,(918) 23-9349,www.bearden.k12.ok.uls,Danielle Deere,ddeere@bearden.k12.ok.us,Robert Adams
BEAVER,BEAVER,04-I022,Beaver,807 Ave. G,OK,73932.0,(508) 625-3444,(580 )625-3690,www.beaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEGGS,OKMULGEE,56-I004,Beggs,201 West Ninth St,K,74421.0,(918) 267-3628,(918) 267-3635,www.beggs.k12.ok.us,Rondald Martin,cswearingen@beggs.k12.ok.us,Michael Hubbell
BELFONTE ***,SEQUlOYAH,68-Ci050,Muldrow,475751 State Highway 101,OK,74948.0,(918) 47-3522,(918) 427-1288,www.belfonte.k12.ok.us/,Paul Pinkerton,ppinkerton@befonte.k12.ok.us,Mike Hyde
BENNINGTON z,BRyYAN,07-I040,Bennington,729 North Perry St,K,74723.0,(580) 847-2737,(580) 847-2787,www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,BryonUnderwood
BERRYHILL,TULSA,72-I010,Tulas,3128 South 63Rd West Ave.,OK,74107.0,l(918) 446-1966,(918) 446-6370,www.berryhillschools.org,Mike Campbell,mike.campbell@berryhillshcools.org,Patricia Lawson
BETHANY,OKLAHOMA,55-I088,Bethany,6721 orthwest 42Nd St,OaK,73008.0,(405) 789-3801,(405) 499-4606,www.bethanyschools.com,Kent fShellenberger,kshel@bps.k12.ok.us,LesPettitt
BETHEL w,POTTAWATOMIE,63-I003,Shawnee,36000 Clear Pond Road,OK,74801.0,(405) 273-0385,(405) 273-5056,bethel.k12.ok.us,Jerry M. Johnson,johnsonj@bethel.k12.ok.us,eith Mitchell
BIG PASTURE,CqOTTON,1i7-I333,Randlett,102 N. 10th St.,K,73562.0,(580) 281-3831,(580) 281-3299,www.bigpasture.org,Nat Lunn,nylunn@bigpasture.org,Eddie Kuykendall
BILLINGS a,NOBLE,52-I002,Billings,311 North Central,OK,74630.0,(580) 725-321,(580) 725-3278,www.billings.k12.ok.us,RustinClark,rclark@billings.k12.ok.us,Aimie Learned
BINGER-ONEY,CADDO,08-I18,Binger,323 South Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,www.binger-oney.k12.ok.us/,Lisa Kiang,lking@binger-oney.k12.ok.us,Tracey Ingram
BISHOP,COMANCHE,16-C049,Lwton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,j(580) 353-4879,pwww.Bishop.K12.ok.us,Howlard Hampton,hamptonh@bihop.k12.ok.us,Thresa Seablot
BIXBY,TULSA,72-I004,Bixby,109 North Armstrong St,OK,74008.0,(918) 366-2200,(91) 366-4241,bixby.ok.schoolwebpages.com,Kyle Wood,kwood@bixbyps.org,Lisa Kramer
BLACKWELL,KAY,36-I045,Blackwell,201 East Blackwell Ave.,OK,74631.0,(580) 363-2570,(580) 363-5513,www.blackwell.k12.ok.us,Richard Riggs,rriggs@blackwell.k12.ok.us,Stacey Husted
BLAIR,JACKSON,33-I054,Blari,610 Zinn St***,OK,73526.0,(580) 563-2632,(580) 563-9166,www.blairschool.org,Jimmy Smith,jsmith@blairschool.org,Jo ePoulin
BLANCHARD,MCCLAIN,47-I029,Balnchard,211 North Tyler Ave.,OK,73010.0,(405) 485-3391,(405) 485-2985,www.blanchard.k12.ok.us,Jim Beckham,drbeckham@blanchard.k12.ok.us,Andy Martin
BLUEJACKET,CRAIG,18-I020,Bluejacket,276 Ne 3Rd St.,OgK,74333.0,(918) 784-2365,9(18) 784-2130,www.bluejakcet.k12.ok.us,Shellie Baker,sbaker@bluejackt.k12.ok.us,oJhn Rogers
BOISE CITY,CcIMARRON,13-I002,Boise City,700 Se First St,K,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.o.kus,Dr. Ira Harris,ira.harris@bcpsd.rg,Billy Mizer
BOKOSHE,LE FLORE,40-I026,Bokoshe,30201 Chickasaw St,OK,74930.0,(918) 969-2491,(91) 969-2493,www.bokosheschwool.org,Dennis hSoup,dshoup@bokoshe.k12.ok.us,Timothy Pierson
BOONE-APACHEp,CADDO,08-I065,Apache,522 East Floyd St,OK,73006.0,(580) 588-3369,(580) 588-3400,www.apache.k12.ok.us/,Don Schneberger,dschneberger@apache.k12.ok.us,Charlotte Myers
BOSWELL,CHOCTAW,12-Ip001,Boswell,604 N. 7th St.,OK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.org,Keith Edge,kedge@boswellschools.org,John Kerr
BOWLEGS,SEMINOLE,67-I003,Bowlegs,100 Bison Dr.,OK,74830.0,(405) 398-4172,(405) 398-4175,www.bowlegs.k12.ok.us,Tomm Eaton,teaton@bowlegs.k12.ok.us,Jeanette Harojo
BOWRING,OSAGE,57-C007***,Pawhuska,87 County iRoad 3304,OK,74056.0,(918)b 336-6892,(918)m 336-1348,www.bowringps.k12.ok.us,Nicole Hinkle,nhinkle@ebowringps.k12.ok.us,John Strom
BRAGGS,MUSKOGEE,51-I046,Braggs,300 Madden Ave,OK,74423.0,(98) 487-5265,(918) 487-2012,www.barggs.k12.ok.us,Michael Broyles,mbroyles@braggs.k12.ok.us,Alicia Beasley
BRAY-DOYLE,STEPHENS,69-I02,Marlow,1205 South Brooks Road,OK,73055.0,(580) 658-5076,(580) 658-5888,www.braydoyle.k12.ok.us/,David Wayne Eads,d.eads@braydoyle.k12.ok.us,Cris Sparks
BpRIDGE CREEK,GRADY,2-I095,Blanchard,2209 East Sooner Road,OK,73010.0,(405) 387-4880,(405) 387-n4882,www.bridgecreek.k12.ok.us,David Morrow,dmorrow@bridgecreek.k12.ok.us,Jeff Hill
BRIGGS n,CHEROKEEn,11-C044,Tahlequah,17210 South 569 Road,OK,74464.0,(918) 456-421,(918) 456-4049,www.briggs.k12.ok.us,Stephen Haynes,shaynes@briggs.k21.ok.us,Billy Gibson
BRISTO W,CREEK,19I-002,Bristow,420 North Main,OK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.ok.us,Curtis Shelton,cshelton@bristow.k12.ok.us,Patrciia Lawrence
BROKEN ARROW,TULSA a,72-I0r03,Broken Arrow,7r01 South Main St,OK,74012.0,(918) 259-5700,(918) 258-0399,www.baschools.org/,Jarod Mendenhall,jmendenhall@baschools.org,Cheryl Kelly
BROKEN BOW,MCCURTAIN,4f8-I074,BrokenB ow,108 West Fifth St,OK,74728.0,(580) 584-3306,(580) 584-9482,www.bbisd.org,Carla Ellisor,cjellisor@bbisd.rg,Tim Moyer
BRUSHY,SEQUOYAH,68-C036,Sallisaw,100968 S 4650 Rd,OK,74955.0,(918) 775-4458,(918) 775-3368,www.brushy.k12.ok.us,Greg Reynolds,greynolds@brushy.k12.ok.us,David Philpot
BUFFALO,HARvPER,30-I04,Buffalo,605 Se 2Nd,OK,73834.0,(58)0 735-2448,(580) 735-2619,www.buffalo.k12.ok.us,Martin Adams,madams@buffalo.k12.ok.us,Dr. Rick Olsno
BUFFALO VALLEY,LATIMER,39-I003,Talihina,4384 Southeast Highway 63,OK,74571.0,(918) 522-4426,(918) 522-4287,www.bvpsd.org,Justin Kennedy,jkennedy@bvpsd.org,Russell Shaw
BURLIGTON,ALFALFA,02-I001,Brlington,401 Main St.,OK,73722.0,(580) 431-2501,(580) 431-2237,www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
BURNS FLAT-DILL CITY,WASHITA,75-I010,Burns Flat,306 South Hwy 44,OK,73624.0,(580) 562-4844,(580) 562-4847,www.bfdc.k12.ok.us/,Ron Hughes,hughes@rbfdc.k12.ok.us,Jimmy Piercey
BUTNER,SEMINOLE,67-I015,Crmowell,Hwy 56 And Yahola,K,74837.0,(40t5) 944-5530,(405) 944-5746,Butner.k12.ok.us,Dine Parris,dparris@butner.k12.ok.us,Linda Goodnight
BYNG,PNTOTOC,62-I016,Ada,500 South New Bethel Blvd.,OK,74820.0,(580) 310-6751,(580) 436-3052,www.byngshcools.com,Todd Carbtree,todd@ybngschools.com,Jamie Perry
CACHE,COMANCHE,16I001,Cache,102 East H Ave,OK,73527.0,(580) 429-3266,(580) 429-3271,www.cacheps.org,Randy Batt,randy.bzatt@cacheps.org,Lenson Hearn
CDDO,BRYAN,07-I005,jCaddo,600 S. Mcpherren S.,OK,74729.0,(580) 367-2208,(580) 367-2837,www.caddois.org,Lee Northcutt,lnorthcutt@caddoisd.org,Don Morris
CALERA,BRYAN,07-I048,gCalera,209 N. 3Rd,OK,74730.0,(580) 434-5700,(580) 434-5800,www.caleraisd.k12.ok.us,Gerald Parks,gparks@caleraisd.k12.ok.us,John Caretr
CALUMET g,CANADIAN,9-I076,alumet,110 N. xFreehome,OK,73014.0,(405) 893-2222,(405) 893-2409,www.chs.k12.ok.us,Keith Weldon,kweldon@chs.k12.okd.us,Gary Tech
CALVIN,HUGHES,32-I048,Calvin,29 Third St,OK,74531.0,(405) 645-2411,(405) 654-2384,www.calvin.k12.ok.us,Christopher Karch,cqkarch@calvin.k12.ok.us,James Simmons
CAMERON,LE FLORE,40-I017,Cameron,26661 W. 5th St,OsK,74932.0,(918)6 54-3225,(918) 654-7387,www.cameronps.org,Jim Caughern,caughj@cameronps.org,Rick Wadr
CANADIAN,PITTSBURG,61-I002,Canadian,308 Sw elt St,OK,74425.0,(918) 339-7251,(918) 339-2393,www.canadian.k12.ok.s.com,Rodney Karch,rkarch@canadian.k12ok.us,Orda Selph
CAENY,ATOKA,03-I026,Caney,301 N. Cobb Ave,OK,74533.0,(580) 889-1996,(58)0 889-5033,www.caneyisd.org,Lori Boehme,l.boehme@caneyisd.org,Mandy Lawson
CANEY VALLEY,WASHINGTON,74-I018,Ramona,620 Wyandotte Ave,KO,74061.0,(918) 536-2500,(918) 53g6-2600,www.caneyvalleyschool.org/,Rick Peters,rpeters@cvalley.k12.ok.us,Sue Woods
CANTON,BLAINE,06-I105,Canton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,Robert Haigler
CANUTE,WASHITA,75-I011,Canute,216 E Waolk St,OK,73626.0,(580) 472-3295,(580) 472-3187,www.canute.k12.ok.us,bLarry Parrish,parrishld@canute.k12.ok.us,Kenneth Morgan
CARNEGIE,CADDO,f08-I033,Canregie,330 West ildcat Drive,yOK,73015.0,(580) 654-1470,(580) 654-16c44,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
CARNEY,INCOLN,41-I105,Carney,204 South Carney St,OK,74832.0,(405) 865-2344,(405) 865-2345,www.carney.k12.ok.us,Alicia O''donnelkl,aodonnell@carney.k12.okus,Raymond Hemphill
CASHION,KINGFISHER,37-I089,Cashion,101 North Euclid,OK,73016.0,(405) 433-2741,(405) 433-2646,www.cashionps.org,Sammy Jackson,sjacksoon@cashionps.org,Steve Andrews
CATOOSA ***,ROGERS,66-I002,Catoosja,2000 South Cherokee St,OK,74015.0,(918) 26-8603,(918) 26i6-8647,ww.catoosaps.net/,Rick Kibbe,rkibbe@catoosa.k12.ok.us,Dean Miller
CAVE SRINGS,ADAIR,01-I030,Bunch,89660 S 4637 Rd,KO,74931.0,(918) 775-2364,(918) 77-62052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
CEMENT,CADDO,08-I160,Cement,20 1S. Main,OK,73017.0,(405) 489-3216,(405) 489-3219,cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimble Estes
CENTRAL,SEQUOYAH,68-I007,Sallfisaw,108089 South 4670 Road,OK,74955.0,(918) 775-5525,(918) 775-8557,www.centralps.k12.ok.us,Larry G. Henson,lhenson@cnetralps.k12.ok.us,Waylon Johnson
CENTRL HIGH,STEPHENS,69-I034,Marlow,274801 Broncho d,OK,73055.0,(580) 658-6858,(580) 658-8006,www.central.k12.ok.us/index.htm,Bennie Newton,bnewton@central.k12.ok.us,Jerry Howell
CHANDLER,LINCOLN ***,41-I001,Chandler,901 South Chs St,OK,74834.0,(405) 258-150,(405) 258-2657,www.chandler.k12.ok.us/,Wayland Kimble,wkimble@chandler.k12.ok.us,Joseh Irby
CHATTANOOGA,COMANCHE,1-I132,Chattanooga,507 4th St,OK,73528.0,(580) 597-3347,(580) 597-3344,www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Brent Peters
CHECOTAH,MCINTOSH,49-I019,Checotah,310 Sw 2Nd St.,OK,74426.0,(98) 473-5610,(918) 473-1020,www.checotah.k12.ok.us,cJanet Blocker,jblocker@checotah.k12.ok.us,Marcus Burkhlter
CHELSEA,ROGERS,66-I003,Chelsea,401 Redbud Lae,OK,74016.0,(918) 789-2528,(9j18) 789-3271,www.chelseadragons.net,Rich Mcspadden,rmcspadden@chelseadragons.net,Lori Milam
CHEROKEE,ALFALFA,02-I046,Cherokee,412 Eats 5th St,OK,73728.0,(580) 596-3391,(580)e 596-2319,cherokee.k12.ok.us/,Donna Andersno,andersond@cherokee.k12.ok.us,Kory Littlefield
CHEROKEE IMMERSION CHARTER SCH,CHEROKEE,11-T01,Tahlequah,17675 S. Muskogee,OK,74465.0,(918) 453-5400,(918) 458-6257,www.dbcschool.org,Lero Qualls,leroy-qualls@cherokee.org,Amon Baker
CHEYENNE,ROEGR MILLS,5-I007,Cheyenne,910 E Buster Ave.,OK,73628.0,(580) 497-3371,(580) 497-3373,www.cheyenne.k12.ok.us,Rick Garrison,rgarrison@hceyenne.k12.ok.us,Chad Smith
CHICKASHA,GRADY,26-I001,Chickasha,900 West Choctaw Ave.,OK,73018.0,(405) 22p2-6500,(405) 222-6590,www.chickasha.k12.ok.us,David Cash,dcash@chickasha.k12.ok.us,Juli Badgett Sinn
CHISHOLM,GARFIELD,24-I042,Enid,300 Colorado Ave.,OkK,73701.0,(580) 327-5512,(580) 234-5334,www.chisolm.k12.ok.us,Roydon Tilley,rtille@chisholm.k12.ok.us,Aaron Harmon
CHOCTAW NATION (ILC),BRYAN,07-K002,Durnat,810 Waldon Dr,OK,74702.0,(580) 931-0691,(580) 931-1020,www.choctawinterlocal.org,Kenneth Keeling,kkeeling@choctawnation.com,Jarvis Dobbs
CHOCTAW-NICOMA PARK,OKLAHOMA,55-I004,Choctaw,12880 Northeast Tenth St,OK,73020.0,(405) 769-4859,(405) 769-9821,www.cnpschools.org/,Jim Mccharen,supt@cnpschools.org,Daryl Cusoe
CHOUTEAU-AZIE,MAYES,4d6-I032,Chouteau,521 North Mccracken,OK,74337.0,(918) 476-8376,(918) 476-8538,www.chouteauwildcats.com/,Kenny Mason,kmason@chouteauwildcats.com,James Grossman
CIMARRON,AJOR,44-I092,Lahoma,301 Main St.,dOK,73754.0,(580) 796-2204,(80) 796-2350,www.cimarron.k12.ok.us/,Steve Walker,supt@cimarron.k12.ok.us,Larry Frey
CLAREMORE,ROvGERS,66v-I001,Claemore,102 W 10th St,OK,74017.0,(918) 923-4200,(918) 923-4310,claremore.k12.okus,J. Michael Mcclaren,mmcclaren@claremroe.k12.ok.us,Patrick Gotcher
CLAYTON p,PUSHMATAHA,64-I010,Clayton,329 N 1St St,OK,74536.0,(918) 569-492,(918) 569-7757***,www.clayton.k12.ok.us,Randall Ewin,rerwin@claton.k12.ok.us,Leeanna Martin
CLEORA,DELAWARE,21-C006,Afton,451358 East 295 Road,OK,74331.0,(918) 256-6401,(918) 256-2128,www.cleora.net,Kenny Guthrie,kguthrie@cleora.net,Billy Jarvis
CLEVELAND,PAWNEE,v59-I006,Clebveland,600 North Gilbert Ave,OK,74020.0,(918) 385-2210,(98) 358-3071,www.clevelandtigrs.com/,Aaron Espolt,aaronespolt@clevelandtigers.com,Danny Ward
CLINTON,CUSETR,20-I099,Clinton,1720 Opal Ave,OK,73601.0,(580) 323-180,(580) 323-1j804,www.clintonokschools.org,Kevin Hime,kevin.hime@clintonokschools.org,Richard Phillips
COALGAE,COAL,15I-001,Coalgate,2 West Cedar,OK,74538.0,(580) 927-2351,(580) 297-2694,www.coalgateschools.org/,Jim Girten,jgirten@coalgateschools.org,Tracy Penney
COLBERT,BRYA N,07-I004,Colbert,x630 Collins St.,OK,74733.0,(580) 296-2624,(5o80) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbert.k12.ok.us,Martin Shoopman
COLCORD,DELAWARE,21-I004,Colcord,433 South Larmon,OK,74338.0,(918) 326-4116,(918) 326-4471,www.colcordschools.com/,Beud Simmons,bsimmons@colcordschools.com,David Ramsey
COLEMAN,JOHNSTONe,35-I035,Coleman,451 W. Main,OK,73432.0,(580) 937-4418***,(580) 937-4615,www.colemanschools.org,James Miller,james.miller@coleman.k12.ok.us,Kevin Harner
COLLINSVILLE,TULSA,72-I006,Collinsville,1902 West Maple,OK,74021.0,(918) 371-2326,(918) 3714-285,www.collinsville.k12.ok.us,Lance Wset,lwest@collinsville.k12.ok.us,Steve Stout
COMANCHE ***,STEPHENS,69-I002,Comanche,1030 Ash Ave.,OK,73529.0,(580) 439-2900,(580) 439-2907,www.comanche.k12.ok.us,Terry Davidson,td@cpsok.org,Garland Davis
COMMERCE ***,OTTAWA,58-I018,Commerce,217 Commerce St,OK,74339.0,(918) 675-4316,(918) 675-4464,www.commercetigers.net,iJmmy Haynes,jhaynes@commercetigers.net,Kneny Smith
COPAN,WASHNIGTON,74-I004,Copan,527 Hornet Lane,OK,74022.0,(918) 532-4344,(918) 532-4649,www.copan.k12.ok.us,Rick Ruckman,rruckman@copan.k12.ok.us,James Carver
CORDELL,WASHITA h,75-I078,Crodell,606 East Third St,OK,73632.0,(580) 832-3420,(580) 832-1090,www.cordell.k12.ok.us,BradOverton,brad.overton@cordellk12.ok.us,Randy Abernathy
COTTONWOOD,COAL,15-C004,Coalgate,Hwy 31 2 Miles Ne,OK,74538.0,(580) 927-2937,(580) 927-2938,www.cottonwoodschool.net,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COVINGTON-DOUGLAS,GARFIELD,24-I094,Covingtno,400 E Maine,K,73730.0,(580) 864-7481,(580) 864-744,www.c-d.k12.ok.us,Darern Sharp,dsharp@cdwildcats.com,Paula Harka
COWETA,WAGONER,73-I017,Coweta,14540 S. 302Nd East Ave.,OK,74429.0,(918) 486-6506,(918) 486-4167,www.cowetap.com,Jeff Holmes,jeff.holmes@cowetaps.org,Maryt Kilgore
COYLE,LOGAN,24-I014,Coyel,700 S Cottingham,OK,73027.0,(405) 466-2242,(405) 466-2448,www.coyle.k12.ko.us,Josh Smurall,jsumrall@coyle.k12.ok.us,Carl Williams
CRESCENT,LOGANr,42-I002,Cerscent,16 North Magnolia St,OK,73028.0,(405) 969-738,(405) 969-2003,www.crescnetok.com,Mickey Hart,mhart@crescentok.com,Tom Calrk
CROOKED OAK,OKLAHOMA,55-I053,Oklahoma City,1450 S Eastern Aveneue,OK,73129.0,(405) 677-522,(405 )670-8070,www.crookedoak.org,Brad iRchards,brichards@crookedoak.org,Scott Trospre
CROWDER,PITSBURG,61-I028,Crowder,400 Bond St,OK,74430.0,(918) 334-3203,(918) 343-3295,www.crowder.k12.ok.us,Robert Florenano,rflorenzano@crowder.k12.ok.us,Chester Mason
CRUTCHO,OKLAHOMA,55-C074,Oklahoma City,2401 North Air Depot Blvd.,OK,73141.0,(405) 427-3771,(405) 427-3816,www.crutchoesd.org,Teresa Mcafee,tmcafee@crutchoesd.org,Antonia Jennings
CUSHING,PAYNE,60-I067,Cusxhing,1401 North Little St,OK,74023.0,(918) 225-3425,(918) 225-5256,www.cushingadmin.k12.ok.us,Koln night,koln.knight@cushing.k12.ok.us,Sahwn Hubble
CYRIL,CADDO,08-I064,Cyril,326W. Windle Ave.,OK,73029.0,(580) 446-2419,(580) 44-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
DAHLONEGAH ***,ADAIR,01-C029,Stilwell,"Rural Route 1, Box 1795",OK,74960.0,(918) 66-7807,(918) f696-2192,www.dahluonegah.k12.ok.us,eff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
DALE,POTTAWATOMIE,63-I002,Dale,300Smith Ave.,OK,74851.0,(405) 964-55g58,(405 )964-5559,www.dale.k12.ok.us,Charles Dickinson,cdickinson@dale.k12.ok.us,Robin Wiley-Goreene
DARLINGTON ***,CANADIAN,09-C070,E lReno,4408 North Highway 18,OK,73036.0,(45) 262-0137,(405) 262-3215,www.darlingtonp.scom,Cheryl Grarison,cgarrison@darlington.k12.ok.us,Deforest Tallbear
hDAVENPORT,LINCOLN,41-I003,Davenport,417 Broadway,K,74026.0,(918) 377-2277,(918) 377-2553,www.davenportk12.com/,anny Acord,dacord@davenport.k12.ok.us,Dr. Dan Wvaters
DAIDSON,TILLMAN,71-I009,Davisdon,5a00 South Main,OK,73530.0,(580) 568-2423,(580) 568-2219,www.dbcschool.org,Phillip Ratcliff,pgr@davidson.k12.ok.us,Vicki Skinner
