AGENCY CODE,STATE AGENCY,PROPERTY CLASSIFICATION,TYPE OF PROPERTY,NAME OF BUILDING,PHYSICAL ADDRESS,CITY,COUNTY,YEAR PROPERTY ACQUIRED,PURPOSE,SECTIONTOWNSHIPRANGE,SIZE OF STRUCTURE AND/OR ACRES,LIST VALUE,% OF PROPERTY BEING UTILIZED,YEAR BUILT,OCCUPANCY RATE OF THE BUILDING,STATE EMPLOYEES AT THIS BUILDING,% OCCUPIED BY THE STATE,ADDITIONAL DESCRIPTION OF % OCCUPIED BY THE STATE,% OF THE BUILDING BEING LEASED OR SUBLEASED,ADDITIONAL DESCRIPTION % BUILDING LEASED OR SUBLEASED,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY",ACRES,ACRES USED BY STATE,ADDITIONAL DESCRIPTION OF ACRES ,PURPOSE- LAND,"USAGE BY STATE: DAILY, WEEKLY, MONTHLY-LAND",% OF ACRES OF THE LAND BEING LEASED OR SUBLEASED,STATE,Location 1
131,CORRECTIONS DEPARTMENT,OWNED,CELL HOUSE ,OKLAHOMA STATE PENITENTIARY E W CELL HOUSE,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","91,520 SF",$19983815.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY TRUSTY BLDG/T.H.M.H.,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","711,304 SF",$10529835.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARYT.H.M.U. VISITING,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","2,758 SF",$179500.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY T.H.M.U. KITCHEN,WEST & STONEWALL,MCALESTER,PITTSBURG,,INMATE SHAKEDOWN,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","1,875 SF",$133137.00,0,,100,2,100,,,,DAILY,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,LIBRARY BUILDING ,OKLAHOMA STATE PENITENTIARYBOOK BINDERY/LAW LIBRARY,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","17,722 SF",$3922144.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,OKLAHOMA STATE PENITENTIARYOCI COORD OFFICE,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST",460 SF,,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,OKLAHOMA STATE PENITENTIARY PRINT SHOP,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","13,184 SF",$561000.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,TICKET BOOTH ,OKLAHOMA STATE PENITENTIARY RODEO TICKET BOOTH,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST","1,025 SF",$19316.00,0,,100,0,100,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,OKLAHOMA STATE PENITENTIARY RESTROOM MEN&WOMAN W ENTRN,WEST & STONEWLL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST",448 SF,$27466.00,0,,100,0,100,,,,,,,,,,,OK,"WEST &amp; STONEWLL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,G&I UNIT MEDICAL BUILDING OSP,WEST & STONEWALL,MCALESTER,PITTSBURG,,CLOSED,"SECTION 35
TOWNSHIP 6 NORTH
RANGE 14 EAST",315 SF,$5409.00,0,,100,0,,,,,,,,,,,,OK,"WEST &amp; STONEWALL
MCALESTER, ok
(34.93397118100006, -95.76960951299998)"
131,CORRECTIONS DEPARTMENT,OWNED,SHOP BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER MAINTENANCE SHOP,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/MAINTENACE SHOP,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",990 SF,$125000.00,0,01/01/1950 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED, MECHANICAL BUILDING,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER MECH RM FOR HEAT/AIR,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/MECH RM HEAT & AIR,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",400 SF,$55000.00,0,01/01/1959 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFICE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  OFFICES,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/ADMIN/STAFF OFFICES,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","9,308 SF",$1750000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,DINING BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  DINING FACILITY,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/FOOD PREP,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","3,440 SF",$500000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  RESIDENCE/HOUSING,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/RESIDENT HOUSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","9,880 SF",$1930000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,OFFENDER HOUSING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  RES HOUSE/OFC/CONF,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/RES HOUSING/OFF/CONF,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","6,232 SF",$1930000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  SECURITY/PROP STOR,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/SECURITY OFFICE/STORAGE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",960 SF,$150000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  ARCHIVES BUILDING,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1997 12:00:00 AM,VACANT/STORAGE/ARCHIVES,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",288 SF,$3500.00,0,01/01/1977 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER STORAGE,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1950 12:00:00 AM,VACANT/STORAGE BUILDING MATERIALS,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","3,000 SF",$225000.00,0,01/01/1950 12:00:00 AM,0,,100,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER DENTAL CLINIC/STORAG,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,01/01/1950 12:00:00 AM,VACANT DENTAL CLINIC/ STORAGE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","4,000 SF",$500000.00,0,01/01/1950 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  W CENTRAL REG OFF,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,01/01/1950 12:00:00 AM,VACANT/ADM / TREAMNT/ OFFICE / CLASS,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","6,750 SF",$506250.00,0,01/01/1950 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,GREEN HOUSE,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  GREEN HOUSE,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",175 SF,$2500.00,0,01/01/1980 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER PROGRAMS BUILDING,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",400 SF,$15000.00,0,01/01/2003 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER CAUSTICS FLAM STRG,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",306 SF,$22000.00,0,01/01/2001 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  LAWN MOWER BUILDING,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",150 SF,$8000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,STORAGE BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  STORAGE,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,01/01/1959 12:00:00 AM,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","1,060 SF",$5000.00,0,01/01/1959 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,BUILDING ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  WOOD SHOP,3200 NW 39TH,OKLAHOMA CITY,OKLAHOMA,,VACANT/CLOSING,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",700 SF,$50000.00,0,01/01/1950 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39TH
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,FENCE ,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER  FENCE,3200 NW 39,OKLAHOMA CITY,OKLAHOMA,,VACANT/FENCE,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W","1,500 SF",$30000.00,0,01/01/2004 12:00:00 AM,0,,0,,,,,,,,,,,OK,"3200 NW 39
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
131,CORRECTIONS DEPARTMENT,OWNED,LAND,FORMER KATE BARNARD COMMUNITY CORRECTIONS CENTER ,3200 NW 39TH STREET,OKLAHOMA CITY ,OKLAHOMA,,VACANT/PRISON,"SECTION 13
TOWNSHIP 12 NORTH
RANGE 4 W",2 ACRES,,0,,0,,0,,,,,2,2,,VACANT-CORRECTIONAL FACILITY ,,,OK,"3200 NW 39TH STREET
OKLAHOMA CITY, ok
(35.51113337900006, -97.57276071499996)"
240,EASTERN OKLAHOMA STATE COLLEGE,OWNED,ACADEMIC BUILDING,E.T. DUNLAP STUDENT UNION,1301 W. MAIN,WILBURTON,LATIMER,01/01/1908 12:00:00 AM,STUDENT UNION,"SECTION: 8
TOWNSHIP: 5N
RANGE: 19E"," 28,769 SF",,0,01/01/1957 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"1301 W. MAIN
WILBURTON, ok
(34.91298916000005, -95.32751758699999)"
240,EASTERN OKLAHOMA STATE COLLEGE,OWNED,DORMITORY,SALMON HALL,1301 W. MAIN,WILBURTON,LATIMER,01/01/1908 12:00:00 AM,MEN'S DORMITORY,"SECTION: 8
TOWNSHIP: 5N
RANGE: 19E"," 25,090 SF",,0,01/01/1968 12:00:00 AM,0,0,0,,,,,,,,,,,OK,"1301 W. MAIN
WILBURTON, ok
(34.91298916000005, -95.32751758699999)"
340,HEALTH DEPARTMENT,OWNED,MEDICAL CLINIC AND OFFICE BUILDING,LEFLORE COUNTY HEALTH DEPARTMENT,1212 REYNOLDS,POTEAU,LEFLORE,01/01/1989 12:00:00 AM,MEDICAL CLINIC/OFFICE BUILDING PREVIOUSLY OLD NURSING HOME,,"17,144 SF",,0,01/01/1940 12:00:00 AM,0,,0,,,,,,,,,,,OK,"1212 REYNOLDS
POTEAU, ok
(35.04308250400004, -94.61530661199998)"
350,HISTORICAL SOCIETY,OWNED,MUSEUM,STATE CAPITAL PUBLISHING MUSEUM,301 W. HARRISON,GUTHRIE,LOGAN,01/01/1975 12:00:00 AM,MUSEUM/HISTORIC SITE,"SECTION 8
TOWNSHIP 16N 
RANGE 2W ", ,$5634232.00,50,01/01/1902 12:00:00 AM,20,0  (OPERATED BY NONPROFIT),,,,,SEASONALLY SPRING-FALL,,,,,,,OK,"301 W. HARRISON
GUTHRIE, ok
(35.876952344000074, -97.42770929499994)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, CANNA COTTAGE",2415 CHOCTAW,ENID,GARFIELD,01/01/1941 12:00:00 AM, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 18,174.0 SF   640 ACRES",,0,01/01/1941 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"2415 CHOCTAW
ENID, ok
(36.42887621600005, -97.88719758799999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, LILY",2526 CHICKASAW,ENID,GARFIELD,01/01/1926 12:00:00 AM, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 9,715.0 SF   640 ACRES",,0,01/01/1926 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"2526 CHICKASAW
ENID, ok
(36.380832018000035, -97.90073107499995)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"NORC, OMEGA (HALF-WAY HOUSE)",2616 DELAWARE,ENID,GARFIELD,01/01/1971 12:00:00 AM,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 17,049.3 SF   640 ACRES",,0,01/01/1971 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"2616 DELAWARE
ENID, ok
(36.42261932100007, -97.84576973399999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CHAPEL/ED/THERAPY ,"NORC, CHAPEL/ARTS AND CRAFTS ",2610 CHICHASAW,ENID,GARFIELD,01/01/1926 12:00:00 AM, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 8,834.6 SF   640 ACRES",,0,01/01/1926 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"2610 CHICHASAW
ENID, ok
(36.397221297000044, -97.87835950199997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, EDUCATION/THERAPY ,"NORC, BIKE SHOP 7 OLD CARPENTRY",2629 CREEK,ENID,GARFIELD,01/01/1926 12:00:00 AM,VACANT,SECTION 33 TOWNSHIP 23N RANGE 6W," 4,218.0 SF   640 ACRES",,0,01/01/1926 12:00:00 AM,100,TOTAL NORCE FTE 249,100,,,,DAILY,,,,,,,OK,"2629 CREEK
ENID, ok
(36.419977309000046, -97.84155387999999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, LAUNDRY STORAGE ,"NORC, LAUNDRY STORAGE",SEMINOLE STREET,ENID,GARFIELD,01/01/1958 12:00:00 AM, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 1,035.0 SF   640 ACRES",,0,01/01/1958 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"SEMINOLE STREET
ENID, ok
(36.37832139200003, -97.90719411099997)"
830,HUMAN SERVICES DEPARTMENT,OWNED, CLIENT ADVOCACY ,"NORC, DELTA HOUSE",2504 DELAWARE,ENID,GARFIELD,01/01/1950 12:00:00 AM, VACANT ,SECTION 33 TOWNSHIP 23N RANGE 6W," 1,883.0 SF   640 ACRES",,0,01/01/1950 12:00:00 AM,0,TOTAL NORCE FTE 249,0,,,,,,,,,,,OK,"2504 DELAWARE
ENID, ok
(36.42008389500006, -97.84580326299994)"
830,HUMAN SERVICES DEPARTMENT,OWNED, BARBER/BEAUTY SHOPS ,"SOUTHERN OKLAHOMA RESOURCE CENTER (SORC), MARLAND HALL",100 HOPE AVE,PAULS VALLEY,GARVIN,01/01/1930 12:00:00 AM, VACANT ,," 8,923.9 SF   1,032 ACRES",,0,01/01/1930 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"100 HOPE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, FOOD SERVICE ,"SORC, DINING ROOM/KITCHEN (KERR/CALVERT DINING ROOM)",250 HOPE AVE,PAULS VALLEY,GARVIN,01/01/1958 12:00:00 AM, VACANT ,," 7,307.2 SF 1,032 ACRES",,0,01/01/1958 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"250 HOPE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, FEMALE HOUSING ,"SORC, CALVERT COTTAGE ",200 HOPE AVE,PAULS VALLEY,GARVIN,01/01/1949 12:00:00 AM, VACANT ,," 23,378.7 SF  1,032 ACRES",,0,01/01/1949 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"200 HOPE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
830,HUMAN SERVICES DEPARTMENT,OWNED, RESIDENT HOUSING ,"SORC, GARY COTTAGE ",250 HOPE AVE,PAULS VALLEY,GARVIN,01/01/1958 12:00:00 AM, VACANT ,," 13,502.7 SF   1,032 ACRES",,0,01/01/1958 12:00:00 AM,0,TOTAL SORC FTE 262,0,,,,,,,,,,,OK,"250 HOPE AVE
PAULS VALLEY, ok
(34.740203407000024, -97.22179861699999)"
