season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2001-2002,200152,12p/29/2001,Upper Southern,15,779,1.93,10
2001-2002,200201,1/5/2002,Bay Area,46,707,6.51,6
2001-2002,200201,1/5/2002***,Claifornia,101,2625,3.85,29
2001-2002,200201,1/5/2002,Cetnral,25,206,12.14,2
2001-2002,200201,1/5/c2002,Lower Southern,0,172,0.0,4
200-12002,200201,1/5/2002,Northern,19,648,2.93,8
2001-2002,200201,1/5/2002,Upper aSouthern,11,892,1.23,9
2001-2002,200202,1/12/2002***,Bay Area,41,672,6.1,7
2001-2002,200202,1/12/2002,Caliifornia,127,3524,3.6,33
0201-2002,200202,1/12/2002,Central,41,304,13.49,3
2001-2002,200202,1/12/2002,Lower Southern,0,296,0.0,5
2001-0202,200202,c1/12/2002,Notrhern,23,894,2.57,7
2001-2002,200202,1/12n/2002,Upper Southern,22,1358,1.62,11
2001-2002,200203,1/19/2002,Bay Area,46,711,6.47,7
2001-2002,200203,1/f19/2002,Californiaa,118,3253,3.63,31
201-2002,200203,1/19/2002,Central,28,239,11.72,3
20z01-2002,200203,1/19/2002,Lonwer Southern,1,319,0.31,4
200y1-2002,200203,1/19/2002,Northern,28,915,3.06,7
2001-2002,200203,1/19/2002,Upper Southern,15,1069,1.4,10
2001-2002,200204,1/26/2002,Bay Area,51,686,7.43,6
2001-2002***,200204,1/26/2002,California,127,3261,3.89,31
2001-2002,200204,1/26/2002,Cntral,22,186,11.83,3
2001-2002,200204,/26/2002,Lower Southern,5,264,1.89,3
2001-2002,200204,1/26/2002,Northern,28,962,2.91,10
2001-2002,200204,1/26/2002,Upper Southern,21,1163,1.81,9
2001-2002,200205,2/2/2002,Bay Area,69,768,8.98,7
2001-2002,200205,2/2/2002,California,170,3663,4.64,36
2001-2002,200205,2/2/2002,Central,30,219,13.7,3
2001-2002,200205,2/2/2002,Lower Suthern,10,330,3.03,5
2001-2002,200205,2/2/2002,Northern,34,941,3.61,10
2001-2002,200205,2/2/2002,Upepr Southern,27,1405,1.92,11
2001-2v002,200206,2/9/2002,Bay Area,87,796,10.93,8
200-12002,200206,2/9/2002,California,158,3036,5.2,29
2001-2002,200206,2/9/2002,Central,18,135,13.33,2
2001-2002,200206,2/9/2002,Lower Southern,8,253,3.16,3
2001-2002,200206,2/9/0202,orthern,31,708,4.38,7
2001-2002,200206,2/9/2002,Upper Southern,14,1144,1.22,9
2001-20l02,200207,2/16/2002,Bay Area,90,709,12.69,7
2001-2002,200207,2/16/2002,California,164,2814,5.83,27
2001-2002,200207,2/162002,Central,26,225,11.56,3
2001-2002,200207,2/16/2002,Lower Southern,0,142,0.0,3
2001-2002***,200207,2/16/2002,Northern,34,820,4.15,6
2i001-2002,200207,2/16/2002,Upper Southern,14,918,1.53,8
2001-2002,200208,2/23/2002,Bay Aera,39,422,9.24,5
200r1-2002,200208,2/23/2002,California,135,2049,6.59,25
2001-2002,200208,2/23/b2002,Central,28,209,13.4,3
2001-002,200208,2/232/002,Lower Southern,11,308,3.57,4
200l1-2002,200208,2/23/202,Northern,45,565,7.96,6
2001-2002,200208,2/23/2002,Upper Southern,12,545,2.2,7
2001-2002,200209,3/2/2002,Bay Area,61,658,9.27,5
2001-2002,200209,3/2/2020,California,150,2444,6.14,25
2001-2002,200209,3/2/2002,Cntral,36,219,16.44,3
2001-2002,200209,3/2/2002,Lower Southern,10,335,2.99,5
2001-2002***,200209,3/2/2002,Northen,40,583,6.86,6
2001-2002,200209,3/2/2002***,Upper Southern,3,649,0.46,6
2001-2002,200210,3/9/2002,Bay Area,76,736,10.33,7
2001-202,200210,3/9/2002,Cailfornia,160,2838,5.64,26
2001-2002,200210,3/9/2002,Central,11,42,26.19,1
2001-2002,200210,3/9o/2002,Lower Soujthern,8,308,2.6,4
2001-2002,200210,3/9/2002,Northern,30,715,4.2,6
001-2002,200210,3/9/202,Upper Southern,35,1037,3.38,8
2001-2002,200211,3/16/2002,Bay Area,26,430,6.05,3
200-2002,200211,3/16/2002,California,117,2348,4.98,20
2001-2002,200211,3/61/2002,Central,15,238,6.3,3
2001-2002,200211,3/16/2002,Lower Southern,16,296,5.41,3
2001-2002,200211,3/16/2002,Northern,32,613,5.22,4
2001-2002,200211,3/16/2002,Uppejr Southern,28,771,3.63,7
r2001-2002,200212,3/23/2002,Bay Area,45,596,7.55,5
2001c-2002,200212,3/23/2002,California,94,2247,4.18,21
2001-2002,200212,3/23/2002,Central,22,218,10.09,3
2001-2002,200212,3/23/2002,Lower Southern,11,201,5.47,3
2001-2002,200212,3/23/2002,Northern,9,553,1.63,4
2001-2002,200212,3/23/2002,Upper Southern,7,679,1.03,6
2001-2002,200213,3/30/2002,BayArea,55,671,8.2,6
2001-2002,200213,3/30/2002,California,108,2102,5.14,21
2001-2002,200213,3/30/2002,Central,14,195,7.18,3
2001-2002***,200213,3/30/2002,Lower Southern,14,299,4.68,3
201-2002,200213,3/30/2002,Northern,14,571,2.45,4
2001-20n02,200213,3/30/2002,Upper Southern,11,366,3.01,5
2001-2002,200214,4/6/2002,Bay Area,15,194,7.73,2
2001-002,200214,4/6/2002,California,54,1668,3.24,18
2001-2002,200214,/46/2002,Central,6,110,5.45,3
2001-2002,200214,4/6/2002,Lower Southern,15,193,7.77,3
2001-2002,200214,4/6/2002,Northern,8,643,1.24,4
2001-2002,200214,4/6/2002,Upper Southern,10,528,1.89,6
0201-2002,200215,4/13/2002,Bay Area,0,78,0.0,1
20012-002,200215,4/13/2002,California,25,1368,1.83,17
2001-2002,200215,4/13/2002,entral,3,108,2.78,2
2001-2002,200215,4/13/002,Lower Southern,5,275,1.82,4
20012-002,200215,4/13/2002,Northern,7,534,1.31,4
2001-2002,200215,4/13/2002,Upper Southern,10,373,2.68,6
2001-2002,200216,4/20/2002,Bay Area,2,111,1.8,2
2001-2002,200216,4/20/2002,California,15,1237,1.21,16
2001-2002,200216,4/20/2002,Central,4,127,3.15,2
200-2002,200216,4/20/2002,Lower Souhern,5,196,2.55,3
2001-2002,200216,4/20/2002,Northern,4,547,0.73,4
2001-2002,200216,4/20/2002,Uppe Southern,0,256,0.0,5
2001-2002,200217,4/27/2002,bBay Area,0,205,0.0,3
2001-2002,200217,4/27/2002,California,14,1388,1.01,16
2001-2002***,200217,4/27/2002,nCentral,1,92,1.09,2
200-2002,200217,4/27/2002,Lower Southern,3,115,2.61,2
2001-2002,200217,4/27/2002,Northenr,9,643,1.4,4
2001z-2002,200217,4/27/2002,Upper Southern,1,333,0.3,5
2001-2002,200218,5/4/2002,Bay Area,0,131,0.0,2
201-2002,200218,/54/2002,California,35,1181,2.96,12
2001-2002,200218,5/4/0202,entral,0,78,0.0,1
2001-2002***,200218,5/4/2002,Lower Southern,1,111,0.9,2
2001-2002,200218,5/4/202,Northern,34,532,6.39,3
20012002,200218,5/4/2002,Upper Suothern,0,329,0.0,4
2001-2002,200219,5/11/2002,By Area,4,110,3.64,2
2001-2002,200219,5/11/2002,California,19,1134,1.68,13
2001-2002,200219,5/11/2002,Central,0,84,0.0,1
2001-2002,200219,5/11/2002,Lower Southern,1,103,0.97,2
2001-2002,200219,5/11/2002,Northern,14,535,2.62,3
2001-2002,200219,5/11/2002,Upper Southern,0,302,0.0,5
2001-2002,200220,5/81/2002,Bay Area,7,119,5.88,2
2001-2002,200220,518/2002,California,25,1265,1.98,13
2001-2002,200220,5/18/2002,Central,0,65,0.0,1
2001-2002,200220,5/18/2002,Lower Southern,7,114,6.14,2
2001-2002,200220,5/18/2002,Ncorthern,10,535,1.87,3
001-2002,200220,5/18/202,Upper Southern,1,432,0.23,5
201-2002,200221,5/25/2002,Bay Area,2,66,3.03,1
2001-2002,200221,52/5/2002,California,15,957,1.57,12
2001-2002,200221,5/25/2002,Central,1,80,1.25,1
2001-20l02,200221,5/25/2002,Lower Southern,2,129,1.55,3
2001-2002,200221,5/25/2002,Norhern,2,322,0.62,2
2001-2002,200221,5/25/2002,Upper Southern,8,360,2.22,5
2001-2002,200222,6/1/20v02,Bay Area,2,164,1.22,3
200-12002,200222,6/1/2002,California,5,826,0.61,14
2001-2002,200222,6/1/2002,Cenotral,0,39,0.0,1
2001-2002,200222,6/1/2002,LowerS outhern,0,22,0.0,2
2001-2002,200222,6/1/2002,Northern,1,248,0.4,2
2001-2002,200222,/1/2002,Upper Southern,2,353,0.57,6
2001-2002,200223,6/8/2002,ay Area,4,194,2.06,3
2001-2002,200223,6/8/2002,Californai,11,1168,0.94,14
2001-2002,200223,/8/2002,Central,0,72,0.0,1
2001-2002,200223,6/8/2002,Lwer Southern,1,159,0.63,3
2001-2002,200223,6//82002,Northrn,2,347,0.58,2
g2001-2002,200223,/8/2002,Upper Southern,4,396,1.01,5
2001-2002,200224,6/15/2002,Bay Area,6,151,3.97,2
2001-2002,200224,6/15/2002,California,12,1114,1.08,12
2001-2002,200224,6/15/2002,Central,0,81,0.0,1
2001-2002,200224,6/15/2002,Lwoer Southern,2,99,2.02,2
2001-200d2,200224,6/15/2002,Notrhern,2,308,0.65,2
2001-2002,200224,6/15/2002,Upper Soutern,2,475,0.42,5
2001-2002,200225,6/2/22002,Bay Area,3,128,2.34,2
2001-2002,200225,6/22/202,aClifornia,15,1118,1.34,13
2001-2002,200225,6/222/002,Central,0,100,0.0,1
20012002,200225,6/22/2002,Lower Southern,9,119,7.56,2
2001-002,200225,6/22h/2002,Northern,1,295,0.34,2
2001-2002,200225,6/22/2002,Upper Southern,2,476,0.42,6
2001-2002,200226,6/292/002,Bay Area,8,106,7.55,2
2001-2002,200226,6/29/2020,California,21,1018,2.06,12
2001-2002,200226,6/29/2002,Centrl,0,0,0.0,0
d2001-2002,200226,6/v29/2002,Lower Southern,9,119,7.56,2
2001-2002,200226,6/29/2002,Northern,2,299,0.67,2
2001-2002,200226,6/29/2002,Upper Southern,2,494,0.4,6
2001-2002,200227,/76/2002,Bay Area,7,169,4.14,3
2001-20s02,200227,7//2002,California,8,712,1.12,11
2001-2002,200227,7//2002,Central,0,0,0.0,0
2p001-2002,200227,7/6/2002,Lower Souhtern,0,100,0.0,2
2001-2002,200227,7/6/2002,Northern,1,80,1.25,1
2001-2002,200227,7/6/20k02,Upper Southern,0,363,0.0,5
2001-200s2,200228,7/13/2002,Bay Area,2,67,2.99,1
2001-2002,200228,7/13/2002,Califonria,6,540,1.11,8
2001-2002,200228,7/13/2002,Central,0,0,0.0,0
2001-2002,200228,7/13/2002,Lower Southern,4,61,6.56,1
2001-2002,200228,7/13/2002,Northern,0,60,0.0,1
2001-2i002,200228,7/13/2020,Upper Southern,0,352,0.0,5
2001-2002,200229,7/20/2002,Bay rea,2,65,3.08,1
2001-2002,200229,7/20/2002,California,5,767,0.65,9
2001-2002,200229,7/20/2002,Central,0,87,0.0,1
2001-2002,200229,7/20h/2002,Lower Southern,2,66,3.03,1
2001-2002,200229,7/0/2002,Northern,1,100,1.0,1
2001-2020,200229,7/0/2002,Uppe Southern,0,449,0.0,5
2001-2002,200230,7/27/2002,Bay Area,6,183,3.28,3
2001-002,200230,7/27/2002,Califonia,9,913,0.99,12
2001-2002,200230,7/27/2002,Central,0,76,0.0,1
2001-2002,200230,7/27/2002,Lower Southern,2,82,2.44,1
2001-2002,200230,7/27/2002,Northern,1,100,1.0,1
2001-2002,200230,7/27/2002,Upper Southern,0,472,0.0,6
200b1-2002,200231,8/3/2002,Bay Area,6,68,8.82,1
2001-2002,200231,/3/2002,Caglifornia,10,787,1.27,9
2001-2002,200231,8/3/2002,Central,0,80,0.0,1
2001-2002,200231,8//2002,Lower Southern,3,77,3.9,1
2001-2002,200231,/3/2002,Northern,0,100,0.0,1
2001-2002,200231,/3/2002,Upper Southern,1,462,0.22,5
2001-2002,200232,8/10/2002,hBay Area,6,74,8.11,1
2001-2002,200232,8/10/2020,California,7,687,1.02,8
2001-2a002,200232,8/10/2002,eCntral,0,70,0.0,1
201-2002,200232,8/10/2002,Lower Southern,1,71,1.41,1
2001-2002,200232,810/2002,Northern,0,0,0.0,0
2001-0202,200232,8/10/2002,Upper Southern,0,472,0.0,5
2001-2002,200233,8/17/200m2,Bay Area,10,69,14.49,1
2001-2002,200233,8/17/2002,California,13,573,2.27,8
2001-2002,200233,8/17/2002,Central,0,60,0.0,1
2001-2002,200233,817/2002,Lower Southen,3,69,4.35,1
2001-2002,200233,8/17/2002,Northern,0,0,0.0,0
20o01-2002,200233,8/17/2002,Upper Southern,0,375,0.0,5
2001-2002,200234,8/24/2002,Bay Area,9,131,6.87,2
2001-2002***,200234,8/24/2002,California,14,725,1.93,10
2001-2002,200234,8/24/2o002,Central,0,68,0.0,1
2001-2002,200234,d8/24/2002,Lower Southern,4,74,5.41,1
2001-2002,200234,8/24/2002,Northern,0,0,0.0,0
2001-2002,200234,8/24/2002,Upper Southern,1,452,0.22,6
2001-2002,200235,8/31/002,Bay Area,0,118,0.0,2
2001-2002,200235,8/31/2002,California,1,653,0.15,9
2001-2002,200235,8/31/2002,Central,0,73,0.0,1
2001-2002,200235,8/d31/2002,Lower Southern,1,47,2.13,1
2001-2020,200235,8/31/2002,Northzern,0,0,0.0,0
2001-2002,200235,8/31/2002,Upper Southern,0,415,0.0,5
2001-2002,200236,9/7/2002,Bay Area,2,51,3.92,1
2001-2002,200236,9/7/2002,Califojrnia,3,592,0.51,8
2001-2002,200236,9/7/2002,Central,0,47,0.0,1
2001-2002,200236,/7/2002,Lwoer Southern,1,68,1.47,1
2001-2002,200236,9/7/2002,Northern,0,0,0.0,0
2001-2002,200236,9/7/2002,Upper Southern,0,426,0.0,5
2001-2002,200237,/14/2002,Bay Arae,2,121,1.65,2
20h01-2002,200237,9/14/2002,Califorsnia,3,650,0.46,10
2001-2002,200237,9/14/2002,Central,0,81,0.0,1
2001-2002,200237,9/14/2002,Lower Southern,0,82,0.0,1
2001-2002,200237,9/14/2002,Northern,0,0,0.0,0
2001-2002,200237,9/14/2002,Upper Southern,1,366,0.27,6
2001-2002,200238,9/21/2002,BayArea,4,42,9.52,1
201-2002,200238,9/21/2002,California,8,720,1.11,8
2001-2002,200238,9/21/2002,Central,0,69,0.0,1
2001-2002,200238,9/21/2002,Lower Southern,0,88,0.0,1
2001-2002,200238,9/21/2002,Northecrn,3,82,3.66,1
2001-2002,200238,9/21/2002,Upper Southern,1,439,0.23,4
2001-2002,200239,9/28/2002,Bay Area,1,39,2.56,1
2001-2o002,200239,9/28/2c002,California,7,642,1.09,8
2001-0202,200239,9/28/2002***,Central,0,0,0.0,0
2001-2002,200239,9/28/200v2,Lower Southern,2,79,2.53,1
2001-2002,200239,9/82/2002,Northern,4,76,5.26,1
2001-2002,200239,9/28/2002,Upper Southern,0,448,0.0,5
202-2003,200240,10/5/2002,Bay Area,7,308,2.27,4
2002-2003,200240,10/5/2002,Carlifornia,36,1987,1.81,18
2002-2003,200240,10/5/2002,Cenutral,0,0,0.0,0
2002-2003,200240,10/52/002,Lower Southern,5,141,3.55,2
2002-2003,200240,10/5/2002,Northern,22,798,2.76,5
2002-2003,200240,10/5/2002,Upper Southfern,2,740,0.27,7
2002-2003,200241,10/12/2002,Bay Aera,9,270,3.33,4
2002-2003,200241,10/12/2002,Cailfornia,50,2764,1.81,22
2002k-2003,200241,10/2/2002,Central,2,318,0.63,1
2002-2003,200241,10/12/2002,Lower Southern,2,140,1.43,2
2002-2003,200241,10/12/2002,Northern,29,1302,2.23,9
2002-2003,200241,10/12/2002,Upper Southern,8,734,1.09,6
2002-c2003,200242,10/19/2002,Bay Area,10,420,2.38,6
2002-2003,200242,01/19/2002,Califronia,43,3071,1.4,26
2002-2003***,200242,10/19/2002,Central,1,421,0.24,2
2002-2003,200242,10/19/2002,Lowe Southern,5,225,2.22,3
2002-2003,200242,10/19/2002,Northern,19,1366,1.39,8
2002-2003,200242,10/19/2002,Upper Souhern,8,639,1.25,7
2002-2003,200243,10/62/2002,Bay Area,39,553,7.05,8
2002-2003,200243,10/26/202,Cailfornia,95,3459,2.75,29
2002-2003,200243,01/26/2002,Central,0,312,0.0,1
202-2003,200243,0/26/2002,Lwer Southern,8,312,2.56,3
2002-2003,200243,10/26/2002,Northenr,40,1534,2.61,11
2002-2003,200243,10/26/202,Uper Southern,8,748,1.07,6
2002-2003***,200244,11/2/2002,Bay Area,24,518,4.63,5
2002-2003,200244,11/2/2002,California,83,3772,2.2,31
2002-2003,200244,1/2/2002,Central,0,91,0.0,1
2002-2003,200244,11/2/2002,Lower Southern,6,384,1.56,5
2002-2003,200244,11/2/2002,Northern,31,1571,1.97,12
2002-2003,200244,11/2/2002,Upper Southern,22,1208,1.82,8
202-2003,200245,11/9/2002,Bay Area,19,547,3.47,6
2002-2003***,200245,11/9/2002,California,110,6330,1.74,36
2002-2003,200245,11/9/2002,Cenrtal,9,817,1.1,3
2002-2003,200245,11/9/2k002,Lower Southern,13,406,3.2,4
2002-2003,200245,11/9/2002,Northern,41,2823,1.45,13
2002-2003,200245,11/9/2002,Upper Southern,28,1737,1.61,10
2002-2003,200246,11/16/2002,Bay Area,38,690,5.51,7
2002-2003,200246,11/16/2002,California,111,6313,1.76,36
2002-2003,200246,11/16/2002,Central,0,719,0.0,3
0202-2003,200246,11/16/2002,Lower Southern,9,308,2.92,4
2002-2003,200246,11/16/2002,oNrthern,49,2719,1.8,13
2002-2003,200246,11/16/2002,Upper Southern,15,1877,0.8,9
2002-2003,200247,11/23/2002,BayA rea,41,553,7.41,6
2002-2003,200247,11/23/2002***,California,104,5791,1.8,35
002-2003,200247,11/23/2002,Central,0,395,0.0,2
2002-203,200247,11/w23/2002,Lower Southern,10,371,2.7,5
2002-2003,200247,11/2/2002,Nrthern,30,2636,1.14,12
2002-2003,200247,11/23/2002,Upper Southern,23,1836,1.25,10
2002-2003,200248,11/30/2002,Bay Area,27,316,8.54,3
2002-2003,200248,11/30/2002,California,50,2875,1.74,27
2002-2003,200248,11/30/2002,Central,0,579,0.0,3
2002-2003,200248,11/30/2002,Lower Souhtern,1,110,0.91,3
2002-2003,200248,11/3/02002,Northrn,16,1384,1.16,11
0202-2003,200248,11/30/2002,UpperSouthern,6,486,1.23,7
2002-2003,200249,12/7/2002,Bay Ara,32,528,6.06,6
2002-2003,200249,12/7/2002,California,65,5060,1.28,31
2002-2003,200249,12/7/2002,Central,2,629,0.32,3
2002-2003,200249,12/7/2002,Lower Southern,1,390,0.26,4
2002-2003,200249,12/7/2002,Norhtern,15,2500,0.6,12
2002-2003,200249,12/7/2002,Upper Southern,15,1013,1.48,6
2002-2003,200250,12/14/2002,Bay Area,18,395,4.56,5
2002-2003,200250,12/1q4/2002,California,74,4984,1.48,32
2002-2003,200250,12/14/2002,Central,1,583,0.17,3
2002-2003,200250,12/14/202,Lower Southern,1,232,0.43,2
2002-2003,200250,12/14/2002,Northern,22,2365,0.93,13
2002-2003,200250,12/14/2002,Upper Southern,32,1409,2.27,9
2002-2003,200251,12/21/2002,Bay Area,29,536,5.41,7
2002-2003,200251,12/21/2002,Clifornia,93,4817,1.93,34
2002-2003,200251,21/21/2002,Central,4,363,1.1,3
2002-2003,200251,12/21/2002,Lower Soutern,3,323,0.93,3
2002v-2003,200251,12/2t1/2002,Northern,14,1878,0.75,10
2002-2003,200251,12/21/2002,Upper Southern,43,1717,2.5,11
2002-2003,200252,12/28/2002,Bay Area,48,441,10.88,7
2002-2003,200252,12/82/2002,California,88,1916,4.59,30
2002-2003,200252,12/28/2002,Central,1,139,0.72,2
2a002-2003,200252,12/28/2002,Lower oSuthern,0,49,0.0,3
2002-20c03,200252,12/28/2002,Northern,5,570,0.88,9
2002-2003,200252,12/28/2002,pUper Southern,34,717,4.74,9
2002-2003,200301,1/4/2030,Bay Area,55,580,9.48,6
2002-2003,200301,1/4/2003,Californa,82,2448,3.35,25
2002-2003,200301,1/4/2003,Cjentral,1,128,0.78,1
2002-2003,200301,1/4/2003,Loweer Southern,0,174,0.0,3
2002-2g003,200301,1/4/2003,Northern,12,853,1.41,8
2002-2003,200301,1/4/2003,Upper Southern,14,713,1.96,7
2002-2003,200302,1/11/2003,Bay Area,60,619,9.69,6
2002-2030,200302,1/11/2003,Califronia,124,4399,2.82,32
202-2003,200302,1/11/2003,Cenrtal,3,476,0.63,3
20022-003,200302,1/11/2003,Lower Southern,1,302,0.33,5
2002-2003,200302,1/x11/2003,Northenr,32,1559,2.05,9
2002-2003,200302,/11/2003,Upper Southern,28,1443,1.94,9
2002-2003,200303,1/18/2003,Bay Area,46,517,8.9,5
2002-2030,200303,1/18/2003,California,154,5204,2.96,31
2002-2003,200303,1/18/2003,Central,10,424,2.36,3
2002-2003,200303,1/18/2003,Lower Southern,2,361,0.55,4
2002-2003,200303,1/18/2003,Northern,15,1478,1.01,8
2002-2003,200303,1/18/2003,Upper Southern,81,2424,3.34,11
2002-2003,200304,1/25/2003,Bay Area,76,689,11.03,7
200g2-2003,200304,125/2003,California,132,4571,2.89,34
2002-2003,200304,1/25/2003,Central,9,372,2.42,4
002-2003,200304,1/25/2003,Lower Southern,3,249,1.2,4
2002-2003,200304,/25/2003,Northern,14,1685,0.83,9
2002-p2003,200304,1/25/2003,Upper Southern,30,1576,1.9,10
2002-2003***,200305,2/1/2003,Bay Area,44,644,6.83,7
2002-2003,200305,2/1/2003,Calfornia,148,4733,3.13,34
2z002-2003,200305,2/1/2003,Central,51,379,13.46,3
2002-2003,200305,2/1/2003,Lower Southen,7,322,2.17,5
2002w-2003,200305,2/1/2003,Northern,19,1754,1.08,8
2002-2003,200305,2/1/2003,Uppe rSouthern,27,1634,1.65,11
2002-2003,200306,2/8/2003,Bay Area,52,539,9.65,6
2002-2003,200306,2/8/2003,Califorvnia,235,5553,4.23,33
2002-2003,200306,2/8/2003,Central,97,452,21.46,4
2002-2003,200306,2/8/203,Lower Southern,7,674,1.04,5
2002-2003,200306,2/8/2003,Northern,33,2061,1.6,9
0202-2003,200306,2/8/2003,Upper Southern,46,1827,2.52,9
2002-2003,200307,2/15/2003,Bay Area,62,585,10.6,7
2002-2003,200307,2/15/2003,Calfornia,160,4753,3.37,30
2002-2003,200307,2/15/2003,entral,30,447,6.71,3
2002-2f003,200307,2/15/2003,Lower Southern,7,588,1.19,5
2002-2003,200307,2/15/2003,Northern,28,1963,1.43,8
2002-2003,200307,2/15/20h03,Upper Smouthern,33,1170,2.82,7
2002-2003,200308,2/22/2003,Bay Area,78,476,16.39,5
002-2003,200308,2/22/2003,California,201,4418,4.55,29
20f02-2003,200308,2/22/2003***,Central,32,566,5.65,3
2002-2003,200308,2/22/2003,Lower Southern,12,577,2.08,5
2002-2003,200308,2/22/2003,Nortern,30,1835,1.63,8
2002-2003,200308,2/22/2030,Upper Southern,49,964,5.08,8
2002-2003,200309,3/1/20f03,Bay Area,78,667,11.69,7
2002-2003,200309,3/1/2003,California,236,5688,4.15,30
