OBJECTID,JURIS_NAME,County_name,City_name,City_Name_Proper,RATE,START_DATE,DateStamp,DateCreated,SHAPE_Length,SHAPE_Area
581,BISHOP,INYO,BISHOP,Bishop,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,20428.5350855949,7728593.43757295
582,BLUE LAKE,HUMBOLDT,BLUE LAKE,Blue Lake,0.0875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,12023.8196560555,2934186.11791391
583,BLYTHE,RIVERSIDE,BLYTHE,Blythe,0.0875,2020/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,121244.158771397,102165420.71629
584,BRADBURY,LOS ANGELES,BRADBURY,Bradbury,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,14376.8904633042,7454393.19733842
585,BRAWLEY,IMPERIAL,BRAWLEY,Brawley,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,35993.7209355201,29879363.5592695
586,BREA,ORANGE,BREA,Brea,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,60979.0385684844,47968279.2886755
587,BRENTWOOD,CONTRA COSTA,BRENTWOOD,Brentwood,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,55325.2368849056,61987949.44015
588,BRISBANE,SAN MATEO,BRISBANE,Brisbane,0.09875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,49441.9234198086,83335737.2155021
589,BUELLTON,SANTA BARBARA,BUELLTON,Buellton,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,14650.7657967432,6143377.37773631
590,BUENA PARK,ORANGE,BUENA PARK,Buena Park,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,48287.9503423189,39648114.0358364
591,BURBANK,LOS ANGELES,BURBANK,Burbank,0.1025,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,40468.7963982511,65812610.2077553
592,BURLINGAME,SAN MATEO,BURLINGAME,Burlingame,0.09625,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,33954.8602916,23862217.0345634
593,CALABASAS,LOS ANGELES,CALABASAS,Calabasas,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,54936.2848627449,52154194.1124672
594,CALEXICO,IMPERIAL,CALEXICO,Calexico,0.0825,2010/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,29188.1839816749,31092545.4691176
595,CALIFORNIA CITY,KERN,CALIFORNIA CITY,California City,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,218609.172989761,789601385.095586
596,CALIMESA,RIVERSIDE,CALIMESA,Calimesa,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,49027.0551433891,56119572.620537
597,CALIPATRIA,IMPERIAL,CALIPATRIA,Calipatria,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,26908.2930193843,13738251.5061685
598,CALISTOGA,NAPA,CALISTOGA,Calistoga,0.0775,2018/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,18985.5504107638,10921545.1503713
599,CAMARILLO,VENTURA,CAMARILLO,Camarillo,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,81517.7277889794,75050418.3050775
600,CAMPBELL,SANTA CLARA,CAMPBELL,Campbell,0.09375,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,42620.3516529907,24996804.2388603
601,CANYON LAKE,RIVERSIDE,CANYON LAKE,Canyon Lake,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,23492.5502605447,17339448.5455576
602,CAPITOLA,SANTA CRUZ,CAPITOLA,Capitola,0.09,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,17292.8877350971,6935433.87049119
603,CARLSBAD,SAN DIEGO,CARLSBAD,Carlsbad,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,76040.7017485181,221698498.351466
604,CARMEL-BY-THE-SEA,MONTEREY,CARMEL-BY-THE-SEA,Carmel-by-the-Sea,0.0925,2020/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,32609.3011559664,23234644.1140717
605,CARPINTERIA,SANTA BARBARA,CARPINTERIA,Carpinteria,0.09,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,36536.6605864298,32154925.0851838
606,CARSON,LOS ANGELES,CARSON,Carson,0.1025,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,46866.7585637545,71264484.5993353
607,CATHEDRAL CITY,RIVERSIDE,CATHEDRAL CITY,Cathedral City,0.0875,2014/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,72487.2930004969,85686560.6589079
608,CERES,STANISLAUS,CERES,Ceres,0.08375,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,49334.3701809615,39161547.6475536
609,CERRITOS,LOS ANGELES,CERRITOS,Cerritos,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,44014.3581051921,33287975.1228826
610,CHICO,BUTTE,CHICO,Chico,0.0825,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,131232.353725949,151087361.527096
611,CHINO,SAN BERNARDINO,CHINO,Chino,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,75986.8513079594,112340608.778145
612,CHINO HILLS,SAN BERNARDINO,CHINO HILLS,Chino Hills,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,64207.5152628321,169189482.211597
613,CHOWCHILLA,MADERA,CHOWCHILLA,Chowchilla,0.0875,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,54494.8756790072,47512774.1629717
614,CHULA VISTA,SAN DIEGO,CHULA VISTA,Chula Vista,0.0875,2018/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,118858.018042414,190900986.699993
615,CITRUS HEIGHTS,SACRAMENTO,CITRUS HEIGHTS,Citrus Heights,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,37809.8884620868,60528195.1256168
616,CLAREMONT,LOS ANGELES,CLAREMONT,Claremont,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,55367.9652869634,51025762.2836038
617,CLAYTON,CONTRA COSTA,CLAYTON,Clayton,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,21781.2730788148,15977065.2309522
618,CLEARLAKE,LAKE,CLEARLAKE,Clearlake,0.0875,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,59569.8628753824,45146596.5996234
619,CLOVERDALE,SONOMA,CLOVERDALE,Cloverdale,0.085,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,32690.4821514384,14282596.7346513
620,CLOVIS,FRESNO,CLOVIS,Clovis,0.07975,2008/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,94739.3984267788,107185770.058897
621,COACHELLA,RIVERSIDE,COACHELLA,Coachella,0.0875,2015/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,74760.056376995,116027815.917181
622,COALINGA,FRESNO,COALINGA,Coalinga,0.08975,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,59004.0787012829,26811703.3375902
623,COLFAX,PLACER,COLFAX,Colfax,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,26705.3218712612,6075099.9143801
624,COLMA,SAN MATEO,COLMA,Colma,0.09375,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,14698.239223517,7925906.70967
625,COLTON,SAN BERNARDINO,COLTON,Colton,0.0875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,87292.2843527495,61246094.8645839
626,COLUSA,COLUSA,COLUSA,Colusa,0.0875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,50609.5926032983,18441764.3414719
627,COMMERCE,LOS ANGELES,COMMERCE,Commerce,0.1025,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,34390.8821823479,24754317.491435
628,COMPTON,LOS ANGELES,COMPTON,Compton,0.1025,2017/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,65518.6819365884,38044761.1452709
629,CONCORD,CONTRA COSTA,CONCORD,Concord,0.0975,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,73076.0675785105,127542580.699112
630,CORCORAN,KINGS,CORCORAN,Corcoran,0.0825,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,54005.4856295877,29856789.235576
631,CORNING,TEHAMA,CORNING,Corning,0.0775,2016/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,43990.3032193371,16019825.7489597
632,CORONA,RIVERSIDE,CORONA,Corona,0.0875,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,132672.838037873,150210606.692549
633,CORONADO,SAN DIEGO,CORONADO,Coronado,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,74794.0441286211,208948269.001985
634,CORTE MADERA,MARIN,CORTE MADERA,Corte Madera,0.09,2022/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,24497.3625850891,18669570.0860547
635,COSTA MESA,ORANGE,COSTA MESA,Costa Mesa,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,42868.9571617905,59406405.1151991
636,COTATI,SONOMA,COTATI,Cotati,0.095,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,22664.128993133,8053399.51204473
637,COVINA,LOS ANGELES,COVINA,Covina,0.1025,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,68641.7102809832,26633987.5336825
638,CRESCENT CITY,DEL NORTE,CRESCENT CITY,Crescent City,0.0825,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,29298.278778733,10966556.3835072
639,CUDAHY,LOS ANGELES,CUDAHY,Cudahy,0.1025,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,12556.1564194488,4619380.53692639
640,CULVER CITY,LOS ANGELES,CULVER CITY,Culver City,0.1025,2019/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,43000.45956225,19392278.9698012
641,CUPERTINO,SANTA CLARA,CUPERTINO,Cupertino,0.09125,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,61780.8662799401,46484085.5170868
642,CYPRESS,ORANGE,CYPRESS,Cypress,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,30849.6253201732,24926869.9403314
643,DALY CITY,SAN MATEO,DALY CITY,Daly City,0.09875,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,58694.653109518,31698495.7524724
644,DANA POINT,ORANGE,DANA POINT,Dana Point,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,50019.2763707992,119637451.525674
645,DANVILLE,CONTRA COSTA,DANVILLE,Danville,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,59629.1158961084,75152202.894075
646,DAVIS,YOLO,DAVIS,Davis,0.0825,2014/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,43707.8066074729,42470185.1121917
647,DEL MAR,SAN DIEGO,DEL MAR,Del Mar,0.0875,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,30794.2445596326,48726679.9813399
648,DEL REY OAKS,MONTEREY,DEL REY OAKS,Del Rey Oaks,0.0925,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,15442.110306651,4356068.12564806
649,DELANO,KERN,DELANO,Delano,0.0825,2008/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,75037.2351810312,70986726.9302931
650,DESERT HOT SPRINGS,RIVERSIDE,DESERT HOT SPRINGS,Desert Hot Springs,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,89434.5591267981,115054354.064222
651,DIAMOND BAR,LOS ANGELES,DIAMOND BAR,Diamond Bar,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,40833.8376751833,56266457.9383316
652,DINUBA,TULARE,DINUBA,Dinuba,0.085,2007/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,32022.3499035255,26398662.7136029
653,DIXON,SOLANO,DIXON,Dixon,0.07375,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,45030.3979926893,30637846.6487484
654,DORRIS,SISKIYOU,DORRIS,Dorris,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,10506.6309507,3429176.45111665
655,DOS PALOS,MERCED,DOS PALOS,Dos Palos,0.0775,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,19920.8798679353,5625363.72080397
656,DOWNEY,LOS ANGELES,DOWNEY,Downey,0.1,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,33288.7449871312,47429040.635909
657,DUARTE,LOS ANGELES,DUARTE,Duarte,0.1025,2020/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,41215.9039196114,25349745.0813525
658,DUBLIN,ALAMEDA,DUBLIN,Dublin,0.1025,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,47361.7324326626,63090482.8571163
659,DUNSMUIR,SISKIYOU,DUNSMUIR,Dunsmuir,0.0775,2016/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,31070.5100689855,7928149.21602451
660,EAST PALO ALTO,SAN MATEO,EAST PALO ALTO,East Palo Alto,0.09875,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,17735.2695345884,10521344.720115
661,EASTVALE,RIVERSIDE,EASTVALE,Eastvale,0.0775,2011/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,44353.0886678708,49548325.9249624
662,EL CAJON,SAN DIEGO,EL CAJON,El Cajon,0.0825,2015/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,86091.5482371296,53427311.8976489
663,EL CENTRO,IMPERIAL,EL CENTRO,El Centro,0.0825,2017/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,50458.9618127532,44692697.6759946
664,EL CERRITO,CONTRA COSTA,EL CERRITO,El Cerrito,0.1025,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,20427.7953717403,15326368.8745439
665,EL MONTE,LOS ANGELES,EL MONTE,El Monte,0.1,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,39355.1643822813,36375777.7032361
666,EL SEGUNDO,LOS ANGELES,EL SEGUNDO,El Segundo,0.095,2017/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,36594.4491694385,34997522.7237313
667,ELK GROVE,SACRAMENTO,ELK GROVE,Elk Grove,0.0875,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,85118.5439085353,180517914.415687
668,EMERYVILLE,ALAMEDA,EMERYVILLE,Emeryville,0.105,2022/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,16246.1941916231,9393600.15999388
669,ENCINITAS,SAN DIEGO,ENCINITAS,Encinitas,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,76038.3710358758,168667421.086272
670,ESCALON,SAN JOAQUIN,ESCALON,Escalon,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,31598.5693813515,9824288.52710947
671,ESCONDIDO,SAN DIEGO,ESCONDIDO,Escondido,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,205262.023744242,138580529.505648
672,ETNA,SISKIYOU,ETNA,Etna,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,11297.0659676988,3470354.32373378
673,EUREKA,HUMBOLDT,EUREKA,Eureka,0.0925,2021/07/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,67001.7619021205,72595035.3964637
674,EXETER,TULARE,EXETER,Exeter,0.0875,2021/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,21009.078966571,9804459.14081798
675,FAIRFAX,MARIN,FAIRFAX,Fairfax,0.09,2022/10/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,26564.2401435632,9362654.38654997
676,FAIRFIELD,SOLANO,FAIRFIELD,Fairfield,0.08375,2013/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,160126.087891897,175984330.811425
677,FARMERSVILLE,TULARE,FARMERSVILLE,Farmersville,0.0875,2018/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,22230.19820191,9055873.69677076
678,FERNDALE,HUMBOLDT,FERNDALE,Ferndale,0.085,2023/04/01 06:59:59+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,11752.2743273854,5185693.66862615
679,FILLMORE,VENTURA,FILLMORE,Fillmore,0.0725,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,27109.056875976,12609527.9461577
680,FIREBAUGH,FRESNO,FIREBAUGH,Firebaugh,0.07975,2005/04/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,36216.3257302801,14883589.1139214
681,FOLSOM,SACRAMENTO,FOLSOM,Folsom,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,60632.227864369,127830074.767131
682,FONTANA,SAN BERNARDINO,FONTANA,Fontana,0.0775,2005/01/01 08:00:00+00,2023/07/01 06:59:59+00,2023/05/12 06:59:59+00,91359.7444474792,164075571.049289
