ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_1st_Choice,Q3_2nd,Q4_Rate_condition_of_your_neighborhood,Q6_Services/Facility_used_past_12_mo,Q6_2nd_,Q6_3rd_,Q6_4th_,Q6_5th_,Q6_6th_,Q6_7th_,Q6_8th_,Q6_9th_,Q6-10th_,Q6-11th_,Q6_12th_,Q6_13th_,Q6_14th_,Q6_15th_,Q7a_Quality_of_larger_City_parks,Q7b_Recreaction/multigen_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_Center_for_the_Arts,Q7i_Tempe_History_Museum,Q7j_Library_facilities,Q7k_Disability_access_to_City_programs,Q8_1st_Choice,Q8_2nd,Q9a_Library_services,Q9b_Condition_of_City_streets,Q9c_Condition_and_clarity_street_signs,Q9d_Local_transit_service,Q9e_Management_of_traffic_flow,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maintenance_sreet/sidewalk,Q9j_Appearance_residental_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_services,Q9p_Water_service,Q9q_Local_police_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_by_City_to_prevent_crime,Q9u_Recreation_programs/services,Q9v_Maintenance_city_parks,Q10_1st_Choice,Q10_2nd,Q10_3rd,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_1st_Choice,Q12_2nd,Q12_3rd,Q13_Get_information_do_you_use,Q13__2nd,Q13__3rd,Q13__4th,Q13__5th,Q13__6th,Q13__7th,Q13__8th,Q13__9th,Q13_10th,Q13_11th,Q13a_1st_Choice,Q13a_2nd,Q13a_3rd,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded_to_request,Q14f_How_well_issue_was_handled,Q15_1st_Priority,Q15__2nd,Q15__3rd,Q15__4th,Q15__5th,Q15__6th,Q15__7th,Q15__8th,Q18a_How_many_years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_year,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18j-Have_internet_access_home,Q1j-A_smart_phone,Q18k_Visited_downtown_during_past_year,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Q18l_Other,Q1_Attend_events_downtownand_the_Lake,Q1a_How_many_times_attended_Downtown,Q1a-Town_Lake,Q2_Impact_special_events_have_community,Q5_How_satisfied_with_events,Q6_Long_range_planning,Q6__2nd,Q6__3rd,Q6__4th,Q6__5th,Q6__6th,Q6__7th,Q6__8th,Q6__9th,Q6_10th,Q6_11th,Q6_Other,Zip,OBJECTID
13,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,A,E,3,0,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,K,F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,T,Q,B,0,,,,,,,,,2,7,6,1,7,9,,,,,,,,,1,7,9,2,,,,,,3,8,9,,,,,,5,5,2,2,2,1,1,3,1,1,1,2,1,2,,,,,,2,,,5,3,2,5,6,,,,,,,,,,85282,12
14,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,E,C,5,2,3,4,8,10,11,12,13,14,,,,,,,5,5,5,5,9,5,5,5,9,5,9,A,J,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,T,Q,N,0,,,,,,,,,1,6,3,2,8,9,,,,,,,,,0,,,1,5,5,5,5,5,4,6,,,,,,,5,4,2,1,2,1,1,5,1,1,1,2,1,2,,,,,,1,5,5,5,5,2,6,8,,,,,,,,,,85281,13
15,4,5,5,4,4,4,4,5,5,4,9,4,4,9,4,4,2,5,4,4,5,E,C,2,3,4,,,,,,,,,,,,,,5,9,9,9,9,9,9,9,9,9,9,Z,,9,4,4,5,4,5,4,2,4,2,4,4,5,4,5,5,4,4,4,4,5,5,Z,,,0,,,,,,,,,0,,,4,5,9,,,,,,,,,0,,,1,4,4,5,4,4,4,10,,,,,,,5,6,2,2,2,1,1,3,1,1,1,2,1,2,,,,,,2,,,4,4,1,2,8,,,,,,,,,,85281,14
16,5,2,9,4,5,4,5,5,9,3,3,5,3,3,4,2,5,4,4,4,4,Z,,4,0,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,Z,,3,4,4,3,4,4,3,3,2,1,2,4,5,5,4,5,5,5,5,5,3,4,Z,,,0,,,,,,,,,0,,,0,,,,,,,,,,,0,,,9,,,,,,0,,,,,,,,5,6,2,2,2,1,1,2,1,1,2,2,1,5,,,,,,2,,,3,3,0,,,,,,,,,,,,85281,15
17,4,4,4,3,4,4,3,4,9,9,2,1,2,2,4,4,4,3,4,4,3,G,C,4,3,4,10,11,14,,,,,,,,,,,4,9,9,3,9,9,9,9,9,9,9,D,A,9,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,9,4,9,3,3,3,F,V,E,0,,,,,,,,,4,5,8,,,,,,,,,,,,5,8,4,1,4,4,4,4,4,3,11,,,,,,,2,2,1,1,2,1,2,4,1,1,1,1,1,1,,,,,,1,8,3,5,4,1,4,8,,,,,,,,,,85282,16
18,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,G,,4,2,3,4,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,J,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,A,Q,S,0,,,,,,,,,0,,,8,,,,,,,,,,,8,,,2,,,,,,8,12,,,,,,,4,6,1,2,2,1,1,3,1,2,1,2,2,2,,,,,,2,,,4,9,1,,,,,,,,,,,,85282,17
19,4,4,5,3,4,3,3,3,3,2,1,3,3,3,3,4,3,4,3,3,3,A,E,3,2,3,4,5,8,14,,,,,,,,,,4,9,9,4,3,3,4,9,9,9,9,Z,,9,4,4,9,3,4,3,2,4,3,3,4,4,5,5,4,4,1,9,3,4,4,Z,,,0,,,,,,,,,0,,,5,7,8,9,,,,,,,,8,9,5,2,,,,,,3,4,,,,,,,5,5,1,2,2,1,1,4,1,1,1,1,1,2,,,,,,1,3,0,4,4,1,2,8,,,,,,,,,,85282,18
20,4,9,4,3,4,4,3,3,3,2,2,3,4,4,3,2,2,9,3,9,4,A,G,3,1,6,11,,,,,,,,,,,,,4,4,9,3,4,2,9,4,4,4,2,K,E,4,3,2,4,2,9,2,4,3,3,3,3,4,4,4,4,4,5,5,4,9,9,Q,E,R,3,8,,,,,,,,3,9,6,7,9,11,,,,,,,,,7,9,11,2,,,,,,8,10,,,,,,,3,2,1,1,2,1,2,3,2,2,1,2,1,2,,,,,,2,,,4,4,1,6,8,,,,,,,,,,85282,19
21,4,3,4,3,4,5,3,4,4,3,4,3,4,3,3,5,2,4,5,3,4,C,A,4,1,2,3,4,9,10,13,15,,,,,,,,4,4,4,3,3,4,9,9,9,5,9,B,F,5,2,5,4,4,3,4,2,4,2,3,4,4,4,4,4,3,4,5,4,4,4,H,J,,2,9,,,,,,,,9,2,,1,2,5,9,,,,,,,,2,5,9,2,,,,,,4,6,,,,,,,5,5,1,2,2,1,1,3,1,1,1,2,1,2,,,,,,1,0,2,4,4,2,6,,,,,,,,,,,85282,20
22,4,4,4,4,4,4,4,4,4,4,9,4,4,9,4,4,9,9,4,4,4,A,B,1,2,3,11,14,,,,,,,,,,,,4,9,9,9,9,9,9,9,9,4,9,F,K,4,4,4,9,3,9,4,9,3,3,3,3,3,9,3,9,9,9,9,9,9,9,T,R,Q,1,,,,,,,,,7,2,3,1,5,6,,,,,,,,,0,,,1,5,5,5,5,5,3,8,,,,,,,1,4,2,1,2,1,2,4,9,1,1,1,2,2,,,,,,2,,,9,1,1,2,7,,,,,,,,,,85283,21
23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,E,F,4,2,3,4,5,13,14,,,,,,,,,,4,9,3,3,9,9,9,9,3,4,9,Z,,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,Z,,,0,,,,,,,,,1,9,7,5,9,,,,,,,,,,5,9,,2,,,,,,0,,,,,,,,4,5,1,1,2,1,9,5,1,1,1,1,1,2,,,,,,1,1,1,4,4,1,8,,,,,,,,,,,85283,22
24,4,4,2,3,2,2,4,3,3,9,5,4,3,4,4,4,1,2,2,4,4,E,F,2,2,3,4,6,7,11,12,14,15,,,,,,,5,4,9,9,9,9,9,4,5,5,9,A,H,4,4,3,3,2,4,4,2,4,3,3,4,4,4,5,5,3,3,9,1,9,3,Z,,,0,,,,,,,,,9,2,3,2,5,,,,,,,,,,5,2,9,1,4,4,4,4,4,2,8,,,,,,,5,4,1,1,2,1,1,5,1,2,1,1,1,2,,,,,,1,2,1,4,3,5,6,11,,,,,,,,,HISTORIC PRESERVATION    ,85282,23
25,4,4,9,9,5,5,9,9,4,9,4,4,9,4,2,4,3,4,4,3,2,A,G,4,2,3,4,5,10,11,,,,,,,,,,4,9,5,4,4,4,9,5,4,4,3,Z,,5,2,4,4,4,5,9,4,4,4,4,3,4,5,5,4,5,9,9,9,4,4,B,K,,0,,,,,,,,,0,,,8,,,,,,,,,,,8,6,3,1,2,2,1,1,1,5,11,,,,,,,5,4,2,2,2,1,2,3,1,1,1,2,1,2,,,,,,2,,,9,2,2,6,10,,,,,,,,,,85281,24
26,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,3,2,4,2,3,3,E,C,3,2,8,,,,,,,,,,,,,,4,3,3,3,3,4,4,3,3,4,4,E,B,4,3,4,3,3,4,3,2,3,3,3,4,4,4,5,5,4,5,5,3,3,4,H,J,I,0,,,,,,,,,7,4,6,1,5,,,,,,,,,,2,7,9,2,,,,,,6,8,,,,,,,5,6,2,2,2,1,1,3,1,1,1,2,2,2,,,,,,2,,,5,4,1,4,6,,,,,,,,,,85282,25
27,4,4,4,4,5,5,4,5,5,4,5,5,5,5,5,5,4,3,5,4,4,C,E,4,2,3,4,7,11,12,13,14,15,,,,,,,5,5,9,9,9,4,9,4,5,5,4,I,F,4,4,4,4,4,4,5,3,4,3,4,4,4,5,5,5,5,5,5,4,4,4,D,H,F,0,,,,,,,,,7,9,3,1,2,5,9,,,,,,,,6,2,9,1,5,5,5,5,5,4,10,,,,,,,3,5,2,1,2,1,1,5,1,1,1,1,1,2,,,,,,1,1,1,4,4,2,3,5,,,,,,,,,,85282,26
28,4,4,5,9,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,9,3,E,C,3,2,3,4,7,11,12,14,,,,,,,,,4,9,9,9,9,9,9,5,5,4,4,J,H,3,3,4,4,4,4,4,3,4,3,4,4,5,5,4,5,2,4,9,9,9,4,A,D,H,0,,,,,,,,,2,7,4,5,6,7,9,11,,,,,,,6,5,11,1,5,5,5,5,5,1,2,,,,,,,5,5,2,1,2,1,1,5,1,2,1,2,1,2,,,,,,9,,,9,9,0,,,,,,,,,,,,85282,27
29,4,5,4,2,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,F,E,4,3,4,6,11,14,,,,,,,,,,,5,4,9,9,9,9,9,9,9,4,4,B,J,4,4,4,3,3,3,4,4,4,4,3,4,5,5,5,4,3,3,3,3,5,5,D,E,U,1,6,,,,,,,,4,6,7,2,5,7,,,,,,,,,5,2,8,1,4,4,4,4,4,1,10,,,,,,,5,5,2,1,2,1,1,4,1,2,1,1,1,2,,,,,,1,1,1,4,5,5,6,10,,,,,,,,,,85282,28
30,4,4,4,9,4,3,9,9,9,9,9,4,5,5,4,4,3,3,3,4,2,E,G,3,2,3,4,11,,,,,,,,,,,,5,9,9,4,9,9,4,9,9,4,9,Z,,3,5,5,4,4,4,4,5,4,4,3,3,4,5,5,5,5,9,9,9,9,4,Z,,,0,,,,,,,,,2,6,9,5,6,9,,,,,,,,,5,8,9,1,5,5,5,5,5,6,8,,,,,,,5,5,2,1,2,1,2,4,1,1,1,2,1,2,,,,,,2,,,4,4,8,10,,,,,,,,,,,85282,29
31,5,5,4,4,2,3,3,3,3,4,4,4,4,3,2,3,2,2,3,4,4,A,C,3,1,3,4,6,7,12,14,,,,,,,,,9,9,9,9,9,3,3,4,3,9,9,H,I,9,4,4,9,3,4,3,2,2,3,3,4,4,4,4,4,3,3,4,3,9,3,E,H,R,0,,,,,,,,,0,,,5,6,8,9,,,,,,,,0,,,1,5,4,5,5,5,6,,,,,,,,5,5,2,2,2,1,1,4,1,2,1,1,1,2,,,,,,1,0,1,4,4,1,3,7,11,,,,,,,,ACQUIRING/PURCHASE LAND  ,85281,30
32,5,4,4,3,4,3,4,3,4,9,9,4,4,3,4,4,4,9,3,5,5,E,D,4,2,3,4,,,,,,,,,,,,,4,9,9,3,4,4,9,4,4,5,3,B,F,5,4,3,9,3,4,4,3,3,3,3,3,5,5,5,4,5,4,4,3,3,4,Q,T,V,0,,,,,,,,,0,,,1,5,6,7,8,9,,,,,,6,5,8,2,,,,,,8,11,,,,,,,3,6,1,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,3,1,5,5,1,4,8,,,,,,,,,,85284,31
33,4,4,4,4,4,4,3,4,3,3,3,3,3,3,4,4,3,9,4,4,4,G,C,4,3,4,6,,,,,,,,,,,,,5,9,9,3,9,9,3,9,9,9,9,K,B,9,3,4,3,3,4,3,9,3,3,3,3,4,4,2,4,4,4,4,9,3,4,O,R,L,0,,,,,,,,,3,2,7,1,5,8,9,,,,,,,,3,1,8,2,,,,,,3,6,,,,,,,3,2,2,2,2,1,2,3,1,1,1,2,1,2,,,,,,2,,,4,3,2,9,10,,,,,,,,,,85282,32
34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,D,A,5,2,3,4,5,,,,,,,,,,,,5,5,5,4,5,9,9,9,4,4,5,Z,,5,5,4,4,4,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,P,O,E,9,,,,,,,,,6,2,3,2,5,7,9,,,,,,,,0,,,9,,,,,,3,11,,,,,,,5,6,1,2,2,1,1,5,1,1,1,2,1,2,,,,,,2,,,4,4,1,8,10,,,,,,,,,,85283,33
35,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,3,G,C,4,14,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,A,B,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,C,H,E,0,,,,,,,,,7,5,6,1,5,,,,,,,,,,0,,,2,,,,,,3,9,,,,,,,3,3,1,2,2,1,2,3,1,1,2,2,2,2,,,,,,2,,,9,2,,,,,,,,,,,,,85282,34
36,4,4,5,2,4,4,4,3,4,4,4,3,4,4,2,4,4,4,4,4,4,A,F,4,3,4,11,14,14,,,,,,,,,,,4,5,3,3,4,4,3,3,4,3,4,K,F,3,2,4,4,4,4,4,4,4,4,4,2,4,4,5,4,5,5,4,5,4,4,B,L,,0,,,,,,,,,0,,,1,2,5,9,,,,,,,,5,5,1,2,,,,,,3,,,,,,,,5,6,1,1,2,1,1,3,1,1,1,2,1,9,,,,,ITALIAN AMERICAN    ,1,1,2,5,2,1,4,10,,,,,,,,,,85281,35
37,4,3,3,3,3,2,9,9,9,4,9,9,9,9,3,3,1,2,1,2,3,E,C,2,6,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,2,K,,9,3,3,9,9,9,3,9,2,2,3,4,4,4,4,4,5,4,5,2,9,9,T,I,J,0,,,,,,,,,0,,,5,7,9,,,,,,,,,7,10,5,2,,,,,,6,,,,,,,,5,7,2,2,2,1,2,3,1,1,2,2,2,2,,,,,,2,,,9,4,11,,,,,,,,,,,EVERYTHING IS FINE       ,85282,36
38,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,3,4,D,F,4,2,3,4,5,7,9,10,11,12,13,,,,,,4,3,4,4,4,4,4,4,4,4,3,A,C,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,V,P,A,0,,,,,,,,,0,,,5,,,,,,,,,,,5,2,3,1,5,5,5,5,3,7,,,,,,,,5,4,1,1,2,1,1,2,1,1,1,2,1,2,,,,,,1,2,3,5,5,6,8,10,,,,,,,,,,85282,37
