characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,490.6,28870.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,421.9,24499.0
otal - Hispanic,Female,Hispanjic,2001,307.7,17964.0
Total - Hispanic,Female,Hispanic,2002,9.2,192.0
Total - Hispanic,emale,Hispannic,2003,291.5,18359.0
Toatl - Hispanic,Female,Hispanic,2004,9.2,192.0
Total - Hispanic,Female,Hispanic,2005,9.2,192.0
Total - Hispanic,Female,Hispanic,2006,268.8,18967.0
Total - Hispanic,Female,Hispanic,2007,246.3,18011.0
Total Hispanic,Female,Hiaspanic,2008,9.2,192.0
Total - Hispanic,Female,Hispanic,2009,9.2,192.0
Total - Hispanic,eFmale,Hispanic,2010,203.0,15520.0
Total - Hispanic,emale,Hispanic,2011,180.9,13953.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,97.7,1509.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Total - Asian, non-Hispanic",Femvale,"Asian, non-Hispanic",2003,90.4,1459.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, nxon-Hispanic",2006,66.2,1153.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispaonic",2007,57.7,1033.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,38.4,727.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,29.9,565.0
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanisc",2005,9.2,192.0
"Totla - Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2006,9.2,192.0
"Total - Pacific Islander, non-Hispanic",eFmale,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Total - Pacfic Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,529.9,1982.0
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,439.9,1697.0
"Total - American Indian/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,436.2,1689.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,376.9,1443.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,337.2,1222.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,328.6,1175.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,611.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.2,905.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,1005.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.2,1272.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or omre races, non-Hispanic",2010,9.2,1311.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.2,1183.0
"White, non-Hispanic",Male,"White, non-Hispanic",2001,290.1,34083.0
"Whiute, non-Hispanic",Mae,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2003,258.3,30592.0
"White, non-Hispanic",Mlae,"White ,non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2006,226.3,26443.0
"White, non-Hispanic",Male,"White, non-Hispanic",2007,211.0,24429.0
"White, vnon-Hispanic",Male,"White, non-Hispanic",2008,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Mael,"White, non-Hispanic",2010,174.7,19176.0
"White,non-Hispanic",Male,"White, non-Hispanic",2011,152.9,16576.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2001,1279.7,35249.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-ispanic",2003,1087.5,31441.0
"Black, non-Hispanic",Mae,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,1069.0,32480.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,1018.1,31165.0
"Black, non-Hispanic",Male,"Black, onn-Hispanic",2008,9.2,192.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,9.2,192.0
"Black, non-Hispanic",ale,"Black, non-Hispanic",2010,852.5,25456.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,732.5,21615.0
Hispanic,ale,Hispanic,2001,519.7,15963.0
Hispanic,Male,Hispanic,2002,9.2,192.0
Hispanic,Male,Hispanic,2003,491.6,16212.0
Hispanic,Male,Hispanic,2004,9.2,192.0
Hispanic,Male,Hispanic,2005,9.2,192.0
Hispanic,Maloe,Hispanic,2006,454.9,16701.0
Hispanic,Male,Hispanic,2007,422.9,16060.0
Hispanic,Male,Hispanic,2008,9.2,192.0
Hispanic,Male,Hispanic,2009,9.2,192.0
Hispanic,Male,Hixspanic,2010,351.4,13865.0
Hispanic,Male,Hipanic,2011,311.9,12393.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,166.8,1317.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Male,"Aisan, non-Hispanic",2003,152.5,1261.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Mvale,"Asian, non-Hispanic",2005,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,114.5,1022.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,97.3,892.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,65.6,633.0
"Asian, non-Hispanic",ale,"Asian, non-Hispanic",2011,49.9,480.0
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispaic",Male,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanixc",Male,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islandoer, non-Hispanic",2005,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,9.2,192.0
"aPcific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Pacific Islander, non-Hispanic",Male,Pacific Islander non-Hispanic,2009,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Pacific Islander, nn-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"American Indian/Alaska Native, non-Hispanci",Male,"American Indian/Alaska Native, non-Hispanic",2001,849.6,1619.0
"AmericanIndian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,684.9,1346.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaka Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,636.1,1253.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,559.7,1090.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native,non-Hispanic",2010,494.9,912.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,485.7,883.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.2,458.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispnaic",2003,9.2,713.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispaniuc",2005,9.2,192.0
"Two or more races, non-Hispanic",yMale,"Two or more races, non-Hispanic",2006,9.2,791.0
"Two or more races, no-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.2,1037.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispainc",2009,9.2,192.0
"Two or more races, onn-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.2,1054.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,9.2,937.0
"White, non-Hispanic",Female,"White, non-Hispanic",2001,63.2,7053.0
"White, non-Hispanic",Female,"White, non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",emale,"White, non-Hispanic",2003,58.1,6519.0
"White, nonHispanic",Female,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Femiale,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2006,53.2,5900.0
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.0,4942.0
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2010,35.1,3665.0
"White, non-Hispavnic",Female,"White, non-Hispanic",2011,31.7,3264.0
"Black, non-Hispanic",Female,"Black, non-Hisapnic",2001,197.1,5293.0
"Blcak, non-Hispanic",Female,"Black, norn-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Feamle,"Black, non-Hispanic",2003,181.6,5096.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hispanic",gFemale,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanci",Female,"Black, non-Hispanic",2006,160.2,4732.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,139.2,4142.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.2,192.0
"Blcak, non-Hispanic",Female,"Black, non-Hispanic",2010,117.8,3414.0
"Black, non-Hispnic",Female,"Black, non-Hispanic",2011,101.0,2884.0
Hispanic,Female,Hispanic,2001,72.3,2001.0
Hispanic,Feale,Hispanic,2002,9.2,192.0
Hispanic,Female,Hispanic,2003,71.6,2147.0
Hispanic,Female,Hispanic,2004,9.2,192.0
Hispanic,Female,Hispanic,2005,9.2,192.0
Hispanic,sFemale,Hispanic,2006,66.9,2266.0
Hispanic,Female,Hispanic,2007,55.5,1951.0
Hispanic,Female,Hispanic,2008,9.2,192.0
Hispnaic,Female,Hispanic,2009,9.2,192.0
Hispanic,Female,Hispanic,2010,44.7,1655.0
Hispanic,Female,Hispanic,2011,41.7,1560.0
"Asian, non-Hispanci",Female,"Asian, nonHispanic",2001,25.5,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,25.2,198.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,192.0
"Asians, non-Hispanic",Female,"Asian, non-Hispanic",2006,15.4,131.0
"Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2007,16.2,141.0
"Asian, non-Hispaic",Female,"Asian, non-Hispanic",2008,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,10.1,94.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,9.2,85.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2006,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islaner, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Pacific Islander, non-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,197.9,363.0
"American Indian/Alaska Native, non-Hispanic",Female,"wAmerican Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indain/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,185.5,351.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"Amreican Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,229.2,436.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,187.6,353.0
"American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,174.0,310.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,166.1,292.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,153.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.2,214.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.2,235.0
"Two or more raes, non-Hispanic",Female,"Two or more racesr, non-Hispanic",2008,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Two orf more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,9.2,257.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,9.2,246.0
