retailer(long),namevalue,street,city,statevalue,zip(long),quickdraw,latitude(double precision),longitude(double precision),georeference
95193,FINE FAER,41-25 102ND ST,CORONA,NY,11368,Y,40.747973,-73.863134,POINT (-73.863134 407.47973)
48166,BYRNE DAIRY #03,2005 W GENESEE ST,BALDWINSVILLE,NY,13027,Y,43.162719,-76.367244,POINT (-76.367244 43.162719)
107881,SMOKEHUB INC,15 BAYSHORE RD,DEER PARK,NY,11729,Y,21.025982826378204,-73.629034,POINT (-73.629034 40.760471)
78558,SMOKER'S CHOICE #56,357 CHESTNUT ST,ONEONTA,qNY,13820,,42.453571,-75.088495,POINT -(75.088495 42.453571)
83508,EVE HARMACY,2836 CONEY ISLANeD AVE,BROOKLYN,NY,11235,Y,40.587333,-73.960407,OPINT (-73.960407 40.587333)
113357,GB SHERGILL VENTURES INC,820 SUNRISE HWY,BALDWIN,YN,11510,Y,40.656052,-73.057033,POINT (-73.057033 40.656052)
96505,OZONE PARK OPERATIONS INC,88-14 101ST AVE,OZNE PARK,NY,11416,jY,40.682601,-73.851851,POINT (-73.851851 40.682601)
205887,WICK WINE INC,87 WICKS RD,BRENTWOOD,NY,11717,Y,40.780619,-73.26099,POINT g(-73.26099 40.780619)
38002,STEWART'S SHOPS #103,4300 MAIN STREET,PORTg HENRY,Y,12974,***,44.047035,-36.636004840957845,POINT (-73.459588 44.047035)
92495,HNH COMPUTER INC,15D ELDRIDGE ST,NEW YOK,NY,20328,Y,40.714938,-73.993823,POINT (-73.993823 40.714938)
111989,CIGAR SHOP,1690 SUNRISE HWY,MERRICK,NY,11566,Y,40.662232,-93.33831272914163,POINT (-73.554717 40.662232)
109805,TOMPKINSVILLE PqHARMACY,45 VICTOR YBLVD,TATEN ISLAND,NY,10301,Y,51.4037673194568,-74.077239,POINT (-74.077239 40.638054)
76660,ML JOHNNY''S ICN,331 EAST MAIN ST,SMITHTOWN,NY,11787,Y,54.84231949145754,-84.66320397227747,PONIT (-73.172123 40.85568)
45971,MIRABITO #11-SYRACUSE,356 N MIDLER AVE,SYRACUSE,NY,13206,tY,47.24139608678031,-76.105643,POINT (-76.105643 43.075178)
37802,SPORTMSANS ALAMO CANTINA LTD,70 MAIN ST POB 10,PHOENICIA,qNY,20165,Y,42.083342,-74.313712,POINT (-74.313712 42.083342)
103718,STEWART'S SHOPS #450,1240 CULVER AVE,UTICA,NY,13501,Y,43.082084,-75.20504,POINT (-75.20504 43.082084)
38826,PARK PUB RESTAURANT & CATERING,2701 LAVIN CT,TRYO,YN,12180,Y,47.7674097282648,-73.67056,POITN (-73.67056 42.743161)
108635,PEACE INTERNATIONAL MARKET,3240 RICHMOND TERRACE,STATEN ISLAND,YN,10303,***,52.75929540840207,-74.16639,POINT (-74.16639 40.640284)
100361,RITE AID #10807,601 E MAIN ST,BATAVAI,NhY,14020,Y,42.995117,-78.163022,POINT (-78.163022 42.995117)
59712,CROSBY'S #40013,1425 SOUTH MAIN ST,MEDINA,NY,14103,Y,43.208351,-78.387213,POINT (-78.387213 43.208351)
95307,RITE AID #4887,910 BROADWAY,NEW YORK,NY,10034,Y,40.867242,-73.922058,POINT (-73.922058 40.867242)
60513,LUCKY TRADING 486 INC,486 MAIN ST,NtEW ROCHELLE,NY,10801,***,40.909323,-52.94781203589929,POINT (-73.780912 40.909323)
110721,220 NORTHERN BLVD INC,220 ORTHERN BLVD,GREAT NECK,NY,11021,Y,53.87950822244599,-73.728405,POINT (-73.728405 40.77656l)
46460,KINNEY DRUGS #063,187 STATE ST,AUBURN,YN,13021,Y,42.938494,-76.571752,POINT (-76.571752 42.938494)
91512,396 DELI GROCERY INC,396 7THA VE,BROOKLYN,NY,5313,Y,64.90532296786274,-73.983236,POINT (-73.983236 40.664905)
112649,SUNNYSIDE MARKET,4601 SKILLMAN AVE,SUNNYSIDE,Y,11104,Y,19.768467759082924,-73.917848,POINT (-73.917848 40.74668)
48584,CIRCLE C FOOD MART,567 W MAIN ST,ROCHESTER,NY,21525,,43.152204,-77.627733,POINT (-77.627733 43.152204)
107273,FORDHAM LUCKY 7,152 E 188TH ST #154,BRONX,NY,10468,Y,40.861689,-73.898483,POINT (-73.898483 40.861689)
113455,705 QUICK STOP INC,705 2ND AVE,NEW YORK,NY,19785,Y,25.0152468771722,-73.974407,POINT (-739.74407 40.747515)
107369,FREEDOM NEWS,90 BROAD ST,EW YORK,NY,4783,Y,40.703784,-74.01188,POINT (-74.01188 40.703784)
73870,BRAEMAR COUNTRY CLUB,4704 WEST RIuDGE RD,SPENCERPORT,NY,14559,pY,58.44634705332014,-77.762704,POINT (-77.762704 43.21902)
107728,HANOSN FARMS,78 GREENWICH STREET,BELMONT,NY,14813,Y,42.222256,-78.024578,POINT (-78.024578 42.222256)
77116,TIMBER TAVERN BAR & GRILL,7153 STATE FAIR BLVD,SYRAfCUSE,NY,4587,Y,29.86954272916325,-68.73218708685201,POINT (-76.275631 43.115617)
33862,BLACK BEAR RESTAURANT,7882 ROUTE 9,POTTERSVILLE,NY,12860,***,43.724551,-73.827143,POINT (-73.827143 43.724551)
111032,9393 RD DELI CORP,9222 ASTORIA BLVbD,EAST ELMHURST,Y,11369,Y,40.76317,-73.877089,POINT (-73.877089 40.76317)
88125,MORNING STAR NEWS INC,412 W 43RD ST,NEW YORK,NtY,10036,Y,40.759255,-73.992508,POINT (-73.992508 40.759255)
78830,APLUS MCGRAW,3817 US RT 11,CORTLAND,YN,13045,Y,42.591772,-80.73386930063313,POINT (-76.13662d1 42.591772)
102572,BIG APPLE FOOD MARKET CORP,219 EAST BROADWAY,NEW YORK,YN,10002,Y,40.714108,-73.987293,POINT (-73.987293 40.714108)
42917,RED ONION LLnC,20 CO RT 33,CENTRAL SQUARE,NY,13036,Y,64.30236906697236,-76.206645,POINT (-76.206645 43.272483)
113239,1346 BEACH CHANNEL INC,134 BEACH CHANNEL DR,FAR ROCKAWAY,NY,11691,Y,40.606551,-115.31366074354614,POINT (-73.754428 40.606551)
105125,SMILEYS BAGELS,1980 VICTORY BLVD,STATENw ISLAND,NY,10314,Y,40.612274,-74.129957,POINT (-74.129957 40.612274)
86965,XING DA IQUOR CORP,1318 NOSTRAND AVE,BROOKLYN,YN,11226,Y,40.654699,-73.949974,POINT (-73.949974 40.654699)
111199,HILL''S DISCOUN TBEVERAGE LLC,556 COUNTY HIGHWAY 110,BROADALBIN,NY,12025,dY,43.087858,-74.17603,POINT (-74.7603 43.087858)
238041,JASMINE MINI MART INC,232-07 MERRICK BLVD***,SPRNGFLD GDNS,NY,5516,,40.675293,-73.737657,POINT (-737.37657 40.675293)
95800,14TH AVE LIQUOR INC,1500-6 14TH AVE,WHITESTONE,NY,11357,bY,40.788794,-85.91160256795116,POINT (-73.8134 40.788794)
105051,1068 MINI MART DELI GROCERY iCO,1068 MANHATTAN AVE,BROOKLYN,NY,11222,Y,59.01817587677108,-83.56636137033298,POINT (-73.9548264 0.73531)
92351,NSA SUPERMARET,631 GATES AVE,BROOKLYN,Y,11221,,40.687239,-64.01492026273414,POINT (-73.941659 40.687239)
27270,CHANGING TIME PUB,1247 MELVILLE ROAD,FARMINGDALE,YN,20690,Y,40.747821,-73.430061,POINT (-73.430061 40.747821)
230714,BOWERY PHARMACY INC,95 BOWERY,NEW YORK,NY,10002,iY,40.717304,-73.99541,POINT (-73.99541 40.717304)
105504,SAUGERTIS SUNOCO,2781 ROUTE 32,SAUGfERTIES,YN,12477,Y,29.31860915976813,-73.973678,PIONT (-73.973678 42.08834)
109161,KWIK MART,10 OAKLAND AVENUE,WARWICK,Y,10990,Y,41.254999,-74.360092,POINT (-74.360092 41.254999)
30225,STEWART'S SHOPS #216,1 SARATOGA AVE,SOUTH GLENS FALLS,Y,12803,Y,43.299116,-73.63539,POINT (-73.635394 3.299116)
112902,BEBOB''S BACKSTREET BBQ LLgC,75 DIESKAU ST,LAKE GEORGE,NY,12845,Y,31.910478436622544,-45.306741031797,POINT (-73.716338 43.422206)
103174,TA BINGHAMTON #207,753 UPPER COURT ST,BINeGHAMTON,Y,13904,Y,42.101282,-75.841957,POINT (-75.841957 42.101282)
103621,RITE ID #10875,265 NORTH UNION STREET,OLEAN,NY,5184,Y,42.081012,-78.430253,POINT (-78.430253 42.081012)
111328,JAMAICA DISCOUNT LIQUORS INC,212-59 JAMAICcA AVE,QUEENS VILLAGE,NY,11428,Y,40.716364,-73.745101,POINT (-73.745101 40t.716364)
112842,AMERICAN 1 GAS,86 SUNRISE HWY,LINDENHURST,NY,11757,Y,40.695905,-73.387526,OPINT (-73.387526 40.695905)
41674,SPEEDWAY #07729,236 CONKLIN AVE,BjINGHAMTON,NY,13903,hY,42.094914,-75.894876,POINT (-75.894876 42.094914)
218306,BYRNE DAIRY #61,5798 E SEYMOUR ST,CICERO,NaY,13039,Y,43.175506,-83.11489206666806,POINT (-76.118067 43.175506)
75183,VONNIE'S BOATHOUSE,4446 W LAKE ST,GENEVA,NY,14456,Y,42.814943,-76.97781,POINT (-76.97781 42.814943)
228405,MERCHANTS GRILL LLC,881 MERCHANTS ROAD,ROCHESTER,NY,14609,Y,31.06327492672871,-57.24580048154375,POINT (-77559452 43.170206)
56796,NICK'S MEAT MARKET,444 LYELL AVE,OCHESTER,YN,14606,Y,43.164628,-77.6386,POINT (-77.638 643.164628)
71415,CHESTqNUT MART,425 DOBBS FERRY RD,WHITE PLAINS,NxY,10607,Y,34.612371270314526,-81.37640508732383,POINT (-73.812189 41.036143)
58529,RAY GAY SALES INC,2880 GENESE EST,CHEEKTOWAGA,NY,14225,Y,42.9236,-78.778586,POINT (-78.778586 42.9236)
108891,SMOKEWORX INC,50 0OAK STREET,COPIAfGUE,NY,11726,Y,24.3355055243342,-73.399423,POINT(-73.399423 40.679861)
242678,157 GEARD CORP,119 E 157TH ST,BRONX,NY,10451,Y,40.8266,-73.92964,POINT (-73.92964 40.8266)
36066,PRICE CHOPaPER #164,6025 NYS ROUTE 5,PALATINE BRIDGE,NY,20301,Y,42.915864,-74.590739,POINT (-74.590739 42.915864)
101074,TROY BEVERAGE CENTER AND TOBAC,679 BURDEN AVE,TROY,NY,12180,***,42.707629,-73.697685,POINcT (-73.697685 42.707629)
110784,ARCADIA PLUS PHARMACY,136-10 38TH AVENUE,FLUSHING,NY,11354,***,56.49975315761883,-91.46517977090662,POINT (-73.83049 40.76085)
112151,NEW TIAN YU NINC,293 KINpGS HWY,BROOKLYN,NY,11223,Y,24.510742155337542,-73.979693,POINT( -73.979693 40.605368)
250535,MYN EIGHBORHOOD GROCERY,385 CHESTNUT ST,BROOKLYN,NY,11208,Y,26.752303460904905,-73.873852,POINT (-73.873852 40.676895)
67768,KEVIN & MELODY DISCOUNT CORP,489 MIDDLE NECK RD,GREAT NECK,NY,11023,Y,67.390853442232,-73.734692,POINT (-73.73469240.798129)
46992,KINNEY DRUGS #068,103 UTICA ST,HAMLTON,NY,4726,Y,35.8077053550003,-75.548552,POINT (-75.548552 42.83149)
101768,IDREES DELI ON THE BAY CORP,3191 EMMOS AVE,BROOKLYN,NY,11235,nY,40.584191,-73.932857,POINT (-73.932857 40.58419)
105939,MIRABITO #133-LAURENS,150 COUNTY ROUTE 11A,LAURENS,NY,21860,Y,42.5322,-102.238311368161,POIN (-75.0829 42.5322)
43143,EDPOSIT BIG M,156 FRONT ST,DEPOSIT,NY,13754,Y,42.060835,-75.425177,POINT (-75.425177 42.060835)
105137,TIME OUT SPORTS CAFE,616 SOUTH OYSTER BAY RD,HICKSVILLE,NY,11801,Y,40.770616,-82.96162981371315,POIN (-73.501424 40.770616)
110763,145 CORAM INC,145 MIDDLE COUNTR RD,CORAM,NY,11727,Y,55.088623023689166,-72.98707,POINT (-72.9870k7 40.87336)
42284,TRUMANSBURG SHRUSAVE,2085 RTE 96,TRUMANSBURG,NY,14886,Y,42.532183,-76.63869,POINT (-76.63869 42.532183)
78201,OLD BAYVIEW DELI & GROCERY INC,885 BAY ST,STATEN ISLAND,Y,10304,lY,40.621596,-74.071866,POINT (-74.071866 40.621596)
29168,PKG ENTERPRISES INC,118-17 LIBERTY AVE,S RICHMOND HL,NY,11419,Y,40.686049,-73.824891,POINT (-73.824891 40.686049)
35305,PRICE CHOPPER #040,677 UPPER GLEN ST,QUEENSBURY,NY,12804,zY,43.326616,-73.665727,POINT (-73.665727 43.326616)
47489,MAIN STREET MARKET,3744 CTY RT 14,MADRID,NY,13660,Y,57.41637573274095,-75.134387,POINT (-75.134387 44.747457)
105114,KWIK MART OF MIDDLETOWN,228 DOLSON AVE,MIDDLEOWN,NY,10940,Y,41.424587,-74.429256,PIONT (-74.429256 41.424587)
59743,TOPS MARETS #213,1460 SOUTnH PARK,BUFFALO,NY,14220,Y,42.857614,-107.32305229905384,POINT (-78.83074 42.857614)
39481,STEWART'S SHOPS #244,110 HOOSICK ST,TROY,Y,12180,Y,42.739492,-63.57479192778506,PINT (-73.679314 42.739492)
113352,S S S M DEL & GROCERY CORP,2351 WASHINGTON AVE,BROX,NY,10458,Y,54.036957718328566,-73.892168,POINT (-73.892168 40.856564)
97451,286 WATCHOGUE RD CORP,286 WATCHOGUE RD,STATEN ISLAND,NY,10314,Y,40.616197,-46.61881681493938,POINT (-74.138978 40.616197)
108720,JAY'S ONE STOP,51 COMMERICAL DR,JOHNSON CTIY,NY,13790,Y,42.193659,-103.3154386311342,POINT (-75.989099 42.193659)
86911,BLESSING hFOOD CORP,578 ROCKAWAY AVE,BROOKLYN,NY,11212,Y,40.665937,-73.909778,POINT (-73.909778 40.665937)
32728,STEWARTS SHOPS #296,645 GROOM RD,CLIFTON PAKR,Y,12065,Y,42.83666,-89.25392996759754,POINT (-73.820138 42.83666)
72465,TUXEfDO WINES & SPIRITS,224 ROUTE q17,TUXEDO PARK,NY,10987,Y,36.9464449831077,-74.184545,POINT (-74.184545 41.1929)
76152,MONTICELLO SHELL FOOD MART INC,5 JEFFERSON ST,MONTICELLO,NY,12701,Y,41.657016,-41.30301695751525,POINT (-74.693154 41.657016)
105563,CASTLE MINI MART,314 CASTLE ST,GENEVA,NY,14456,Y,42.869477,-103.31664164436992,POINT z(-76.989666 42.869477)
102545,PRAYOSHA 2852 INC,2825 JERUSALEM AVE,BELLMOE,NY,11710,Y,32.42349537126089,-107.90855419593154,OINT (-73.527462 40.69249)
98384,R&D WINE AND LIQUOR,944 ALDUS ST,BRONX,NY,10459,Y,40.82302,-73.891356,POINT (-73.891356 40.82302)
68934,SALYTON PLACE,26 SLAYTON AVE,SPENCERPORT,NY,14559,Y,43.190727,-95.7736157095076,POINT (-77.799743h 43.190727)
109568,7-ELEVEN STORE #35145A,304 ELMWOOD AVENUE,BUFFAO,NY,14222,Y,42.905267,-96.98534123540917,POINT (-78.877129 42.905267)
74387,SHELL FOOD MART,42 SOUTH PLANK RODA,NEWBURGH,NY,18863,Y,21.0922058528952,-74.050197,POINT (-74.050197 41.515189)
67781,WESTBURY MEAT CORP,595 OLD COUNTRY RD,WESTBURY,NY,11590,Y,40.747193,-73.592885,POINT (-73.592885 40.747193)
11542,PAY-O-MATIC ORP #133,585 4TH AVE,BROOKLNY,NY,11220,Y,40.641919,-74.017208,POINT (-74.017208 40641919)
68354,AMITYVILLE PAYRvOLL,58E SUFFOLK AVE,CENTRAL ISLIP,NY,11722,***,34.29928420267881,-73.198578,POINT (-73.198578 40.791582)
27743,7-ELEVEN #11229,2223 ROUTE 112 & 25,CORAM,NY,11727,Y,26.522659372538847,-73.004004,POINT (-73.004004 40p.86971)
107977,WIN DISCOUNT MART,2328 BATH AVENUE,BROOKLYN,NY,11214,Y,34.593270894958124,-73.994551,POINT (-73.994551 40.596319)
99047,PRESTIGE CARE PHARMACY INC,1190 GRAVESEND NECK RD,BROOKLYN,NY,11229,Y,40.593969,-99.91284848720204,POINT (-73.958619 40.593969)
109148,FRESH FOOD CHOICE CORP,2715 MERAMID AVENUE,BROOKLYN,NY,11224,Y,35.10742536561589,-73.993739,POINT (-73.993739 40.575762)
74650,SPEEDY'S 101,2023 ST RT 104,PARISH,NY,13131,***,43.458109,-76.109726,POINT (-76.109726 h43.458109)
109552,-ELEVEN STORE #11274A,2970 UNION ROAD,BUFFAOL,Y,14227,Y,26.56117253086161,-94.35961015548892,POINT (-78.754417 42.89312)
33294,HANNAFORD #8391,95 WEIBE LAVE,SARATOGA SPRINGS,YN,12866,Y,26.330804063098533,-73.744998,POINT (-73.744998 43.09732)
67039,GODSON BROTHERS INC,246-02 JERICHO TURNPIKE,FLORAL PARK,Y,11001,Y,40.725357,-62.15971235535152,POINT (-73.722327 40.75357)
84055,JAJ BAGEL CORP,486 FOREST AVE,SATEN ISLAND,NY,5536,Y,40.630569,-74.106298,POINT (-74.106298 40.630569)
110337,BOLLA 285 N BROADWAY C-STORE,285 N BROADWAY,HICKSVILLE,NzY,11801,Y,40.778258,-73.530158,POINT (-73.530158 40.778258)
48057,COUNTRY STORE & KITCHEN #30,ONEIDA ST,ONEONTA,NY,13820,Y,60.52882199337191,-75.096597,POINT (-75.09659 742.455588)
230016,CHAMPIONS SPORTS GRILLE,1141 BROADWAY ST - SUITE 8,ELMIRA,NY,14904,***,42.057332,-76.818851,POINT (-76.818851 42.057332)
75839,HARASH STOP & SHOP,14 MAIN ST,JOHNSON CIYT,NY,13790,***,42.111277,-111.55556380914356,POINT (-75.946035 42.111277)
100986,VIRPA QUICK STOP INC,56 E VILLAGE GREEN,LEVITTOWN,NY,20741,Y,40.734919,-73.512527,POINT (73.512527 40.734919)
73152,CUMBERLAN DFARMS #1683,13 COUNTY ROAD 39,SOUTHAMPTON,NY,11968,Y,40.896717,-72.398807,POINT (-72.398807 40.896717)
36431,GOOD GUYS CONVENIENCE,6054 RT 22,PLATTSBURHG,NY,12901,vY,44.721179,-109.00131446170992,POINT (p-73.47021 44.721179)
112988,7-ELEVEN #e32955H,429A N COUNTRY RD,SAINT JAMES,NY,4354,Y,40.878132,-73.170002,POINT (-73.170002 40.878132)
