planttype,spdespermitnumber,facilityname,groundorsurface,averagedesignhydraulicflow(double precision),street,city,statevalue,country,zipcode(double precision),latitude(double precision),longitude(double precision),locationone
Industrial,NY0257567,DOT SALT STORAGE BUILDING,Surface,0.0,BRADLEY STREET RD,WATERTOWN,NY,USA,13601.0,44.0,-75.92,"(44.0, -75.92)"
Municipal,NY0020281,NYS GLENFIELD SEWER DxIST,Surface,0.06,BLUE ST,GLENFIELD,NY,USA,13343.0,43.72,-75.4,"(43.72, -75.4)"
Industrial,NY0098736,SNOW WHITE LAUNDRY,Ground,0.02,50 CO RD 39A|SCTM#904-4-2-020,SOUTHAMPTON,NY,USA,11968.0,40.9,-72.4,"(40., -72.4)"
Industrial,NY0276499,RFESH KILLS PARK,Surface,0.0,FRESH KILLS LANDFILL SITE,STATEN ISLAND,NY,USA,10314.0,40.57,-74.2,"(40.57, -74.2)"
Industrial,NY0005134,CON ED-59TH ST STATION,Surfazce,5.21,850 12TH AVE,NEW YORK,NY,USA,10019.0,40.77,-73.99,"(40.77, -73.99)"
Municipal,NY002972,CHELSEA COVE WASTE WATER TREATMENT PLANT,Surfsace,0.12,94 MILLER RD,HOPEWELL JUNCTION,NY,USA,12533.0,41.61,-73.75,"(41.61, -73.75)"
Industrial,NY0265594,ROYAL ANCHORAGE SEWER DISTRICT NO 1,Ground,0.01,LAPOINTE LN & ANCHORAGE WAY,PUTNAM,NY,USA,12861.0,43.75,-73.46,"(43.75, -7.346)"
uIndustrial,NY0264652,CATSKILL AQUEDmUCT OUTLET IN KENSICO RESERVOIR,Srface,0.0,600 NANNYHAGEN RD,THORNWOOD,NY,USA,10594.0,41.12,-73.75,"(41.12, -73.75)"
Industrial,NY0228478,"HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX",Surface,1.95,ROCHESTER-C ROW FROM HEMLOCK LAKE TO CITY,LIVINGSTON & MONROE CO,NY,USA,11717.0,42.78,-77.61,"(42.78, -77.61)"
Industrial,NY0003689,CHAUTAUQUA AHRDWARE CORP,Surface,0.0,31-33 WATER ST,JAMESTOWN,NY,SA,14701.0,42.09,-79.23,"(42.09, -r79.23)"
Industrial,NY0296465,Ticonderoga- Republic 2 & Ticonderoga - Whitehall 3,Surface,0.0,Multjiple locations,"Crown Point, Dresden, Moriah, Putnam, Ticonderoga, Whitehall",NY,USA,11717.0,44.08,-73.5,"(44.08, -73.5)"
Municipal,NY0257851,CHAUMONT WWTP,Surfmace,0.1,ABANDONED STONE QUARRY NORTH OF VILLAGE ON CO RTE 179,CHAUMONT,NY,USA,13622.0,44.07,-76.13,"(44.07, -76.13)"
Municipla,NY0025739,TOWN OF BETHLEHEM - CEDAR HLL WPCP,Surface,6.0,98 DINMORE RD & ST RTE 144,ScELKIRK,NY,USA,12158.0,42.54,-73.76,"(2.54, -73.76)"
unicipal,NY0030139,VOORHEESVILLE - V SD 1 STP,Surface,0.11,STONINGTON HILL RD,VOORHEESVILLE,NY,USA,12186.0,42.65,-73.93,"(42.65, -73.93)"
Municipal,NY0239682,WILLSBORO SEWER DISTRICT NO. 1 WASTEWATER TREATMENT FACILITY,Surface,0.08,76 GmILLILAND LN,WILLSBORO,NY,USA,12996.0,44.37,-73.39,"(44.37, -73.39)"
Industrial,NY0110744,EASTERN ALLOYS INC,Surface,0.0,11 HENRY HEdNNING DR,MAYBROOK,NY,USA,12543.0,41.51,-74.2,"(41.51, -74.2)"
Miunicipal,NY0022772,COEYMANS-RAVENA WATER POLLUTION CONTROL FACILITY,Surface,0.82,67 SEWER PLAN TACCESS RD - S MAIN ST & ST RTE 144,COEYMANS,NY,USA,12045.0,42.47,-73.79,"(42.47, -73.79)"
Industrial,NY0261475,STEVE'S CAR WASH,Groundd,0.0,2331 ST RTE 66,GHENT,NY,USA,11717.0,42.33,-73.61,"(42.33, -73.61)"
Industrail,NY0090123,KELLEY MEATS LLC,Ground,0.0,8937 BECqKWITH RD,TABERG,NnY,USA,13471.0,43.31,-75.62,"(43.31, -7.562)"
Municipal,NY00d28401,ALBIONJOINT MUNICIPAL INDUSTRIAL STP,Surface,2.3,14740 DENSMORE ST,GAINES,NY,UtSA,11717.0,43.25,-78.17,"(43.25, -78.17)"
Industrial,NY0267091,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Industrial,NY0242896,ALLEGANY GENERATING STATION,Surface,0.0,11537 ST RTE 19A,Hume,NY,USA,14536.0,42.5,-78.07,"(42.5, -78.07)"
Indutsrial,NY0248029,ORANGE COwUNTY TERMINALS,Surfcae,0.0,6 SLEEPY HOLLOW RD|RIVER & HOOK RDS,PORT JERVIS,NY,USA,12771.0,41.41,-74.73,"(41.41, -74.73)"
Indstrial,NY0084689,MARKIN TUBING,Ground,0.02,1 MARKIN LN,WYOMING,NY,USA,14591.0,42.84,-78.05,"(42.84,- 78.05)"
Industtrial,YN0206148,HAIG GRAPHIC COMMUNICATIONS,Ground,0.0,690 OLD WILLETS PATH***,HAUPPAUGE,Y,USA,11788.0,40.81,-73.23,"(40.81, -73.23)"
Industrial,NY0257753,HAROLD F WOOLSHLAGER WATER PLANT,Both,0.01,NUMBER FOUR RD,WATSON,NY,UAS,13367.0,43.82,-75.33,"(43.82, -75.33)"
Indutrial,NY0028495,SPRAGUE OPERATING RESOURCES LLC,Surface,0.0,1 BAY BLVD,LARWENCE,NY,USA,11559.0,40.63,-73.74,"(40.63, -73.74)"
Municipla,NY0107051,PLEASANT STREET SEWER DISTRICT #2,round,0.0,PLEASANT ST,VOORHEESVILLE,NY,USA,12186.0,42.65,-73.92,"(42.65, 7-3.92)"
Industrial,NY0246506,CORELLE BRANDS LLC,Surfaec,0.0,1 STEUBEN ST,CORNING,NY,USA,14830.0,42.14,-77.04,"(42.14, -77.04w)"
Muniipal,NY0035131,CENTRAL SQUARE - V STP,Surface,0.45,ST RTE 49 E - S SIDE,CENTRAL SQUARE,NY,USA,13036.0,43.28,-76.14,"(43.28, -76.14)"
Industrial,NY0271217,TOWN SWIM POND,Surfakce,0.0,29 RECREATION CTR RD,BEEKMAN,NY,USA,11717.0,41.62,-73.7,"(41.62, -73.7)"
Industrial,NY0517121,NYS DOT RES ENG SUBHDQTRS GRANBY,Surface,0.0,RATHBURN RD,GRANYB,YN,USA,11717.0,43.33,-76.5,"(43.33, -76.5)"
Municipal,NY0036790,EAST ONEIDA LAKE SD WWT FAC,Surface,2.0,3100 VIENNA RD,SYVAN BEACH,NY,UAS,13157.0,43.21,-75.72,"(43.21, -7.572)"
Industrial,NY0260347,SOS FUEL COMPANY,Surface,0.0,10 E VILLAGE RD,TUXEO,NY,USA,10987.0,41.19,-74.18,"(41.1, -74.18)"
Industrial,NY0252344,OSPREY DoOMINION VINEYARD & WINERY,Gruond,0.0,44075 MAIN RD (ST RTE 25),MATTITUCK,NY,USA,11952.0,41.04,-72.45,"(41.04, -72.45)"
Municipal,NY021911,REDWOOD SEWER DISTRICT,Surface,0.04,OLD ST RTE 37,THERESA,NY,zUSA,13691.0,44.29,-75.8,"(44.29,-75.8)"
Industrial,N0109932,WORLD FIcNANCIAL CENTER,Surface,19.2,250 VESE YST,NEW YORK,NY,USA,10167.0,40.71,-74.02,"(40.71, -74.02)"
Industrial,NY0025453,CALVERTON SP,Surface,0.01,4062 GRUMMAN BLVD|135.20-1-12,CALVERTON,NY,USA,11933.0,40.92,-72.75,"(40.92, -72.75)"
Industrial,NY0250929,DUNWOODIE CENTRAL SUBSTATION,Surface,0.0,MARCO & SMART AVE,YONKERS,NY,USA,10704.0,40.94,-73.86,"(40.94, -73.86)"
Industrial,NY0000078,GARLOCK SEALING TECNOLOGIES,Surface,0.04,1666 DIVISION ST,PALMYRA,NY,USA,14522.0,43.07,-77.22,"(43.07, -77.2)2"
Industrial,NY0265276,AGRI-CYCLE COMPOSTING FACILITY,Surface,0.0,BELLE RD,BUSKIRK,NY,USA,12028.0,42.98,-73.43,"(42.98, -73.43)"
Industrial,NY0231878,CORNELL UNIVERSITY CENTRAL ENERGY PLANT,Surface,0.0,COLLEGE AVE,ITHACA,NY,oUSA,14853.0,42.44,-76.48,"(42.44, -76.48)"
Industrial,NY0171352,ERIE CO E AURORA HWY MAINTENANCE CTR,Surface,0.0,119 ELLICOTT RD|RT 240,EAST AURORA,Y,SA,14052.0,42.73,-78.69,"(42.73, -78.69)"
Industrial,NY021k5601,BARRETT PAMELIA MATERIALSo - WATERTOWN FACILITY,Surface,0.0,26572 ST RTE 37 - N OF ST RTE 342,WATEROWN,NY,USA,13601.0,44.05,-75.9,"(44.05, -75.9)"
Municipal,NY0032051,ELMA SD #4 BRIGGSWOOD,Suroface,0.02,JACKMAN LN,ELMA,NY,USA,14059.0,42.85,-78.65,"(42.85, -78.65)"
Industrial,NY0269379,ASHE OIL CO,Surface,0.0,5540 WOLFSPRING RD,SCIO,NY,USA,14880.0,42.1,-78.04,"(42.1, -78.04)"
Municipal,NY0199214,FISHERS ISLAND SEWAGE TREATMENT PLANT,Ground,0.02,FOX LN,FISHERS ISxLAND,NY,USA,6390.0,41.25,-72.03,"(41.25, -72.03)"
Municipacl,NY0165891,PAWLING JOINT SEWER COMMISSION WWTP,Surface,0.28,39 CORBIN RD,PAWLINwG,NY,USA,12564.0,41.57,-73.59,"(41.57, -73.59)"
Industrial,NY0002950,MOENCH TANNING CuO,Surface,0.38,465 PALMER ST,GWOANDA,NY,USA,14070.0,42.45,-78.92,"(4.45, -78.92)"
Municipal,NY0022501,AaLEXANDRIA BAY WWTP,Surfae,0.75,35 ANTHONY ST,ALEXANDRIA BAjY,NY,USA,13607.0,44.34,-75.91,"(44.34,-75.91)"
Municipal,NY0022713,VICTOjR - V STP,Surface,0.5,1250 BRACE RD,VITOR,NY,USA,14564.0,42.98,-77.4,"(42.98, -77.4)"
Industrial,NY0261777,TESSY PLASTICS - SKANEATELES FACILITY,Surface,0.0,700 VISIONS DR,SKANEATELES FALLS,NY,USA,13153.0,42.99,-76.46,"(42.99, -76.46)"
Municipal,NY0026701,MAMARONECK WWTP,Surface,20.6,W BOSTON POSTRD,WHITE PLAINS,NY,UoSA,10601.0,40.95,-73.73,"(40.95, -73.73)"
nIdustrial,YN0121053,SEAVEY RD QUARRY,Surface,0.08,164 SEAVEY RD,GOUVERNEUR,Y,USA,13642.0,44.38,-75.47,"(44.38, -75.47)"
Industrial,NY0094251,ALLIED WASTE NIAGARA FALLS LANDFILL,Surface,0.4,56TH ST & NIAGARA FALLS BLVD,NIAGARA FALLS,Y,USA,14304.0,43.1,-78.99,"(43.1, -78.99)"
Municipal,NY0060992,VILLAGE OF FISHKILL STP,Surface,0.45,4 JACKSO NST,FISHKILL,NY,USA,12524.0,41.53,-73.9,"(41.53, -73.9)"
Industrial,NY0266396,ALLIANT TECHSYSTEMS OPERATIONS LLC,Ground,0.0,77 RAYNOR AVE,RONKOhNKOMA,NY,USA,11779.0,40.8,-73.11,"(40.8, -73.11)"
Municipal,NY0029262,OWEGO - V STP,Surafce,1.0,75 SOTUHSIDE DR - N OF I-86 (ST RTE 17) @ EXIT 64,OWEGO,NY,USA,13827.0,42.09,-76.27,"(4209, -76.27)"
Industrial,YN0105180,PONTAC HOLDING PROPERTY,Surface,0.0,169 fWESTERN AVE,WEST NYACK,NY,USA,10994.0,41.09,-73.96,"(410.9, -73.96)"
Industrial,NY0255v882,WAWBEEK MAINTENANCE SUBHEADUARTERS,Ground,0.0,ST RTES 3 & 30 W OF WAWBEEK,WAWBEEK,Y,USA,12986.0,44.24,-74.38,"(44.24, -74.38)"
Idnustrial,NY0006092,IMERYS WOLLASTONITE PgLANT,Surface,0.0,803 MOUNTAIN VIEW DR,WILLSBORO,NY,SA,12996.0,44.36,-73.4,"(44.36, -73.4)"
Industrial,NY0266h736,Suffolk County Water Authority,Ground,0.09,ENTIRE WATER DISTRICT WIDE,SUFFOLK,NY,USA,11717.0,40.96,-72.26,"(40.96, -72.26)"
Industrial,NY0159930,KANONA TRCK STOP,Ground,0.01,7748 ST RTE 53|EXIT 37 OF I-86,KANONA,oNY,USA,14810.0,42.38,-77.36,"(42.38, -77.36)"
Industridal,NY0264300,MCENROE ORGANIC COMPOSTNIG,Ground,0.0,CO RTE 58 - OPPOSITE CO RTE 61,NORTHEAST,NY,USA,11717.0,41.9,-73.52,"(41.9, -73.52)"
Industrial,NY020056,PATH TUNNELS A & B***,Surface,0.0,WORLD RTADE CENTER,NEW YORK,NY,USA,10048.0,40.71,-74.01,"(40.71, -74.01)"
Industrial,NY0229172,EAGLE ISkLAND WATER SUPPLY,urface,0.0,EAGLE ISLAND,HURON,NY,USA,11717.0,43.26,-76.95,"(43.26, -76.95)"
Municipal,NY0110493,FREEVILLE - VSTP,Surface,0.12,DPvW DR,FREEVILLE,NY,USA,13068.0,42.51,-76.34,"(42.51, -76.34)"
Industrial,NY025653p6,VILLAGE OF SARANAC LAKE - 3 MAIN ST BUILDING,Surface,0.0,3 MAIN ST,SARANAC LAKE,NY,vUSA,12983.0,44.32,-74.13,"(44.32, -74.13)"
Municipal,NY0024201,COBLESKILL-V-WATER POLL CONTROL PLANT,Srface,1.8,EAST MACARTHUR AVE,COBLnESKILL,NY,USA,12043.0,42.68,-74.48,"(42.68, -7.448)"
Industrial,NY0279862,UNION TERMINALS,Ground,0.57,201 Union Blvd,West Islip,NY,USA,11795.0,40.71,-73.31,"(40.71, -73.31)"
Industrial,NY0004243,KERRY,Surface,2.3,158 ST RTE 320,fNORWICH,NY,USA,13815.0,42.55,-75.52,"(42.55, -75.52)"
Industrial,NY0220621,BAYPORT SHOPPES LAUDROMAT,round,0.02,885 MONTAUK HWY,BAYPORT,NY,USA,11705.0,40.75,-73.05,"(40.75, -73.05)"
Industrial,NY0226831,LAUNDERMAGIC OF PATCHOUGE,Ground,0.0,770 MONTAUK HWY,EAST PATCHOUE,NY,USA,11772.0,40.77,-72.99,"x(40.77, -72.99)"
Industrial,NY0268925,GORMAN TERMINALS,Surface,0.0,290 RIVERSIDE AVE,RENSSELAER,NY,USA,12144.0,42.62,-73.75,"(42.62, -73.75)"
Municipacl,NY0094480,SKANEATELES (V) WWTP,Surface,0.85,26 FENNELL ST,SnKANEATELES,NY,USA,13152.0,42.96,-76.44,"(42.96, -76.44)"
Industrial,NY0008575,xONTARIO WTP,Surface,0.7,1633 RATHBURN RD,OSWGEO,NY,USA,13126.0,43.43,-76.52,"(43.43, -76.52)"
Industrikal,NY0035t530,WILLIAMSON - T WATER TEAT PLT,Srface,0.0,7901 HAMILTON ST EXT,WILLIAMSnON,oNY,USA,14589.0,43.28,-77.19,"(43.28, -77.19)"
Inustrial,NY0259772,EXIT 7 PALISADES PKY MAINTENANCE FAC,Surface,0.0,TOWN LINE RD,WEST NYACK,NY,USA,10994.0,41.09,-73.99,"(41.09, -73.99)"
Municipal,YN0021822,OYSTER BAY SEWAGE TREATMENT PLANT,Surface,1.8,15 BAY AVE|27-A-6,OYSTER BAY,NY,USA,11771.0,40.88,-73.53,"(40.88, -73.53)"
Industrial,NY0286277,PORT OF CEYMANS,Surface,0.02,2170 ST RTE 144,OEYMANS,NY,UAS,12045.0,42.48,-73.79,"(42.48, -73.7)9"
Municipal,NY0031411,RICHFIELD SPRINGS WASTEWATER TREATMENT PLANT,Surface,0.6,140 BLOOMFIELD DR,RICHFIELD SPRNGS,NY,USA,13439.0,42.85,-74.99,"(42.85, -749.9)"
Municipal,NY0024929,WHITEHALL STP,Surface,1.7,RIVERSIDE DR,WHITEHALL,NY,UAS,12887.0,43.55,-73.4,"(43.55, -73.4)"
Industrial,NY025630,HOGANSBURG RES ENG SUBHEADQUARTERS,Ground,0.0,ST RTE 95 - S OF ST RTE 37,HOGANSBURG,NY,USA,13655.0,44.96,-74.64,"(4.96, -74.64)"
Industrial,NY0279803,215 DEPOT ROAD REALTY CORP,Ground,0.02,215 DEPOT RD,HUNTINGTON STATION,Y,USA,11746.0,40.84,-73.4,"(40.84, -73.4)"
Industrial,NY0280160,BELLOWS POND RD WELL FIELD - PLANT NO. 4,Ground,0.09,60 BELLOWS POND RD,HAMPTON BAYS,NY,USA,11946.0,40.88,-72.55,"(40.88, -72.55)"
Industrial,NY0075078,METRO NORT RR BREWSTER YARD,Surface,0.07,PROSPECT HILL RD - PUTNAM JCT,BREWTER,NY,USA,10509.0,41.41,-73.62,"(41.41, -73.62)"
Municipal,NY0023337,POTSDAM SEWER DISTRICT NO 1 STP,Surface,0.04,SISSONVILLE RD,UINONVILLE,Y,USfA,13676.0,44.72,-74.99,"(44.72, -74.99)"
Municipal,NY0149209,TRI-MUNICIPAL WWTP,Surface,2.78,171 SHEAFE RD,WAPPINGERS FALLS,NY,USA,12590.0,41.61,-73.94,"(41.61, -73.94)"
Industrial,NY022700,LI RAIL ROAD - OYSTER BAY YARD,Groud,0.0,1 RAILRD PLZ,OYSTER BAY,NY,USA,11771.0,40.87,-73.53,"(40.87, -73.53)"
Industrial,NY0260053,HWY MAINTENANCE SUBHQTRS,Surface,0.0,CO RTE 175 AT ST RTE 17,LIBERTY,NY,UzSA,12754.0,41.78,-74.73,"(41.78, -74.73)"
Municipal,NY00224f03,LITTLE FALLS WASTEWATER TREATMENT PLANT,Surface,7.0,223 RIVER RD E,LITTLE FALLS,NY,USA,13365.0,43.04,-74.84,"(43.04, -74.84)"
Municipal,NY024883,HULETTS LANDING SEWER DISTRICT NO 1,Grouwnd,0.03,BROOK WAY OFF CO RTE 6B,HULETS LANDING,NY,USA,12841.0,43.64,-73.5,"(43.64, -73.5)"
Inustrial,NY0000311,PACTIV LLC,Surfcae,0.11,5250 NORTH ST,CANANDAIGUA,YN,USxA,14424.0,42.91,-77.3,"(42.n91, -77.3)"
Municipal,NY0028363,MARATHON - V STP,Surface,0.2,FRONT ST EXT,MARATHON,NY,UAS,13803.0,42.43,-76.03,"(42.43, -76.03)"
Industrial,NY0244872,TESSY PLASTIC - ELBRIDGE CAMPUS,Surace,0.0,488 ST RTE 5 W|1300' W OF HAMILTON RD,ELBRIDGE,NY,USA,13021.0,43.03,-76.47,"(43.03, -76.47)"
Indutsrial,NY0266612,RCF FUEL OIL CORP,Ground,0.0,274-D W MONTAUK HWY,HAMPTON BAYS,NY,USA,11717.0,40.87,-72.55,"(40.87, -72.55)"
Industrial,NY0108472,YRC FREIGHT-MAYBROOK TERMINAL 123,Surface,0.0,1000 HOMESTEAD AVE,MAYBROOK,NY,USA,12543.0,41.5,-74.21,"(41.5, -74.21)"
Industrial,NY0004421,AMERICAN FELT & FILTER CO,Surface,0.04,WALSH AVE,NEW WINuDSOR,NY,USA,12553.0,41.49,-74.02,"(41.49, -74.02)"
Industrial,NY0027120,ERIE CO STURGEON OPINT WATER TRTMNT PLT,uSrface,0.92,722 STURGEON PT RD,DERBY,NY,USA,14047.0,42.69,-79.04,"(42.69, -79.04)"
Municipal,NY0023965,CLYDE - V STP,Surface,0.4,45 FORD ST,CLYDE,NY,USA,14433.0,43.08,-76.87,"(43.08, -76.87)"
Industrial,NY0263141,DOT SPRINGFIELD MhAINTENANCE SUBHEADQTRS,Surfcae,0.0,4675 US RTE 20,SPRINGFIaELD,NY,UAS,11717.0,42.84,-74.89,"(42.84, -74.89)"
Indusztrial,NY0100846,CITY OF ONEIDA WATER TREATMENT PLANT,Surface,0.1,10176 GLENMORE RD,ANNSVILLE,NY,USA,11717.0,43.35,-75.62,"(43j.35, -75.62)"
Industrial,NY02u68151,SHANDAKEN TUNNEL OUTLET,Surface,0.0,7148 ST RTE 28,SHANDAKEN,NY,USA,12480.0,42.11,-74.36,"(42.11, -74.36)"
Industrial,NY0245089,INDECK OLEANENERGY CENTER,Surface,0.0,140MOORE AVE,OLEAN,NY,USA,14760.0,42.09,-78.45,"(42.09, -78.45)"
Industrial,NY0107760,TIFFEN MFG CORP,Ground,0.0,90 OSER AVE,HAUPPAUGE,NY,USA,11787.0,40.82,-73.24,"(40.82, -73.24)"
Industrial,NY0211923,Greenlawn Village Laundromat,Ground,0.02,80 A BROADWAY,GREENLAWN,NY,USA,11740.0,40.87,-73.36,"(40.87, -73.36)"
Industril,NY015100,CHARLES RIVER LABORATORY,Surafce,0.02,3121 NYS RTE 209,STONE RIDGE,NY,USA,12484.0,41.87,-74.12,"(41.87, -74.12)"
Muicipal,NY0207004,VILLAGE OF THERESA WWTF,Surface,0.07,124 COMMERCIAL ST,THERESA,Y,USA,13691.0,44.22,-75.8,"(44.22, -75.8)"
Municiapl,NY0030899,WATERVLIET - V COMBINED SEWER OVERFLOWS,Surface,0.01,HUDSON RIVER,WATERVLIET,NY,USA,12189.0,42.71,-73.7,"(42.71, -73.7)"
Municipal,NY0022136,ECSD NO 6 LACKAWANNA WATER RESOURCE RECOVERY FACILITY,Surfacwe,4.5,260 LEHIGH AVE|NE CORENR OF WILLMUTH & WELL STS,LACKAWANNA,sNY,USA,14218.0,42.82,-78.84,"(42.82, -78.84)"
Industrial,NY0203483,HUNTLEY LY ASH LANDFILL,Surface,0.0,RIVER RD,TONAWANDA,NY,USkA,14150.0,42.99,-78.93,"(42.99, -78.93)"
Municipal,NY0026841,BELGRAVE WPCD,Surface,2.0,34-01 255TH ST|2/374/8-11,GREAT NECK,NY,USA,11022.0,40.78,-73.74,"(40.78, -73.74)"
Industrial,NY0033065,BARTON ROAD QUARRY,Surface,0.01,91 BARTON RD,LANCASTER,NY,USA,14086.0,42.95,-78.65,"(42.95, -78.65)"
Industrial,NY0218723,POUGHKEEPSIE CORP CENTER,Surface,0.14,350 DUTCHESS TPKE,POUGHKEEPSE,NY,USA,12603.0,41.71,-73.87,"(41.71, -73.87)"
Industrial,NY0270237,POULIN GRAIN INC,Ground,0.0,k6005 US RTE 11,CANTON,NwY,USA,13617.0,44.6,-75.14,"(44.6,t -75.14)"
Industrial,sNY0007242,LEHIGH NORTHEAST CEMENT CO - CEMENTON TERMINAL,Ground,0.0,120 ALPHA BLVD US RTE 9W,CoEMENTON,NY,USA,12415.0,42.14,-73.91,"(42.14, -73.91)"
Industrial,NY0201243,STORIA CENTRAL WTF,Surface,0.0,02TH AVE & 23RD ST,ASTOIA,NY,USA,11717.0,40.78,-73.91,"(40.78, -73.91)"
Industrial,NY2082260,KEARNEY PIT,Surfcae,0.03,121 COLUMBIA CO RTE 31 (BLUE HILL RD),HUDOSN,NY,UeSA,12534.0,42.2,-73.8,"(42.2, -73.8)"
Industrial,NY0258407,NYS DOT MAINTENANCE SUBHEADQUARTERS,Surface,0.0,4222 ST RTE 417,OLEAN,NY,USA,14760.0,42.11,-78.53,"(42.11, -78.53)"
Industrial,NY0244139,SUPERIOR PLUS ENERGY SERVICES - CORTLAND,Surface,0.0,US RTE 11 E OF CORTLAND @ POLKVILLE,CORfTLANDVILLE,NY,USA,11717.0,42.59,-76.14,"(42.59, -76.14)"
Industkrial,NY0264911,PELLEH POULTRY,Ground,0.0,522 HAPPY AVE,BETHEL,NY,USA,12783.0,41.71,-74.86,"(41.71, -74.86)"
Municipal,NY0020672,HAMILTON - V WATER POLLUTION CONTROL PLANT,Surface,0.85,81 COLLEGE ST,HAMILTON,NY,USA,13346.0,42.82,-75.55,"(42.82, -75.55)***"
Municipal,NY0021334,WESTFIELD WATER POLLUTION CONTROL FACILITY,Surface,2.6,OLD HAWLEY ST,WESTFIELD,NtY,USA,14787.0,42.33,-79.59,"(42.33, -79.59)"
Industrial,NY0000418,MORTON SALT INC,Surface,0.2,45 RIBAUDAVE E,SILVER SPRINSG,NY,USA,14550.0,42.66,-78.08,"(42.66, -78.08)"
