yearvalue,statevalue,county,hai,facilityid(double precision),facilityname,hospitalcategoryriskadjustment,facilitytype,infectionsreported,infectionspredicted(double precision),patientdays(long)
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000044.0,"John Muir Medical Center, Concord Campus",Critical Access Hospital,Free-Standing Rehabilitation,0,0.05,2403
2020H1,California,Lake,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000019.0,Alta Bates Summit Medical Center,Critical Access Hospital,"Community, <125 Beds",0,0.07,3184
2020H1,California,Lassen,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000008.0,UCSF Benioff Children's Hospital Oakland,Critical Access Hospital,"Community, 125-250 Beds",0,0.04,1852
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,Enloe Rehabilitation Center,Acute Care Hospital,Free-Standing Rehabilitation,0,0.43,9037
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000005.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.02,1303
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000008.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,1,2.22,43134
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000014.0,"Kaiser Foundation Hospital, Oakland/Richmond",Long-Term Acute Care Hospital,"Community, <125 Beds",3,2.35,14380
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000012.0,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.96,18027
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000002.0,"Sutter Coast Hospital, Rehabilitation Unit",Acute Care Hospital,Major Teaching,3,3.03,36840
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000031.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.44,22981
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Rehabilitation Hospital or Unit,Major Teaching,0,0.26,13438
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000020.0,"John Muir Medical Center, Concord Campus",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,0,0.05,2407
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000013.0,Alta Bates Summit Medical Center,Critical Access Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,0,0.0,90
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000044.0,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,"Community, 125-250 Beds",1,0.34,9612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,4,1.43,32672
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000022.0,Alameda Hospital,Rehabilitation Hospital or Unit,"Community, <125 Beds",0,0.04,2222
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000034.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,Pediatric,1,2.01,54780
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000036.0,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,2,3.97,35705
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000038.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Crae Hospital,"Community, <125 Beds",0,0.3,5479
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000114.0,Sutter Coast Hospital,Acute Care Hospital,Critical Access,1,0.91,14888
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000040.0,Alameda Hospital,Acute Care oHspital,"Community, <125 Beds",0,0.17,7448
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000158.0,St Rose Hospital,Acute Care Hospital,Free-Standing Rehabilitation,0,0.01,336
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000053.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,2,0.45,10443
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000056.0,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,Acute CareHospital,"Community, <125 Beds",0,0.35,11188
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000070.0,Alameda Hospital,Acute Care Hospital,Critical Access,1,0.9,17610
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,"Community, >250 Beds",2,1.12,28751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000132.0,Providence Redwood Memorial Hospital,Rehabilitation Hospital or Unit,"Community, >250 Beds",0,0.03,1324
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,Free-Standing Rehabilitation,0,0.15,2762
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000054.0,"Kaiser Foundation Hospital, Oakland/Richmond",Rehabilitation Hospital or Unit,Major Teaching,0,0.03,1394
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,Free-Standing Rehabilitation,1,1.25,19769
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000058.0,Sutter Coast Hospital,Rehabilitation Hospital or Unit,Major Teaching,0,0.05,2751
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,St Rose Hospital,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,0,0.78,15429
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000093.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Rehabilitation Hospital or Unit,Major Teaching,0,0.03,1639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Critical Access,2,2.14,39221
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000068.0,"Kaiser Foundation Hospital, Oakland/Richmond",Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.05,2779
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000062.0,Washington Hospital,Acute Care Hospital,Free-Standing Rehabilitation,1,0.43,9296
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,Enloe Rehabilitation Center,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,1,1.42,22639
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000063.0,St Rose Hospital,Rehabilitation Hospital or Unit,"Community, 125-250 Beds",0,0.03,1475
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,Eden Medical Center,Acute Care Hospital,Critical Access,1,1.65,35730
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000065.0,"Kaiser Foundation Hospital, Antioch",Rehabilitation Hospital or Unit,"Community, 125-250 Beds",1,0.04,2357
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,Alameda Hospital,Acut eCare Hospital,"Community, >250 Beds",0,3.31,50432
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000026.0,San Ramon Regional Medical Center,Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,0.05,2612
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930001543.0,Alta Bates Summit Medical Center,Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,2,0.83,22849
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000074.0,Enloe Rehabilitation Center,Acute Care Hospital,Free-Standing Rehabilitation,1,2.18,39090
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000072.0,St Rose Hospital,Acute Care Hospital,Major Teaching,6,2.99,53345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000050.0,Eden Medical Center,Acute Care Hospital,Free-Standing Rehabilitation,0,1.18,19241
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000071.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,Major Teaching,3,1.29,25100
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000076.0,Alta Bates Summit Medical Center,Acute Cre Hospital,"Community, >250 Beds",0,0.75,21409
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000290.0,Sutter Coast Hospital,Acute Care Hospital,Major Teaching,1,0.83,18045
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,0,1.25,16245
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000912.0,UCSF Benioff Children's Hospital Oakland,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.01,345
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000033.0,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,Long-Term Acute Care Hospital,"Community, <125 Beds",3,2.0,14998
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000144.0,Providence Redwood Memorial Hospital,Long-Term Acute Care Hospital,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3,1.79,13237
2020H1,California,Los Angeles,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),930000089.0,"John Muir Medical Center, Walnut Creek Campus, Rehabilitation Unit",Long-Term Acute Care Hospital,Pediatric,1,1.09,8746
