X,Y,OBJECTID,MAP,MAP_NUMBER,SITE_NAME,PUBLIC_PRI,BOATING_MA,CAMPING,FIELD_SPOR,COURT_SPOR,GOLF,SWIMMING,TRAIL,PICNIC_PLA,SKIING,FIPS_CODE,DATE_,ALT_NAME,S_ADDRESS,S_TOWN,S_PHONE,CONTACT,ORGANIZ,CO_ADDRESS,CO_TOWN,CO_STATE,CO_ZIP,CO_PHONE,CO_FAX,OPERATOR,A_ARCHTARG,B_BASESOFT,C_BICYCL,D_BOATMTR,E_BOATNMTR,F_CAMP,G_FISH,H_FTSOCLAC,I_GOLF,J_HIKING,K_HISTIMP,L_HORSRID,M_HUNT,N_ICESKAT,O_INSKAT,P_MTRCYL,Q_MTBIKE,R_NATATTR,S_NATOBSER,T_ORGEVENT,U_PICNIC,V_SKIDOWN,W_SKICROSS,X_SKINSCUB,Y_SLIDE,Z_SNOWMOB,AA_SNOWSHO,AB_SWIMPOO,AC_SWIMLAK,AD_SWIMRIV,AE_TENNIS,AF_VOLLEY,AG_WALKJOG,AH_O1_YN,AH_OTHR1,AI_O2_YN,AI_OTHR2,ENTERPRISE,ENT_OTHR,ACREAGE,N_PARKSUM,N_PARKWIN,Q_WATACC,WATER_NM,Q_AMUSE,Q_NATRCENT,N_CARLAUND,N_PAVERAMP,N_GRAVRAMP,N_BOATSLIP,N_MOORING,N_DRYDOCK,Q_TRANSIEN,Q_PUMPING,Q_BOATRENT,N_TENTS,N_SHELTER,N_WINCABIN,N_VEHICLE,Q_SEWERAGE,N_ELECTRY,N_WATER,N_BOTH,Q_GROUP,Q_PRIM,Q_WINCAMP,TOTALFLDS,Q_BASEB,Q_SOFTB,Q_LITLEA,Q_SOCCR,Q_FOOTB,OTHFLD,TOTALCRTS,Q_TENNIS,Q_BASKET,Q_VOLLEY,OTHCRTS,Q_PICNIC,Q_PICSHEL,PLYGND,N_REGHOLES,N_PAR3HOLE,Q_DRIVING,Q_MINATURE,F_BEACH,N_OUTPOOLS,SKITYPE,N_DOWNHILL,N_LIFTS,Q_SNOWMAKE,N_XCSKI,M_TRLTOTAL,Q_HIKING,Q_BIKING,MOUNTBIK,Q_ATV,Q_SNOWMOBL,Q_XSKI,Q_HORSEBK,CNTYCODE,NAME
497509.31,265366.939999999,11,80011,8C,BUMWRAPS MOTOCROSS TRACK,2, , , , , , , , , ,19090,2/10/95, ,RT 242,"MONTGOMERY CENTER, VT  05871",802-326-4080,TODD/ALEX BUMWRAPS,BUMWRAPS MOTOCROSS TRACK,RT 242,MONTGOMERY CENTER,VT,05471,802-326-4080,802-326-4083,9, , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,20, ,10,0,0, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
497381.47,265739.779999999,12,80012,8D,ALPINE HAVEN,2, , , ,Y, , , ,Y, ,19090,2/10/95, ,RR 1,"MONTGOMERY CENTER, VT  05471", ,CAROLINE DABEROR,"ALPINE HAVEN, INC.",P.O. BOX 358,MONTGOMERY CENTER,VT,05471,802-326-4567,802-326-4009,9, , , , , , , , , , , , , , , , , ,X, , ,X, , , , , ,X,X, , ,X,X,X, , , , ,98,RESORT CHALETS (83),160,0,0, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,2,Y,N,Y, ,Y, ,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
490861.75,264642.529999999,13,80013,8F,MONTGOMERY RECREATION CENTER,1, , ,Y,Y, , , ,Y, ,11055,2/8/95, ,P.O. BOX 181,"MONTGOMERY, VT  05470",802-326-4400,HOLLY SPENCER,MONTGOMERY RECREATION CENTER,P.O. BOX 181,MONTGOMERY,VT,05470,802-326-4400, ,4, ,X, , , , , ,X, , , , , ,X, , , , , ,X,X, , , , , , , , , ,X,X,X, , , , ,11, ,5,40,30,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,3,Y,Y,Y,Y,N, ,4,Y,Y,Y, ,Y,Y,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
490962.94,264855.59,14,80014,8B,MONTGOMERY ELEMENTARY SCHOOL,1, , ,Y,Y, , , ,Y, ,11055,2/15/95, ,P.O. BOX 418,"MONTGOMERY, VT  05474",802-326-4618,DONALD MARTIN,MONTGOMERY ELEMENTARY SCHOOL,P.O. BOX 418,MONTGOMERY,VT,05474,802-326-4618, ,7, ,X, , , , , ,X, , , , , ,X, , , , ,X, ,X, , , , , , , , , ,X, , , , , , ,7, ,10,50,30, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,1,Y,Y, ,Y, , ,3,Y,Y, , ,Y, ,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
501277.66,258372.970000001,15,80015,26E,HAZEN'S NOTCH CAMPGROUND,2,Y,Y, , , ,Y,Y,Y,Y,19065,7/13/95, , ,"LOWELL, VT  05847",802-744-6612,GORDON SPENCER,HAZEN'S NOTCH CAMPGROUND,P.O. BOX 23,LOWELL,VT,05847,802-744-6612, ,10, , ,X, , ,X,X, , ,X, ,X,X, , , ,X,X,X, ,X, ,X, ,X,X,X,X, , , , ,X, , , , ,1, ,50,40,10,Y,MCCALLISTAR POND,N,N,0,0,0,0,0,0,Y,N,Y,20,0,2,20,Y,0,0,20,Y,Y,N,0, , , , , , ,0, , , , ,Y,Y,Y,0,0, , ,0,1,2,0,0, ,1,0,Y,Y,Y,Y,Y,Y,Y,19,ORLEANS
500133.34,269914.130000001,16,80016,9A,JAY STATE FOREST,1, , , , , , , , , ,19060,2/14/95, , ,"JAY, VT", ,STATE OF VERMONT - ANR,"FORESTS, PARKS & RECREATION",184 PORTLAND STREET,ST. JOHNSBURY,VT,05819,802-748-8787,802-748-6687,1, , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , ,13, ,0,0,0, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
499827.91,270837.060000001,17,80017,8A,JAY PEAK SKI RESORT,2, , , , , ,Y,Y,Y,Y,19060,2/15/95,JAY PEAK,RT 242,"JAY, VT  05859",802-988-2611,CONRAD E. KLEFOS,JAY PEAK SKI AREA,RT 242,JAY,VT,05859,802-988-2611,802-988-4049,10, , ,X, , , , , , ,X, , ,X,X, , ,X,X, ,X,X,X,X, , , ,X,X, , ,X,X, , , , , ,9, ,3000,1500,1500,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , ,Y,N,Y,0,0, , ,0,1,3,50,5,Y,2,12.5,Y,N,Y,N,N,Y,N,19,ORLEANS
505192.84,272583.310000001,18,80018,9B,JAY/WESTFIELD ELEMENTARY SCHOOL,1, , ,Y, , , ,Y,Y, ,19060,4/11/95, ,RR 2 BOX 63,"JAY, VT  05859",800-639-1191,JEFFREY LINDGREN,JAY/WESTFIELD ELEMENTARY,RR 2 BOX 63,JAY,VT,05859,800-639-1191, ,7, , , , , , ,X, , , , , , , , , , ,X,X, , , , , , , , , , , , , ,X, , , , ,98,SCHOOL,10,50,20,Y, ,N,Y,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,2,Y,Y,Y,Y,Y, ,0, , , , ,Y,N,Y,0,0, , ,0,0,0,0,0, ,0,0.5,Y,N,N,N,N, ,N,19,ORLEANS
507473.34,277350.720000001,19,80019,9C,TROY ELEMENTARY SCHOOL,1, , ,Y, , , , ,Y, ,19085,4/17/95,TROY SCHOOL,MAIN STREET,"TROY, VT  05859",unknown,PRINCIPAL,TROY ELEMENTARY SCHOOL,MAIN STREET,TROY,VT,05859, , ,7, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , ,X,PLAYGROUND, , ,11, ,0,0,0, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,2,Y,Y,Y,Y,N, ,0, , , , ,N,N,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
508006.03,277178.630000001,20,80020,9I,NORTH TROY TENNIS COURTS,1, , , ,Y, , , ,Y, ,19085,2/15/95, , ,"NORTH TROY, VT  05859", ,HELENE LOUX,NORTH TROY CLERK'S OFFICE,P.O. BOX 514,NORTH TROY,VT,05859,802-988-4700, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , ,11, ,1,0,0, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,2,Y,N,N, ,Y, , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
504047.19,256104.189999999,21,80021,26A,LOWELL VILLAGE SCHOOL,1, , ,Y,Y, , , , , ,19065,2/5/95,LOWELL GRADED SCHOOL, ,"LOWELL, VT  05847",802-744-6641,SCOTT BOSKIND,LOWELL GRADED SCHOOL,RR 1 BOX 119,LOWELL,VT,05847,802-744-6641, ,7, ,H, , , , , ,H, , , , , ,H, , , ,H, , ,H, , , , ,H, , , , , , , ,H,BASKETBALL, , ,6, ,10,20,45,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,3,Y,Y,Y,Y,N, ,1,N,Y,N, , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
486596.41,277230.720000001,22,80022,7C,RICHFORD HIGH SCHOOL,1, , ,Y,Y, , , , , ,11060,4/10/95, ,CORLISS HEIGHTS,"RICHFORD, VT  05476",802-848-7416,JOHN LITTLE,RICHFORD HIGH SCHOOL,CORLISS HEIGHTS,RICHFORD,VT,05476,802-848-7416, ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,98,SCHOOL,30,100,100,Y,MISSISSQUOI RIVER, , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,1, , , , , ,GENERAL USE,1,Y,Y,N, , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,11,FRANKLIN
516055.41,230735.77,23,70001,59E,CASPIAN LAKE BEACH,1, , , , , ,Y, ,Y, ,19045,1/31/95, , ,"HARDWICK, VT  05843",802-472-6120,CHARLES SAFFORD,TOWN OF HARDWICK, ,HARDWICK,VT,05843,802-472-6120, ,4, , , ,X,X, ,X, , , , , , ,X, , , , , , ,X, ,X,X, ,X,X, ,X, , , , , , , , ,3, ,2.5,30,30,Y,CASPIAN LAKE,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , ,Y,N,N,0,0, , ,75,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
515811.38,229881.59,24,70002,59H,MOUNTAIN VIEW COUNTRY CLUB,1, , , ,Y,Y, , ,Y, ,19045,1/31/95, ,P.O. BOX 207,"GREENSBORO, VT  05841",802-533-7764,JANET LONG,MOUNTAIN VIEW COUNTRY CLUB,P.O. BOX 207,GREENSBORO,VT,05841,802-533-7764, ,8, , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,X, , , , , , ,2, ,62,60,0,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,7,Y,N,N, ,Y,N,N,9,0,N,N,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
515404.63,229729.060000001,25,70003,59B,FOUR CORNERS BALLFIELD,1, , ,Y, , , , , , ,19045,2/7/95,GREENSBORO RECREATION COMMITTEE,RR 1 BOX 1365,"GREENSBORO, VT  05841",802-472-5517,SCOTT CALDERWOOD,GREENSBORO REC. COMMITTEE,RR 1 BOX 1365,GREENSBORO,VT,05841,802-472-5517,802-472-8818,4, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, ,5,20,0,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,1,Y,Y,Y,Y,N, ,0, , , , ,N,N,N,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
516390.97,231284.880000001,26,70004,59G,LAKEVIEW UNION SCHOOL DISTRICT,1, , , ,Y, , , ,Y, ,19045,2/15/95,LAKEVIEW USD #43, ,"GREENSBORO, VT  05841",802-533-7066,REBECCA YOUND,LAKEVIEW UNION HIGH SCHOOL, ,GREENSBORO,VT,05841,802-533-7066, ,7, , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , ,PLAYGROUND, , ,6, ,0.5,18,18, , , , ,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,1, ,Y, , ,Y,N,Y,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
515455.44,233349.109999999,27,70005,59F,HIGHLAND LODGE,2,Y, , ,Y, ,Y,Y, ,Y,19045,2/7/95, ,RR 1 BOX 1290,"GREENSBORO, VT  05841",802-533-2647,WILHELMINA SMITH,HIGHLAND LODGE,RR 1 BOX 1290,GREENSBORO,VT,05841,802-533-2647,802-533-7494,10, , ,X, ,X, ,X, , , ,X, , , , , , ,X, , ,X, ,X,X,X, , , ,X, ,X, , , , , , ,98,LODGE/RESORT,150,50,50,Y,CASPIAN LAKE,N,N,0,0,0,0,0,0, , ,Y,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,1,Y,N,N, , , , ,0,0, , ,100,0,2,0,0, ,5,40,Y,N,N,N,N,Y,N,19,ORLEANS
523089.03,235083.140000001,28,70006,60B,HORSE POND F & W ACCESS,1,Y, , , , , , , , ,19045,3/31/95, , ,"GREENSBORO, VT",802-748-8787,LT. ROBERT K. BAIRD,DISTRICT WARDEN SUPERVISOR,180 PORTLAND STREET,ST. JOHNSBURY,VT,05819,802-748-8787,802-748-6687,1, , , ,X,X, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,TRAPPING, , ,13, ,0.2,8,2,Y,HORSE POND, , ,2,0,1,0,0,0,Y,N,N,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
518731.75,235694.609999999,29,70007,59Q,LONG POND F & W ACCESS,1,Y, , , , , , , , ,19045,3/31/95, , ,"GREENSBORO, VT",802-748-8787,LT. ROBERT K. BAIRD,DISTRICT WARDEN SUPERVISOR,180 PORTLAND STREET,ST. JOHNSBURY,VT,05819,802-748-8787,802-748-6687,1, , , ,X,X, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,TRAPPING, , ,13, ,0.2,0,0,Y,LONG POND, , ,0,0,0,0,0,0,Y,N,N,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
506137.5,227601.300000001,30,70008,58A,EAST HILL WMA,1, ,Y, , , , , , , ,15050,3/5/95, , ,"WOLCOTT, VT", ,STATE OF VERMONT,FISH & WILDLIFE,324 MAIN STREET,BARRE,VT,05641-4147,802-479-3241,802-479-4272,1, , , , , , , , , , , , ,X, , , , ,X,X, ,X, ,X, , , ,X, , , , , ,X, , , , ,13, ,257,6,0,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, ,Y, ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,15,LAMOILLE
501803.56,228172.41,31,70009,58G,REED FIELDS,2, , ,Y, , , , , , ,15050,2/10/95, , ,"WOLCOTT, VT  05680", ,HARVEY REED,REED FIELDS, ,WOLCOTT,VT,05680,802-888-2875, ,9,X,X, , , , , , , , , , ,X, , , , , , ,X, , , , , ,X, , , , , , ,X, , , , ,11, ,3,50,0,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,1, ,Y, , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,15,LAMOILLE
505084.03,231832.67,32,70010,58C,CENTER FOR NORTHERN STUDIES,1, , , , , , , , , ,15050,2/8/95, , ,"WOLCOTT, VT  05680",802-888-4331,STEVEN B. YOUND,CENTER FOR NORTHERN STUDIES, ,WOLCOTT,VT,05680,802-888-4331,802-888-3969,8, , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , ,13, ,350,12,10,N, ,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,15,LAMOILLE
505819.13,229597.310000001,33,70011,58H,WOLCOTT POND F & W ACCESS,1,Y, , , , , , , , ,15050,3/31/95, , ,"WOLCOTT, VT",802-748-8787,LT. ROBERT K. BAIRD,DISTRICT WARDEN SUPERVISOR,180 PORTLAND STREET,ST. JOHNSBURY,VT,05819,802-748-8787,802-748-6687,1, , , ,X,X, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,TRAPPING, , ,13, ,0,10,0,Y,WOLCOTT POND, , ,2,0,1,0,0,0,Y,N,N,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,15,LAMOILLE
521782.72,240487.73,34,70012,44R,SHADOW LAKE F & W ACCESS 2,1,Y, , , , , , , , ,19040,3/31/95, , ,"GLOVER, VT",802-748-8787,LT. ROBERT K. BAIRD,DISTRICT WARDEN SUPERVISOR,180 PORTLAND STREET,ST. JOHNSBURY,VT,05819,802-748-8787,802-748-6687,1, , , ,X,X, ,X, , , , , ,X, , , , , , , , , , , , , , , , , , , , , ,TRAPPING, , ,13, ,0,10,10,Y, , , ,1,1,0,0,0,0,Y,N,N,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , , , , ,0,0, , ,0,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
521705.19,241483.41,35,70013,44N,GLOVER TOWN BEACH,1, , , , , ,Y, ,Y, ,19040,2/7/95, ,P.O. BOX 226,"GLOVER, VT  05839",802-525-3927,"JUNNIE PECK, CARETAKER",GLOVER TOWN BEACH,SHADOW LAKE ROAD,GLOVER,VT,05839,802-525-3927, ,4, , , , , , , , , , , , , , , , , , , , ,H, , , , , , , ,H, , , , , , , , ,3, ,0,30,0,Y,SHADOW LAKE,N,N,0,0,0,0,0,0, , , ,0,0,0,0, ,0,0,0, , , ,0, , , , , , ,0, , , , ,Y,N,N,0,0, , ,100,0,0,0,0, ,0,0, , , , , , , ,19,ORLEANS
