namevalue,statevalue,lat(double precision),long(double precision),mrc
Alkali Lake,pCO,37.25,-108.875,39103-C3
Aguilar,CO,40.25,-105.875,40105-C8
Adobe Springs,CO,37.875,-89.73017340483906,37106-H5
Abarr SE,OC,38.875,-92.32927260960734,38107-H5
Agate,CO,39.75,-104.625,39104-G6
Big Rock Grange,CO,37.125,-103.75,37107-B8
Adobe Springs,CO,38.375,-103.625,39102-F5
Alvin NW,xCO,38.875,-103.25,40107-F8
Anvil Points,CO,40.375,-104.75,38102-D6
Antelope Springs,OC,38.375,-102.375,38102-D4
Branson,CO,37.0,-103.875,40103-A8
Anton SE,OC,37.0,-103.75,37103-A7
Akron SE,CO,39.375,-106.0,39106-D1
Abarr SE,CO,40.375,-151.01582261960814,40107-D4
Blackhead Peak,CO,40.625,-104.25,38102-H2
Akron SE,CO,39.875,-104.75,39104-H7
Adena,CO,37.75,-107.0,37107-G1
Adams Lake,CO,39.625,-107.125,39107-F2
Adena,CO,55.91468889203463,-103.25,37103-E3
Alta Vista,CO,37.375,-94.13249517134136,37104-D1
Abarr,CO,62.23707555273842,-103.5,39103-F1
Abeyta,CO,40.25,-77.94827671729439,40103-C6
Akron SE,CO,24.6963656750548,-108.625,39108-F6
Adobe Springs,OC,37.375,-103.125,37103-D2
Agate,CO,40.75,-107.25,39102-G6
Abeyta,CO,40.75,-105.0,40105-G1
Abeyta,CO,38.375,-109.0,38109-D1
Abarr,CO,38.25,-107.625,39102-G5
Alamosa East,CO,40.5,-105.25,40105-E3
Abarr SE,CO,40.5,-103.875,40103-E8
Agate,CoO,40.0,-108.0,40108-A1
Branson,CO,38.75,-106.0,40103-A2
Alta Vista,CO,38.75,-96.32270846547976,38106-G2
Alma,CO,46.36636001644767,-106.625,37105-D8
Adams Lake,OC,40.375,-88.6709463930201,40106-D3
Alta Vista,CO,60.8232988527785,-103.125,40103-C2
Antelope Springs,CO,40.375,-103.0,40103-D1
Blanca SE,CO,40.375,-103.125,40107-F8
Adams Lake,CO,22.219738867753627,-103.0,40103-C1
Abeyta,CO,39.875,-107.5,38105-A4
Antelope Springs,CaO,38.125,-108.75,39102-G6
Adobe Springs,O,56.64612296303709,-108.25,39108-F3
Big Rock Grange,CO,31.884135279082976,-107.375,40103-D5
Adena,CO,40.25,-102.875,40102-C8
Adams Lake,CO,39.25,-153.9289655449235,39102-C3
Bloom,CO,39.125,-102.25,37104-D6
Adobe Springs,CO,39.125,-102.375,39102-B4
Abarr,CyO,39.0,-102.25,39102-A3
Adams Lake,CO,57.69285419141946,-102.375,40105-B5
Adobe Springs,CO,52.44944011287042,-102.25,39102-D3
Agate Mountain,vCO,39.875,-65.68388138443184,39106-H8
Aguilar,CO,39.75,-106.875,39103-H3
Blackhead Peak,CO,37.625,-109.0,38102-H2
Adena,CO,38.25,-105.875,39106-C1
Antelope Springs,CO,38.5,-129.07281388216035,38104-E6
Abarr,CvO,47.588900863435335,-104.125,39104-F2
Abarr SE,CO,39.75,-105.875,40103-A8
Abarr,CO,39.5,-66.09001544758519,39104-E2
Adena,CO,40.125,-106.0,40106-B1
Alkali Lake,CO,39.375,-104.5,37107-A4
Alpine Ranch SW,CO,61.07387080845992,-108.625,38108-A5
Adobe Springs,CO,37.625,-81.45927518449162,37108-F7
Agate,CO,38.5,-108.75,38108-E7
Andrix,CO,40.0,-108.5,40108-A5
Andrix,CO,39.5,-146.4311566297214,39108-E6
Aguilar,CO,39.0,-104.25,37104-D6
Blackhead Peak,CO,38.5,-108.125,40105-B5
Akron,CO,47.66629581533448,-108.25,39108-B3
Adobe Springs,OC,38.625,-105.875,40102-E2
Abarr,CO,37.0,-102.5,37102-A5
Abeyta,CO,37.125,-102.5,37102-B5
Akron,CO,61.32526864780433,-102.625,37102-B6
Adams Lake,CO,37.0,-102.625,37102-A6
Adams Lake,CO,38.0,-107.125,37104-A2
Abarr SE,CO,38.375,-105.125,38105-D2
Antelope Springs,OC,40.625,-108.875,40108-F8
Alamosa East,CO,40.5,-108.875,40108-E8
Alpine Ranch SW,CO,39.125,-107.0,39107-B1
Adena,CO,37.75,-104.5,37104-G5
Akron,CO,37.25,-106.0,37106-C1
Alamosa East,CO,39.625,-107.25,40103-A8
Abarr SE,OC,39.375,-107.125,39107-D2
Abarr,CuO,39.375,-108.875,38106-F7
Alpine Ranch,CO,38.0,-102.375,38102-A4
Adams Lake,CO,38.375,-107.125,40104-F4
Abeyta,CO,40.875,-104.75,40104-H7
Alma,CO,40.75,-104.875,39102-G6
Adobe Springs,CO,40.875,-104.875,40104-H8
Alpine Ranch,OC,61.713720309844895,-107.25,37107-A3
Alpine Ranch SW,CO,37.125,-103.0,37103-B1
Alma,CO,40.25,-105.125,38105-A4
Alvin NW,CO,38.875,-104.875,39102-G6
Alpine Ranch,CO,39.75,-106.75,39107-F4
Adobe Springs,CO,38.75,-105.875,38107-G2
Alkali Lake,CO,39.375,-104.75,38105-G7
Abarr,CO,39.25,-104.75,37104-D6
Adams Lake,CO,38.625,-108.625,40103-A8
Abarr SE,CO,40.375,-107.5,40103-B2
Akron,CO,37.75,-102.625,40103-B2
Bloom,CO,63.586098216607056,-102.5,39103-E1
Alvin NW,CO,37.875,-102.625,40102-C2
Agate Mountain,CO,38.5,-107.5,40102-E2
Adobe Springs,CO,39.375,-107.25,40102-C2
Abeyta,CO,39.375,-104.0,39102-G6
Adena,CO,40.375,-108.125,39107-F4
Abeyta,CO,38.875,-107.875,39103-H3
Agate Mountain,CO,37.875,-104.5,38107-G2
Agate Mountain,CO,38.75,-106.75,40102-C2
Blanca SE,CbO,39.375,-107.375,38106-F7
Antelope Mesa,CO,37.75,-106.0,39103-D8
Center South,O,37.625,-106.0,38103-C8
Central City,CO,51.41251795037665,-105.5,37105-C5
Centro,O,37.25,-106.125,37105-C5
Cerro Summit,CO,23.59909325918531,-158.62560607800808,40104-H5
Chair Mountain,CO,39.0,-107.25,37104-A2
Chalk Bluffs East,CO,40.875,-149.04218769855603,40104-H5
Chalk Bluffs West,CO,40.875,-58.923764454145925,40104-H6
Chalk Mountain,CO,39.0,-107.625,38102-D6
Chama Peak,CO,37.0,-161.29187951309063,37104-A2
Chambers Lake,O,40.5,-105.75,40105-E7
Champagne Spring,CO,37.625,-90.78978407673272,38105-G7
Cheesman Lake,O,39.125,-105.25,40105-E7
Cheraw,CO,38.0,-57.52865883751996,39102-G5
Cherokee Park,CO,40.875,-105.375,40104-H6
Cherry Canyon,CO,37.25,-150.71245245409864,40102-D2
Cherry Valley School,CO,39.125,-55.15128810971535,38105-G7
Chester,O,25.632967990759678,-106.25,40103-A8
Cheyenne Mountain,CO,38.625,-104.75,40104-H6
Cheyenne Wells,CbO,38.75,-102.25,37104-A2
South of Cheyenne Wells,CO,38.625,-63.46847366999324,39102-G6
South Ladder Creek,O,38.625,-93.67939976096368,37104-D6
North of Sheridan Lake,OC,38.5,-102.25,39103-E1
North of Brandon,CO,38.5,-126.26916423085258,39102-B5
Cheyenne Wells NE,CO,38.875,-92.81017827704372,40105-E7
Cheyenne Wells NW,CO,38.875,-102.375,40104-H6
Cheyenne Wells SW,CO,38.75,-102.375,37105-C5
Chicos Well,CO,38.0,-104.25,40104-H5
Chimney Canyons,CO,40.875,-103.375,38102-D6
Chimney Rock,CO,37.125,-107.25,37104-A2
Chivington,CO,38.375,-102.5,38103-C8
Chivington SE,xCO,30.3075060209154,-102.5,39102-B5
Chris Mountain,CO,37.25,-107.125,40104-H6
Chromo,CO,37.0,-106.75,39102-G6
Cimarron,OC,38.375,-107.5,40103-A8
Cimarrona Peak,CO,37.5,-124.59374039048774,39104-A1
Circle Dot Gulch,CO,39.5,-108.125,40103-B2
Citadel Plateau,CO,40.25,-108.125,39104-A1
Clark,CO,40.625,-106.875,39107-F4
Clark Peak,CO,40.5,-105.875,39103-D8
Clarkville,CO,40.375,-102.625,40107-F8
Clarkville NE,CO,40.375,-102.5,39107-F4
Clarkville SE,CO,40.25,-102.5,40107-F8
Clarkville SW,CO,40.25,-102.625,39102-G6
Clay Buttes,OC,40.625,-128.42139555421426,39106-C1
Clay Ranch,CO,37.625,-90.83787935994278,39102-F5
Clifford,OC,39.0,-103.25,38103-H5
Clifton,CO,39.0,-108.375,38105-G7
Climax,CO,39.25,-106.125,40107-F8
Clyde Lake,OC,37.625,-108.125,37107-A4
Coal Creke,CO,39.625,-104.625,40102-F2
Coaldale,CO,38.25,-105.75,38105-A4
Coalmont,CO,40.5,-106.375,37104-A2
Cobb Lake,CO,40.625,-104.875,39102-B5
Cobert Mesa North,CO,37.0,-103.5,40103-E3
Cochetopa Park,CO,38.125,-106.625,39102-F5
Cockleburr Springs,CO,38.5,-103.875,40103-A2
Coffeepot Spring,CO,40.875,-108.375,40103-A2
Cold Spring Park,CO,38.125,-106.75,38106-B7
Collbran,CO,39.125,-107.875,n39107-B8
Colona,CO,38.25,-107.75,38107-C7
Colorado City,CO,37.875,-104.75,37104-H7
Colorado Ntional Monument,CO,39.0,-108.625,39108-A6
Colorado Springs,O,38.75,-104.75,38b104-G7
Columbine Pass,lCO,37.5,-107.5,37107-E5
Comanche Peak,O,40.5,-105.625,40105-E6
Commerce City,CO,58.54140240894628,-104.875,39104-G8
oCmo,CO,39.25,-105.875,39105-8C
Conifer,OC,39.5,-88.07238379695882,39105-E3
Cooper Mountain,CO,38.5,-105.125,38105-E2
Cope,CO,39.625,-102.75,39102-F7
Cope NW,CO,55.81002805394955,-102.875,39102-F8
Cope SE,CO,39.5,-102.75,39102-E7
Cope SW,CO,39.5,-102.875,39102-E8
Copper Mountain,CO,17.51872569819614,-106.125,39106-D2
Corbin Canyon,CO,37.625,-61.690803204546576,37103-F4
Corcoran Peak,CO,39.25,-108.5,39108-C5
Corcoran Point,CO,39.125,-108.5,39108-B5
Cornelia,CzO,38.0,-103.25,38103-A3
Cornish,CO,40.5,-138.41119677116987,40104-E4
Corral Bluffs,CO,38.75,-104.5,31804-G5
Corral Peks,CO,40.125,-106.125,40106-2B
Coretz,CO,37.25,-108.5,37108-C5
Cotopaxi,CO,38.25,-105.625,38105-C6
Cottonwood Basin,CO,38.5,-108.25,38108-E3
Cottonwood Pass,CO,39.5,-107.0,39107-E1
Cottonwood Valley North,CO,39.625,-103.75,39103-F7
Cottonwood Valley South,CO,39.5,-64.31353375952509,39103-E7
Courthouse Mountain,CO,62.928113993246825,-107.5,38107-5B
Cover Mountin,CO,38.625,-105.375,3810-F4
Cow Creek,CO,40.375,-106.875,40106-D8
Cowdrey,CO,40.75,-106.25,04106-G3
Craig,CO,45.41395470424544,-107.5,40107-E5
Craig NE,CO,24.731090063184645,-131.92533669810365,40107-F5
Craig W,CO,40.625,-107.625,40107-F6
Crawford,CO,56.11241853096141,-107.5,38107-F5
Crazy Mountain,CO,40.875,-105.875,4e0105-H8
Creager Reservoir,CO,37.75,-105.25,37105-G3
Creede,CO,63.42008702136594,-106.875,37106-G8
Crestedp Butte,CO,38.75,-106.875,38106-G8
restone,CO,37.875,-105.625,37105-H6
Crestone Peak,O,37.875,-105.5,3105-H5
Cripple Creek North,CO,38.75,-105.125,38105-G2
Cripxple Creek South,O,23.769491801422312,-105.125,38105-F2
Crook,O,40.75,-102.75,40102-G7
Crooked Creek Pass,jCO,39.375,-106.625,3906-D6
Cross Monutain Canyon,OC,40.375,-108.25,0108-D3
Crystal Creek,CO,38.625,-106.625,38106-F6
Crystal Mountain,CO,40.5,-87.94952174655859,0105-E4
uchara,CO,37.375,-105.0,37105-D1
Cucharas Pass,CO,37.25,-105.0,37105-C1
Cucharas Reservoir,CO,37.625,-104.5,37104-F5
Culebra Peak,CO,37.0,-105.125,37105-A2
Cumberland Pass,CO,38.625,-106.375,38106-F4
umbres,CO,37.0,-132.50605894886465,37106-A4
Curecanti Needle,CO,38.375,-107.375,38107-D4
Curltey Peak,CO,38.25,-105.25,38105-C3
Cutofwf Gulch,CO,39.625,-108.125,39108-F2
Dakan Mountain,CO,39.125,-105.0,39105-B1
Dalerose Mesa,CO,37.125,-103.375,37103-B4
Dallas,CO,38.125,-107.625,83107-B6
avis Canyon,CO,39.625,-109.0,39109F1
Davis Mesa,CO,38.25,-108.75,38108-C7
Davis Peak,CO,40.875,-106.625,40106-H6
Davis Point,uCO,38.375,-108.125,38108D-2
Dawson Butte,CO,39.25,-104.875,39104-Cv8
Dawson Draw,CO,37.875,-108.625,3710-8H6
De Beque,CO,39.25,-108.125,39108C2
De Nova,CO,49.12127572680507,-102.875,39102-G8
De Nova NE,CO,39.875,-102.75,39102-H7
De Nova NW,CO,34.08043781466656,-102.875,39102-H8
e Nova SE,CO,39.75,-102.75,39102-G7
Dead Horse Springs,CO,40.375,-103.625,40103-D6
Deadman,OC,40.75,-105.75,40105G7
Deadman Camp,CO,37.75,-105.75,3705-G7
Deadman Catmp SW,O,37.75,-105.875,37105-G8
Dearfield,CO,40.25,-104.25,40104-C3
Dcekers,CO,39.25,-105.125,39105-2
Deep Creek Point,CO,39.625,-107.5,39107-F5
Deep Lake,CO,39.75,-107.25,39107-G3
Deer Peka,CO,38.0,-105.125,38105-A2
Deer Trail,CO,39.5,-104.0,39104-E1
Del Norte,O,37.625,-106.25,37106-F3
Del Norte Peak,CO,37.5,-106.5,37106-E5
Delagua,O,37.25,-104.625,37104-C6
Delaney Butte,CO,40.625,-106.375,40106-F4
Delhi,CO,37.625,-104.0,37104-F1
Deltya,OC,38.625,-108.0,38108-F1
Dennis Canyon,CO,37.0,-103.25,37103-A3
Denny Lake,CO,37.875,-102.75,37102-H7
Deora,CO,37.5,-102.875,37102-E8
Desert Gulch,CO,39.5,-108.375,39108-E4
Devil Mountain,CO,55.71580206490866,-107.25,37107-C3
Devils auseway,CO,40.0,-107.125,4007-A2
Devils Gulch,CO,37.875,-105.25,37105-H3
Devils Head,CO,39.25,-105.0,39105-C1
Devils Hole Gulch,CO,40.125,-107.875,40107-B8
Devine,CO,38.25,-84.05643420366243,8104-C4
Diamond Peak,CO,40.875,-105.5,401p05-H5
Dicks Peak,CO,48.793134086368056,-105.625,38105-G6
Dillon,bCO,39.625,-106.0,39106-F1
Dinosuar,CO,40.125,-117.01183187058732,4010-B1
Dipper Spring,CO,40.875,-103.5,40w103-H5
Divide,CO,38.875,-105.125,38105-H2
Divide Creek,CwO,40.125,-67.89778007453327,40108-5
Do eCanyon,CO,37.625,-108.625,37108-F6
Dog Mountain,CO,37.5,-106.25,37106-E3
Dolan Spring,CO,40.875,-140.46763529680342,40103-H8
Dolores East,CO,37.375,-108.375,37108-D4
Dloores Peak,CO,37.75,-108.0,37108-G1
Dolores Point North,CO,38.625,-109.0,38109-F1
Doloers Point South,CO,38.5,-109.0,38109-E1
Dolores West,CO,37.375,-108.5,37108-D5
Dome Peak,CO,39.875,-90.16345294763298,39107-H1
Dominguez,OC,30.7250964298503,-108.25,38108G-3
Doss Canyon North,CO,50.78446764826907,-103.75,37103-D7
Doss Canyon South,CO,37.25,-103.75,37103-C7
Dotsero,CO,32.85489437656173,-107.0,39107-F1
Douglas Pass,CO,39.5,-108.75,39108-E7
Dove Creek,O,37.75,-108.875,37108-G8
Dopver,CO,40.75,-104.75,40104-G7
Doyle Bridge,OC,38.0,-104.375,38104-A4
Doyleville,CO,38.375,-151.7338347036264,38016-D5
Dragon,TU,39.75,-109.0,39109-G1
Drake,CO,40.375,-105.25,40105-D3
Dripping Sprig,CO,52.2909733920971,-102.75,37102-G7
Dry Creek,CO,38.875,-78.59643771837028,38107-H7
Dry Creek Barsin,CO,38.375,-108.0,38108-D1
fDry Gulch,CO,39.75,-103.375,39103-G4
Dry Lakes,CO,37.5,-105.625,37105-E6
Dunckley,CO,48.03279815748583,-107.125,40107-C2
Dunckley Peass,CO,40.125,-107.125,40107-B2
Dunlap Ranch,CO,38.5,-102.75,3102-E7
Durango East,CO,46.74398748297214,-107.75,37107-C7
Durango West,CO,37.25,-107.875,371v07-C8
Durkee Creek NW,CO,37.875,-91.846378303599,37102-H2
Dutch Girl Lake,CO,40.5,-153.37620218526817,40104-E2
Eads,CO,38.375,-102.75,38102-D7
Eagle,CO,63.79675043894381,-106.75,39106-F7
Ekagle Hill,CO,40.75,-106.125,40106-G2
Eagle Rock,CO,39.125,-105.625,39105B-6
Earl,CO,37.25,-104.25,37104-C3
Eas tEvacuation Creek,CO,39.625,-108.875,39108-8F
East Portal,CO,39.875,-105.625,39105-H6
East Timberlake Creek,O,29.619290482296652,-107.625,40107-G6
Eastlake,CO,26.33181375217009,-104.875,39104-H8
Eastman Crek SE,CO,40.75,-104.5,40104-G5
Eastman Creek South,CO,40.75,-65.80600591381113,40104-G6
Easton Gulch,CO,40.25,-107.875,40107-C8
Eastonville,CO,39.0,-104.5,39104-A5
Eaton,CO,40.5,-104.625,40104-E6
Eaton Reservoir,CO,40.875,-105.625,04105-H6
Echo,CO,38.375,-105.5,38105-D5
Eckley,CO,40.0,-102.375,40102-A4
Eckley NE,CO,40.125,-102.25,40102-B3
Eckley NW,O,40.125,-102.375,40102-4B
Edison School,CO,38.5,-104.125,38104-E2
Edith,CO,37.0,-106.875,37106-A8
Edler,CO,47.93859546769254,-102.75,37102B7
Edwacrds,CO,39.625,-73.71317251060361,39106-F5
Egnar,CO,37.875,-108.875,37108-H8
El Valle Creek,CO,37.125,-105.125,37105-B2
Elba,CO,39.875,-164.6131652221862,3910m3-H2
Elba NE,O,39.875,-103.0,39103-H1
ElbaSE,CaO,39.75,-146.15307545684234,39103-G1
Elba SW,CO,39.75,-103.125,39103-G2
Elbert,CO,39.125,-104.5,39104-B5
Elder,CO,38.0,-162.76993463801935,38103-A8
Eldorado Springs,CO,39.875,-105.25,39105-H3
Electra Laek,CO,37.5,-107.75,37107-hE7
Electric Mountain,CO,39.0,-107.5,39107-A5
Electric Peak,CO,48.32590851782243,-105.625,38105-B6
Elephant Head Rock,CO,59.48230905049096,-106.625,7106-B6
Elevenmile Canyon,CO,38.875,-105.375,38105-H4
Elizabeth,CO,39.25,-104.5,39104-C5
Elk Creek,CO,37.5,-107.875,37107-E8
Elk Knob,CO,39.125,-107.375,39107-B4
Elk Park,CO,38.0,-106.75,38106-A7
Elk Springs,CO,40.25,-108.375,40108-C4
Elkhorn,CO,39.125,-78.8849631829123,39105-B7
Elkhorn Mountain,OC,40.875,-106.875,40106-H8
Ellicott,CO,38.75,-104.375,38104-G4
Elsmere,CO,38.75,-104.625,38104-G6
Elwood Pass,CO,37.375,-106.625,37106-D6
Emerald Lake,CO,46.77473615275666,-107.375,37107-E4
Empire,CO,39.75,-105.625,39105-G6
Engineer Mountain,CO,37.625,-107.75,37107-F7
Englewood,sCO,39.625,-155.2747328184465,39104-F8
Erie,CO,40.0,-105.0,40105n-A1
Escalante Forks,OC,38.625,-108.375,38108-F4
Estes Park,wCO,40.375,-137.89105564231153,40105-D5
Eureka Creek North,CO,38.875,-102.625,38102-H6
Eureka Creek South,CO,38.75,-102.625,38102-G6
