dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
0M402,THEURBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,***,s,s,s
03M403,THE GLOBAL LEARNING COLLABORATIVE,s,s,hs,s
03M404,INNOVATION DIPLOMA PLUS,12,416,403,81
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
03M417,FRANK MCCOURT HIGH SCHOOL,s,s,s,s
03M470,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,58
03M479,BEACON HIGH SCHOOL,261,577,575,592
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,420
03M494,HIGH SCHOOL OF ARTS AND TECHNLOOGY,75,4v33,433,411
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,39,351
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
03M577,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,***,xs
03lM860,FREDERCK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,39,361
04409,COALITION CHOOL FOR SOCIAL CHANGE,48,34,357,373
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
04M495,PARK EAST HIGH SCHOOL,51,733,379,376
04M555,CENTRAL PRK EAST HIGH SCHOOL,73,405,41,395
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,42,446,448
04M635,ACADEMY OF ENViIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,375
04M680,"HERITAGES CHOOL, THE",31,358,351,345
05M285,HARLEM RENAISSANCE HIGH SCHOOL,9,357,318,333
05M304,MOTT HALL HIGHSCHOOL,54,431,399,398
05M362,"COLUMBIASECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,es
05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,345,366,342
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
05M469,CHOIR ACADEMY OF HARLEM,20,354,360,385
05M499,FREDERICK DOUGLASS ACADEMY,241,458,474,42
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIALCHANGE,66,396,402,404
05M685,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
o06M293,CITY COLLEGE ACADEMY OF THE ARTS,60,408,446,416
06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,55,326,76,367
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,70,380,395,399
06M423,HIGH SCHOOL FOR EXCELLENCaE AND INNOVATION,s,s,ys,s
06M457,GEORGE WASHINGTON YABC,7,394,357,346
06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES AND FINANCE,7a6,365,384,378
06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,63,369,380,439
06M467,HIGH SCHOO LFOR LAW AND PUBLIC SERVICE,94,363,378,361
06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,24,400,422,402
06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,282,430,546,423
06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,56,339,349,236
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,65,364,378,348
07X321,CROTONA ACADEMY HIGH SCHOOL,9,3o79,364,382
07X334,INTERNATONAL COMMUNITY HIGH SCHOOL,34,310,324,311
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s,***,s,s
07X381,BRONX HAVEN HIGH SCHOOL,,s,s,s
07X427,COMMUNIY SCHOOL FOR SOCIAL JUSTICE,43,361,359,357
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,63,351,75,371
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,79,403,394,404
07X500,HOSTOSsLINCOLN ACADEMY OF SCIENCE,66,420,426,411
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64,k399,36,391
70X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,62,362,387,363
07X547,NEW EXPLORERS HIGH SCHOOL,82,367,356,361
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,44,387,41,383
07X551,BRONX ACADEMY OF LETTERS,51,413,31,407
07Xk600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,76,94,00,364
07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,47,398,416,370
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,114,363,68,364
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,s,s,s,s
08X282,WOMEN'S ACADEMY OF EXCELLENCE,44,407,386,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,52,384,385,389
08X25,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,41,416,390,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,67,337,361,340
08X312,MILLENNIUM ART ACADEMY,6c7,387,402,375
8X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,39,63,371,350
08X367,"ARCHIMEDES ACADEjMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s,s
0X377,BRONX COMMUNITY HIGH SCHOOL,9,37,369,76
08X405,HERBERT H. LEHMAN HIGH SCHOOL,415,12,436,393
08X408,HERBERT H. LEHMAN YABC,6,402,373,413
l08X432,BRONX BRIDGES HIGH SgCHOOL,s,s,s,s
08X452,BRONX GUILD,39,639,71,365
08X507,STEVENSON YABC,s,s,s,s
08Xe519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",g68,373,370,356
08X530,BANANA KELLY HIGH SCHOOL,5g4,373,381,377
08X537,BRONX ARENA HIGH SCHOOL,s,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,16,366***,400,368
80X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,z9,404,368,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,78,377,359,76
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,39,324,376,349
09Xg231,EAGLE ACDAEMY FOR YOUNG MEN,78,373,837,74
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",33,372,355,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",80,411,464,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,05,393,394,82
09X252,MOTT HALL BRONX HIGH SCHOOL,67,369,376,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,81,459,480,457
09X263,VALIDUS PREPARATORY ACADEMaY: AN EXPEDITIONARY LEARNING SCHOOL,74,356,363,e356
09X2b76,LEADERSHIP INSTITUTE,30,3s61,353,367
09X27,MORRIS ACAEDMY FOR COLLABORATIVE STUDIES,8,86,386,376
09X324,BRONX EARLY COLLEG ACADEMY FOR TEACHING & LEARNING,s,***,s,
09X329,DREAMYARD PREPARATORY SCHOOL,15,382,365,391
09eX365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,54,315,339,297
09X403,BRONX INTERNATIONAL HIGH SCHOOL,49,314,312,339
09X404,SCHOxOL FOR EXCELLENCE,32,363,360,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,34,356,376,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,64,400,419,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,35,379,36t4,379
09505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",80,404,418,402
09X517,FREDERICK DOUGLASS ACADEMY IIISECONDARY SCHOOL,50,368,384,369
09kX525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,114,384,394,388***
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,27,353,351,71
10X141,RIVERDALE /f KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),113,438,455,440***
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,86,373,412,36u5
10X25,THEATRE ARTS PRODUCTION COMPANY SCHOOL,59,405,391,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",79,382,393,382
10X243,WEST BRONX ACADEMY FOR TEH FUTURE,26,382,406,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,52,304,p356,32
10X284,BRONX SCHOOL OF LAW AND FINANCE,54,402,395,385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,***,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,94,00,333,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),111***,390,480,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),61,392,401,387
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),38,343,n356,30
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,7,307,371,365
10X434,BELMONT PREPARATORY HIGH SCHOOL,51,404,418,400
1p0X437,FORDHAM HIGH SCHOOL FOR THE ARTS,48,355,350,372
10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,63,367,385,367
10X439,BRONX HIGH SCHOOL FOR LAW ANaD COMMUNITY SERVICE,65,366,3c64,352
10X440,DEWITT CLINTON HIGH SCHOOL,443,419,46,410
10X442,"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC, THE",2,432,420,427
10X445,BRONX HIGH SCHOOL OF SCIENCE,731,632,688,649
10X745,JOHN F. KENNEDY HIGH SCHOOL,190,351,j362,339
10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,99,414,435,414
10X478,LEARNING TO WORK GED AT JOHN F. KENNEDY,s,s,s,
1X546,BRONX THEATRE HIGH SCHOOL,68,348,362,34
1X549,DISCOVERY HIGH SCHOOL,55,372,379,364
10X660,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,73,362,382,356
10X667,GRACE DODGE YABC,01,35r0,356,317
1X0696,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,92,636,648,636
11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,74,370,381,382
11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,46,400,357,390
f11X265,BRONX LAB SCHOOL,81,377,391,367
11X270,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,56,836,394,361
11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,72,381,376,354
11X288,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,97,444,47o1,433
11X290,BRONX ACADEMY OF HEALTH CAREERS,69,378,635,383
1X299,ASOR COLLEGIATE ACADEMY,60,387,39p1,391
11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,121,37,361,353
11X417,YOUNG ADULT BOROUGH CNTR CHRISTOPHER COLUMBUS HS,s,s,s,s
11Xr418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,84,419,433,461
11X455,HARRY S TRUMAN HIGH SCHOOL,189,386,397,638
11X456,LEARNING TO WORK YABC AT TrRUMAN HIGH SCHOOL,s,s,s,
11X513,NEW WORLD HIGH SCHOOL,2,332,381,c335
11514,THE BRONXWOOD PREPARATORY ACADEMY,48,377,372,63
11X541,GLOBAL gENTERPRISE HIGH SCHOOL,57,372,328,375
11X542,PELHAM PREPARATORY ACADEMY,6,431,438,419
11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,55,83,378,3l65
11X545,BRONX AEROSPACE HIGH SCHOOL,46,3v88,393,328
12X245,NEW DAY ACADEMY,52,348,44,354
12X248,"METROPOLITAN HIG SCHOOL, THE",49,347,637,341
12X251,EXPLORATIONS ACADEMY,57,381,381,360
12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,30,361,353,360
12X267,BRONX LATIN,36,408,432,411
12X271,EAST BRONX ACADEMY FOR THE FUTURE,64,366,378,358
1t2X278,PEACE AND DIVERSITY ACADEMY,34,390,410,364
12X3n88,PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,30,321,351,298
12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,s,s,,s
12X446,ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,14,3b80,372,349
12X478,THEs CINEMA SCHOOL,s,s,s,s
12X479,BRONX CAREER AND COwLLEGE PREPARATORY HIGH SCHOOL,s,s,,s
12X480,BRONX REGIONAL HIGH SCHOOL,16,398,38l5,398
12X550,HIGH SCHOOL OF WORLD CULTURES,42,34,323,312
12X682,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,j72,342,346,341
12X684,WINGS ACADEMY,66,378,374,362
12X690,MONROE ACADEMY FOR BUSINESS/LAW,31,375,387,36
12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,4o3,332,357,394
13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,29,325,349,373
13K336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418
13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC AND ART,52,360,364,356
13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37,375,535,384
13K419,"SCIENCE SKILLS CENTER HGIH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92,399,417,3d95
13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277,587,659,87
134K39,BROOKLYN INTERNTAIONAL HIGH SCHOOL,90,305,3c64,312
13eK483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105,400,417,389
13K499,ACORN COMMUNITY HIGH SCHOOL,x72,38y4,364,368
13K509,FREEDOM ACADEMY HIGH SCHOOL,29,400,390,403
13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,s,s,s,s
13K553,BROOKLYN ACADEMY HIGH SCHOOL,8,35,383,379
13K575,BEDFORD STUYVESANT PhREPARATORY HIGH SCHOOL,31,398,391,394
13K595,BEDFORD ACADEMY HIGH SCHOOL,89,43g8,443,431
1a3K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85,406,391,392
13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY SERVICE,s,s,***,hs
13K670,BENJAMIN BANNEKER ACADEMY,185,41,42,448
13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102,365,361,359
14K232,FOUNDATIONS ACADEMY,s,s,,s
14K404,ACDEMY FOR YOUNG WRITERS,68,87,357,381
4K449,"BROOKLYN LATIN SCHOOL, THE",27,586,584,570
14zK454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41,407,368,396
14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144,364,379,371
14K477,SCHOOL FOR LEGAL STUDIES,c134,413,396,395
1K4478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142,398,421,396
14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42,367,373,350
14K558,WILLIAMSBURG HIGHl SCHOOL FOR ARCHITECTURE AND DESIGN,72,363,358,3c64
14K651,WILLIMSBURG PREPARATORY SCHOOL,113,397,410,380
14K568,LYONS COMMUNITY SCHOOL,1,371,377***,355
14K610,AUTOMOTIVE HIGH SCHOOL,94,367,376,350
14K632,FRANCES PERKINSm ACADEMY,12,32,372,368
14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,59,335,341
14K923,AUTOMOTIVE HIGH SCHOOL YABC,s,s,***,***
15Kr429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52,361,367,833
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76,393,99,387
15K462,SECONDARY SCHOOL FOR LAW,59,38,411,394
15K463,SECONDARY SCHOOL FOR JOURNALISM,e58,397,j391,381
15K464,PARK SLOPE COLLEGIATE,72,397,416,380
15K497,SCHOOL FOR INTERNATIONAL STUDIES,64,05,415,392
15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77,398,402,385
15K520,PACIFIC HIGH SCHOOL,9,352,341,300
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,s,,,***
15K530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,68
15K65u6,BROOKLYN HIGH SCHOOL OF THE ARTS,114,462,b421,411
15K667,SUNSET PARK HIGH SCHOOL,s,s,***,s
15K698,SOUTH BROOKLYN COMxMUNITY HIGH SCHOOL,8,430,416,425
163K93,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,535,358
16K455***,BOYS AND GIRLS HIGH SCHOOL,131,365,70,362
1l6K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46,362,372,358
16K594,GOTHAM PROFESISONAL ARTS ACADEMY,36,370,372,351
1K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,s,s,ns,ts
17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59,396,74,369
17K408,ACADEMY OF HOSPITALITY AND TOURISM,57,352,342,51
17K67,ERASMUS YABC,es,,s,s
17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334
17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335***,291
17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,838
17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359
17K533,SCHOOL FOR DEMOCRACY ND LEADERSHIP,38,377,4i04,37b2
17K537,IHGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,38,349,340
17K5f39,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,3m62,375,368
17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",6x9,457,462,441
17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369
17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,41,414
17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373
17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,85,393,373
17K568,BROWNSVILLE ACADEMY HIGHS CHOOL,16,372,356,335
17K509,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,467,481,479
17K600,CLARA BARTON HIGH SCHOOL,29,425,413,413
17K625,PAUL ROBvESON HIGH SCHOOL,53,365,363,355
17K751,ACADEMY FOR HEALTH CAREERS,s,s,s,s
18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330
18K566,BROOKLYN GENERATION SCHOOL,29,374,377,34
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,3b83,358,377
18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346
18K576,VICTORY COLLEGIATE HIuGH SCHOOL,36,37,377,379
18K78,BROOKLYN BRIDGE ACAEMY,17,384,362,351
18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,440,393,86
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,y33,393,395,381
18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,3k93
18K635,OLYMPUS ACADEYM,7,400,730,370
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,3x5,36u3,381,367
18K642,URBAN ACTION ACADEMY,40,376,385,374
18K6k73,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394
19K420,FRANKLIN K. LANE HIGH SCHOOL,***,s,s,s
19K431,THOMAS JEFFERSON YABC,s,s,s,s
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,73,341,349,333
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342
19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383
19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,731,365,37h0
19K583,MLTICULTURAL HIGH SCHOOL,29,279,322,286
19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,359,418,380
