OBJECTID,DEVELOPEDSITEID,CASENAME,LOCALCASEID,REGION,AREATYPE,AREANAME,FS_STATUS_METHOD,ACTIONDATE,EXPIRATIONDATE,BOUNDARYSTATUS,BLM_SERIALNO_EXT,OFFICIALACRES,GIS_ACRES,COMMENTS,SHAPEAREA,SHAPELEN
1666146,193378010667,PLO 1658,NONE,02,RECREATION SITE,LAKE MARIE PICNIC GROUND PLO 1658,,1958/06/17 00:00:00+00,,,,90,87.752,,3.81982176091e-05,0.0285484330721482
1666147,187692010667,PLO 4579,NONE,02,RECREATION SITE,HERMIT LAKES VISITOR INFORMATION SERVICE  PLO 4579,,1969/01/17 00:00:00+00,,,,10,10,,4.1419221763e-06,0.00819794985706065
1666148,313401010667,PLO 1494,NONE,02,RECREATION SITE,BURRO BRIDGE CAMPGROUND  PLO 1494,,1957/09/09 00:00:00+00,,,,70,70.221,,2.906563469945e-05,0.0246301545927583
1666149,921416010667,PUBLIC LAND ORDER 7530,NONE,02,ADMINISTRATIVE SITE,FRAVERT ADMINISTRATIVE SITE  PLO 7530,,2002/08/10 00:00:00+00,2022/08/09 00:00:00+00,Final,COC 23653,4.84,4.836,Administrative Site,2.05057565275e-06,0.00893438348848279
1666150,283464010667,PUBLIC LAND ORDER 1343,NONE,02,RECREATION SITE,TIMON CAMPGROUND  PLO 1343,,1956/10/01 00:00:00+00,,,,40,40.001,,1.826373899675e-05,0.0173321525112189
1666151,318272010667,PLO 3092,NONE,02,RECREATION SITE,HANCOCK LAKE BACK AREA CAMP  PLO 3092,,1963/05/22 00:00:00+00,,,,60,51.218,,2.14379333671e-05,0.0187080008799491
1666152,858389010667,PLO 1493,NONE,02,RECREATION SITE,BELLAIRE LAKE CAMPGROUND  PLO 1493,,1957/09/09 00:00:00+00,,,,100,132.007,,5.698143623045e-05,0.032694992814361
1666153,313431010667,HAY CAMP ADMINISTRATIVE SITE  SO 4-27-1909,NONE,02,ADMINISTRATIVE SITE,HAY CAMP ADMINISTRATIVE SITE  SO 4-27-1909,,1909/04/27 00:00:00+00,,,,40,41.278,HAY CAMP ADMINISTRATIVE SITE  SO 4-27-1909,1.703730562945e-05,0.0166329145448213
1666154,283447010667,PUBLIC LAND ORDER 1346,NONE,02,RECREATION SITE,CHEESE HILL CAMPGROUND  PLO 1346,,1956/10/16 00:00:00+00,,,,80,79.967,,3.63514515045e-05,0.0245367996481536
1666155,921295010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,MEADOW CREEK RECREATION AREA  PLO 1402,,1957/03/29 00:00:00+00,,,,558.43,551.855,LOS CONVERSION WITHDRAWAL CASE,0.00023489141157035,0.0843887392303931
1666156,921192010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,ADMINISTRATIVE SITE,CONUNDRUM GUARD STATION  PLO 1659,,1958/06/17 00:00:00+00,,,,60,59.949,LOS CONVERSION WITHDRAWAL CASE,2.52313830824e-05,0.0201544647178666
1666157,313454010667,PLO 1510,NONE,02,RECREATION SITE,FORKS CAMPGROUND  PLO 1510,,1957/09/24 00:00:00+00,,,,20,20.259,,8.3636440025e-06,0.0128697771039778
1666158,193369010667,PLO 2796,NONE,02,RECREATION SITE,PICKAROON CAMPGROUND  PLO 2796,,1962/10/19 00:00:00+00,,,,45.82,45.159,,1.95960831603e-05,0.0204714210295491
1666159,921209010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,CLARK CABIN PICNIC GROUND  PLO 1378,,1957/01/03 00:00:00+00,,,,40,40.312,LOS CONVERSION WITHDRAWAL CASE,1.715917540995e-05,0.0167213378584415
1666160,333856010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,FALLS CAMPGROUND  PLO 2682,,1962/05/23 00:00:00+00,,,,20,20.121,LOS CONVERSION WITHDRAWAL CASE,9.0922521707e-06,0.013676779216486
1666161,193392010667,RANGER STATION NUMBER 47,NONE,02,ADMINISTRATIVE SITE,Ranger Station Number 47,,1906/10/26 00:00:00+00,,,,150,146.907,NONE,6.396327864545e-05,0.0333651247623276
1666162,311144010667,TUSHAR ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,TUSHAR ADMINISTRATIVE SITE,,1906/08/23 00:00:00+00,,,,200,198.934,TUSHAR ADMINISTRATIVE SITE,8.29067456516e-05,0.0420090615219454
1666163,447966010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"PALISADE CREEK RECREATION AREA, PLO 3396",,1964/05/18 00:00:00+00,,,,60,60.717,LOS CONVERSION WITHDRAWAL CASE,2.729944610845e-05,0.0209242287354691
1666164,443855010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"OAK CREEK RECREATION AREA, PLO 1775",,1959/01/13 00:00:00+00,,,,90,89.949,LOS CONVERSION WITHDRAWAL CASE,3.73809679008e-05,0.0246253718201109
1666165,443845010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"COW PUNCHER ADMINISTRATIVE SITE, PLO 1775",,1959/01/13 00:00:00+00,,,,120,124.929,LOS CONVERSION WITHDRAWAL CASE,5.184575415775e-05,0.0318050215897963
1666166,386906010667,WRIGHTS CREEK ADMINISTRATIVE SITE,1,04,ADMINISTRATIVE SITE,WRIGHTS CREEK ADMINISTRATIVE SITE,,1908/06/29 00:00:00+00,,,,80,79.941,WRIGHTS CREEK ADMINISTRATIVE SITE,3.53846102633e-05,0.0267209442195205
1666167,9bbccddf-00ac-4ab2-8861-22922a315d8c,"Home Canyon Recreation Area, PLO 1228",,04,RECREATION SITE,Home Canyon Recreation Area,,1955/10/01 00:00:00+00,,,,40,39.739,"20 FR 7335, publication dated 10/1/1955, signature date 9/26/1955",1.756760955275e-05,0.0180889248693908
1666168,221391010667,"DUTCH JOHN ADMINISTRATIVE SITE, PLO 769",4,04,ADMINISTRATIVE SITE,"DUTCH JOHN ADMINISTRATIVE SITE, PLO 769",,1951/12/12 00:00:00+00,,,,50,59.901,"DUTCH JOHN ADMINISTRATIVE SITE, PLO 769",2.592233723595e-05,0.0204030711714948
1666169,436160010667,Public Land Order 2400,NONE,04,RECREATION SITE,"MAGPIE PICNIC AREA RECREATION AREA, PLO 2400",,1953/07/03 00:00:00+00,,,,38.77,38.692,LOS CONVERSION WITHDRAWAL CASE,1.6826345753e-05,0.0165288339868921
1666170,448086010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"ALASKA BASIN-SOUTH TETON RECREATION AREA, PLO 1480",,1956/07/24 00:00:00+00,,,,2314.83,2288.119,LOS CONVERSION WITHDRAWAL CASE,0.00103394527346675,0.147121658571593
1666171,363451010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"SHEEP ROCK RECREATION AREA, PLO 1374",,1953/07/16 00:00:00+00,,,,40,39.986,LOS CONVERSION WITHDRAWAL CASE,1.852738325655e-05,0.0174770037212323
1666172,443835010667,CENTRAL ADMINISTRATIVE SITE,2,04,ADMINISTRATIVE SITE,CENTRAL ADMINISTRATIVE SITE,,1908/10/30 00:00:00+00,,,,5,4.993,CENTRAL ADMINISTRATIVE SITE,2.05675997435e-06,0.00635791703165327
1666173,84435657-454e-42c0-96d4-daab1d79b006,"Steel Creek Public Service Site, PLO 3396",PLO3396,04,PUBLIC SERVICE SITE,"Steel Creek Public Service Site, PLO 3396",,1964/05/18 00:00:00+00,,Final,I05281,160,158.65,,7.26093378382e-05,0.0345562251220475
1666174,448035010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"TETON CANYON RECREATION AREA, PLO 1480",,1956/07/24 00:00:00+00,,,,80,80.568,LOS CONVERSION WITHDRAWAL CASE,3.64406374655e-05,0.0273645761594718
1666175,363420010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"BEAR PETE LOOKOUT ADMINISTRATIVE SITE, PLO 1374",,1953/07/16 00:00:00+00,,,,10,10.003,LOS CONVERSION WITHDRAWAL CASE,4.6418071269e-06,0.010369636063368
1666176,401846010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"HOT SPRINGS LOOKOUT ADMINISTRATIVE SITE, PLO 1564",,1954/10/19 00:00:00+00,,,,2.5,2.313,LOS CONVERSION WITHDRAWAL CASE,1.0744370249e-06,0.00418674378975398
1666177,219996010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"TIMPOONEKE, PLO 1579",,1955/03/28 00:00:00+00,,,,5,5.792,LOS CONVERSION WITHDRAWAL CASE,2.4877659406e-06,0.00628632145459965
1666178,378742010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"KIGALIA ADMINISTRATIVE SITE, PLO 1736",,1954/05/27 00:00:00+00,,,,160,159.903,LOS CONVERSION WITHDRAWAL CASE,6.608965636315e-05,0.0327329346230245
1666179,363436010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"POVERTY FLAT ADMINISTRATIVE SITE, PLO 1374",,1953/07/16 00:00:00+00,,,,120,121.721,LOS CONVERSION WITHDRAWAL CASE,5.604975530115e-05,0.0392044188083904
1666180,311154010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"BEAVER CANYON RECREATION AREA, PLO 2354",,1953/07/20 00:00:00+00,,,,40,38.845,LOS CONVERSION WITHDRAWAL CASE,1.61815129853e-05,0.016286529713841
1666181,401912010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"GANT MOUNTAIN LOOKOUT ADMINISTRATIVE SITE, PLO 1564",,1954/10/19 00:00:00+00,,,,10,9.934,LOS CONVERSION WITHDRAWAL CASE,4.6064712159e-06,0.0087159106392084
1666182,448007010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,SPLIT CREEK RANGER STATION ADMINISTRATIVE SITE,,1907/11/05 00:00:00+00,,,,30,30.678,LOS CONVERSION WITHDRAWAL CASE,1.40208486998e-05,0.0149868888362604
1666183,311112010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"MOUNTAIN RANCH ADMINISTRATIVE SITE, PLO 2354",,1953/07/20 00:00:00+00,,,,480.26,493.291,LOS CONVERSION WITHDRAWAL CASE,0.0002072822069812,0.0576089719300316
1666184,311120010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"SOUTH CREEK ADMINISTRATIVE SITE, PLO 2354",,1953/07/20 00:00:00+00,,,,20,19.894,LOS CONVERSION WITHDRAWAL CASE,8.27768779925e-06,0.0127555530898487
1666185,363427010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"HARD CREEK ADMINISTRATIVE SITE, PLO 1374",,1953/07/16 00:00:00+00,,,,55,55.683,LOS CONVERSION WITHDRAWAL CASE,2.579695052945e-05,0.0376853398865428
1666186,384904010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"SPRING LAKE CREEK RECREATION AREA, PLO 2765",,1956/07/06 00:00:00+00,,,,40,39.948,LOS CONVERSION WITHDRAWAL CASE,1.76770889043e-05,0.017006180012664
1666187,1402411010843,WOLF CREEK RANGER STATION,NONE,01,ADMINISTRATIVE SITE,WOLF CREEK RANGER STATION,,1907/12/20 00:00:00+00,,,,80,79.862,WOLF CREEK RANGER STATION,3.915097145845e-05,0.0288807737821279
1666188,5a19fc14-a583-4146-8c1f-ab060a097283,BLACK BUTTE LOOKOUT & ELECTRONIC SITE,,01,ADMINISTRATIVE SITE,BLACK BUTTE LOOKOUT & ELECTRONIC SITE,,1988/06/23 00:00:00+00,,,,10,10.003,Notation of BLM land office records as an appropriated use for a Lookout.,4.9612436014e-06,0.00909948712057284
1666189,1121692010667,SELWAY FALLS RANGER STATION,NONE,01,ADMINISTRATIVE SITE,SELWAY FALLS RANGER STATION,,1907/08/01 00:00:00+00,,,,2.85,2.99,SELWAY FALLS RANGER STATION,1.4066454093e-06,0.00588726450549258
1666190,1092234010667,IMNAHA RIVER ROADSIDE AND RIVERFRONT ZONE,NONE,06,RECREATION SITE,IMNAHA RIVER ROADSIDE AND RIVERFRONT ZONE,,1959/05/25 00:00:00+00,,,,1684,2928.592,IMNAHA RIVER ROADSIDE AND RIVERFRONT ZONE,0.0013556824889666,0.478155255123728
1666191,1120697010667,DAVIS LAKE,NONE,06,RECREATION SITE,DAVIS LAKE,,1968/02/12 00:00:00+00,,,,20,21.834,DAVIS LAKE,1.0801948233e-05,0.0150060006907874
1666192,1120747010667,HANLON,NONE,06,ADMINISTRATIVE SITE,HANLON,,1908/12/08 00:00:00+00,,,,60,55.994,HANLON,2.762586135595e-05,0.0222149137846085
1666193,951849010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,SOUTH CREEK CAMPGROUND,,1964/02/24 00:00:00+00,,,,10,10.732,LOS CONVERSION WITHDRAWAL CASE,5.2787040586e-06,0.00945514201436351
1666194,1091207010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,WOODWARD FOREST CAMPGROUND,,1954/08/11 00:00:00+00,,,,80,81.828,LOS CONVERSION WITHDRAWAL CASE,3.830793643225e-05,0.0251133268661894
1666195,965416010667,ADMINISTRATIVE SITES AND RECREATION AREA WITHDRAWALS,DES011885A,06,RECREATION SITE,THOMPSON CREEK CAMPGROUND,,1962/09/27 00:00:00+00,,,,4.48,5.584,Thompson Creek Campground,2.45967426615e-06,0.00629630822529072
1666196,1041547010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,HALFWAY SPRING CAMPGROUND,,1967/04/10 00:00:00+00,,,,60,56.704,LOS CONVERSION WITHDRAWAL CASE,2.76385391236e-05,0.0226290144376208
1666197,1066610010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,RESERVOIR,,1965/04/15 00:00:00+00,,,,10,10.081,LOS CONVERSION WITHDRAWAL CASE,4.673322171e-06,0.00878463150947976
1666198,962015010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,SNOQUALMIE PASS-DENNY CREEK RECREATION AREA,,1958/08/06 00:00:00+00,,,,743.66,790.871,LOS CONVERSION WITHDRAWAL CASE,0.0003815357996014,0.21790020152384
1666199,951782010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,COTTONWOOD CAMPGROUND,,1964/02/24 00:00:00+00,,,,10,9.841,LOS CONVERSION WITHDRAWAL CASE,4.85532945305e-06,0.00900543180667802
1666200,972507010667,CASCADE HEAD,SIUCHSA,06,RECREATION SITE,LITTLE BEND CAMPGROUND,,1965/04/15 00:00:00+00,,,,20,16.235,LOS CONVERSION WITHDRAWAL CASE,7.3569184064e-06,0.0109896890378435
1666201,951544010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,ADMINISTRATIVE SITE,PARK GRAVEL PIT,,1971/01/26 00:00:00+00,,,,11,11.32,LOS CONVERSION WITHDRAWAL CASE,5.47857372065e-06,0.00969234060686043
1666202,951784010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,DAISY CAMPGROUND,,1964/02/24 00:00:00+00,,,,10,10.074,LOS CONVERSION WITHDRAWAL CASE,4.99689846045e-06,0.00914006137677905
1666203,972954010667,LOS CONVERSION WITHDRAWAL CASE,NONE,06,RECREATION SITE,MAPLE,,1964/05/21 00:00:00+00,,,,20,16.839,LOS CONVERSION WITHDRAWAL CASE,7.4893679536e-06,0.0128237529937894
1666204,201496010667,PUBLIC LAND ORDER 1627,NONE,02,RECREATION SITE,"BIG CREEK LAKES RECREATION SITE, PLO 1627",,1958/05/06 00:00:00+00,,,,2440,2352.807,"BIG CREEK LAKES RECREATION SITE, PLO 1627",0.0010179369546814,0.223396978963061
1666205,283425010667,IRON MOUNTAIN CAMPGROUND  12-12-1963,NONE,02,RECREATION SITE,IRON MOUNTAIN CAMPGROUND  12-12-1963,,1948/06/24 00:00:00+00,,,,140,139.672,"Authority, Public Law 747, 06/24/1948, Norbeck Wildlife Reserve, withdrawn from mining location by Regional Forester, 12/12/1963
",6.326945242475e-05,0.0408819778456537
1666206,37a1c5d1-a460-46af-8464-cc5d3e7c6341,PUBLIC LAND ORDER 7513,BGH43,02,RECREATION SITE,TIE HACK CAMPGROUND PLO 7513,,2002/02/21 00:00:00+00,2022/02/20 00:00:00+00,Final,WYW 149140,20.9,20.917,,9.5432105608e-06,0.0130210794376757
1666207,924993010667,PLO 1943,NONE,02,RECREATION SITE,SILVERTIP CAMPGROUND  PLO 1943,,1959/08/12 00:00:00+00,,,,120,121.207,,5.150987048465e-05,0.0356473088429063
1666208,921237010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,SWEETWATER CAMPGROUND  PLO 1378,,1957/01/03 00:00:00+00,,,,77,81.64,LOS CONVERSION WITHDRAWAL CASE,3.474139159065e-05,0.0240006361113623
1666209,313462010667,PLO 2314,NONE,02,RECREATION SITE,WILLIAMS LAKE RECREATION AREA  PLO 2314,,1961/03/29 00:00:00+00,,,,201,189.406,,7.811029683355e-05,0.0411982810491955
1666210,921193010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,ADMINISTRATIVE SITE,DERBY MESA GUARD STATION  PLO 1659,,1958/06/17 00:00:00+00,,,,80,80.792,LOS CONVERSION WITHDRAWAL CASE,3.44294275288e-05,0.0331348587693592
1666211,565842010667,PLO 2624,NONE,02,RECREATION SITE,OPHIR TRAILER PARK  PLO 2624,,1962/03/09 00:00:00+00,,,,100,73.442,,3.04283185798e-05,0.0402489714170039
1666212,329501010667,PLO 2302,NONE,02,ADMINISTRATIVE SITE,ANTHRACITE ADMINISTRATIVE SITE  PLO 2302,,1961/03/14 00:00:00+00,,,,34.08,34.06,LOS CONVERSION WITHDRAWAL CASE,1.432403159585e-05,0.0238061706408935
1666213,318210010667,PLO 725,NONE,02,RECREATION SITE,MONARCH PARK PICNIC GROUND  PLO 725,,1951/06/04 00:00:00+00,,,,60,53.353,MONARCH PARK PICNIC GROUND  PLO 725,2.23020835203e-05,0.0190235324631725
1666214,333865010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,SINKS CANYON CAMPGROUND  PLO 2978,,1963/03/18 00:00:00+00,,,,39.52,37.98,LOS CONVERSION WITHDRAWAL CASE,1.68963459537e-05,0.0164894386188515
1666215,565862010667,PLO 2624,NONE,02,RECREATION SITE,CRYSTAL LAKE BACK AREA CAMP  PLO 2624,,1962/03/09 00:00:00+00,,,,160,162.811,,6.7626276351e-05,0.0331497562522517
1666216,193372010667,PLO 2978,NONE,02,RECREATION SITE,SIX MILE GAP CAMPGROUND  PLO 2978,,1963/03/18 00:00:00+00,,,,40,39.584,,1.71557382615e-05,0.0214987425313931
1666217,201442010667,PUBLIC LAND ORDER 5107,NONE,02,RECREATION SITE,"HIDDEN LAKES CAMPGROUND, PLO 5107",,1971/08/06 00:00:00+00,,,,60,65.809,LOS CONVERSION WITHDRAWAL CASE,2.829415379165e-05,0.0214522836056278
1666218,565848010667,PLO 1378,NONE,02,RECREATION SITE,IRON SPRINGS CAMPGROUND  PLO 1378,,1957/01/03 00:00:00+00,,,,39,49.922,LOS CONVERSION WITHDRAWAL CASE,2.08112030967e-05,0.0210277480647439
1666219,201489010667,PUBLIC LAND ORDER 3143,NONE,02,RECREATION SITE,"PINES CAMPGROUND ADDITION, PLO 3143",,1963/07/30 00:00:00+00,,,,20,19.82,,8.52004803515e-06,0.0129749620787386
1666220,333791010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,CHIMNEY ROCK OBSERVATION  PLO 3841,,1965/10/08 00:00:00+00,,,,10,10.076,LOS CONVERSION WITHDRAWAL CASE,4.6104832111e-06,0.00870793096071241
1666221,921185010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,JACKAL HUT/LODGE  PLO 7156,,1995/08/29 00:00:00+00,,,,2.09,2.091,LOS CONVERSION WITHDRAWAL CASE,8.8535444505e-07,0.00379423487990996
1666222,921204010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,BIGHORN PICNIC GROUND  PLO 1378,,1957/01/03 00:00:00+00,,,,40,39.918,LOS CONVERSION WITHDRAWAL CASE,1.694631969565e-05,0.0166052966248299
1666223,201501010667,PUBLIC LAND ORDER 1492,NONE,02,RECREATION SITE,"PINES CAMPGROUD, PLO 1492",,1957/09/09 00:00:00+00,,,,40,39.731,,1.70782074192e-05,0.0166498517251299
1666224,193415010667,PLO 1658,NONE,02,RECREATION SITE,SILVER LAKE CAMPGROUND PLO 1658,,1958/06/17 00:00:00+00,,,,110,108.009,LOS CONVERSION WITHDRAWAL CASE,4.7000146084e-05,0.0297560605972292
1666225,193410010667,PLO 3250,NONE,02,RECREATION SITE,TIE CITY PICNIC GROUND PLO 3250,,1963/10/10 00:00:00+00,,,,110,110.644,,4.810227498955e-05,0.0290012627365838
1666226,320749010667,PLO 2314,NONE,02,RECREATION SITE,GIBSON TRAIL CAMPGROUND  PLO 2314,,1961/03/29 00:00:00+00,,,,20,16.312,,6.9117549585e-06,0.0106326728164078
1666227,318278010667,PLO 3092,NONE,02,RECREATION SITE,PTARMIGAN LAKE CAMPGROUND  PLO 3092,,1963/05/22 00:00:00+00,,,,121,120.672,,5.062420207115e-05,0.0330163936671086
1666228,333797010667,LOS CONVERSION WITHDRAWAL CASE,NONE,02,RECREATION SITE,EAST SUMMIT OBSERVATION  PLO 3841,,1965/10/08 00:00:00+00,,,,10,9.937,LOS CONVERSION WITHDRAWAL CASE,4.5875496647e-06,0.00868890906331485
1666229,329546010667,PLO 2279,NONE,02,RECREATION SITE,DORCHESTER RECREATION AREA  PLO 2279,,1961/02/28 00:00:00+00,,,,50,49.958,LOS CONVERSION WITHDRAWAL CASE,2.10126382471e-05,0.020148534043806
1666230,187702010667,PLO 2302,NONE,02,RECREATION SITE,RITO HONDO CAMP AND PICNIC GROUND  PLO 2302,,1961/03/14 00:00:00+00,,,,150,148.731,,6.164999885895e-05,0.0318578985908744
1666231,439893010667,PLO 1796,NONE,04,ADMINISTRATIVE SITE,"GREEN MOUNTAIN ADMINISTRATIVE SITE, PLO 1796",,1959/02/19 00:00:00+00,,,,40,39.866,LOS CONVERSION WITHDRAWAL CASE,1.70972075884e-05,0.0167776364821786
1666232,448084010667,PLO 1923,PLO1923,04,ADMINISTRATIVE SITE,"SQUIRREL MEADOWS ADMINISTRATIVE SITE, PLO 1923",,1959/01/29 00:00:00+00,,,,200,199.161,LOS CONVERSION WITHDRAWAL CASE,9.053246678625e-05,0.0381168967985063
1666233,363250010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,ADMINISTRATIVE SITE,"HAYS STATION ADMINISTRATIVE SITE, PLO 4503",,1967/01/19 00:00:00+00,,,,39.1,34.779,LOS CONVERSION WITHDRAWAL CASE,1.61230049742e-05,0.0166179322789518
1666234,221357010667,LOS CONVERSION WITHDRAWAL CASE,NONE,04,RECREATION SITE,"LITTLE HOLE CAMPGROUND, PLO 3491",,1963/05/20 00:00:00+00,,,,55.48,55.514,LOS CONVERSION WITHDRAWAL CASE,2.401267364155e-05,0.0313548375054551
1666235,8980ac79-41fa-4904-a255-7c251cae3c47,Carey Creek Recreation Area - PLO 3070,,04,RECREATION SITE,Carey Creek Recreation Area,,1961/06/14 00:00:00+00,,Final,,10.18,5.935,,2.76291126955e-06,0.0101885460553147
1666236,4ed2058a-0cbf-4a57-bd77-501cf802cb5d,"COYOTE RANGER DISTRICT ADMINISTRATIVE SITE, PLO 7146",SFEWDL01,03,ADMINISTRATIVE SITE,"COYOTE RANGER DISTRICT ADMINISTRATIVE SITE, PLO 7146",,1995/05/19 00:00:00+00,2015/06/01 00:00:00+00,,NMNM89978,232.5,233.142,,9.452727026595e-05,0.0495049213676639
