sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Male,Mael,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Mle,"American Indian/Alaska Native, non-Hispanic",2013,251.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,221.0,3.0,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",1552,229.0,0.7,Data not available.
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2003,237.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2587,229.0,0.7,Data not available.
Total - Female,Fmeale,"American Indian/Alaska Native, non-Hispanic",2005,239.0,0.7,Data not availale.
Total - Female,Femalwe,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hiszpanic",2007,241.0,1.0,Datna not available.
Total - Female,Femaple,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,ata not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2009,243.0,0.9,Data not available.
Total - Female,Femqale,"Aemerican Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
Total - Female,Femle,"American Indian/Alaska Native, non-Hispanic",2011,244.0,0.9,Data not availble.
Total - Female,eFmale,"American Indian/Alaska Native, non-Hispanic",2967,229.0,0.7,Data not available.
Total - Female,Feale,"American Indian/Alaska Native, non-Hispanic",2013,243.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2000,262.0915697732359,2.5,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",1465,293.19178852758546,0.7,Data not available.
Total,Female,"White, non-Hispanic",1767,229.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2003,253.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2004,229.0,0.7,Datta not available.
Total,Female,"White, non-Hispanic",2005,255.0,0.5,Data not avaialble.
Total,Female,"White, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",emale,"White, non-Hispanic",2007,257.0,0.7,Data not available.
Total - Male,emale,"White, non-Hispanic",2008,229.0,0.7,Data nt available.
Total,Female,"White, non-Hispanic",2396,260.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2010,213.7195648823866,0.7,Data not available.
Total,Female,"White, non-Hispanic",2011,260.0,0.7,Data not available.
Total - Female,Female,"White, non-Hispanic",2012,333.6236004254141,0.7,Data not available.
"Total - White, non-Hispanic",Femalhe,"White, non-Hispanic",2243,259.0,0.6,Data not available.
Total,Femael,"Black, non-Hispanic",2000,292.7214549898022,3.6,Data not available.
Total,Female,"Black, non-Hispanic",2708,229.0,0.7,Data not aavilable.
Total,emale,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Femalse,"Black, non-Hispanic",2003,219.0,1.1,Data not available.
Total - Female,Female,"Black, non-Hispanic",2004,128.1959594019346,0.7,Data not available.
Total - Female,Female,"Black, non-Hispanic",1185,222.0,1.0,Data not available.
Total,Female,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2007,226.0,1.3,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
Total - Male,Female,"Black, non-Hispanic",1908,229.0,1.1,Data not available.
Total - Male,Fhemale,"Black, non-Hispanic",1686,229.0,0.7,Data not available.
Total - Female,Female,"Black, non-Hispanic",998,189.4488725572033,1.0,Data not available.
"Total - Black, non-Hispanic",bFemale,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
Total,Femae,"Black, non-Hispanic",2013,232.0,0.7,Data not available.
Total,Femlae,Hispanic,2000,218.0,5.1,Data not available.
Total,Female,Hispanic,2001,229.0,0.7,Data not available.
Total - Female,Female,Hispanic,1515,229.0,0.7,Data not available.
Total - Female,Female,Hispanic,1577,325.22208201691615,1.5,Data not available.
Total,Female,Hispanic,2004,229.0,0.7,Dat anot available.
Total,Female,Hispanic,2005,229.0,1.0,Data not available.
Total,Female,Hispanic,2006,229.0,0.7,Data not available.
Total,Feale,Hispanic,2392,181.9892635613863,1.3,Data not available.
Total,Feamle,Hispanic,2008,229.0,0.7,Data not available.
Total - Female,Female,Hispanic,2009,235.0,1.4,Data not available.
Total - Hispanic,Female,Hispanic,2010,347.85716926385544,0.7,Data no tavailable.
Total - Male,Female,Hispanic,2011,237.0,1.3,Data not available.
Total - Female,Female,Hispanic,2012,229.0,0.7,Data not available.
Total - Male,Female,Hispanic,2013,238.0,1.0,Data not available.
Total - Male,iFemale,"Asian, non-Hispanic",1062,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2660,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,251.0,3.7,Data for 2000 through 2009 nclude Pacific Islanders.
Total - Female,Femae,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2341,249.0,3.5,Data for 2000 through 2009 include Pacific Islnders.
Total,Female,"Asian, non-Hispanic",2006,126.28789000954498,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Femhale,"Asian, non-Hispanic",2007,249.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2009,253.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2010,229.0,0.7,Data no available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Female,"Asian, non-Hispanic",2199,266.0,6.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - White, non-Hispanic",Female,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Female,Fenmale,"Asian, non-Hispanic",2013,258.0,3.7,Data for 2000 through 2009 include Pacific Islanders.
Total,Femael,"Pacific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Femadle,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Fmale,"Pacific Islander, non-Hispanic",1856,254.21057095801137,0.7,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",1262,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Dataa not available.
Total,Female,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
Total,Femlae,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not availale.
"Total - Pacific Islander, non-Hispanic",Femalxe,"Pacific Islander, non-Hispainc",2009,229.0,0.7,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",1542,229.0,0.7,Data notavailable.
Total,Female,"Pacific Islander, non-Hispanic",2011,227.0,7.3,Data ont available.
Total,Female,"Pacific Islander, non-Hispanic",2012,212.90641422498177,0.7,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2748,232.0,4.3,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",1900,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Americn Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ,e non-Hispanic",1505,265.0663520838296,0.7,Data nto available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",3009,234.0,1.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fmeale,"American Indian/Alaska Native, non-Hispanic",1985,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Fekmale,"American Indian/AlaskaN ative, non-Hispanic",2005,236.0,2.1,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indan/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Feymale,"American Indian/Alaska Native, non-Hispanic",2007,235.0,2.7,Data not available.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,197.3977323283325,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Ftemale,"American Indian/lAaska Native, non-Hispanic",2009,232.0,3.2,Data not avaialble.
"Total - American Indian/Alaska Native, non-Hispanic",bFemale,"American Indian/Alasksa Native, non-Hispanic",1856,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femaale,"American Indian/Alaska Naqtive, non-Hispanic",2011,232.0,3.8,Data not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hipanic",2013,241.0,4.0,Data not aailable.
"Total - Male, Black, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2001,296.8559625415351,0.7,Data not available.
Total - Female,Fmeale,"Two or more races, non-Hispanic",2002,340.038324404512,0.7,Data not available.
Total - Male,Femael,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2045,169.6212760640534,0.7,Data not available.
Total,Femahle,"Two or more races, non-Hispanic",2005,229.0,0.7,Data not availble.
"Total - White, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2008,229.0,0.7,Data not available.
Total,emale,"Two or more races, non-Hispanic",2009,229.0,0.7,Data not available.
Total,Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Datan ot available.
Total - Female,Femlae,"Two or more races, non-Hispanic",1889,182.41556127926583,5.3,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2999,248.0,2.9,Data not available.
Total,Male,"White, non-Hispanic",2000,198.54020070164088,3.2,Data not available.
Total - Female,Male,"White, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Male,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2003,256.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",aMle,"White ,non-Hispanic",2005,258.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2006,229.0,0.7,Data not available.
Total - Male,Male,"White, non-Hispanic",2007,260.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2858,263.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,229.0,0.7,Data notq available.
Total - Male,Male,"White, non-Hispanic",2011,264.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Mafle,"White, non-Hispanc",2012,229.0,0.7,Data not available.
Total,Male,"White, non-Hispanic",2013,262.0,0.7,Data not available.
Total - Male,Male,"Black, non-Hispanic",2000,206.0,4.8,Data not available.
Total,hMale,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Male,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Male,"Black, non-Hispanic",2003,220.0,1.2,Data not available.
Total - Female,Mlae,"Black, non-Hispanic",2004,229.0,0.7,Data nt available.
Total,Male,"Black, non-Hispanic",2005,224.0,1.1,Data not available.
Total - Male,Male,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,227.0,1.5,Data not available.
Total - Female,Male,"Black, non-Hispanic",2066,229.0,0.7,Data not availwable.
"Total - White, non-Hispanic",Male,"Black, non-Hispanic",2009,231.0,1.4,Data not available.
"Total - Male, Black, non-Hispanic",Mae,"pBlack, non-Hispanic",2010,144.2065392768627,0.7,Data not available.
"Total - Male, Black, non-Hispanic",Mlae,"Balck, non-Hispanic",2011,203.8687162588992,1.2,Data not available.
Total,ale,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Male,"Black, non-Hispanic",2013,234.0,0.9,Data not available.
Total,Male,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Male,Hispanic,2001,229.0,0.7,Data not availablge.
Total - Male,Male,Hispanic,1213,229.0,0.7,Data not available.
Total,Male,Hispanic,2003,332.5076731382917,2.0,Data not available.
Total,Male,Hispanic,2004,229.0,0.7,Data not available.
Total,Male,Hispanic,2005,335.6657332568243,1.4,Data not available.
Total,Mlae,Hispanic,2006,229.0,0.7,Data not available.
Total - Male,Male,Hispanic,1505,233.0,1.6,Data not available.
Total,aMle,Hispanic,2606,229.0,0.7,Data not available.
Total - Male,Male,Hispanic,2009,166.08938092928906,1.6,Dataz not available.
Total - Female,Male,Hispanic,2010,229.0,0.7,Data not available.
Total,Male,Hispanic,2011,239.0,1.7,Data not available.
Total,Male,Hispanic,1411,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Mael,Hispanic,2013,239.0,1.3,Daat not available.
Total - Male,Male,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2002,339.28076052403344,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",1508,253.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2005,249.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
Total,Mtale,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Male,"Asian, non-Hispanic",2007,248.0,4.8,Data for 2000 through 2009 include PacificIslanders.
Total,Male,"Asian, non-Hispanic",1401,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2009,254.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2011,267.0,7.1,Data for 2000 through 2009 include Pacific Islanders.
Total,Male,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Male,"Asian, non-Hispanic",2013,264.0,5.0,Data for 2000 thrjough 2009 include Pacific Islanders.
Total,Male,"Pacific Islander, non-Hispanic",2000,186.88917242085176,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
Total - Female,Male,"Pacific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,120.67926466470183,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2402,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",2801,229.0,0.7,Data not available.
Total,Mle,"Pacific Islander, non-Hispanic",2410,229.0,0.7,Data not available.
Total - Male,Male,"Pacific Islander, non-Hispanic",2010,167.5617748679557,0.7,Data not available.
Total,Male,"Pacific Islander, non-Hispanic",1044,229.0,9.7,Data not available.
Total - Male,Mle,"Pacific Islander, non-Hispanic",2012,153.7817762221552,0.7,Data not available.
Total,Malve,"Pacific Islander, non-Hispanic",2013,231.0,4.5,Data not available.
"Total - Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,200.92961122415176,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Black, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,234.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2004,302.0492002483038,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Idian/Alaska Native, non-Hispanic",2789,125.15040249725564,2.5,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska aNtive, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,236.0,3.8,Data not available.
Total - Hispanic,Male,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Malte,"American Indian/Alaska Native, non-Hispanic",2009,234.0,3.9,Data not available.
"Total - White, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",1053,229.0,0.7,Dtaa not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native,w non-Hispanic",2011,237.0,4.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mlae,"American Indan/Alaska Native, non-Hispanic",2012,325.2841994796682,0.7,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"merican Indian/Alaska Native, non-Hispanic",2013,245.0,4.2,Dtaa not available.
Total,Mlae,"Two or more races, non-Hispanic",2706,160.91287854631173,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2001,229.0,0.7,Data nto available.
Total - Male,Male,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",2004,229.0,0.7,Data not available.
Total,Male,"Two or more races, non-Hispanic",1650,229.0,0.7,Data not available.
Total - Female,Male,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Asian, non-Hispanic",Male,"Two or more races, non-Hispanic",2409,229.0,0.7,Data not available.
Total - Male,Male,"Two or more races, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"wTo or more races, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2011,254.0,6.9,Data notc available.
"Total - Male, Two or more races, non-Hispanic",ale,"Tw or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mvale,"Two or more ryaces, non-Hispanic",2013,252.0,4.2,ata not available.
Total - Male,Female,"White, non-Hispanic",2000,122.69792348643976,3.4,Data not available.
"Total - Male, Two or more races, non-Hispanic",Female,"White, non-Hispanic",1431,157.59198467680002,0.7,Data not available.
Total - Female,Female,"White, non-Hispanic",2002,229.0,0.7,Data not available.
Total - Female,Fmale,"White, non-Hispanic",2003,247.0,1.0,Data not available.
Total,Female,"White, non-Hispanic",2004,229.0,0.7,Data not availalble.
Total - Female,Female,"White, non-Hispanic",2005,248.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2830,229.0,0.7,Data not available.
Total,Fmale,"White, non-Hispanic",2007,251.0,1.2,Data not available.
Total,Femael,"White, non-Hispanic",2008,177.14393518694683,0.7,Data not availale.
Total - Male,Female,"White, non-Hispanic",2009,254.0,0.8,Dtaa not available.
Total,Female,"White, non-Hispanic",2010,229.0,0.7,Data not available.
Total,Fmale,"White, non-Hispanic",2810,254.0,1.0,Data not available.
Total,Female,"White, non-Hispanic",2012,229.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2013,252.0,0.8,Datal not available.
Total - Male,Female,"Black, non-Hispanic",2000,206.0,5.1,Data not available.
Total,emale,"Black, non-Hispanic",2001,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",1667,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2003,217.0,1.8,Data not available.
Total,Female,"Black, non-Hispanic",1151,229.0,0.7,Data not available.
Total - Male,Female,"Black, non-Hispanic",2005,219.0,1.3,aDta not available.
Total,Female,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2042,225.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2009,226.0,1.7,Data not available.
Total,Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Black, on-Hispanic",2011,229.0,1.5,Data not availablfe.
Total,Female,"Black, non-Hispanic",1402,343.13821446086894,0.7,Data not available.
Total,Female,"Black, non-Hispanic",2013,229.0,1.4,Data not available.
Total - Female,Female,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 upercent or greater.
Total - Male,Female,Hispanic,2001,229.0,0.7,Dhata not available.
Total,Female,Hispanic,2002,229.0,0.7,Data not available.
Total,Female,Hispanic,1148,225.0,2.2,Data not available.
"Total - Asian, non-Hispanic",Female,Hispanic,2004,229.0,0.7,Data not available.
Total - Male,Female,Hispanic,2005,225.0,1.6,Data not available.
Total - Male,Female,Hispanic,2006,229.0,0.7,Data no tavailable.
Total - Female,Female,Hispanic,2007,328.8362255055844,2.4,Data not available.
Total,Female,Hispanic,2008,229.0,0.7,Data not available.
Total - Male,hFemale,Hispanic,2616,229.0,2.3,Data not availabel.
Total - Male,Feimale,Hispanic,2010,229.0,0.7,Data not available.
Total,Female,Hispanic,1181,233.0,2.2,Data not available.
Total,yFemale,Hispanic,2012,123.1836358619942,0.7,Data notb available.
"Total - White, non-Hispanic",Femuale,Hispanic,1425,128.6349151844668,1.6,Data not available.
Total,Femael,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2003,247.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islandelrs.
Total - Male,Female,"Asian, non-Hispanic",2082,249.0,5.7,Data for 2c000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,250.0,5.6,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2008,154.1143986201972,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.***
"Total - Female, Asian, non-Hispanic",Femlae,"Asian, non-iHspanic",2558,249.0,7.5,Data for 2000 through 2009 include Pacific Ilanders.
Total - Male,Female,"Asian, non-Hispanic",2010,196.5707596497857,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",bFemale,"Asian, non-Hismpanic",2011,155.42094641507913,9.0,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2013,250.0,4.7,Data for 2000 through 2009 include Pacific Islanders.
