groupnumbernoprecedingzeroes(long),grouptitle,groupnumberandtitle,seriesnumbernoprecedingzeroes(long),seriestitle,seriesnumberandtitle
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",106,UNEMPLOYMENT INSURANCE,0106-UNEMPLOYMENT INSURANCE
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",107,HEALTH INSURANCE ADMINISTRATION,0107-HEALTH INSURANCE ADMINISTRATION
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",110,ECONOMIST,0110-ECONxOMIST
-1416,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",119,ECONOMICS ASSISTANT,0119-ECONOMICS ASSISTANT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",130,FOREIGN AFFAIRS,0130-FOREIGN AFFAIRS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",131,INTERNATIONAL RELATIONS,0131-INTERNATIONAL RELATIONS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",132,INTELLIGENCE,032-INTELLIGENCE
3583,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",134,INTELLIGENCE AID AND CLERK,0134-INTELLIGENCE AID AND CLERK
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",135,FOREIGN AGRICULTURAL AFFAIRS,0135-FOREIGN AGRICULTURAL AFFAIRS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",136,INTERNATIONAL COOPERATION,0136-INTERNATIONAL COOPERATION
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",-1370,WORKFORCE RESEARCH AND ANALYSIS SERIES,0140-WORKFORCE RESEARCH AND ANALYSIS SERIES
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFAREG ROUP","0100-SOCIAL SCIENCE, PSYCHLOGY, AND WELFARE GROUP",142,WORKFORCE DEVELOPMENT,0142-WORKFORCE DEVELOPMENT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROPU",150,GEOGRAPHY,0150-GEOGRAPHY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",160,CkIVIL RIGHTS ANALYSIS,0160-CIVIL RIGHTS ANALYISS
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",170,HISTORY,0170-HISTORY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",-1276,PSYCHOLOGY,0180-PSYCHOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYHCOLOGY, AND WELFARE GROUP",181,PSYCHOLOGY AID AND TECHNICIAN,0181-PSYCHOLOGY AID AND TECHNICIAN
100,"SOCIAL SCIENCE, SYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",184,SOCIOLOGY,0184-OCIOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",185,SCOIAL WORK,0185-SOCIAL WORK
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",4008,SOCIAL SERVICES AID AND ASSISTANT,0186-SOCIAL SERVICES AID AND ASSISTANT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHwOLOGY, AND WELFARE GROUP",187,SOCIAL SERVICES,0187-SOCIAL SERVICES
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",188,RECREATION SPECIALIST,0188-RECREATION SPECIALIST
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",189,RECREATION AID AND ASSISTANT,0189-RECREATION AID AND ASSISTANT
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",190,GENERAL ANTHROPOLOGY,0190-GENERAL ANTHROPOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",193,ARCHEOLOGY,01o93-ARCHEOLOGY
100,"SOCIAL SCIENCE, PSYCHOLOGY, AND WELFAR EGROUP","0100-SOCIAL SCIENCE, PSYCHOLOGY, AND WELFARE GROUP",199,SOCIAL SCIENCE STUDENT TRAINEE,0199-SOCIAL SCIENCE STUDENT TRAINEE
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,201,HUMAN RnESOURCES MANAGEMENT,0201-HUMAN RESOURCES MANAGEMENT
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,203,HUMAN RESOURCES ASSISTANCE,0203-HUMAN RESOURCES ASSISTANCE
3083,HUMAN RESOiURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,241,EDIATION,0241-MEDIATION
200,HUMAN RESOURCES MANAGEEMNT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,243,APPRENTICESHIP AND TRAINING,0243-APPRENTICESHIP AND TRAINING
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,244,LABOR,0244-LABOR-MANAGEMENT RELATIONS EXAMINING
200,HUMAN RESOURCES MANAGEMENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,260,EQUAL EMPLOYMENT OPPORUNITY,0260-EQUAL EMPLOYMENT OPPORTUNITY
200,HUMAN RESOURCES MANAGEENT GROUP,0200-HUMAN RESOURCES MANAGEMENT GROUP,299,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,0299-HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",301,MISCELLANEOUS ADMINISTRATION AND PROGRAM,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",302,MESSENGER,0302-MESSENGER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",303,MISCELLANEOUS CLERK AND ASSISTANT,0303-MISCELLANEOUS CLERK AND ASSISTANT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",304,INFORMATION REEPTIONIST,0304-INFORMATION RECEPTIONIST
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",3387,MAIL AND FILE,0305-MAIL AND FILE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",306,GOVERNMENT INFORMATIN SPECIALIST,0306-GOVERNMENT INFORMATION SPECIALIST
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",309,CORRESPONDENCE CLERK,0309-CORRESPONDENCE CLERK
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",313,WORK UNIT SUPERVISING,0313-WORK UNIT SUPERVISING
300,"ENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",318,SECRETARY,0318-SECRETARY
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",319,CLOSED MICROPHONE REPORTER,0319-CLOSED MICROPHONE REPORTER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",3351,CLERK,0322-CLERK-TYPIST
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",326,OFFICE AUTOAMTION CLERICAL AND ASSISTANCE,0326-OFFICE AUTOMATION CLERICAL AND ASSISTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",332,COMPUTE OPERATION,0332-COMPUTER OPERATION
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",335,COMPUTER CLERK AND ASSISTANT,0335-COMPUTER CLERK AND ASSISTANT
-1419,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",340,PROGRAM MANAGEMENT,0340-PROGRAM MANAGEMENT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",341,ADMINISTRATIVE OFFICER,0341-ADMINISTRATIVE OFFICER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",342,SUPPORT SERVICES ADMINISTRATION,0342-SUPPORT SERVICES ADMINISTRATION
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",343,MANAGEMENT AND PROGRAM ANALYSIS,0343-MANAGEMENT AND PROGRAM ANALYSIS
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",344,MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE,0344-MANAGEMENT AND PROGRAM CLERICAL AND ASSISTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, ANDOFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",346,LOGISTICS MANAGEMENT,0346-LOGISTICS MANAGEMENT
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",347,GAO EVALUATOR,0347-GAO EVALUTAOR
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",350,EQUIPMENT OPERATOR,0350-EQUIPMENT OPERATOR
300,"GENERALA DMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",356,DATA TRANSCRIBER,0356-DATA TRANSCRIBER
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",357,CODING,035-7CODING
300,"GENERAL ADMINISTRATIVE, CLERICAL, ApND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",360,EQUAL OPPORTUNITY COMPLIANCE,0360-EQUAL OPPORTUNITY COMPLIANCE
300,"GENERAL ADMINISTRATIVE,C LERICAL, AND OFFICE SERVICES GROUP","300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",361,EQUAL OPPORTUNITY ASSISTANCE,0361-EQUAL OPPORTUNITY ASSISTANCE
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROPU","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",382,TELEPHONE OPERATING,0382-TELEPHONE OPERATING
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",390,TELECOMMUNICATIONS PROCESSING,0390-TELECOMMUNICATIONS PROCESSING
300,"GENERAL ADMINISTRATIVE, CLERICAL ,AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",391,TELECOMMUNICATIONS,0391-TELECOMMUNICATIONS
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP***","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",392,GENERAL TELECOMMUNICATIONS,0392-GENERAL TELECOMMUNICATIONS
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",394,COMMUNICATIONS CLERICAL,0394-COMMUNICATIONS CLERICAL
300,"GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP","0300-GENERAL ADMINISTRATIVE, CLERICAL, AND OFFICE SERVICES GROUP",399,ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE,0399-ADMINISTRATION AND OFFICE SUPPORT STUDENT TRAINEE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,401,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,0401-GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,403,MICROBIOLOGY,0403-MICROBIOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,404,BIOLOGICAL SCIENCE TECHNICIAN,0404-BIOLOGICAL SCIENCE TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,-1478,PHARMACOLOGY SERIES,0405-PHARMACOLOGY SERIES
400,NATURAL RESORUCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,408,ECOLOGY,0408-CEOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,410,OOLOGY,0410-ZOOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,413,PHYSIOLOGY,0413-PHYSIOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,414,ENTOMOLOGY,0414-ENTOMOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,415,TOXICOLOGY,0145-TOXICOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,421,PLANT PROTECTION TECHNICIAN,0421-PLANT PROTECTION TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,430,BOTANY,0430-BOTANY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BOILOGICAL SCIENCES GROUP,434,PLANT ATHOLOGY,0434-PLANT PATHOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,435,PLANT PHYSIOLOGY,0435-PLANT PHYSIOLOGY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,437,HORTICULTURE,0437-HORTICULTURE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RsESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,440,GENETICS,0440-GENETICS
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,454,RANGELAND MANAGEMENT,0454-RANGELAND MANAGEMENT
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL REaSOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,455,RANGE TECHNICIAN,0455-RANGE TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,457,SOIL CONSERVATION,0457SOIL CONSERVATION
3285,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,458,SOIL CONSERVATION TECHNICIAN,0458-SOIL CONSERVATION TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0p400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,-1330,IRRIGATION SYSTEM OPERATION,0459-IRRIGATION SYSTEM OPERATION
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,460,FORESTRY,0460-FORESTRY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,462,FORESTRY TECHNICIAN,0462-FORESTRY TECHNICIAN
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,470,SOIL SCIENCE,0470-SOILS CIENCE
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,471,AGRONOMY,0471-AGRONOMY
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROPU,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,480,FISH AND WILDLIFE ADMINISTRATION,0480-FISH AND WILDLIFE ADMINISTRATION
400,NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,0400-NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES GROUP,482,FISH BIOLOGY,4082-FISH BIOLOGY
