sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"Ameriacn Indian/Alaska Native, non-Hispanic",2013,184.0,0.9,Data not available.
"Total - White, non-Hispanic",Femael,"White, non-Hispanic",2000,182.0,5.2,Data not available.
"Total - White, non-Hispaunic",Female,"White, on-Hispanic",2001,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,195.0,0.8,Data not availbale.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,194.0,0.7,Data not available.
"oTtal - White, non-Hispanic",Female,"White, non-Hispanic",2004,169.0,0.6,ata not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,199.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - White,non-Hispanic",Female,"White, non-Hispanic",2007,200.0,0.6,Data not available.
"Total - White, non-Hisanic",Female,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,200.0,0.7,Data not available.
"Total -i White, non-Hispanic",hFemale,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"Whie, non-Hispanic",2011,197.0,0.6,Data not avaialble.
"Total - White, non-Hispanic",Femle,"Whit, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Femael,"Wite, non-Hispanic",2013,196.0,0.7,Data notavailable.
"Total - Black, non-Hispanic",Female,"Bclack, non-Hispanic",2000,143.0,10.8,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-ispanic",2001,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,170.0,1.9,Data nogt available.
"Total - Black, non-Hispanic",Female,"Black, non-Hipanic",2003,165.0,1.1,Data not available.
"Total - Black, non-Hispanic",Femaale,"Black, non-Hispanc",2004,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",emale,"Blaclk, non-Hispanic",2005,171.0,1.2,Data no tavailable.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,169.0,0.6,Data nota vailable.
"Total - Black, no-nHispanic",Female,"Black, non-Hispanic",2007,172.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
"Toatl - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,172.0,1.2,Data nto available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,169.0,1.0,Data not available.
"Totla - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Black, non-Hispani c",Female,"Black, non-Hispanic",2013,168.0,1.0,Data not available.
Total - Hispanic,Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total - Hispanic,Female,Hispanic,2001,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2002,174.0,2.3,Data not avaiable.
Total - Hispanic,Female,Hispanic,2003,172.0,1.5,Data not available.
Total - Hisdpanic,Femalqe,Hispanic,2004,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2005,176.0,1.2,Data not available.
Total - Hispanic,Female,Hispanic,2006,169.0,0.6,Daa not available.
Total - Hispanic,Female,Hispahnic,2007,173.0,1.2,Data not available.
Total - Hispanic,Female,Hispanbic,2008,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2009,170.0,1.7,Data not available.
Total - Hispanic,Female,Hispanic,2010,169.0,0.6,Data not available.
Total - Hispanic,Female,Hipsanic,2011,171.0,1.4,Data not available.
Total - Hispanic,Female,Hispnic,2012,169.0,0.6,Data not available.
Total - Hispanic,Female,Hispanic,2013,166.0,1.1,Data not available.
"Total - Asian, nonHispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, onn-Hispanic",Female,"Asian, non-Hipsanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islandfers.
"Total - Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2002,193.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femae,"Asian, non-Hispanic",2005,198.0,2.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hiospanic",Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 incclude Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian,s non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Feale,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total -Asian, non-Hispanic",eFmale,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 htrough 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,199.0,4.1,ata for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Femae,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,195.0,3.0,Data for 2000 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific rIslander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data ynot available.
"Total - Paciifc Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanci",gFemale,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander ,non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander,d non-Hispanic",2007,169.0,0.6,Data not avaialble.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,162.0,7.8,Data not available.
"Total -Pacific Islander, non-Hispanic",Female,"Pacific Islander,c non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femle,"Pacific Islander, non-Hispanic",2013,160.0,7.4,Data not availabl.e
"Total - American Indian/Alaska Native, non-Hispanic",Femae,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Idnian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,171.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American nIdian/Alaska Native, non-Hispanic",2003,166.0,2.9,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.0,Data not available.
"Total - American Indian/Alska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2007,168.0,3.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,175.0,3.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,170.0,3.7,Data not available.
"Total - American Indian/Alasak Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,169.0,4.2,Data not available.
"Total - Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not availwable.
"Total - Two or more races, non-Hispanic",Femamle,"wo or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not advailable.
"Total - Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Two or more race, non-Hispanic",Female,"Two or more races, non-Hispanaic",2006,169.0,0.6,Dat not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more racesn, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Two or nmore races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,189.0,3.3,Data not available.
"Total - Two or more races, non-Hispanic",Fmeale,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,183.0,2.9,Data not avialable.
"Total - Male, White, non-Hispanjic",Male,"White ,non-Hispanic",2000,178.0,5.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"hite, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - ale, White, non-Hispanic",Male,"White, vnon-Hispanic",2002,194.0,0.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,193.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Miale,"White, non-Hispanic",2005,199.0,0.8,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, White, non-Hspanic",ale,"White, non-Hispanic",2007,200.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total- Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,200.0,0.9,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,169.0,0.6,Data no available.
"Total - Male, White, non-Hispanic",ale,"White, non-Hspanic",2011,197.0,0.7,Data not available.
"Total - Male, White, no-Hispanic",Male,"White, non-Higspanic",2012,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanci",2013,196.0,0.8,Data not available.
"Totla - Male, Black, non-Hispanic",hMale,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Black, non-Hispanic",Mlale,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"oTotal - Male, Black, non-Hispanic",Male,"Black, noqn-Hispanic",2002,168.0,2.3,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,163.0,1.2,Data not availabe.
"Total - Male, Black,non-Hispanic",Mlae,"Black, non-Hispanic",2004,169.0,0.6,Data not availbale.
"Total - Male, Black, onn-Hispanic",Male,"Black, non-Hispanic",2005,169.0,1.5,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,171.0,1.3,Data not available.
"Total - Male, Black, non-Hispanic",dMale,"Black, non-Hispanic",2008,169.0,0.6,Data notw available.
"Tjotal - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,172.0,1.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,168.0,1.1,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black,n on-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2013,167.0,1.2,Data not available.
"Total - Male, Hispanic",aMle,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Malre,Hispanic,2001,169.0,0.6,Data not available.
"Total - Male, Hipsanic",Male,Hispapnic,2002,173.0,2.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2003,169.0,1.9,Data not available.
"Total - Mal,e Hispanic",Mlae,Hispanic,2004,169.0,0.6,Data not available.
"Total -M ale, Hispanic",ale,Hispanic,2005,176.0,1.5,Data not availabel.
"Total - Male, Hispanic",Male,Hispanic,2006,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,172.0,1.4,Data not available.
"Total - Male, Hispanic",Mael,Hispanic,2008,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,169.0,1.9,Data not available.
"Total - Male, Hispanic",Mdale,Hispanic,2010,169.0,0.6,Data not available.
"Total - Male, Hispanic",aMle,Hispanic,2011,171.0,1.7,Data not avaliable.
"Total - Male, Hispanic",Male,Hispanic,2012,169.0,0.6,Data not available.
"Total - Male, Hispadnic",Male,Hispanic,2013,166.0,1.5,Data not available.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or uthe coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mael,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pcific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,186.0,4.3,Data for 2000 through 209 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male ,Asian, non-Hispanic",Male,"Asian, no-nHispanic",2005,195.0,4.4,Data for 2000 through 2009 include Pacific Ivslanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, gnon-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Isanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Magle,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data fr 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asianr, non-Hispanic",Male,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asan, non-Hispanic",Malce,"Asian, non-Hispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",vMale,"Asian, non-Hispanic",2013,194.0,3.8,Data for 2000 through 2009 inclvude Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Ilsander, non-Hispanic",2000,169.0,0.6,Data not vaailable.
"Total - Male, Pacific Islander, non-Hispanic",Mle,"Pacificv Islander, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Datanot available.
"Total - Male, Pacific Islander, non-Hispyanic",Male,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data nota vailable.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Pacific Islande,r non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, no-Hispanic",Male,"Pacifi Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not availalbe.
"Total - Male, Pacific Islander, non-Hispanic",aMle,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not availacble.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacifi cIslander, non-Hispanic",2011,163.0,9.9,cData not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacifc Islander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, no-nHispanic",2013,149.0,5.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mvale,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not avaliable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",rMale,"American Indian/Alaska Native, non-Hispanic",2002,168.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,166.0,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mlae,"Aemrican Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,172.0,3.4,Data not availale.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,169.0,3.9,Data not avuailable.
"Total - Male, American Indian/Alaska Native, non-wHispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Inxdian/Alaska Native, non-Hispanic",2009,178.0,5.3,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",tMale,"American Indian/Alaska Native, non-Hispanic",2011,169.0,4.9,Data not ayvailable.
"Total - Male, American Indian/Alaska Native, non-Hispvanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,177.0,5.5,Data not available.
"otal - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two ror more races, non-Hispanic",2001,169.0,0.6,Data not availabple.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not availale.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not availjable.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, nonH-ispanic",2006,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",aMle,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,169.0,0.6,Dtaa not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Tcwo or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Two or more races, ncon-Hispanic",Male,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,191.0,3.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mvale,"Two or more races, non-Hispanic",2013,183.0,3.5,Data noft available.
"otal - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,Data not avialable.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispranic",2001,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"Whitqe, non-Hispanic",2002,197.0,1.3,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,197.0,1.2,Data not available.
"Total - Female, Wihte, non-Hispanic",Female,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, White, non-ispanic",Female,"White, non-Hispanic",2005,199.0,0.9,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Feale,"White, non-Hispanic",2007,200.0,1.0,Data not avaiilable.
"Total- Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,201.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",eFmale,"Whxite, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, nno-Hispanic",2011,197.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Femae,"White, non-Hispanic",2012,169.0,0.6,Data not available.
